,,pid1263-01,pid52932-01,pid9048-01,pid9050-01,pid9054-01,pid9055-01,pid9058-01,pid9059-01,pid9062-01,pid9063-01,pid9066-01,pid9067-01,pid9068-01,pid9072-01,pid9075-01,pid9088-01,pid9093-01,pid9097-09,pid9099-01,pid9101-01,pid9103-01,pid9104-01,pid9105-01,pid9118-01,pid9137-01,pid9138-01,pid9139-01,pid9150-15,pid9153-01,pid9166c-03,pid9173-06,pid9174-01,pid9186c-01,pid9192-01
6,1,0.58393305,0.71033353,0.66548674,0.59748825,0.88527607,0.4224377,0.5102502,0.72937315,0.42308402,0.59290576,0.74940239,0.36659781,0.56678508,0.4916833,0.96948662,0.37964239,0.58317193,0.60467023,0.48894289,0.78909343,0.70595255,0.93023016,0.70783528,0.77233585,0.61650662,0.74750972,0.77679447,0.54778138,0.76315461,0.73098345,0.57921632,0.80094189,0.79806804,0.74419399
6,2,0.56859777,0.65777816,0.65565287,0.5757228,0.8202454,0.37500213,0.49575879,0.69185223,0.49881951,0.6219407,0.72536521,0.3700329,0.51513185,0.45774769,0.98944324,0.46500279,0.59001429,0.64358126,0.55868773,0.83350982,0.67833932,0.87993076,0.6654652,0.81207155,0.63332325,0.72509718,0.80134799,0.52558592,0.67497813,0.69973862,0.58657797,0.77248978,0.73400099,0.7148224
7,0,0.55565801,0.60419719,0.63048718,0.5566227,0.71601909,0.40685549,0.4723929,0.66160381,0.54999539,0.62888368,0.71706507,0.38235789,0.47688892,0.41330565,1,0.51663252,0.59380854,0.65034218,0.60396495,0.84849719,0.62456506,0.83958645,0.59391666,0.87319473,0.63398866,0.6925413,0.81680086,0.54498379,0.58330209,0.66943124,0.57594853,0.74486405,0.67317281,0.63072795
7,1,0.54502355,0.57718693,0.60806507,0.54861764,0.65673483,0.44532619,0.44230522,0.63295791,0.56875403,0.61530782,0.72284197,0.39199755,0.46792595,0.36841055,0.99551699,0.53582604,0.58527544,0.63163872,0.62896975,0.82723792,0.59671459,0.7927863,0.54068435,0.91635242,0.62030246,0.6627794,0.80967315,0.56777212,0.51331084,0.6534173,0.55583742,0.72077484,0.60659848,0.56656909
7,2,0.53064047,0.57952254,0.57807927,0.53561619,0.58161554,0.48176406,0.38987098,0.60146093,0.57369732,0.57678112,0.73333333,0.4153546,0.45943435,0.30106251,0.95516992,0.54087353,0.55391332,0.57807776,0.64161924,0.74496212,0.54757009,0.7087107,0.53654051,0.94550694,0.57372401,0.61358115,0.76829825,0.58185271,0.41655418,0.62923096,0.51687258,0.67094366,0.55935791,0.5293911
8,0,0.51434299,0.60254245,0.53702229,0.50967654,0.51265167,0.50826742,0.33241143,0.57924443,0.55367518,0.54113599,0.72974768,0.44242216,0.43391857,0.25252683,0.89508315,0.52791954,0.51778854,0.51160412,0.6295517,0.6524721,0.50691589,0.62738585,0.63162799,0.9355899,0.52837051,0.58627915,0.70319093,0.56759611,0.35091864,0.588391,0.47122597,0.60342989,0.51851694,0.53791959
8,1,0.48525609,0.61883134,0.47197237,0.4721901,0.47617587,0.5174024,0.29663554,0.54460033,0.5068339,0.51231281,0.7247012,0.4723357,0.38143189,0.23607141,0.83709328,0.48560253,0.49136371,0.44661202,0.6,0.58590861,0.46387491,0.55043975,0.72168892,0.91762441,0.48942911,0.56656948,0.63793536,0.53748031,0.31179853,0.54832306,0.42220192,0.55237249,0.46810853,0.53516784
8,2,0.43234439,0.6287598,0.3879648,0.40783339,0.42947512,0.51552267,0.27347637,0.4891878,0.42031726,0.48477537,0.70292165,0.50817841,0.34225304,0.21938407,0.73412871,0.38025703,0.45831878,0.37218922,0.52906568,0.50489533,0.43324946,0.4903256,0.80161095,0.89184687,0.44971645,0.53782191,0.56324841,0.47988884,0.3,0.52354115,0.33184443,0.46439488,0.39475105,0.50556206
9,0,0.38614814,0.63661984,0.4023498,0.33241778,0.38776414,0.49869014,0.26073847,0.45808984,0.35265148,0.46365149,0.62844622,0.53748757,0.33069408,0.21339734,0.66095445,0.30552244,0.41724877,0.31816199,0.45309842,0.44610247,0.42094177,0.47806886,0.84705825,0.85905647,0.42465028,0.49947157,0.49477682,0.43197777,0.30284964,0.50536555,0.27438409,0.36409277,0.36023865,0.45862607
9,1,0.34328957,0.58994226,0.42141505,0.27140405,0.36580095,0.45148422,0.26109487,0.39711031,0.27889883,0.41673726,0.51439575,0.55898554,0.31595163,0.21755029,0.53000723,0.25345502,0.34726147,0.23676017,0.36243525,0.36794005,0.3882243,0.46005801,0.84129611,0.76559317,0.40877883,0.45463435,0.42068289,0.38257527,0.29456318,0.4825137,0.25368814,0.3229163,0.3419419,0.35425449
