,measure_number,beat_number,pid1263-02,pid52932-02,pid9048-02,pid9049-02,pid9050-02,pid9054-02,pid9055-02,pid9058-02,pid9059-02,pid9060-02,pid9061-02,pid9062-02,pid9063-02,pid9065-01,pid9067-02,pid9068-02,pid9072-02,pid9074f-02,pid9075-02,pid9088-02,pid9090-01,pid9093-02,pid9094-02,pid9097-10,pid9098-03,pid9101-02,pid9104-02,pid9112-04,pid9118-02,pid9137-02,pid9138-02,pid9139-02,pid9150-16,pid9153-02,pid915406-12,pid9166c-04,pid9170-02,pid9173-07,pid9174-02,pid9176-02,pid9186c-02,pid9192-02
10,4,1,0.35597574,0.50773456,0.45344520000000005,0.26888129,0.44245407,0.5814064999999999,0.57970324,0.63639742,0.51955524,0.50940613,0.27686978,0.34169717,0.21909085,0.44113101,0.27782966,0.48048333,0.28657961,0.52222836,0.38178123,0.47180186,0.53230273,0.55227701,0.59463963,0.25026459,0.64872649,0.55143579,0.56332752,0.53540281,0.82207949,0.27199717,0.48219023,0.37568867,0.44268371,0.37046846,0.50815233,0.63283548,0.39127649,0.42423871,0.4376236,0.52167513,0.38544578,0.34480483
11,4,2,0.30202287,0.51156522,0.35884145,0.26186712,0.37950933,0.48209377,0.50286683,0.50778408,0.32658278,0.47741415,0.25719348,0.27660753,0.15271473,0.31226475,0.27426432,0.40287939,0.25418172,0.52017675,0.22501494,0.25562110000000005,0.49248230000000004,0.42010240000000004,0.47909318,0.23836527,0.44457887,0.38885281,0.46171609,0.35998309999999994,0.75393687,0.21450425,0.33611921,0.26898687,0.40819398,0.26169856,0.41885926,0.52856316,0.31609519,0.26668029,0.41671225,0.45473614,0.35082945,0.18349184
12,5,0,0.30964128,0.5164506,0.21025228,0.32107812,0.35530617,0.42719766,0.43781828,0.49635243,0.28719531,0.47642901,0.266947,0.29433024,0.17454149,0.2974725,0.29431473,0.37610548,0.26951931,0.51061311,0.19306635,0.32990475,0.51213328,0.41006916,0.47923899,0.23506149999999998,0.33816901,0.38248918,0.40593073,0.29668152,0.75179934,0.23245751,0.33008149,0.25524126,0.39922058,0.22609704,0.35852611,0.47474818,0.38608041,0.20862457,0.39566416,0.44860528,0.33159271,0.2489709
13,5,1,0.35536626,0.54010108,0.23080283,0.39505804,0.36446348,0.49596164,0.47067228,0.58652455,0.35422602,0.50410753,0.29381678,0.35601239,0.25141335,0.38150741,0.35927655,0.40747025,0.32278411,0.50056814,0.24550508,0.49348503,0.57035913,0.47233450000000005,0.63636301,0.24357122,0.42016852,0.48473304,0.46094359999999995,0.34583002,0.77950455,0.29514164,0.43163405,0.3208264,0.45144372,0.28470262,0.42315027,0.49094593,0.49847215,0.27915389,0.37992805,0.48661956,0.33768898,0.34261178
14,5,2,0.42919956,0.60555189,0.35815183,0.46783451,0.40413731,0.60639318,0.57790804,0.72806571,0.43221747,0.55718818,0.34197609,0.50908664,0.33493735,0.50134558,0.43390408,0.46441164,0.40845235,0.51436124,0.30364017,0.63042455,0.66110268,0.60784155,0.76406055,0.25823084,0.56241234,0.63486291,0.56012958,0.47770412,0.84483845,0.37411473,0.56679555,0.45363283,0.53304657,0.37017849,0.52392725,0.58841033,0.60288671,0.40238436,0.38269449,0.55679694,0.36774536,0.46298793
15,6,0,0.47361853,0.63984472,0.46931786,0.50067649,0.44897983,0.68353756,0.66168712,0.85992568,0.48235992,0.591028,0.37334709,0.62436872,0.37851825,0.59300846,0.4544437,0.50462024,0.46718533,0.52783082,0.34475792,0.71535449,0.70985078,0.71496452,0.82356617,0.25720824,0.6638866,0.72132756,0.63728715,0.56431251,0.8958912,0.40036119,0.6703349000000001,0.54708819,0.56217922,0.42341646,0.57143446,0.71410212,0.68096177,0.50028612,0.40706652,0.61522779,0.40115224,0.52826118
16,6,1,0.50268458,0.62727606,0.56246193,0.49792067,0.46832112,0.73090037,0.71212676,0.92751809,0.51313707,0.6002115,0.38279382,0.70787572,0.39034562,0.6311300999999999,0.4498184,0.51572646,0.4911142,0.52801231,0.36814106,0.73743828,0.72850278,0.79935327,0.84453548,0.24165475,0.71924885,0.76933622,0.66076086,0.62686973,0.90649622,0.41812323,0.71893403,0.59960251,0.58624679,0.44683936,0.58418977,0.78954498,0.72111526,0.57027727,0.43371061,0.63424597,0.42105091,0.55686302
17,6,2,0.55643429,0.57462829,0.59733349,0.46834722,0.46062709,0.75732552,0.75430482,0.93520438,0.53194049,0.60182557,0.38307416,0.74968553,0.37674475,0.61252841,0.43099103,0.51010724,0.48006669,0.51506352,0.37808727,0.67855819,0.71067274,0.83617174,0.84578531,0.23883009,0.75834823,0.79025974,0.65614254,0.66975144,0.8776860999999999,0.42578612,0.72744037,0.62237012,0.6180299,0.43174818,0.57971629,0.82498553,0.74364571,0.61010287,0.43962217,0.60780894,0.42305304,0.557956
18,7,0,0.57183074,0.49648429,0.58007011,0.4319661,0.43446502,0.74336708,0.77129511,0.91233131,0.51997468,0.61290143,0.37615043,0.77128508,0.33706192,0.56233294,0.40705656,0.50069047,0.43099194,0.49701728,0.37472206,0.61155568,0.65832069,0.84585467,0.84036939,0.25979691,0.77108872,0.79271284,0.60468477,0.66203615,0.86018319,0.41127479,0.72666706,0.61643557,0.61042666,0.38972228,0.53217376,0.82497395,0.74125185,0.58130663,0.41760634,0.55837197,0.43148648,0.55184528
19,7,1,0.54251799,0.42448546,0.52690075,0.40016378,0.39028333,0.68023442,0.77853087,0.87024252,0.46774296,0.61312406,0.35413096,0.76073407,0.280092,0.49760887,0.40324661,0.48612458,0.34945818,0.47736132,0.36539749,0.54258015,0.59071194,0.82831222,0.85883905,0.28778604,0.76559639,0.76572872,0.54717169,0.58882641,0.86155657,0.39308074,0.71459164,0.57877611,0.57077077,0.33622656,0.46995114,0.82704643,0.70759699,0.52273316,0.38330458,0.49688673,0.45054343,0.54201561
