,measure_number,beat_number,pid1263b-18,pid51495-02,pid5667269b-34,pid5667271-03,pid5667285b-09,pid610003b-22,pid9048b-18,pid9049b-18,pid9050b-20,pid9053-21,pid9054b-20,pid9055b-18,pid9057f-03,pid9058b-18,pid9059b-22,pid9061b-15,pid9062b-21,pid9063b-24,pid9066b-18,pid9067-26,pid9068-23,pid9069-18,pid9072b-22,pid9073b-24,pid9074g-18,pid9075b-18,pid9085-19,pid9088-24,pid9098-04,pid9099b-24,pid9101c-14,pid9104b-18,pid9116-15,pid9118b-24,pid9121-08,pid9130-13,pid9139b-20,pid9153b-20,pid9166-11,pid9170b-20,pid9173-01,pid9174b-18,pid918712-15,pid918726-07,pid918904-14,pid9190-12,pid9192b-20
10,5,0,0.39364513,0.43069338,0.27585173,0.43285234,0.54750743,0.37634427,0.49825247,0.55198956,0.32177587,0.31475213,0.46515714,0.2846357,0.37269717,0.30671522,0.55513331,0.62390076,0.4506558,0.33647723,0.75796283,0.55254343,0.6561279000000001,1.0,0.47204337,0.33885846,0.37185185,0.53890328,0.40402112,0.24602052,0.71050288,0.53580529,0.70611298,0.42904628,0.28925781,0.54561508,0.44046248,0.41653991,0.45739247,0.34683133,0.372975,0.47757039,0.39257046,0.71534927,0.39887968,0.34093671,0.42521153,0.34103913,0.39855813
11,5,1,0.32224687,0.4579974,0.33250075,0.46100257,0.51524983,0.40302546,0.56781247,0.69191477,0.35306088,0.33010334,0.44601386,0.3232176,0.43906754,0.36250666,0.5312623000000001,0.67424875,0.46788872,0.35985641,0.70484758,0.51444671,0.63894589,0.954542,0.37850529,0.37383987,0.39687890000000003,0.5789719,0.30740295,0.3248685,0.70272641,0.53105267,0.65478474,0.50854089,0.25128906,0.5799288,0.47275067,0.39834776,0.43885179,0.45377516,0.36779072,0.42049075,0.34447538,0.66236757,0.41774359,0.36668765,0.42093598,0.40071086,0.31265495
12,5,2,0.25962392,0.48249504,0.39148766,0.48614481,0.52443974,0.42501021,0.63726655,0.71271342,0.36132971,0.35531676,0.42368587,0.34595599,0.47058824,0.42877065,0.56163912,0.6839024,0.47209222,0.3885402,0.64768773,0.45446862,0.60014055,0.86438616,0.43708876,0.35506485,0.40860591,0.61940308,0.23922913,0.38909201,0.66704774,0.50475262,0.55993769,0.55957794,0.22170573,0.547056,0.47387157,0.36930676,0.41787934,0.55861826,0.36697323,0.40740145,0.30417657,0.64212184,0.43792505,0.38577567,0.39028079,0.50427672,0.29211431
13,6,0,0.32366442,0.51885388,0.4527725,0.52300685,0.58276641,0.4580554,0.70349624,0.63675039,0.3770817,0.41786731,0.45656891,0.38633741,0.48969063,0.51780956,0.64120917,0.69519365,0.48539608,0.44989768,0.61751673,0.41930662,0.56682361,0.79399468,0.54727286,0.34584055,0.43145235,0.67590315,0.25144075,0.46875054,0.6780943,0.51371502,0.54501817,0.59075265,0.20776042,0.5119087999999999,0.45178566,0.38718419,0.43267585,0.71460842,0.38961782,0.44334674,0.33564686,0.68393089,0.50140434,0.41025697,0.37908648,0.71688436,0.32536645
14,6,1,0.3927676,0.55598797,0.52539714,0.56001078,0.65462783,0.54645385,0.79407369,0.50465641,0.45177162,0.46741800000000006,0.49663329999999994,0.45839609,0.51932898,0.57243738,0.74221517,0.76276099,0.51625065,0.50900298,0.63518216,0.42728126,0.5812298,0.79141011,0.69205889,0.40056197,0.51071161,0.7003755,0.3094413,0.50935587,0.72398208,0.60438039,0.69989298,0.59097002,0.2096875,0.48053342,0.43705826,0.43460967,0.47341130000000003,0.81772875,0.45129096,0.50930008,0.47548387,0.79715703,0.57809862,0.43905721,0.37862973,0.82939375,0.39837328
15,6,2,0.45303761,0.53327338,0.51072035,0.53860015,0.646567,0.59466036,0.80745378,0.43121208,0.49624554,0.46078329,0.46452719,0.47207824,0.47395207,0.56049032,0.74340811,0.77493654,0.49284971,0.51779447,0.59399257,0.43157771,0.54605762,0.7990878,0.7073446,0.43210909999999997,0.54721598,0.66101256,0.3297137,0.45429853,0.72275912,0.65782244,0.79869242,0.54082058,0.20792318,0.43768718,0.45146392,0.46080951,0.47662794,0.80181946,0.47654472,0.50513274,0.54391171,0.83171403,0.60658777,0.41084296,0.38453014,0.77142692,0.41042147
16,7,0,0.49540984,0.49505396,0.45383155,0.50019155,0.56315744,0.56391233,0.72105393,0.41403274,0.47755696,0.44472817,0.41878631,0.44891932,0.41003922,0.53787529,0.64288174,0.73928601,0.40847634,0.48691566,0.52275093,0.47666301,0.49011244,0.79300646,0.68252673,0.42883093,0.52959634,0.56718892,0.31441675,0.33023196,0.68460792,0.65074336,0.8029839,0.50251789,0.22802083,0.45955529,0.51426555,0.47422852,0.46383859999999993,0.71401072,0.47064514,0.43561545,0.55098132,0.83391,0.57129783,0.34670978,0.3839985,0.63860313,0.38653169
17,7,1,0.47363549,0.47291305,0.38637226,0.47722016,0.44863366,0.48790158,0.63367735,0.43298998,0.41152226,0.42069792,0.37131658,0.42032274,0.37125054,0.51492272,0.50500541,0.6168509,0.34611718,0.43949423,0.4354052,0.53188292,0.46252987,0.75622957,0.63049283,0.38899611,0.49390762,0.47835038,0.27552117,0.31715099,0.63433342,0.57796956,0.72807901,0.49001902,0.26817708,0.4586088,0.56474764,0.45717283,0.41556336,0.61849345,0.44076572,0.36829445,0.48855008,0.80190246,0.50992505,0.29419872,0.36414077,0.5564642,0.31756992
18,7,2,0.43635487,0.45469486,0.29449495,0.45779594,0.36852561,0.38219779,0.53789849,0.41045576,0.31048029,0.38271679,0.32986631,0.36347188,0.29195643,0.47660329999999995,0.41270661,0.41922542,0.27790778,0.36560689,0.3682974,0.54105494,0.4382572,0.71141771,0.5519281,0.29834246,0.42084894,0.39022401,0.23496711,0.33508666,0.57339785,0.43657634,0.56039333,0.45344625,0.2970638,0.42080579,0.57812581,0.42869132,0.35537371,0.48658697,0.38967232,0.31442478,0.3991511,0.72157295,0.40860749999999996,0.25440576,0.33362785,0.50141594,0.25864469
19,8,0,0.42294118,0.42608844,0.24724748,0.42869507,0.34597244,0.3036006,0.4357532,0.34956963,0.23504334,0.36255055,0.33347799,0.33423961,0.24898475,0.44463493,0.36875246,0.32324572,0.25665916,0.32577654,0.44272119,0.56461888,0.42676739,0.7390878000000001,0.47604365,0.23202679,0.36462755,0.35034313,0.27434448,0.35315168,0.57127095,0.35444132,0.46489992,0.40941944,0.30869141,0.40763971,0.57317516,0.42932949,0.35676329,0.42122704,0.35250358,0.31576026,0.33076401,0.68653391,0.35437475,0.25658694,0.31806814,0.47142114,0.30024792
