,,pid1263b-10,pid52932-22,pid58917-04,pid610003b-14,pid9048b-14,pid9049b-10,pid9049b-25,pid9050b-10,pid9054b-10,pid9055b-10,pid9056-16,pid9057j-06,pid9058b-10,pid9059b-14,pid9060b-08,pid9061b-07,pid9062b-13,pid9063b-14,pid9066b-10,pid9069-10,pid9070b-22,pid9072b-14,pid9073b-14,pid9074g-10,pid9075b-10,pid9088-20,pid9089-05,pid9093b-16,pid9094b-10,pid9099b-14,pid9101c-04,pid9104b-10,pid9111b-12,pid9114-32,pid9118b-14,pid9138b-10,pid9139b-10,pid9153b-10,pid9166l-08,pid9170b-10,pid9174b-10,pid9192b-10
4,2,0.9271226,0.74022026,0.79238757,0.67421622,0.69803834,0.71245345,0.72695861,0.61980737,0.8880777,0.59515411,0.57161296,0.59734334,0.67129509,0.8098486,0.61495426,0.45183847,0.70077826,0.69637939,0.94070397,0.7756214,0.84154801,0.71790923,0.58686401,0.68665108,0.87082939,0.91221462,0.65254349,0.61988343,0.9038495,0.83343795,0.86536223,0.88463916,0.80251799,0.75280361,0.73251704,0.8512992,0.87500257,0.67562597,0.75746774,0.78990005,0.49617601,0.73595041
5,0,0.95691976,0.79580599,0.79141072,0.66923451,0.69360444,0.7406537,0.72378535,0.60951574,0.95469656,0.6119633,0.57201453,0.54285084,0.68258004,0.80632589,0.67595355,0.49001182,0.73638636,0.69519573,0.97364621,0.76930836,0.78252404,0.69997039,0.57814451,0.6670036,0.86382845,0.98178184,0.62618769,0.58681932,0.87894095,0.88022733,0.88827466,0.89553392,0.79741007,0.77878829,0.7036545,0.87374582,0.89931621,0.67843268,0.7770015,0.73699807,0.46804517,0.76046832
5,1,0.98707593,0.7953534,0.78077972,0.68544068,0.66624866,0.75458006,0.72625344,0.61685544,0.97666384,0.66025298,0.60145329,0.54984996,0.68859916,0.82866137,0.7731879,0.49741433,0.7917175,0.72358038,0.96037906,0.79221902,0.76785932,0.63046568,0.58623038,0.66959378,0.87852412,0.98308863,0.57865078,0.56489592,0.83195436,0.91551446,0.90216759,0.89097512,0.80028777,0.77824125,0.76777121,0.9362619,0.92293988,0.72588817,0.7881942,0.75294582,0.48342679,0.7684573
5,2,0.98940944,0.76344573,0.75827686,0.67919793,0.64441061,0.73889946,0.73316409,0.61276197,0.92836191,0.66223944,0.61677981,0.56127979,0.66899899,0.79066107,0.80865588,0.48185862,0.80672597,0.7211357,0.90161552,0.78947226,0.79779725,0.58616273,0.58528466,0.6583486,0.8683696,0.94034899,0.55832481,0.56757702,0.80917088,0.9077954,0.87925516,0.8375058,0.78841727,0.73762309,0.77995288,0.96706972,0.86372624,0.76017431,0.78398802,0.77987024,0.50708723,0.74621212
6,0,0.96329205,0.73815343,0.73330987,0.66781117,0.61876568,0.6934216,0.72717016,0.60585035,0.87758295,0.63519508,0.62668515,0.56264784,0.6396277,0.75453455,0.76854328,0.47181483,0.78192113,0.69805818,0.88390794,0.75559258,0.81982475,0.58122455,0.58224891,0.63819572,0.83986124,0.88023676,0.55117673,0.55278934,0.79567149,0.88124523,0.84812336,0.7861227,0.75848921,0.69967177,0.76056497,0.96108824,0.78585257,0.7763498,0.75404577,0.79538839,0.50939252,0.70991736
6,1,0.88036259,0.72895829,0.7107278,0.66525164,0.59265496,0.62336781,0.70657923,0.597601,0.78482498,0.56445751,0.66107658,0.5727714,0.57392438,0.6906161,0.66732583,0.46409953,0.72380625,0.68063593,0.876787,0.66393192,0.80156992,0.60750722,0.58599395,0.60473814,0.78265531,0.81412868,0.55350095,0.51297252,0.81170528,0.80462295,0.79575211,0.72613197,0.70626619,0.56894147,0.70017044,0.92050424,0.69428254,0.77664525,0.67873387,0.79085569,0.49045171,0.67337466
6,2,0.83385389,0.73529456,0.69728065,0.68730101,0.5859459,0.56968142,0.69227135,0.60294301,0.75946809,0.4895065,0.69171049,0.61007061,0.52676373,0.63951432,0.60826882,0.47069577,0.66710101,0.67829181,0.86194043,0.52613473,0.74236339,0.64878211,0.60286552,0.57135005,0.70968149,0.75732954,0.56659114,0.48515404,0.82546595,0.7420816,0.74483561,0.68999382,0.68754676,0.53496991,0.62843393,0.86242604,0.69180071,0.75854938,0.62859485,0.7931878,0.44788162,0.69511019
7,0,0.83298331,0.75477106,0.68972982,0.69743923,0.57360265,0.55644187,0.6968761,0.60255061,0.81129001,0.41840371,0.70735252,0.63821712,0.50627264,0.62633788,0.64614356,0.51579203,0.65629775,0.69552839,0.84312274,0.42837716,0.69885603,0.66482565,0.60999622,0.57524796,0.70072532,0.73044815,0.5795717,0.48652789,0.80889218,0.71632878,0.71342013,0.67085458,0.69956115,0.53287062,0.62191698,0.82525084,0.79045579,0.73346628,0.59322022,0.81684201,0.41030374,0.75929752
7,1,0.83919404,0.76880139,0.7267887,0.70027343,0.55744357,0.60198593,0.73330513,0.59812717,0.86923929,0.4090326,0.72450521,0.62362754,0.53215993,0.6867636,0.76101337,0.57828595,0.67363982,0.74618598,0.85601083,0.41550793,0.73256663,0.68163175,0.61140533,0.6395224,0.76367077,0.76055039,0.59016957,0.52691091,0.79707368,0.72296208,0.71323102,0.66473497,0.72179856,0.55464989,0.70705083,0.78974788,0.92889214,0.72875397,0.5645612,0.85641767,0.41693146,0.81322314
7,2,0.82431341,0.77400619,0.78359588,0.69612825,0.5568076,0.66239139,0.75396657,0.59884063,0.92868783,0.43503474,0.74900086,0.53729921,0.63117485,0.73683106,0.84996481,0.63813165,0.68991578,0.78988086,0.84863718,0.46205872,0.84020932,0.70769231,0.60562701,0.70269758,0.8388521,0.7659159,0.57744482,0.5580433,0.790054,0.74623802,0.70583358,0.62579972,0.70425899,0.65209929,0.80117054,0.78698225,1,0.74111825,0.59684893,0.87263721,0.46644081,0.82596419
