,,pid1263b-06,pid52932-21,pid53576-04,pid610003b-10,pid9048b-10,pid9049b-06,pid9049b-24,pid9050b-06,pid9052b-11,pid9054b-06,pid9055b-06,pid9058b-06,pid9059b-10,pid9060b-04,pid9061b-03,pid9062b-09,pid9063b-10,pid9064-17,pid9065-22,pid9066b-06,pid9069-06,pid9070b-18,pid9072b-10,pid9073b-10,pid9074g-06,pid9075b-06,pid9076-16,pid9077-04,pid9085-20,pid9089-13,pid9090-17,pid9093b-12,pid9094b-06,pid9099b-10,pid9104b-06,pid9111b-08,pid9115-10,pid9116-12,pid9118b-10,pid9119-10,pid9137-18,pid9138b-06,pid9139b-06,pid9153b-06,pid9158-03,pid9166k-07,pid9170b-06,pid9174b-06,pid9179-08,pid9182-06,pid9192b-06
37,0,0.24808523,0.42894323,0.23399993,0.38787616,0.27797333,0.36330478,0.37450583,0.38546501,0.53732701,0.47598687,0.28436634,0.30438583,0.4111781,0.32627191,0.49321585,0.29940903,0.53214137,0.42513812,0.39404036,0.54388724,0.37941615,0.35942318,0.21865157,0.36894805,0.34625647,0.48329018,0.38922573,0.3733771,0.30962896,0.58224063,0.58564677,0.40621705,0.26507731,0.58232515,0.27778171,0.24283318,0.39366903,0.24263661,0.42268817,0.34193518,0.32756336,0.77341224,0.26371998,0.17377076,0.46617326,0.43725547,0.40259028,0.40359757,0.27154888,0.34282904,0.39027604
37,1,0.30049747,0.5298952,0.25877035,0.48529985,0.36801185,0.45976765,0.54020827,0.47905528,0.6109412,0.49157972,0.40091304,0.33358744,0.49261173,0.41633486,0.53341855,0.35627332,0.5600635,0.47,0.49688911,0.58143638,0.39689207,0.59965911,0.30504078,0.44293743,0.3813066,0.57767708,0.45313219,0.44784507,0.39899118,0.58000632,0.62218076,0.43669986,0.41585038,0.63746731,0.37334159,0.45187835,0.42454033,0.35721119,0.49653276,0.40388071,0.35452189,0.79014694,0.3101484,0.32435804,0.47675301,0.51082704,0.46997917,0.48124724,0.39414934,0.42131617,0.4466096
37,2,0.35701145,0.57142358,0.29755142,0.58364725,0.47117037,0.54466511,0.64639861,0.53297691,0.66313938,0.5101058,0.46288054,0.38669513,0.56881041,0.48577506,0.58608473,0.40695553,0.59124405,0.49910813,0.58334649,0.60172596,0.41385165,0.70981958,0.37392435,0.50356829,0.41439198,0.6424067,0.50364973,0.50640039,0.46532451,0.59590602,0.65906302,0.48616852,0.50506435,0.68414747,0.44392358,0.53520796,0.45962181,0.43975939,0.53006989,0.46411873,0.38350614,0.80438367,0.34998024,0.40810855,0.49075814,0.58856285,0.5234375,0.55826035,0.5038581,0.48712446,0.50011542
38,0,0.40877605,0.60801747,0.34734399,0.64474273,0.57320296,0.59564512,0.70783917,0.58597027,0.69380687,0.53045604,0.53003637,0.45344311,0.6371136,0.54201974,0.63763696,0.44306762,0.61312557,0.52706393,0.64703281,0.62338671,0.43131764,0.7981924,0.4417815,0.55447511,0.44644243,0.69996192,0.54006813,0.54821097,0.50824348,0.62167957,0.69306799,0.53435696,0.57305805,0.71308529,0.51904299,0.5813059,0.4963435,0.49884766,0.55828649,0.51314737,0.43086598,0.81714286,0.39250121,0.46834346,0.51015277,0.65464846,0.56577083,0.63145412,0.57102193,0.55132332,0.5495239
38,1,0.44624554,0.62990393,0.4015149,0.6910298,0.64206222,0.6344107,0.74993733,0.63872863,0.71302852,0.55564393,0.62289224,0.52706205,0.69703321,0.5926408,0.68253287,0.47298401,0.63153146,0.54659037,0.70598175,0.67412024,0.44729421,0.87272788,0.50426744,0.598474,0.47447445,0.74762376,0.57342207,0.58605478,0.5440919,0.65362567,0.7172471,0.59089616,0.65076382,0.73502067,0.58630815,0.61654741,0.52999373,0.54504276,0.58369921,0.56498424,0.48261329,0.83273469,0.43371603,0.52952612,0.53650251,0.71564013,0.60065972,0.7022762,0.62056554,0.60990701,0.58710205
38,2,0.48186597,0.64985153,0.46183737,0.72450025,0.68529778,0.65478972,0.76497927,0.67541273,0.7249331,0.57881065,0.65311936,0.60071149,0.71670973,0.62848392,0.71503835,0.50065361,0.6455343,0.57173639,0.7349272,0.68960591,0.4590706,0.90757914,0.55075225,0.63511969,0.50400226,0.7658035,0.59708285,0.61252265,0.56946662,0.67482904,0.73433665,0.62207347,0.69415795,0.74847718,0.6259066,0.64481216,0.54884037,0.59518771,0.60658159,0.60242721,0.5015265,0.8437551,0.46437195,0.56695018,0.55620078,0.77775518,0.62720833,0.74984343,0.65526489,0.6546495,0.60311628
39,0,0.50813779,0.65895197,0.49968804,0.74809843,0.69822815,0.66050104,0.75958924,0.69994712,0.7287025,0.60113097,0.66843002,0.66683946,0.71884391,0.64754126,0.72521914,0.52212751,0.65303701,0.5918311,0.7471023,0.69881101,0.46494886,0.91643773,0.58721175,0.65997136,0.52033473,0.76725057,0.61678482,0.63402068,0.58498442,0.68684692,0.73945274,0.63898419,0.72613647,0.74187126,0.65123828,0.65953712,0.55419975,0.63457747,0.62406138,0.62891011,0.51538018,0.84963265,0.48271282,0.59038477,0.57101243,0.81564982,0.64547917,0.778047,0.67808413,0.6722103,0.60747331
39,1,0.53440961,0.65662009,0.54671133,0.77241827,0.67620741,0.63424844,0.69235368,0.7228835,0.71727961,0.62437067,0.66720924,0.74112924,0.68538616,0.65292666,0.6979821,0.52148751,0.64037931,0.59914759,0.73146891,0.69064148,0.46185086,0.88042028,0.60629921,0.68309003,0.53129043,0.72335872,0.62976602,0.64631992,0.58136103,0.68655352,0.71767828,0.64220567,0.75058791,0.69014595,0.67280205,0.65292934,0.53883201,0.68693289,0.63895614,0.64744344,0.52260945,0.84032653,0.49421566,0.59865533,0.58260746,0.84103235,0.66147917,0.78218462,0.70130328,0.66408262,0.57624315
39,2,0.53551718,0.60138865,0.56059064,0.77897092,0.6067437,0.56540109,0.54664931,0.70081664,0.68092362,0.61568041,0.61634324,0.79010012,0.6245478,0.62896886,0.60793462,0.48530733,0.57186064,0.56700868,0.68526356,0.63123981,0.44839639,0.81787192,0.58725394,0.67466574,0.51714909,0.60715918,0.60943275,0.58915524,0.52938909,0.66838566,0.6418325,0.59028533,0.71871123,0.60739897,0.63575093,0.5124441,0.48894693,0.67640962,0.62315867,0.61832636,0.51230799,0.79324082,0.46620494,0.54944512,0.5699592,0.83924075,0.63247917,0.71238924,0.69655124,0.5802128,0.51004136
40,0,0.52778299,0.52424454,0.54088814,0.77192755,0.47602963,0.44624221,0.46526854,0.68524764,0.63757933,0.55908792,0.55952593,0.8,0.47978754,0.61216607,0.47521001,0.36611836,0.41093659,0.48913181,0.60998642,0.49762202,0.43460431,0.73788672,0.53364033,0.63540852,0.48598803,0.48581112,0.51390843,0.51484686,0.45283538,0.55115214,0.49586235,0.52569659,0.64507916,0.44591243,0.59867327,0.37512299,0.41575428,0.58365705,0.5655629,0.59193753,0.47590246,0.75933878,0.41684594,0.43384366,0.55304109,0.82375557,0.60046528,0.52470765,0.69172862,0.46013948,0.38484178
40,1,0.48653088,0.43008734,0.47807003,0.74509634,0.40654222,0.30792445,0.27253881,0.58561777,0.55953055,0.50018242,0.4719474,0.78845352,0.34195617,0.57423856,0.38092586,0.27826194,0.29339126,0.38122336,0.50483214,0.43068367,0.41120048,0.62153646,0.48135546,0.5672319,0.43812257,0.35231531,0.4282088,0.41755862,0.33358297,0.4835925,0.37205638,0.41371433,0.5477641,0.33475913,0.49824872,0.30365608,0.32884455,0.49628207,0.50724221,0.51192436,0.42671851,0.6524898,0.35410721,0.34622114,0.52902552,0.76946543,0.51527083,0.41918295,0.65587654,0.34755007,0.28494758
40,2,0.44942745,0.35231441,0.36943268,0.70106084,0.36833185,0.26221443,0.17243275,0.48366136,0.50744705,0.43288581,0.36748137,0.71457031,0.2640157,0.53326527,0.33122717,0.21563768,0.21934999,0.3078453,0.40210972,0.36085914,0.40170787,0.54073268,0.44680118,0.45282996,0.3892141,0.27063976,0.30811621,0.29160255,0.25304243,0.44090365,0.26842454,0.33955318,0.47889084,0.27800557,0.38165576,0.29051878,0.26663184,0.42368459,0.44767688,0.37942518,0.40050883,0.53212245,0.30752514,0.26804374,0.50295094,0.67290335,0.43649306,0.34833006,0.59101816,0.24516273,0.23030682
41,0,0.40951755,0.32294323,0.31299598,0.68711842,0.36050963,0.22628505,0.13454826,0.37739263,0.40737059,0.40328347,0.2579033,0.70079789,0.21325486,0.52131189,0.29606465,0.18694681,0.18166096,0.25479874,0.35903105,0.32028958,0.3898024,0.47363168,0.39000984,0.38227047,0.35105918,0.2149505,0.26104455,0.23939632,0.19333913,0.42449615,0.22686567,0.27923186,0.43242292,0.25283894,0.33016098,0.30234794,0.24705391,0.39213654,0.40679496,0.30122301,0.33629032,0.37086531,0.25248057,0.24968813,0.49951608,0.65533604,0.40597222,0.31834002,0.57856168,0.22055615,0.21745696
41,1,0.37543646,0.33275109,0.26023709,0.65574078,0.38440296,0.25164849,0.12244721,0.28168733,0.33952137,0.37802262,0.19543986,0.62866291,0.19010432,0.50023822,0.3066198,0.17553583,0.1770574,0.23008682,0.29289707,0.3175664,0.37553371,0.43969993,0.37026153,0.28619739,0.31271022,0.21816451,0.22993963,0.21279167,0.17056355,0.44021531,0.21066335,0.21289432,0.3711323,0.27351725,0.30198125,0.34487925,0.26029043,0.37602551,0.39972372,0.27416153,0.3015553,0.27326531,0.23027616,0.23956258,0.49027422,0.56048809,0.38524306,0.31474656,0.52950033,0.22101216,0.23904011
41,2,0.35707715,0.35414847,0.25349446,0.63152197,0.41632,0.30081127,0.13962009,0.24560249,0.31546754,0.36912076,0.1860678,0.53051786,0.2213609,0.50327548,0.35696676,0.18369237,0.19819534,0.28310971,0.29524998,0.34939112,0.38224605,0.4426042,0.37301744,0.2462542,0.28559994,0.26194973,0.2411979,0.22439558,0.16945121,0.49123203,0.22873134,0.20589909,0.3564207,0.30770269,0.34988502,0.46130367,0.2987359,0.35581244,0.44204177,0.26537937,0.27876344,0.2460898,0.2597796,0.26012151,0.48899326,0.49687197,0.40221528,0.33990082,0.48453232,0.26266989,0.27444455
42,0,0.35733058,0.36917904,0.27945796,0.62583532,0.42465185,0.33896028,0.17382123,0.25177134,0.31645386,0.37545421,0.19100181,0.47044773,0.26329792,0.50722307,0.4060263,0.19745908,0.2387501,0.34528808,0.31876323,0.40461214,0.39415152,0.46729611,0.39403121,0.24898608,0.27836352,0.29892612,0.26931727,0.25415769,0.18213857,0.53399986,0.26353234,0.22343737,0.35061568,0.33399139,0.40216699,0.53706395,0.34227957,0.3536672,0.49195082,0.28883767,0.27167819,0.26910204,0.30024806,0.29036857,0.49165006,0.45972303,0.44215972,0.35161552,0.47240519,0.29341917,0.30228912
42,1,0.36911958,0.38717031,0.36160641,0.61695894,0.44264296,0.38004283,0.21380773,0.26070149,0.32703571,0.39265232,0.21080139,0.42635564,0.29667911,0.52561681,0.47996713,0.21964106,0.28055811,0.41934491,0.35426207,0.5232237,0.40912521,0.51672479,0.41498172,0.25643556,0.27702135,0.33876618,0.30415741,0.2902005,0.19869162,0.60479812,0.29126866,0.25467325,0.3517915,0.36986417,0.47907306,0.64697004,0.38951107,0.33807798,0.53202577,0.3136695,0.27100614,0.31413061,0.33684199,0.33867153,0.49694468,0.4528956,0.50411111,0.37150279,0.45219723,0.33342275,0.32515149
42,2,0.38601464,0.40145852,0.42617586,0.61209497,0.45112889,0.42224818,0.2743612,0.28276834,0.342228,0.41740241,0.2270658,0.4077959,0.33630969,0.54250468,0.51374178,0.23579074,0.3109533,0.45431728,0.41782206,0.59016205,0.41600635,0.55111629,0.44006609,0.27536616,0.27978655,0.39058644,0.32959373,0.31599585,0.2202337,0.66160374,0.30854892,0.2792737,0.35718915,0.39836328,0.54988502,0.71890653,0.42021521,0.33039571,0.56523464,0.33649748,0.27256144,0.34651429,0.36646617,0.37785338,0.50097732,0.46436181,0.54182639,0.38687256,0.44429284,0.36696173,0.34684043
43,0,0.40003754,0.41084716,0.45219409,0.60658151,0.45752889,0.44929907,0.32544596,0.30173315,0.35629635,0.43241883,0.24251634,0.39972557,0.3714231,0.55514718,0.54583638,0.25087829,0.3328014,0.48148382,0.45238922,0.66171253,0.41720782,0.59083416,0.47013498,0.29726932,0.28391009,0.41984006,0.3538332,0.3399788,0.24015683,0.71688596,0.32211443,0.29739771,0.36527173,0.42093141,0.58970458,0.75724508,0.44607188,0.33058414,0.59209716,0.3650548,0.27446237,0.38078367,0.38722176,0.40196841,0.50314072,0.48048615,0.56726389,0.39694453,0.43834102,0.39430436,0.36093104
43,1,0.41391965,0.41470742,0.46780284,0.5951649,0.46185481,0.48326843,0.38879568,0.32294225,0.37450875,0.45109814,0.2571276,0.40075215,0.39749258,0.56379105,0.5714664,0.26411395,0.35504219,0.51048145,0.49268863,0.69095791,0.41775395,0.62660492,0.49820022,0.31496035,0.29061287,0.45704494,0.37978246,0.36486225,0.25654468,0.76951635,0.33473466,0.3180989,0.37122489,0.44638488,0.63629047,0.7865161,0.47307773,0.33673721,0.62325441,0.39233266,0.27682412,0.41097143,0.40483821,0.41878493,0.50524718,0.49609723,0.58626389,0.40578445,0.42970735,0.41382332,0.38092719
43,2,0.41959827,0.40414847,0.46944472,0.58151115,0.46360889,0.50596443,0.43521358,0.3414018,0.38660448,0.46342211,0.27958493,0.40738934,0.42108336,0.56154501,0.58392075,0.27213432,0.37321414,0.52786898,0.51599659,0.71005849,0.4188164,0.64487155,0.51964286,0.32979914,0.29603816,0.49031988,0.40498205,0.38857162,0.26751396,0.7996231,0.33806799,0.33658271,0.37027127,0.46696195,0.65994162,0.81445662,0.4943481,0.33443253,0.65185398,0.4136648,0.27897465,0.43869388,0.41720815,0.42797084,0.5064712,0.50985861,0.59331944,0.41103091,0.41912111,0.43133047,0.39345965
44,0,0.42218885,0.37582533,0.46138859,0.55935628,0.46000593,0.52273494,0.47705139,0.36004935,0.39102378,0.46782926,0.30411506,0.4115973,0.43452962,0.55437298,0.58438641,0.27838449,0.38481076,0.53103394,0.52528187,0.7222936,0.4212392,0.64463607,0.53562992,0.34626262,0.29954722,0.51427266,0.41897597,0.40084807,0.27320785,0.80397888,0.3368325,0.3488662,0.35588371,0.47541551,0.67228905,0.82513417,0.51193063,0.32817075,0.68209484,0.42955925,0.27721774,0.45822041,0.42226808,0.42498177,0.50276117,0.5215185,0.59095833,0.41121572,0.40395925,0.44160408,0.39952871
44,1,0.41870659,0.35259389,0.43357524,0.52666522,0.45261037,0.53141874,0.50471507,0.38204571,0.3915284,0.46570595,0.32363488,0.40830411,0.44149679,0.5469202,0.56720234,0.2816934,0.39454424,0.51793212,0.52547137,0.72986864,0.42484361,0.62302784,0.54131749,0.36528949,0.30188389,0.52777609,0.42732761,0.4086562,0.27414399,0.77843102,0.33162521,0.35766045,0.33090455,0.47332321,0.66799929,0.82231664,0.52559549,0.31904624,0.70091502,0.43775342,0.27248464,0.47050612,0.4180533,0.40831106,0.49090995,0.52707728,0.57179167,0.4052403,0.37423544,0.44239092,0.39949024
44,2,0.41048433,0.33257642,0.4137195,0.4962546,0.44113778,0.54317887,0.51417414,0.39663945,0.3892423,0.45783291,0.33815713,0.39997967,0.44177433,0.54129658,0.53661432,0.28188404,0.39824547,0.50628256,0.51012222,0.71829514,0.42895442,0.59761827,0.53699381,0.37951452,0.29901358,0.53138614,0.43054989,0.41016084,0.27037743,0.74432959,0.32712272,0.35786963,0.29525044,0.4652493,0.65795153,0.80709973,0.52726703,0.31321931,0.70445748,0.44046286,0.26659946,0.47192653,0.4088225,0.38433374,0.47595597,0.52529537,0.54679861,0.3917186,0.3510398,0.43670422,0.39544099
45,0,0.39807584,0.31918777,0.38528224,0.46721513,0.42836148,0.54832555,0.51431877,0.40767287,0.38379081,0.44541408,0.34656273,0.38164354,0.43860657,0.53865918,0.50290358,0.27793513,0.39711755,0.48722178,0.48302435,0.69694122,0.43043392,0.56615347,0.5206482,0.39266846,0.29239166,0.5297639,0.42890587,0.40661583,0.2629214,0.70638019,0.3222471,0.35440549,0.26233682,0.45488062,0.64473731,0.78211091,0.5233598,0.30541383,0.70482677,0.43515217,0.25895737,0.46427755,0.39531106,0.36324828,0.45836417,0.51703467,0.51996528,0.37616403,0.32780888,0.42192418,0.38931423
45,1,0.38091797,0.30973799,0.35602404,0.42548892,0.4137363,0.55024013,0.50302767,0.42606192,0.37207738,0.42375046,0.35227244,0.35827616,0.42866303,0.5393398,0.46857195,0.26986029,0.39041691,0.46044988,0.45111013,0.6594592,0.43246947,0.52817367,0.4929626,0.40578629,0.28484799,0.52209444,0.4209751,0.396015,0.24951817,0.65851181,0.31891376,0.34394611,0.23494121,0.43787227,0.61957368,0.73689624,0.5125888,0.294376,0.69419939,0.42160026,0.25018241,0.44953469,0.37570795,0.33747266,0.43536389,0.50286655,0.47417361,0.35355599,0.29360356,0.40070637,0.37556026
45,2,0.34890182,0.30420087,0.32012172,0.38973804,0.3922963,0.54916926,0.48512197,0.43402855,0.35689273,0.39931412,0.35407818,0.31756874,0.41229783,0.54027565,0.43213112,0.25971568,0.37970591,0.43264404,0.40550485,0.63473008,0.43265813,0.49674251,0.46209927,0.41248962,0.27825032,0.50648134,0.40158878,0.3733999,0.23223824,0.62302241,0.32269486,0.32966279,0.2240811,0.41799544,0.59868212,0.66042039,0.49631216,0.28507755,0.68135626,0.40481208,0.24050499,0.42985306,0.35195592,0.3071851,0.41852168,0.48702305,0.43375,0.32583497,0.26269173,0.37958691,0.35739156
46,0,0.32100619,0.29550218,0.28105605,0.35079743,0.35944296,0.54150441,0.44320702,0.43523882,0.33773989,0.37252827,0.35103894,0.2863343,0.39417169,0.53115535,0.3959916,0.24680683,0.36688111,0.40148382,0.37456969,0.60425736,0.42634296,0.45516321,0.43501125,0.41484842,0.27266332,0.4841965,0.37895388,0.34908639,0.21342746,0.57931797,0.32866501,0.31083591,0.21723914,0.39286257,0.57706528,0.58710868,0.4769954,0.27602551,0.66006045,0.38787337,0.23174923,0.41028571,0.32400009,0.27228028,0.402486,0.46518497,0.39658333,0.30163554,0.23255622,0.34954399,0.33109551
46,1,0.2912615,0.28544105,0.25539903,0.31174136,0.32769185,0.53125,0.41496481,0.42731919,0.31782246,0.34353885,0.3437651,0.25806779,0.36350847,0.51717713,0.36111213,0.23346224,0.3504637,0.37280189,0.33540726,0.57341068,0.41414954,0.42324987,0.40333943,0.4079766,0.26745634,0.45067784,0.36507832,0.33483797,0.1943854,0.5396872,0.33460199,0.28930633,0.21260994,0.35909053,0.55228197,0.53679562,0.44879858,0.26377011,0.63912027,0.37321605,0.2234351,0.3824898,0.29783334,0.23795869,0.3912041,0.43941507,0.34861111,0.27833961,0.20276183,0.32274678,0.30511686
46,2,0.26329078,0.27412227,0.21105748,0.27633687,0.29769481,0.5122339,0.3621348,0.41197344,0.29330224,0.30633345,0.33099774,0.22250343,0.32827065,0.4900034,0.32006939,0.21236962,0.3268527,0.34149171,0.29133373,0.54414613,0.38648595,0.38493367,0.36428571,0.3951115,0.26080207,0.40792841,0.32275459,0.29273102,0.16910979,0.49171726,0.33577114,0.26491507,0.20911953,0.33066734,0.52341235,0.43523032,0.41504388,0.24278156,0.61020612,0.35096665,0.20917819,0.35521633,0.26681521,0.2036452,0.37922953,0.41383885,0.30872222,0.24365753,0.18028371,0.28898426,0.28550543
47,0,0.23174395,0.2650131,0.1759542,0.24635924,0.26641778,0.49130322,0.29001061,0.39294989,0.25959171,0.27152134,0.30692541,0.19776389,0.29114748,0.46138336,0.27825968,0.19201231,0.29935667,0.2993528,0.24647064,0.5135104,0.34499057,0.33609931,0.31411699,0.36609582,0.25283797,0.35064737,0.29884392,0.27146098,0.148636,0.44789998,0.33311774,0.24095055,0.20372188,0.30246351,0.4911286,0.39211762,0.37494776,0.22149587,0.58324785,0.32021262,0.19327957,0.33159184,0.23446898,0.17526934,0.36292817,0.38315902,0.26943056,0.22580314,0.15875835,0.24392883,0.26246994
47,1,0.19392716,0.25531878,0.14974989,0.20357942,0.22985481,0.43676012,0.2510944,0.35453851,0.22830492,0.23154323,0.27484168,0.17219088,0.24434874,0.43594521,0.22941928,0.16882268,0.26429944,0.25541436,0.18987462,0.44749257,0.29597855,0.2858072,0.253241,0.33733287,0.24458279,0.31283321,0.26537161,0.23805127,0.1228758,0.42972082,0.32672471,0.20601623,0.1945468,0.2727917,0.43629047,0.34995528,0.34171542,0.18257719,0.54094347,0.29127899,0.17537442,0.30330612,0.20196909,0.14348319,0.3323655,0.35149138,0.21267361,0.20082342,0.13255152,0.20554363,0.23421179
47,2,0.15230899,0.2378952,0.13693232,0.16201198,0.19152593,0.38709761,0.18272105,0.32646731,0.18605398,0.1825757,0.2231364,0.14897596,0.20892908,0.41420793,0.20158875,0.15466107,0.22711171,0.21394633,0.14867037,0.3935852,0.23854632,0.22036578,0.20000703,0.31981033,0.23430627,0.27232292,0.21115831,0.18618701,0.097422879,0.43286917,0.32382255,0.15799515,0.18516804,0.25081414,0.40013267,0.32392665,0.30169244,0.14659371,0.49149946,0.24951785,0.15526114,0.2688,0.1697436,0.11518834,0.30510485,0.31784815,0.16268056,0.16549451,0.10299591,0.17026109,0.20244301
48,0,0.11390088,0.19921397,0.17052507,0.12187342,0.14388148,0.32339045,0.12678623,0.29697433,0.13297653,0.13330171,0.17710267,0.12589317,0.18669729,0.40008508,0.2437363,0.15718021,0.18390843,0.16794002,0.12083189,0.24638987,0.17190944,0.15928638,0.13937711,0.29554836,0.21882277,0.24840823,0.1565899,0.13627193,0.069542616,0.48457424,0.32787728,0.10550582,0.15194889,0.24535561,0.34216345,0.35120751,0.25812787,0.11140745,0.42378236,0.22153441,0.13564708,0.1847102,0.14926241,0.088610774,0.27777778,0.28610304,0.14648611,0.10060473,0.077941799,0.16395744,0.15818024
48,1,0.13989112,0.20320524,0.23195306,0.10924731,0.15739259,0.28688993,0.14008292,0.28934845,0.12452787,0.1167822,0.20692286,0.13097525,0.19315724,0.39785605,0.29497809,0.17015714,0.17971426,0.15164957,0.12627673,0.24191198,0.15081918,0.15550746,0.12000141,0.29460965,0.20367076,0.27596344,0.13762445,0.12212609,0.058949988,0.52907987,0.34068823,0.10952222,0.13793167,0.27107905,0.32043163,0.42881261,0.2580234,0.1066169,0.39076498,0.23795569,0.11742512,0.13649796,0.15396014,0.10053463,0.27839453,0.29877009,0.19976389,0.10236655,0.068857627,0.20062589,0.16002693
48,2,0.19236906,0.23977293,0.27447761,0.10694667,0.19331556,0.27701194,0.16458394,0.30013513,0.13248719,0.12186063,0.24455098,0.14125121,0.21716911,0.40930747,0.29620161,0.18175876,0.1915866,0.14640095,0.14032941,0.2829418,0.15444345,0.16989426,0.12153403,0.3095688,0.19796248,0.31668698,0.13759815,0.1247364,0.060574456,0.56381322,0.34648425,0.13276713,0.13246922,0.30433645,0.32226252,0.46490385,0.27486419,0.10937092,0.38439128,0.27018674,0.11822197,0.13719184,0.16836063,0.12398542,0.29031217,0.32353283,0.248625,0.12108954,0.066008751,0.25341559,0.17858998
49,0,0.31919467,0.35426201,0.34709224,0.15496861,0.31422815,0.27982866,0.22083695,0.35418601,0.17372123,0.16929588,0.36661665,0.17349189,0.28615178,0.42554875,0.39564463,0.20370925,0.23896733,0.14809787,0.1866374,0.37109023,0.20286963,0.23498806,0.14988048,0.36199198,0.20464101,0.35829398,0.17691003,0.16079062,0.11060695,0.5951274,0.37066335,0.21260146,0.14023702,0.37226019,0.34484345,0.51902952,0.32961763,0.12896797,0.39071027,0.33477116,0.13491743,0.19420408,0.21493173,0.21558526,0.32790587,0.38098973,0.35342361,0.20637789,0.09641244,0.3542829,0.2315668
49,1,0.44436831,0.44746725,0.46453004,0.26297178,0.44810667,0.31172767,0.26331116,0.42660243,0.22055968,0.23318497,0.4398001,0.19849571,0.31825055,0.4674749,0.49906866,0.22436613,0.28828641,0.15654301,0.24086473,0.46186595,0.25693576,0.31070095,0.21749859,0.42737655,0.22931759,0.43718203,0.20930385,0.19754015,0.18035441,0.63282854,0.42812604,0.34413857,0.17461346,0.45483844,0.37131612,0.58010957,0.38206226,0.15172489,0.41251214,0.38083635,0.1640169,0.26931429,0.26635422,0.30346699,0.36693235,0.40041642,0.44310417,0.31878151,0.16819187,0.46840129,0.28618832
49,2,0.53906514,0.5409345,0.58998019,0.31608573,0.52594963,0.36127985,0.31043294,0.48195758,0.26325407,0.3303174,0.5003052,0.22283885,0.37030338,0.50469627,0.58657779,0.24770555,0.34071351,0.165588,0.30131384,0.5537156,0.3149439,0.37406789,0.27567492,0.47482941,0.25581339,0.50584158,0.24030355,0.22738205,0.26669897,0.65751879,0.47396352,0.42733662,0.19213962,0.51387834,0.38772333,0.61367397,0.44045132,0.16922742,0.43533982,0.42032081,0.19391321,0.33970612,0.31807306,0.35211827,0.40657558,0.41944606,0.52801389,0.42644175,0.20353816,0.55952253,0.33396172
50,0,0.63784494,0.63022707,0.68612835,0.43208487,0.61255111,0.41349948,0.36025456,0.53688972,0.30274486,0.43423568,0.57448053,0.25726483,0.46742272,0.56280415,0.67156684,0.27914704,0.40178795,0.18121547,0.34772447,0.62401956,0.38036938,0.44578881,0.35123735,0.5243763,0.29799483,0.59194212,0.30542001,0.29004092,0.34172183,0.70033176,0.52601161,0.5318216,0.21339691,0.59314941,0.40484698,0.64255367,0.49667781,0.20293521,0.48471544,0.46919893,0.26345046,0.42837551,0.38441191,0.40659376,0.46563241,0.45089095,0.62165278,0.51867062,0.29646184,0.66922389,0.3942772
50,1,0.7588042,0.73367686,0.79253276,0.52520748,0.6918637,0.47287773,0.40570822,0.61472299,0.34667788,0.56268515,0.6448282,0.2949535,0.55621591,0.62635698,0.7646366,0.32784117,0.47943855,0.20932912,0.41112655,0.70438201,0.48620792,0.57923951,0.43115157,0.59291396,0.35863519,0.68659558,0.36865572,0.34851645,0.42833071,0.74668803,0.57970978,0.63300979,0.24944913,0.67927107,0.43388466,0.68909884,0.55683243,0.25009422,0.54575794,0.52608307,0.35132488,0.52403265,0.44591035,0.47134062,0.55525192,0.48845632,0.71013889,0.61926714,0.37638797,0.77977468,0.47082812
50,2,0.82238596,0.81484716,0.88143478,0.59209064,0.76212148,0.52380582,0.47549899,0.68174608,0.40663659,0.64241518,0.69135787,0.37962088,0.63896067,0.68699166,0.82121074,0.39011139,0.54191662,0.27595896,0.49212014,0.76045642,0.60435905,0.66303726,0.49443898,0.65177572,0.41108506,0.74948972,0.41063749,0.38959751,0.48937764,0.7768512,0.61994196,0.69623462,0.31245255,0.73888467,0.45633292,0.72943873,0.60172378,0.30510944,0.58971729,0.56639541,0.4360023,0.59902041,0.49074725,0.53838801,0.62138723,0.52038543,0.78534722,0.69858007,0.435024,0.86997496,0.53372127
51,0,0.89663037,0.88951965,0.96217121,0.65921917,0.83875556,0.60114226,0.56606885,0.78432525,0.50339475,0.71628603,0.72952008,0.4887432,0.71205857,0.76476944,0.88390248,0.46823171,0.62346061,0.36750592,0.57691943,0.82501678,0.6857611,0.74424472,0.56055259,0.72660754,0.48482374,0.82338157,0.46264122,0.44153017,0.55736297,0.83619581,0.66829187,0.78374195,0.42197019,0.81568379,0.49832832,0.77588327,0.64594651,0.39502826,0.64549396,0.60595512,0.51363287,0.6799102,0.55641656,0.62034832,0.69766581,0.58179353,0.8375,0.82240064,0.4997177,0.94295422,0.60119265
