,,pid1263b-06,pid52932-21,pid53576-04,pid610003b-10,pid9048b-10,pid9049b-06,pid9049b-24,pid9050b-06,pid9052b-11,pid9054b-06,pid9055b-06,pid9058b-06,pid9059b-10,pid9060b-04,pid9061b-03,pid9062b-09,pid9063b-10,pid9064-17,pid9065-22,pid9066b-06,pid9069-06,pid9070b-18,pid9072b-10,pid9073b-10,pid9074g-06,pid9075b-06,pid9076-16,pid9077-04,pid9085-20,pid9089-13,pid9090-17,pid9093b-12,pid9094b-06,pid9099b-10,pid9104b-06,pid9111b-08,pid9115-10,pid9116-12,pid9118b-10,pid9119-10,pid9137-18,pid9138b-06,pid9139b-06,pid9153b-06,pid9158-03,pid9166k-07,pid9170b-06,pid9174b-06,pid9179-08,pid9182-06,pid9192b-06
5,0,0.24537263,0.3829083,0.22942458,0.4000433,0.42154667,0.21390836,0.20762704,0.46550731,0.39065678,0.42533382,0.26405809,0.45321949,0.29791368,0.68426918,0.44850256,0.54093249,0.33204946,0.37441989,0.38565518,0.47790776,0.36193029,0.2821292,0.23505343,0.38825172,0.38138745,0.42910891,0.21088212,0.20663635,0.23925374,0.6134194,0.39586235,0.20826709,0.27568744,0.39951911,0.29520609,0.24184928,0.32685959,0.62287288,0.35486165,0.40905969,0.21899002,0.47492245,0.48739957,0.19901175,0.52252586,0.49579702,0.22814583,0.40805347,0.30976522,0.32331903,0.36762528
5,1,0.24946499,0.42784279,0.34293283,0.40493613,0.46024296,0.25760644,0.28350207,0.46548381,0.44206744,0.46804816,0.2771688,0.44048381,0.33134271,0.68096818,0.45678415,0.53808655,0.38131005,0.39124704,0.4025045,0.505571,0.37927713,0.31793359,0.24789792,0.4187597,0.37867076,0.44809596,0.23113648,0.23151979,0.25319662,0.64126927,0.41778607,0.19748138,0.28395519,0.39003628,0.33750221,0.34968694,0.2989135,0.59665169,0.38484264,0.40561644,0.21172235,0.47797551,0.44423102,0.26571081,0.49607173,0.48625799,0.245,0.40871056,0.27660676,0.33158083,0.38799654
5,2,0.26116951,0.46600873,0.42209306,0.46486252,0.48821333,0.32286475,0.33952367,0.49926561,0.49970181,0.51114922,0.32116788,0.45881994,0.37444732,0.68030458,0.48513514,0.53186361,0.45082296,0.42412786,0.43332912,0.54685972,0.39961275,0.3461353,0.28571429,0.45615154,0.38114489,0.48654989,0.27730065,0.28293951,0.30302096,0.68134013,0.43898839,0.21189022,0.34127396,0.39546106,0.38521139,0.48850626,0.30606979,0.6084505,0.42070494,0.41123289,0.22729455,0.49863673,0.42014971,0.31764277,0.50302685,0.48160953,0.29970833,0.42593866,0.31108262,0.35244993,0.43501972
6,0,0.28056129,0.49929258,0.4761764,0.5283539,0.51516444,0.36634865,0.38114936,0.5354797,0.55355149,0.55973003,0.37377604,0.51229354,0.4115992,0.68556236,0.51113952,0.53172744,0.50688445,0.47157853,0.45894261,0.57502157,0.42435706,0.36676796,0.34726519,0.49893493,0.39124353,0.52244478,0.3363145,0.34731959,0.34446415,0.71799183,0.45526534,0.24847293,0.3998889,0.4099131,0.43183266,0.58866279,0.34395111,0.64073054,0.44979689,0.42250811,0.25047043,0.52368163,0.41851429,0.36843256,0.5338552,0.49062561,0.37301389,0.4504769,0.36193187,0.38627504,0.50664615
6,1,0.31484888,0.53857642,0.49650281,0.62580645,0.54729481,0.4446716,0.43902227,0.60266729,0.59809618,0.61105436,0.4434243,0.56958886,0.45545985,0.6974732,0.52743791,0.53199978,0.57812683,0.52874507,0.48987778,0.62890977,0.45261642,0.38586439,0.40628515,0.55674967,0.40815815,0.57864433,0.40060237,0.41668092,0.37512528,0.76824122,0.48161692,0.36646306,0.46364226,0.43667426,0.4883867,0.67498882,0.39755537,0.70176112,0.50981358,0.44169528,0.303101,0.56372245,0.43103789,0.4000081,0.60990606,0.52165408,0.46465972,0.48650397,0.44196387,0.41209764,0.57826296
6,2,0.32700394,0.55871616,0.48526144,0.69958866,0.5542163,0.48508567,0.46186482,0.63345279,0.63143207,0.65711054,0.46728045,0.61161762,0.4813475,0.70260337,0.53545471,0.53212233,0.6162336,0.5559116,0.50516376,0.69110174,0.46996326,0.39008062,0.44562008,0.58311771,0.42689198,0.58945925,0.43828338,0.45642832,0.40611681,0.80053714,0.48796849,0.44324324,0.50142579,0.45909896,0.51017159,0.71942084,0.45200585,0.74735469,0.54727613,0.45435815,0.31814516,0.58177959,0.44708478,0.40261644,0.65787077,0.5461166,0.51563194,0.50373207,0.49400113,0.43055258,0.62882562
7,0,0.3463394,0.56753712,0.46226425,0.74941185,0.54998519,0.50519211,0.47001253,0.65987897,0.65395672,0.69038307,0.47822935,0.64957056,0.48758733,0.70015314,0.52952885,0.53123723,0.63884201,0.59351223,0.50824306,0.71085435,0.4800417,0.38566254,0.47741845,0.60727137,0.44052393,0.58379284,0.4709271,0.48884633,0.41985044,0.81626758,0.49098673,0.4862522,0.51682252,0.46802497,0.523147,0.74134615,0.47761178,0.7881577,0.58239985,0.46851686,0.32841782,0.58942041,0.46314264,0.3926772,0.69119461,0.56665698,0.55056944,0.51301348,0.53222923,0.44157725,0.67040492
7,1,0.36275577,0.56849782,0.42718287,0.78334416,0.52976593,0.50808022,0.4583936,0.67502497,0.66477559,0.72310835,0.47835652,0.67585506,0.4829266,0.68988429,0.50691198,0.52615812,0.6528532,0.61233623,0.4974576,0.69650973,0.47867143,0.3703114,0.49083943,0.62036513,0.4523205,0.55798172,0.485697,0.50377868,0.42054428,0.80881988,0.48017413,0.51619111,0.51067494,0.46539273,0.50837608,0.74534884,0.48659632,0.8205537,0.60079603,0.47452844,0.32856183,0.58099592,0.47959564,0.36712029,0.70509536,0.57392989,0.5695,0.51321882,0.55847135,0.44141631,0.6946523
7,2,0.36851887,0.5558952,0.39397323,0.79239374,0.49635556,0.49331516,0.43278372,0.66850361,0.65442312,0.73330901,0.46412676,0.6823093,0.46813092,0.67121831,0.47329255,0.50525613,0.64840003,0.61142068,0.47558665,0.66513568,0.46133452,0.33939605,0.48165776,0.61295175,0.45244179,0.51160701,0.48192232,0.49799952,0.40710801,0.77303708,0.45514925,0.53232365,0.49052865,0.4540707,0.48215107,0.71642442,0.48109068,0.82656907,0.59533872,0.46733619,0.3218606,0.54890612,0.48328358,0.33555286,0.70086346,0.56862289,0.56613194,0.49396811,0.56623459,0.43089235,0.6730403
8,0,0.36290595,0.53020087,0.36062129,0.78556686,0.45246815,0.46373313,0.39699161,0.64688326,0.6195963,0.72145932,0.44168214,0.66904508,0.442138,0.64644376,0.43196676,0.47758654,0.62366948,0.59271507,0.4462622,0.62723176,0.42701817,0.30587919,0.45804274,0.59278158,0.44179334,0.45711348,0.46486394,0.47693465,0.37655701,0.71342165,0.41566335,0.53519371,0.45591149,0.4361765,0.44701044,0.68476073,0.46614083,0.80526163,0.56364805,0.44937673,0.30576037,0.50573061,0.47341617,0.29390846,0.67276781,0.54998063,0.5470625,0.46694525,0.56189423,0.40410408,0.62998942
