,measure_number,beat_number,pid1263b-03,pid510262-04,pid52932-18,pid5667249-20,pid5667271-04,pid5667291-18,pid610003b-07,pid9048b-07,pid9049b-03,pid9050b-03,pid9052b-10,pid9054b-03,pid9055b-03,pid9056-11,pid9057f-13,pid9058b-03,pid9059b-07,pid9060b-01,pid9061-32,pid9062b-06,pid9063b-07,pid9064-14,pid9065-21,pid9066b-03,pid9069-03,pid9070b-15,pid9072b-07,pid9073b-07,pid9074g-03,pid9075b-03,pid9085-05,pid9088-19,pid9089-17,pid9090-16,pid9093b-09,pid9094b-03,pid9099b-07,pid9101b-14,pid9103-15,pid9104b-03,pid9111b-05,pid9113-18,pid9114b-12,pid9117-07,pid9118b-07,pid9119-08,pid9120-10,pid9121-11,pid9129-23,pid9130-09,pid9134-09,pid9137-16,pid9138b-03,pid9139b-03,pid9153b-03,pid9161-09,pid9166j-03,pid9170b-03,pid9174b-03,pid917509-09,pid917520-19,pid917525-03,pid9176-11,pid918713-09,pid918819-07,pid918904-11,pid9192b-03
10,5,0,0.30069323,0.30978908,0.43591489,0.32590252,0.22059622,0.32603575,0.32291295,0.21349261,0.37946222,0.21883065,0.50326222,0.40828794,0.32214786,0.33305245,0.27853604,0.38906827,0.52764067,0.44652296,0.34304707,0.42590662,0.30269883,0.34387803,0.22374048,0.35012775,0.34842690000000004,0.21613444,0.29503429999999997,0.23888351,0.32500211,0.39152685,0.32396665,0.2145583,0.2592431,0.26038552,0.27786747,0.31700851,0.45032892,0.29149463,0.38793906,0.38543428,0.37612324,0.31511041,0.23881067,0.24759978,0.53477662,0.58681518,0.32262962,0.31583813,0.41947951,0.36328528,0.49264607,0.22540832,0.26932562,0.42646633,0.14933953,0.47255574,0.36621,0.26122468,0.3265028,0.28846874,0.40682288,0.33482578,0.31591661,0.29208767,0.311487,0.27741289,0.33368083
11,5,1,0.2970546,0.29663208,0.43780152,0.32627833,0.21121248,0.32780649,0.30756059999999996,0.20795083,0.36981147,0.20703925,0.47262535,0.41132048,0.29843634,0.30870885,0.26488727,0.38130766,0.48795656,0.43702959,0.33185055,0.38754387,0.2995703,0.32835196,0.21720306,0.32905635,0.33435379,0.24069231,0.30422978,0.22500807,0.32673743,0.37836434,0.29552435,0.19584442,0.26731481,0.26727631,0.24591322,0.31428571,0.43583979,0.28319112,0.35047821,0.36756481,0.36916537,0.29916848,0.22343611,0.23432039999999998,0.52514956,0.56746132,0.32659506,0.31684747,0.38351499,0.34533858,0.46709520000000004,0.21325931,0.29570711,0.40623558,0.14558717,0.46899269,0.34743318,0.23331427,0.32641613,0.29232669,0.37643866,0.28822593,0.29789543,0.30680864,0.29408399,0.24754239,0.31777222
12,5,2,0.31090809999999997,0.30162443,0.44560648,0.32890331,0.21259029,0.34416674,0.30840241,0.2201844,0.36890743,0.20527721,0.48772968,0.41034153,0.29867722,0.30306435,0.27189701,0.39241236,0.45315071,0.43093411,0.32018146,0.36206195,0.31230305,0.33058659,0.22553023,0.32412893,0.32008020000000004,0.28078954,0.32967276,0.21953318,0.33962598,0.36400140000000003,0.27624397,0.20618292,0.32454709,0.29478637,0.21896233,0.29373936,0.42556416,0.29512799,0.34539992,0.38615466,0.36645866,0.28957879,0.24312363,0.22734045,0.52546197,0.58001109,0.32816185,0.3336572,0.34629928,0.33441678,0.45198476,0.17709389,0.33256203,0.39502012,0.15523298,0.46663405,0.33609058,0.19187515,0.34974395,0.30102197,0.34116988,0.25873923,0.29035076,0.33889321,0.31726837,0.24249124,0.30715459
13,6,0,0.32816655,0.31305494,0.47068401,0.32235508,0.21504321,0.36372956,0.32521009999999995,0.2501834,0.36460362,0.21451455,0.51105575,0.40526277,0.31697406,0.32282011,0.32879498,0.39512223,0.40951793,0.42503349,0.30398211,0.3404837,0.3435507,0.34736965,0.24294548,0.33381531,0.30073257,0.34567932,0.35937411,0.22435194,0.36141016,0.34183924,0.27827117,0.23514356,0.39491606,0.32917963,0.20432223,0.26131661,0.41175785,0.31363428,0.37101989,0.42466507,0.38308892,0.30014313,0.28003921,0.25361413,0.53943973,0.61141072,0.32006946,0.36621073,0.3291998,0.33123635,0.44793204,0.15993242,0.36431725,0.38312852,0.17738424,0.46588129,0.33552189,0.17476769,0.38902545,0.3036791,0.32098553,0.23635257,0.29010589,0.37915436,0.35236052,0.26568648,0.30152089
14,6,1,0.35423784,0.32138119,0.50520331,0.30952625,0.21548161,0.38624079,0.35330375,0.29221771,0.34744244,0.23216161,0.54387263,0.39090240000000004,0.35976791,0.36917994,0.43698536,0.38943727,0.36321158,0.41448057,0.28412828,0.32303799,0.39763287,0.38060211,0.25771362,0.37703905,0.26661012,0.41158327,0.39261932,0.23391417,0.38377559,0.30744121,0.29413778,0.25510504,0.49278194,0.36169082,0.21971073,0.23673086,0.38528604,0.33462703,0.39900127,0.47083954,0.43564743,0.33506679,0.33493138,0.30558212,0.56707127,0.65042085,0.30056534,0.39953778,0.33631763,0.3313412,0.42780268,0.18142248,0.40643934,0.36564529,0.20364349,0.47057348,0.3389133,0.2049035,0.42271331,0.30355987,0.3375603,0.21395654,0.30009927,0.4154749,0.38520576,0.33865636,0.29647269
15,6,2,0.36895926,0.33139139,0.53154721,0.30589341,0.21727694,0.39319664,0.36778575,0.30547239,0.34412765,0.24218208,0.57217378,0.37524658,0.38065165,0.41301178,0.50972264,0.38624308,0.34304047,0.41277555,0.27668704,0.31974467,0.42745571,0.39704376,0.26373662,0.42850324,0.25741055,0.43423016,0.39912118,0.23993761,0.39858479,0.29973324,0.30591487,0.25505917,0.53548326,0.37551036,0.23879919,0.24609046,0.37219585,0.34792183,0.4197884,0.50854953,0.48241809999999996,0.35312159,0.35036535,0.34574214,0.57941752,0.67748601,0.29545308,0.41622488,0.36009009,0.33861075,0.40971309,0.20320219,0.43224996,0.36447545,0.22379155,0.47393579,0.3450654,0.2377746,0.44240920000000006,0.30929995,0.35045658,0.21558636,0.31227664,0.44040106,0.39924262,0.39911283,0.30027133
16,7,0,0.38467102,0.33816976,0.55647829,0.3087063,0.22274644,0.40580361,0.3831381,0.31269951,0.35394839,0.25234493,0.60225786,0.35764758,0.39294729,0.44809598,0.53857042,0.38636993,0.34183942,0.41644745,0.2763846,0.32406795,0.44795326,0.41545624,0.26852715,0.46357077,0.25857495,0.44547817,0.39455559,0.24753146,0.40726139,0.30440154,0.3180079,0.25681129999999996,0.55758323,0.38950444,0.26063739999999996,0.26607255,0.37158798,0.36176713,0.43798561,0.54725004,0.51450078,0.36857279,0.35435157,0.3634817,0.58919501,0.70167834,0.30528994,0.43203471,0.38719902,0.35047619,0.41078666,0.21301794,0.44605724,0.37693587,0.24488315,0.47751139,0.35246859,0.26551346,0.46126211,0.31727133,0.36366299,0.22761334,0.33048312,0.46169750000000004,0.41376757,0.43796237,0.31173152
17,7,1,0.40623574,0.34951522,0.57401792,0.32008883,0.23143084,0.42300263,0.39931799,0.31976802,0.37646423,0.26412744,0.62968701,0.34801266,0.40765178,0.48701898,0.54055876,0.39124769,0.35261599,0.42134332,0.28593661,0.33596969,0.46294007,0.43829143,0.27684361,0.49880675,0.27122918,0.4529964,0.38567448,0.25669571,0.41379833,0.32109512,0.33517332,0.26114118,0.56980935,0.40164681,0.28420787,0.29612181,0.3789741,0.38121846,0.46534913,0.58826178,0.53790952,0.38555752,0.35331789,0.39128196,0.59697071,0.720881,0.32892909,0.45144798,0.40799644,0.36687637,0.43164068,0.22092686,0.45455168,0.39968876,0.26971259,0.48314452,0.36237399,0.29397665,0.4760104,0.32149549,0.38597519,0.24394904,0.35626737,0.47888233,0.42963898,0.46717464,0.33176009
18,7,2,0.43537816,0.36006123,0.58927464,0.33554834,0.2457935,0.43473693,0.41029007,0.32420938,0.40494514,0.26905758,0.64727499,0.35244369,0.41475267,0.50650723,0.4974893,0.39085563,0.36989141,0.41432225,0.30380568,0.34972789,0.47013946,0.45386406,0.28367039,0.53206334,0.28979796,0.4519068,0.37246356,0.26442939,0.41413529,0.35144963,0.35754278,0.26252637,0.55715641,0.40169234,0.3053145,0.31913121,0.39109002,0.40935866,0.49434617,0.62259998,0.54867395,0.38945611,0.3407414,0.4166728,0.6038786,0.72284663,0.37014214,0.46502217,0.41650448,0.38554827,0.46937653,0.23177247,0.45420155,0.44200698,0.28999855,0.48850164,0.37136949,0.31536812,0.48570866,0.31324306,0.40247243,0.25948857,0.38256122,0.48590082,0.43794496,0.48684982,0.35147447
19,8,0,0.44769609,0.35605545,0.58812888,0.32921649,0.25574089,0.42501906,0.41078945,0.31375037,0.41111111,0.26704636,0.64108533,0.36502282,0.40244656,0.49668954,0.39802739,0.37005304,0.37982889,0.39442212,0.31916703,0.34344642,0.44881266,0.45796089,0.28491357,0.54704214,0.30532079,0.42254631,0.34637039,0.27018393,0.40401820000000005,0.35927694,0.37029399,0.2526282,0.49464099,0.38300068,0.31917255,0.33823556,0.39373803,0.42193779,0.50549302,0.63306552,0.52521841,0.36797301,0.30611299,0.4365183,0.60943267,0.69366463,0.41800194,0.45334402,0.39916866,0.40066405,0.5051397,0.23138627,0.4414675,0.46276362,0.29332269,0.48679539,0.3783591,0.31561592,0.47887812,0.28556464,0.43072019,0.26176471,0.41340172,0.47396238,0.40001683,0.48906059999999996,0.36146376
