,measure_number,beat_number,pid1263-14,pid52932-07,pid9048-14,pid9050-14,pid9054-14,pid9055-14,pid9058-14,pid9059-14,pid9062-14,pid9063-14,pid9064-09,pid9065-09,pid9066-14,pid9067-14,pid9068-09,pid9072-14,pid9074f-14,pid9075-14,pid9078-06,pid9081-02,pid9088-09,pid9090-07,pid9093-14,pid9094-14,pid9098-01,pid9099-14,pid9100b-10,pid9101-14,pid9103-08,pid9104-14,pid9105-14,pid9115-08,pid9118-14,pid9126-02,pid9128-10,pid9130-06,pid9138-14,pid9139-14,pid9153-14,pid9166e-07,pid9170-14,pid9173-19,pid9174-14,pid9185-01,pid9186c-14,pid9192-14
90,31,2,0.77162619,0.59670964,0.66151256,0.47366504,0.53180587,0.5206632000000001,0.63803272,0.93983447,0.81639142,0.65675167,0.836648,0.82065945,0.9066758,0.47849824,0.69451524,0.76834648,0.72115322,0.66354939,0.75142788,0.36704590000000004,0.75995017,0.44582119,0.50900198,0.65951421,0.73964848,0.70476617,0.60425144,0.75449314,0.5147789,0.77744236,0.62942821,0.66180387,0.60558886,0.69141981,0.55499103,0.52654882,0.92164502,0.66139982,0.91084601,0.67363418,0.69245283,0.73212102,0.85134735,0.36119464,0.75135246,0.99199477
91,32,0,0.88998853,0.6188948000000001,0.66665199,0.58503548,0.47246777,0.57541229,0.64488096,0.87153652,0.832039,0.64992853,0.86683401,0.83095719,0.89365913,0.35367587,0.68940933,0.70017377,0.74424198,0.57621781,0.80078084,0.35230522,0.83617339,0.43853787,0.4822218,0.62394261,0.71898529,0.64302562,0.58379079,0.72656472,0.44464617,0.69263133,0.63495516,0.70146935,0.56586592,0.55302268,0.51537566,0.47173688,0.91277056,0.65755072,0.91476186,0.70989851,0.72321925,0.74472326,0.92953336,0.33239931,0.7872355,1.0
92,32,1,0.96549691,0.65096908,0.69068739,0.71471358,0.42881053,0.62845048,0.64601744,0.83195394,0.81317326,0.61978485,0.87867671,0.80600268,0.87813047,0.31328996,0.68332185,0.61489106,0.73628928,0.45131149,0.83844434,0.35994816,0.87143996,0.47342498,0.47164895,0.59383851,0.72014717,0.59340382,0.55424184,0.69018603,0.39217385,0.60827985,0.65735389,0.71335965,0.52594355,0.4579666,0.49779308,0.47003395,0.88528139,0.65897519,0.9124851999999999,0.77868519,0.77036712,0.76502025,0.98304058,0.32440313,0.8078477,0.98750204
93,32,2,1.0,0.67170288,0.72458345,0.77369742,0.38952985,0.69253902,0.63642598,0.8029506999999999,0.77447825,0.6090574000000001,0.8649674999999999,0.75825318,0.8512598,0.31223543,0.67776821,0.51876086,0.67206835,0.41371283,0.84992528,0.42184253,0.8866567,0.56694283,0.48264509,0.54834474,0.72863343,0.5747133000000001,0.5209309,0.64322876,0.36368888,0.55699231,0.68404012,0.7065385000000001,0.58534186,0.42990243,0.54759422,0.48660922,0.8524530999999999,0.65374202,0.86767143,0.83298977,0.82938423,0.79552132,1.0,0.34103335,0.81661302,0.95670642
94,33,0,0.95175942,0.68311548,0.69140272,0.73862011,0.34785505,0.67569451,0.56142843,0.75782656,0.68961132,0.57410667,0.8201712,0.66761313,0.812971,0.33978012,0.63868607,0.46097447,0.56429381,0.41572989,0.79870709,0.45225996,0.87428999,0.58721777,0.47401938,0.46859233,0.67777284,0.5552989,0.56307102,0.57665931,0.34422667,0.47507329,0.67675516,0.65696832,0.7211417,0.39258412,0.58912548,0.47437076,0.78398268,0.62312091,0.80429833,0.8241272,0.81358783,0.78176765,0.91595036,0.34856251,0.80593029,0.88114687
95,33,1,0.79361892,0.68972325,0.54111549,0.63210653,0.32296068,0.53643178,0.38518664,0.6811371,0.45651629,0.47613782,0.77086954,0.43744376,0.74185887,0.31220552,0.53818667,0.37140757,0.41493359,0.38967552,0.59310449,0.40900488,0.80643747,0.51329206,0.41022481,0.32126043,0.53809703,0.49855226,0.58831094,0.52770771,0.31586548,0.3773552,0.58989212,0.47516819,0.80595844,0.32039934,0.51410244,0.40523143,0.70585137,0.51305261,0.62823058,0.7453094,0.67304373,0.56612404,0.68190781,0.31433388,0.7456687,0.82241464
96,33,2,0.54687002,0.69512305,0.29296987,0.47284207,0.28721157,0.30387159,0.26683648,0.48400864,0.26311834,0.37792823,0.70805175,0.25066485,0.65005709,0.25322713,0.41848631,0.2634073,0.28582766,0.28172686,0.29105506,0.23345403,0.63384155,0.33786417,0.23491675,0.25113008,0.5037761,0.39312729,0.33890595,0.49897525,0.23367719,0.32015688,0.39538619,0.28915156,0.58076867,0.26728864,0.33023718,0.27942963,0.64792929,0.38554716,0.24414898,0.55822381,0.31651309,0.25043278,0.31411008,0.22437124,0.70519756,0.70314491
97,34,0,0.2592752,0.68393582,0.26796602,0.38211327,0.25382407,0.25491666,0.10737729,0.28074847,0.26479487,0.25015422,0.67902426,0.25526384,0.58093933,0.26277017,0.34696918,0.20825424,0.19805637,0.19527226,0.23392843,0.14787993,0.54612855,0.20961398,0.16328661,0.17673263,0.70519086,0.28725498,0.22990403,0.47850386,0.16637783,0.49015134,0.32801295,0.28258737,0.24215312,0.30241915,0.24208178,0.22924968,0.56881674,0.3482381,0.22615427,0.30925778,0.17035981,0.15676169,0.24904313,0.18970977,0.63087037,0.57960301
98,34,1,0.34993944,0.65249256,0.36569234,0.45373843,0.31073015,0.34014463,0.14373469,0.29940266,0.37091708,0.27273001,0.61096093,0.35536182,0.53679683,0.24836587,0.42069055,0.30518647,0.21478782,0.24712589,0.40099864,0.19329520000000003,0.62735426,0.22318827,0.15365441,0.18959017,0.78379979,0.28093534,0.24451056,0.48707236,0.25251358,0.6219316999999999,0.43097626,0.37330639,0.33668789,0.36224413,0.34931125,0.35781025,0.66329726,0.42272488,0.29481832,0.34327692,0.21664473,0.32271103,0.36684408,0.20955212,0.63954667,0.49311387
99,34,2,0.39489705,0.64922023,0.43448595,0.43328566,0.33546203,0.33734015,0.18365827,0.33453041,0.42809242,0.27433988,0.54789856,0.41066965,0.43681206,0.24182185,0.42665748,0.35584147,0.21910431,0.25409392,0.46123012,0.20299545,0.63388142,0.22647487,0.22733515,0.20108787,0.74538951,0.28797072,0.24803263,0.4334542,0.30451826,0.60020601,0.49957631,0.43959073,0.39216442,0.36589046,0.40168308,0.40244996,0.73369408,0.41811808,0.31628267,0.35227079,0.25565306,0.35479234,0.36150882,0.20604383,0.62993221,0.46221206
100,35,0,0.41324026,0.59491571,0.43567451,0.40780065,0.369857,0.35542817,0.18176741,0.39457359,0.45449290000000003,0.24785978,0.5517925,0.43742377,0.44583238,0.24730387,0.34987946,0.37263735,0.22155005,0.2766563,0.47772745,0.20793301,0.60215247,0.24413693,0.25118051,0.19478571,0.72506806,0.32679951,0.27502879,0.41575753,0.3174816,0.55004358,0.52862762,0.48552841,0.40896824,0.35459941,0.46028763,0.38542057,0.77077922,0.38224359,0.32077224,0.36016176,0.30013164,0.34345271,0.34711393,0.20284308,0.60801205,0.48648097
101,35,1,0.45000637,0.55983954,0.49009531,0.47648471,0.43437331,0.44862863,0.19387675,0.47087442,0.47663461,0.20435568,0.61779623,0.45803923,0.54446221,0.30750879,0.37779404,0.38797621,0.27449789,0.35720322,0.50979529,0.25829613,0.61786746,0.29271668,0.26202615,0.18945888,0.76690702,0.45187475,0.41763916,0.46081507,0.35757513,0.53258062,0.55903221,0.52556765,0.43324338,0.39145250000000004,0.52379105,0.36579136,0.80137085,0.35122848,0.35892906,0.38564657,0.37656867,0.37932979,0.46497932,0.23766402,0.62412518,0.53455318
102,35,2,0.54454325,0.57774272,0.60144609,0.56157416,0.48193045,0.5923891,0.29277947,0.52405901,0.49999036,0.25715038,0.67529124,0.47919458,0.62431301,0.38478797,0.52263647,0.421842,0.35077745,0.46039225,0.56184761,0.3422038,0.65193822,0.32999818,0.27876023,0.29038732,0.79701329,0.53863359,0.52041267,0.51079142,0.41809367,0.59675145,0.59491317,0.56086479,0.47963999,0.50831112,0.53848766,0.44819091,0.7998557,0.39479108,0.40907932,0.45629768,0.48562235,0.41720797,0.55820457,0.25973893,0.68060672,0.62119752
103,36,0,0.59471218,0.63237177,0.68899258,0.64809368,0.51224678,0.66555252,0.40901342,0.5370349,0.53313549,0.30249003,0.74164897,0.51326708,0.69308061,0.42890584,0.66147753,0.4504077,0.42662779,0.50820378,0.62170835,0.37177773,0.70705531,0.3447469,0.28861819,0.37808309,0.8370296999999999,0.58172428,0.59245681,0.55796942,0.45819407,0.65215118,0.59813829,0.59300832,0.54173701,0.59692954,0.52575544,0.55605508,0.78629149,0.45499273,0.46279938,0.56180823,0.55291063,0.49421901,0.65970334,0.2625524,0.70458125,0.70596308
104,36,1,0.59613055,0.66037141,0.7286884,0.7432746,0.47895136,0.74501279,0.50144999,0.51471033,0.56942169,0.33185135,0.7776276,0.54617984,0.69361346,0.44479097,0.77621836,0.46242481,0.46853741,0.48908555,0.6505671,0.36896949,0.74750374,0.34704115,0.31537014,0.45145831,0.87610065,0.58252135,0.6318906,0.57348258,0.48293102,0.70379526,0.59430609,0.58993646,0.62168809,0.63144395,0.50624485,0.65941215,0.75295815,0.51356785,0.51093707,0.61814792,0.54787919,0.56682284,0.72529866,0.26173228,0.70992262,0.73206175
