,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
5,0,0.58965212,0.51073511,0.47605065,0.46060951,0.55702685,0.4427987,0.76241752,0.62636296,0.64654366,0.5312434,0.72019785,0.38246829,0.64277341,0.58355382,0.50459137,0.43265143,0.45972679,0.50587404,0.35139196,0.36740051,0.64447665,0.37121871,0.63964307,0.39925417,0.41110029,0.34314322,0.15315142,0.36964196,0.78080196,0.29084061,0.67767191,0.64781063,0.60062343,0.47432669,0.37709998,0.4703314,0.61876553,0.39119013
5,1,0.56357707,0.47706415,0.40246834,0.44735966,0.51263673,0.45183726,0.72335709,0.46607847,0.56551009,0.44536669,0.71954354,0.38713494,0.57221263,0.72975716,0.50195081,0.33754195,0.48048739,0.45711205,0.34079919,0.39142911,0.56733783,0.36172288,0.59242048,0.42783877,0.43902629,0.37509456,0.17215595,0.46204663,0.83347389,0.33192467,0.66356452,0.73980942,0.57340029,0.51201469,0.49086836,0.39075622,0.52128882,0.42766314
5,2,0.5608391,0.4849294,0.4478987,0.5109204,0.54381008,0.50137132,0.71396147,0.4261849,0.53882872,0.48502396,0.69369061,0.45440703,0.60455698,0.87478253,0.57937713,0.36646156,0.52346741,0.48403599,0.39755697,0.4858124,0.55886869,0.40299095,0.63175032,0.55322216,0.48002921,0.49549803,0.30171854,0.54321966,0.86498505,0.44041341,0.65871187,0.86183166,0.56812711,0.57549843,0.58783693,0.43646376,0.51611801,0.52225691
6,0,0.54822033,0.50150399,0.60501009,0.55077502,0.61798144,0.54968558,0.7003431,0.46909949,0.51438026,0.65083245,0.64816171,0.55792783,0.68945158,0.89534252,0.6820386,0.44927281,0.54198499,0.55044241,0.55644214,0.58309342,0.57944218,0.4745211,0.68579407,0.70600855,0.54358325,0.64513832,0.42113442,0.63222221,0.8236602,0.54339917,0.65436147,0.93261741,0.5790458,0.61329136,0.65927723,0.61627495,0.58381988,0.57070738
6,1,0.53009341,0.52156998,0.70646908,0.58454331,0.70931389,0.60762179,0.7121668,0.55859992,0.53059233,0.76564607,0.63393831,0.69757685,0.76829294,0.83822943,0.70382498,0.53619147,0.57101779,0.65417503,0.66479389,0.6712861,0.61554372,0.55672817,0.73783887,0.77898265,0.60259981,0.73764741,0.50130262,0.67155623,0.82573028,0.61895269,0.66172539,0.96097709,0.6216469,0.64512067,0.75494661,0.74042679,0.61951863,0.57775832
6,2,0.51375423,0.58447667,0.73106992,0.63621158,0.73218429,0.65350405,0.74879916,0.68636336,0.57178099,0.79328352,0.67343044,0.80118529,0.8222073,0.76271294,0.67612346,0.62563529,0.59483936,0.75269537,0.71946216,0.73335215,0.63230179,0.62610177,0.74818394,0.79011984,0.72436222,0.77490173,0.56154303,0.69680411,0.90071303,0.65480937,0.68279784,0.92785298,0.65494848,0.643468,0.82662585,0.82454519,0.60348602,0.56744841
7,0,0.48720406,0.6223143,0.62206827,0.67850074,0.64387637,0.62721418,0.75771971,0.75052518,0.59138254,0.68250629,0.71539181,0.83013825,0.80549694,0.62526278,0.61773148,0.68278728,0.56186019,0.79381367,0.6548829,0.76079594,0.63201191,0.66605947,0.71355267,0.72714322,0.81491723,0.72363717,0.55614973,0.66527631,0.93145749,0.66831419,0.67786395,0.75324813,0.66876786,0.58578174,0.85163892,0.80533976,0.55375,0.54305185
7,1,0.48540023,0.59228054,0.4822995,0.68839653,0.49530162,0.51513751,0.71538665,0.74130204,0.57069795,0.53912125,0.74439944,0.77903512,0.73800541,0.58540232,0.52096426,0.67784881,0.46539337,0.77016879,0.51028975,0.7283752,0.58769978,0.63873546,0.68261017,0.63186961,0.79020448,0.60927835,0.47982083,0.59585921,0.89066932,0.68321543,0.64518059,0.53971867,0.62996796,0.54943162,0.79795416,0.68951716,0.50351708,0.50769816
7,2,0.49590916,0.53746931,0.35916682,0.71515895,0.40104408,0.42496401,0.6618105,0.69124502,0.53533226,0.4057419,0.76586696,0.63103871,0.69611228,0.601332,0.43531666,0.61694902,0.39313601,0.69278757,0.39991162,0.61678427,0.47258696,0.5666412,0.71636562,0.52253415,0.70307692,0.48781428,0.35259838,0.53751063,0.83125048,0.68541112,0.57608391,0.37564849,0.55957226,0.49896817,0.64568805,0.59983283,0.43936335,0.43557451
8,0,0.46597681,0.52036525,0.36971921,0.75214993,0.37650812,0.35967119,0.59736078,0.65333213,0.48610777,0.41678714,0.7177442,0.5529435,0.68973933,0.58348133,0.45311085,0.54805018,0.33189982,0.5887724,0.38870021,0.50798758,0.40879818,0.50042896,0.78604033,0.50452527,0.57842259,0.45603352,0.25262581,0.48595463,0.76036955,0.66875517,0.52776424,0.32290706,0.48846653,0.4812347,0.51822594,0.61737634,0.45783385,0.39772329
