,,pid1263-21,pid50848-05,pid51495-04,pid5667249-16,pid5667291-17,pid9048-21,pid9049-21,pid9050-21,pid9054-21,pid9055-21,pid9058-21,pid9059-21,pid9060-21,pid9061-21,pid9062-21,pid9063-21,pid9064-11,pid9065-16,pid9066-21,pid9070b-04,pid9072-21,pid9074f-21,pid9075-21,pid9081-12,pid9088-16,pid9089-16,pid9093-21,pid9094-21,pid9099-21,pid9100b-21,pid9101b-03,pid9103-11,pid9104-21,pid9105b-04,pid9111-21,pid9113-17,pid9114b-11,pid9116-09,pid9118-21,pid9122-05,pid9123-04,pid9129-16,pid9130-05,pid9138-21,pid9139-21,pid9153-21,pid915411-09,pid9158-12,pid9166f-18,pid9170-21,pid9174-21,pid9185-10,pid9186c-21,pid918904-06,pid9192-21
33,0,0.13599363,0.13543489,0.15892168,0.13396947,0.17030568,0.13099022,0.18202696,0.11799762,0.16857775,0.21668904,0.13499884,0.18188712,0.20777308,0.20109224,0.20193971,0.18998995,0.1406798,0.12810237,0.38792654,0.15774761,0.20054982,0.26896643,0.19097577,0.13979519,0.10421296,0.33322263,0.14899273,0.19138405,0.27174841,0.15594968,0.1815993,0.20890647,0.19361846,0.20842436,0.2574987,0.17842881,0.1973086,0.11382933,0.21706572,0.21755819,0.15311573,0.16800102,0.25392925,0.17582763,0.1925722,0.12215637,0.1239445,0.15828626,0.37041503,0.2048472,0.13963,0.10924817,0.098307682,0.15427117,0.17061348
33,1,0.17362414,0.13878881,0.17482206,0.17079272,0.2483567,0.16351019,0.24095251,0.14547538,0.27777844,0.25760195,0.13890139,0.2251349,0.22064834,0.28728067,0.22106366,0.33407281,0.21805586,0.16767974,0.42686857,0.17971778,0.23558033,0.26411971,0.22616485,0.14225552,0.14147154,0.42224973,0.2137467,0.22961005,0.27180831,0.20061483,0.23168188,0.27188489,0.28694954,0.25720485,0.37740844,0.26600595,0.23219347,0.12802941,0.26055329,0.35748792,0.20167616,0.21400646,0.30213009,0.27536752,0.20182556,0.15827238,0.15690122,0.22679921,0.3843893,0.25534078,0.18706653,0.14729879,0.15928859,0.19361996,0.23620516
33,2,0.24111662,0.20102934,0.2026829,0.21418673,0.30681836,0.21087979,0.29699885,0.19707527,0.34596162,0.30390166,0.19995345,0.25796996,0.23446794,0.33284476,0.24916902,0.41655716,0.26914917,0.21038895,0.43367269,0.19653479,0.29738646,0.26773489,0.26132387,0.21066806,0.19010426,0.48710285,0.29977708,0.26984072,0.30092849,0.24879871,0.28265971,0.31305755,0.34794185,0.30086039,0.47372852,0.33264358,0.25954537,0.15670766,0.31513832,0.45310496,0.23202342,0.25583036,0.34396348,0.35161037,0.23343958,0.20272383,0.17666336,0.28659673,0.41097055,0.28464267,0.2236602,0.18204203,0.18856887,0.23128418,0.27375126
34,0,0.28585206,0.23896895,0.22685006,0.23159718,0.33544779,0.23519887,0.32928663,0.21922619,0.39305913,0.33271522,0.23773761,0.27891935,0.23968288,0.35745191,0.27465622,0.46277344,0.28649058,0.22410338,0.43950478,0.1932214,0.34339083,0.27852744,0.2827211,0.2720321,0.22212442,0.53572255,0.36238441,0.28865852,0.32482965,0.26513432,0.32694481,0.3474964,0.37476122,0.32477929,0.57244402,0.36406738,0.2817654,0.16996849,0.36623848,0.51750549,0.25741439,0.28615502,0.37784709,0.40249691,0.25610934,0.22437579,0.18344896,0.3105128,0.43296549,0.30619495,0.22515348,0.18927237,0.20107287,0.25872776,0.31954408
34,1,0.3306229,0.27698576,0.24593989,0.24023488,0.35221022,0.25368256,0.35460335,0.22971486,0.41579482,0.36469206,0.27580883,0.30706577,0.24605356,0.37470932,0.30306894,0.50569684,0.28726997,0.22827075,0.45397248,0.20599268,0.38324923,0.2968152,0.31534299,0.32623681,0.24582977,0.57909886,0.38472589,0.30724976,0.34807188,0.27144344,0.37321165,0.36961871,0.40227369,0.33386204,0.63701614,0.38334422,0.3067654,0.18485448,0.4132786,0.55840141,0.27735183,0.31126126,0.39531381,0.44411402,0.27999614,0.24155738,0.18738024,0.3250752,0.46091403,0.32686647,0.22268956,0.19466644,0.20593269,0.28752907,0.38448542
34,2,0.37020881,0.31910276,0.26030417,0.24524369,0.36809163,0.26411462,0.36263126,0.23005409,0.42844503,0.39627454,0.31961362,0.32568179,0.25706131,0.39026848,0.3303547,0.54252918,0.28343797,0.24811416,0.45648949,0.24227918,0.42166152,0.30979276,0.35378464,0.35932928,0.25334131,0.62737639,0.40501156,0.33134697,0.36188693,0.29421112,0.42419817,0.37565468,0.43169639,0.33317372,0.67208818,0.40181515,0.33468805,0.20499907,0.4335337,0.57120773,0.28475419,0.32805541,0.40772157,0.48458647,0.29130687,0.25791929,0.19316155,0.34147898,0.48612801,0.34239522,0.24065041,0.2233583,0.2181046,0.30111886,0.42534361
35,0,0.38824987,0.35810602,0.27344895,0.25290076,0.37906228,0.28106111,0.37179053,0.23314385,0.44292461,0.4196929,0.35659865,0.35111565,0.26178999,0.40447467,0.35579638,0.55303393,0.28710399,0.27800977,0.45669412,0.2991337,0.45162311,0.32060518,0.3951001,0.39058206,0.2574859,0.65483128,0.41985634,0.37124125,0.37806065,0.32625804,0.45023903,0.37779137,0.46104302,0.33263504,0.70011283,0.41470268,0.35916158,0.23182352,0.44185679,0.57231445,0.28895661,0.33422574,0.41090909,0.51751206,0.29857046,0.26649433,0.20142716,0.35856504,0.49967164,0.34136076,0.26720591,0.25596269,0.2428763,0.30708404,0.46472679
35,1,0.39233764,0.39089895,0.28150467,0.2656606,0.38336015,0.29400791,0.37946616,0.2335656,0.44771328,0.42686692,0.38931647,0.37087648,0.26909796,0.41102107,0.3752732,0.52960501,0.30362272,0.29630409,0.46721236,0.35819416,0.46985012,0.33084155,0.43518307,0.40094423,0.26178431,0.63875889,0.4241496,0.40556776,0.39681767,0.34402194,0.46193829,0.37908633,0.48225847,0.34810714,0.70780246,0.42019168,0.36951388,0.27025891,0.43319537,0.54929293,0.29183575,0.33037566,0.41052872,0.53250477,0.30905052,0.26193569,0.21608193,0.37047172,0.49953168,0.32789502,0.29810851,0.28788891,0.26720736,0.31201835,0.49767348
35,2,0.37672093,0.41403328,0.2821027,0.27521433,0.38444036,0.29823894,0.38122078,0.23024663,0.447791,0.42179057,0.41242144,0.38775704,0.27878083,0.40696921,0.37781167,0.49016774,0.32648481,0.3039569,0.48625365,0.41069036,0.46991037,0.33627094,0.45837792,0.39154624,0.2637327,0.60344394,0.42059115,0.42247014,0.41260951,0.34922437,0.46535419,0.37514388,0.49903643,0.38043543,0.69751779,0.42010455,0.37156072,0.30861398,0.42078968,0.51969258,0.29728928,0.32562468,0.40737162,0.53614634,0.31728002,0.25481715,0.22670631,0.37909911,0.49485923,0.31068156,0.3273768,0.30929825,0.28186985,0.31436294,0.51864566
36,0,0.35492833,0.42023503,0.27806897,0.2901468,0.38999464,0.29806731,0.38306348,0.22796369,0.44617684,0.41887901,0.41870587,0.39798017,0.29048626,0.4005285,0.36897824,0.45961197,0.34591903,0.3081832,0.51210928,0.46520497,0.4546509,0.33860822,0.47967895,0.37128735,0.26439925,0.55773276,0.41643824,0.43132638,0.42517409,0.35027431,0.46833551,0.36958273,0.51719212,0.42700135,0.66993578,0.4251434,0.37577249,0.33719335,0.40771859,0.50124726,0.30630363,0.32921129,0.40384937,0.54700931,0.31821694,0.24955233,0.24060786,0.38504145,0.48607418,0.29828575,0.34722084,0.31857355,0.28842199,0.31534352,0.53405967
36,1,0.32908335,0.4231858,0.27181905,0.32675279,0.4057075,0.30423103,0.39392995,0.22287522,0.44261374,0.42066622,0.42194119,0.41954207,0.30845666,0.39911211,0.35658182,0.44105279,0.37218013,0.31662738,0.54771576,0.53084755,0.42811629,0.34132954,0.51337702,0.3395137,0.27228679,0.51970049,0.41484478,0.44037485,0.4428903,0.35519296,0.47611473,0.36271223,0.55969064,0.46503816,0.62849332,0.44274305,0.3874385,0.36306,0.40922983,0.48577075,0.31781217,0.34809621,0.40374287,0.57238245,0.31055733,0.25189155,0.26889329,0.39230431,0.47309038,0.30045516,0.36586195,0.32138013,0.28693403,0.32049783,0.55701643
36,2,0.32525217,0.45064334,0.26485384,0.40431004,0.43284302,0.32228938,0.41752591,0.22072064,0.43293478,0.43430945,0.44889441,0.45191775,0.3296265,0.40737087,0.35029824,0.45884672,0.40737533,0.33178986,0.57729575,0.5722247,0.3940122,0.34236244,0.54705104,0.30428229,0.292121,0.50430241,0.42431473,0.45084443,0.46105578,0.36831252,0.49481964,0.35834532,0.59147156,0.48311387,0.57760805,0.47447179,0.4030801,0.38928505,0.4330262,0.48636803,0.31943219,0.37796192,0.40824648,0.60677814,0.30106249,0.26302018,0.30767096,0.3973663,0.46919309,0.33565053,0.38454455,0.33449492,0.28070758,0.3305676,0.57857861
37,0,0.33527694,0.48761366,0.25107586,0.46559014,0.45620164,0.35193642,0.45278775,0.22689099,0.40401148,0.45849975,0.48783459,0.48082981,0.33534884,0.41305757,0.36095301,0.49494473,0.43246735,0.35187742,0.5855937,0.60979727,0.36257438,0.34021055,0.57221788,0.27413778,0.31240814,0.51780844,0.44261063,0.47010847,0.48008237,0.38624669,0.51095176,0.35606475,0.61779224,0.4751833,0.56240236,0.5027445,0.41225645,0.4100105,0.46529227,0.49679403,0.3143556,0.40209927,0.4151997,0.62563124,0.28474838,0.2807377,0.34714899,0.39964053,0.48469613,0.36092688,0.39649909,0.35044759,0.2646146,0.33557106,0.60485417
37,1,0.37120864,0.52476411,0.23713371,0.50799765,0.46902628,0.36475636,0.48193889,0.24299991,0.3844204,0.49055211,0.52270153,0.50545428,0.34521494,0.4109647,0.38361716,0.51777074,0.45042939,0.35807375,0.60138129,0.63244619,0.35090005,0.33449646,0.59508808,0.27045837,0.35991284,0.55568974,0.45922226,0.49476864,0.49866717,0.39303821,0.52388527,0.3502518,0.63504353,0.43844082,0.57964763,0.52035867,0.41426392,0.44646852,0.50432507,0.51698726,0.3069372,0.42629611,0.41860784,0.63045674,0.26466725,0.29671501,0.39100099,0.40152593,0.50598051,0.37852456,0.41046955,0.38233207,0.26273708,0.33710478,0.64423734
37,2,0.40191117,0.5463287,0.22476284,0.5133118,0.46997625,0.36646519,0.50457964,0.2632988,0.38009805,0.52488673,0.54440996,0.53247776,0.37696265,0.41037277,0.41849558,0.52844554,0.44322725,0.36197171,0.6185297,0.63909083,0.36219025,0.32788188,0.60860939,0.2770414,0.39584686,0.58677777,0.46718131,0.51811753,0.51073755,0.40034052,0.53408953,0.35158993,0.64356352,0.40333682,0.61634265,0.52311043,0.41830348,0.47400976,0.51827583,0.53031181,0.30400994,0.44082101,0.41833397,0.62787566,0.26306385,0.30407314,0.41674265,0.4146651,0.5181138,0.39507596,0.43188983,0.42699748,0.28130787,0.34181281,0.66586658
38,0,0.4515307,0.55571282,0.21836048,0.49241339,0.47050486,0.36800239,0.5316442,0.29180343,0.38853949,0.54332942,0.55369695,0.56836809,0.42090204,0.41652456,0.44170613,0.53925949,0.43086527,0.37520626,0.64461043,0.64050192,0.39682157,0.32347216,0.62466182,0.29110515,0.4427021,0.64016787,0.47697325,0.54086228,0.52171471,0.41652478,0.5471621,0.36834532,0.64894768,0.38200658,0.69013192,0.52509983,0.4361297,0.50562936,0.52479446,0.54128239,0.30380143,0.46110828,0.41983264,0.62276961,0.27701149,0.31215006,0.44837793,0.43077544,0.53292781,0.41783413,0.45914219,0.48105294,0.3180599,0.35235401,0.69011063
38,1,0.49613343,0.56405044,0.22828063,0.45361715,0.4801425,0.37718081,0.57473071,0.35142569,0.4300831,0.57300722,0.56157188,0.63987166,0.48242424,0.43046297,0.47684637,0.56319858,0.41931154,0.40113655,0.68463703,0.63764401,0.45824358,0.32128054,0.65580473,0.33166726,0.4945223,0.70371265,0.48934115,0.57349993,0.53897417,0.44496784,0.56676228,0.40876978,0.66129659,0.39468053,0.75748134,0.536194,0.48182936,0.54843972,0.51603153,0.56299517,0.30909455,0.48303587,0.42534043,0.61665357,0.34546508,0.32078815,0.4906442,0.46069254,0.54804328,0.46316723,0.50135225,0.54619911,0.38570151,0.37695015,0.72142139
38,2,0.55238011,0.57322868,0.26665963,0.41626541,0.51409638,0.38742631,0.60567035,0.43551847,0.50921863,0.60766068,0.57050974,0.70923144,0.5846723,0.44959481,0.53024542,0.59386256,0.41690121,0.41765449,0.73083338,0.63007949,0.53265798,0.32203536,0.69752901,0.39628956,0.53708768,0.75591518,0.50748018,0.60211451,0.56896294,0.45828604,0.60519774,0.46702878,0.67788015,0.44612449,0.81837355,0.57365135,0.55368038,0.58170302,0.48837813,0.59692578,0.32033844,0.50472548,0.44038037,0.60857367,0.40930165,0.32945776,0.51763462,0.47840951,0.56593637,0.53422002,0.556222,0.58662855,0.46334376,0.40414231,0.75152531
39,0,0.58709963,0.57193344,0.36269509,0.36174398,0.55228683,0.3906798,0.60905088,0.555634,0.62772763,0.65307099,0.56995112,0.77621409,0.70887949,0.46110211,0.57555095,0.63182345,0.41298261,0.4548493,0.80002046,0.59787443,0.60034646,0.32375687,0.74664823,0.51194698,0.56976585,0.7665932,0.52869881,0.62562818,0.62176713,0.49575293,0.64902216,0.52988489,0.68754966,0.51145444,0.89064399,0.60906121,0.62802598,0.62083668,0.44366126,0.62323232,0.34791884,0.51665817,0.45898821,0.58674672,0.54032648,0.34013241,0.52338289,0.47442594,0.59039673,0.60377135,0.62642276,0.62616072,0.53156013,0.44233453,0.76895743
39,1,0.59597416,0.56336421,0.44402622,0.33032296,0.55840803,0.37931498,0.57610595,0.63427157,0.68721229,0.66189797,0.56102103,0.8063293,0.7825229,0.45326615,0.57106593,0.62655175,0.42675182,0.49685974,0.85696015,0.56915245,0.63588913,0.32971595,0.75235977,0.56123105,0.56301487,0.71007317,0.54513705,0.64710284,0.66175215,0.52834847,0.68895263,0.55974101,0.66842194,0.57072423,0.91173407,0.62016264,0.66374729,0.63121794,0.4227182,0.62894159,0.35840885,0.50719871,0.47799924,0.5683425,0.59832899,0.35578815,0.50987777,0.44532316,0.59440168,0.63332742,0.68061224,0.6232185,0.57998595,0.47215413,0.76821991
39,2,0.58940895,0.55422886,0.47137111,0.34662948,0.5546158,0.36735318,0.56153377,0.69420556,0.7297782,0.65411982,0.55200559,0.81106898,0.82832981,0.4420055,0.5504394,0.61338796,0.44771596,0.52208284,0.87421088,0.55900688,0.64476915,0.33858836,0.7361871,0.5726239,0.54132627,0.67403359,0.54734974,0.65565701,0.67006365,0.56378169,0.70846588,0.56483453,0.6418984,0.59420919,0.8713765,0.61799898,0.6823952,0.62324662,0.41010951,0.63083004,0.36614003,0.49490056,0.48638266,0.54871507,0.61661354,0.37131778,0.48492237,0.42803903,0.59321742,0.64603653,0.71020408,0.60503307,0.5964174,0.48744736,0.75916862
40,0,0.56535127,0.53901184,0.51529649,0.39108632,0.54356853,0.35215282,0.55027437,0.70949849,0.75769714,0.60995133,0.53672124,0.79867289,0.87610994,0.43101966,0.51700665,0.60453737,0.48771018,0.5598754,0.89231084,0.55501474,0.63067711,0.3562471,0.69740877,0.56581922,0.47356862,0.59735515,0.53252972,0.65800494,0.66127293,0.6131574,0.71983485,0.55722302,0.59937452,0.6153449,0.80946016,0.60718072,0.68308404,0.59451894,0.39708354,0.63519543,0.37570776,0.47301547,0.49052872,0.52977219,0.61489423,0.39445776,0.45803766,0.41524466,0.58348495,0.64455873,0.73562303,0.5788035,0.58536305,0.49793827,0.73074086
40,1,0.50797204,0.52664265,0.54295799,0.41879037,0.51923696,0.32555033,0.53123095,0.67747318,0.75877324,0.56036248,0.52473427,0.7734432,0.84362227,0.41048552,0.4659184,0.60265904,0.50996608,0.59806365,0.89392746,0.55288917,0.58684191,0.36253724,0.63782841,0.5457709,0.40952829,0.488069,0.51898118,0.64203625,0.62631973,0.63586833,0.71031725,0.53884892,0.54139126,0.61750711,0.72395417,0.58752632,0.64583743,0.54714206,0.38640337,0.64295125,0.38531558,0.44280129,0.48457969,0.50345079,0.57535014,0.39912358,0.4213743,0.39984594,0.56708834,0.62120943,0.7369255,0.52915093,0.5374545,0.48845308,0.6518002
40,2,0.46581136,0.51794476,0.5487037,0.43932472,0.48967287,0.29126185,0.5029876,0.59457229,0.74454475,0.51616043,0.51552487,0.71423363,0.76624383,0.38495525,0.41035652,0.60279045,0.5089702,0.63593198,0.87061953,0.55164776,0.52393613,0.35565782,0.57418986,0.50484307,0.35219621,0.40112517,0.48767338,0.60652204,0.58414077,0.62867953,0.6808518,0.51997842,0.50142,0.59123148,0.64514841,0.56095985,0.58029915,0.4897176,0.37558786,0.63299078,0.38428102,0.42339793,0.47206542,0.48928852,0.50628803,0.37708071,0.38724149,0.39034554,0.55425526,0.57462907,0.69547868,0.46186591,0.47428955,0.45965177,0.59521958
41,0,0.3323748,0.50727397,0.49994723,0.37079859,0.37705508,0.16424147,0.4151548,0.28522967,0.54177677,0.34890921,0.5048491,0.41720869,0.55272023,0.3357621,0.31991622,0.53985468,0.45781194,0.50867991,0.74949609,0.47618112,0.39529261,0.31661259,0.35209523,0.39208928,0.21367288,0.27111702,0.30617569,0.39662914,0.45067016,0.50031215,0.54089526,0.4431295,0.31793593,0.47091127,0.5308627,0.42480941,0.3533212,0.28997714,0.28146252,0.54279315,0.34844815,0.30801462,0.40200837,0.40949388,0.26940983,0.23833544,0.2099108,0.34633556,0.52045002,0.41279778,0.49573586,0.28895311,0.29878025,0.35166887,0.4100704
41,1,0.33081755,0.49843884,0.45296139,0.31518497,0.34322378,0.13471383,0.39057652,0.18007701,0.466575,0.34494043,0.49581038,0.32596617,0.43826638,0.33933479,0.31096895,0.5379377,0.46507902,0.43290958,0.69064307,0.40503706,0.35517813,0.31161359,0.3182649,0.34966531,0.18327636,0.27935952,0.25981671,0.32205822,0.4052939,0.44251797,0.47424598,0.41742446,0.30904404,0.42872961,0.58793612,0.38471647,0.30228794,0.23042699,0.26957561,0.52825648,0.35204908,0.29448411,0.36715862,0.41242285,0.25238095,0.21050441,0.16647506,0.34519111,0.50042526,0.37418573,0.40205741,0.26630219,0.24910914,0.31933497,0.38458599
41,2,0.37105822,0.48576943,0.40813311,0.26880211,0.32122884,0.14284009,0.37667502,0.16287705,0.43152986,0.3539604,0.48329583,0.27883185,0.32361522,0.35602142,0.30282989,0.54381232,0.48416685,0.36080148,0.64811992,0.35534518,0.34076222,0.31281202,0.325744,0.32441927,0.2045035,0.31857935,0.25505284,0.31585198,0.3833246,0.37415815,0.42837027,0.39772662,0.31260248,0.40820739,0.65014754,0.36242649,0.26991242,0.2170364,0.28487972,0.52651735,0.3670142,0.2927588,0.34508939,0.43569745,0.25385878,0.21407945,0.14011232,0.3544861,0.49031598,0.36233966,0.34245064,0.25390731,0.22820103,0.30030172,0.37444854
42,0,0.41191824,0.47812661,0.36968375,0.24384028,0.31530683,0.15858518,0.37483233,0.17048684,0.42015305,0.36185602,0.475514,0.26532011,0.27675828,0.36611937,0.29807167,0.54947824,0.4959515,0.33368412,0.61150049,0.30970796,0.33982827,0.31270608,0.34365418,0.3240203,0.23301145,0.36090899,0.26656209,0.33222573,0.37406964,0.3456678,0.41505432,0.38848201,0.31975319,0.39478528,0.70092866,0.35613156,0.26222692,0.22322808,0.30921743,0.53413263,0.38275724,0.29793473,0.3361202,0.45673325,0.26127692,0.22435057,0.13322101,0.36488152,0.49182322,0.3704262,0.32113821,0.24432945,0.22484194,0.29017537,0.3753939
42,1,0.44947797,0.46640933,0.34671263,0.22192014,0.31434919,0.17994926,0.39744597,0.18967635,0.42903091,0.37252056,0.46334083,0.27339945,0.25159972,0.37845818,0.29629587,0.55298756,0.51765894,0.33168884,0.56932522,0.26472269,0.3435038,0.31325564,0.38682138,0.3484019,0.27556828,0.40941799,0.28522952,0.36393656,0.37332834,0.34109913,0.42071273,0.38809353,0.34101936,0.38970522,0.73803159,0.35583388,0.27044381,0.24524501,0.33950986,0.5493105,0.39646323,0.30623831,0.33586154,0.48679722,0.27162175,0.24165826,0.1323885,0.38154207,0.49957474,0.39173021,0.32103036,0.24238883,0.22525065,0.28583192,0.39006369
42,2,0.47659706,0.44391834,0.33316917,0.21068702,0.31447943,0.20143273,0.44585733,0.21073622,0.45909009,0.39069475,0.44084879,0.30341257,0.25807611,0.38500458,0.30042801,0.55083095,0.55321498,0.34602627,0.56501765,0.24559257,0.34296904,0.31847315,0.4339085,0.37422422,0.29014698,0.44240814,0.31352378,0.39045036,0.38316735,0.35273364,0.45960887,0.38586331,0.37924098,0.39019901,0.75384482,0.35789588,0.2871974,0.28663412,0.3511261,0.56713219,0.4012511,0.31653068,0.3411259,0.52863315,0.28328987,0.26680328,0.13703997,0.39654464,0.51120202,0.42217887,0.34157956,0.2479707,0.22901846,0.28980451,0.42964801
43,0,0.49064767,0.4248842,0.33462319,0.21709336,0.31398146,0.23096038,0.48796829,0.22086733,0.49945597,0.42533982,0.42331445,0.33669972,0.2727766,0.39556761,0.30681404,0.54528098,0.58882153,0.35157434,0.57572006,0.25890864,0.33840476,0.33034496,0.47604762,0.40425791,0.30118783,0.46358302,0.32290291,0.41455444,0.41310371,0.35831442,0.49013472,0.37611511,0.43435044,0.39777046,0.75764624,0.3593117,0.30360657,0.3296175,0.35790412,0.58338164,0.40227765,0.32481727,0.34899962,0.56772528,0.30077272,0.29033417,0.15324083,0.40221554,0.51878129,0.4465981,0.36548863,0.25669303,0.23196884,0.30021372,0.47566209
43,1,0.47770306,0.41826214,0.34080276,0.2430182,0.31341454,0.24342213,0.52192263,0.22553406,0.51716985,0.45281087,0.41654124,0.36808371,0.28473573,0.41164823,0.31189099,0.54115328,0.60994443,0.34267553,0.58031411,0.29810664,0.34082247,0.34472621,0.5101966,0.41376673,0.30793027,0.46976239,0.32041777,0.43090073,0.43883939,0.35227961,0.50197306,0.37061871,0.47891979,0.40278318,0.7446971,0.36094533,0.31599587,0.36328864,0.36193033,0.58549846,0.39676798,0.32572667,0.3556105,0.59594883,0.32055443,0.29773014,0.17874463,0.39383024,0.51674651,0.45279896,0.38707483,0.25841454,0.23269685,0.31074235,0.50537043
43,2,0.43957707,0.41876823,0.34012265,0.28773341,0.31305447,0.24584732,0.52614999,0.22733107,0.51702636,0.48454439,0.41703778,0.39341549,0.29284003,0.42701008,0.30535698,0.53740434,0.5989969,0.3199276,0.57534148,0.35304992,0.35430444,0.35091704,0.53606686,0.40024603,0.31173304,0.46842386,0.31534841,0.44029933,0.4558742,0.33268067,0.5008605,0.37254676,0.52015045,0.40843932,0.7129665,0.36277499,0.32324838,0.39445715,0.36723094,0.57592446,0.38293368,0.32197008,0.35923925,0.61429694,0.34065488,0.29500631,0.20822597,0.37610594,0.5072509,0.445073,0.3970881,0.25868581,0.23654767,0.32088126,0.52635602
44,0,0.41513891,0.41724138,0.33021423,0.32408103,0.30935417,0.2433102,0.51082582,0.22711103,0.50203862,0.49573754,0.415649,0.40756162,0.29432699,0.4323374,0.29629587,0.53340805,0.58041423,0.28949318,0.56935591,0.41664732,0.37406041,0.34730848,0.55377262,0.37432396,0.32007349,0.46571661,0.31780053,0.4456474,0.46720329,0.31055619,0.50209474,0.37909353,0.54522018,0.4240012,0.65921715,0.36025557,0.32450797,0.41683866,0.37305033,0.56443566,0.36221028,0.31919089,0.3599011,0.62355516,0.35562639,0.29160782,0.23185332,0.35745727,0.4910696,0.43275995,0.39685582,0.26111679,0.24108819,0.32594129,0.53710359
44,1,0.36044948,0.40615028,0.3151933,0.39901351,0.30061289,0.24089247,0.47846352,0.22394792,0.46442279,0.51147005,0.40406548,0.43371737,0.30190275,0.42710873,0.27554412,0.52035248,0.55842534,0.2747348,0.58074385,0.48260248,0.39982677,0.3397868,0.58289545,0.33910364,0.34535977,0.4618218,0.32965654,0.4513456,0.48444028,0.30026485,0.51470665,0.38930216,0.57564027,0.44455334,0.609816,0.35131054,0.32644657,0.44293394,0.3723511,0.5477646,0.33713209,0.32143464,0.36153671,0.63533835,0.36854052,0.29412358,0.26344235,0.33666642,0.47727835,0.42144588,0.39290692,0.27974042,0.24451114,0.3298636,0.5474757
44,2,0.32031499,0.38512609,0.30170847,0.48291838,0.2876197,0.24416835,0.45352618,0.21920785,0.43007114,0.53427589,0.38428117,0.47109523,0.31643411,0.41536185,0.27045579,0.50881966,0.54792524,0.27902846,0.61434491,0.52983835,0.43021767,0.34403099,0.61768773,0.30894805,0.36421979,0.46752815,0.35719122,0.45599341,0.51123175,0.30765229,0.55862668,0.39361871,0.60322881,0.4620006,0.5423364,0.33804545,0.33505216,0.45384663,0.36639637,0.53217391,0.31563076,0.33933367,0.36721948,0.64869263,0.37762967,0.30889029,0.29762801,0.31782701,0.46411154,0.42891175,0.38848515,0.32567869,0.24905805,0.33877051,0.56749581
45,0,0.30228278,0.37065534,0.29161243,0.53442748,0.2750632,0.25707783,0.44569474,0.21708994,0.42353082,0.55330592,0.3698425,0.52847455,0.32373502,0.42120358,0.28133822,0.50394218,0.53957567,0.29849301,0.6438942,0.57866393,0.47634255,0.35933258,0.64690675,0.28006694,0.38689113,0.4933124,0.38494055,0.45994096,0.54890303,0.32725123,0.60000869,0.39921583,0.62926211,0.46513542,0.5492536,0.32435925,0.35166306,0.44457764,0.36476108,0.51432587,0.29810731,0.37223355,0.37111449,0.66086859,0.37765865,0.33713745,0.33813677,0.31887609,0.45129999,0.44403854,0.38846856,0.37419402,0.25629989,0.35388774,0.58899765
45,1,0.31050257,0.36424773,0.28647647,0.56701116,0.2583544,0.2695769,0.46515141,0.21613643,0.4432594,0.55541198,0.3633098,0.57420884,0.33178999,0.43824959,0.29645524,0.50671717,0.51575377,0.32448224,0.66605617,0.61392337,0.52162386,0.37397868,0.67792942,0.25710391,0.41899675,0.5198112,0.40965159,0.46124537,0.58704605,0.34900681,0.62884833,0.40771223,0.6386865,0.45057609,0.59445409,0.30467582,0.36969593,0.42288822,0.37218194,0.49393061,0.28092068,0.39665987,0.36901483,0.66990237,0.36711098,0.3617024,0.37254047,0.33382731,0.43779943,0.45867471,0.39429235,0.43671097,0.26353535,0.37076498,0.60313778
45,2,0.32853477,0.35992452,0.28788358,0.57546095,0.24912281,0.27853892,0.49801504,0.21655817,0.46815926,0.53984729,0.35856156,0.61036897,0.34353066,0.45312522,0.32382069,0.517477,0.48809988,0.37293315,0.67514197,0.63685809,0.56444227,0.37898431,0.69800998,0.25001108,0.4452914,0.54749756,0.43727708,0.45812852,0.62149008,0.39173288,0.64580617,0.42017986,0.63265151,0.4193476,0.67794654,0.29403906,0.38131765,0.39972811,0.39305733,0.48449715,0.2609271,0.42405235,0.35576265,0.67248345,0.34755143,0.37920555,0.40489594,0.35128751,0.43399903,0.47228823,0.4041563,0.48743818,0.26996615,0.39734113,0.61057995
46,0,0.34328437,0.35236747,0.29508331,0.5515091,0.23490385,0.28253115,0.55537565,0.22090401,0.49235966,0.5226632,0.35087284,0.63042876,0.35705426,0.46182087,0.33348511,0.52727062,0.48109981,0.42257956,0.68445286,0.64319907,0.58993749,0.37378666,0.71105633,0.25828974,0.46782601,0.57530469,0.45503633,0.44931347,0.64131037,0.43582104,0.65682747,0.44458993,0.62332009,0.37679186,0.720092,0.27848689,0.37767664,0.38603473,0.41591763,0.4887747,0.23810249,0.44373619,0.34134652,0.66659185,0.33775717,0.38962799,0.43074992,0.36970142,0.43026323,0.48220725,0.41815995,0.52106504,0.27064947,0.42219498,0.61186054
