,,pid1263-21,pid50848-05,pid51495-04,pid5667249-16,pid5667291-17,pid9048-21,pid9049-21,pid9050-21,pid9054-21,pid9055-21,pid9058-21,pid9059-21,pid9060-21,pid9061-21,pid9062-21,pid9063-21,pid9064-11,pid9065-16,pid9066-21,pid9070b-04,pid9072-21,pid9074f-21,pid9075-21,pid9081-12,pid9088-16,pid9089-16,pid9093-21,pid9094-21,pid9099-21,pid9100b-21,pid9101b-03,pid9103-11,pid9104-21,pid9105b-04,pid9111-21,pid9113-17,pid9114b-11,pid9116-09,pid9118-21,pid9122-05,pid9123-04,pid9129-16,pid9130-05,pid9138-21,pid9139-21,pid9153-21,pid915411-09,pid9158-12,pid9166f-18,pid9170-21,pid9174-21,pid9185-10,pid9186c-21,pid918904-06,pid9192-21
4,1,0.19663776,0.11505404,0.17347358,0.31085144,0.47414387,0.13094545,0.22971343,0.19639681,0.25320141,0.2294093,0.11613779,0.2633732,0.43816772,0.24241421,0.23989163,0.21655716,0.24521181,0.15248358,0.51998772,0.42540859,0.26788431,0.23831027,0.28640654,0.1787725,0.26053666,0.37034912,0.15735634,0.18951668,0.27966305,0.19238555,0.24330291,0.28079137,0.18173443,0.23473739,0.35335011,0.33898933,0.28364003,0.20393005,0.37113309,0.36820378,0.22835031,0.19680435,0.33678205,0.26421838,0.23717763,0.13339218,0.23336637,0.26414056,0.368714,0.20396642,0.23033018,0.32320598,0.16655597,0.33328305,0.22279584
4,2,0.15985666,0.080504375,0.12135177,0.17440399,0.52262315,0.14649653,0.22569609,0.12548822,0.19707658,0.2118728,0.081713089,0.23481843,0.35800564,0.22810232,0.26253301,0.19629744,0.29465974,0.20047988,0.56985727,0.35006698,0.24399337,0.21415613,0.26961462,0.11477081,0.23553239,0.25492387,0.14789465,0.14554442,0.29345563,0.24314226,0.28573664,0.22695683,0.19740512,0.26745474,0.28567957,0.34359254,0.21381618,0.18324785,0.28453011,0.34623628,0.2102815,0.20062043,0.35075694,0.24027606,0.23612479,0.10611602,0.24317146,0.29115252,0.36696991,0.21478395,0.22358553,0.18696659,0.1838687,0.34408825,0.2427355
5,0,0.1718103,0.14075313,0.21416259,0.18737522,0.5656554,0.19623162,0.27899194,0.16833226,0.33069289,0.25837389,0.13961518,0.27475572,0.35501057,0.27843704,0.30769056,0.31846641,0.42955185,0.26096986,0.58627922,0.35951594,0.27936281,0.23347679,0.31310046,0.13746786,0.26251923,0.26510874,0.18603038,0.19829054,0.38596031,0.30271472,0.41692308,0.31769065,0.35191446,0.42435284,0.32786843,0.41802803,0.30008857,0.19354879,0.30552955,0.39193676,0.28918919,0.29166242,0.3840852,0.30747952,0.31280788,0.17155738,0.28112322,0.36006896,0.39534909,0.33321511,0.30740003,0.3363938,0.24605658,0.3818719,0.34248743
5,1,0.23557777,0.23886601,0.26250865,0.22763359,0.62547307,0.24769047,0.33083802,0.19735033,0.4243379,0.31499413,0.23454884,0.32464635,0.49824524,0.3988232,0.37492032,0.44879029,0.51068774,0.30032834,0.59625518,0.49263195,0.37198915,0.27508442,0.38193351,0.21287348,0.29371048,0.41298069,0.25708388,0.34290814,0.45096967,0.34012486,0.51199478,0.4035036,0.49635703,0.51237468,0.50475612,0.5346112,0.37191006,0.22573071,0.38291849,0.53271849,0.34426979,0.4036716,0.42468619,0.43694872,0.37765865,0.23537201,0.33435745,0.45601937,0.43292243,0.43534906,0.3657624,0.45439559,0.3088256,0.4176881,0.43983909
5,2,0.28634755,0.3111683,0.30641057,0.26833823,0.68344442,0.29381389,0.38288734,0.22491061,0.53185867,0.38942776,0.30843355,0.37186816,0.58488372,0.5006483,0.45567344,0.54859705,0.57977196,0.32784981,0.61125492,0.56266857,0.43891692,0.3230484,0.44229544,0.30162248,0.31980003,0.51326953,0.32926024,0.41972401,0.50134781,0.36856792,0.59891352,0.44938129,0.6051644,0.58315876,0.65557195,0.63050171,0.42639736,0.25691157,0.44780025,0.64238911,0.3928623,0.48929968,0.47154051,0.53514757,0.42913165,0.26900378,0.37022795,0.51182598,0.46640469,0.5232488,0.4116227,0.52567661,0.36866339,0.45274373,0.52799195
6,0,0.32271279,0.34487905,0.34169393,0.30263065,0.74158431,0.33191553,0.428494,0.24665811,0.59915107,0.41822453,0.34469703,0.4153274,0.59339676,0.52949757,0.52359758,0.62389271,0.63842823,0.35193635,0.62688904,0.57492185,0.46203962,0.34811627,0.49038057,0.34711632,0.35123056,0.53590371,0.37149934,0.45347384,0.53429427,0.39335982,0.65863538,0.47279137,0.6703998,0.65157115,0.74473182,0.69606476,0.47229876,0.27668541,0.48948336,0.68512077,0.42239955,0.52198708,0.51625713,0.59970823,0.46350816,0.28093317,0.3911001,0.54720857,0.48344727,0.5866643,0.44509706,0.56311166,0.41727441,0.46557923,0.61151861
6,1,0.34861087,0.38835992,0.37877136,0.34318262,0.79054623,0.34143721,0.46436556,0.27277895,0.65014647,0.43907535,0.38619753,0.46610034,0.55121917,0.54819956,0.58973454,0.69114169,0.70935989,0.38012292,0.65090295,0.55978387,0.46954884,0.3651791,0.54109301,0.3972205,0.39225773,0.51929793,0.39750661,0.47391871,0.56029951,0.42169883,0.71388092,0.48966187,0.72215366,0.69413437,0.83386565,0.74246715,0.51043102,0.30121115,0.50283639,0.70783487,0.44530435,0.51884243,0.55618866,0.64274492,0.49001256,0.29289407,0.41203832,0.57323014,0.49317974,0.63787906,0.48453625,0.59663418,0.45067373,0.47345528,0.7004358
6,2,0.37903026,0.45792589,0.41344496,0.39385203,0.82938788,0.35147377,0.49061717,0.29869808,0.6802774,0.46564021,0.45593917,0.52206504,0.52357294,0.56781763,0.64484109,0.74527325,0.77780183,0.41211483,0.65869954,0.54273466,0.48184831,0.39063762,0.58568508,0.47453232,0.43728422,0.47493534,0.41526585,0.48885075,0.58426806,0.4514756,0.76484137,0.49629496,0.74842363,0.72282657,0.88691199,0.77826182,0.55363117,0.35278379,0.49755833,0.71112868,0.45933916,0.51691314,0.59023203,0.67714061,0.51682604,0.31769231,0.43849356,0.58344949,0.50256769,0.66749424,0.52375145,0.65028275,0.47703557,0.48308505,0.76124707
7,0,0.41114847,0.52346028,0.44329921,0.41776277,0.85788708,0.37600925,0.51605582,0.31035115,0.68858731,0.48797617,0.52132826,0.57084002,0.51133192,0.58656895,0.68353292,0.77668702,0.82066825,0.42859067,0.68391057,0.56724123,0.50703472,0.4223598,0.61426081,0.56360271,0.48235344,0.46097642,0.43235634,0.50118083,0.61102958,0.46924896,0.81079531,0.49463309,0.76340123,0.73265001,0.93577504,0.80643288,0.6165617,0.40134709,0.50044548,0.71183136,0.47232336,0.53604454,0.60419171,0.71024576,0.53689752,0.3524338,0.46938223,0.58644267,0.51717715,0.67724774,0.53602953,0.72080212,0.49524874,0.499208,0.81112974
7,1,0.43054327,0.5823812,0.46554332,0.41826776,0.88102352,0.42067756,0.54091186,0.31178142,0.68978299,0.52524752,0.58002948,0.60684702,0.54109232,0.60894933,0.72774565,0.78766329,0.85393664,0.43838188,0.73410754,0.61934447,0.53755366,0.45369132,0.62231708,0.64325295,0.5281234,0.46412649,0.44417933,0.50733901,0.63645826,0.47945516,0.84870926,0.49894245,0.78754966,0.72646267,0.97500434,0.83249837,0.69243259,0.44457146,0.51789239,0.71974528,0.49636699,0.5663777,0.60672499,0.73931096,0.55159857,0.39306431,0.51327387,0.58793192,0.54053938,0.67908022,0.53473536,0.77814411,0.50128361,0.5206864,0.86537043
