,,pid1263b-14,pid5667269b-31,pid9048b-30,pid9050b-16,pid9054b-16,pid9055b-14,pid9058b-14,pid9059b-18,pid9060b-12,pid9062b-17,pid9063b-20,pid9066b-14,pid9069-14,pid9072b-18,pid9073b-20,pid9075b-14,pid9085-07,pid9094b-19,pid9097-22,pid9098-17,pid9099b-20,pid9104b-14,pid9112-13,pid9118b-20,pid9139b-16,pid9153b-16,pid9166l-16,pid9170b-16,pid9173-05,pid9174b-14,pid9192b-16
6,2,0.50444661,0.43558183,0.52432296,0.67605191,0.44173252,0.45017979,0.37477273,0.33171262,0.54625455,0.56630382,0.62621798,0.92665396,0.69272083,0.44546673,0.66537651,0.37882257,0.44137664,0.45873234,0.50079149,0.66933597,0.68388439,0.45747963,0.50468428,0.81725172,0.44059497,0.51509924,0.53823154,0.45543571,0.49584304,0.79822713,0.7653934
7,0,0.37876138,0.3803473,0.48262131,0.5055348,0.47514955,0.40023316,0.30798284,0.42566459,0.58672727,0.61509201,0.53630257,0.97866761,0.66443712,0.4545766,0.51086147,0.36944645,0.45924207,0.39416209,0.51548247,0.69124737,0.72589232,0.49083142,0.46042382,0.72230065,0.40537954,0.36836252,0.51033617,0.47902356,0.33358188,0.71652983,0.6495111
7,1,0.36301318,0.41585837,0.51469213,0.44597916,0.55072742,0.36730996,0.36693755,0.51551537,0.69202727,0.71048833,0.53122925,0.90095067,0.57939952,0.47123437,0.42756747,0.4311035,0.51086191,0.33478218,0.56136615,0.77832013,0.74860979,0.56631596,0.48365649,0.62603303,0.41759651,0.39944619,0.54061185,0.52742927,0.29883493,0.64171329,0.63271498
7,2,0.39534634,0.47712197,0.56155101,0.42708415,0.62342515,0.31965279,0.4828279,0.60459532,0.76707273,0.78059598,0.54358595,0.71887862,0.49605271,0.49334395,0.41236876,0.49945005,0.53547306,0.31195055,0.59046339,0.89195866,0.71846711,0.61994304,0.52463967,0.50971559,0.4395667,0.45366955,0.5750384,0.55058189,0.29712928,0.60042142,0.74045509
8,0,0.49183089,0.52805212,0.53671232,0.50438459,0.63408906,0.40594977,0.62362005,0.67578812,0.74145455,0.74559478,0.53649854,0.51531634,0.52779263,0.56411678,0.49390058,0.57991345,0.55322678,0.33298666,0.50399162,0.87643212,0.60638848,0.53811407,0.49500686,0.50172105,0.46582302,0.42325544,0.58383265,0.56859684,0.35880324,0.54891375,0.80863566
8,1,0.58503277,0.5592146,0.57641104,0.56417617,0.58995643,0.47098152,0.73243865,0.70539579,0.73217273,0.68419233,0.55157698,0.55895244,0.57993411,0.66830591,0.5347137,0.6199423,0.59407064,0.32734498,0.4961906,0.76017997,0.5821407,0.50407404,0.42698181,0.61331155,0.51959806,0.42544571,0.60801098,0.60620683,0.4485227,0.47497639,0.85790003
8,2,0.70565455,0.54355966,0.64644151,0.56594573,0.51793073,0.52754368,0.81280951,0.76562901,0.70163636,0.68882307,0.52107171,0.70171072,0.6141978,0.76062399,0.53294104,0.64656509,0.64077511,0.3239894,0.50387773,0.60768331,0.62994655,0.51041057,0.37663006,0.77007757,0.60492344,0.49405904,0.62290257,0.65672249,0.5280548,0.41650076,0.91230924
9,0,0.84246436,0.52212624,0.73767661,0.58538144,0.45104497,0.58879712,0.87651555,0.80334025,0.7389,0.69250662,0.47565131,0.91620024,0.54477528,0.82667056,0.54785655,0.70032456,0.68098307,0.35276688,0.44135567,0.52308096,0.68080222,0.51427893,0.33305594,0.88344463,0.7065992,0.5599714,0.73195127,0.69098306,0.61600336,0.35403618,0.88991136
9,1,0.92877909,0.54055249,0.72034589,0.5882324,0.41377299,0.63176302,0.87571195,0.81353889,0.77490909,0.67828362,0.43314862,0.99689181,0.49344191,0.83908579,0.54394411,0.77362964,0.6937355,0.38703885,0.42107301,0.52143403,0.6944672,0.4604699,0.29528998,0.92579668,0.75452028,0.59397165,0.82838315,0.69310247,0.6675459,0.34800552,0.84802157
9,2,0.91226922,0.53965329,0.55222001,0.56403854,0.37159737,0.71825664,0.87606353,0.69666963,0.84467273,0.65903897,0.37679771,1,0.57627898,0.72644181,0.52458122,0.7802921,0.63282633,0.45565149,0.37313943,0.59713338,0.6833671,0.33711732,0.24133493,0.95054169,0.70459358,0.58111375,0.91712299,0.61705932,0.67460155,0.37336337,0.84648634
10,0,0.70380939,0.55196203,0.42316918,0.42711365,0.34598626,0.80566324,0.95832287,0.44281055,0.85194545,0.67058576,0.33286882,0.92637471,0.77215143,0.47859079,0.43768946,0.69004688,0.5569047,0.58818681,0.30766778,0.61045207,0.67003621,0.32746618,0.32229753,0.87316593,0.65672341,0.46816165,1,0.52735358,0.64694753,0.37013006,0.89918669
10,1,0.54119957,0.41535717,0.37828924,0.35843492,0.32044162,0.80182875,0.92214041,0.36441348,0.7483,0.67046548,0.38359117,0.76149485,0.9214521,0.46220511,0.39561765,0.51342409,0.46191458,0.6528748,0.23840381,0.56372923,0.66817183,0.3090341,0.41554564,0.7492981,0.63285959,0.4064142,0.96421327,0.44535907,0.51698201,0.30082104,0.91921776
10,2,0.46237274,0.32755977,0.37543477,0.31746952,0.30146961,0.71235744,0.75680807,0.37952367,0.60236364,0.52617573,0.42576726,0.66742348,0.88424193,0.54118086,0.34179804,0.38076091,0.45761794,0.59427002,0.24117118,0.56358602,0.63663893,0.22480816,0.37200583,0.63639103,0.59835682,0.40507507,0.8824971,0.45358123,0.43807438,0.213173,0.78618295
11,0,0.4031668,0.26225714,0.3552256,0.32149037,0.37447013,0.58088938,0.59786441,0.43850183,0.56090909,0.39849952,0.41006826,0.62547503,0.84398583,0.59053944,0.32182678,0.28858637,0.51574289,0.48796115,0.25292396,0.62994081,0.61658333,0.19214461,0.35708648,0.54177308,0.50828718,0.40067183,0.84251258,0.51974643,0.41131513,0.20447577,0.71971123
11,1,0.42760441,0.34675256,0.4097004,0.49668698,0.55499594,0.58124052,0.63095298,0.58884277,0.66599091,0.48547631,0.50135543,0.68249092,0.88475166,0.66031461,0.45533214,0.46100793,0.6202028,0.51956436,0.31062875,0.78611323,0.71078326,0.35043905,0.54892759,0.61381914,0.52321225,0.56258157,0.87256546,0.61921658,0.52752353,0.38656543,0.80187334
11,2,0.50248345,0.57046198,0.59724388,0.72898152,0.73840189,0.72172594,0.70408133,0.72515071,0.8145,0.67699062,0.64434477,0.84083873,0.96740225,0.7511211,0.65705864,0.70667147,0.69856492,0.71562009,0.61380952,0.89648176,0.86692818,0.52860533,0.77185999,0.73890836,0.68838573,0.81079701,0.97634933,0.68089696,0.71572374,0.5972753,0.92131957
12,0,0.58392782,0.74126596,0.67804457,0.8590641,0.78376782,0.89601944,0.75545198,0.77893072,0.91745455,0.80889163,0.79868921,0.90554011,1,0.82466518,0.79670013,0.84911648,0.71914583,0.8283752,0.63460465,0.94530504,0.93066213,0.6953722,0.91249142,0.81804483,0.90533882,0.90771361,0.98106305,0.67642161,0.87393979,0.68910848,0.9279905
12,1,0.60720684,0.80668652,0.70353091,0.91788242,0.73253822,0.83459745,0.59884883,0.74915505,0.97572727,0.76829745,0.81717527,0.84386193,0.92913533,0.85009019,0.86776383,0.85333574,0.62913981,0.84112049,0.51933173,0.86419945,0.90217907,0.7325528,0.94603638,0.57684438,0.96634224,0.80626894,0.87428913,0.57980888,0.93634076,0.69078689,0.68913461
12,2,0.4806634,0.7271146,0.59371777,0.83248132,0.53247914,0.6415529,0.53214935,0.57059986,0.74498182,0.4815522,0.69091919,0.54134745,0.74008827,0.71623351,0.81795106,0.71957266,0.51026038,0.70336538,0.39975401,0.6757089,0.74789853,0.62055217,0.80565374,0.44428406,0.79131373,0.59450503,0.70562715,0.48370707,0.81163203,0.54934244,0.54713515
13,0,0.31972709,0.60956986,0.36376502,0.65996854,0.36940403,0.4277347,0.42470693,0.36508548,0.57032727,0.30759863,0.48282582,0.37921154,0.54746068,0.44185906,0.67165948,0.61270285,0.42803128,0.52042779,0.30103976,0.45994844,0.52102552,0.44282889,0.62514585,0.39097124,0.54372658,0.51101377,0.64176917,0.41234743,0.51103551,0.36128024,0.52686649
13,1,0.30908525,0.49915976,0.17569383,0.6129768,0.27098442,0.35000562,0.31939408,0.26824785,0.51884545,0.33233101,0.4122892,0.26320071,0.43345559,0.23226145,0.62900028,0.66069239,0.36679557,0.48721546,0.29748659,0.29425243,0.38325502,0.22598687,0.50485587,0.37631458,0.41447101,0.44035771,0.6309581,0.35317438,0.31202349,0.30390177,0.62233391
13,2,0.45493848,0.42443763,0.13504761,0.67638616,0.26464811,0.3548233,0.36716859,0.32755213,0.56020909,0.48334135,0.48802979,0.35789129,0.43053397,0.1917205,0.66677156,0.73297872,0.39492996,0.54981358,0.54599187,0.20900563,0.36851237,0.2730322,0.6016129,0.50402106,0.46971209,0.44656536,0.60013133,0.38244867,0.38049212,0.31248274,0.71951933
14,0,0.55666885,0.39532415,0.25816163,0.744593,0.31245107,0.46838306,0.48284799,0.38682676,0.63810909,0.61091232,0.63539569,0.59761058,0.54287313,0.33362893,0.72242676,0.84438334,0.51191888,0.66805338,0.65257548,0.30024346,0.44499526,0.43532948,0.75664894,0.68913281,0.54337026,0.49745225,0.54404747,0.492109,0.63008668,0.39284313,0.82501142
14,1,0.63245974,0.39202217,0.30827077,0.72004522,0.33247914,0.46555986,0.52603188,0.38176697,0.67806364,0.60539452,0.76859765,0.77998616,0.65493877,0.38659519,0.7362514,0.80686982,0.51209934,0.57206633,0.63273696,0.3437321,0.47430813,0.45407009,0.83843514,0.79544121,0.53767918,0.47463032,0.4962302,0.49275239,0.56951254,0.43781879,0.78451978
14,2,0.65721918,0.33479761,0.31042961,0.4872788,0.30221549,0.4206697,0.41138713,0.33987548,0.6288,0.42568258,0.7789947,0.87525952,0.68281221,0.39331674,0.53467174,0.7573837,0.49864226,0.38117151,0.51795374,0.37569219,0.50407363,0.38341112,0.78103981,0.77074378,0.43059741,0.33301179,0.47116072,0.48723626,0.34966912,0.38939185,0.55771726
15,0,0.68993853,0.23749226,0.25393989,0.3491742,0.28440292,0.42401258,0.24539181,0.3369997,0.62138182,0.36685109,0.68460475,0.8934473,0.6567166,0.3546804,0.34285744,0.74830508,0.50241471,0.46815149,0.59389129,0.4557237,0.57090051,0.30356776,0.73821208,0.68884729,0.36887115,0.23215725,0.54661539,0.50121109,0.17761208,0.30052314,0.46131774
15,1,0.77633908,0.25009582,0.33571206,0.35476799,0.35168747,0.50453677,0.22388524,0.41141417,0.67585455,0.41607529,0.59360064,0.76707988,0.67537763,0.44665585,0.31191458,0.78281644,0.5626622,0.69688972,0.75299798,0.57599771,0.747586,0.44995649,0.76839396,0.70615294,0.41901165,0.27211548,0.73508202,0.54688239,0.1667257,0.36774686,0.47587499
15,2,0.87709323,0.79714909,0.70668522,0.55513173,0.60494794,0.70818585,0.57198823,0.61481372,0.82987273,0.60156062,0.55817447,0.63014946,0.78678436,0.55729445,0.4843555,0.90335377,0.62767036,0.87198783,0.74611942,0.64426198,0.87919217,0.63496559,0.90708648,0.79088876,0.77324279,0.54103068,0.87085351,0.57379128,0.30721409,0.77388651,0.64971214
16,0,0.95389253,0.98369645,0.80253784,0.66883602,0.63597223,0.71138828,0.70512602,0.72687024,0.95509091,0.67073611,0.63136751,0.7195464,0.77339467,0.67570264,0.59792106,0.97205193,0.58114634,0.8653748,0.67375782,0.6067047,0.74612036,0.77835614,0.84713452,0.82824421,0.97707281,0.62897057,0.78981743,0.5325764,0.45426414,0.93598779,0.69913187
16,1,1,0.90080781,0.75940896,0.69692293,0.59395909,0.65002247,0.67225844,0.69738116,1,0.65445333,0.63991378,0.81647099,0.70625971,0.79800067,0.65252735,1,0.51864742,0.7422292,0.63145008,0.60282605,0.56717174,0.82533027,0.70765271,0.86471139,1,0.63080904,0.6770986,0.49299839,0.53760835,1,0.69968016
16,2,0.98977654,0.6811669,0.64796469,0.60118954,0.53159294,0.53208045,0.49476148,0.55478802,0.99490909,0.51274958,0.59765059,0.77461967,0.64979176,0.80784618,0.59748052,0.87625316,0.51948097,0.53561617,0.61825098,0.6100105,0.50746832,0.81117,0.48053363,0.89656266,0.8404056,0.5779248,0.59316628,0.50454158,0.49898406,0.95051951,0.58728868
17,0,0.84250727,0.41030101,0.51926168,0.40174007,0.46838491,0.30597225,0.29684282,0.39648187,0.85231818,0.40535542,0.48440443,0.63296626,0.62134643,0.67021051,0.41507494,0.62077173,0.51021741,0.41541405,0.62320491,0.62338887,0.46220579,0.7027925,0.34135209,0.9014958,0.64355962,0.46376976,0.55852866,0.50232756,0.33819554,0.82307636,0.41225441
17,1,0.4642179,0.29962558,0.32754444,0.18861581,0.32372055,0.16163829,0.1502446,0.34454986,0.54848182,0.30585458,0.33858448,0.49200491,0.51528563,0.35217115,0.16890609,0.36446989,0.38814127,0.24945055,0.46471318,0.56273869,0.34191525,0.47895736,0.25917124,0.82914836,0.36149006,0.24407322,0.47151249,0.38801211,0.19510672,0.64801279,0.25852143
17,2,0.33988436,0.34174062,0.37866104,0.1267499,0.47698841,0.23929715,0.17478478,0.20351813,0.46997273,0.30006615,0.23792364,0.27100761,0.30926835,0.20618141,0.1413617,0.27747926,0.24132508,0.14278846,0.32618524,0.51649322,0.17344168,0.37589589,0.20413521,0.54426344,0.25659717,0.22440619,0.33737087,0.24139464,0.099748346,0.46504396,0.14947455
18,0,0.38443632,0.59674519,0.60042217,0.41138419,0.67057824,0.47790606,0.30238772,0.48462299,0.62556364,0.57469329,0.479919,0.55364666,0.47328899,0.49768726,0.45039177,0.49752975,0.43437312,0.20387559,0.56877997,0.67413357,0.41521898,0.56484455,0.34338538,0.6622464,0.46219865,0.54874769,0.43451802,0.43669221,0.29720384,0.63600959,0.44972128
18,1,0.31222846,0.85496329,0.65961045,0.50819898,0.8782217,0.59883982,0.35430081,0.69819152,0.72393636,0.72221554,0.62630507,0.726297,0.42526263,0.62698901,0.57732045,0.5955824,0.5295437,0.22339089,0.65912378,0.78338027,0.48356539,0.71597184,0.402814,0.76135336,0.53308764,0.63232974,0.53000012,0.52952976,0.4846118,0.73327036,0.6739194
18,2,0.33810356,1,0.57422821,0.48211758,0.90022893,0.66200348,0.42817249,0.86847515,0.80158182,0.8309478,0.73184327,0.71785875,0.359632,0.63537331,0.51165864,0.6811035,0.62393228,0.28620487,0.69624981,0.85691951,0.46417795,0.84558184,0.40252231,0.81128753,0.56102378,0.60642101,0.59318973,0.61503453,0.51105415,0.77759209,0.76060495
19,0,0.34193334,0.90857631,0.53299432,0.5191801,0.7555572,0.65375864,0.51047202,0.86961162,0.83464545,0.82282896,0.73544686,0.65904593,0.46795549,0.57938387,0.51059924,0.67718175,0.73244823,0.37656986,0.73553964,0.80264226,0.43991939,0.83134246,0.36999828,0.79506051,0.54216892,0.50933418,0.60206606,0.71767433,0.54980893,0.74751144,0.82740565
19,1,0.3305942,0.74406675,0.58658159,0.6660932,0.69063585,0.66076746,0.63851694,0.85180354,0.87266364,0.83828482,0.75387848,0.70148003,0.48156897,0.60614916,0.64277248,0.70213668,0.90684884,0.49854788,0.86444442,0.64467968,0.46900595,0.77939245,0.444535,0.78628872,0.58547809,0.5181747,0.64042072,0.90005677,0.5934197,0.76974497,0.92305583
19,2,0.34902432,0.65699166,0.74314567,0.77626819,0.74219038,0.67817012,0.74602967,0.87713213,0.88734545,0.90906904,0.82335906,0.78525552,0.47790141,0.69257203,0.76493911,0.74811576,0.98547736,0.57721743,1,0.54841751,0.57041555,0.74699786,0.46151338,0.8246435,0.67283963,0.59531078,0.73912738,0.98164443,0.62563147,0.80251399,0.94151512
20,0,0.38149694,0.71081105,0.80743122,0.78570586,0.82165276,0.68137255,0.72121827,0.85961063,0.78976364,0.93674826,0.88042851,0.84990833,0.45348418,0.744329,0.80444109,0.68650379,0.92317608,0.5762657,0.85320411,0.45001909,0.60813432,0.7206471,0.57560055,0.77340863,0.66678205,0.67301429,0.80290327,0.92705081,0.64105695,0.76291506,0.84925523
20,1,0.45605415,0.86112503,0.80202212,0.7156803,0.91064175,0.68862015,0.68006349,0.8802352,0.77301818,0.95115167,0.93828182,0.84342484,0.43497234,0.769492,0.75621217,0.65958348,0.84874968,0.53566523,0.50705509,0.45334877,0.61070997,0.74468792,0.57134523,0.8431864,0.63787873,0.71140643,0.80207075,0.85260668,0.63941653,0.75405072,0.786649
20,2,0.48700344,0.97011999,0.75250066,0.63376917,0.95820102,0.69933704,0.65657804,0.98803241,0.81123636,0.96833654,0.98362601,0.81654384,0.39160813,0.76973386,0.65139453,0.67056437,0.84443585,0.47550039,0.50768144,0.5365548,0.6243965,0.78583973,0.53891558,0.83444633,0.62663911,0.70940908,0.76834774,0.85256883,0.62063566,0.77410448,0.77277712
21,0,0.46746838,0.90290103,0.64748495,0.62288635,0.91581124,0.68515085,0.65179657,1,0.83940909,0.93476365,0.95699651,0.8001287,0.42111021,0.69798353,0.60643821,0.69431122,0.90959869,0.41217622,0.55859878,0.61054755,0.61803819,0.75923582,0.47858614,0.82683248,0.59510914,0.60266464,0.72450547,0.91727694,0.58775282,0.77366853,0.73601389
21,1,0.48130706,0.74530499,0.58243182,0.62321077,0.83287793,0.64798584,0.66035499,0.91611819,0.86740909,0.85786024,0.90412942,0.78396853,0.48528626,0.54703576,0.59310656,0.7801749,1,0.38718603,0.73780592,0.73065448,0.62468747,0.71662843,0.53441146,0.7394794,0.56109505,0.48595617,0.67247869,1,0.59168608,0.78166098,0.68418167
21,2,0.49390133,0.6116336,0.54270911,0.58646284,0.76936711,0.56289679,0.68137939,0.75400731,0.7976,0.75174405,0.82585218,0.78577759,0.46953441,0.35310834,0.54273787,0.8563379,0.99819541,0.44486852,0.87135715,0.85822036,0.67003621,0.67588798,0.6408116,0.56900845,0.4844539,0.36054337,0.61184527,0.99214684,0.65255849,0.7539054,0.57648725
22,0,0.43064033,0.53471506,0.41143947,0.52838183,0.70785023,0.45738525,0.52569035,0.56149817,0.62389091,0.54417248,0.71905109,0.75308087,0.35720768,0.29763284,0.47773687,0.74199423,0.92566813,0.45116758,0.88880411,0.83534228,0.60859772,0.59871055,0.70217914,0.46969529,0.39732652,0.25819081,0.58502867,0.907645,0.72600429,0.60234687,0.46136343
22,1,0.42445048,0.54040508,0.35630502,0.45750098,0.6347611,0.43690657,0.43143715,0.41945844,0.55644545,0.41852598,0.69205143,0.67228003,0.3932865,0.35557728,0.4128093,0.63899207,0.87316319,0.49544741,0.90892733,0.72207371,0.53812829,0.55090578,0.76029513,0.53799787,0.40490104,0.2567609,0.61094239,0.84693916,0.81180912,0.52997893,0.40911999
22,2,0.4199985,0.55196203,0.33458466,0.43898938,0.57065209,0.47393112,0.41997569,0.34706987,0.51209091,0.3915083,0.64192786,0.62746622,0.49461056,0.45059607,0.40425019,0.50908763,0.86156226,0.57248823,0.91535036,0.61476036,0.5135572,0.47375999,0.78909574,0.65978776,0.50567071,0.28122837,0.66350855,0.83500804,0.85862615,0.47151784,0.42138353
