,,pid1263-11,pid5667267b-08,pid9048-11,pid9049-11,pid9050-11,pid9054-11,pid9055-11,pid9058-11,pid9059-11,pid9060-11,pid9061-11,pid9062-11,pid9063-11,pid9065-07,pid9066-11,pid9067-11,pid9068-06,pid9070-19,pid9072-11,pid9074f-11,pid9075-11,pid9087-05,pid9088-06,pid9090-04,pid9093-11,pid9094-11,pid9099-11,pid9100b-15,pid9101-11,pid9103-06,pid9104-11,pid9105-11,pid9111-11,pid9118-11,pid9129-15,pid9130-07,pid9137-07,pid9138-11,pid9139-11,pid9153-11,pid9166d-18,pid9167-11,pid9170-11,pid9173-16,pid9174-11,pid917803b-06,pid917807-06,pid9186c-11,pid918713-17,pid9192-11
5,0,0.79985533,0.73033629,0.51426146,0.51398013,0.37188591,0.72873059,0.527077,0.35618645,0.58808933,0.58286092,0.66692896,0.6926276,0.59825273,0.61911018,0.70057268,0.77855817,0.87064301,0.61383173,0.27479943,0.68034723,0.78237484,0.86329469,0.55156951,0.30743517,0.5629286,0.51662684,0.57349389,0.63761188,0.59557627,0.41117353,0.66473235,0.67413564,0.40827687,0.4869394,0.39724432,0.76167517,0.57640826,0.67437488,0.75103859,0.46511024,0.51097621,0.57181879,0.47023479,0.41031401,0.66276392,0.62252132,0.56920551,0.23837386,0.55775043,0.61956105
5,1,0.62998747,0.66881244,0.37320483,0.35783482,0.25839191,0.64157664,0.36086121,0.2135517,0.37483871,0.5893555,0.5550228,0.39767706,0.49347466,0.36941859,0.4208481,0.70415441,0.59370169,0.53536046,0.2269101,0.62492375,0.57885809,0.64893125,0.29435168,0.2297274,0.41730945,0.35147059,0.37721654,0.46682843,0.33686953,0.31959985,0.39682987,0.51674582,0.25320454,0.3304807,0.22898204,0.58254281,0.39704764,0.49378956,0.50126975,0.33985879,0.45018582,0.37187785,0.31169455,0.25901451,0.38058678,0.44809281,0.38865803,0.17380952,0.29953224,0.44181327
5,2,0.41212106,0.58514141,0.14071707,0.2803495,0.22347344,0.45106347,0.29486153,0.23404121,0.24895427,0.62557103,0.5634358,0.22724599,0.41632991,0.22437797,0.59056449,0.65276436,0.3598208,0.50525072,0.12288371,0.55908344,0.37625845,0.30567959,0.17560347,0.2393447,0.28269168,0.27274816,0.33125178,0.35183947,0.15696319,0.27003463,0.28304789,0.32639628,0.12977477,0.18160665,0.18629924,0.49001805,0.24972831,0.35555556,0.32367458,0.1711117,0.37646539,0.28556488,0.18357963,0.19382635,0.35302989,0.33431393,0.29104673,0.11783815,0.15856362,0.3265459
6,0,0.5385758,0.67663571,0.16818136,0.30601117,0.39121599,0.64371202,0.28172723,0.52624854,0.41977313,0.66607959,0.69746286,0.32935688,0.52385724,0.32156304,0.854036,0.74526428,0.59766339,0.65648529,0.28502662,0.66448737,0.54091849,0.40382475,0.25095888,0.46817669,0.31667549,0.34976103,0.47836743,0.40690747,0.23633525,0.34470181,0.31057828,0.60318199,0.41426479,0.17288094,0.29774457,0.6682738,0.49961963,0.45792442,0.40584995,0.16012123,0.49995817,0.34832788,0.26826945,0.26857424,0.51379216,0.30986165,0.4953214,0.17243541,0.089018423,0.40517331
6,1,0.70622199,0.88905305,0.2942275,0.35391197,0.676254,0.875,0.35659517,0.60925043,0.66988302,0.6451098,0.93396088,0.41877232,0.69682842,0.40764535,1,0.88470348,0.89081167,0.82053041,0.49652845,0.88183311,0.68922218,0.55697722,0.49762427,0.71446574,0.56945961,0.51383272,0.47432509,0.45189178,0.39345235,0.43013467,0.46332863,0.86275646,0.82629555,0.33341164,0.37976799,0.83705373,0.74849665,0.62198408,0.63398752,0.29047492,0.65047024,0.59540566,0.39915985,0.3941543,0.73533041,0.38800721,0.62502906,0.21179078,0.16363702,0.53448006
6,2,0.83196631,0.96524553,0.40047938,0.39365528,0.86101946,0.94952735,0.46420682,0.71980563,0.73208082,0.57757719,0.98301221,0.58474356,0.72557966,0.56087284,0.97525225,0.79959617,0.93306395,0.804984,0.68393192,0.95331196,0.66323955,0.63220892,0.68850301,0.75618492,0.75649442,0.70376838,0.44153169,0.47486342,0.50699178,0.50565602,0.63511317,0.97235942,0.92391503,0.44434003,0.44484335,0.96252465,0.89548995,0.76812684,0.7126076,0.41041764,0.70816553,0.76141201,0.5868352,0.49719603,0.79295311,0.51764524,0.71514297,0.25243161,0.26383851,0.64396447
7,0,0.89701494,1,0.54300409,0.441005,0.9896715,0.92133693,0.65962062,0.81054621,0.69279688,0.58902526,0.98367407,0.71354502,0.67416363,0.70673054,0.83924189,0.65969018,0.84957836,0.76848041,0.80970233,1,0.53376086,0.70765325,0.9008587,0.70730251,0.82488993,0.85074449,0.43717675,0.53899802,0.67998329,0.60090804,0.85573242,0.87663374,0.84613624,0.52513117,0.50443108,1,0.90970839,0.84364229,0.7413234,0.54105775,0.73469485,0.88943574,0.87675343,0.53646798,0.83938854,0.65597593,0.79161339,0.25633865,0.41128382,0.71287232
7,1,0.87212441,0.97453215,0.62745431,0.41857733,0.91292497,0.82484808,0.78862654,0.82467381,0.5373201,0.65875943,0.93829975,0.78066131,0.55965552,0.76575292,0.49490046,0.5552709,0.73058679,0.69691358,0.78076029,0.98123094,0.47714798,0.74715145,1,0.56911189,0.87165426,0.8490625,0.47845979,0.64615541,0.7503298,0.69181993,1,0.66452318,0.57119575,0.52692105,0.52806348,0.94236248,0.73028437,0.75822523,0.72270046,0.55284753,0.66562302,0.89726112,0.9519916,0.50486185,0.84498218,0.68937526,0.82815588,0.22947062,0.50785118,0.68547291
7,2,0.80223201,0.8925707,0.65877359,0.3793706,0.77296418,0.7325709,0.84216424,0.817655,0.4550514,0.72788816,0.89638182,0.71804588,0.50085293,0.70479196,0.30795609,0.53603491,0.65076423,0.62037799,0.64211592,0.90154063,0.47007999,0.76573737,0.90488503,0.47400013,0.83454007,0.73055147,0.47904234,0.76051959,0.74560266,0.76278569,0.9206797,0.50137728,0.50243545,0.47627837,0.53159972,0.85719504,0.49071726,0.62919095,0.71578522,0.49418504,0.57103763,0.91342865,0.81966844,0.44849553,0.86424458,0.67404696,0.83467976,0.23026216,0.49788428,0.62843581
8,0,0.72752167,0.82095117,0.6060022,0.32926546,0.62965619,0.6492235,0.75159276,0.79362008,0.37220135,0.70444163,0.86696573,0.6320232,0.53094568,0.62226637,0.34072812,0.49345955,0.56290408,0.49605243,0.53134138,0.82818488,0.41867329,0.77673133,0.68860796,0.39840154,0.70385217,0.63964154,0.3925547,0.83252935,0.71777846,0.73779915,0.74377057,0.44388298,0.43442593,0.39647168,0.51727149,0.82359141,0.34690274,0.46493702,0.71388386,0.35485246,0.42521002,0.8638679,0.75763259,0.37249324,0.84255553,0.6662501,0.79050912,0.25972011,0.43274324,0.57095454
8,1,0.62770121,0.75981427,0.51075602,0.25417301,0.49737006,0.47881499,0.62181847,0.70014398,0.32359447,0.66151137,0.73132078,0.51103328,0.54392183,0.51296922,0.38274475,0.47623183,0.54259487,0.32970584,0.47234011,0.75756628,0.32752724,0.68614061,0.42952008,0.30569079,0.55996712,0.59946691,0.3435422,0.8115483,0.66187723,0.59766833,0.51809389,0.49155585,0.37740341,0.30279335,0.47767212,0.76024545,0.40774316,0.3809676,0.63241174,0.27220409,0.35487148,0.72309718,0.77796114,0.29344101,0.70759528,0.62894682,0.69721318,0.28222518,0.33252015,0.50859606
8,2,0.56953719,0.70866751,0.43064017,0.25702995,0.44499833,0.40861749,0.56848887,0.59829929,0.35093229,0.58385162,0.60214002,0.47352149,0.52674727,0.49113222,0.40493591,0.48320108,0.67699403,0.23276177,0.45552973,0.70518495,0.28591229,0.5608545,0.36937315,0.27256085,0.50957695,0.57799632,0.34981529,0.7009764,0.6279737,0.40213928,0.35371079,0.55774126,0.34596228,0.27887595,0.41605753,0.76088204,0.46362072,0.35882685,0.60844935,0.21603943,0.40593444,0.6267441,0.73596879,0.24812659,0.59409103,0.56307716,0.57651401,0.28512538,0.30318797,0.48308657
9,0,0.54912877,0.68213733,0.37057825,0.28421434,0.38717544,0.4081786,0.50753162,0.55672636,0.40662886,0.53383786,0.49987498,0.52006238,0.48796787,0.54193569,0.40231797,0.43790098,0.78308152,0.20638622,0.42493064,0.68372566,0.30099297,0.46756219,0.33195306,0.27463023,0.5629849,0.60341912,0.36413754,0.57629606,0.54675476,0.32456329,0.3072201,0.55745631,0.3243362,0.29414594,0.3802208,0.7556954,0.47867234,0.33283199,0.62182401,0.21839073,0.39636238,0.53875778,0.62395919,0.26450767,0.53262956,0.51021334,0.53048355,0.27888804,0.29741652,0.48087441
9,1,0.48100595,0.58018151,0.27879756,0.28347473,0.28783532,0.38608204,0.43523291,0.47457032,0.44660759,0.5312125,0.30331666,0.53921502,0.40460417,0.56486214,0.40715162,0.33483863,0.72998946,0.14524463,0.34231836,0.59113162,0.29405599,0.36964216,0.20794771,0.26698282,0.56391951,0.66863051,0.37150469,0.44682088,0.41008531,0.27732205,0.28692323,0.48742401,0.26796374,0.28620331,0.36285228,0.70705363,0.44098895,0.29902864,0.60424291,0.20827283,0.35077258,0.46809558,0.54950116,0.31912765,0.48028517,0.39524004,0.50373416,0.23104103,0.24643063,0.45607908
9,2,0.36055749,0.46341635,0.16596425,0.3127692,0.22678478,0.43425051,0.40140868,0.39187438,0.4595179,0.59458418,0.41022209,0.43395762,0.44315171,0.45908967,0.5582288,0.36943519,0.58276528,0.10839049,0.29736822,0.46326738,0.35260654,0.28979525,0.1492224,0.30593619,0.51124348,0.7127114,0.41464194,0.45951993,0.30608812,0.24200077,0.30342535,0.40046543,0.18968138,0.28356322,0.42431593,0.66143828,0.43671436,0.27863007,0.55463815,0.22020249,0.33473548,0.3683958,0.42870002,0.36249898,0.52040033,0.31419692,0.51731954,0.2245694,0.16411917,0.38503745
10,0,0.49560185,0.54288026,0.28587836,0.4613081,0.30916177,0.6021185,0.51697615,0.56538288,0.56942928,0.67472068,0.62384174,0.44860938,0.67044551,0.46062771,0.73288792,0.61202358,0.71625088,0.37745008,0.46449726,0.53773364,0.54750379,0.34326417,0.2967942,0.488897,0.59139482,0.73257353,0.53810742,0.63175636,0.38445979,0.47031935,0.48575458,0.60889058,0.44221754,0.42752626,0.53035988,0.72983522,0.64216627,0.35650185,0.58974826,0.38197562,0.55541879,0.39302852,0.3537019,0.4701156,0.65743077,0.43039781,0.6075061,0.29571935,0.10054692,0.50080125
10,1,0.71320994,0.8414943,0.59478678,0.66336741,0.58830632,0.79475017,0.63925884,0.74857374,0.73115916,0.74863779,0.85821444,0.5520336,0.94112289,0.57578865,0.84837742,0.85280995,0.95265285,0.74863588,0.67404964,0.82067725,0.7290029,0.53769089,0.58085106,0.67811899,0.7587465,0.78724265,0.62356493,0.94525166,0.55405435,0.62329357,0.76727786,0.88696809,0.80450467,0.64741417,0.66632167,0.86166161,0.90807825,0.59717365,0.65957779,0.58910278,0.79054983,0.47537958,0.47057235,0.50328769,0.8905813,0.58383561,0.67890561,0.38674012,0.31388169,0.6688556
10,2,0.80867746,0.94449135,0.76297813,0.70146472,0.75713671,0.91559757,0.63465664,0.87188878,0.79432825,0.74759205,0.86314164,0.59899859,1,0.62974831,0.80672212,0.86218912,0.97197822,0.86274958,0.84666717,0.93399546,0.77844435,0.6253549,0.67496422,0.74046561,0.86877161,0.79070772,0.68626741,1,0.61809067,0.66858792,0.88729935,1,0.90106208,0.72769071,0.71853505,0.91641881,0.9938417,0.70295168,0.69606834,0.76999933,0.9377756,0.51919433,0.70074263,0.51584816,0.97795448,0.66753298,0.74580088,0.44386398,0.4138601,0.72346281
11,0,0.81026621,0.93998874,0.78150404,0.65834965,0.80960407,0.97332883,0.59267648,0.77660398,0.75405884,0.71346799,0.80938373,0.62076419,0.85500166,0.65890703,0.68823289,0.78673238,0.868078,0.82731291,0.91759766,0.92367248,0.77865122,0.66470301,0.70349203,0.71798103,0.89750808,0.78223346,0.72840296,0.96031907,0.63151357,0.65741439,0.88870979,0.98081307,0.67669841,0.72785851,0.66856416,0.85193534,0.91496106,0.75534248,0.73304075,0.98461334,1,0.54652164,0.81704298,0.49390014,0.98080614,0.66293228,0.8532634,0.48389691,0.47338083,0.70117575
11,1,0.73948256,0.71317011,0.65620693,0.53185411,0.75182901,0.91019581,0.6058268,0.57835868,0.54483516,0.64114701,0.69124871,0.66495205,0.59983438,0.70559303,0.45331334,0.74380964,0.73919536,0.69401006,0.88228237,0.70376945,0.85229624,0.6956587,0.6772827,0.54433906,0.86171135,0.79290441,0.72051719,0.78068697,0.67820237,0.79907657,0.82389684,0.64292363,0.35285662,0.48245349,0.40651616,0.61162769,0.63620721,0.70226233,0.7345384,1,0.90737443,0.75871743,0.80039007,0.47704354,0.95977516,0.59705157,0.93468848,0.52688703,0.57419401,0.58083087
11,2,0.77499064,0.72801463,0.77136722,0.59143644,0.71332425,0.85845712,0.65599488,0.58894988,0.61936902,0.6104904,0.71952493,0.886206,0.57220934,0.90566673,0.34894328,0.89934758,0.85072031,0.68408779,0.85289046,0.75927896,1,0.76771353,0.71414941,0.47764807,0.94570248,0.87450368,0.66815146,0.69535337,0.78811398,0.86879569,0.75565854,0.56634688,0.36710309,0.52060051,0.40917912,0.66192876,0.69436696,0.70921852,0.78069204,0.82541797,0.7465972,0.91796885,0.79273873,0.4817906,1,0.58781699,1,0.59388931,0.77043754,0.55251698
12,0,0.87087149,0.80160405,0.93730151,0.64005511,0.71102903,0.87727887,0.68155114,0.66535589,0.68063807,0.61913149,0.75489043,1,0.57028817,1,0.33372648,1,1,0.71362597,0.87800855,0.83623993,0.93662943,0.81575426,0.75002385,0.4771241,1,0.94007353,0.62241404,0.71284726,0.80609912,0.90126972,0.7625764,0.65005699,0.5766801,0.57946549,0.60148349,0.73435397,0.83042927,0.68202043,0.80219308,0.69093452,0.65443769,1,0.73856425,0.44957777,0.97189471,0.68893288,0.97048995,0.66571682,0.92897237,0.5533792
12,1,0.86452938,0.83551428,0.99719365,0.68326445,0.71763975,0.77110905,0.61948135,0.72535769,0.63567529,0.62358963,0.71934108,0.96597672,0.53541736,0.96146883,0.29192119,0.94181439,0.8921293,0.67583448,0.8643623,0.86705248,0.79837264,0.81205208,0.66078618,0.46793792,0.97617305,1,0.68422847,0.77253574,0.74407458,0.78614852,0.81751629,0.72083017,0.87183666,0.58215033,0.77480216,0.80053849,0.96911791,0.70025694,0.72991522,0.53309132,0.6388308,0.99815439,0.63125797,0.39770435,0.83634494,0.8105418,0.9208561,0.69820162,1,0.51535447
12,2,0.86181687,0.8802589,1,0.60234211,0.62664371,0.65821236,0.47356331,0.69025466,0.53227224,0.6279377,0.64163112,0.71392807,0.5061527,0.74114424,0.25020453,0.87879808,0.76385278,0.59474928,0.81532579,0.90114961,0.73031306,0.83128838,0.40366377,0.42794322,0.82607227,0.97738971,0.6935493,0.79709113,0.68166527,0.6910581,0.80562832,0.74362652,1,0.45696994,0.82728508,0.78005281,1,0.71949615,0.67883887,0.42050889,0.66479846,0.91796885,0.5383092,0.36653275,0.64396764,0.88350051,0.81520981,0.67388551,0.91616292,0.47639784
13,0,0.7095545,0.82404671,0.80355538,0.4177072,0.32200067,0.48782917,0.30176885,0.57508324,0.43692308,0.48313061,0.47558464,0.33807133,0.45611958,0.35160293,0.18927597,0.71144932,0.61509136,0.36416705,0.58181,0.84124501,0.69238726,0.6057809,0.19542028,0.24360284,0.63632371,0.67272978,0.48186275,0.63939905,0.43357812,0.42107734,0.61093425,0.61668883,0.75937557,0.326666,0.65226298,0.65589681,0.85007245,0.58209563,0.48492583,0.25410644,0.48242731,0.66603096,0.49177106,0.25253751,0.45241294,0.62539676,0.55011333,0.53739235,0.6877015,0.34093364
13,1,0.54925793,0.54479387,0.48461999,0.25852367,0.17119734,0.47103309,0.15110453,0.40021596,0.3536051,0.34171391,0.30055155,0.22492031,0.33742961,0.2355448,0.11889828,0.46658127,0.4021785,0.28833257,0.28554398,0.56172675,0.61548062,0.3053669,0.12505486,0.19225973,0.30862432,0.46928309,0.26393151,0.35971463,0.23304824,0.36609465,0.33537511,0.37765008,0.3583959,0.21371279,0.32424478,0.54136272,0.64484695,0.3763552,0.31584773,0.16757477,0.35698665,0.57865984,0.20326307,0.17587112,0.18009323,0.37327612,0.27141695,0.29423759,0.47665515,0.2109737
13,2,0.38932303,0.31115098,0.24354339,0.21351606,0.22231387,0.44810939,0.27588442,0.26957617,0.20284296,0.35988222,0.43847625,0.2632119,0.33220437,0.26164346,0.21838696,0.29952561,0.26444132,0.3671925,0.22195396,0.32140455,0.52836161,0.34965542,0.12959641,0.2529681,0.25244632,0.38232537,0.36604149,0.39134604,0.15372015,0.29208157,0.25031231,0.30007599,0.37657023,0.24069537,0.24576838,0.37139309,0.37037674,0.2977314,0.17519893,0.28531939,0.40752381,0.43391491,0.12854249,0.31715176,0.27550041,0.27262472,0.16677322,0.12949595,0.38568653,0.22780874
14,0,0.38464718,0.48186999,0.4113053,0.25457907,0.3498422,0.5159605,0.48574516,0.3788356,0.22663594,0.45436183,0.57196647,0.42553046,0.4076267,0.44699361,0.33281293,0.44046288,0.43384575,0.48350099,0.27110295,0.49291468,0.52843056,0.46279689,0.066715008,0.38047357,0.35051291,0.28616728,0.45055413,0.56552947,0.18611758,0.35653713,0.33383706,0.4074753,0.54374657,0.34422928,0.33262177,0.47787066,0.33672342,0.38836247,0.15884199,0.47382269,0.5481053,0.50968329,0.2617208,0.49954087,0.38607074,0.35082558,0.084548995,0.25259625,0.54837363,0.31310747
14,1,0.59611982,0.57238638,0.54530111,0.33524037,0.47609143,0.5846472,0.66126141,0.48990372,0.42462247,0.31877374,0.5751287,0.56264963,0.44889864,0.58703558,0.56134442,0.48347246,0.53779866,0.41027282,0.37878833,0.57502151,0.57174872,0.65504734,0.20784276,0.45981296,0.45227291,0.43634191,0.49191532,0.67506974,0.39892705,0.42654867,0.51108872,0.51087576,0.66325765,0.53870076,0.31240701,0.62534047,0.41563123,0.53085166,0.40008074,0.56580297,0.56672363,0.66156458,0.29361638,0.81849635,0.43039485,0.54672034,0.30153725,0.45353977,0.70986615,0.56406549
14,2,0.67584185,0.63108203,0.54688904,0.39154521,0.55892268,0.58312795,0.74027533,0.55506164,0.51378235,0.2992845,0.62978379,0.61246016,0.48887877,0.62753737,0.55751295,0.50759344,0.64000351,0.3654321,0.48161506,0.63254086,0.65395807,0.70732806,0.2587921,0.51386881,0.51392345,0.51965074,0.55146348,0.71616006,0.44241678,0.50560985,0.571892,0.56128419,0.6183666,0.56196933,0.37029131,0.71673815,0.53537403,0.60091496,0.51050308,0.58816359,0.54670714,0.73842803,0.37672343,0.94785603,0.47629559,0.62346136,0.35157794,0.53378293,0.70187104,0.75969343
15,0,0.6618272,0.56079921,0.43877959,0.381981,0.53236025,0.4741391,0.61924124,0.51592729,0.4720241,0.29954868,0.65655979,0.58686403,0.44102352,0.60289665,0.46091492,0.46048047,0.70007027,0.25750648,0.55247057,0.56726363,0.6106606,0.61793804,0.23788761,0.47344299,0.46646098,0.52799632,0.50807758,0.70962164,0.38528429,0.53189688,0.49185976,0.52802052,0.57014283,0.50393216,0.38335813,0.6579005,0.56566745,0.56362725,0.49036946,0.62526477,0.57968954,0.64241947,0.43889431,0.98106092,0.46785029,0.53810509,0.28424677,0.50382472,0.55709557,0.78800732
15,1,0.57590514,0.46243141,0.36002197,0.33055616,0.36424712,0.33021607,0.34314071,0.32474579,0.30440978,0.32752491,0.59093249,0.48209913,0.38519377,0.50281173,0.28710117,0.46450786,0.55277583,0.16160646,0.43764715,0.47172128,0.4837057,0.44837592,0.18959069,0.30534589,0.38430529,0.44284007,0.44425263,0.63120423,0.2758344,0.52431705,0.30263953,0.41358283,0.56527193,0.41184236,0.29417599,0.57974599,0.48717624,0.50259447,0.37811088,0.66755479,0.66692559,0.50922804,0.37967144,0.89776174,0.37731012,0.38049789,0.21293444,0.11280395,0.42359672,0.64926842
15,2,0.46021003,0.40395385,0.34541097,0.27816692,0.22060441,0.40322417,0.24086762,0.30337443,0.21288196,0.39660961,0.54700691,0.35024693,0.36982445,0.37302338,0.28415599,0.52564618,0.431922,0.18386679,0.37033816,0.41093298,0.38513998,0.4451115,0.16982158,0.21030709,0.34287838,0.38423713,0.45305485,0.55954318,0.22324216,0.47863024,0.31288871,0.35646847,0.63235671,0.39104608,0.25712099,0.54335598,0.44475638,0.47666228,0.37007566,0.64715913,0.71546707,0.48497675,0.3154002,0.74751988,0.41327118,0.37965738,0.23717017,0.10638298,0.34759643,0.52698136
16,0,0.52124156,0.43184888,0.37056826,0.34922776,0.27759049,0.46712525,0.32972627,0.31815891,0.26766395,0.47693874,0.59911016,0.33500691,0.38887877,0.35842799,0.40185438,0.63884758,0.49997365,0.30408474,0.36278024,0.43568468,0.39873811,0.52021813,0.21623891,0.2319228,0.39360636,0.38036765,0.55742398,0.54929966,0.33069126,0.45889188,0.48300087,0.52005129,0.67939938,0.5927778,0.31404576,0.59841583,0.50941858,0.51475215,0.45660073,0.59775528,0.64770975,0.52124911,0.37108244,0.72565385,0.53323279,0.4476062,0.31830466,0.11285461,0.40581462,0.58146664
