,,pid1263-24,pid50848-11,pid610003-26,pid9048-24,pid9054-24,pid9055-24,pid9058-24,pid9061-24,pid9063-24,pid9066-24,pid9072-24,pid9075-24,pid9099-24,pid9101b-06,pid9105b-07,pid9111-24,pid9114b-03,pid9118-24,pid9138-24,pid9139-24,pid9166g-03,pid9174-24,pid9192-24
8,2,0.54116092,0.73894684,0.59160555,0.75494578,0.47668264,0.68847319,0.73559412,0.53228346,0.70004367,0.4239309,0.50700079,0.59685347,0.4699829,0.68026349,0.68079237,0.58407995,0.94835654,0.53749411,0.77329509,0.67310676,0.66372086,0.85074576,0.49812553
9,0,0.42328263,0.71641992,0.55446586,0.57741047,0.44535441,0.62132624,0.71502728,0.60274263,0.68482126,0.29122056,0.42045036,0.58855127,0.4395506,0.59659337,0.56738727,0.42416937,0.83413204,0.47412284,0.61340498,0.59269482,0.58641158,0.8708721,0.4435009
9,1,0.3901919,0.54022544,0.42945875,0.47499526,0.41154424,0.45497339,0.53092604,0.56856587,0.56318548,0.17992349,0.39303426,0.46611872,0.40911829,0.55425029,0.41697571,0.23641624,0.63263235,0.35689272,0.37274564,0.5433711,0.55032749,0.72143541,0.37914418
9,2,0.29723291,0.26998654,0.24754108,0.3341841,0.29808311,0.2376095,0.25782055,0.3496063,0.36322291,0.17199227,0.24503636,0.22083852,0.27217292,0.42324817,0.24269594,0.15902516,0.36409765,0.26464745,0.2258969,0.40703055,0.35765026,0.36283297,0.29300388
10,0,0.23128968,0.28699529,0.36157542,0.29050522,0.2341678,0.20190749,0.28382085,0.2250553,0.31167883,0.19278185,0.28518356,0.21068493,0.2822926,0.36596114,0.40362263,0.20283159,0.45565203,0.31604822,0.22010343,0.28207346,0.30072481,0.29455163,0.3982202
10,1,0.33610082,0.29601279,0.59089488,0.28219074,0.27724054,0.27241097,0.29564262,0.33166416,0.34077609,0.24682439,0.39689827,0.27532586,0.39637711,0.53966025,0.70542942,0.35467695,0.61402717,0.4538016,0.35437136,0.33564023,0.41386534,0.35292374,0.52640348
10,2,0.47250182,0.28627187,0.65337711,0.37356085,0.28317002,0.33386819,0.28213095,0.40514908,0.39701791,0.3264693,0.42708315,0.34181818,0.43270374,0.65417723,0.79609697,0.46822127,0.50697976,0.54528925,0.43956044,0.43744593,0.50712772,0.3987069,0.59155543
11,0,0.66297007,0.37857503,0.62523452,0.50133188,0.33716472,0.37358166,0.37471961,0.54907547,0.45954208,0.44670589,0.51811969,0.37856372,0.45502727,0.74587301,0.76717471,0.575892,0.41672211,0.61903158,0.50324822,0.59042911,0.59575467,0.42553822,0.6463978
11,1,0.75472597,0.47221568,0.56005174,0.6048059,0.36039625,0.40532133,0.46390573,0.58280987,0.52577204,0.50734912,0.60943661,0.46143628,0.50661076,0.73194511,0.7213491,0.70967827,0.43213057,0.689272,0.53086619,0.67522142,0.61917261,0.45948504,0.72227587
11,2,0.73475003,0.60335633,0.61340895,0.63538892,0.35380159,0.43332788,0.59479388,0.57631602,0.59432279,0.52584146,0.68001402,0.57009548,0.55789302,0.72191018,0.74971734,0.78004734,0.54245927,0.71743888,0.59402069,0.72498455,0.5969346,0.52557699,0.81706901
12,0,0.63806268,0.6519852,0.70147535,0.66989512,0.36238466,0.45026607,0.64446044,0.55794922,0.62211616,0.52708883,0.66797512,0.60692403,0.57772531,0.700927,0.7944462,0.81423687,0.60771269,0.70962691,0.64120879,0.70291795,0.53835966,0.57049352,0.84637887
