,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
5,0,0.74357659,0.87999392,0.90551818,0.83672395,0.9185507,0.74566929,0.92051933,0.76372127,0.87091159,0.81454844,0.74717131,0.90401219,0.84562195,0.82093303,0.5365757,0.73499463,0.86381219,0.55042758,0.65064029,0.66038547,0.91019484,0.66595655,0.99463186,0.69299724,0.67463927,0.85618791,0.75993452,0.74474489,1,0.71525757,0.95640546,0.83891809,0.74771537,0.55541745,0.89743775,0.7406323,0.72695962,0.72996431,0.86924222,0.74789385,0.6809436,0.88970077,0.80251226,0.76661949,0.71082028,0.79627008,0.75881644,0.80789362
5,1,0.76020525,0.98547775,0.92995028,0.83173503,0.99926116,0.86182597,1,0.88737947,0.90964481,0.90621453,0.83516346,0.96045854,0.91884417,0.86288518,0.54834908,0.79584825,0.83273309,0.64855523,0.765625,0.77922905,1,0.68976086,1,0.81847084,0.80856244,0.8984375,0.84768883,0.9144133,0.97034965,0.72706449,1,0.88710031,0.85967,0.60857876,0.96251562,0.85128405,0.71976692,0.7739388,0.94460019,0.82125807,0.7469689,0.91997216,0.87096774,0.88395003,0.83488664,0.94649005,0.8952509,0.8546586
5,2,0.74489738,1,0.90271034,0.80541851,0.99360168,0.93614074,0.95856111,0.95645582,0.87769632,0.9766596,0.87720763,0.99281724,0.91651503,0.8928387,0.5686579,0.87892806,0.78831533,0.7021244,0.83839832,0.87981841,0.97284132,0.69492253,0.95537077,0.91901227,0.90776082,0.88929015,0.82890327,0.99148268,0.88356643,0.70505309,0.96041722,0.86235217,0.97405997,0.69143475,0.99072205,0.94559339,0.6811535,0.77234414,0.90753041,0.86836563,0.78228782,0.82748782,0.90240821,0.96398643,0.90105096,0.95992731,0.98033578,0.85994374
6,0,0.7140726,0.93245228,0.86926002,0.74866962,0.95999941,0.9533041,0.87742093,0.92922554,0.8271233,1,0.88315728,1,0.88172356,0.89524875,0.58688517,0.90640659,0.75970388,0.72175713,0.8789182,0.93883402,0.91012591,0.69869485,0.90047892,0.98552595,0.9771035,0.84361548,0.75655156,0.98784421,0.80902098,0.69523201,0.89009539,0.79905826,1,0.73912456,1,0.98142023,0.66241835,0.77644468,0.8603252,0.87945802,0.80225356,0.70070459,0.89267132,0.99929231,0.90514905,0.81052028,0.99879417,0.84780496
6,1,0.71165906,0.80628893,0.8747002,0.70780211,0.94918285,0.93896143,0.8516107,0.88428649,0.80279647,0.98420729,0.89486869,0.9722847,0.88172356,0.88698571,0.58403269,0.91293844,0.7785114,0.6878837,0.87484709,0.93110863,0.89474289,0.70128831,0.87211199,1,1,0.79684396,0.6939512,0.93260564,0.77447552,0.72176563,0.85070875,0.73609286,0.97183881,0.74398811,0.96366936,0.98725681,0.69707542,0.80514845,0.85280989,0.91940466,0.80561413,0.62727035,0.89252267,1,0.86291229,0.67218822,0.99220851,0.8531242
6,2,0.74941087,0.74582004,0.93060349,0.75009701,0.97721429,0.92521678,0.89478719,0.93474438,0.82366398,0.94821905,0.94177696,0.92940579,0.91971759,0.87304183,0.57326153,0.9015748,0.86154462,0.61068503,0.87192278,0.89534884,0.93103488,0.69307006,0.86727014,0.93918749,0.95972923,0.79738204,0.69232988,0.89175556,0.80104895,0.77779198,0.87617901,0.75054753,0.91004284,0.74655499,0.88336458,1,0.76989311,0.85822766,0.90634435,0.9873631,0.81589352,0.67891441,0.93578118,0.97934219,0.82589728,0.68152257,1,0.89122837
7,0,0.81457621,0.77452023,0.9338793,0.83251109,1,0.93152596,0.93442015,0.99150949,0.85411715,0.90529842,0.96105591,0.8742654,0.974889,0.85824583,0.58181898,0.87437366,0.91003068,0.57252678,0.89786888,0.89375597,0.96207665,0.6574099,0.82837745,0.8419568,0.87827326,0.81792219,0.74067347,0.91019598,0.84391608,0.8258258,0.91994294,0.80075558,0.88703792,0.76992705,0.84638496,0.99280156,0.77828088,0.88723517,0.97301173,1,0.8140485,0.7987039,0.98372231,0.96059401,0.79126182,0.79024484,0.9790372,0.94484699
7,1,0.89241733,0.79833916,0.86818758,0.91911031,0.98745456,0.9376059,0.94423077,0.99078173,0.86050015,0.91009776,0.95300823,0.82826671,1,0.8410742,0.59179718,0.92367573,0.86854742,0.6221172,0.91645642,0.88165021,0.97399017,0.63677164,0.79816852,0.76825989,0.80884746,0.81297599,0.78564191,0.95369222,0.82405594,0.83512584,0.95203709,0.82709155,0.91861019,0.79789246,0.89829103,0.9080642,0.71751039,0.87425013,1,0.95605167,0.80060622,0.90579332,1,0.94620431,0.7322361,0.982785,0.90627957,1
7,2,0.90976815,0.79352879,0.80187189,0.97562361,0.92655968,0.91904714,0.89908239,0.96391534,0.83707721,0.9520886,0.90839631,0.80105928,0.95771162,0.81896196,0.58481464,1,0.80472189,0.69195247,0.90832378,0.84429755,0.93031111,0.62958067,0.80548392,0.72167043,0.7679829,0.80278353,0.73996414,0.99495576,0.7679021,0.80336217,0.9209236,0.77682873,0.9201174,0.81194272,0.94177243,0.78389105,0.64709768,0.81843724,0.93642715,0.88886549,0.81174222,0.89109255,0.95153858,0.93781312,0.69436182,1,0.82678787,0.9963345
8,0,0.85473204,0.77683933,0.78650678,0.94611973,0.85229187,0.89410944,0.82936353,0.91400327,0.80484974,0.97352841,0.84248048,0.77015164,0.86600189,0.79588569,0.56249036,0.96832498,0.76517274,0.72085696,0.87797209,0.81013061,0.86286246,0.65831088,0.80301037,0.70022829,0.74697465,0.80107616,0.65850807,1,0.71118881,0.74005112,0.82087902,0.71189225,0.87482151,0.80640367,0.93707336,0.70166342,0.63712144,0.79451743,0.82101268,0.81395675,0.85991038,0.7690501,0.87639364,0.92611939,0.68510807,0.81764537,0.72372693,0.94791578
