,measure_number,beat_number,pid1263-25,pid50848-12,pid51495-05,pid5667230-13,pid5667269b-39,pid6100022-10,pid610003-27,pid9048-25,pid9049-25,pid9050-25,pid9054-25,pid9055-25,pid9057f-02,pid9057j-04,pid9058-25,pid9059-25,pid9060-25,pid9061-25,pid9062-25,pid9063-25,pid9065-19,pid9066-25,pid9067-24,pid9068-15,pid9070b-08,pid9071b-04,pid9072-25,pid9073-27,pid9074f-25,pid9075-25,pid9080-08,pid9089-09,pid9090-12,pid9092-12,pid9093-25,pid9094-25,pid9097-02,pid9098-09,pid9099-25,pid9101b-07,pid9103-13,pid9104-25,pid9105b-08,pid9111-25,pid9113-13,pid9118-25,pid9125-13,pid9127-08,pid9129-19,pid9133-14,pid9138-25,pid9139-25,pid9153-25,pid9165-05,pid9166g-04,pid9170-25,pid9174-25,pid917509-02,pid917813-04,pid9181-05,pid918726-08,pid918904-09,pid9192-25
10,5,0,0.20629426,0.42503429,0.27368217,0.49303543,0.40604894,0.53603301,0.79697901,0.35536796,0.38497615,0.54620371,0.47785034,0.58197871,0.45953849,0.32070827,0.42705291,0.30225347,0.63204182,0.45227079,0.33246018,0.57202906,0.40456657,0.49908534,0.34720337,0.45516674,0.41090498,0.50472419,0.41268989,0.48693754,0.41927372,0.42352348,0.55465831,0.6197156999999999,0.50427723,0.44479805,0.38934609,0.35318112,0.28653331,0.56681349,0.43164890000000006,0.4509172000000001,0.44373630000000003,0.47788425,0.52002473,0.65829731,0.46033063,0.56981418,0.40078069,0.51018033,0.30261266,0.48308392,0.42851952,0.40301679,0.32598663,0.44885216,0.34036937,0.2898415,0.5340708000000001,0.37811289,0.40960909999999995,0.31897359,0.37978132,0.49480953,0.74835018
11,5,1,0.21533242,0.46701106,0.27014212,0.51858804,0.37308072,0.52270996,0.77888718,0.33319098,0.42751843,0.54450447,0.46343536,0.64807367,0.44902853,0.40717802,0.46845423,0.31456534,0.64539119,0.47191212,0.35489911,0.56887817,0.43558041,0.53631375,0.38730624,0.45111843,0.46526053,0.51692537,0.41811162,0.49414876,0.41678709,0.43560474,0.61070846,0.64731769,0.51788582,0.54021827,0.41517741,0.38787734,0.38016845,0.56762766,0.40169417,0.44220129,0.43077036,0.48161405,0.55950256,0.71785379,0.45847961,0.57404696,0.42176956,0.51762504,0.29960007,0.44624073,0.42312393,0.40526241,0.36559516,0.42955172,0.3354258,0.332359,0.50479351,0.37505909,0.4286195,0.3141704,0.34360253,0.51837862,0.7358199000000001
12,5,2,0.22487215,0.50640944,0.28056848,0.54479358,0.35917703,0.52460548,0.76100017,0.32767901,0.49241942,0.53696101,0.45222283,0.68370226,0.43599814,0.45583876,0.50565797,0.32777367,0.68347299,0.48882851,0.35625618,0.55397936,0.45768529,0.54443339,0.40495749999999997,0.44466859,0.52397967,0.51541576,0.42479228,0.49195769,0.40229896,0.45999596,0.624,0.6720183000000001,0.53259427,0.57495254,0.45107747,0.40822507,0.48119257,0.57529957,0.38552651,0.43552801,0.42842421,0.47894589,0.569757,0.75049803,0.45480309,0.57792035,0.43617193,0.52236815,0.30011442,0.42800651,0.41201343,0.41102433,0.39435869,0.38915602,0.33453036,0.37935364,0.48808075,0.36457408,0.4481049,0.30741405,0.32636678,0.5223871,0.7238493
13,6,0,0.23779504,0.5367834,0.30622739,0.56305516,0.35295046,0.52961183,0.7259941999999999,0.32965538,0.53725249,0.51786661,0.44219057,0.71941534,0.42171977,0.50141602,0.53643763,0.34131096,0.72254211,0.50649794,0.37910539,0.51887817,0.4883987,0.5375226,0.41710122,0.42754220000000004,0.55331505,0.51202359,0.4299958,0.48280725,0.37819274,0.48858469,0.62986834,0.69524876,0.53838163,0.61993089,0.46125766,0.42512419,0.54427642,0.58622813,0.37145465,0.43089737,0.43015641,0.47343104,0.57857651,0.74557414,0.44440544,0.57958418,0.45340093,0.51870704,0.30138453,0.40451268,0.40210868,0.40297298,0.42488065,0.35553886,0.33922209,0.41823796,0.47576512,0.34304623,0.46393864,0.28519183,0.3102724,0.54181923,0.71622254
14,6,1,0.25683517,0.56595959,0.380323,0.57437938,0.35270377,0.54123889,0.65756955,0.3387824,0.5803223000000001,0.46988508,0.44194665,0.7496366999999999,0.38858709,0.63294691,0.56779986,0.36484908,0.77874388,0.52744352,0.40727766,0.46932636,0.50537311,0.51653348,0.43355954,0.40653904,0.64285369,0.50726388,0.43165757,0.44920248,0.34851271,0.52686668,0.61983699,0.73926589,0.53816341,0.68083537,0.45164406,0.44924532,0.68724158,0.61006847,0.35276033,0.42530491,0.43781611,0.45399286,0.59137414,0.71759068,0.41464224,0.58096848,0.46471644,0.50051718,0.31081067,0.33368225,0.39222045,0.37323226,0.46957352,0.35388597,0.34519168,0.4545389,0.46739491,0.30382906,0.47685304,0.26683607,0.29521389,0.56224706,0.69974939
15,6,2,0.26925649,0.58006766,0.41843669,0.58151398,0.35877245,0.54904771,0.6000512,0.34888271,0.61175025,0.43533052,0.45264773,0.74121325,0.35912494,0.69758086,0.57894821,0.38702196,0.8208081,0.54076547,0.43034779,0.44299199,0.50502646,0.50445564,0.44618901,0.39413339,0.67283433,0.50555891,0.43093580000000004,0.42315312,0.33365863,0.54268801,0.58715987,0.76813358,0.53490747,0.73288897,0.44534646,0.46631639,0.72224349,0.62316813,0.35164306,0.42203272,0.44872095,0.45060128,0.5962972,0.67388649,0.3952001,0.58504153,0.47324121,0.48924124,0.32443553,0.31354837,0.39039256,0.35664757,0.50371579,0.36887052,0.34831639,0.46536641,0.47236357,0.29480949,0.48781791,0.2687992,0.28845195,0.57434959,0.68599115
16,7,0,0.29747246,0.59834507,0.45972868,0.59195402,0.36882771,0.55801741,0.5583888000000001,0.36224054,0.64640121,0.41638346,0.46934456,0.71938155,0.34013605,0.72549097,0.59771766,0.41555227,0.8558865,0.55564009,0.44703234,0.42393046,0.50225324,0.49415364,0.4637617,0.38733361,0.72191482,0.50646468,0.43195971,0.40836132,0.32794407,0.56537064,0.56615674,0.79099406,0.53013268,0.77394725,0.43270481,0.48835499,0.76282542,0.64018204,0.36014313,0.41785821,0.47976173,0.44446637,0.59886373,0.65197331,0.38044297,0.59734054,0.49075736,0.48294658,0.34781194,0.30971027,0.39645433,0.34210036,0.54605347,0.40251273,0.35193545,0.4671058,0.48569322,0.29784438,0.49996042,0.29590433,0.2837042,0.58589324,0.67646813
17,7,1,0.36451613,0.61476639,0.49861757,0.6163095999999999,0.38222814,0.56849265,0.53218979,0.38429834,0.68200607,0.41111875,0.48813439,0.64329165,0.34378212,0.71773596,0.61514644,0.45510322,0.8909815000000001,0.56586445,0.45708936,0.42526144,0.49889071,0.53601421,0.48715623,0.40008234,0.76088079,0.51083366,0.43733949,0.40544829,0.32890119,0.58041168,0.55172414,0.8372213,0.52842179,0.83015311,0.41775033,0.49160298,0.79408499,0.67338524,0.39797722,0.41373327,0.53153779,0.42764938,0.59565557,0.6307366999999999,0.40691900000000003,0.63469013,0.5333094,0.48913916,0.41602024,0.33625391,0.41413313,0.33908795,0.59462922,0.43842558,0.35848335,0.45098806,0.51898968,0.31359554,0.51470559,0.34528151,0.2813639,0.60780497,0.66980202
18,7,2,0.43120574,0.62587547,0.5327261,0.61235802,0.39231301,0.55952295,0.53386243,0.39935445,0.67961411,0.40328062,0.50095995,0.5753464,0.40178877,0.64997883,0.6265741,0.47114072,0.93113748,0.55001941,0.45273412,0.41777129,0.49545885,0.54203708,0.49014215,0.40671058,0.78457009,0.51417256,0.42699958,0.40311451,0.33336774,0.5808691,0.54287147,0.83518645,0.5275838,0.86125415,0.40148616,0.45663928,0.76651034,0.68553505,0.42330948,0.38737729,0.55985967,0.40627584,0.56226741,0.61036459,0.45106913,0.67547386,0.5541906,0.48584553,0.43934416,0.38299605,0.42217695,0.33129949999999997,0.62153087,0.44579681,0.35873519,0.41261322,0.52821718,0.32057294,0.51659574,0.42456403,0.28072127,0.63145115,0.65688748
19,8,0,0.46561762,0.63052025,0.5546770000000001,0.58073182,0.40000987,0.53453655,0.52689879,0.39399146,0.64713109,0.38969649,0.50329688,0.48096485,0.47055009,0.58052776,0.63129838,0.46981660000000003,0.95295777,0.52644981,0.43789055,0.40188782,0.42697187,0.5325909000000001,0.47582684,0.39247976,0.79064365,0.50795652,0.39585397,0.39567663,0.34003941,0.56667564,0.52348589,0.80450784,0.51138268,0.86098097,0.35635333,0.41923959,0.70500574,0.68778965,0.43037827,0.33976202,0.57888467,0.37701992,0.52619606,0.60298816,0.4802451,0.68236876,0.55143575,0.46707724,0.46896617,0.41495438,0.41361009,0.31285259,0.62180936,0.44010351,0.35054566,0.36801667,0.51419617,0.31748133,0.50396833,0.43913303,0.28111452,0.65426865,0.63165984
