,,pid1263b-01,pid52932-16,pid610003b-05,pid9048b-05,pid9049b-01,pid9050b-01,pid9054b-01,pid9055b-01,pid9056-10,pid9058b-01,pid9059b-05,pid9060-30,pid9061-30,pid9062b-04,pid9063b-05,pid9064-12,pid9066b-01,pid9069-01,pid9070b-13,pid9072b-05,pid9073b-05,pid9074g-01,pid9075b-01,pid9085-03,pid9088-17,pid9093b-07,pid9094b-01,pid9099b-05,pid9101b-12,pid9104b-01,pid9111b-03,pid9112-09,pid9117-05,pid9118b-05,pid9120-09,pid9121-09,pid9134-07,pid9138b-01,pid9139b-01,pid9153b-01,pid9166j-01,pid9170b-01,pid9174b-01,pid917509-08,pid9192b-01
15,2,0.49025122,0.50320591,0.36563336,0.36009979,0.4329123,0.25972967,0.39826691,0.35217984,0.29817182,0.42903315,0.52384609,0.4107203,0.37319165,0.36397434,0.37386522,0.47233298,0.85773282,0.5359711,0.38992062,0.39122966,0.30579697,0.33914368,0.46672562,0.46446857,0.31919625,0.45413892,0.45497228,0.38076184,0.44646802,0.42244397,0.60270806,0.45837796,0.37860443,0.67889546,0.3409301,0.44446133,0.51058087,0.4584798,0.38853593,0.38456848,0.42781627,0.25307761,0.43341329,0.17644462,0.36860257
16,0,0.49466775,0.49838487,0.32129782,0.3258416,0.41773912,0.2201507,0.39946674,0.29711914,0.24914231,0.4192263,0.47656559,0.39449856,0.33821632,0.32741418,0.3353963,0.41070063,0.78257412,0.50519718,0.34185711,0.33196614,0.26955495,0.32669045,0.4416507,0.46639301,0.26451108,0.44011508,0.42727598,0.36128143,0.41223429,0.39350219,0.52919368,0.39676103,0.33603258,0.62992842,0.30871104,0.39157801,0.49505695,0.41786108,0.37159742,0.35702257,0.40571174,0.22298982,0.38827591,0.15743981,0.34636122
16,1,0.48077796,0.4639315,0.25893195,0.26882742,0.38921195,0.16487998,0.43689307,0.22761404,0.19544835,0.3994687,0.4385401,0.39603776,0.33863378,0.30078394,0.33880063,0.35530963,0.69854203,0.47450161,0.32299735,0.2456847,0.20965288,0.27400574,0.40417588,0.39021893,0.19845641,0.45879984,0.42077446,0.34573553,0.34974473,0.26723909,0.4284995,0.28980702,0.25350458,0.54243171,0.23925868,0.32341529,0.41547836,0.35226668,0.31605208,0.34700588,0.34922788,0.17175778,0.31479866,0.16837881,0.24862694
16,2,0.47278768,0.44991478,0.30629741,0.28146364,0.3974579,0.22067894,0.47968004,0.15825796,0.2560391,0.38369583,0.45879978,0.48153559,0.41206072,0.34983965,0.42188373,0.34345349,0.52694803,0.49684861,0.39502045,0.24324347,0.26815598,0.19313376,0.39642348,0.33644951,0.15403917,0.53528155,0.41506886,0.41035001,0.34908568,0.22987004,0.27476543,0.23826405,0.19981204,0.49503268,0.2917019,0.21497541,0.34922551,0.29082301,0.29769571,0.41272411,0.37131261,0.25790603,0.28943887,0.2511557,0.18920915
17,0,0.48789303,0.47617077,0.49092745,0.41684397,0.46556244,0.42895984,0.52869773,0.336291,0.43690666,0.4065748,0.53975141,0.572114,0.56050095,0.44670388,0.59614176,0.44169583,0.45548657,0.53750326,0.54758239,0.45369883,0.44391012,0.3385171,0.44135102,0.48321857,0.30615395,0.63067818,0.43118405,0.62879459,0.54770259,0.40796313,0.35457319,0.51097509,0.374814,0.63094583,0.52903353,0.364962,0.4556492,0.3129321,0.43320381,0.51903898,0.46405662,0.5485834,0.50118477,0.36024077,0.36663082
17,1,0.47417342,0.49180261,0.59879951,0.46934367,0.51491103,0.52756933,0.58074656,0.44760464,0.57625247,0.44243732,0.5966986,0.61700337,0.71445161,0.49450053,0.64819309,0.55873545,0.4254482,0.54245669,0.61922059,0.56896268,0.52116814,0.47267427,0.44698109,0.57852225,0.41789066,0.67893958,0.41637453,0.83618745,0.63939478,0.49380719,0.456404,0.73250871,0.54044953,0.69043401,0.64196244,0.58641037,0.51971526,0.34629353,0.5083502,0.5697249,0.50526628,0.64674781,0.67374618,0.47086677,0.49442891
17,2,0.45491896,0.48800422,0.49350977,0.39634522,0.51325071,0.40212849,0.64283609,0.47978356,0.62161622,0.43931596,0.57384213,0.61141174,0.70626945,0.47586412,0.60655552,0.69519896,0.42660621,0.53028641,0.61916446,0.61569127,0.40175745,0.52823079,0.38329157,0.61513065,0.49339725,0.61572544,0.40645681,0.83702281,0.57293233,0.45050391,0.48230224,0.77202244,0.44120918,0.55262969,0.45219742,0.57764864,0.465,0.33657176,0.41845161,0.51590332,0.51356167,0.5306265,0.70824975,0.5200321,0.44360077
18,0,0.44098865,0.47494522,0.36875509,0.302578,0.49546393,0.26867086,0.66175274,0.5081565,0.60192452,0.46391057,0.49605732,0.62169312,0.60182922,0.41628459,0.51967528,0.76155912,0.47690269,0.51050753,0.59380162,0.57603156,0.27854332,0.54441737,0.33160403,0.61772599,0.50159799,0.51475545,0.43596852,0.73802523,0.50866054,0.40676303,0.51502022,0.76507694,0.37098442,0.51152658,0.3065087,0.46770675,0.42384966,0.32722615,0.28942669,0.45001815,0.51522471,0.39412909,0.6930077,0.52385233,0.36777802
18,1,0.44041329,0.4555799,0.36469225,0.28868897,0.48522402,0.26707061,0.68812097,0.56972865,0.54733763,0.5140849,0.45131819,0.62223425,0.50964706,0.38142297,0.53975209,0.8020913,0.55061039,0.50754766,0.56206399,0.52890021,0.28975256,0.544165,0.33850651,0.62125706,0.48465252,0.47769831,0.48598641,0.59185532,0.49940592,0.3968837,0.55667862,0.68539488,0.36673193,0.5721399,0.30226133,0.43040679,0.42477221,0.33764836,0.2819153,0.41207084,0.50752326,0.35409517,0.61596889,0.51600321,0.35272102
18,2,0.45339546,0.44011038,0.40362213,0.3137778,0.48952971,0.30493281,0.71603985,0.63883253,0.49149356,0.54538713,0.43265775,0.63095238,0.44553321,0.3809241,0.59071229,0.82667426,0.61883502,0.54332724,0.5779328,0.49787112,0.32894116,0.54198938,0.36708425,0.65610876,0.47042704,0.48868064,0.50651046,0.49534709,0.53639655,0.43198515,0.60759783,0.59154127,0.38290391,0.65326886,0.35160751,0.46856504,0.44301822,0.37766392,0.31642008,0.41252087,0.50583053,0.38933559,0.55284198,0.51814607,0.38651323
19,0,0.48186386,0.42343966,0.44159943,0.35388969,0.50359072,0.34847355,0.74494808,0.70117275,0.45977066,0.5807737,0.4137598,0.64448052,0.42491082,0.39616344,0.6534567,0.84693628,0.67419602,0.58692435,0.64566594,0.49843827,0.37819358,0.55185798,0.39423238,0.69867585,0.46070991,0.5060337,0.51562332,0.43394871,0.58969646,0.45264554,0.65090396,0.5330783,0.40718146,0.71831087,0.37745551,0.52445239,0.46973804,0.42700564,0.36849112,0.43290266,0.52571768,0.44141061,0.50126472,0.530939,0.42045601
19,1,0.50213938,0.40488597,0.47585819,0.38813708,0.5111217,0.37573992,0.76466461,0.74229345,0.43980872,0.58771376,0.38622437,0.63654401,0.42163947,0.407685,0.6804382,0.86020018,0.7346076,0.61304083,0.74952289,0.50530988,0.41268689,0.56470281,0.39961189,0.72248411,0.4371957,0.49622688,0.51455017,0.41477738,0.63569108,0.46487866,0.64582348,0.50916433,0.42614144,0.75631389,0.39264576,0.56875279,0.50251708,0.45917375,0.40784475,0.45003266,0.55731538,0.47935455,0.45748655,0.51914928,0.44161468
19,2,0.50419773,0.38459541,0.48035716,0.40251212,0.48751192,0.3766255,0.75259613,0.75372287,0.42212614,0.50017156,0.34415327,0.53016474,0.40280835,0.39432237,0.6554993,0.81495647,0.71458668,0.59401062,0.8226285,0.47991123,0.41219725,0.56334523,0.37347089,0.6893185,0.39004488,0.47672832,0.49219281,0.41324868,0.63251648,0.43810503,0.58121901,0.49245091,0.42056543,0.75547603,0.37970701,0.58006258,0.51505695,0.46706661,0.40999859,0.44581549,0.55067313,0.48147446,0.41620875,0.46545746,0.42606295
20,0,0.51186386,0.37792387,0.44309144,0.39297556,0.42606451,0.33828944,0.72677519,0.73009595,0.40922549,0.41059273,0.30184467,0.4386063,0.37740417,0.36879677,0.60022696,0.69324599,0.60193931,0.51691477,0.82888301,0.40143843,0.36655592,0.53308676,0.34131172,0.6258916,0.33433293,0.47201808,0.46208192,0.42517751,0.58183422,0.37587853,0.52543291,0.47413925,0.4001253,0.70516841,0.34287681,0.57150648,0.49556948,0.45222777,0.37571028,0.4371271,0.49209068,0.46697925,0.3789795,0.38164526,0.37639636
20,1,0.5895705,0.41055921,0.3312713,0.38160296,0.32591357,0.23156995,0.69348863,0.69675918,0.41784942,0.35974321,0.30800412,0.40278379,0.37656926,0.39232688,0.55330831,0.5010009,0.5098849,0.42165927,0.81324673,0.34952326,0.24636705,0.48310852,0.34573815,0.59429732,0.29805522,0.51574188,0.43359864,0.48484671,0.53775179,0.34386686,0.48843543,0.48970501,0.3797165,0.62284251,0.36012192,0.54248547,0.48559226,0.44163694,0.3519206,0.45839443,0.45424668,0.50274342,0.35920192,0.33547352,0.29351832
20,2,0.69588331,0.46640695,0.36035395,0.41153028,0.37129012,0.27246951,0.68053607,0.6732469,0.47251856,0.37579279,0.39585148,0.46291486,0.44441746,0.47228887,0.58355447,0.27874522,0.45276596,0.43669365,0.80186032,0.41181161,0.26926642,0.47191715,0.39151069,0.63773835,0.34653883,0.60273736,0.45414058,0.58453763,0.57450107,0.36536931,0.50592723,0.59022358,0.409805,0.59616259,0.46509684,0.53890925,0.5340205,0.4432194,0.38710725,0.53393337,0.48869531,0.59098164,0.42421137,0.36046549,0.32765469
21,0,0.76045381,0.52759516,0.50094685,0.4944325,0.48083889,0.42858696,0.66769576,0.63789249,0.54261444,0.39301566,0.53006888,0.5125481,0.555074,0.56235895,0.651772,0.27439987,0.41476107,0.5009489,0.76297811,0.52623705,0.43636443,0.52041598,0.43565709,0.64729873,0.41531348,0.67346486,0.52942229,0.74408153,0.64148334,0.44592892,0.53969792,0.68266599,0.50639831,0.61909607,0.59666699,0.56181493,0.64125285,0.42672677,0.4453043,0.59552152,0.52410414,0.67178771,0.56249455,0.42285714,0.42415573
21,1,0.74397083,0.5761383,0.58208904,0.52472703,0.58645535,0.50208188,0.64520067,0.59016863,0.56229439,0.43688085,0.64333782,0.49829245,0.67628843,0.61053569,0.6658956,0.36692164,0.37845832,0.53175764,0.72950846,0.60036988,0.51191746,0.5385171,0.46444608,0.63697034,0.49739562,0.6930374,0.57549633,0.87636789,0.65171261,0.4911948,0.51793424,0.73435348,0.5607017,0.61223757,0.63855078,0.57760393,0.67332574,0.35925157,0.474116,0.59287218,0.51960998,0.69927175,0.68669865,0.44840289,0.50318348
21,2,0.69555916,0.6162568,0.50868233,0.47178451,0.60795202,0.38547347,0.60701656,0.55299148,0.55787668,0.54720239,0.68412636,0.49589346,0.70532068,0.55536287,0.59756459,0.53398161,0.40906871,0.53468268,0.69785101,0.67425612,0.36258634,0.54621008,0.50223532,0.66430085,0.54860601,0.64817098,0.56635664,0.84938602,0.65268727,0.4945299,0.38816081,0.73742243,0.42004072,0.56757954,0.48607807,0.54018775,0.62582005,0.3246968,0.3905166,0.56435363,0.51871907,0.63886672,0.69894607,0.445,0.45736718
22,0,0.64899514,0.61576171,0.41428424,0.44908252,0.59467747,0.29725783,0.58026944,0.55334686,0.52313422,0.58769163,0.68641438,0.51734608,0.70149526,0.5009146,0.54657821,0.59992676,0.48046041,0.53197528,0.69279929,0.67086142,0.29976392,0.55595684,0.52876443,0.66952684,0.55268598,0.59454172,0.57906457,0.76295213,0.64765618,0.48763427,0.41603479,0.7255122,0.38544913,0.58829866,0.36758431,0.50691104,0.54166287,0.32763474,0.27924193,0.53846991,0.52073847,0.5862929,0.65300916,0.42931782,0.42239191
22,1,0.59534846,0.59082867,0.36540382,0.45555184,0.57841595,0.26440612,0.55869352,0.58290057,0.47189585,0.64533732,0.65272742,0.56013107,0.68368121,0.43800926,0.53393855,0.67439987,0.54921521,0.52716984,0.6923262,0.63162913,0.28031827,0.56967192,0.5636453,0.65176554,0.53287094,0.50254829,0.61234126,0.64714727,0.63130976,0.49037263,0.50743764,0.68152682,0.37786044,0.64737989,0.38981418,0.47808672,0.50857631,0.36089889,0.25850443,0.5088626,0.51866957,0.52114924,0.59002762,0.39610754,0.40006453
22,2,0.55047812,0.57633309,0.35638292,0.4940653,0.58657452,0.25758564,0.55375386,0.61606539,0.42809475,0.67784603,0.60490856,0.60419673,0.6925389,0.42457537,0.57034742,0.73623566,0.63457272,0.53879168,0.71483442,0.57010521,0.28044942,0.57710382,0.60957996,0.64524188,0.50581395,0.46592684,0.62517439,0.55019631,0.633881,0.51757724,0.60735373,0.63320581,0.39652283,0.70781366,0.51342051,0.48947698,0.51124146,0.41746546,0.29717619,0.49372142,0.51951099,0.4942937,0.51832388,0.37021669,0.4086757
23,0,0.53393031,0.57423099,0.36641379,0.5175665,0.61901017,0.27213548,0.5597039,0.65829808,0.42855297,0.66821628,0.541889,0.63191438,0.74581404,0.44581304,0.60320356,0.762796,0.68749215,0.54592148,0.77648144,0.54354759,0.29710588,0.58703333,0.65359862,0.65866879,0.4875085,0.45957254,0.62574674,0.48029404,0.64364615,0.53473014,0.67007399,0.61062654,0.41043935,0.76247816,0.58872284,0.50725078,0.51840547,0.46567222,0.33430022,0.49785149,0.52937042,0.50738228,0.46880361,0.37140449,0.41729404
23,1,0.53106159,0.55718692,0.38302097,0.52546144,0.66832698,0.28743883,0.56121246,0.69541791,0.4780407,0.59933588,0.45716095,0.62650313,0.83127135,0.4842024,0.61668122,0.78925055,0.74373212,0.51627927,0.87691444,0.54321881,0.31865,0.59088852,0.67388848,0.67736582,0.45902353,0.46678175,0.64327491,0.45448166,0.64577184,0.54167219,0.62943016,0.6165774,0.41334482,0.79089364,0.62013568,0.51027269,0.49104784,0.49333939,0.35302458,0.51360238,0.54848545,0.54618915,0.44821195,0.37345907,0.40442389
23,2,0.52945705,0.51781511,0.40751283,0.5521487,0.72162377,0.30563971,0.53727196,0.7222547,0.54411834,0.49997233,0.3443512,0.5777898,0.87370019,0.53120323,0.60665154,0.79032468,0.76,0.41580918,0.95838345,0.56841197,0.33236863,0.58171613,0.66003439,0.6814089,0.42024344,0.47909577,0.67304597,0.45738034,0.62651072,0.53884763,0.54393928,0.64923914,0.4015193,0.81168458,0.61861174,0.48901207,0.43015945,0.49800895,0.36027621,0.53350512,0.56042368,0.59088188,0.47346271,0.36581059,0.3708898
24,0,0.53038898,0.51120039,0.43022575,0.59929151,0.76059739,0.32835392,0.51342969,0.73140283,0.6265509,0.43524268,0.34568126,0.57088745,0.86724858,0.5613137,0.57454609,0.75185939,0.72146495,0.35729085,0.99350493,0.62082854,0.35191047,0.55882865,0.63625645,0.66579273,0.375187,0.49983559,0.70172599,0.48584078,0.6130233,0.53159395,0.47166069,0.68655955,0.39160467,0.81545496,0.60788516,0.46610639,0.44330296,0.48329334,0.37731213,0.54928504,0.5653336,0.61048484,0.52232156,0.36448636,0.33731985
24,1,0.54164506,0.56484863,0.46583879,0.70714216,0.80505243,0.37302105,0.49755122,0.7298896,0.69751621,0.43766672,0.41853377,0.61267436,0.84037951,0.58704122,0.54074721,0.70655871,0.55606557,0.36758074,0.98717023,0.68373336,0.39617032,0.53168567,0.60569885,0.64833157,0.35710594,0.53888204,0.73595958,0.54381422,0.64315418,0.52347169,0.43866046,0.72054748,0.40664108,0.8093266,0.59683414,0.47451945,0.52855353,0.4716324,0.39710801,0.57603252,0.57411404,0.62455108,0.57847071,0.37427769,0.33589302
24,2,0.59138574,0.64056489,0.51898865,0.76040868,0.88473149,0.4465315,0.47833988,0.74682166,0.82484256,0.47650672,0.57933655,0.6976912,0.7999241,0.62889892,0.48605971,0.59026772,0.4841158,0.4180639,0.92927592,0.85508795,0.47419778,0.49839004,0.61228199,0.6638065,0.42785938,0.68341965,0.80580397,0.66312756,0.7533092,0.54531892,0.50211305,0.7972201,0.4821051,0.80958993,0.59928227,0.53047832,0.65019362,0.49248979,0.46120377,0.63921028,0.60605821,0.64001397,0.6439308,0.41264848,0.41872087
25,0,0.63942464,0.71198766,0.58491237,0.79141601,0.94280267,0.5262332,0.46788521,0.80085062,0.86178212,0.51842382,0.74654422,0.73148148,0.76053131,0.68953557,0.48797137,0.48460412,0.47263341,0.52302603,0.86240077,0.86043071,0.56909154,0.52373162,0.68587571,0.69699859,0.55773154,0.85474723,0.87272402,0.72853563,0.84085213,0.62805331,0.63479289,0.81136615,0.56282403,0.83520456,0.62500246,0.61469826,0.76887244,0.55992607,0.52610046,0.68906148,0.64745595,0.66874501,0.70124291,0.46813002,0.50585072
25,1,0.68343598,0.77282688,0.64838003,0.81784407,0.96456943,0.6043968,0.50102442,0.8336142,0.84005781,0.59976756,0.85535587,0.77122415,0.73833776,0.74959021,0.54226606,0.43500692,0.70399721,0.62103247,0.82455296,0.83585402,0.67788756,0.60128796,0.7657578,0.7186529,0.67709098,0.96136457,0.91557861,0.72281347,0.89059686,0.71051585,0.72992601,0.79211936,0.64306524,0.84419362,0.63613214,0.70711667,0.75115034,0.62508593,0.57597437,0.74326777,0.6530192,0.71044493,0.76166594,0.50719101,0.57837528
25,2,0.68415721,0.77746125,0.66271476,0.80149259,0.9374007,0.62419017,0.54697586,0.82035056,0.80488063,0.652377,0.86802312,0.7962963,0.76796964,0.75124124,0.59181215,0.42944096,0.77333798,0.65683816,0.80506776,0.83478547,0.71342135,0.64156296,0.79194301,0.7388065,0.72800218,0.9837238,0.89220175,0.70241417,0.89300102,0.72205278,0.7738958,0.77901046,0.66367766,0.82534173,0.62073542,0.74032186,0.68003417,0.65581426,0.56877686,0.77738259,0.63316175,0.73064645,0.77416776,0.51205457,0.61033914
26,0,0.67858995,0.76682899,0.66080959,0.77450292,0.91062917,0.62470287,0.59404294,0.78976511,0.76305339,0.66819414,0.85274325,0.81469456,0.79165085,0.73253356,0.6290852,0.43390024,0.80774329,0.6660921,0.78786785,0.84563538,0.7222436,0.66377165,0.79287644,0.76049612,0.75635795,0.99350596,0.86543552,0.67465542,0.89051332,0.72317995,0.79754367,0.77441129,0.67171274,0.79661504,0.59585095,0.74979884,0.59159453,0.68506388,0.55234704,0.79864992,0.60687983,0.74117119,0.7850705,0.50338684,0.64085466
26,1,0.68597245,0.74171739,0.64424832,0.73374302,0.85827772,0.60435019,0.68697727,0.7060678,0.68078532,0.71657535,0.81220806,0.8222102,0.81685009,0.67579285,0.67773219,0.48889251,0.8261737,0.66582223,0.75192046,0.8783495,0.70564833,0.67377948,0.76300663,0.80580862,0.77424181,1,0.81682168,0.64964498,0.89787432,0.73040711,0.81325807,0.79974496,0.69302216,0.76936059,0.58221414,0.74052749,0.52226651,0.74278488,0.51300423,0.83675691,0.55417739,0.75543695,0.82860881,0.49093098,0.70648885
26,2,0.7169611,0.74342992,0.63776383,0.72503807,0.85096918,0.59647324,0.72902049,0.67238711,0.64156641,0.73051082,0.80136173,0.80609668,0.80804554,0.66402186,0.68688024,0.53005127,0.8130729,0.65962392,0.73750301,0.90415913,0.6938358,0.66885389,0.73804962,0.81294138,0.75078199,0.99967119,0.80915757,0.68219865,0.91565952,0.75533749,0.80151041,0.82400748,0.69851985,0.7725325,0.61744175,0.73215914,0.56170843,0.79116674,0.50266795,0.85265297,0.55497921,0.75992618,0.8634976,0.49539326,0.72854377
27,0,0.74623987,0.76119633,0.65308558,0.71719714,0.86081983,0.6196147,0.7540696,0.69108459,0.62861876,0.73626653,0.80595361,0.76827802,0.76660342,0.69960803,0.6893331,0.56876068,0.77770492,0.66113868,0.71190763,0.90383035,0.70153012,0.66639109,0.72114959,0.7890625,0.72752618,0.99827374,0.8105169,0.72391613,0.94708995,0.80194934,0.78488062,0.84930715,0.69053176,0.76977952,0.65968931,0.73010282,0.62461276,0.82294572,0.50764668,0.85243522,0.61955058,0.75902833,0.8722198,0.51066613,0.75069908
27,1,0.76838736,0.79940752,0.6956881,0.71093303,0.88083889,0.68191564,0.77273365,0.73572469,0.66458314,0.73728485,0.82226269,0.71398509,0.72418975,0.77430811,0.70780377,0.58629669,0.73661667,0.7014277,0.72012669,0.876048,0.74043893,0.69029675,0.72114959,0.74562147,0.7005984,0.99227291,0.81053479,0.76184947,0.97233825,0.861159,0.77694714,0.86364023,0.69898191,0.78305365,0.71677318,0.73941886,0.68240319,0.8477852,0.54253028,0.83000653,0.74088299,0.75039904,0.86894898,0.54139647,0.77349968
27,2,0.78650729,0.8482266,0.74414388,0.72774892,0.87583413,0.75635827,0.78599495,0.78358611,0.70319109,0.75362223,0.83595915,0.63949014,0.68235294,0.8698539,0.73066515,0.57001383,0.70484827,0.74953426,0.78536605,0.82615486,0.80342747,0.72307023,0.72409727,0.70266596,0.68244254,0.9782984,0.79493829,0.78559018,0.97586559,0.88522742,0.77175986,0.86032475,0.72135641,0.81871065,0.76622751,0.75382208,0.76022779,0.85245476,0.60333575,0.79182696,0.85687983,0.72510974,0.85586568,0.5729374,0.79307378
28,0,0.79067261,0.88012337,0.79599683,0.7850331,0.82952018,0.83702323,0.7736458,0.81840171,0.75129241,0.77337982,0.82123347,0.55713083,0.65690323,0.91628459,0.73406075,0.49318089,0.68080921,0.75952816,0.87346644,0.76173763,0.88886946,0.74602733,0.72611152,0.6659428,0.67080783,0.95914509,0.75193168,0.77192382,0.95061728,0.89397958,0.7646655,0.83468503,0.73637716,0.83732315,0.79092518,0.7530532,0.8347836,0.84324535,0.65364259,0.74769543,0.96136409,0.69543097,0.83246111,0.57589888,0.80719868
28,1,0.77190438,0.87152017,0.81409602,0.81457161,0.72637432,0.87298998,0.7565254,0.84820763,0.80423442,0.77074548,0.73679835,0.51603535,0.65137761,0.888716,0.71503142,0.38218732,0.70134636,0.6462697,0.90056932,0.7005014,0.95619481,0.76768776,0.71171702,0.64108404,0.66674827,0.93497739,0.68280272,0.68889817,0.87387914,0.84299165,0.75975284,0.789637,0.70438562,0.83454624,0.75828335,0.73789897,0.84841686,0.81360659,0.65324213,0.6925891,1,0.66400638,0.78259922,0.52361156,0.79959848
28,2,0.77495138,0.81941401,0.76289725,0.77195408,0.68953765,0.79763847,0.73077463,0.84880375,0.82964799,0.71968565,0.67791149,0.50603054,0.63751044,0.82989666,0.67781075,0.32197901,0.73526334,0.55616784,0.85742924,0.63561565,0.91230218,0.73510573,0.68774257,0.64411194,0.69373045,0.9163173,0.63947415,0.57755409,0.80675763,0.77522875,0.76321611,0.73408144,0.65267445,0.78861944,0.66420214,0.73580688,0.79783599,0.76918088,0.61368285,0.63600929,0.92559889,0.6389166,0.70272569,0.48098716,0.78117158
29,0,0.81944895,0.76721045,0.69109731,0.72783532,0.75021449,0.6896916,0.68388998,0.79750318,0.84417003,0.63465604,0.66045444,0.511538,0.60579886,0.77373797,0.65714036,0.375059,0.77155215,0.5321668,0.80795445,0.65048496,0.83177407,0.6961013,0.68096291,0.67268715,0.74874201,0.89042335,0.65190485,0.50939771,0.79944305,0.6987137,0.76313983,0.69373459,0.63004934,0.75673282,0.58300069,0.75372374,0.71687927,0.73545626,0.58140768,0.60167671,0.84407048,0.6143755,0.68004797,0.47421348,0.74611027
29,1,0.8767423,0.71243406,0.63606524,0.71954078,0.88536702,0.61415365,0.65075779,0.72227763,0.86399098,0.56943937,0.70781411,0.56877706,0.58590512,0.77344103,0.65616271,0.48270811,0.81036624,0.5923914,0.79591853,0.73908433,0.758984,0.65874162,0.71545075,0.72092161,0.79103767,0.84101932,0.7132445,0.52090886,0.85958415,0.63414666,0.75865436,0.68446825,0.6460177,0.75408757,0.53529643,0.81149754,0.67949886,0.67358454,0.58710075,0.65800247,0.71445258,0.61347765,0.71203663,0.49919743,0.71312827
29,2,0.90648298,0.67469361,0.61524601,0.70653735,0.96838259,0.58142624,0.65244176,0.67728216,0.87219194,0.5543749,0.74964769,0.63510101,0.58762049,0.78756384,0.66645426,0.5797217,0.82449948,0.64949943,0.7925427,0.82903173,0.71543237,0.63588896,0.73672316,0.75795374,0.80327757,0.82036169,0.75598283,0.5484003,0.90784368,0.60887813,0.75762453,0.70141971,0.66005952,0.74493094,0.50702979,0.84426464,0.6568451,0.66852584,0.59472038,0.72918633,0.63305286,0.62729449,0.74254979,0.51604334,0.70270309
30,0,0.92220421,0.63837351,0.60935832,0.69419274,0.99968224,0.57492426,0.67846618,0.65374695,0.86547138,0.54620621,0.76266329,0.6775493,0.59946869,0.78980877,0.67954784,0.67411506,0.82405302,0.69219117,0.78948761,0.88771988,0.68857218,0.62600296,0.73814788,0.78094103,0.80701754,0.81181258,0.76987122,0.57624259,0.9450478,0.59157937,0.76153025,0.7262008,0.68626361,0.73505614,0.48063121,0.87374162,0.64856492,0.68675011,0.59644129,0.79291573,0.60320729,0.64096169,0.76762611,0.52508026,0.69614254
30,1,0.90518639,0.62540378,0.61651995,0.66028016,0.96711153,0.58542686,0.73323042,0.64798065,0.81847448,0.57909126,0.73501702,0.72685185,0.62186717,0.76633804,0.71877619,0.7690048,0.80249738,0.7090363,0.76863924,0.94961368,0.67302614,0.63558437,0.68975682,0.78744703,0.79287366,0.81628442,0.73586121,0.61131067,1,0.57530831,0.77679457,0.76240755,0.69843371,0.75213655,0.45733949,0.88717926,0.67871298,0.72131785,0.58101804,0.84350729,0.59759454,0.65707302,0.81814217,0.52955056,0.67833943
30,2,0.84781199,0.655028,0.62571301,0.62717759,0.85795996,0.59331935,0.75266629,0.62885901,0.74672197,0.6226908,0.67362837,0.71705147,0.63020114,0.72155838,0.73825943,0.82048987,0.78740146,0.67191608,0.68855745,0.96383363,0.66884673,0.64673223,0.60707443,0.75753001,0.7120903,0.84118372,0.66900376,0.6291872,0.99136731,0.56340671,0.77839652,0.77419026,0.67596523,0.76192756,0.43063612,0.88002682,0.68313212,0.7501135,0.53879623,0.82180446,0.5928232,0.65008978,0.83856665,0.52921348,0.67149208
31,0,0.81008104,0.68061034,0.63489458,0.55018306,0.80751509,0.59667521,0.73645804,0.56288475,0.67946941,0.63198849,0.6138548,0.68885281,0.61563567,0.67566219,0.71545915,0.82602327,0.76191141,0.59895534,0.61274958,0.92429722,0.67078779,0.64502654,0.51063621,0.706506,0.69434245,0.86091245,0.64888213,0.6485089,0.95924998,0.5494762,0.7761843,0.75691575,0.65997337,0.74839011,0.40446367,0.86482789,0.67083144,0.75452364,0.47261156,0.77520505,0.58192437,0.62859138,0.8155982,0.5281862,0.66922636
31,1,0.78448947,0.71774207,0.65837647,0.48912961,0.6780108,0.61283306,0.68699832,0.51469088,0.59218442,0.60609884,0.58669147,0.63449976,0.56340038,0.6200974,0.6491882,0.82171047,0.72365539,0.52972926,0.55526421,0.83684037,0.68895689,0.63013663,0.42991894,0.60203919,0.60356317,0.85630908,0.65001789,0.66047114,0.8737956,0.52581223,0.73022351,0.71416305,0.61968048,0.72263184,0.37240193,0.84509611,0.65621868,0.75484791,0.42228307,0.68048922,0.55388042,0.55536712,0.76311964,0.51601124,0.65352406
31,2,0.77492707,0.76766496,0.67957443,0.45545463,0.58066412,0.6280665,0.6018664,0.46310371,0.52031441,0.57744203,0.57026364,0.5862494,0.49111954,0.53841311,0.57293994,0.80603792,0.68355773,0.48493079,0.52541095,0.73849252,0.70878727,0.59053172,0.37967084,0.46582804,0.51428669,0.81748459,0.68021821,0.65601036,0.80883691,0.51385758,0.65449691,0.63937771,0.58129846,0.69975822,0.35156818,0.82908359,0.64686788,0.75154031,0.39614473,0.57196051,0.52057018,0.46976756,0.68804332,0.47494382,0.62838603
