,,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
4,2,0.43069662,0.20455859,0.44748624,0.41964738,0.27178122,0.59830814,0.52055963,0.53406838,0.52540238,0.49126246,0.36424906,0.49586643,0.40362008,0.70965291,0.41376848,0.31385656,0.35447597,0.52477615,0.18644552,0.61788736,0.399367,0.39222346,0.54956425,0.37101029,0.55185244,0.47772228,0.51658369,0.5068353,0.55375512,0.49400853,0.32522505,0.57344479,0.49588584,0.4902719,0.687682,0.18798664,0.37372539,0.29710921,0.62800773,0.42970776,0.43167631
5,0,0.46979365,0.20732513,0.47638386,0.38270018,0.31360116,0.61557955,0.53790949,0.5562906,0.57364416,0.47961241,0.3516,0.45745153,0.41593147,0.72815433,0.39423008,0.35835939,0.33073644,0.56306364,0.19898292,0.6071695,0.40357997,0.42127877,0.51603397,0.3788017,0.57535931,0.50235764,0.51199859,0.50324826,0.47437415,0.51813561,0.33039608,0.54231412,0.5251018,0.50941843,0.63936962,0.18798664,0.40078028,0.29710921,0.63855693,0.42111477,0.43378923
5,1,0.49519977,0.22196713,0.47203827,0.3580265,0.32757018,0.6212527,0.52720312,0.55239316,0.60921973,0.4777078,0.34570566,0.43029294,0.43485411,0.71868762,0.36447169,0.37594894,0.31771522,0.56372156,0.21579472,0.57638977,0.39049093,0.4455735,0.4732127,0.37518338,0.60319387,0.50508492,0.55083631,0.49665874,0.41028675,0.52619588,0.33689738,0.4833612,0.51166584,0.50884441,0.55962111,0.18786391,0.42057546,0.29710921,0.62651796,0.40568996,0.43053656
5,2,0.51059564,0.25304319,0.44937991,0.3338496,0.32032914,0.6312599,0.50172752,0.56250427,0.62780791,0.48738374,0.35581887,0.41262277,0.45231005,0.71784597,0.33795889,0.36958973,0.32297026,0.54695273,0.22759423,0.55005004,0.37465888,0.45502042,0.44435746,0.37661345,0.63643405,0.49726274,0.60471804,0.48725273,0.35571234,0.51707165,0.35103021,0.40842059,0.48579679,0.50537009,0.49144606,0.18786391,0.44571289,0.29793654,0.62308745,0.39012967,0.43362265
6,0,0.50963706,0.27785944,0.42733452,0.30153906,0.30650532,0.64311015,0.47658249,0.59077778,0.62582225,0.49939525,0.37314717,0.41838757,0.46723261,0.72524207,0.32064912,0.35280235,0.34370866,0.52952598,0.23203483,0.52826858,0.36034604,0.4532294,0.43215657,0.38753621,0.68414245,0.48972028,0.6576502,0.47696988,0.34680018,0.50299305,0.36481296,0.3524945,0.47295289,0.50602719,0.4674636,0.18786391,0.47061757,0.29793654,0.6415848,0.38587188,0.44623882
6,1,0.49523635,0.30308861,0.39672931,0.24878239,0.28233301,0.64907847,0.46780626,0.63544444,0.59026417,0.51265796,0.39143396,0.44191647,0.47342163,0.73928944,0.31386946,0.32505202,0.37500612,0.50643474,0.23758559,0.51139114,0.34134196,0.43452116,0.43372969,0.40295876,0.74542478,0.48202797,0.7070011,0.45910111,0.36467,0.47645864,0.38468694,0.30600088,0.47609439,0.50943353,0.4514229,0.18761846,0.49769463,0.29793654,0.68664841,0.38843623,0.46672804
6,2,0.47534758,0.32122388,0.36280745,0.19806156,0.25488867,0.64647948,0.483162,0.66455556,0.48826977,0.52195854,0.39921509,0.49122897,0.44640992,0.76389096,0.31961053,0.29948731,0.4073448,0.46882121,0.26319883,0.50423983,0.30059783,0.37906459,0.45134417,0.42826851,0.81251996,0.48210789,0.71085367,0.42748203,0.43282658,0.42803254,0.41529306,0.31510779,0.50776313,0.49338369,0.45468233,0.18761846,0.52981468,0.29793654,0.71362538,0.3975808,0.47817815
7,0,0.4744768,0.33314064,0.36238055,0.19437951,0.25924492,0.64205184,0.52395069,0.68791453,0.38815605,0.52575385,0.40296604,0.52852507,0.41135359,0.77439297,0.33402092,0.30034761,0.42236268,0.44346738,0.30856212,0.5055136,0.29596286,0.33889198,0.48587149,0.45010171,0.84972852,0.50962038,0.69556547,0.41047681,0.50578061,0.39292201,0.4509902,0.36937088,0.53360801,0.44387462,0.47163302,0.18749574,0.5759554,0.29793654,0.70951844,0.41198955,0.49029458
7,1,0.49049466,0.34496655,0.40514684,0.28540814,0.29979671,0.64334773,0.56224407,0.72205983,0.35311407,0.53351128,0.41818113,0.57867452,0.38601969,0.80195144,0.36095925,0.33368985,0.44024695,0.44661254,0.38621286,0.53015194,0.32088198,0.35682999,0.53027326,0.47633607,0.8888534,0.54813187,0.6895967,0.41302759,0.60030041,0.39368505,0.49095819,0.44931808,0.56853908,0.4127568,0.5151638,0.18749574,0.64613628,0.29793654,0.69497504,0.43896845,0.51974399
7,2,0.53055759,0.36140061,0.49624003,0.42559906,0.38583737,0.6824766,0.61267275,0.78274359,0.37116865,0.55621359,0.45120755,0.65345461,0.39337541,0.8459705,0.41708619,0.40755897,0.46865354,0.48191534,0.47267167,0.57442453,0.38247292,0.39818114,0.58062777,0.51550268,0.91727882,0.61669331,0.69549765,0.43945211,0.70568047,0.42306742,0.5485197,0.55604048,0.64283557,0.41466767,0.57232793,0.18749574,0.75570802,0.29793654,0.68591561,0.49588736,0.58973347
