,,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
37,1,0.25631494,0.25899744,0.616603,0.40748101,0.56294288,0.55849532,0.73777939,0.2544188,0.68275017,0.41555101,0.41241509,0.51443334,0.44662104,0.5246909,0.4655824,0.59818408,0.28699348,0.46227414,0.37471249,0.76878355,0.38057392,0.56870824,0.73223781,0.61255008,0.51041201,0.36843157,0.49970834,0.55409122,0.57638598,0.47219207,0.21686337,0.81203696,0.43718812,0.42756042,0.58954335,0.22043363,0.32974597,0.25486665,0.41137864,0.36867621,0.52071717
37,2,0.24478267,0.25026014,0.57273115,0.3341126,0.5074153,0.53292297,0.68372505,0.2412906,0.67206088,0.44147864,0.41973585,0.49508925,0.44228761,0.54137494,0.44689506,0.53647535,0.30764614,0.46436022,0.36123114,0.75255209,0.37958925,0.49908129,0.68661743,0.59958084,0.49816353,0.38018981,0.48119158,0.5252222,0.58748293,0.50308977,0.21923385,0.7508139,0.45180818,0.43435801,0.53098114,0.23954456,0.33078782,0.28867043,0.40764213,0.35113219,0.4923812
38,0,0.21663252,0.23239739,0.50820408,0.2630528,0.43164569,0.50938805,0.60237161,0.22234188,0.65698915,0.44108938,0.39896604,0.47577932,0.44689882,0.53885744,0.39544897,0.45113175,0.30470626,0.45368914,0.33549824,0.7381312,0.36685891,0.42442465,0.62875923,0.56398323,0.45362504,0.37488511,0.4469661,0.47557492,0.59400091,0.51021505,0.20366073,0.68638803,0.44774839,0.42928248,0.48584547,0.23589009,0.30847668,0.2766206,0.3680947,0.32583704,0.45608452
38,1,0.15077565,0.16963416,0.40179734,0.19773037,0.33279768,0.50948884,0.46180259,0.20017094,0.62496501,0.42125092,0.34404528,0.47452387,0.46726594,0.52444511,0.28757303,0.34002581,0.25390759,0.42945858,0.29004188,0.70227459,0.34172176,0.28952301,0.55897341,0.51809776,0.32779463,0.34501499,0.42443398,0.40347544,0.59228038,0.48747434,0.17373475,0.63368236,0.41000205,0.4060574,0.44348941,0.20006818,0.26220296,0.23023165,0.27460944,0.27583704,0.41046817
38,2,0.1169618,0.096911388,0.31224756,0.18275862,0.22862536,0.52814255,0.36101988,0.21473504,0.57941742,0.37716701,0.28375094,0.50226322,0.48374408,0.51959631,0.23347999,0.24270784,0.22608898,0.38833082,0.263139,0.65261578,0.32321705,0.1934484,0.54164697,0.47570117,0.23337592,0.29852148,0.40837256,0.34207065,0.59763314,0.4215091,0.1514903,0.60273647,0.38105192,0.36978852,0.42763898,0.18886616,0.25039901,0.16240997,0.23768723,0.23516547,0.39427494
39,0,0.15773452,0.10898505,0.32348917,0.22546269,0.22843175,0.57142549,0.36957217,0.31509402,0.51442442,0.3356133,0.23378868,0.54574259,0.50092224,0.53320423,0.24555355,0.24925305,0.25513254,0.38672615,0.31241774,0.61979802,0.34994373,0.16427246,0.57129985,0.46488935,0.4254711,0.29018981,0.45323331,0.36551926,0.61613109,0.36101409,0.14436887,0.61897052,0.41884659,0.35752266,0.4490321,0.22352901,0.31286576,0.14127896,0.27686423,0.25624153,0.43226372
39,1,0.21411532,0.13750929,0.4240507,0.35552309,0.31670862,0.63404608,0.44274654,0.40784615,0.49840798,0.34038175,0.23929811,0.62210266,0.5170226,0.56141814,0.28789758,0.34231605,0.29724631,0.42993999,0.40933989,0.61948867,0.4024054,0.17281923,0.60244461,0.50243481,0.56259981,0.34926074,0.51526785,0.41977654,0.64216659,0.35696246,0.17663533,0.66220853,0.47332745,0.38979607,0.46997849,0.30045681,0.42925386,0.18964376,0.36128201,0.31808593,0.49795722
39,2,0.26541051,0.20348501,0.5387655,0.47150789,0.41886738,0.7012383,0.56430217,0.48036752,0.52229706,0.37914112,0.27221132,0.69944487,0.53748972,0.62673916,0.34684457,0.4500622,0.34560733,0.49815463,0.54826165,0.64439996,0.45442397,0.19845954,0.63083456,0.5671824,0.67729958,0.45090909,0.60186931,0.48855469,0.67251707,0.40441058,0.28661732,0.71004839,0.55866752,0.44397281,0.50392124,0.3744324,0.54393509,0.2613393,0.44430665,0.39325527,0.58090479
40,0,0.31782526,0.2516145,0.65549438,0.59323008,0.53130687,0.75802736,0.7254628,0.54875214,0.56696991,0.43074613,0.32849057,0.77109061,0.57057935,0.71838969,0.41900469,0.56981759,0.40287373,0.59705061,0.6892907,0.6718497,0.51099311,0.24312361,0.6698966,0.64975652,0.78526828,0.54791209,0.69498216,0.57587916,0.70721893,0.47526572,0.42743549,0.76887813,0.65953385,0.54989426,0.53975017,0.48114816,0.63335698,0.32205567,0.51534869,0.45724792,0.65929335
40,1,0.35511488,0.29640763,0.75376818,0.6783947,0.63131655,0.80331174,0.84983365,0.59804274,0.61972533,0.49540532,0.37938113,0.80339909,0.63229183,0.78131983,0.48478182,0.67521536,0.44759665,0.69037838,0.81552882,0.69838959,0.57534815,0.293634,0.70435007,0.71602046,0.85843181,0.63185814,0.77140958,0.63012315,0.73190715,0.54757171,0.58157632,0.81511659,0.74254196,0.65371601,0.57098776,0.62489262,0.70221892,0.36999221,0.56870672,0.50397716,0.73613887
40,2,0.37882336,0.30834916,0.81712403,0.72282291,0.70117135,0.82152628,0.88590897,0.63459829,0.65150455,0.5254619,0.4097434,0.8100948,0.64723661,0.81230448,0.50218536,0.74660823,0.46420697,0.7454668,0.90553746,0.71347466,0.60879871,0.32701373,0.71390694,0.74388214,0.91336634,0.67113886,0.80326112,0.6693813,0.75089668,0.59485862,0.67340468,0.8133656,0.82281938,0.71826284,0.59065189,0.66935297,0.71255985,0.40546039,0.61101627,0.53094639,0.77538138
41,0,0.39037758,0.3076885,0.83862211,0.73186246,0.73294288,0.80539957,0.88200606,0.63281197,0.66964661,0.54402135,0.42108679,0.78677086,0.6455699,0.818561,0.49135233,0.78437983,0.45421138,0.76915177,0.93837665,0.70770631,0.62124068,0.34809762,0.70002216,0.74499168,0.9251038,0.68336663,0.80228441,0.68457972,0.75933546,0.61209685,0.73628726,0.76906291,0.85068207,0.74484139,0.57655526,0.68282539,0.68771059,0.424489,0.62187953,0.53143991,0.77751184
41,1,0.39687546,0.30128004,0.79931478,0.68072277,0.70453049,0.76090713,0.85887647,0.60175214,0.67735304,0.55279365,0.42181132,0.73375181,0.63361408,0.79733353,0.4504652,0.7571294,0.42851193,0.72937193,0.91118793,0.66004913,0.59399353,0.35490906,0.66048744,0.72175307,0.85052699,0.67493506,0.77420405,0.66297777,0.74280382,0.59527776,0.74992999,0.68391553,0.81821587,0.73074018,0.52131866,0.68193905,0.62361456,0.40734865,0.56891609,0.51219276,0.75294582
41,2,0.39148983,0.28824015,0.73224821,0.60435418,0.64070668,0.71286537,0.82293977,0.58346154,0.67416025,0.54817812,0.41417358,0.65742591,0.62655837,0.77327573,0.4079625,0.69473476,0.40985595,0.67688308,0.83906136,0.58600673,0.55283444,0.34825538,0.62271787,0.68217962,0.77076014,0.64788212,0.74377688,0.62831635,0.70642695,0.54889359,0.72039408,0.58148702,0.76416998,0.69418429,0.47885506,0.67278925,0.56768709,0.36898968,0.50883395,0.48904587,0.70739085
42,0,0.38150154,0.27751259,0.64874065,0.49156439,0.56142304,0.67761699,0.78105272,0.58117949,0.65406753,0.52604579,0.39927547,0.58245794,0.61716927,0.74780277,0.37038586,0.62047037,0.39803518,0.61990115,0.74014492,0.48819034,0.51391898,0.31705642,0.59537666,0.64242125,0.66982593,0.62167832,0.72238425,0.59482404,0.68524351,0.49051575,0.67740548,0.49439507,0.69792057,0.65762085,0.45312707,0.65678053,0.52181238,0.33741483,0.46438235,0.47128895,0.65290198
42,1,0.36664715,0.25077215,0.5436365,0.40505552,0.45409487,0.65904248,0.73043209,0.5994359,0.61045311,0.48716131,0.38155472,0.52321291,0.5978244,0.70817071,0.33759827,0.52257112,0.38802734,0.55390096,0.62109287,0.40397598,0.47683922,0.27830364,0.57812408,0.59148739,0.55927819,0.5886014,0.70165633,0.55650915,0.65602185,0.40907479,0.61113223,0.42825341,0.6328311,0.60835347,0.42488418,0.63548783,0.48203361,0.30259879,0.45789177,0.45891233,0.580633
42,2,0.34570467,0.22849946,0.47629629,0.34110657,0.37600194,0.649964,0.65608471,0.63069231,0.56010322,0.4016627,0.36849057,0.47508754,0.56674593,0.67835543,0.31832672,0.44154063,0.37914645,0.48581469,0.58036296,0.38460559,0.44115206,0.23218263,0.5829616,0.54835111,0.43309645,0.56761239,0.66233026,0.51508549,0.65621302,0.32471064,0.54871974,0.41021557,0.60780784,0.54829305,0.40573296,0.6095316,0.4751064,0.29452015,0.47828958,0.46175731,0.5108627
43,0,0.34159959,0.21699562,0.4908874,0.33752192,0.3709971,0.65533477,0.60744753,0.6635812,0.52339923,0.34727725,0.3697283,0.47273892,0.54188982,0.67441531,0.32722683,0.42862457,0.38055515,0.45840688,0.60836269,0.41588572,0.4487129,0.22885115,0.60980059,0.54470197,0.3980198,0.57325674,0.63221509,0.49648603,0.67707783,0.2840224,0.54445889,0.4399648,0.61850102,0.52958459,0.40280443,0.59526147,0.50883357,0.31276037,0.49237397,0.47780143,0.49660705
43,1,0.3490341,0.21394004,0.54417286,0.39231444,0.41614714,0.67341973,0.58403003,0.69964957,0.50824878,0.32232278,0.38537358,0.4910667,0.53353408,0.68654104,0.36165885,0.46292012,0.3926944,0.47146892,0.69081965,0.4718224,0.47999719,0.26092242,0.64649188,0.56553658,0.44643085,0.598002,0.61249101,0.49664545,0.71338188,0.2823996,0.58810762,0.49948086,0.65566739,0.53125378,0.42658835,0.58979341,0.57828294,0.33773603,0.51550169,0.51513451,0.51422059
43,2,0.37915264,0.22707077,0.62986963,0.51317943,0.49941917,0.70917207,0.58072428,0.74532479,0.50591323,0.3563554,0.42052075,0.5376975,0.55304562,0.72581558,0.42408943,0.54686864,0.42593954,0.51675278,0.80808349,0.53026112,0.5573428,0.31584076,0.68038405,0.61540406,0.51810923,0.64293706,0.61443086,0.52188758,0.76776513,0.3248396,0.68085617,0.58544655,0.72685862,0.55174471,0.48331403,0.60355219,0.67724774,0.38631497,0.56229667,0.56689568,0.58213221
44,0,0.41363237,0.25658601,0.71571965,0.64222677,0.58662149,0.74485241,0.61164904,0.78667521,0.5111529,0.41299301,0.46235472,0.57838415,0.6088802,0.77208402,0.50719077,0.63865282,0.46719584,0.58840142,0.89928871,0.58168502,0.62112815,0.37981626,0.72517725,0.67583061,0.61231236,0.68376623,0.6370715,0.55793068,0.80275831,0.38617288,0.78335667,0.66737352,0.80178341,0.60071752,0.54927201,0.63794914,0.76003059,0.44854974,0.62646964,0.62282756,0.64902683
44,1,0.44814137,0.30673053,0.84432501,0.76772842,0.72499516,0.78466523,0.7068653,0.82801709,0.52012771,0.46519581,0.51591698,0.61850713,0.69724883,0.84790705,0.59984854,0.78511225,0.51668382,0.67816682,0.95220368,0.61150942,0.71050781,0.48887342,0.78508124,0.75830611,0.77827371,0.73507493,0.70578021,0.59586029,0.84282203,0.47149351,0.90002,0.75941047,0.87572949,0.65180514,0.62907842,0.67723461,0.82930262,0.5612517,0.70065228,0.67052448,0.7445292
44,2,0.47249378,0.33768272,0.90707882,0.82779077,0.80977735,0.77840173,0.76931198,0.80320513,0.54427922,0.50772268,0.55639245,0.60169955,0.76657259,0.87531655,0.66305806,0.86820047,0.54245676,0.7035367,0.95034235,0.57775453,0.75974117,0.55082591,0.81166913,0.78955803,0.86386139,0.7473027,0.73698062,0.59912848,0.84487938,0.52573375,0.93578716,0.74592169,0.82379807,0.70593656,0.67648081,0.68343901,0.86512458,0.68616897,0.68153487,0.68234953,0.77671401
45,0,0.46442997,0.36176398,0.95384043,0.84829534,0.85664085,0.74766019,0.79320935,0.70447863,0.57765045,0.54317332,0.55769057,0.54597318,0.77827285,0.86987934,0.67239812,0.90177523,0.53614827,0.69389262,0.8570099,0.46167774,0.80672387,0.58954157,0.79667651,0.77649017,0.9021878,0.71521479,0.72249278,0.57322209,0.79555758,0.5860998,0.87140428,0.68430268,0.70043377,0.72721299,0.66831568,0.60619077,0.81810826,0.73452404,0.60988082,0.67037933,0.76646502
45,1,0.43293575,0.36849451,0.92670512,0.82270602,0.83635044,0.72555796,0.77439857,0.6122906,0.59102519,0.52326535,0.50927547,0.4903493,0.74152759,0.82384925,0.64745763,0.8653987,0.50061247,0.65854167,0.68284252,0.36660904,0.78562386,0.55828693,0.7450517,0.70134994,0.86058767,0.65408591,0.69612165,0.53013777,0.7175239,0.59648142,0.77121424,0.62447866,0.60969274,0.71555136,0.64228987,0.531922,0.68211341,0.74332295,0.55161862,0.6234372,0.7314659
45,2,0.37179131,0.35391031,0.86644702,0.72913501,0.77080348,0.69662347,0.6990488,0.51059829,0.58594297,0.48190627,0.43979623,0.40936032,0.61086913,0.73712945,0.60605842,0.78593766,0.45351316,0.60701563,0.44223892,0.31646802,0.67777465,0.5106997,0.69410635,0.57146027,0.79384382,0.58709291,0.62475413,0.46102749,0.59430132,0.56961386,0.58955791,0.54925649,0.53810278,0.68564955,0.56380708,0.48309129,0.56561447,0.71998248,0.46360122,0.53403329,0.67774855
46,0,0.31310552,0.33082005,0.79431242,0.6338496,0.70742498,0.65059035,0.64318162,0.4142906,0.56515045,0.42369771,0.36988679,0.35959518,0.48828863,0.66368241,0.55127299,0.71578874,0.40172228,0.53711608,0.25208403,0.28213993,0.58063722,0.45546585,0.63863368,0.46855699,0.6889572,0.51143856,0.53495123,0.40429913,0.4893127,0.52579824,0.45206041,0.47783546,0.46803523,0.64374622,0.5272998,0.45316697,0.45449104,0.66586529,0.38365276,0.47744339,0.61061722
46,1,0.23194058,0.24839376,0.69136465,0.48847652,0.59650532,0.53552916,0.56227606,0.31189744,0.51397831,0.36806106,0.28928302,0.31057306,0.3673415,0.52196484,0.45841327,0.59787019,0.31677201,0.43018069,0.20860866,0.24117915,0.43165705,0.37353378,0.53830133,0.29542625,0.49124082,0.40778222,0.37273628,0.31348062,0.34949477,0.45136433,0.27464493,0.39630444,0.39369042,0.56956949,0.51526307,0.43908093,0.32812777,0.56287717,0.31412466,0.37703697,0.50732948
46,2,0.18224791,0.1923115,0.57073897,0.36378336,0.46834463,0.41925846,0.45254649,0.23352137,0.44041288,0.33525184,0.21556226,0.29563584,0.29009534,0.39859973,0.34597908,0.46326889,0.21900877,0.3530922,0.25687695,0.22291875,0.33717119,0.31253712,0.46214919,0.19781791,0.28941233,0.33118881,0.29533215,0.25932962,0.2586254,0.38597943,0.17143429,0.34194457,0.34569796,0.51159366,0.52758934,0.4442149,0.25342481,0.44890014,0.26819939,0.23954906,0.47331229
47,0,0.16677887,0.16360558,0.4656786,0.28729788,0.35017425,0.31891289,0.33824219,0.18861538,0.35418999,0.28562094,0.16775849,0.31243488,0.26457255,0.33429167,0.25373242,0.35462757,0.19413004,0.30687763,0.2973609,0.21372032,0.27754255,0.28321269,0.4005096,0.18966282,0.22561482,0.29423576,0.31452718,0.2626111,0.21581247,0.35343744,0.15043009,0.30973163,0.31876563,0.47089879,0.54117306,0.45977364,0.2270571,0.32992992,0.25178773,0.15361912,0.46913028
47,1,0.16019318,0.14979767,0.38365971,0.2397331,0.26159729,0.28100072,0.2763287,0.19190598,0.3011809,0.25208881,0.15471698,0.32752583,0.25536123,0.32766274,0.20533718,0.28128161,0.19983831,0.31318399,0.33599016,0.21905195,0.2541989,0.2687268,0.35640325,0.21651359,0.24326094,0.28123876,0.37761982,0.27107385,0.22781065,0.34226053,0.15178036,0.28901892,0.30483429,0.46108761,0.54085043,0.48458444,0.2397034,0.25781585,0.24917056,0.14876137,0.46575487
47,2,0.15945412,0.14656041,0.32669637,0.21761153,0.19613746,0.29138229,0.24359111,0.21545299,0.26594647,0.23692149,0.15962264,0.33937142,0.27976177,0.34728884,0.20049044,0.24056872,0.21086285,0.34400976,0.34876022,0.23967792,0.2547264,0.26898664,0.34042836,0.2443013,0.27713989,0.28456543,0.45791337,0.28997888,0.25197997,0.35114832,0.15078016,0.27663,0.30085908,0.45663142,0.525546,0.49173655,0.26733463,0.21627409,0.26084716,0.17458874,0.44963177
48,0,0.15508561,0.15079693,0.29377059,0.22759595,0.17146176,0.31361411,0.24419894,0.22293162,0.24590623,0.22204613,0.16821132,0.34611837,0.3194071,0.35465515,0.20753696,0.22817583,0.21056887,0.37798068,0.31176627,0.26632699,0.2505275,0.27259651,0.32279911,0.25408371,0.2975008,0.28204795,0.50792897,0.28898248,0.24214838,0.36713989,0.14481896,0.26106467,0.2953977,0.4361858,0.50208471,0.47275516,0.2602966,0.1745182,0.26062973,0.20509967,0.41379975
48,1,0.13254061,0.11816005,0.23989404,0.22243327,0.14373669,0.30612671,0.21968307,0.16087179,0.22695941,0.19059932,0.15846792,0.31717482,0.2770506,0.28931178,0.18626758,0.19041585,0.16431476,0.34855098,0.20213388,0.31311073,0.20919961,0.24769859,0.27444609,0.22580287,0.24119291,0.24001998,0.43573396,0.23018161,0.23461994,0.3449043,0.12457491,0.1842059,0.25344659,0.35385952,0.42279947,0.38902298,0.20551073,0.11573876,0.21110485,0.1972905,0.27513589
48,2,0.13625055,0.051242877,0.19271649,0.1950224,0.11347531,0.22759539,0.18047262,0.12094872,0.20756648,0.17960267,0.14615849,0.28414895,0.20414898,0.21318338,0.16879913,0.15159794,0.1462345,0.2834815,0.14878681,0.3519516,0.13378112,0.20259837,0.20822747,0.19944523,0.13332003,0.23341658,0.35401603,0.20180415,0.25459263,0.30415158,0.11592318,0.13136824,0.21936131,0.25257553,0.36233455,0.20943615,0.15684297,0.092096554,0.17300693,0.1733114,0.1671664
49,0,0.20896385,0.053336361,0.16392833,0.17171245,0.10257502,0.16295896,0.14261645,0.084963248,0.20115465,0.19363001,0.16957736,0.27461782,0.12116936,0.1635111,0.15609088,0.12930002,0.18301975,0.22287301,0.13719338,0.4386953,0.099212266,0.19348552,0.16799114,0.22424952,0.19001118,0.25115884,0.25437823,0.16331655,0.29049613,0.25792862,0.15878176,0.10891333,0.22438771,0.16008308,0.22905361,0.082041317,0.12275004,0.095209266,0.16900467,0.18945229,0.12860775
49,1,0.29071418,0.069549096,0.1775124,0.16894604,0.11658277,0.16850972,0.15739635,0.11473504,0.22661826,0.22403414,0.18923774,0.30436416,0.16290362,0.22824371,0.16139199,0.13875164,0.22989857,0.21629385,0.17182078,0.52350105,0.11501618,0.21001299,0.18698671,0.27446218,0.23491696,0.27759241,0.25235699,0.21620544,0.32773782,0.25422089,0.21958392,0.11846898,0.25558523,0.16483384,0.21584216,0.096979614,0.13634953,0.1232042,0.21075052,0.23981033,0.16089777
49,2,0.34329723,0.084986374,0.20661799,0.18687902,0.13869313,0.19696904,0.18453549,0.15869231,0.25027117,0.26233474,0.20455849,0.35198565,0.20712683,0.2989349,0.17816084,0.15957311,0.26058357,0.23545364,0.21245097,0.59827131,0.14864257,0.22690238,0.21629247,0.31600814,0.26159374,0.29776224,0.29664799,0.25838636,0.35939918,0.28069082,0.27429486,0.13838979,0.29884127,0.19679003,0.2455824,0.16920297,0.1507027,0.15927584,0.28088259,0.27805303,0.19566018
50,0,0.39666325,0.09867041,0.24067121,0.2157705,0.16201355,0.24612671,0.21011773,0.22759829,0.27660077,0.31036688,0.22195472,0.40493637,0.25055001,0.36614777,0.19643707,0.18934629,0.2682395,0.27054784,0.25715615,0.66195069,0.18179069,0.23905902,0.24708272,0.35301732,0.32408176,0.32490509,0.35225253,0.29550557,0.39322713,0.31632796,0.32211442,0.1641971,0.34018825,0.22904079,0.27408173,0.22282675,0.18026246,0.21500876,0.34784184,0.31556996,0.23867263
50,1,0.41824235,0.10717648,0.27441794,0.24547049,0.18550823,0.30084953,0.25966132,0.28048718,0.299169,0.35169816,0.24749434,0.45692203,0.29866219,0.42727544,0.22078615,0.21960775,0.27099564,0.31533425,0.30142259,0.71372941,0.19830497,0.25834261,0.28381093,0.39432904,0.35782498,0.37037962,0.39652997,0.33378061,0.43903505,0.35873572,0.35106021,0.20788385,0.37775334,0.2601435,0.31661152,0.26524852,0.20899096,0.25215106,0.43126913,0.34885814,0.27924776
50,2,0.43142836,0.11782971,0.29886051,0.28239821,0.20468538,0.33691865,0.30149505,0.33546154,0.3148268,0.37704189,0.27006038,0.49284311,0.33600747,0.47485476,0.24730617,0.24328912,0.28161595,0.3511666,0.33356378,0.75922118,0.22799269,0.28651633,0.31474889,0.42209826,0.38689716,0.40360639,0.43477081,0.36634295,0.47690487,0.4011005,0.36458292,0.25714914,0.40783925,0.28263595,0.33742555,0.28405945,0.24578826,0.29164882,0.49526494,0.38193342,0.29335437
51,0,0.44346553,0.13266991,0.31368149,0.32988506,0.21923524,0.3650324,0.34245436,0.38647863,0.31998775,0.40392877,0.29344151,0.51363054,0.36326363,0.4949501,0.2721529,0.26379669,0.29583762,0.37721044,0.3660706,0.81563097,0.25370657,0.33868782,0.34697932,0.44098502,0.42634142,0.42446553,0.47061058,0.40932099,0.50721893,0.4440886,0.35863173,0.31627805,0.42163769,0.30871601,0.35630377,0.29347515,0.29711607,0.35734865,0.54313899,0.41591833,0.30910047
51,1,0.4496634,0.14465274,0.31509353,0.37862848,0.22438529,0.38084233,0.40662856,0.42964957,0.31402204,0.43153856,0.31183396,0.5171919,0.38014178,0.49031729,0.30020916,0.27042329,0.31220295,0.39356205,0.39625075,0.84487308,0.29416936,0.40831477,0.36375923,0.44323491,0.4607793,0.43327672,0.49308843,0.4420029,0.52567137,0.471558,0.34230846,0.36672239,0.42976934,0.32302115,0.36129219,0.28847753,0.33634066,0.42048861,0.56906909,0.44277143,0.31732422
51,2,0.44783404,0.1530019,0.31098876,0.42361192,0.22261375,0.395018,0.44420747,0.46636752,0.29946641,0.45704912,0.33443019,0.51455291,0.3921976,0.45455832,0.33000361,0.26844693,0.32799255,0.40757085,0.43016021,0.8607497,0.30680827,0.47388641,0.36988922,0.43433397,0.47450495,0.43207792,0.50731853,0.44369013,0.54051889,0.48432546,0.31747349,0.4291949,0.43987047,0.33228097,0.35324289,0.27172564,0.37139785,0.44646681,0.57497182,0.43635572,0.31785025
52,0,0.45876628,0.15182096,0.30820846,0.46631599,0.21787028,0.41958963,0.46460715,0.48590598,0.29214486,0.46012151,0.36613585,0.51660261,0.40532012,0.40740355,0.369881,0.26716812,0.34847371,0.43608588,0.4788473,0.88003821,0.30791954,0.54374536,0.38583456,0.42302903,0.45675503,0.43774226,0.51444036,0.42544938,0.56441511,0.48974196,0.31222244,0.47838979,0.46247719,0.34570997,0.33618465,0.24808073,0.41191922,0.4501752,0.56728942,0.40744146,0.30642644
52,1,0.49162154,0.1353869,0.31983318,0.51376388,0.22990319,0.45800576,0.48932563,0.50752137,0.30935969,0.44446761,0.41523774,0.52849944,0.4219316,0.38151348,0.41976199,0.28215353,0.37664756,0.47758272,0.54318288,0.90025475,0.30825714,0.60872309,0.41313885,0.42266535,0.42201373,0.46969031,0.52408535,0.40522911,0.59786982,0.50632462,0.35108022,0.53553894,0.53446588,0.37557402,0.31874586,0.21943138,0.45804886,0.43043605,0.55645031,0.36762144,0.32794143
52,2,0.55076101,0.1160294,0.35874646,0.58142412,0.27146176,0.5275306,0.52342817,0.54835897,0.34242477,0.41395226,0.4574717,0.5435477,0.45104336,0.42450469,0.49133069,0.3192741,0.41283257,0.53135531,0.6116732,0.92584842,0.31422844,0.6699703,0.44871492,0.4422425,0.38433408,0.50608392,0.55125683,0.41149978,0.63681384,0.54684091,0.42497499,0.59552134,0.6432343,0.42319486,0.32600927,0.1982614,0.51327806,0.43691843,0.56819134,0.33672344,0.3865334
53,0,0.59675106,0.1347345,0.45687796,0.68082992,0.3860697,0.63465083,0.57281181,0.64748718,0.40354269,0.38064256,0.48763774,0.56091895,0.5175115,0.52333532,0.58204111,0.41293,0.46734284,0.6316634,0.68776175,0.97306887,0.32984245,0.76802153,0.50953471,0.49262775,0.40950974,0.55177822,0.61995198,0.47878997,0.67411925,0.62922761,0.55724145,0.68191817,0.76885806,0.52002266,0.35865321,0.19108884,0.59315703,0.55414639,0.62272508,0.37730792,0.50943363
53,1,0.64129958,0.22587332,0.53390545,0.7509059,0.47525653,0.68886969,0.59980166,0.69550427,0.44846046,0.36572549,0.50805283,0.56459134,0.55641236,0.6506182,0.65480707,0.48353233,0.49242981,0.67352932,0.76155022,0.98944591,0.34314953,0.83905902,0.55812408,0.54524441,0.5023954,0.60271728,0.64051711,0.54654515,0.68902139,0.68675644,0.635007,0.70514738,0.83786233,0.58675227,0.44315023,0.20907479,0.64579269,0.65588865,0.65132066,0.46150571,0.57424163
53,2,0.67099371,0.276183,0.59988835,0.76540035,0.55181994,0.72296616,0.63127026,0.70196581,0.4748338,0.36173555,0.52182642,0.55967205,0.59651326,0.72352153,0.68635413,0.54901938,0.49991425,0.69304214,0.81925148,0.97798199,0.36578281,0.90206941,0.5832127,0.57745793,0.58201852,0.63692308,0.63618975,0.59143628,0.6821848,0.71199046,0.67203441,0.70533216,0.87740899,0.62462236,0.50962111,0.21692916,0.67786842,0.71481409,0.64906587,0.51141862,0.6220235
54,0,0.68818967,0.31580642,0.69006206,0.74388272,0.65463698,0.72354212,0.66019024,0.65202564,0.46196641,0.38944266,0.52783396,0.53174481,0.67318163,0.75040965,0.70130545,0.66311311,0.51014258,0.70507718,0.87934588,0.92120826,0.4429737,0.96325167,0.59482275,0.60767429,0.7301581,0.69631369,0.6328798,0.65913831,0.63926263,0.72113618,0.69303861,0.68038715,0.89936324,0.66268127,0.59730311,0.2533647,0.71827895,0.72712673,0.60491222,0.55071608,0.68711205
54,1,0.68505049,0.3239161,0.74325996,0.67268654,0.71435624,0.69718503,0.61775934,0.61023932,0.44727082,0.44633051,0.51426415,0.48364506,0.73461632,0.71134366,0.66109629,0.74157434,0.50712921,0.71682339,0.93831018,0.80144664,0.47111408,0.92336674,0.55279911,0.62189484,0.82657298,0.74483516,0.64260618,0.71107066,0.57437415,0.68561726,0.70239048,0.65936648,0.88401822,0.67378399,0.60792522,0.32472898,0.73532541,0.67441113,0.54639233,0.58607509,0.72257584
54,2,0.67866969,0.32221488,0.78029051,0.59836353,0.7517425,0.68925126,0.56138031,0.57326496,0.47507873,0.52190293,0.49666415,0.49741225,0.76972822,0.62915239,0.62386585,0.78769313,0.49672938,0.73264546,0.97241242,0.74330816,0.51597974,0.84317929,0.53432053,0.63779819,0.88198659,0.75939061,0.65212909,0.73384172,0.53143377,0.6149878,0.7029906,0.64923889,0.85480227,0.66415408,0.57792025,0.44861935,0.73306437,0.62654273,0.4955951,0.58902651,0.75593547
55,0,0.67768184,0.32662482,0.81121315,0.59350282,0.7807938,0.69985601,0.55110049,0.56647009,0.54310707,0.60345331,0.50366792,0.52322999,0.78686193,0.57434083,0.61477822,0.83028936,0.48859572,0.76966527,1,0.73570194,0.54315656,0.72569599,0.56449778,0.66226962,0.90785691,0.76884116,0.64740833,0.74712705,0.56641784,0.58344528,0.70217043,0.64959965,0.85770211,0.6678852,0.58411648,0.57742551,0.72290078,0.63556551,0.49222097,0.58718792,0.78019463
