,,pid1263b-12,pid52932-24,pid5667249-22,pid5667271-05,pid5667274b-06,pid58917-06,pid9048b-16,pid9049b-12,pid9050b-12,pid9054b-12,pid9055b-12,pid9056-07,pid9058b-12,pid9059b-16,pid9060b-10,pid9061b-09,pid9062b-15,pid9063b-16,pid9064-21,pid9066b-12,pid9068-20,pid9069-12,pid9070b-24,pid9072b-16,pid9074g-12,pid9075b-12,pid9085-16,pid9086-13,pid9088-22,pid9089-07,pid9090-21,pid9093b-18,pid9094b-12,pid9097-24,pid9099b-16,pid9101c-06,pid9102-07,pid9103-20,pid9104b-12,pid9111b-14,pid9116-20,pid9118b-16,pid9119-14,pid9121-07,pid9124-13,pid9127-06,pid9129-17,pid9130-11,pid9138b-12,pid9139b-12,pid9153b-12,pid915412b-21,pid9166l-10,pid9170b-12,pid9172-10,pid9174b-12,pid918713-20,pid918805-02,pid918812-13,pid918904-12,pid9190-09,pid9192b-12
12,2,0.63564796,0.59074329,0.85922711,0.4207121,0.75656769,0.59785355,0.71903981,0.547246,0.76424024,0.57317585,0.65680627,0.71259991,0.67877396,0.53944591,0.72387797,0.53044388,0.39287045,0.71322695,0.46414925,0.82976113,0.63341549,0.63188728,0.72992648,0.72561058,0.58025804,0.65270324,0.58812725,0.63716654,0.51059971,0.88701335,0.58913837,0.60754127,0.61729967,0.40328943,0.63085625,0.70004939,0.89384044,0.57239476,0.68139063,0.89536793,0.67889528,0.78845732,0.6241519,0.69969927,0.49795696,0.88423773,0.64032565,0.54945612,0.87281143,0.54035644,0.48351355,0.73868457,0.50325408,0.56386856,0.51575859,0.74867627,0.62187139,0.66756289,0.50961312,0.6780424,0.4543432,0.54368577
13,0,0.71146734,0.681365,1,0.46128931,0.84178016,0.67997741,0.86144895,0.54584522,0.90215887,0.65657913,0.8245949,0.85361488,0.76881831,0.59903254,0.74247869,0.56720892,0.44912469,0.74945689,0.50614179,0.88563518,0.69114023,0.67446627,0.8245614,0.8641209,0.56606575,0.73939194,0.6433914,0.74974743,0.59333824,0.89424487,0.73866518,0.69858011,0.6424077,0.42360845,0.67206293,0.74086194,0.95121858,0.61633302,0.76740133,1,0.74593786,0.8490308,0.77675949,0.74395896,0.57233958,1,0.7060602,0.58961302,1,0.58046535,0.55931373,0.78105876,0.63139765,0.59215833,0.60908329,0.83424988,0.77834295,0.6830466,0.5743912,0.743465,0.5806539,0.66322718
13,1,0.65959844,0.66409176,0.98101762,0.50567799,0.86864628,0.72604459,0.82071199,0.54109814,0.93895655,0.69209422,0.87123223,0.8552225,0.80152067,0.59435356,0.73747622,0.52629948,0.45856795,0.69714505,0.46779851,0.84197611,0.68582177,0.68807857,0.88651088,0.89785454,0.50351125,0.73536021,0.64506722,0.75868982,0.64127431,0.83472823,0.78579823,0.71801572,0.53491017,0.40567873,0.62841818,0.68479872,1,0.57944808,0.75234231,0.99486118,0.73917146,0.78266406,0.77691139,0.75892446,0.60301498,0.96170543,0.66721237,0.55001501,0.99718253,0.57218812,0.55023068,0.7383162,0.65496875,0.53681105,0.55337194,0.86862053,0.73720528,0.62029048,0.59656324,0.73337206,0.63690269,0.71227176
13,2,0.38028728,0.5977304,0.94252994,0.51813191,0.87437672,0.71857593,0.56643869,0.57251189,0.74753667,0.70096115,0.85331305,0.73563114,0.76251386,0.55095866,0.73782851,0.46880471,0.40973029,0.60595982,0.38476119,0.75596091,0.66000778,0.65317677,0.88418141,0.79746323,0.47007777,0.73258427,0.60706306,0.67811365,0.64427232,0.79693436,0.69821241,0.62136238,0.38373133,0.41356807,0.57123724,0.55686589,0.95934882,0.52548176,0.63929362,0.87252873,0.69161488,0.64605797,0.68759494,0.73856359,0.66626996,0.86852713,0.59547513,0.39730493,0.90158986,0.54516832,0.49741205,0.58294813,0.58007926,0.49616878,0.42113846,0.83001393,0.51295136,0.55256333,0.64639631,0.64362475,0.60934417,0.66387261
14,0,0.26135227,0.47631515,0.91591278,0.5056623,0.82778894,0.65393124,0.36492021,0.57103329,0.50553557,0.68674699,0.8156515,0.60371464,0.64966735,0.50948989,0.75382231,0.41622124,0.29499792,0.5667692,0.37764179,0.70961998,0.64697107,0.54312553,0.81444275,0.60467548,0.45996819,0.74679445,0.55588904,0.58941594,0.6075921,0.81244123,0.49756294,0.42203192,0.26195891,0.44874578,0.51661791,0.43739812,0.84251714,0.56679139,0.61735522,0.64727,0.63308017,0.60066179,0.61762025,0.74850522,0.70921353,0.76516796,0.66274354,0.32448433,0.72945596,0.51418812,0.45893887,0.43574357,0.50903826,0.44805078,0.29197592,0.7553739,0.38642209,0.57185096,0.6805872,0.58374964,0.51531244,0.54952017
14,1,0.35441632,0.41179379,0.9051927,0.48645596,0.77904294,0.59309934,0.50919651,0.60139213,0.50762524,0.72363612,0.74789091,0.60019155,0.56992713,0.55914688,0.73501022,0.37857309,0.2826187,0.608536,0.39939552,0.69323561,0.66104553,0.38355252,0.71305234,0.42678451,0.43242017,0.78578982,0.58521113,0.59820047,0.62592154,0.90987399,0.41391724,0.24874854,0.24573573,0.51714872,0.46842858,0.41899234,0.62408606,0.60564079,0.65968277,0.46015274,0.62673571,0.53414891,0.59908861,0.70608526,0.77260736,0.70299742,0.74990782,0.40115503,0.54626015,0.50842574,0.49034025,0.4195235,0.49007773,0.42363704,0.31271051,0.64156061,0.4949629,0.67121985,0.7374509,0.5901612,0.48098278,0.47925265
14,2,0.40458694,0.44924212,0.91392564,0.4260607,0.75969338,0.54460013,0.66064226,0.55004756,0.63094381,0.78144037,0.73551686,0.65587695,0.58433391,0.61880387,0.68827591,0.42466496,0.29826253,0.63273094,0.39886567,0.70639522,0.65391101,0.36369769,0.63981947,0.47642019,0.40018263,0.78301388,0.62514675,0.66351223,0.69567583,0.97790107,0.4949465,0.29113539,0.36071564,0.54163743,0.42836617,0.46257718,0.6093393,0.68032741,0.69104574,0.47798159,0.63320292,0.4018956,0.66718987,0.70329029,0.79889914,0.72976744,0.79008303,0.58283396,0.52080231,0.5709505,0.58169694,0.47464797,0.53965097,0.41737117,0.38851635,0.67355318,0.79368508,0.68922798,0.77050275,0.70386291,0.62478236,0.49357113
15,0,0.39246092,0.49015968,0.79396538,0.34880402,0.68959589,0.47584454,0.7401046,0.52251621,0.6995018,0.7737918,0.68230953,0.62701951,0.59268177,0.57890062,0.66917495,0.49724998,0.31008304,0.60429684,0.39213433,0.67211726,0.65241925,0.42885568,0.52721118,0.55327891,0.36413927,0.70568407,0.61332134,0.6703236,0.71921177,0.94837314,0.51931713,0.33106654,0.47931923,0.48800053,0.40605942,0.4478081,0.65047601,0.69105706,0.70550535,0.48964385,0.57366321,0.4056847,0.68551899,0.73847515,0.78359615,0.77307494,0.73787296,0.6415893,0.55251224,0.62411881,0.60733131,0.61987998,0.55890108,0.40247199,0.4101806,0.72440316,0.8944765,0.71953834,0.76827376,0.79225966,0.7115206,0.47386837
15,1,0.37772399,0.55580773,0.67301156,0.27062191,0.60495646,0.42645098,0.82921218,0.58444444,0.76566565,0.73155544,0.68503895,0.55674005,0.60899731,0.54262093,0.65519622,0.58959641,0.39186258,0.63249063,0.41136567,0.64407166,0.6758983,0.51137489,0.45692655,0.64691675,0.35897255,0.66068738,0.58945276,0.6798895,0.71869966,0.89022945,0.50597513,0.37133352,0.58440603,0.44747501,0.47792731,0.44212151,0.67914128,0.76359214,0.70767245,0.52900578,0.49018028,0.45750044,0.67832911,0.77109499,0.77348012,0.76284238,0.62032653,0.67966591,0.59681358,0.6620495,0.61145473,0.72535203,0.58196921,0.4482599,0.39862074,0.79340455,0.9342127,0.81574306,0.76922624,0.78311066,0.73820855,0.48580042
15,2,0.36012221,0.5896166,0.61261308,0.21541056,0.54462306,0.2978206,0.81229433,0.62300043,0.8,0.67774469,0.75070663,0.4393948,0.59676857,0.49306069,0.63477771,0.65489968,0.45399969,0.63587427,0.37773881,0.58245385,0.64668569,0.54968403,0.35528864,0.70159223,0.38204312,0.65617978,0.51924825,0.6662352,0.67364423,0.79800639,0.46586874,0.3644597,0.60867258,0.3849957,0.57862948,0.38917634,0.72185834,0.80287184,0.71595352,0.54080365,0.363084,0.47282387,0.70177215,0.71298426,0.76482198,0.68801034,0.37765291,0.69313089,0.59021265,0.63413861,0.59704441,0.70373715,0.62363969,0.53339806,0.37833575,0.81803994,0.85812036,0.85173338,0.76811665,0.65167732,0.69756239,0.45450531
16,0,0.31587176,0.54212531,0.50379125,0.18679319,0.38119372,0.22346351,0.7359164,0.6021444,0.71122336,0.5761879,0.74432002,0.3879964,0.51600665,0.4316095,0.57234552,0.65687505,0.44231064,0.57414207,0.30567164,0.46374593,0.55011026,0.53321093,0.25362161,0.64043314,0.37402498,0.60419696,0.43068548,0.58153118,0.56639887,0.70065827,0.38222923,0.35182445,0.5606929,0.32629559,0.60443404,0.30132131,0.71255712,0.73169317,0.67124677,0.43287417,0.23563483,0.43398294,0.66936709,0.52794092,0.72108499,0.57813953,0.28693421,0.62109686,0.53274971,0.53984158,0.52791955,0.56880756,0.61994361,0.58699029,0.31937819,0.78812819,0.68849959,0.76098383,0.72615868,0.45596137,0.58085703,0.36726964
16,1,0.24671058,0.44842344,0.4457355,0.17768018,0.29294485,0.20005335,0.64257935,0.59512322,0.57960144,0.49077433,0.71994951,0.35267424,0.40507683,0.40686016,0.51339393,0.65511659,0.34015469,0.46533692,0.25975373,0.30334419,0.46953561,0.47355252,0.18753003,0.53731615,0.33308,0.55268341,0.29466957,0.5092423,0.4958444,0.6831766,0.31728212,0.34843476,0.55832007,0.30309749,0.52471881,0.22703137,0.65468393,0.60698784,0.58234969,0.27427735,0.17950901,0.40338827,0.56121519,0.43504334,0.6472776,0.45508527,0.25841039,0.54688939,0.45947541,0.47045545,0.43624567,0.37276454,0.57496571,0.59720687,0.24886078,0.71310729,0.46920857,0.61234547,0.65083464,0.335456,0.506065,0.29743524
16,2,0.28094596,0.39034611,0.31092402,0.21099522,0.26005805,0.20510568,0.62251519,0.58197147,0.40876003,0.44679166,0.62625413,0.3138404,0.34587359,0.33823219,0.54295075,0.67513363,0.25343441,0.46123234,0.2101194,0.33546145,0.43694383,0.41772844,0.17144209,0.4446431,0.24428538,0.47177792,0.22563908,0.47198895,0.49407334,0.43695693,0.25882353,0.40682555,0.54335532,0.32237739,0.39843313,0.23129168,0.65911081,0.60039289,0.48334563,0.29097138,0.22315305,0.35331573,0.45138734,0.42308509,0.57329168,0.37234109,0.18805953,0.49704516,0.45068089,0.43444554,0.36687572,0.30922702,0.53160341,0.53008962,0.25166502,0.69134231,0.40047815,0.51418691,0.57740573,0.29054604,0.50104469,0.26850106
17,0,0.42283152,0.48224042,0.32147153,0.23844404,0.32178314,0.22722922,0.65568038,0.63108517,0.43642402,0.41621091,0.53742421,0.29264483,0.35522731,0.4233861,0.61674769,0.66667441,0.28780044,0.57496876,0.2553209,0.46610206,0.4429044,0.37105892,0.21269564,0.44493321,0.21669612,0.49089888,0.34337247,0.48375691,0.53904341,0.7190709,0.33037669,0.50891498,0.55722083,0.34819644,0.37037904,0.3463386,0.72777989,0.65212348,0.52411472,0.40919991,0.35367089,0.39852402,0.44741772,0.41643375,0.51889319,0.37250646,0.275858,0.5193281,0.56470115,0.46952475,0.37943339,0.38544353,0.55428288,0.4834578,0.30928903,0.75430562,0.42375927,0.52353246,0.5217989,0.2868937,0.49837493,0.35259448
17,1,0.50419808,0.65286536,0.41528526,0.28445612,0.34862693,0.27177443,0.74058944,0.66195417,0.53949626,0.41703669,0.5408117,0.31194774,0.40601933,0.55299033,0.69795674,0.67045472,0.29379286,0.62490628,0.41847761,0.58690554,0.47567778,0.3433988,0.23664556,0.47223721,0.23005184,0.60931923,0.44715963,0.5130071,0.63128808,0.87344367,0.40796066,0.63978004,0.58693806,0.34756106,0.44836487,0.48103235,0.80416984,0.65767072,0.77514755,0.50234816,0.50261603,0.51874198,0.49452152,0.45457279,0.50099177,0.58816537,0.45309205,0.53570135,0.73173677,0.54254455,0.43998702,0.54418632,0.58299802,0.47992532,0.38591785,0.81848583,0.52215993,0.49121639,0.50083464,0.37410688,0.49022055,0.46152017
17,2,0.49777795,0.66332172,0.49123568,0.30276057,0.37420555,0.2841699,0.69908912,0.59591872,0.5877664,0.38596859,0.54286146,0.31536821,0.41332964,0.59230431,0.70028887,0.63207839,0.2342521,0.56799962,0.47531343,0.58254072,0.46911402,0.30163962,0.20284633,0.48548779,0.27592789,0.60729676,0.48293884,0.43271507,0.66184425,0.87313335,0.38201274,0.62613733,0.54438632,0.28158051,0.47768025,0.53578044,0.80907273,0.58521983,0.82594983,0.61817857,0.51666283,0.57253056,0.45922025,0.53425615,0.44643459,0.82847545,0.54864829,0.51573674,0.76366808,0.53031683,0.4125793,0.67022756,0.57526292,0.44375653,0.45648861,0.75254064,0.62281946,0.36894614,0.44450118,0.39950624,0.40878313,0.46435669
18,0,0.4219189,0.56733404,0.49370915,0.30353698,0.39784922,0.26088526,0.58729717,0.45833117,0.52387213,0.29053743,0.45164736,0.24118941,0.30026137,0.53959543,0.48912844,0.57979704,0.20503495,0.45408055,0.3523806,0.59793702,0.40055779,0.26707942,0.16181117,0.42331669,0.26134677,0.46945803,0.42506154,0.28936859,0.53406096,0.73159677,0.29776706,0.47497613,0.52347055,0.1838573,0.42239776,0.47513584,0.77686596,0.5590739,0.67103467,0.73542217,0.42363636,0.54019269,0.31162532,0.41004776,0.35231578,0.64826873,0.47548044,0.48355947,0.64058496,0.48140594,0.31907439,0.7322916,0.48085658,0.38633308,0.37652214,0.61061774,0.42542457,0.32919512,0.35298507,0.40265757,0.27933836,0.4106327
18,1,0.29890485,0.35923644,0.53600377,0.31190495,0.41723599,0.20797703,0.41570472,0.31087765,0.43477719,0.1775484,0.34701275,0.23230757,0.1758039,0.37555849,0.31610653,0.51959873,0.19166977,0.37903489,0.20500746,0.62891422,0.29475289,0.20717336,0.1194948,0.31948455,0.20424767,0.26543291,0.34546487,0.20272297,0.23996842,0.61748166,0.19806396,0.2355466,0.4916155,0.13729565,0.30133931,0.43528032,0.74821973,0.5629841,0.34525083,0.83063307,0.30958189,0.43452574,0.22219241,0.27681762,0.2245066,0.52816537,0.34555993,0.48021652,0.49913463,0.38508911,0.24040513,0.85054958,0.36831276,0.36592233,0.25078869,0.37811426,0.17440231,0.40085588,0.22435192,0.39504792,0.15905398,0.33813163
18,2,0.26192366,0.3541947,0.59755269,0.3283664,0.44720548,0.22219258,0.36116527,0.29217466,0.41696651,0.22185596,0.33632166,0.27775434,0.16127039,0.30002639,0.34487423,0.50103029,0.20622905,0.38352398,0.29547761,0.69980456,0.26166169,0.19094791,0.12271966,0.25207125,0.15010015,0.29130866,0.32715395,0.22662194,0.21961186,0.49745157,0.2389126,0.22264899,0.46778864,0.16610629,0.30443404,0.43467523,0.75867289,0.56343312,0.34283475,0.90336164,0.27470656,0.44601831,0.20942278,0.3537856,0.15699693,0.64687339,0.31488282,0.47599383,0.54939961,0.31042574,0.19906286,0.87136831,0.32693949,0.3439283,0.30581422,0.3823595,0.20215993,0.43085502,0.15575412,0.41666425,0.16735345,0.31960934
19,0,0.27981906,0.40502553,0.70511949,0.35458395,0.46633921,0.26407042,0.3665501,0.37426719,0.4288403,0.28860837,0.38629253,0.33956241,0.20205924,0.30794195,0.43777919,0.50806414,0.24864705,0.4463424,0.3976194,0.76977199,0.28224154,0.20737831,0.12651234,0.2631966,0.17159774,0.37239921,0.37455974,0.31362273,0.25791377,0.50020688,0.31878518,0.23969188,0.44147525,0.20030445,0.36668617,0.49602988,0.79000381,0.57641721,0.39952047,0.94011848,0.29486766,0.55766641,0.23354937,0.42804705,0.12312804,0.81726098,0.3554415,0.51007545,0.6826994,0.30190099,0.23361448,0.85720397,0.36358787,0.33271845,0.3787701,0.42337204,0.27231657,0.4850523,0.12253535,0.48136073,0.16731476,0.35952442
19,1,0.32003809,0.46097106,0.80667259,0.38931848,0.44548634,0.35523198,0.4161483,0.45713792,0.45070578,0.36541221,0.44873455,0.3766176,0.26243466,0.3371504,0.59232016,0.51871562,0.30243641,0.45559935,0.48934328,0.88017372,0.39086133,0.23204953,0.12376065,0.32598165,0.23034641,0.44928619,0.4382598,0.38685083,0.32536355,0.54396276,0.36396982,0.32244016,0.3693579,0.24525117,0.43070672,0.55179674,0.83056931,0.5955753,0.40194578,0.96360003,0.36539317,0.66308285,0.24794937,0.48960729,0.26265992,0.90821705,0.41874253,0.56896534,0.78385993,0.31158416,0.29599913,0.78656051,0.39051974,0.33676624,0.43560162,0.46370646,0.30034625,0.57255987,0.26178319,0.57091926,0.24080093,0.42470488
19,2,0.33757638,0.50465267,0.78099671,0.41399106,0.40037211,0.39132004,0.42611333,0.50217899,0.43707445,0.45137404,0.46638402,0.3794338,0.29081261,0.35690413,0.66507433,0.51723604,0.33319822,0.43813323,0.48118657,0.93373507,0.45541575,0.25604611,0.12760428,0.39601943,0.26485802,0.45836748,0.48013634,0.3967719,0.37982908,0.58912921,0.34618668,0.33853855,0.31051474,0.26725793,0.43209154,0.53857125,0.84149848,0.56009355,0.40213021,0.9571765,0.38636747,0.67760253,0.26498228,0.5280559,0.33970049,0.88196382,0.42713449,0.58609412,0.74434829,0.33065347,0.32684544,0.67394688,0.37295382,0.38014937,0.44688714,0.46888992,0.28666117,0.65223481,0.33625295,0.57403427,0.32788741,0.45169427
20,0,0.37557337,0.56168436,0.73822099,0.42292369,0.34283694,0.43887782,0.4188304,0.5350281,0.41275948,0.53311222,0.46962047,0.35774796,0.33755742,0.39317502,0.71288663,0.51014021,0.33729541,0.4289628,0.45293284,0.93553746,0.52742898,0.36490179,0.15266798,0.45315072,0.27580417,0.44109055,0.51878432,0.375809,0.38563305,0.62511755,0.30715655,0.36432327,0.23867789,0.26991197,0.42246278,0.53889232,0.8291508,0.48592142,0.41466249,0.93654985,0.39604143,0.66805148,0.30238987,0.57104192,0.38181097,0.77359173,0.39346342,0.60595523,0.6623868,0.38208911,0.30335928,0.5908621,0.36028807,0.4522106,0.4532805,0.48631677,0.26863974,0.73440823,0.38051846,0.54270985,0.40424647,0.44826327
20,1,0.40583287,0.62183675,0.70229566,0.42382558,0.24082757,0.47082359,0.3948153,0.57299611,0.39977858,0.5708542,0.4789954,0.32722588,0.34794076,0.42418646,0.71295709,0.50203734,0.31792686,0.37825627,0.37269403,0.94006515,0.50419639,0.52636208,0.25859358,0.45929024,0.26372688,0.43020489,0.52073471,0.31127861,0.34777924,0.62577581,0.21700377,0.3715539,0.1929649,0.26100338,0.42068786,0.55419857,0.77430503,0.41530402,0.42541498,0.88830205,0.36962792,0.61209173,0.33869873,0.60612064,0.38253496,0.61281654,0.36974765,0.6197514,0.56276246,0.43774257,0.25829729,0.54816707,0.36347356,0.49112024,0.42929208,0.50832327,0.26253092,0.8088009,0.38206991,0.46434069,0.45285355,0.40588535
20,2,0.41159432,0.6442409,0.64696962,0.47576661,0.29927067,0.42539971,0.44221624,0.61941202,0.48447274,0.51897929,0.55546206,0.34619814,0.37665927,0.46824978,0.60198689,0.5021148,0.27570605,0.40197059,0.28876866,0.9184582,0.49627059,0.61042699,0.4824707,0.44832681,0.30649228,0.48327165,0.52658587,0.29562747,0.31073627,0.64636073,0.21983052,0.38245758,0.18023652,0.2440135,0.48905143,0.61873302,0.74572544,0.31468662,0.42746219,0.8697452,0.39726122,0.59023392,0.3700557,0.63078896,0.36834276,0.3857261,0.40088197,0.61824034,0.56962501,0.42490099,0.2907079,0.45855861,0.3971041,0.50945482,0.37492951,0.52473758,0.34911789,0.76957725,0.36848979,0.46688208,0.41070807,0.44154565
21,0,0.4173637,0.67812272,0.69690948,0.55833268,0.43338543,0.44576593,0.69424071,0.70874189,0.61487683,0.49174225,0.72056444,0.48953903,0.52791858,0.56474934,0.63316424,0.51807266,0.35397997,0.61035278,0.35876119,0.90897937,0.60754962,0.66070026,0.71576036,0.52899744,0.42595735,0.61434237,0.61142776,0.45444357,0.39160772,0.74668986,0.35965238,0.48294137,0.18001668,0.22988285,0.61580521,0.76475673,0.75174219,0.43114125,0.54316673,0.93597887,0.49073264,0.65512886,0.42767089,0.67748098,0.48391352,0.50088372,0.45825406,0.67815485,0.70027504,0.44614851,0.42575692,0.53730616,0.49442158,0.55313667,0.4305037,0.6766837,0.50982688,0.76687127,0.49029851,0.61423904,0.37579803,0.58229299
21,1,0.4265217,0.6810813,0.84709512,0.60331739,0.51680435,0.46332355,0.86576094,0.76451362,0.72103515,0.51362529,0.82061406,0.59251827,0.57085379,0.65065963,0.71760727,0.53369742,0.45587301,0.78334134,0.39628358,0.89602606,0.70456609,0.66325363,0.80119386,0.63766698,0.50883115,0.68896233,0.75132551,0.61074191,0.47592527,0.78379725,0.5022515,0.6044874,0.33252217,0.22222516,0.67596385,0.88670042,0.76453732,0.56023386,0.62973995,0.98679609,0.58988876,0.67136042,0.52126582,0.6813285,0.63583259,0.6397416,0.51056738,0.72977924,0.76863219,0.48461386,0.52034314,0.71680827,0.54519128,0.60471247,0.47407605,0.76455179,0.61286892,0.77013054,0.63062647,0.69750944,0.41808861,0.70245435
21,2,0.41215777,0.67314582,0.90304868,0.6326641,0.58516782,0.43187987,0.95657063,0.74640726,0.72868807,0.5514891,0.83376486,0.6419328,0.59192935,0.65004398,0.76763193,0.53953056,0.4992441,0.87196001,0.38779104,0.82365907,0.71864055,0.63409906,0.78124773,0.72122521,0.54146931,0.69966953,0.80945844,0.66808998,0.53753908,0.76936242,0.57770768,0.6364743,0.42234857,0.19870938,0.64811781,0.88886145,0.77385758,0.62167446,0.62378274,0.96502748,0.63331799,0.67585933,0.63220253,0.6513798,0.71308142,0.69633075,0.53089096,0.7313317,0.7466291,0.51581188,0.53485438,0.74564791,0.5235711,0.65472741,0.47720796,0.7651556,0.64563067,0.74186047,0.70971131,0.71121841,0.45134455,0.75153291
22,0,0.39400048,0.66925509,0.93013648,0.65605051,0.61242837,0.39323427,0.98359793,0.71475141,0.70244949,0.57058346,0.81952446,0.63273171,0.60677966,0.60997361,0.79539209,0.53728407,0.52674131,0.91351533,0.3675,0.75669924,0.67103386,0.61678907,0.70502293,0.77816759,0.55243313,0.6730998,0.81311305,0.6619337,0.59917422,0.71357909,0.60489268,0.59188364,0.43578197,0.16907141,0.56789546,0.82730304,0.78436786,0.6659869,0.54325895,0.87309971,0.64222478,0.68248766,0.71959494,0.59739077,0.78936824,0.69193798,0.50987419,0.71030107,0.67739988,0.54106931,0.51300461,0.65923593,0.47058375,0.68043316,0.47321497,0.70991175,0.67026381,0.75092937,0.78489788,0.68563753,0.45829948,0.75077707
22,1,0.3568685,0.61259626,0.93348324,0.65496824,0.62489395,0.3555301,0.92042418,0.63673152,0.70496817,0.56628537,0.77043822,0.57531326,0.59690322,0.53010554,0.79313746,0.51908746,0.53268991,0.83340383,0.33192537,0.68375679,0.60158905,0.60199829,0.59839121,0.79085144,0.52965123,0.61602115,0.7558417,0.62812944,0.63701736,0.66363551,0.61687388,0.42127633,0.36672731,0.17200344,0.50010402,0.76068165,0.81204303,0.6648363,0.47345998,0.71493826,0.62942846,0.65856306,0.73139241,0.57784362,0.7932163,0.63204134,0.4186098,0.67688184,0.54882941,0.51879208,0.43104095,0.49154536,0.3835772,0.6345183,0.4335594,0.64030655,0.71665293,0.77253393,0.80490966,0.65824862,0.45221513,0.6762293
22,2,0.32637092,0.55511875,0.92647597,0.65677202,0.66467962,0.36828645,0.87239398,0.61513186,0.73423748,0.59819954,0.74619716,0.58400128,0.61206241,0.48692172,0.76805467,0.54181579,0.52988541,0.77634336,0.34614179,0.65838219,0.57292126,0.60040991,0.5354881,0.76244771,0.5113939,0.63555188,0.6961371,0.69511444,0.6626551,0.6356498,0.62268819,0.33109803,0.35988174,0.20338209,0.53127885,0.73579896,0.83954684,0.66007484,0.53867577,0.54899008,0.63589567,0.64976357,0.67027848,0.6228905,0.76207478,0.65260982,0.39468755,0.63016322,0.54583753,0.46613861,0.38104095,0.44786406,0.35685109,0.50460792,0.39294369,0.62136554,0.74292663,0.72156134,0.78967989,0.6661124,0.42921261,0.60699788
23,0,0.35119435,0.60510659,0.95868849,0.70494079,0.7705589,0.43552006,0.87340492,0.69294423,0.81718793,0.67498985,0.77864802,0.71600898,0.7058134,0.54562885,0.78926231,0.6060268,0.55935453,0.82084014,0.41738806,0.69019544,0.64462965,0.62152861,0.57385164,0.80967481,0.53201956,0.71004627,0.75381557,0.83622731,0.71788881,0.66762272,0.66091421,0.31638489,0.43645668,0.23470117,0.60518172,0.77389479,0.86307121,0.74497661,0.63255256,0.50723003,0.70089758,0.70726819,0.58896203,0.68491067,0.78062085,0.74005168,0.45347551,0.60102876,0.62674582,0.48316832,0.40351788,0.53617729,0.41428898,0.43448842,0.44835785,0.69258709,0.80422094,0.68391977,0.82253535,0.72065786,0.46656026,0.63224628
23,1,0.42176018,0.72041015,0.98384145,0.79131049,0.88189328,0.55511274,0.91423472,0.82581928,0.92037088,0.76715852,0.8403025,0.83149578,0.78367654,0.70014072,0.86458113,0.71124797,0.6005127,0.91572623,0.48984328,0.78080347,0.74892982,0.64036721,0.70460799,0.92504385,0.53680335,0.7709187,0.8492615,0.90647198,0.80435084,0.74327628,0.69289293,0.4768861,0.56268668,0.30969621,0.64727911,0.79068906,0.87965537,0.87383536,0.72705644,0.56475626,0.77453011,0.80410434,0.57032911,0.71736246,0.84057324,0.81007752,0.53808829,0.61824034,0.68799893,0.59227723,0.41678201,0.73837562,0.47187167,0.46492158,0.57905967,0.86581514,0.83330585,0.70783263,0.89371563,0.769605,0.56459663,0.72077282
23,2,0.50208714,0.78537732,0.96376092,0.81075994,0.9327975,0.60693832,0.91091305,0.87859922,0.95714088,0.8448626,0.86469459,0.88397733,0.79288769,0.79235708,0.91361939,0.78991401,0.59866129,0.93830626,0.49284328,0.80335505,0.77552212,0.6565585,0.77484167,0.93253272,0.5179392,0.79497687,0.89149782,0.92801894,0.87538542,0.81938123,0.66178017,0.6216982,0.66704571,0.41156264,0.64472401,0.74987651,0.86536558,0.91159963,0.75062707,0.5975662,0.83084005,0.81544034,0.59037975,0.7348576,0.85500347,0.79607235,0.5836025,0.66215419,0.69390219,0.65451485,0.39551615,0.84616481,0.48219021,0.60807319,0.67836623,0.8991268,0.80135202,0.72643728,0.90842498,0.73598606,0.64187464,0.75247558
24,0,0.63260852,0.87898192,0.8856351,0.76223041,0.89886135,0.6750506,0.8446652,0.95348033,0.97437033,0.88459456,0.82180076,0.89908445,0.76702835,0.89252419,0.95652787,0.8563018,0.52338906,1,0.46704478,0.76745928,0.76352315,0.74693424,0.78328602,0.91249494,0.55078355,0.81929941,0.92078205,0.97695343,0.91524501,0.93900696,0.68441888,0.82753518,0.75483284,0.56343901,0.65366361,0.77414176,0.80310358,0.93807297,0.87229805,0.66185854,0.8742616,0.794856,0.64794937,0.80424553,0.83323416,0.74754522,0.59060809,0.83426998,0.68471188,0.87147525,0.44044118,0.92240509,0.4928136,0.78424197,0.77909015,0.95206688,0.73094806,0.78741247,0.88398468,0.73126634,0.70600696,0.78696391
24,1,0.67028807,0.89454487,0.82863567,0.65469375,0.79995535,0.72279667,0.7724239,0.9871163,1,0.87315554,0.77520659,0.86966833,0.74745763,0.93737907,1,0.86962584,0.48707303,0.94646737,0.41589552,0.59837134,0.78622389,0.82966695,0.76239354,0.86466064,0.57791917,0.85023133,0.87441772,1,0.92435639,0.98796314,0.74608771,0.91489049,0.7986506,0.69766364,0.66673168,0.80933564,0.74921935,0.94976614,1,0.73670687,0.86620637,0.75862465,0.67260759,0.83586591,0.80933254,0.7055814,0.6069348,0.97325633,0.65286778,1,0.52176326,0.94331888,0.51978357,0.84473488,0.77124133,1,0.72690849,0.79250454,0.86185192,0.71658437,0.71615399,0.79673885
