,,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
4,1,0.38722186,0.40628534,0.18762532,0.31498186,0.31629296,0.13378345,0.2734942,0.19211686,0.22299649,0.55976761,0.34291149,0.19165782,0.22766718,0.22249625,0.31967384,0.63983446,0.33389366,0.24060305,0.26703631,0.25495336,0.40470942,0.44220309,0.27272727,0.38198169,0.23282089,0.43099552,0.32012188,0.26835569,0.31770782,0.39205298,0.55274708,0.23473632,0.2882716,0.30290022,0.59590157,0.18904647,0.27684288,0.48973376,0.32986134,0.45656701,0.4179847,0.35428946,0.27246815,0.19013951,0.2460832,0.34442747,0.46397082,0.23808257,0.35426044,0.32042961,0.2041492,0.25010941,0.20684856,0.23367727,0.33143444,0.4011398
4,2,0.4360052,0.4218225,0.18886037,0.37962545,0.35512889,0.13090269,0.33234096,0.20559817,0.21586917,0.61108451,0.4195503,0.19392573,0.22774449,0.27803274,0.34276097,0.51956503,0.28859888,0.21236556,0.29379807,0.29028644,0.46421024,0.50907476,0.27379291,0.30967151,0.22169846,0.52890423,0.29157443,0.28240573,0.32281867,0.35032094,0.59561899,0.17906247,0.23952796,0.31886576,0.63008233,0.18055766,0.23428168,0.44595868,0.37419186,0.43746299,0.41792163,0.30567363,0.26493447,0.1786632,0.22635512,0.26575842,0.49886551,0.28097081,0.24093027,0.29241213,0.1434141,0.22135262,0.24553195,0.22346311,0.2982984,0.31063111
5,0,0.52403383,0.45895272,0.51920376,0.52412982,0.40723013,0.25780342,0.5247634,0.34245144,0.35675088,0.69533099,0.57591876,0.29692308,0.47335717,0.3981414,0.52833981,0.48213437,0.54570739,0.4064097,0.36284877,0.44174623,0.56439242,0.57390324,0.41552244,0.39992461,0.35942767,0.68167687,0.33366497,0.37147389,0.62905694,0.59280693,0.67710106,0.46037798,0.40048656,0.66150754,0.7689858,0.38910155,0.27822841,0.44177733,0.62062735,0.54635591,0.47806513,0.31343692,0.4112547,0.24622054,0.33240591,0.33542144,0.58571887,0.49616997,0.46560057,0.64336991,0.31370542,0.51984914,0.37706464,0.43662534,0.6405261,0.54401604
5,1,0.64687053,0.47175285,0.59475953,0.62241396,0.44667025,0.29284721,0.66812911,0.43146728,0.43050025,0.70206338,0.65828408,0.35931034,0.5724971,0.49616842,0.68647009,0.59954213,0.6171949,0.55510103,0.43024504,0.47396655,0.62551467,0.59874949,0.45681818,0.53140549,0.53221893,0.72426969,0.41213779,0.4325145,0.71699383,0.65273561,0.69488749,0.5181233,0.53586783,0.91335248,0.82377635,0.47862995,0.32861851,0.45530218,0.71340256,0.63590601,0.5072538,0.5299101,0.50725873,0.3054544,0.50378174,0.4144385,0.6633409,0.64288018,0.65421306,0.71127023,0.41840457,0.60991684,0.44188793,0.48291858,0.75756679,0.61300922
5,2,0.70543917,0.48341391,0.67951761,0.68873419,0.48390843,0.3172109,0.7548104,0.48851803,0.49000335,0.69443662,0.70015624,0.39450928,0.65202938,0.55454286,0.70660851,0.66808136,0.69430606,0.61575381,0.4998435,0.51916221,0.64388778,0.59605713,0.50609204,0.60677437,0.5922393,0.74968843,0.42252829,0.44596628,0.8228458,0.71253184,0.70128011,0.53821903,0.59907771,0.99763101,0.87928164,0.51935284,0.39646893,0.49182444,0.76324038,0.69488967,0.52840022,0.58638447,0.5678123,0.3435564,0.63064109,0.46431542,0.71786902,0.66960974,0.7225381,0.75185977,0.45224068,0.66855032,0.46576634,0.50863609,0.78882861,0.67101245
6,0,0.72839297,0.48532328,0.74257761,0.7226885,0.51438641,0.32856208,0.81316202,0.50626734,0.52436005,0.67603521,0.7345289,0.42762599,0.67354078,0.57810422,0.69423533,0.72170468,0.72472671,0.65203606,0.57135351,0.53369943,0.63834032,0.58293016,0.53833459,0.65155627,0.61185405,0.73577386,0.41407785,0.44745286,0.88963399,0.73698421,0.69095969,0.53622184,0.6124183,1,0.91450285,0.55079518,0.45316115,0.53721269,0.79934261,0.71343013,0.54175668,0.60403644,0.60001833,0.37335856,0.67436521,0.49865886,0.74072462,0.63495404,0.74591329,0.75182258,0.43296488,0.673725,0.48329976,0.50628631,0.75083436,0.70716949
6,1,0.72740403,0.48409408,0.79643532,0.71338367,0.55255102,0.3252312,0.84312128,0.4867227,0.54530701,0.64928169,0.75327763,0.48221485,0.61570352,0.57470155,0.68060112,0.71120895,0.73151176,0.64277277,0.63439009,0.51943264,0.61082164,0.54567446,0.55627122,0.68411416,0.60138915,0.68059493,0.40296605,0.451686,0.93346138,0.73844116,0.64493122,0.5202938,0.59431373,0.92806892,0.94291143,0.56963855,0.50311407,0.57272833,0.80406626,0.71059318,0.55123394,0.59495743,0.61811933,0.40019705,0.69719071,0.52242594,0.72216869,0.59009031,0.74415225,0.7188767,0.37070515,0.63396236,0.50163889,0.45949016,0.65747637,0.73277985
6,2,0.70409889,0.47803819,0.82966048,0.67806648,0.58288131,0.31530403,0.81059229,0.44686633,0.53853104,0.61764085,0.72175803,0.51961538,0.52022613,0.56129816,0.68715274,0.63776525,0.70487077,0.60119366,0.66922286,0.48972349,0.5703589,0.50410687,0.5656639,0.69750135,0.58024634,0.6245121,0.40951996,0.46754895,0.9088729,0.71152318,0.59330524,0.50902038,0.57654321,0.84278536,0.94707319,0.55580723,0.54256793,0.58805993,0.77749842,0.69171841,0.56412521,0.57197714,0.63140867,0.41857807,0.67110571,0.54348527,0.67971073,0.59146105,0.70391692,0.6762414,0.35980397,0.55397369,0.52799854,0.41969132,0.5546979,0.73186519
7,0,0.68197788,0.46763091,0.81222454,0.64927934,0.59068878,0.31590965,0.71244124,0.4235923,0.51708215,0.59664789,0.68263026,0.5403382,0.5205547,0.560905,0.72350431,0.60338998,0.66982487,0.58832453,0.70112681,0.43845135,0.54798688,0.48554736,0.57882874,0.68493269,0.59239674,0.59046523,0.44156199,0.50122371,0.86577254,0.6815894,0.55014709,0.53440621,0.61005084,0.79124192,0.93884013,0.51906368,0.58944713,0.59868107,0.74239753,0.67100965,0.57357092,0.55159255,0.64321327,0.42787105,0.63030794,0.57826161,0.65519742,0.67106112,0.66214957,0.66962991,0.37339504,0.50675797,0.55194104,0.43438828,0.54511303,0.70311686
7,1,0.66532206,0.46715562,0.77144379,0.6359447,0.58253222,0.31981341,0.64963961,0.45283989,0.50199097,0.58729577,0.66220365,0.55248674,0.55832045,0.57324326,0.77360387,0.62555252,0.63407602,0.59577246,0.72925237,0.40855456,0.55384405,0.49198442,0.58759902,0.66396338,0.61930913,0.59078023,0.46454421,0.54278463,0.82944323,0.65466123,0.53628846,0.57803912,0.64451707,0.80488155,0.9305166,0.50466093,0.62191956,0.60482403,0.72782385,0.6396886,0.57382323,0.55031851,0.65633764,0.43486246,0.59350801,0.61497326,0.65914483,0.74657313,0.63302535,0.66922076,0.37820855,0.50431223,0.55432155,0.46088615,0.56664201,0.67704918
