,measure_number,beat_number,pid1263-04,pid52932-04,pid9048-04,pid9050-04,pid9054-04,pid9055-04,pid9058-04,pid9059-04,pid9061-04,pid9062-04,pid9063-04,pid9066-04,pid9067-04,pid9070-12,pid9072-04,pid9073-06,pid9074f-04,pid9075-04,pid9088-04,pid9093-04,pid9094-04,pid9097-11,pid9099-04,pid9101-04,pid9104-04,pid9105-04,pid9111-04,pid9114-31,pid9118-04,pid9138-04,pid9139-04,pid9150-18,pid9153-04,pid9166c-06,pid9170-04,pid9173-09,pid9174-04,pid9186c-04,pid9192-04
18,7,2,0.36707176,0.62232169,0.47484284,0.50923954,0.75136052,0.77921529,0.29702798,0.4942322,0.80480769,0.76571429,0.37854622,0.60924986,0.52121371,0.57298272,0.48945513,0.5530088000000001,0.66459458,0.55291794,0.723916,0.54842364,0.6847159,0.26203095,0.86833364,0.76393336,0.52274697,0.55675723,0.42578223,0.21890706,0.52076853,0.50285308,0.70445474,0.60236875,0.52076996,0.74833641,0.58688834,0.47171908,0.57214074,0.57733876,0.64424169
19,8,0,0.58823529,0.68749636,0.37056102,0.57559152,0.77593774,0.80638833,0.35584306,0.59919415,0.89182692,0.81664854,0.41085763,0.65615482,0.55495684,0.77755303,0.48787647,0.65346213,0.78907845,0.5869736999999999,0.71486486,0.62905577,0.64275916,0.27315853,0.72600668,0.87794838,0.59588225,0.57162326,0.6058529,0.19274472,0.59965867,0.55413391,0.73608792,0.72081601,0.5521071,0.63366204,0.66280019,0.53623648,0.57553316,0.70470657,0.85681835
20,8,1,0.78588932,0.72082242,0.50240778,0.60791876,0.85692551,0.87488934,0.54905016,0.52786151,0.9348803,0.78687098,0.47030331,0.68340384,0.43151975,0.61420293,0.60072803,0.59704275,0.90909297,0.58082176,0.47016333,0.60353295,0.46956898,0.26579264,0.55842457,0.74818687,0.67840889,0.61875946,0.84016786,0.25967284,0.78035454,0.55032529,0.6551198,0.81503432,0.92260773,0.79167001,0.80946857,0.6557782,0.59663457,0.85889018,0.8778678
21,8,2,0.7264936,0.5936754,0.31314198,0.52089879,0.88834923,0.61368209,0.53179623,0.50242501,0.92585361,0.88804745,0.4800889,0.81331077,0.43279275,0.53932867,0.51879071,0.49759211,0.5836018,0.54162998,0.46342602,0.58811787,0.51526966,0.29654406,0.59495268,0.55653055,0.66382518,0.58892737,0.56215858,0.29619175,0.55673154,0.42891705,0.72837035,0.67007638,0.68757129,0.91353323,0.49052713,0.4470489,0.57632502,0.7146136,0.7107443
22,9,0,0.66616496,0.73951965,0.44223698,0.53952678,0.95488326,0.54382294,0.44005208,0.5108342,0.86635597,0.98971824,0.4376912,0.88980541,0.62280059,0.68253881,0.41784045,0.60716858,0.63975226,0.58776386,0.53550457,0.59542934,0.68107512,0.2843417,0.71913156,0.77536753,0.62005599,0.68473763,0.58357506,0.28735229,0.75900796,0.57720927,0.84027509,0.69093106,0.67789132,0.77196077,0.37256090000000003,0.48680686,0.54629713,0.71238621,0.7844325
23,9,1,0.54624159,0.82634643,0.3388566,0.40040502,0.65966411,0.44178068,0.33518551,0.40597672,0.8419741,0.86730598,0.3361812,0.69071489,0.70007847,0.5150995,0.37307840000000003,0.44566369,0.50266573,0.4914268,0.39580984,0.55844423,0.56982992,0.17800426,0.52027278,0.85076772,0.52639516,0.46707343,0.53282044,0.21183756,0.70851111,0.52856465,0.63358137,0.77367302,0.63024398,0.64841391,0.28114877,0.46608471,0.46656168,0.74205888,0.58173696
24,9,2,0.56513627,0.82343523,0.21069861,0.38235776,0.59623149,0.39229376,0.29745856,0.45002238,0.82806122,0.68020761,0.48029154,0.42371686,0.54252332,0.48224907,0.24424094,0.43651231,0.40092563,0.36955638,0.2162551,0.42583175,0.48924781,0.20317799,0.38211171,0.61548514,0.44665884,0.32719021,0.28649047,0.12776201,0.66654739,0.41890079,0.64630762,0.72568887,0.54124683,0.65433336,0.20613052,0.36674933,0.56681364,0.42040479999999997,0.5596729
25,10,0,0.61473014,0.71437409,0.21190843,0.47085188,0.83808298,0.39179074,0.18317049999999999,0.6576108,0.64824372,0.75484923,0.58044842,0.30932741,0.53383904,0.42348568,0.23711396,0.53051166,0.43879033,0.68213117,0.29718063,0.36236534,0.44209289,0.17700361,0.40383188,0.59122509,0.55073144,0.458934,0.30140617,0.17912173,0.51972254,0.38738818,0.52299238,0.74751039,0.4370564,0.70799594,0.261361,0.19333399,0.58275893,0.48529924,0.44982206
26,10,1,0.66392596,0.46082242,0.35010082,0.51354289,0.54635731,0.44782696,0.34823616,0.65195493,0.72258634,0.5235393,0.51682573,0.40777637,0.69034789,0.48138531,0.51853782,0.52897231,0.58606334,0.79867931,0.30975112,0.43056876,0.43182029,0.33023256,0.52530154,0.61476642,0.62028174,0.41062252,0.38697637,0.34470819,0.47467588,0.45355787,0.40471899,0.5233878,0.5030339,0.79851145,0.55501138,0.25452832,0.5817601,0.58844664,0.51779359
27,10,2,0.8783725,0.52042213,0.57351441,0.69855711,0.5265901999999999,0.69400402,0.64989799,0.76167736,0.81085165,0.49488878,0.61148516,0.85906655,0.67603976,0.49583424,0.96083991,0.74059795,0.65899088,0.7705723000000001,0.65173051,0.50722433,0.89755252,0.46965626,1.0,0.7100294,0.88202095,0.63351296,0.91732312,0.82770009,0.66952022,0.62957441,0.63575954,0.58353476,0.76390209,0.92497127,0.85449156,0.35915088,0.93710069,0.65889018,0.74936776
