,,pid1263b-16,pid5667250b-05,pid5667269b-33,pid9048b-29,pid9050b-18,pid9054b-18,pid9055b-16,pid9058b-16,pid9059b-20,pid9061b-13,pid9062b-19,pid9063b-22,pid9066b-16,pid9068-22,pid9069-16,pid9072b-20,pid9074g-16,pid9075b-16,pid9085-09,pid9085-17,pid9086-12,pid9094b-21,pid9097-25,pid9099b-22,pid9103-22,pid9104b-16,pid9114-26,pid9116-05,pid9118b-22,pid9124-16,pid9127-01,pid9130-12,pid9139b-18,pid9153b-18,pid9166l-15,pid9170b-18,pid9173-02,pid9174b-16,pid9185-06,pid918812-16,pid918904-13,pid9192b-18
5,1,0.94931201,0.75740148,0.65821112,0.85628723,0.55688761,0.74253778,0.74630954,0.90165814,0.73913824,0.89546613,0.68179104,0.85599424,0.68748061,0.74893254,0.7584136,0.8505938,0.85481364,0.87289545,0.74101881,0.60813467,0.6728361,0.47625603,0.50083701,0.90229575,0.97512777,0.52017185,0.45373156,0.51857591,0.99060614,0.73213862,0.78243626,0.89083575,0.93866248,0.71697156,0.83415053,0.83898526,0.60218693,0.6301212,0.86090833,0.74374856,0.86471463,0.77990846
5,2,0.76855072,0.69873975,0.62241004,0.77604045,0.46381843,0.73616835,0.65120534,0.88467879,0.65384364,0.84416294,0.57255803,0.81709894,0.70514934,0.72566183,0.74564684,0.74054481,0.78540894,0.85798895,0.63915432,0.58705129,0.5346593,0.41667978,0.48111399,0.89375407,0.80756388,0.43183972,0.43687115,0.5230094,1,0.66747861,0.75701133,0.85163442,0.83381555,0.68978879,0.78043673,0.71647875,0.52084392,0.58475222,0.83958068,0.67898334,0.83517549,0.69577612
6,0,0.55923067,0.66563313,0.55838591,0.66630271,0.4062365,0.70313476,0.52913083,0.83426189,0.58899135,0.7902041,0.50964584,0.7543804,0.69575252,0.65811984,0.72254013,0.60755751,0.69039922,0.85745658,0.57504578,0.59455126,0.47622468,0.3932898,0.46363567,0.87958918,0.71519591,0.32956717,0.42421119,0.5088043,0.97185146,0.48969521,0.69018414,0.79148591,0.69911273,0.66941626,0.74737609,0.63215958,0.42105263,0.53545972,0.77935314,0.49878421,0.82864715,0.66016221
6,1,0.57660704,0.66738348,0.47751108,0.61361757,0.42854718,0.71075309,0.51067855,0.76379572,0.59791905,0.76896965,0.4884198,0.70073007,0.64671257,0.61095929,0.68440038,0.5468981,0.63986928,0.84833966,0.65657566,0.65077361,0.52046041,0.43456314,0.47501902,0.88734083,0.71367973,0.36919618,0.41740256,0.46140618,0.91536716,0.37019755,0.67550283,0.71245225,0.61267256,0.65156328,0.72535733,0.71047702,0.49833938,0.54245014,0.71502877,0.37891434,0.84364294,0.72766402
6,2,0.65583993,0.69978996,0.44862722,0.59686857,0.49006357,0.75265393,0.61567565,0.75552397,0.63886894,0.78103784,0.51365737,0.7406244,0.66609775,0.59561628,0.66761095,0.53957313,0.68039216,0.86258069,0.78553354,0.72353322,0.62137201,0.4535085,0.51012023,0.93354401,0.77059625,0.51203726,0.43422389,0.48567846,0.89848465,0.41709504,0.75113314,0.69400656,0.6706897,0.63532347,0.68379092,0.85267997,0.70006352,0.60477167,0.70879314,0.42310978,0.89270248,0.85039749
7,0,0.7441767,0.74044809,0.51550776,0.61145504,0.57324261,0.82765081,0.72315374,0.76047944,0.67603232,0.81095667,0.55656385,0.80941402,0.74784717,0.59128238,0.68648725,0.56393157,0.71066949,0.91794769,0.87839188,0.81611341,0.75129834,0.43626757,0.5326967,0.97016451,0.81218058,0.64547499,0.45817134,0.56706673,0.92375887,0.47229647,0.84270538,0.74168141,0.7780717,0.61372027,0.63413492,0.94908933,0.84294918,0.72915036,0.73182781,0.47653863,0.92993342,0.94089778
7,1,0.8250724,0.7665033,0.61733672,0.65893527,0.66862618,0.88522543,0.81559089,0.76324616,0.69567488,0.83826269,0.60932388,0.87583093,0.82021916,0.59603615,0.72491029,0.61332946,0.72016428,0.97404672,0.93391044,0.87671714,0.8327256,0.41943308,0.53165424,0.98038851,0.85792164,0.77336385,0.47081176,0.65007613,0.94254658,0.55679104,0.91883853,0.83108161,0.85726489,0.59307334,0.59766677,1,0.94110708,0.83019945,0.76006386,0.56019781,0.94363648,1
7,2,0.87584353,0.76140228,0.76803377,0.72509382,0.79172067,0.91807169,0.8822672,0.73796665,0.67604864,0.86089992,0.7115075,0.93309318,0.91576804,0.59986479,0.75210576,0.69554854,0.6957163,0.98502695,0.9280839,0.91405229,0.86978821,0.43309471,0.50686349,0.94469746,0.89028961,0.91945716,0.47319039,0.78056426,0.93861504,0.66902868,0.97407932,0.92289317,0.90877904,0.58374356,0.59354394,0.99045967,1,0.93831299,0.76677143,0.67410377,0.92670157,0.99429856
8,0,0.85587595,0.71734347,0.92193895,0.76829139,0.90015738,0.87673286,0.87317028,0.68120144,0.60642239,0.85155162,0.77297866,0.95158501,0.99098138,0.57007543,0.75354108,0.76781829,0.63268857,0.92293871,0.85899784,0.89586788,0.80858195,0.44535347,0.46687719,0.84600799,0.86098807,1,0.46822311,0.7771339,0.87977402,0.71666957,0.98491501,0.98723337,0.90117384,0.62384001,0.62200055,0.91040763,0.96270417,0.99841367,0.68794746,0.7251339,0.88371792,0.91455874
8,1,0.78355758,0.68223645,1,0.77902983,0.95329569,0.79349319,0.82715845,0.65224559,0.56424841,0.82284282,0.78998546,0.92583093,1,0.53189582,0.74141643,0.81480774,0.55434552,0.85872097,0.75531879,0.84886951,0.70981584,0.45613069,0.40337848,0.76316572,0.84668654,0.97446398,0.45990036,0.71665025,0.81542663,0.72513168,0.93066572,1,0.8470833,0.69639947,0.66292968,0.79923677,0.89401996,1,0.63292131,0.73497519,0.84609915,0.82317514
