,measure_number,beat_number,pid1263-20,pid50848-04,pid5667249-17,pid5667269b-37,pid5667291-16,pid9048-20,pid9049-20,pid9050-20,pid9054-20,pid9055-20,pid9058-20,pid9059-20,pid9060-20,pid9062-20,pid9063-20,pid9065-15,pid9066-20,pid9067-20,pid9068-13,pid9072-20,pid9075-20,pid9081-11,pid9088-15,pid9090-09,pid9093-20,pid9094-20,pid9099-20,pid9100b-20,pid9101b-02,pid9104-20,pid9105b-03,pid9111-20,pid9112-07,pid9113-16,pid9114b-13,pid9116-08,pid9118-20,pid9122-04,pid9123-03,pid9130-04,pid9138-20,pid9139-20,pid9153-20,pid9161-10,pid9162-07,pid9166f-17,pid9170-20,pid9174-20,pid9176-08,pid9186c-20,pid918726-09,pid918904-05,pid918919-20,pid9192-20
303,102,0,0.40620889,0.39729017,0.29369435,0.4166939,0.44024253,0.33649458,0.50750349,0.20628890000000003,0.42524617,0.41155278,0.38520433,0.38581128,0.40286653,0.34908952,0.43082347,0.46256564,0.81254539,0.55826159,0.37935929,0.52969497,0.45729894,0.39359249,0.46206538,0.34891475,0.30508166,0.44422731,0.45209003,0.38167427,0.43828719,0.39401271,0.55110203,0.47384844,0.50377394,0.528937,0.53692058,0.33145595,0.27567828,0.46658847,0.47549751,0.44727089,0.39340191,0.45099929,0.40525949,0.3875131,0.48659781,0.45393310000000003,0.49371494,0.30562771,0.30376467,0.25984655,0.41836837,0.33794916,0.48096019,0.37400964
304,102,1,0.28776229,0.29273381,0.15474604,0.27104212,0.38967108,0.2040404,0.33511149,0.12909429,0.36416398,0.32450615,0.28239609,0.19632768,0.36185906,0.21776719,0.37504445,0.37705792,0.71923077,0.48386951,0.26419049,0.33511386,0.23188467,0.26577317,0.33894972,0.28454231,0.20164042,0.34006541,0.38480707,0.23861014,0.25705419,0.26166977,0.4198366,0.32588059999999996,0.34294179999999996,0.44987399,0.42379911,0.21455945,0.19059303,0.41629524,0.39395989,0.2572644,0.3011663,0.30264415,0.22571847,0.26252024,0.46233533,0.37455562,0.29905779,0.19161932,0.21875246,0.26125959,0.27334001,0.18634303,0.45466713,0.32324228
305,102,2,0.25244284,0.35359712,0.18252226,0.28071895,0.37610667,0.21923868,0.31987363,0.22328843,0.37335258,0.32908841,0.34020957,0.19438993,0.3827815,0.21902655,0.45820712,0.37678326,0.65602509,0.47560036,0.28315315,0.31524459,0.21746282,0.29108884,0.3520502,0.28444794,0.24081365,0.33425184,0.42234057,0.33268938,0.18107957,0.24219342,0.39284629,0.31425575,0.31737883,0.4428433,0.39824001,0.14099241,0.20703484,0.41529826,0.38610852,0.29692840000000004,0.38067095,0.27327556,0.2073591,0.28136013,0.48547219999999996,0.44458875,0.25950112,0.19387852,0.24834213,0.32970588,0.26325492,0.22640741,0.46261117,0.33825697
306,103,0,0.29672722,0.50493205,0.38260626,0.40185185,0.41144498,0.3842125,0.37760496,0.36768229999999996,0.48854384,0.406841,0.48975201,0.28754584,0.47490982,0.31643125,0.55235759,0.47566847,0.68438429,0.54935055,0.42465345,0.46028957,0.40440061,0.38683957,0.48989689,0.31242529,0.33996063,0.42146361,0.53590568,0.46748949,0.27286422,0.32092665,0.5067167,0.4428022,0.46022082,0.46038126,0.41859201,0.22524229,0.27059303,0.49189008,0.43711909,0.39054726,0.47972743,0.34374779,0.29474749,0.39662825,0.58007916,0.57045687,0.38491912,0.26321023,0.40983697,0.48462916,0.44500334,0.43668791,0.56765392,0.4081999
307,103,1,0.36098497,0.70130296,0.53461388,0.52722404,0.48009873,0.59147961,0.46893493,0.52461681,0.60064382,0.48412403,0.68264059,0.40254733,0.59641201,0.43420694,0.71905083,0.59493497,0.72378673,0.6617807,0.56244611,0.6135156,0.61699545,0.52794755,0.62594517,0.38347908,0.43810149,0.53131643,0.60928457,0.61789643,0.39031313,0.46373612,0.61916207,0.60589109,0.6354563,0.54104039,0.45401603,0.44836905,0.35253521,0.63517091,0.5168921,0.47435287,0.61946665,0.45763177,0.41472517,0.50925802,0.70183685,0.68818033,0.57834541,0.38311012,0.58249193,0.60712916,0.60348682,0.59456086,0.67615059,0.53581916
308,103,2,0.43390229,0.85459632,0.66763734,0.65054466,0.54171809,0.72490647,0.51172003,0.67055272,0.64750994,0.59260848,0.82095704,0.48316483,0.74304303,0.52505956,0.83242382,0.68522498,0.7504622,0.72603836,0.66730782,0.75203823,0.74027314,0.66870392,0.70083127,0.44829821,0.50069991,0.62820932,0.66254019,0.70049191,0.48084943,0.58375152,0.66062132,0.751263,0.72646747,0.63887561,0.50447284,0.64440383,0.40418087,0.73081434,0.57439366,0.55906698,0.70246364,0.57224089,0.51034459,0.58401753,0.80858433,0.77571348,0.71788029,0.49640828,0.71461763,0.74482097,0.74892392,0.6684621999999999,0.76841378,0.62817885
309,104,0,0.5114156,0.92677858,0.71747774,0.74569717,0.56731234,0.8303685,0.54432226,0.77036693,0.66980685,0.67355894,0.89165211,0.54812172,0.81087349,0.6121255999999999,0.88515544,0.74274982,0.77171509,0.755475,0.74345029,0.85254428,0.83344461,0.78440315,0.75457597,0.50081787,0.53823272,0.70455437,0.69989282,0.74612289,0.58041704,0.67426041,0.66750903,0.86702211,0.78822282,0.6980937,0.55095006,0.79171512,0.45154188,0.81247487,0.61426461,0.62469536,0.75285022,0.65571277,0.56868025,0.63915611,0.87123508,0.83190068,0.79701541,0.55033144,0.81523194,0.83043478,0.84459459,0.73342968,0.81430792,0.70214416
310,104,1,0.56973849,0.93389289,0.71042168,0.78063725,0.5678489000000001,0.89705387,0.5641411999999999,0.82382722,0.66261125,0.73638277,0.90101292,0.58628209,0.83947436,0.66919673,0.869152,0.75313838,0.79014526,0.74963752,0.77575114,0.90096992,0.88327769,0.8760587,0.77709216,0.53988676,0.54745553,0.79533115,0.71034298,0.74123066,0.66536021,0.73548097,0.63976819,0.91853859,0.80425426,0.73363489,0.60372176,0.87522844,0.47974796,0.87349196,0.63134328,0.67004831,0.77152405,0.6993456,0.57577427,0.6680159999999999,0.88731523,0.83792113,0.82833179,0.56962933,0.80688352,0.88420716,0.86177845,0.77271234,0.81508505,0.75943266
311,104,2,0.59753367,0.88569145,0.65817327,0.75815178,0.53570854,0.90665918,0.55606659,0.85600557,0.62881083,0.75478465,0.85630458,0.59039548,0.8010822,0.66752042,0.82095775,0.73089103,0.77687356,0.69808941,0.76361345,0.89991566,0.88673748,0.90666915,0.77533371,0.54761246,0.53717556,0.83589534,0.70176849,0.71490028,0.71141642,0.74318167,0.59621889,0.90271829,0.78984468,0.72368336,0.64441455,0.90181093,0.48595997,0.89167225,0.6305115,0.68424544,0.75009828,0.71418465,0.54785156,0.6620821,0.85639186,0.81629374,0.81090355,0.57064394,0.74235646,0.89341432,0.79414414,0.77586547,0.77661687,0.76973794
312,105,0,0.62487473,0.84044764,0.57809262,0.70328613,0.50376133,0.89155443,0.53157543,0.8689921,0.58284416,0.71811043,0.81369193,0.58053325,0.76017779,0.60345473,0.77766877,0.69597706,0.73067019,0.62594019,0.7247463000000001,0.85886983,0.8647041,0.88469374,0.72815922,0.53402957,0.52618839,0.84268193,0.70947213,0.67132636,0.71992468,0.71218636,0.54791944,0.84684905,0.76601584,0.69925687,0.65405527,0.89510993,0.48736842,0.88329424,0.61693874,0.67131012,0.70901586,0.72592855,0.51215123,0.64271835,0.80728555,0.79993836,0.769457,0.56769481,0.66121131,0.88069054,0.64042376,0.76496091,0.72947068,0.75987589
313,105,1,0.65916066,0.83749001,0.49186873,0.60516521,0.47405698,0.8276749,0.48185187,0.86361356,0.51936186,0.63278821,0.81075795,0.54559421,0.71019067,0.46749489,0.79581826,0.68108086,0.60056124,0.54384534,0.67254759,0.82323587,0.81080425,0.82421742,0.66046679,0.48257314,0.52171187,0.80541292,0.7193194,0.59232627,0.65301625,0.59976256,0.51604598,0.74363255,0.75235481,0.65570275,0.6231153,0.87046575,0.48734618,0.84726877,0.60865205,0.65311847,0.64230769,0.72030421,0.49258509999999994,0.62424993,0.77085781,0.80273397,0.6504003,0.56072105,0.59353391,0.82877238,0.42569236,0.74742166,0.693852,0.70740761
314,105,2,0.67118697,0.8401279,0.3873271,0.52503631,0.43306326,0.74210625,0.43779087,0.83375755,0.4740106,0.53324968,0.8113168000000001,0.50758252,0.65356867,0.33136487,0.8373904000000001,0.67435172,0.51318917,0.4713865,0.61332493,0.79645769,0.76467375,0.75267583,0.61249301,0.44002517,0.51959026,0.75429272,0.6994239000000001,0.51359449,0.56476742,0.52979529,0.49102223,0.71226291,0.70619425,0.59647173,0.548013,0.83851138,0.47846553,0.80586461,0.59996113,0.6228351,0.58371118,0.70443933,0.48206613,0.59780932,0.77178552,0.8132560000000001,0.5758401,0.54211986,0.56794518,0.76911765,0.34850684,0.72219668,0.69363613,0.64535431
315,106,0,0.64906827,0.81310951,0.32350339,0.42871278,0.38174062,0.63106061,0.39075886,0.76504412,0.40716247,0.45540803,0.78309466,0.44930122,0.57213991,0.27254084,0.84278619,0.64571452,0.46283427,0.40863918,0.51758307,0.72554119,0.69323217,0.65489819,0.55551115,0.38495753,0.50013852,0.64234669,0.64312701,0.39973169,0.43768045,0.43602644,0.44092723,0.67919762,0.63539392,0.51999354,0.46429012,0.76756936,0.43154188,0.73491119,0.57120647,0.56632057,0.50980868,0.6603555,0.45701032,0.53361273,0.74457295,0.79782515,0.50538097,0.51161391,0.52929826,0.69546036,0.28621955,0.66767391,0.67096969,0.57183223
316,106,1,0.55748512,0.71664269,0.25478524,0.34258351,0.32935022,0.48029368,0.28566742,0.59515095,0.31631793,0.39063309999999996,0.68942368,0.37045297,0.45581036,0.22083901,0.76785824,0.55141772,0.45400297,0.32409757,0.39705512,0.56681192,0.55813657,0.49857806,0.42933419,0.27555835,0.44167396,0.45681112,0.53364148,0.26927824,0.29076644,0.29294103,0.32880486,0.53422778,0.52701641,0.44909208,0.38968107,0.65293238,0.33132691,0.58164377,0.49366449,0.49294109,0.37426288,0.52369119,0.3940918,0.42704067,0.6733255,0.73724644,0.37785524,0.43986066,0.43592187,0.57601662,0.22643477,0.48670433,0.60439513,0.42944761
317,106,2,0.45501096,0.50611511,0.18562468,0.26721133,0.2917637,0.36590909,0.21416854,0.40138412,0.26818784,0.33426166,0.48711142,0.26467440000000003,0.35905694,0.20530973,0.60284505,0.42837871,0.48624133,0.25241655,0.31414738,0.37741777,0.35112595,0.35320944,0.31800016,0.18152878,0.37903908,0.37952576,0.44188773,0.19284500000000002,0.18239766,0.21037028,0.2768288,0.30478105,0.44203729999999997,0.39262682,0.35658315,0.40613612,0.25433655,0.46373157,0.38904695,0.31646838,0.28130651,0.34696675,0.30961217,0.3318697,0.57536026,0.64139252,0.23915364,0.3777868,0.34024573,0.25584399,0.18269937,0.31892531,0.5117002,0.31452712
318,107,0,0.27836674,0.21932054,0.17333259,0.21193718,0.27545206,0.27317621,0.18922170000000002,0.26315838,0.2331424,0.31399773,0.21216207,0.20107047,0.30968178,0.18393465,0.42208596,0.3090395,0.5370997,0.25709863,0.30739537,0.31242620000000004,0.23695296,0.27716936,0.24521621,0.14790815,0.33221785,0.38922322,0.34068194,0.23866379999999998,0.23535811,0.17832253,0.34224777,0.28825278,0.39350633,0.35921809,0.34600078,0.23389267,0.21828762,0.33020275,0.30025653,0.22677915,0.25323025,0.2025115,0.23492606,0.27459758,0.4528666,0.51060458,0.18629704,0.27677219,0.25901394,0.20507673,0.15839173,0.24840045,0.40173992,0.23635104
319,107,1,0.24657845,0.23739408,0.19131993,0.20009078,0.28326447,0.28552189,0.21262531,0.21411983,0.21857603,0.33374352,0.22838979999999998,0.17788681,0.33888173,0.20039142,0.33540990000000004,0.28053155,0.60236877,0.30149524,0.33397891,0.35319792,0.32765402,0.31368473,0.35550316,0.170972,0.33402596,0.44309894,0.31754421,0.32159914,0.27780877,0.27171918,0.42402622,0.45981995,0.39457301,0.33435218,0.30373297,0.25923465,0.27078577,0.30490114,0.27283893,0.21008724,0.29017822,0.181659,0.20549665,0.28888466,0.39223205,0.44535919,0.19695006,0.27484443,0.26466882,0.24247442,0.16653320000000002,0.34599619,0.34942578,0.27582692
320,107,2,0.25721109,0.29410072,0.21692894,0.20665396,0.29979609999999995,0.36127011,0.23301537,0.22644682,0.21781859,0.37048251,0.2836605,0.17850629,0.39478227,0.23151804,0.31056472,0.29198643,0.59915814,0.32904395,0.37586390000000003,0.39958532,0.38412140000000006,0.35586718,0.43662377,0.20661843,0.35968212,0.46754702,0.33381565,0.37319559999999996,0.316354,0.34168645,0.47418773,0.54439297,0.40742936,0.33722779,0.28226557,0.30487899,0.31224611,0.35496816,0.27973414,0.2327493,0.31055563,0.19847895,0.19990234,0.32526907,0.37826087,0.44144095,0.21451991,0.28275839,0.30757659,0.28175831,0.1842676,0.37938645,0.32909507,0.33575267
321,108,0,0.25546508,0.30902478,0.22730022,0.21475127,0.29114128,0.42548634,0.24225044,0.25194612,0.22103295,0.41715512,0.29763185,0.18232233,0.40350425,0.24619639,0.30236679,0.31193958,0.57707164,0.33979006,0.39233932,0.41392325,0.40627011,0.37821487,0.48275118,0.23441963,0.36394721,0.47691742,0.3567926,0.41657276,0.34489155,0.3978053,0.47916587,0.5773359,0.409937,0.33861712,0.26865086,0.33190452,0.33713862,0.39101877,0.29728699999999997,0.24922489,0.29965273,0.20644676,0.1914481,0.36461568,0.3865607,0.47668314,0.22237351,0.27700893,0.33298417,0.3113555,0.19220888,0.36597911,0.32849927,0.37589340000000004
