,,pid1263b-04,pid52932-19,pid9048b-08,pid9049b-04,pid9054b-04,pid9055b-04,pid9058b-04,pid9059b-08,pid9060b-02,pid9062b-07,pid9063b-08,pid9064-15,pid9066b-04,pid9069-04,pid9070b-16,pid9072b-08,pid9074g-04,pid9075b-04,pid9076-14,pid9077-02,pid9093b-10,pid9094b-04,pid9099b-08,pid9101b-15,pid9104b-04,pid9111b-06,pid9118b-08,pid9119-09,pid9139b-04,pid9158-10,pid9166k-05,pid9170b-04,pid9174b-04,pid9192b-04
52,0,0.4131878,0.46813437,0.58932261,0.5899893,0.53657359,0.48830675,0.53060526,0.39613495,0.60172137,0.56467725,0.30496706,0.56047605,0.66678397,0.70937184,0.3528652,0.4963702,0.48545398,0.37442617,0.53136102,0.54989377,0.52431884,0.57048927,0.48867421,0.63990583,0.42646038,0.82870504,0.76462367,0.59303998,0.44510077,0.54841187,0.74558636,0.66607367,0.6980916,0.76975062
52,1,0.42127909,0.46751432,0.59754668,0.59801597,0.52059632,0.50610163,0.53422807,0.40836584,0.60659373,0.56545993,0.30825429,0.55030321,0.59667186,0.69380576,0.34521557,0.50985127,0.49007164,0.40008756,0.52957836,0.54800261,0.51388766,0.56657185,0.49144705,0.62065917,0.42108679,0.82560987,0.77439295,0.57929249,0.46226625,0.53760739,0.72498085,0.65551045,0.6769192,0.76785258
52,2,0.43267184,0.46697277,0.6011621,0.60417387,0.49812427,0.51845326,0.53730702,0.4257116,0.61295405,0.55989583,0.31820288,0.54630837,0.50799859,0.66844477,0.33547389,0.52558533,0.4942143,0.43314153,0.52505215,0.54353155,0.50226611,0.57135891,0.49208569,0.59492649,0.41406792,0.81978594,0.78616445,0.5642853,0.48314754,0.53720385,0.701792,0.64437145,0.65028806,0.76376713
53,0,0.45070359,0.46669806,0.59953317,0.61131143,0.47961141,0.52527819,0.53957895,0.45131484,0.6181911,0.54920879,0.33061328,0.54766525,0.43306018,0.6458774,0.31865563,0.53817553,0.49619218,0.47343799,0.5198938,0.53818496,0.49451547,0.57914499,0.49109135,0.57086576,0.40720755,0.80907338,0.79096174,0.55208513,0.4992326,0.54841838,0.67466177,0.63346128,0.62536368,0.75546004
53,1,0.46206928,0.46683934,0.59330552,0.62533136,0.46290707,0.52980341,0.54012281,0.47481578,0.62024799,0.53661487,0.34436319,0.55276683,0.42885727,0.63356479,0.30598508,0.55187748,0.49638686,0.49893051,0.5121942,0.53016507,0.48838727,0.58893043,0.48983832,0.55083117,0.40324528,0.80672066,0.78959109,0.54330745,0.50962276,0.55109997,0.64790933,0.62418986,0.58960104,0.74510171
53,2,0.47361537,0.46724747,0.58201232,0.64025685,0.45219038,0.53067507,0.53995614,0.49675625,0.62028446,0.52140255,0.36318876,0.55933899,0.46553718,0.6310126,0.29872658,0.56075688,0.49305404,0.51484145,0.50534168,0.52310243,0.48304382,0.59991873,0.48983832,0.53863746,0.40058868,0.79975894,0.78320814,0.53748634,0.51642837,0.55785603,0.62021749,0.61564922,0.55923952,0.73178143
54,0,0.48331229,0.46865238,0.56904052,0.65971845,0.44317835,0.52928412,0.54023684,0.52019939,0.61714807,0.50295993,0.38288321,0.56586568,0.50532402,0.63518578,0.29060397,0.57167575,0.48371749,0.53056476,0.49446868,0.51198898,0.47889957,0.6125,0.49202102,0.5322187,0.39723774,0.79129303,0.77347918,0.53251079,0.5197302,0.5638831,0.59398581,0.60834133,0.51915598,0.7130309
54,1,0.4874346,0.47010439,0.56078665,0.67857084,0.43997678,0.52667841,0.54314912,0.54307903,0.61076586,0.4917179,0.39711824,0.57308975,0.53575989,0.64539456,0.28913043,0.58006185,0.47330634,0.54175996,0.48692079,0.50430763,0.4756547,0.62381339,0.4960388,0.533833,0.39540377,0.78789895,0.7660212,0.53091171,0.52014419,0.56794455,0.58021136,0.60427401,0.48616592,0.70040003
54,2,0.4887606,0.47227847,0.55523441,0.69489586,0.4394941,0.5240727,0.5495614,0.56687617,0.60374909,0.4827385,0.41284483,0.58341419,0.55561812,0.65974202,0.2916227,0.58961125,0.4588927,0.55267997,0.47999241,0.49656791,0.47185433,0.63503739,0.50334681,0.54324013,0.39442264,0.78432167,0.75533816,0.53232672,0.51914455,0.57348998,0.57473835,0.60222189,0.46748524,0.68602434
55,0,0.48668591,0.47437407,0.55359555,0.70816663,0.44201747,0.52105898,0.55828947,0.58552955,0.59673961,0.4785263,0.42385055,0.59389024,0.57765824,0.67703256,0.29907222,0.60002209,0.44359134,0.56426919,0.47441684,0.4913147,0.46860947,0.64498537,0.51295877,0.55909484,0.39486792,0.78436024,0.74773237,0.53700892,0.51752898,0.5822377,0.57483024,0.60351369,0.45579721,0.67137629
55,1,0.48233808,0.47581822,0.55555224,0.71294147,0.44657543,0.51952893,0.56794737,0.60128594,0.59190372,0.47846938,0.43141699,0.60714069,0.591192,0.69361032,0.30598508,0.60891621,0.43230026,0.57487648,0.47129401,0.48825617,0.46594657,0.65249512,0.52171382,0.57600653,0.39630943,0.78605728,0.74102692,0.54360656,0.51626681,0.59215699,0.5812835,0.60854802,0.454789,0.66026045
55,2,0.47689879,0.47578683,0.56210767,0.70958261,0.45348567,0.51835126,0.57895614,0.61250542,0.58725748,0.48158584,0.43790457,0.62120224,0.60150822,0.7126598,0.31685465,0.61731704,0.42191247,0.58731003,0.47051015,0.48725222,0.46470329,0.66163036,0.53051738,0.59729029,0.39828679,0.79047344,0.73475147,0.55452977,0.51498445,0.6095548,0.59305662,0.61703698,0.4629627,0.65021704
56,0,0.47196464,0.47387175,0.56870282,0.69844406,0.4596383,0.51738687,0.58728947,0.6178009,0.58452225,0.48668033,0.44253132,0.63135233,0.6088985,0.7290996,0.32575041,0.62335444,0.41967762,0.59465257,0.47159745,0.48832621,0.46504717,0.67360208,0.53707357,0.61588354,0.40015094,0.79491852,0.73214454,0.5619327,0.51370209,0.61916819,0.60537091,0.62438916,0.47166211,0.64271853
56,1,0.46846473,0.46903697,0.58076083,0.673796,0.46810656,0.51323257,0.59694737,0.61872562,0.58065646,0.49678393,0.44610817,0.64716495,0.60720929,0.75290858,0.33884846,0.62744073,0.42410061,0.60177622,0.47465706,0.49091779,0.46695177,0.69260403,0.54067098,0.63451523,0.40263396,0.80307588,0.73276268,0.57390279,0.51202593,0.6402239,0.61820595,0.63199232,0.48973787,0.63502426
56,2,0.46629984,0.4620281,0.59289829,0.65604676,0.47716136,0.50435831,0.60276316,0.61605982,0.57714077,0.50937785,0.44958367,0.66018041,0.58476698,0.77809712,0.35096416,0.62512148,0.44283601,0.60447808,0.47933498,0.49649786,0.47015254,0.71179291,0.54063056,0.64976458,0.40480755,0.80836949,0.74003252,0.58159333,0.50858274,0.6547774,0.62757952,0.63900495,0.50824572,0.63099838
57,0,0.46473931,0.45806452,0.60107271,0.63800115,0.48129773,0.49391691,0.60246491,0.61439821,0.57415026,0.51943875,0.45025704,0.66544876,0.55615102,0.80277982,0.35963253,0.61940068,0.46252141,0.60426543,0.48541627,0.50310523,0.47260383,0.72124512,0.53827001,0.65515518,0.40626415,0.8084852,0.74614671,0.58297383,0.5041803,0.66174173,0.63335886,0.64365542,0.52253349,0.63019831
57,1,0.46315172,0.4546111,0.60782678,0.63072364,0.4851836,0.47997033,0.59815789,0.61382026,0.57094821,0.52483208,0.44773007,0.66416768,0.55626163,0.8221397,0.36517191,0.61126491,0.4771453,0.60272687,0.49352045,0.51090332,0.47521383,0.72712126,0.53450283,0.65618334,0.40669434,0.80700993,0.74988242,0.5812482,0.49873783,0.66271804,0.63675907,0.64742747,0.53044793,0.63172185
57,2,0.46183475,0.45258614,0.61467024,0.61162427,0.48993707,0.465523,0.59078947,0.61415258,0.56888403,0.52782047,0.44056187,0.65647362,0.58536021,0.84003955,0.37101146,0.59940362,0.48725276,0.60008756,0.50127062,0.51998552,0.47912001,0.72770644,0.52826192,0.65156145,0.40535094,0.80397262,0.75150839,0.57635893,0.49236641,0.66115595,0.63751468,0.65102237,0.5355682,0.6383522
58,0,0.46033736,0.45184836,0.62161303,0.59699514,0.49648072,0.45179896,0.5814386,0.61396474,0.56993435,0.52715164,0.43028745,0.64364008,0.63390478,0.85152442,0.37396762,0.58753497,0.49547578,0.5957158,0.51594918,0.53552334,0.48248832,0.72424415,0.51970897,0.64117421,0.40170566,0.79973966,0.74988242,0.5711763,0.4878428,0.65568862,0.63373666,0.65452868,0.53538816,0.64906801
58,1,0.4593361,0.45213876,0.63162495,0.58489339,0.50361092,0.44439911,0.57189474,0.61127727,0.57687819,0.52511669,0.42146839,0.6255382,0.67030315,0.85956038,0.37387666,0.57769842,0.5003582,0.58882982,0.52966686,0.55092106,0.48619169,0.72153771,0.51210994,0.62538676,0.39738868,0.79513065,0.74714111,0.56442911,0.48528818,0.64964202,0.62653801,0.6580719,0.52954054,0.66085624
58,2,0.45907451,0.4531277,0.64451728,0.57248703,0.51396102,0.44279488,0.56657018,0.60437798,0.5881984,0.52387864,0.41169358,0.60635992,0.68263034,0.86051458,0.37141168,0.56816375,0.50223485,0.57799112,0.54229724,0.56710093,0.48903095,0.72211476,0.50367825,0.60902277,0.39326792,0.78906566,0.7414838,0.5577912,0.48456117,0.64452617,0.61491806,0.66228685,0.52397379,0.67592987
59,0,0.45966985,0.45411663,0.66461065,0.55779205,0.52787316,0.44878524,0.56096491,0.59292732,0.60502553,0.5252163,0.40102093,0.58770467,0.68825097,0.85662881,0.36589049,0.55881314,0.50144837,0.56139846,0.55830331,0.5837711,0.49157923,0.72738134,0.49125303,0.59000673,0.38938868,0.78336708,0.73417364,0.55070463,0.48441981,0.64023041,0.59995916,0.67024433,0.51398531,0.69478253
59,1,0.46033736,0.45475237,0.68494239,0.55267144,0.53822936,0.46076595,0.55461404,0.5765713,0.62306346,0.53164845,0.3904062,0.5719527,0.68576743,0.85134048,0.36097872,0.55139155,0.49819343,0.53855776,0.57078197,0.59904041,0.4934221,0.73468791,0.48057397,0.57325838,0.38697358,0.77883521,0.72507626,0.54350302,0.48346056,0.63743817,0.58416297,0.68012106,0.5057756,0.71435016
59,2,0.46051777,0.4546268,0.71434247,0.54013337,0.55533085,0.48532085,0.54567544,0.55384338,0.64777535,0.54188012,0.38197089,0.55986204,0.67661757,0.84602915,0.35755867,0.54343248,0.49232207,0.50824317,0.5814274,0.61189325,0.49535314,0.74474155,0.46787389,0.55470356,0.3862717,0.7746119,0.71318382,0.53356342,0.48032029,0.63129393,0.56925512,0.69563003,0.49834366,0.73210486
60,0,0.46053581,0.45429715,0.74035558,0.52673911,0.56518605,0.49781157,0.53712281,0.52787892,0.66474836,0.55629554,0.37490406,0.55429806,0.65645769,0.83992458,0.35658541,0.53707849,0.484247,0.48066796,0.58925343,0.61980808,0.49665814,0.75614434,0.45552142,0.54109734,0.38680755,0.77366696,0.7014795,0.52781708,0.47618038,0.62964072,0.56109665,0.71206171,0.49227279,0.7487616
60,1,0.46111312,0.45378699,0.77066945,0.51444801,0.57949533,0.52386869,0.52485088,0.49271782,0.68420861,0.58141223,0.36887988,0.55296392,0.61097984,0.83592385,0.35886847,0.52886909,0.47192805,0.43845144,0.59432328,0.62608858,0.4984922,0.76687256,0.44225546,0.53137311,0.38864906,0.77300164,0.68335192,0.51964912,0.47063694,0.61727415,0.55717568,0.72678084,0.48806712,0.75968168
60,2,0.46176258,0.45198179,0.79063369,0.50515354,0.60389809,0.5582066,0.50426316,0.45117758,0.70175784,0.62070241,0.35675911,0.55951334,0.53625258,0.83056654,0.36671821,0.51587395,0.44592743,0.38445806,0.59758518,0.63001097,0.50090821,0.77803966,0.4309135,0.53149803,0.39178868,0.77166136,0.66561404,0.5115962,0.46382124,0.59161677,0.56888753,0.750203,0.48999712,0.77226998
61,0,0.46131156,0.45093007,0.80705205,0.50311188,0.61996701,0.6,0.4747807,0.39610605,0.71573304,0.6412796,0.34607197,0.58218617,0.49681766,0.82073715,0.37542296,0.502842,0.42294814,0.32498593,0.59178203,0.62368378,0.50282162,0.78221717,0.42430881,0.54034784,0.3949434,0.76675345,0.65089966,0.50462468,0.4571469,0.55280526,0.60558534,0.76393297,0.5009794,0.77712146
61,1,0.46068916,0.45087513,0.81225665,0.50469252,0.63096475,0.62140208,0.45752632,0.352608,0.71926331,0.64539219,0.33750634,0.59910552,0.49867779,0.8120229,0.38058032,0.4921072,0.41603333,0.30772406,0.5862191,0.61764843,0.5037651,0.78357445,0.42261116,0.5478428,0.39558491,0.76381255,0.65315721,0.4988841,0.4537138,0.54762432,0.62098331,0.7769986,0.51410053,0.77853434
61,2,0.46011185,0.45235068,0.81834525,0.50558163,0.64642268,0.63698071,0.44867544,0.32604392,0.72068563,0.63896004,0.33456665,0.61326562,0.51037152,0.80406741,0.38553757,0.48623178,0.41751285,0.30870599,0.58461344,0.61678457,0.50381801,0.78214402,0.4247696,0.55659652,0.39515472,0.76158519,0.66046737,0.495174,0.45131063,0.54062744,0.62434268,0.79205728,0.53230592,0.77690016
62,0,0.45984124,0.45508987,0.82156337,0.5061085,0.65699273,0.64411165,0.44438596,0.30796128,0.71766594,0.62810223,0.33834625,0.63206489,0.521834,0.7993654,0.38855739,0.4857532,0.42389815,0.31873163,0.57465074,0.607644,0.50321841,0.78027471,0.4312692,0.56574421,0.3944,0.76095844,0.67156698,0.49431694,0.45017973,0.53235486,0.6372492,0.80180114,0.54963272,0.77351264
62,1,0.45993145,0.45691861,0.8249702,0.50544167,0.66560763,0.65664874,0.44759649,0.29579541,0.71247265,0.61634791,0.34518862,0.65597332,0.53065205,0.79695116,0.38868474,0.49006774,0.43696465,0.33823879,0.56965674,0.59946067,0.50263645,0.77999837,0.44449475,0.57774575,0.39422642,0.76218301,0.68446726,0.49656025,0.4506846,0.53351992,0.64633686,0.81272606,0.56706755,0.76903566
62,2,0.4599134,0.45955576,0.82861542,0.50373755,0.67617767,0.66373331,0.46021053,0.29169918,0.70549964,0.60398167,0.35895301,0.69125985,0.54330099,0.79561758,0.38653811,0.50022088,0.44971967,0.36242417,0.55958025,0.58811375,0.5026629,0.78282672,0.46090542,0.59233208,0.39526792,0.76550959,0.70165419,0.50275525,0.45226988,0.53916298,0.65162608,0.8240939,0.59259686,0.76287344
63,0,0.45927296,0.46107841,0.83602503,0.50171236,0.6836317,0.6664503,0.47712281,0.29544863,0.69851204,0.59706569,0.36928535,0.71736659,0.5544216,0.79478985,0.38245407,0.51054337,0.45916524,0.38674088,0.54992098,0.57701198,0.50332422,0.78893043,0.47552142,0.61009897,0.39780377,0.77253881,0.71654326,0.50953121,0.453734,0.55531112,0.65434217,0.83597845,0.6134452,0.75514512
63,1,0.45736064,0.46132172,0.84319627,0.49954721,0.68998595,0.66714577,0.50007018,0.30507152,0.69269147,0.5957138,0.38307871,0.74692996,0.56541149,0.7943185,0.37617792,0.52530555,0.4664071,0.41065733,0.53831468,0.56421751,0.50417071,0.79631827,0.49130154,0.63030652,0.40129057,0.77869058,0.73549055,0.520696,0.45478412,0.56669487,0.65681319,0.84734628,0.63212588,0.74562942
63,2,0.45450117,0.4596264,0.85005959,0.49687166,0.69377406,0.66484607,0.5205,0.3212686,0.68830051,0.60089367,0.39392513,0.77781989,0.57411895,0.79414605,0.3707113,0.53935356,0.46931163,0.43235349,0.52603831,0.54900656,0.50472621,0.80603869,0.50345998,0.65357932,0.4058566,0.7919487,0.75746133,0.53423641,0.455602,0.58570685,0.66047889,0.8608548,0.64418119,0.7361818
64,0,0.45203861,0.45641629,0.85498609,0.49555446,0.69407955,0.65838279,0.54285088,0.33676492,0.68332604,0.61143841,0.40026066,0.80412371,0.58405309,0.79391612,0.36428961,0.5529598,0.4679022,0.45017199,0.51415387,0.53490463,0.50459395,0.8163199,0.51790622,0.67376766,0.41097358,0.80497541,0.77119475,0.54691976,0.45648047,0.60215439,0.66562516,0.8699343,0.65226847,0.72614691
64,1,0.45021649,0.45092222,0.85631704,0.49600724,0.69084133,0.64432493,0.56738596,0.35601069,0.67666667,0.62512807,0.40118746,0.82049727,0.58834649,0.79143291,0.35668546,0.56625681,0.46112755,0.46403152,0.50118212,0.5209778,0.50398554,0.83054291,0.53008892,0.69435957,0.41531321,0.82287147,0.78178373,0.56589589,0.45735894,0.61471622,0.67295655,0.87775891,0.65617168,0.71466508
64,2,0.44956702,0.44363865,0.8492948,0.50207459,0.68112666,0.62391506,0.5944386,0.37792227,0.6705981,0.64402607,0.39887047,0.83391449,0.5947514,0.78317852,0.34744406,0.5763216,0.45728858,0.47866033,0.48774259,0.50493801,0.50255709,0.84110858,0.54462409,0.71189584,0.4204,0.8393019,0.79270866,0.59378775,0.45783352,0.62593726,0.67906264,0.87967816,0.65560997,0.69994893
65,0,0.44795237,0.4391649,0.83303536,0.51150901,0.67122869,0.59694918,0.61257895,0.39385927,0.65990518,0.64934825,0.393831,0.83793208,0.6020914,0.77149821,0.33831181,0.57897953,0.45807507,0.48433298,0.47794424,0.49266886,0.50122564,0.84655397,0.55009701,0.71842029,0.42278491,0.84406518,0.79434807,0.61547311,0.45640979,0.62408878,0.68316741,0.87428951,0.65371597,0.69084177
65,1,0.44616634,0.43537399,0.81080652,0.52678851,0.66016985,0.57107752,0.62112281,0.40632857,0.64781182,0.64997439,0.3871262,0.83429351,0.60933085,0.74950566,0.3308441,0.57696216,0.46099517,0.4831259,0.47110437,0.48510425,0.49936514,0.84728544,0.55176233,0.71664264,0.42243774,0.84460515,0.79272209,0.63054357,0.45234056,0.62280656,0.68439271,0.86174061,0.65180037,0.68073027
65,2,0.44304528,0.43135547,0.78456496,0.53515271,0.64495631,0.53703635,0.62238596,0.41526514,0.63443472,0.64570526,0.37811889,0.82731959,0.61394601,0.72439759,0.32256685,0.57117508,0.4655116,0.47536431,0.46403692,0.47668745,0.49739882,0.84257152,0.54982215,0.71016623,0.42003774,0.84120143,0.79016891,0.63825137,0.44604992,0.61583572,0.6821259,0.84564848,0.65028086,0.67209124
66,0,0.43842684,0.42917353,0.75513508,0.55113197,0.62772652,0.50932864,0.61907018,0.41911573,0.62017505,0.64002732,0.36470205,0.81503942,0.61512242,0.6990596,0.31609969,0.56354734,0.46833048,0.46235537,0.46063594,0.4725666,0.49569703,0.83541938,0.54540016,0.69969251,0.41609057,0.83531,0.78824731,0.64279551,0.43810332,0.60361885,0.67844999,0.8249797,0.65059772,0.66700145
66,1,0.4317247,0.42807472,0.72137465,0.56469087,0.6116576,0.48518175,0.61169298,0.41934692,0.60913202,0.63457707,0.35289262,0.79919648,0.61474033,0.6772165,0.31354375,0.55581652,0.4694518,0.43906436,0.45933371,0.47073381,0.49466537,0.82452861,0.53874697,0.68750841,0.41197736,0.82742262,0.78808606,0.64210526,0.43205501,0.59110258,0.67495788,0.80586108,0.65293101,0.66486509
66,2,0.42173011,0.42837297,0.69035558,0.58118877,0.59061526,0.46132233,0.60071053,0.41622598,0.6015609,0.63119023,0.33866483,0.78039721,0.61246795,0.65422377,0.31375296,0.54695185,0.46648497,0.41158296,0.45943486,0.47062875,0.49358963,0.81186606,0.52726758,0.67732296,0.40826415,0.82058625,0.78990016,0.63813632,0.42817763,0.57533845,0.6736611,0.7839374,0.65555235,0.66564814
67,0,0.41059895,0.42971509,0.65971395,0.59408908,0.57058716,0.44499258,0.58547368,0.41110389,0.59696572,0.63181637,0.32772428,0.7628866,0.60898899,0.63919801,0.31618155,0.54089972,0.46030213,0.38086184,0.46045894,0.47148094,0.4926726,0.79934168,0.5156831,0.66672432,0.40516226,0.81506123,0.79410619,0.63175151,0.42916717,0.55413955,0.67543779,0.76312099,0.65838975,0.66886544
67,1,0.39976547,0.43211679,0.63609456,0.6035976,0.55008248,0.43592359,0.56575439,0.40460194,0.59575492,0.63619934,0.31978133,0.74245755,0.60370017,0.62855238,0.32024741,0.53567221,0.45302134,0.35784602,0.46147038,0.47236814,0.49140287,0.78709363,0.50354082,0.65480926,0.40237736,0.81188892,0.79927973,0.62444636,0.43558908,0.53867482,0.67998162,0.74496198,0.65966441,0.67471274
67,2,0.3916381,0.43445569,0.61751093,0.60659422,0.53076312,0.43509829,0.5464386,0.39828782,0.59644785,0.64169228,0.31488668,0.72117192,0.59565633,0.62291916,0.32349463,0.5321234,0.44530447,0.34170993,0.46234275,0.47295183,0.49077683,0.77410598,0.49163298,0.63759008,0.39868679,0.81027866,0.80571644,0.61662353,0.44830163,0.52434262,0.68632256,0.72721636,0.6586706,0.68065367
68,0,0.38807505,0.43616671,0.59990068,0.60127604,0.510289,0.44193249,0.52477193,0.39424939,0.59797228,0.64708561,0.31579176,0.70336568,0.58745161,0.62101076,0.32604148,0.53091592,0.44011057,0.33608106,0.46234275,0.47281175,0.49122652,0.75932217,0.4798464,0.61697896,0.39442264,0.80874554,0.81109155,0.61058384,0.46573973,0.51476178,0.69071323,0.71230531,0.65573239,0.68747127
68,1,0.3910608,0.43691233,0.58620381,0.59301885,0.4910735,0.46241654,0.50278947,0.39258055,0.59893508,0.64815289,0.32130186,0.68433141,0.57770851,0.62539088,0.3268692,0.53270505,0.43680112,0.34373632,0.46140717,0.47174943,0.49341328,0.74409135,0.46789006,0.5895455,0.38873962,0.80554431,0.81648011,0.60437158,0.48939779,0.51226243,0.69118293,0.69960877,0.64942388,0.69364201
68,2,0.40095616,0.43750098,0.57098729,0.56885651,0.46634692,0.49115356,0.48034211,0.39611328,0.59840992,0.64044,0.33558758,0.66437993,0.56617566,0.6341626,0.32670548,0.53729937,0.43517365,0.37226843,0.45958657,0.46986995,0.49858037,0.73044538,0.45476152,0.54769866,0.38012075,0.79718446,0.82315869,0.59545585,0.52079042,0.51950664,0.68652678,0.68504466,0.64050122,0.69770193
69,0,0.42368753,0.43792481,0.55923719,0.53968058,0.44886051,0.51244436,0.45567544,0.40973125,0.59588621,0.62159893,0.35636087,0.64966646,0.56264642,0.65847742,0.32597781,0.54266676,0.43431708,0.41638627,0.45842341,0.46853914,0.5034124,0.71325585,0.44349232,0.51542231,0.37006038,0.77908591,0.82935351,0.58423929,0.53917767,0.5391044,0.66821872,0.67132945,0.6273873,0.69950634
69,1,0.43805701,0.43818382,0.54596742,0.51836667,0.43319484,0.5303227,0.43381579,0.42815345,0.59141503,0.60315631,0.37393382,0.63484688,0.57100196,0.68025154,0.32586866,0.54969077,0.43226912,0.45124148,0.4570074,0.46731339,0.5073803,0.69921977,0.43898141,0.48557702,0.36499623,0.77703211,0.82681377,0.57123957,0.55448524,0.54468237,0.64974728,0.65953348,0.61247299,0.69754873
69,2,0.45001804,0.43853701,0.53336313,0.5070964,0.42112177,0.54184904,0.41865789,0.44983384,0.58426696,0.58583789,0.3878575,0.62582626,0.58392238,0.69888715,0.32670548,0.55759093,0.42841458,0.47443868,0.45622353,0.46674138,0.51029892,0.68866222,0.43884398,0.46704141,0.36119245,0.76846977,0.81791795,0.55688237,0.5659962,0.56151393,0.64392709,0.64764154,0.5966225,0.69245042
70,0,0.46000361,0.43950239,0.52560588,0.49887215,0.4162461,0.55031528,0.40642982,0.47236671,0.57767323,0.57105248,0.39795091,0.62180109,0.59569655,0.71618918,0.33007095,0.5681932,0.42617194,0.49397711,0.45551552,0.46639117,0.51221233,0.68118498,0.44318513,0.45533775,0.3596,0.75935782,0.80738272,0.54587288,0.57506361,0.57759698,0.62440394,0.63627371,0.58106726,0.68503702
70,1,0.46556919,0.44044424,0.52353993,0.49679756,0.41742531,0.55461795,0.40064035,0.4970958,0.57010212,0.56365266,0.40120194,0.61991358,0.6070283,0.7307091,0.33390031,0.57925195,0.42704407,0.51085746,0.45526266,0.46644953,0.51380831,0.675,0.45071948,0.45273374,0.36050566,0.75293607,0.79934692,0.53727926,0.58093017,0.59161677,0.6112932,0.62703182,0.56434538,0.67564899
70,2,0.46804077,0.44228083,0.52719507,0.49956368,0.4259791,0.55520215,0.4017807,0.52332755,0.56680525,0.56116234,0.40123814,0.62088387,0.6124579,0.74601076,0.33812989,0.59308644,0.43100763,0.52526112,0.4550098,0.46653125,0.5149105,0.6710907,0.46036378,0.4601326,0.36376604,0.74773889,0.78577476,0.5340581,0.58455511,0.60494012,0.60034717,0.62012992,0.55549474,0.66931654
71,0,0.46855493,0.44442351,0.53777314,0.50941796,0.43630476,0.55257789,0.40888596,0.54800607,0.56715536,0.56393727,0.39867497,0.62274106,0.62454376,0.75650694,0.34373295,0.60885731,0.43622489,0.54017762,0.45470637,0.4665079,0.51620668,0.66970091,0.47200485,0.47515134,0.36942642,0.74675538,0.77632799,0.5350417,0.58567592,0.62028769,0.59583397,0.61616594,0.54544865,0.66155417
71,1,0.46859102,0.44669178,0.55173818,0.5181444,0.45049184,0.54658754,0.42183333,0.57019939,0.5722903,0.57156478,0.39409891,0.6232262,0.63387462,0.76334728,0.34898126,0.62406126,0.44318642,0.55088498,0.45450408,0.46656627,0.51790847,0.67259428,0.4858367,0.49639666,0.37743396,0.74970591,0.76616902,0.53882082,0.58392908,0.63274538,0.59536427,0.61625452,0.54004033,0.65750277
71,2,0.46937579,0.44791618,0.57437426,0.53215609,0.4684426,0.54027263,0.43666667,0.58824592,0.58086798,0.58112762,0.38876258,0.62047453,0.64208939,0.76686517,0.35329271,0.63652628,0.45021025,0.55508787,0.45457994,0.46683477,0.52017459,0.67834038,0.49921584,0.51955415,0.38442264,0.75633979,0.75639975,0.54537245,0.57912274,0.64826868,0.59717159,0.61984941,0.53927697,0.65635373
72,0,0.47264117,0.44750804,0.5939114,0.55257265,0.49018757,0.53143546,0.44835088,0.6009464,0.59124726,0.59406307,0.38192021,0.61456186,0.65046503,0.76620988,0.35823176,0.64699602,0.45416602,0.55591969,0.45516151,0.46767528,0.52388678,0.68775195,0.51527082,0.54367253,0.39310189,0.7654421,0.74957335,0.55349439,0.57012601,0.65451705,0.59930566,0.6258286,0.54272649,0.65704315
72,1,0.47791809,0.44395259,0.61908025,0.57424055,0.51370441,0.51905601,0.46285088,0.60817078,0.60304158,0.60382514,0.37714141,0.60383566,0.65634709,0.76084107,0.3627706,0.65117803,0.45975705,0.55393708,0.45599595,0.46851579,0.52813685,0.70304779,0.53148747,0.56504276,0.40049057,0.77999229,0.74849833,0.5602761,0.55836262,0.66766467,0.59897891,0.63138702,0.55059052,0.66106052
72,2,0.48419628,0.43964367,0.64198451,0.59843583,0.54865889,0.49728301,0.4815,0.60812021,0.61295405,0.60325592,0.37173992,0.58439964,0.6482932,0.74913777,0.36830999,0.65201738,0.46004516,0.55083495,0.45729819,0.47024352,0.53469712,0.71476756,0.549135,0.58451043,0.40673208,0.80053997,0.75560692,0.57085418,0.53809726,0.67957563,0.59483331,0.63753599,0.56613856,0.66745255
73,0,0.48727224,0.43319206,0.6518673,0.61811147,0.56742836,0.48041543,0.49188596,0.60458749,0.61832969,0.59057662,0.36846716,0.56531989,0.59164446,0.72506438,0.37302165,0.64639965,0.45419717,0.5509788,0.45959922,0.47281175,0.54153073,0.72967328,0.56073565,0.59287018,0.41006038,0.81396201,0.76858782,0.57526603,0.51842764,0.68842749,0.58807372,0.63944047,0.5769264,0.67249128
73,1,0.48807505,0.4246213,0.65810489,0.63145633,0.5901448,0.45528561,0.49646491,0.59966768,0.62026988,0.57664504,0.36629498,0.53733323,0.53720778,0.7009565,0.37662361,0.63567221,0.44232207,0.55580086,0.46274733,0.47690925,0.54986333,0.74601756,0.57246564,0.59620448,0.41192453,0.82232186,0.77792709,0.5768191,0.49635486,0.69304869,0.5801501,0.63782387,0.5918047,0.67713848
73,2,0.48611763,0.41698454,0.65916766,0.64686754,0.61159651,0.43396699,0.49713158,0.59543419,0.61980306,0.55954007,0.36559264,0.51506974,0.47882962,0.6822864,0.37811534,0.62128552,0.43060271,0.56504472,0.46609773,0.48030632,0.5566264,0.76089077,0.58372676,0.59540694,0.41169811,0.82978498,0.78507599,0.57768191,0.47551395,0.69545691,0.57287997,0.63129106,0.60630131,0.68113031
