,measure_number,beat_number,pid1263b-02,pid52932-17,pid610003b-06,pid9048b-06,pid9050b-02,pid9054b-02,pid9055b-02,pid9058b-02,pid9059b-06,pid9060-31,pid9063b-06,pid9064-13,pid9065-20,pid9066b-02,pid9069-02,pid9072b-06,pid9073b-06,pid9075b-02,pid9085-04,pid9088-18,pid9090-15,pid9093b-08,pid9094b-02,pid9097-20,pid9098-16,pid9099b-06,pid9101b-13,pid9104b-02,pid9111b-04,pid9118b-06,pid9121-10,pid9134-08,pid9138b-02,pid9139b-02,pid9153b-02,pid915406-14,pid9166j-02,pid9170b-02,pid9174b-02,pid9192b-02
199,67,1,0.51352601,0.49301000000000006,0.70750336,0.43192764,0.63248637,0.53386342,0.68576053,0.68122862,0.65568249,0.40546172,0.91056171,0.54065016,0.80912451,0.95384874,0.57699619,0.61029761,0.57810804,0.59781022,0.69787651,0.36321592,0.33221671,0.64971784,0.35362709,0.60121856,0.45925091,0.74741791,0.44504912,0.89729368,0.50337949,0.58947289,0.45171179999999994,0.76467108,0.51962426,0.49317,0.64569013,0.83667285,0.79573259,0.73481271,0.83344566,0.49907199
200,67,2,0.43128131,0.4403794,0.66705836,0.40276102,0.57113775,0.49652546,0.51117516,0.64159256,0.53838739,0.40648702,0.87266798,0.46160393,0.73703453,0.92105384,0.49687027,0.50221624,0.49501072,0.4523142,0.46766833,0.32530003,0.34017975,0.6216871,0.34312103,0.42417995,0.48982191,0.60088373,0.26168451,0.77926528,0.39460106,0.43713771,0.41351254,0.67723039,0.50943569,0.393345,0.56873628,0.78076685,0.72025686,0.53122857,0.70155746,0.37167724
201,68,0,0.3438632,0.41560602,0.60625817,0.3590562,0.49432004,0.47596552,0.29301139,0.57705568,0.42337481,0.40696681,0.80896405,0.41546423,0.58466796,0.7870318000000001,0.45340517,0.38936995,0.40548159,0.32782847,0.37934232,0.34398478,0.36824209999999996,0.58086204,0.38278815,0.25745661,0.56441222,0.45493726,0.21383155,0.58978185,0.30300033,0.43811383,0.41184562,0.56366046,0.5152899000000001,0.31664757,0.45436732,0.62987013,0.62909619,0.41927929,0.5400272,0.32366172
202,68,1,0.35456647,0.38578638,0.53660709,0.33198741,0.42475307,0.48483897,0.24460143,0.52689834,0.37297094,0.40696681,0.74003994,0.45605306,0.45170820000000006,0.72018888,0.46611779999999997,0.30072819,0.33804028,0.29178832,0.40731865,0.4269197,0.40277167,0.54274178,0.48770444,0.22828197,0.63766749,0.43333370000000004,0.24858152,0.44313645,0.31190241,0.51423637,0.43387693,0.50340225,0.54379398,0.29696962,0.37359706,0.51281385,0.52336179,0.41499644,0.483684,0.34237928
203,68,2,0.39785164,0.36836744,0.50217008,0.32875044,0.38270628,0.50383536,0.28285215,0.48296621,0.38328661,0.40744003,0.66421457,0.51769532,0.40094583,0.67856106,0.51796114,0.26063796,0.31355708,0.32359821,0.48064059,0.47107035,0.45176293,0.51973147,0.58860881,0.24887708,0.71001641,0.44496806,0.29898444,0.39638815,0.34094955,0.60864995,0.45568676,0.51796978,0.57510554,0.29914767,0.35196052,0.40773036,0.47458677,0.4872485,0.49207789,0.38407172
204,69,0,0.44939306,0.36568545,0.45857893,0.33676957,0.34784740000000003,0.53885474,0.33051788,0.46223834,0.42627783,0.41229049999999995,0.61480611,0.56470904,0.37973745,0.66691627,0.6008354,0.27169543,0.30695323,0.40243862,0.57473899,0.53684262,0.48563258,0.50606149,0.62624591,0.30082182,0.75134116,0.47370025,0.34893476,0.3828051,0.39485658,0.70279321,0.49333815,0.57157734,0.61614833,0.32218711,0.37116564,0.34115028,0.46403043,0.57666429,0.54387491,0.43739317
205,69,1,0.48225434,0.37682459999999995,0.43502075,0.36081567,0.33281812,0.57507684,0.38810659999999997,0.47364893,0.47326899,0.41729215,0.60997775,0.5917657,0.39686577,0.66645781,0.67748653,0.30342726,0.31173076,0.48534340000000004,0.67267177,0.60070251,0.51853435,0.50643121,0.64459303,0.35765498,0.74908752,0.51348998,0.38537366,0.43178638,0.44385097,0.79259649,0.52178069,0.63887673,0.66374894,0.34807186,0.40750354,0.32310451,0.47066554,0.69903604,0.61194505,0.51058564
206,69,2,0.53097303,0.41907298,0.44654398,0.3997045,0.36102943,0.60491113,0.48688749,0.52684362,0.51780036,0.42152481,0.66718489,0.60512152,0.44622395,0.67143971,0.75144985,0.34290011,0.34275165,0.56710352,0.74965095,0.64883403,0.56036076,0.54234287,0.64949009,0.43569253,0.72099062,0.58940174,0.42293851,0.50988887,0.48395153,0.85957351,0.54150396,0.71170254,0.71010414,0.39329464,0.4624823,0.36781694,0.49088073,0.82797438,0.68331148,0.61597022
207,70,0,0.58252408,0.44839735,0.49220097,0.4616018,0.41704994,0.62704798,0.54622454,0.58377343,0.5527141,0.42278015,0.74252996,0.60286744,0.5014108,0.67927931,0.79329257,0.37730727,0.38494217,0.62295123,0.80885448,0.69821446,0.58597825,0.60078809,0.66320954,0.50704924,0.69944639,0.67334545,0.44747765,0.56240996,0.51457303,0.87986184,0.5382284,0.76270665,0.74430059,0.46238779,0.52127747,0.43152752,0.51324351,0.91376076,0.74385776,0.67864521
208,70,1,0.63773603,0.47597421,0.53317666,0.51025794,0.46770464,0.64209542,0.60429759,0.61271036,0.57539529,0.41805455,0.7956924,0.58961129,0.54585436,0.68892217,0.80136812,0.40459079,0.4167174,0.65955541,0.86968346,0.72143624,0.59848532,0.66666667,0.69393881,0.56475381,0.70704015,0.7249981,0.45584502,0.62339988,0.53175898,0.89020874,0.51898306,0.78715549,0.76716859,0.52957988,0.55598416,0.51076067,0.52107529,0.96778159,0.79163552,0.72666072
209,70,2,0.67953757,0.50429866,0.55432784,0.54170285,0.49296288,0.64989977,0.66526485,0.62246545,0.57563905,0.41208676,0.82130037,0.56097524,0.5790645000000001,0.69951251,0.77953871,0.42193288,0.43528493,0.67312541,0.90116073,0.71665528,0.59681353,0.72204709,0.72518761,0.60376904,0.73462264,0.74909396,0.44565625,0.65340605,0.53474283,0.87011563,0.49333815,0.78787735,0.78307064,0.60262624,0.57507643,0.58706246,0.51687626,0.97593323,0.81678042,0.73457768
210,71,0,0.68926782,0.51354079,0.55038569,0.54710533,0.49185705,0.65762395,0.67842461,0.60723765,0.53360074,0.40834045,0.81463926,0.52670398,0.59143716,0.70579336,0.73451177,0.42410163,0.43249252,0.62846715,0.87404922,0.66064006,0.57910879,0.73758513,0.76390225,0.62039674,0.74672366,0.7427054,0.41995805,0.66596007,0.52854435,0.8380837999999999,0.47354494,0.74050625,0.78630735,0.66427879,0.5723475,0.63073593,0.50947186,0.93200492,0.81986839,0.7085933000000001
211,71,1,0.64674374,0.52234371,0.52872278,0.50482163,0.47026816,0.68488574,0.64513538,0.55684772,0.45883148,0.38613868,0.78644016,0.48125431,0.57363324,0.72176292,0.6576185,0.40740066,0.41166195,0.47728102,0.74675433,0.55162455,0.52525925,0.72637673,0.83193188,0.59047821,0.66912035,0.69708216,0.36895905,0.65630788,0.51046818,0.74458627,0.46139858,0.65365727,0.77188292,0.65279684,0.54675093,0.62826221,0.49103031,0.79491493,0.77243374,0.57798983
212,71,2,0.59936416,0.51539108,0.50105187,0.46531248,0.43528362,0.70366163,0.56780702,0.5177042000000001,0.4187322,0.37816628,0.75117549,0.47242199,0.50032455,0.7460611,0.62593377,0.38025962,0.38707287,0.35457863,0.6348385999999999,0.50221485,0.49167243,0.6914964,0.83750241,0.52633369,0.60904392,0.63948717,0.33116238,0.6211772,0.48665513,0.69846824,0.48437409,0.60062956,0.75049254,0.57322892,0.52077477,0.5788992,0.47752503,0.65316685,0.71676449,0.47380066
213,72,0,0.54846821,0.49981309999999995,0.47366526,0.41895717,0.39778582,0.70519845,0.51386854,0.47596114,0.41042205,0.37361157,0.70732848,0.48328605,0.4248566,0.76716537,0.60621103,0.34616907,0.35319340000000005,0.31231752,0.54077146,0.47927603,0.46017849,0.65052539,0.80218395,0.44096351,0.55923132,0.58499396,0.30083894,0.58948343,0.47082921,0.68083796,0.50564771,0.56331728,0.7435265999999999,0.48915384,0.49911771,0.5195671,0.47099676,0.5897975000000001,0.67473379,0.40722487
214,72,1,0.51732177,0.48942155,0.43852700000000006,0.39442609,0.351944,0.69330482,0.44909748,0.45792858,0.44255465,0.36358856,0.64967895,0.51910603,0.36354966,0.77077189,0.61991646,0.32244736,0.32227839,0.33370106,0.48935128,0.4851205,0.41504619,0.5819711999999999,0.78232634,0.38621325,0.51805355,0.56668807,0.29955845,0.540142,0.47433234,0.69328728,0.54473288,0.57537602,0.73374613,0.39101588,0.48910479,0.44453309,0.46900943,0.56704406,0.65942873,0.39055209
215,72,2,0.53694605,0.49560789,0.41781172,0.39178688,0.32845761,0.65479754,0.41631621,0.46626077,0.49929641,0.37539928,0.62623237,0.57269033,0.34749434,0.76328377,0.65426479,0.31748457,0.31486726,0.38844559,0.5088774,0.51248902,0.38299918,0.53526951,0.74348663,0.38462628,0.52098082,0.59680246,0.32788387,0.53406051,0.49053742,0.73167142,0.58072901,0.61470007,0.73459049,0.34217981,0.49707614,0.39019790000000004,0.47321915,0.61465356,0.67767471,0.43088135
216,73,0,0.59091522,0.50669096,0.43126812,0.40849058,0.34226796,0.62149539,0.42984218,0.50175127,0.56814883,0.39405192,0.63540877,0.61576324,0.37202771,0.75854639,0.70377141,0.33911667,0.32717504,0.47725614,0.57927147,0.55596644,0.37598517,0.51498346,0.70697518,0.42629118,0.56627391,0.65609525,0.37203886,0.54608973,0.50876195,0.77525154,0.60962617,0.68440174,0.74000844,0.35337219,0.53295238,0.36747062,0.49388309,0.68273274,0.70158197,0.49371363
217,73,1,0.64436416,0.51093356,0.48052613,0.4475937,0.40202066,0.60128291,0.48277654,0.55017102,0.63810927,0.39893526,0.68187219,0.67207698,0.41863053,0.77205556,0.75666808,0.40726611,0.37078161,0.58475448,0.70082522,0.61746512,0.3929797,0.52978206,0.66759669,0.49923486,0.62594616,0.72121067,0.42889944,0.59364067,0.53515496,0.83893978,0.62313637,0.75547614,0.75372924,0.41229274,0.60048834,0.39161409999999997,0.52760356,0.77938798,0.73184898,0.5755361
218,73,2,0.69900771,0.50068218,0.54475674,0.51470174,0.48081128,0.58622879,0.58039975,0.60318785,0.69472914,0.40644101,0.74285859,0.72854405,0.48699811,0.80159543,0.79668261,0.51171442,0.43799794,0.67563039,0.79823702,0.67407552,0.42720759,0.57893559,0.64674812,0.57910025,0.68120912,0.77860975,0.48784634,0.66368594,0.55694032,0.8900886,0.62093324,0.82096494,0.77716015,0.48959448,0.68799885,0.45690785,0.59109121,0.84000776,0.75600132,0.63961621
219,74,0,0.7367341,0.49496309,0.59441275,0.59270496,0.55389681,0.57345316,0.64532439,0.64391846,0.7366899,0.41737759,0.7911041999999999,0.77673848,0.56679781,0.84256613,0.81679278,0.62038151,0.49629443,0.76946749,0.87087128,0.70222461,0.45943058,0.62527729,0.63744468,0.63555792,0.70577861,0.84138524,0.53280715,0.72067298,0.56884273,0.92239075,0.60526653,0.86331846,0.8022094,0.57769832,0.76409094,0.5521274,0.64397978,0.87112635,0.7894911,0.66678551
220,74,1,0.79252408,0.48578638,0.64207873,0.68305832,0.60732866,0.56115863,0.6691986,0.67207552,0.76830174,0.43031219,0.82740533,0.81300314,0.65194929,0.88376607,0.81653853,0.7048599,0.54549906,0.86429993,0.91535207,0.70134647,0.47634341,0.67442109,0.63456802,0.66719802,0.70392916,0.87872621,0.5519373000000001,0.79015229,0.57112595,0.94665866,0.57947008,0.8807497999999999,0.81902618,0.64680406,0.82760531,0.65664811,0.68352334,0.87843695,0.82952443,0.66096576
221,74,2,0.83375723,0.45135034,0.68847488,0.75676438,0.65529418,0.54715355,0.66717857,0.67816391,0.77624625,0.43731186,0.85453006,0.82021007,0.71782644,0.91347403,0.79364368,0.75549311,0.57666552,0.93372595,0.90403651,0.67193873,0.47658852,0.71724071,0.64460266,0.66269217,0.67607721,0.8799778,0.52809361,0.84424779,0.55119519,0.93865445,0.54543229,0.86670296,0.82275542,0.6914603,0.87623366,0.75089672,0.73713846,0.84201333,0.88036565,0.62667645
222,75,0,0.84871869,0.42434352,0.72492087,0.78325795,0.68022569,0.53611519,0.6249114,0.67204816,0.76012454,0.42418666,0.86766267,0.78770222,0.75024176,0.93225545,0.74802349,0.76827608,0.57432307,0.9700564,0.82477546,0.62232413,0.45841242,0.73557112,0.66274774,0.61463691,0.63365015,0.82701914,0.45262170000000007,0.86917061,0.50122816,0.89483406,0.50957604,0.81708342,0.8256403,0.69896385,0.88330221,0.81113173,0.78538993,0.76392573,0.89916306,0.55268704
223,75,1,0.83210983,0.38600131,0.72186949,0.75450865,0.64777954,0.54450087,0.52353164,0.64558763,0.70474565,0.38916201,0.8719096,0.65238059,0.75669303,0.91834895,0.66820025,0.74251227,0.52310685,0.97304247,0.58242857,0.53957459,0.41712023,0.72769994,0.66504714,0.48580942,0.54971462,0.69572173,0.28779115,0.84584277,0.42949225,0.73859438,0.45750522,0.72444765,0.84414579,0.60263883,0.84683095,0.81459493,0.83536162,0.61575338,0.84116559,0.41314948
224,75,2,0.8249711,0.37311466,0.68004094,0.68014843,0.58310086,0.551176,0.46446629,0.59779724,0.62306235,0.35275715,0.86258153,0.55422065,0.72447641,0.8711738000000001,0.58156063,0.68631471,0.43664805,0.95056403,0.41585221,0.45400527,0.36658915,0.70293831,0.65518568,0.35096706,0.47339735,0.56367337,0.19021967,0.78944227,0.3641032,0.58076288,0.42924919,0.62749252,0.88143822,0.47376903,0.7489074,0.76011132,0.86260725,0.46519376,0.73154264,0.35623132
225,76,0,0.81920039,0.40461639,0.62104126,0.58997553,0.49761241,0.55238541,0.51703445,0.54612122,0.53457579,0.3374236,0.83701148,0.52577628,0.6451536,0.82662714,0.55913796,0.61728669,0.35427861,0.92327472,0.38237439,0.37939311,0.32906166,0.65158591,0.64010968,0.43650018,0.43669009999999997,0.44013582,0.22932995,0.68393702,0.43173426,0.47235321,0.46442934,0.55718732,0.94145792,0.36086316,0.58349919,0.6816945,0.88140139,0.43454745,0.55981717,0.45356263
226,76,1,0.81122351,0.43582843,0.55313382,0.56766633,0.41898515,0.5836897,0.60785333,0.52055001,0.4758396,0.35244824,0.79348046,0.63297554,0.55521997,0.82062136,0.59845027,0.54651733,0.29782166,0.85749834,0.42777209999999993,0.40983511,0.34615046,0.6103814000000001,0.61551857,0.59662062,0.42240894,0.42214555,0.33930897,0.61346985,0.55257995,0.47257847,0.57569329,0.55311646,0.99240079,0.35198731,0.46143587,0.65701917,0.89672305,0.45519182,0.53035892,0.64395743
227,76,2,0.82849711,0.50394356,0.52116066,0.57705018,0.39543592,0.63699051,0.64032746,0.51617184,0.46587849,0.38154453,0.7737373000000001,0.72333052,0.50855091,0.81759555,0.62762879,0.51902802,0.30000529,0.80610484,0.47810865,0.44955605,0.37332663,0.59722709,0.61569175,0.69630889,0.42880239,0.45782136,0.39153328,0.60694587,0.61591658,0.508695,0.6382319000000001,0.61185993,1.0,0.40798701,0.42626752,0.67223253,0.89828299,0.48951284,0.58202115,0.71666754
228,77,0,0.86238921,0.54776189,0.50459602,0.59346063,0.39238232,0.69350528,0.64414308,0.5255028,0.47746839,0.39257312,0.7475479,0.81806333,0.50052326,0.81191069,0.65966463,0.48407472,0.32341653,0.72564698,0.56211057,0.56959703,0.45895293,0.59923137,0.6329517,0.78483882,0.44297332,0.52225112,0.42349045,0.60856143,0.6476426,0.57772939,0.68139695,0.65947955,0.9986630999999999,0.45937882,0.43405421,0.67680891,0.89212868,0.52623407,0.65551975,0.73025743
229,77,1,0.89321773,0.57546024,0.5100922999999999,0.60073537,0.40895725,0.73760524,0.64960072,0.55241483,0.49498621,0.38302990000000003,0.73987563,0.86659511,0.52040695,0.80902242,0.67540408,0.44085009,0.3520288,0.66384373,0.63987122,0.66524539,0.54522657,0.60678147,0.66588416,0.85611052,0.46128408,0.58931467,0.44339331,0.61501338,0.65501154,0.66325274,0.7045239999999999,0.69027135,0.98473121,0.49390021,0.46719125,0.66722325,0.87774727,0.56578249,0.71003713,0.71097363
230,77,2,0.91182081,0.58280535,0.53050433,0.5979156999999999,0.43638945,0.74508887,0.67527052,0.57478451,0.50891403,0.37330923,0.74318722,0.85693475,0.5550875,0.81010743,0.67952055,0.38885547,0.37941029,0.62105176,0.72385229,0.69726803,0.62818176,0.6129208,0.67665961,0.9235565,0.48464101,0.6514698,0.4600287,0.60242848,0.64278767,0.7021775,0.70855724,0.69776221,0.94926822,0.51692707,0.51452695,0.64390847,0.86297052,0.60734942,0.73838029,0.6924553000000001
231,78,0,0.91258189,0.57403046,0.53425696,0.58102027,0.43873935,0.73840706,0.6877215,0.57914899,0.51335719,0.37522839,0.7370949,0.80640957,0.58951635,0.8201629,0.67530722,0.34657274,0.38245414,0.59682316,0.77736679,0.7071324000000001,0.70014455,0.60930142,0.66880893,0.97201559,0.52216888,0.68418532,0.46802075,0.57374974,0.61830696,0.7281724,0.69322858,0.6837272,0.91190543,0.52410329,0.55271149,0.60687693,0.85436945,0.63004464,0.73678729,0.69007498
232,78,1,0.89901734,0.56283525,0.50942896,0.55836144,0.41534092,0.71996525,0.69795161,0.57857436,0.51610508,0.37897470000000005,0.72660397,0.70065169,0.62995933,0.83865397,0.65839337,0.31910717,0.37139038,0.58480425,0.82532769,0.69611669,0.77719816,0.5880035,0.66158361,1.0,0.58146143,0.69759368,0.46570262,0.53633464,0.57718431,0.72868299,0.65584529,0.64641492,0.8649029,0.54148988,0.59149106,0.5481509,0.84770229,0.65504302,0.71952161,0.64404131
233,78,2,0.88745665,0.5677974,0.50038853,0.55974871,0.41182236,0.69664573,0.71851817,0.59404843,0.52193327,0.39311206,0.73411194,0.60030668,0.67382003,0.84450693,0.6514559,0.31965332,0.37047722,0.59224453,0.81758601,0.68459362,0.80070392,0.57215412,0.66889552,0.9843429,0.61263258,0.68979028,0.46200464,0.5392056,0.56548797,0.70994143,0.62926784,0.61558761,0.84991556,0.55854914,0.60978312,0.52505257,0.85372838,0.66662354,0.70291764,0.59750433
234,79,0,0.87362235,0.58531913,0.50171522,0.57597871,0.42085752,0.67058666,0.75709966,0.64264605,0.53462012,0.40021032,0.75492947,0.54066549,0.74161798,0.84455278,0.64316242,0.33564192,0.37714724,0.61211015,0.78568154,0.65337106,0.82584376,0.56271648,0.6822590000000001,0.9278073,0.6324376,0.67269245,0.46473121,0.56389175,0.56144906,0.67585223,0.61101332,0.58383726,0.85223755,0.57917134,0.6237253,0.53648114,0.8783456000000001,0.69179013,0.68855613,0.5503906
235,79,1,0.85192678,0.62374544,0.52059208,0.59661866,0.4490814,0.64145396,0.83276237,0.71158845,0.56196607,0.37836346,0.79543961,0.51866135,0.79717575,0.84044195,0.63055875,0.37380085,0.39808369,0.65224784,0.72560277,0.58170553,0.82100434,0.57012065,0.71557629,0.85001771,0.63875756,0.65027263,0.46848438,0.64034781,0.57285691,0.62162487,0.617681,0.55723465,0.86708415,0.60268919,0.63991423,0.60985158,0.91672454,0.73740053,0.67219724,0.50976773
236,79,2,0.84634875,0.65993832,0.54930538,0.61337875,0.48714469,0.61247494,0.90636961,0.78823368,0.59456405,0.35482747,0.84484807,0.60506785,0.83736703,0.82494613,0.61836673,0.42265316,0.4284958,0.70189117,0.68831142,0.537028,0.79027088,0.59561199,0.73888782,0.77931279,0.62522353,0.64086937,0.46557015,0.73152912,0.60277778,0.57697853,0.65038992,0.54498657,0.88657473,0.62897682,0.64707512,0.70884354,0.96354428,0.78915702,0.66217359,0.51679337
237,80,0,0.86680154,0.69037473,0.57472092,0.64174458,0.52097313,0.59818255,0.95427161,0.85270215,0.63583783,0.36059809,0.88743111,0.70740627,0.84123515,0.81016856,0.61486773,0.47264524,0.45632725,0.76333776,0.69010357,0.54885355,0.74112249,0.623633,0.76362324,0.7246191999999999,0.59381966,0.65464776,0.48259189999999996,0.80925087,0.64195516,0.55864244,0.69044261,0.58104446,0.90508021,0.66206297,0.64525925,0.80871985,1.0,0.83075629,0.67448871,0.58251979
238,80,1,0.89888247,0.70713017,0.60688361,0.66615161,0.55713891,0.60414941,1.0,0.91202627,0.68906716,0.38597437,0.92986248,0.8281837,0.82157665,0.79615508,0.60713118,0.50519234,0.49243006,0.83336098,0.73658491,0.63042248,0.70617812,0.65276318,0.78489513,0.70576691,0.54112878,0.67486913,0.52829231,0.87520066,0.69347181,0.5893076999999999,0.73361931,0.63126753,0.91654939,0.70216168,0.63613887,0.90377242,0.99091812,0.89331694,0.71394611,0.66020028
239,80,2,0.9199710999999999,0.70260723,0.6383260999999999,0.66813665,0.59356857,0.62206334,0.99961017,0.94929539,0.73746551,0.43955965,0.9588325999999999,0.9145902,0.81123078,0.78628299,0.60972214,0.51395441,0.52924751,0.88088918,0.799081,0.70037077,0.69668783,0.66953687,0.79146623,0.73219979,0.49549274,0.68595932,0.5878353000000001,0.90100844,0.72542038,0.62637033,0.76879947,0.7087204,0.9144385,0.72955721,0.61928309,0.95064935,0.95491116,0.93595135,0.75347703,0.72508782
240,81,0,0.93760116,0.70113074,0.67674317,0.64528608,0.63414512,0.61911666,0.97451921,0.9824463,0.78068941,0.47588564,0.98048435,0.97393238,0.80790579,0.7818054,0.62811308,0.50879373,0.57464069,0.90345056,0.87325734,0.77601717,0.70686946,0.67614322,0.79002309,0.77321998,0.46584034,0.68600285,0.65891379,0.90622556,0.74229311,0.68175402,0.80599625,0.75049407,0.90627639,0.75497614,0.60232472,0.95207174,0.88327118,0.97981497,0.78702807,0.76944372
241,81,1,0.96406551,0.71778338,0.70856471,0.59907741,0.66812436,0.5951156,0.91987195,1.0,0.81675549,0.49838975,0.9885610999999999,1.0,0.80226258,0.78996592,0.6418064,0.50160678,0.62072206,0.90693431,0.94773585,0.85519563,0.72848972,0.67017902,0.7830864000000001,0.82104145,0.46370918,0.65947999,0.75447621,0.88057213,0.74972799,0.74377534,0.84834532,0.78688331,0.89628483,0.7819688,0.5934916,0.90358689,0.77253641,1.0,0.82127759,0.79042626
242,81,2,0.98872832,0.74669657,0.73553437,0.5815842,0.7063510000000001,0.56474676,0.88188111,0.98470379,0.83021795,0.51852777,0.97600991,0.98550947,0.80018281,0.79662882,0.64045039,0.49877315,0.6702443,0.90328467,0.98625669,0.91095717,0.75268682,0.64543686,0.77083895,0.84675877,0.46614654,0.63165112,0.83144939,0.85018522,0.74595285,0.78948791,0.8766946,0.80993574,0.88425274,0.80796686,0.59090629,0.84211503,0.69724232,0.98615514,0.84601811,0.79042626
243,82,0,1.0,0.75944304,0.75958532,0.59191546,0.76257257,0.54094614,0.86000331,0.94517718,0.81965851,0.54515281,0.95607715,0.93628766,0.82038443,0.79201369,0.63725407,0.49935887,0.72957307,0.91149635,1.0,0.95749829,0.78605996,0.61172407,0.75338657,0.84491676,0.47005365,0.63117225,0.89561762,0.81721548,0.7353363,0.80665265,0.88478441,0.83001787,0.8687024999999999,0.82168981,0.59574861,0.79814471,0.62328379,0.96208837,0.86159276,0.79704294
244,82,1,0.97331407,0.78039436,0.79749067,0.62819891,0.83959134,0.50113591,0.88724425,0.83529895,0.77206901,0.59242195,0.93490571,0.8271870000000001,0.89097749,0.75683482,0.63650342,0.5014089,0.80527249,0.95379894,0.95640486,0.97638794,0.86041104,0.54985406,0.7183375,0.79071909,0.47901918,0.68741769,0.93299481,0.72642519,0.69977745,0.82447815,0.8662035,0.84578062,0.84280889,0.85277418,0.62237109,0.78181818,0.56832242,0.9027625,0.90292499,0.8433806999999999
245,82,2,0.93691715,0.82487618,0.81407426,0.67728365,0.87202493,0.44540959999999996,0.93518169,0.76542619,0.66924466,0.63098258,0.92715759,0.80387948,0.92883731,0.72914406,0.62523155,0.51068545,0.83841084,0.96939283,0.876925,0.96478681,0.88674502,0.5285755999999999,0.70691745,0.71973078,0.50879406,0.72057943,0.93062148,0.66214242,0.67303,0.83740802,0.86056162,0.86540123,0.83190262,0.88841607,0.65747789,0.79814471,0.5407241999999999,0.82228117,0.93891455,0.86419546
246,83,0,0.90318882,0.85291094,0.83721547,0.72665035,0.92241574,0.40696913,0.97495629,0.68553838,0.54775016,0.64899113,0.91344355,0.75841448,0.97779809,0.67214267,0.59941885,0.54178407,0.88651703,0.95296948,0.74603538,0.92382671,0.92910565,0.51811637,0.69037906,0.62021254,0.54704456,0.78438884,0.92308202,0.63099403,0.62979723,0.86188617,0.86335925,0.88654841,0.83148044,0.94241398,0.70801444,0.83048856,0.5601701,0.71301029,0.96894874,0.87792167
247,83,1,0.86570328,0.84810765,0.82370222,0.73635,0.94533665,0.37255112,0.99006521,0.56715009,0.41938593,0.65180414,0.88160423,0.72877406,1.0,0.63185965,0.56067559,0.57520975,0.92363887,0.89739549,0.55690083,0.86358669,0.9533655999999999,0.52394435,0.66588416,0.47590507,0.58858977,0.84308305,0.90815763,0.60622556,0.58158589,0.88306052,0.87547064,0.89455996,0.83950183,0.99468708,0.74686583,0.83834261,0.59511929,0.5436565999999999,0.99357898,0.87639071
248,83,2,0.82668593,0.76525558,0.75973694,0.68981424,0.88518183,0.37899238,0.97171951,0.46482419,0.40151356,0.63994742,0.83498913,0.72403588,0.96041807,0.59440378,0.51458321,0.56864809,0.88815807,0.8495355,0.40053556,0.82202166,0.94664069,0.52842966,0.65735039,0.29895855,0.72317076,0.87657129,0.83288442,0.59770529,0.50955325,0.85311608,0.87979531,0.85583944,0.84294962,0.99185436,0.73615528,0.7589363,0.6240424,0.36150611,0.97889887,0.85668746
249,84,0,0.78881503,0.68074946,0.66080397,0.57279812,0.75005655,0.40805827,0.91130747,0.39679847,0.49319121,0.60578377,0.77205622,0.73940044,0.81923194,0.61341443,0.53009262,0.49133291,0.77067838,0.84430989,0.39951445,0.76537223,0.89673811,0.51430239,0.66382528,0.23634431,0.80566102,0.85400999,0.70234021,0.590461,0.40229970000000004,0.79309206,0.8703299999999999,0.72003361,0.83985364,0.90596633,0.61096292,0.66048237,0.63306016,0.31067478,0.91840161,0.83998322
250,84,1,0.75066474,0.57722643,0.55684855,0.40343774,0.59096735,0.44720699999999997,0.8556560999999999,0.39860446,0.58553368,0.58028262,0.72460691,0.77198497,0.62560108,0.70903312,0.57671772,0.41257717,0.61254334,0.89465826,0.46044762,0.69586301,0.81339953,0.49577739,0.68347123,0.29312079,0.84797786,0.78030757,0.50887515,0.59398024,0.3666337,0.72127947,0.86494457,0.54484456,0.82986209,0.71597276,0.44628311,0.56457019,0.60950071,0.33886265,0.75618513,0.8178576999999999
251,84,2,0.72768786,0.50741987,0.49246631,0.32173511,0.48744628,0.47049312,0.82919482,0.40506225,0.65376561,0.56522511,0.70276556,0.79199571,0.49803283,0.75761419,0.64272656,0.37061896,0.51384294,0.93206702,0.50710609,0.6474778,0.76129722,0.46095544,0.68782952,0.32981226,0.84928839,0.75361057,0.40412849,0.58998765,0.38372074,0.68746058,0.86248499,0.48453901,0.82578103,0.59878634,0.35704906,0.52691404,0.5827251999999999,0.38497121,0.64587597,0.79135951
252,85,0,0.71045279,0.46324643,0.43653697,0.27062021,0.39591344,0.49379259999999997,0.81283372,0.41095909,0.70832456,0.5367531999999999,0.6753121999999999,0.80610289,0.40058817,0.80229839,0.70193111,0.31992243,0.43216167,0.94832449,0.55270177,0.60188311,0.69995601,0.4433742,0.6820762,0.37816507,0.81732112,0.73206143,0.31894249,0.58650957,0.42424167,0.66526505,0.85275158,0.46141557,0.8224036,0.51371665,0.27151856,0.50026592,0.55254132,0.45161416,0.58259708,0.77045037
