,measure_number,beat_number,pid1263b-02,pid52932-17,pid610003b-06,pid9048b-06,pid9050b-02,pid9054b-02,pid9055b-02,pid9058b-02,pid9059b-06,pid9060-31,pid9063b-06,pid9064-13,pid9065-20,pid9066b-02,pid9069-02,pid9072b-06,pid9073b-06,pid9075b-02,pid9085-04,pid9088-18,pid9090-15,pid9093b-08,pid9094b-02,pid9097-20,pid9098-16,pid9099b-06,pid9101b-13,pid9104b-02,pid9111b-04,pid9118b-06,pid9121-10,pid9134-08,pid9138b-02,pid9139b-02,pid9153b-02,pid915406-14,pid9166j-02,pid9170b-02,pid9174b-02,pid9192b-02
163,55,1,0.42330443,0.63102514,0.51052821,0.85612939,0.39106286,0.76366431,0.40429051,0.7492133000000001,0.60717333,0.49052251,0.85499772,0.35667408,0.44048802,0.65333068,0.68523518,0.7787874,0.36378074,0.57819343,0.69940817,0.5210362000000001,0.54687323,0.73549329,0.37828555,0.6865108,0.60076428,0.79965826,0.75612098,0.63746656,0.54318332,0.9319117,0.84525627,0.74297954,0.61811849,0.46737338,0.44200505,0.59213358,0.36839294,0.73241897,0.50493217,0.55139726
164,55,2,0.37009634,0.54091206,0.55070788,0.87184056,0.4305964,0.79286382,0.38276709,0.78261048,0.5389414,0.53733815,0.88098488,0.24435329,0.43773265,0.66838333,0.559029,0.8040209,0.39466928,0.52893995,0.74717111,0.57817348,0.53339199,0.76995524,0.37816048,0.72093518,0.65879529,0.7426401,0.77780108,0.62950196,0.51822453,0.93203184,0.84491823,0.75067157,0.62450746,0.4833625,0.53682008,0.59096475,0.30993771,0.71760367,0.50688054,0.5382373
165,56,0,0.36246628,0.41834408,0.60678885,0.87493092,0.50261379,0.79934518,0.41990739,0.83085237,0.61741144,0.58916858,0.90905759,0.36642644,0.45275471,0.69965005,0.50609601,0.80085484,0.46207088,0.6036994000000001,0.76260237,0.68490584,0.53180818,0.83387819,0.40677314,0.73460857,0.76583054,0.69946562,0.80486809,0.73483227,0.5132542,0.92398258,0.85374241,0.74602085,0.61576836,0.51380478,0.68927099,0.58705009,0.27931576,0.71236333,0.50968667,0.50139988
166,56,1,0.38470135,0.44342585,0.6687641,0.86376504,0.56779512,0.77154884,0.47206209,0.82989465,0.7020310000000001,0.59720013,0.91212903,0.43775972,0.48004345,0.73742684,0.55136509,0.78528574,0.51544427,0.68331121,0.73160439,0.73805249,0.54832506,0.84644873,0.44801809,0.72858661,0.82026064,0.71741236,0.79220665,0.80687384,0.53109133,0.91404115,0.86921095,0.73051844,0.58149451,0.54638734,0.79549418,0.56700062,0.29387882,0.71682733,0.51380396,0.46461490000000005
167,56,2,0.4084104,0.50781235,0.69378163,0.83679776,0.59462414,0.72831752,0.50138213,0.80083459,0.73841841,0.56912915,0.87087315,0.47116461,0.49537019,0.76184727,0.59527816,0.75557227,0.53844525,0.72352356,0.67454727,0.74638501,0.54824964,0.82110333,0.46655763,0.69525328,0.84306641,0.7129937,0.75599956,0.83931879,0.54786515,0.8962607,0.88338559,0.70937126,0.53935407,0.54485138,0.8476209000000001,0.52611626,0.32648809,0.7040175999999999,0.51197814,0.43543229
168,57,0,0.42338149999999997,0.56230259,0.67486686,0.80537541,0.57115032,0.65002673,0.51169494,0.7329319999999999,0.69953796,0.52712455,0.80239143,0.45443533,0.48559393,0.74963706,0.6221441999999999,0.70743233,0.51334004,0.70899137,0.58274116,0.70979608,0.50795047,0.76773691,0.46714451,0.63938363,0.82193861,0.67999521,0.69084888,0.81933525,0.56476261,0.86057967,0.83431056,0.66179899,0.46496623,0.51498823,0.84424564,0.47590600000000005,0.35223788,0.62954001,0.48794834,0.39042626
169,57,1,0.40641618,0.54279039,0.47874457,0.7488241999999999,0.37235165,0.39085928,0.47229835,0.53583254,0.5594286999999999,0.43739073,0.67170989,0.39534616,0.42175681,0.58304935,0.63570434,0.59965965,0.33662423,0.59134871,0.40165045,0.5420724,0.38933442,0.63466628,0.44106215,0.49878144,0.74781373,0.58325261,0.55715863,0.69880634,0.55562974,0.74386545,0.67393661,0.54693916,0.32899662,0.44260912,0.75573999,0.42897341,0.37933392,0.40503332,0.37360766,0.31053321
170,57,2,0.35947013,0.46091954,0.23601766,0.67732876,0.17253512,0.22657357,0.31279828,0.37962786,0.42497036,0.34219520000000003,0.50021487,0.33447059999999995,0.31621826,0.54166603,0.63505055,0.48938578,0.188256,0.42291805,0.29311063,0.35911796,0.24378103,0.45832847,0.40908216,0.29424017,0.67047988,0.49583710000000003,0.40194282,0.55016464,0.51216617,0.57124193,0.50956439,0.43048176,0.20635379,0.38362563,0.61846236,0.38952999,0.40070304,0.23812512,0.31219136,0.22355162
171,58,0,0.31894027,0.38773012,0.2100525,0.60856276,0.16459323,0.27208339,0.22924444,0.29176358,0.40026149,0.29691094,0.42322665,0.30323545,0.21829671,0.60612498,0.63461469,0.40702865,0.18109632,0.28951559,0.32642174,0.27570495,0.20500283,0.33944347,0.39494901,0.22577399999999997,0.66289837,0.43823123,0.33780771,0.49815806,0.46109463,0.4961706,0.43184865,0.39208075,0.13332395,0.38332347,0.50802265,0.36894249,0.41722137,0.24513166,0.37028686,0.22624653
172,58,1,0.30903661,0.38523502,0.26446563,0.57552756,0.21032195,0.38282106,0.2297524,0.32587221,0.44044941,0.31204732,0.42398503,0.31043472,0.18447721,0.7059309,0.66384164,0.44141206,0.20401789,0.29135700000000003,0.43733720000000004,0.25330276,0.26135378,0.38449115,0.38002694,0.25537372,0.73434094,0.44830926,0.38716194,0.52985182,0.41934553,0.50581168,0.44422815,0.45354603,0.17725162,0.40370645,0.46021503,0.34144712,0.43027791,0.33834509,0.46890585,0.31637393
173,58,2,0.31460501,0.41714793,0.31148722,0.55307174,0.24006635,0.45506481,0.26092709,0.35047202,0.46248795,0.33855406,0.46694727,0.33975312,0.19235915,0.69385821,0.68260791,0.46957416,0.22243985,0.32532349,0.49956238,0.24166260000000003,0.28326315,0.41676396,0.36025592,0.28113355,0.75673027,0.47179565,0.42504691,0.55831447,0.39422189,0.53854933,0.47698369,0.48294143,0.20865466,0.42631784,0.42508772,0.34377859999999993,0.43326958,0.39868021,0.52262674,0.37938447
174,59,0,0.30978805,0.41651248,0.31436802,0.53384163,0.23507753,0.49351864,0.28038322,0.3281297,0.45999490000000004,0.34791982,0.49428687,0.31049605,0.19549868,0.47078869999999995,0.63881591,0.46286212,0.21604775,0.30267087,0.49553004,0.17545126,0.26676513,0.39938704,0.3259188,0.28422954,0.66146535,0.47099028,0.40926151,0.54900185,0.36802671,0.50964109,0.47677387,0.46684733,0.21624683,0.4356847,0.33984447,0.35308596,0.42143109,0.39715339,0.50729717,0.40696272
175,59,1,0.24735067,0.31831605,0.24384512,0.47323009999999993,0.17958481,0.46083789999999997,0.27794972,0.22963470000000002,0.42733045,0.32014459,0.46290257,0.22760101,0.16613016,0.25297614,0.56306072,0.32134716,0.17748339,0.25390677,0.39874341,0.12651966,0.1811954,0.27625024,0.26782759,0.25089621,0.48418784,0.41818399,0.30695441,0.39713933,0.25139301,0.43381889,0.35885391,0.33854419,0.18270476,0.40473882,0.24096682,0.33168831,0.38147084,0.28752022,0.40193856,0.35769937
176,59,2,0.22560694,0.19911223,0.18638629,0.38391437,0.14040313,0.36014299,0.24922034,0.18291148,0.39711471,0.2612422,0.41441681,0.23795139,0.13054882,0.25788163,0.47007688,0.19211651,0.14344512,0.24432648,0.27556422,0.12259733,0.14913582,0.11127651,0.19613238,0.19100248,0.31563089,0.35275296,0.20832321,0.26758592,0.15827563,0.3629524,0.31170224,0.24529307,0.16580355,0.32680759,0.18817326,0.28823129,0.30367656,0.11284208,0.25543152,0.24489068
177,60,0,0.21894989999999998,0.24350995,0.21903607,0.18335721,0.17010983,0.34168783,0.25035439,0.22641948,0.38887104,0.26255012,0.39655695,0.29786859,0.16346753,0.45851735,0.36980447,0.13831724,0.17257352,0.30286994,0.29784108,0.23623768,0.19302998,0.17008173,0.20535886,0.15521077,0.31732112,0.31943885,0.1694006,0.21576456,0.20767392,0.39602042,0.36397123,0.35801096,0.21019561,0.24915333,0.14396660000000003,0.26400742,0.23591508,0.16134437,0.31445832,0.21163949
178,60,1,0.26178227,0.30656948,0.30170764,0.16837914,0.22952324,0.37889884,0.2687119,0.29073745,0.39676015,0.26293132,0.45655746,0.39042398,0.20363232,0.5678286,0.39864399,0.17679278,0.23498584,0.35729098,0.35960781,0.33534979,0.24561624,0.26681261,0.32818934,0.2246192,0.36764814,0.35309034,0.21415167,0.28778555,0.27453017,0.47748911,0.43212841,0.46380602,0.26208134,0.26270002,0.16082237,0.27477427,0.25283942,0.23743288,0.40505104,0.28432863
