,measure_number,beat_number,pid0198-03,pid1263-23,pid50848-10,pid52932-11,pid54293-10,pid59359-07,pid9048-23,pid9049-23,pid9049b-23,pid9050-23,pid9054-23,pid9055-23,pid9056-12,pid9058-23,pid9059-23,pid9060-23,pid9061-23,pid9062-23,pid9063-23,pid9066-23,pid9067-22,pid9070b-06,pid9072-23,pid9073-25,pid9074f-23,pid9075-23,pid9080-07,pid9093-24,pid9094-23,pid9099-23,pid9101b-05,pid9103-12,pid9104-23,pid9105b-06,pid9111-23,pid9118-23,pid9133-12,pid9137-13,pid9138-23,pid9139-23,pid9153-23,pid9161-02,pid9166g-02,pid9170-24,pid9174-23,pid917509-01,pid9176-07,pid918810-14,pid918904-08,pid9192-23
10,5,0,0.58521868,0.84417263,0.84816176,0.88338631,0.78567552,0.85265805,0.77245911,0.79305365,0.64954955,0.7577673,0.57837875,0.72996684,0.97054672,0.83785719,0.64559244,0.80933221,0.81051079,0.77681455,0.94982079,0.71572122,0.77910716,0.81734139,0.83576431,0.6986536999999999,0.79137555,0.59147374,0.89875471,0.95668518,0.81338304,0.79367453,0.73402621,0.87061798,0.75461636,0.67539452,0.99827133,0.51208073,0.70870512,0.62586452,0.7355857,0.74596883,0.75233609,0.75832475,0.53962195,0.61568485,0.74105254,0.50039075,0.73504677,0.74413854,0.81598873,0.89861988
11,5,1,0.58951816,0.82047044,0.79676471,0.88899113,0.78283889,0.82191092,0.7581958000000001,0.78473177,0.6664017,0.72236392,0.55634038,0.7390163000000001,0.97221268,0.78532839,0.63562536,0.79125631,0.80554262,0.7538795,0.87896333,0.67880018,0.80311075,0.79296205,0.78879393,0.66115695,0.77830366,0.59495698,0.86894989,0.95326783,0.81252563,0.79287768,0.72161771,0.84488764,0.76495543,0.65952736,1.0,0.51627968,0.67973835,0.59677878,0.75737021,0.76339069,0.74428141,0.7244642,0.53993699,0.61160025,0.69468352,0.44569397,0.73717245,0.75601934,0.81123437,0.85427984
12,5,2,0.61185322,0.76762637,0.75558824,0.89727288,0.78535806,0.76939655,0.75110149,0.76698762,0.68965289,0.70194991,0.5430965,0.75476651,0.93462032,0.74809607,0.60884373,0.80548883,0.8108213000000001,0.73134423,0.79232148,0.69754742,0.81739326,0.78737046,0.75827283,0.64687744,0.76876268,0.60602924,0.83728991,0.92909013,0.84191053,0.78246118,0.73887031,0.83539326,0.78624642,0.66413598,0.96286821,0.55013178,0.68062201,0.58847308,0.83283329,0.8041798000000001,0.72831879,0.67740758,0.58224046,0.63710629,0.65527165,0.39731947,0.73275875,0.75596013,0.81622351,0.79731317
13,6,0,0.63116383,0.71931037,0.74029412,0.91350176,0.80364768,0.7341954,0.75274438,0.75467675,0.70767091,0.70146937,0.54310345,0.77141476,0.885735,0.73429669,0.58480252,0.84085996,0.81183046,0.72372726,0.72925283,0.74597265,0.82546923,0.79668978,0.74638566,0.65466864,0.77214334,0.60779184,0.82117109,0.9178129,0.8472040999999999,0.77305512,0.78215996,0.84101124,0.80006367,0.65980215,0.90893376,0.57716937,0.71450278,0.5988631,0.88533786,0.82721376,0.71987798,0.66548432,0.65441424,0.68099301,0.67094316,0.41264458,0.71915436,0.75056246,0.83318659,0.7692703000000001
14,6,1,0.64443291,0.69398529,0.74330882,0.92630082,0.82834789,0.72643678,0.76215369,0.76121045,0.71893217,0.71148692,0.54817853,0.79711246,0.85359836,0.73742108,0.57459931,0.87484987,0.8043781999999999,0.72900864,0.71153846,0.80945743,0.83287221,0.8159994,0.75011245,0.67226613,0.77860416,0.61289781,0.82936936,0.90790261,0.85760485,0.76647499,0.82501582,0.85073034,0.7998249,0.64143833,0.87346149,0.59238177,0.74224104,0.62043265,0.91684059,0.82827673,0.72421036,0.67733271,0.71919555,0.7313696999999999,0.71131433,0.45362613,0.69867048,0.74220446,0.86006926,0.76332403
15,6,2,0.66467754,0.68869588,0.76580882,0.93257487,0.86084116,0.73922414,0.77260847,0.79903714,0.73940117,0.73966362,0.5613668,0.83869854,0.83389925,0.76020309,0.57859903,0.92169109,0.79133675,0.74339039,0.73566308,0.87514777,0.83302176,0.85543875,0.76617619,0.71004082,0.79505672,0.62990837,0.86411758,0.90405809,0.86244175,0.76341083,0.88864889,0.86544944,0.79294015,0.61990265,0.8478771999999999,0.61357692,0.78993707,0.66544292,0.93405948,0.8057112,0.75162561,0.71333645,0.78020368,0.79400018,0.78235611,0.51334792,0.67633145,0.72933689,0.89916065,0.77595067
16,7,0,0.68538176,0.69858348,0.79389706,0.93173833,0.89601745,0.76975575,0.78806661,0.83404402,0.76000265,0.77344053,0.57851085,0.88035369,0.84252159,0.78858296,0.59248712,0.94955561,0.78031362,0.76193833,0.82044389,0.92862814,0.82292679,0.89756207,0.79663304,0.74362894,0.81113365,0.65141638,0.90260945,0.90884238,0.86580615,0.76728826,0.94496159,0.88005618,0.78913563,0.6044673,0.84822293,0.63368976,0.84234234,0.704066,0.92603705,0.77938924,0.79589157,0.75311184,0.80980292,0.83579922,0.8556482,0.55696311,0.6698771,0.71572923,0.93825204,0.79804728
17,7,1,0.69885841,0.73630062,0.85205882,0.93391333,0.94618591,0.83951149,0.8209245000000001,0.87977992,0.77411235,0.83106922,0.6248262,0.92532468,0.87842255,0.84950856,0.62343303,0.98925054,0.7711846,0.80474693,0.92417976,0.95394795,0.79997009,0.94646984,0.86024545,0.80946756,0.81864623,0.67796041,0.95573157,0.92909013,0.90146319,0.78644541,1.0,0.90101124,0.77544572,0.64374657,0.88189739,0.64793009,0.89227984,0.74347071,0.89153405,0.75222052,0.88114912,0.83449696,0.8168364,0.86021603,0.90604268,0.58271335,0.6669706999999999,0.69924018,0.98961085,0.83871678
18,7,2,0.69405486,0.75908116,0.89411765,0.94604317,0.96086062,0.86278736,0.84287955,0.90275103,0.76841547,0.87999261,0.65595801,0.93216358,0.90276347,0.89246892,0.63470235,1.0,0.77061792,0.83056464,0.98304384,0.9423026,0.7856128000000001,0.96018788,0.89436484,0.85926344,0.81105852,0.68352801,0.98372566,0.94498078,0.94687791,0.79555574,0.99412562,0.89842697,0.75082776,0.68843527,0.89980639,0.64230812,0.91212983,0.77190115,0.85050874,0.7494460000000001,0.94926249,0.86094525,0.78276797,0.84796224,0.90532544,0.59145045,0.64736801,0.68256365,1.0,0.87527529
19,8,0,0.67025945,0.77483921,0.91426471,0.96637109,0.93947835,0.86630747,0.83765215,0.90220083,0.73953365,0.88856852,0.67584816,0.92573915,0.91081353,0.9093926999999999,0.63171866,0.98768917,0.77028412,0.84401006,1.0,0.9094839,0.77499439,0.93983449,0.89822014,0.88248067,0.79332883,0.66741974,0.9903687,0.95155916,0.98154706,0.79802021,0.9550835999999999,0.8702809000000001,0.71392073,0.72564183,0.9027796999999999,0.62351809,0.89654726,0.78047529,0.80367858,0.75969732,0.99111901,0.85066916,0.72170855,0.80139784,0.87554241,0.59517037,0.61448558,0.67624827,0.97558256,0.89428865
