,,pid1263b-09,pid5667203-05,pid5667249-18,pid58917-03,pid59340-11,pid6100022-03,pid6100022-06,pid610003b-13,pid9048b-13,pid9049b-09,pid9050b-09,pid9054b-09,pid9055b-09,pid9056-14,pid9058b-09,pid9059b-13,pid9060b-07,pid9061b-06,pid9062b-12,pid9063b-13,pid9065-25,pid9066b-09,pid9068-18,pid9069-09,pid9070b-21,pid9072b-13,pid9073b-13,pid9074g-09,pid9075b-09,pid9079-08,pid9089-04,pid9093b-15,pid9094b-09,pid9097-21,pid9099b-13,pid9101c-03,pid9104b-09,pid9111b-11,pid9116-14,pid9118b-13,pid9133-09,pid9137-19,pid9138b-09,pid9139b-09,pid9149-14,pid9153b-09,pid9157-12,pid9158-15,pid9166l-03,pid9174b-09,pid917506-07,pid9179-11,pid918807-14,pid918821-11,pid918824-07,pid9192b-09
33,0,0.77233026,0.69705227,0.73820125,0.81321313,0.85517808,0.79424504,0.8190741,0.77467378,0.66068407,0.79956227,0.83345469,0.87709019,0.69539702,0.95431878,0.67389904,0.67487044,0.71188486,0.77858381,0.92792213,0.88639355,0.7808967,0.73308042,0.72060927,0.62022678,0.47736685,0.73273586,0.85986623,0.77938001,0.99177562,0.88513669,0.90284737,0.89886796,0.74769786,0.66363212,0.77234132,0.89123265,0.99729281,0.86579281,0.86934704,0.75631527,0.92454531,0.8843008,0.74160889,0.67482954,0.96065049,0.74632393,0.81830928,0.81990549,0.66097027,0.82145883,0.76482485,0.6979801,0.81216293,0.87434408,0.96018271,0.86470286
33,1,0.76608839,0.7128437,0.7351482,0.84110438,0.90551521,0.81972753,0.83935874,0.81989545,0.7411508,0.84759248,0.80810226,0.92462146,0.71362934,0.92069977,0.68087927,0.68900809,0.74997845,0.79995666,0.97919828,0.92390589,0.8490073,0.71542709,0.74470824,0.6299568,0.60267505,0.73438814,0.84801924,0.7816934,0.98003655,0.9125525,0.90960525,0.90518022,0.73730962,0.79569328,0.79992434,0.95321009,1,0.89588143,0.87395202,0.75980479,0.9282764,0.87151592,0.73393876,0.69461102,0.98586143,0.81324841,0.83124729,0.84828285,0.79461973,0.89732727,0.76951968,0.78039497,0.81100456,0.89574588,0.98853745,0.90494948
33,2,0.76874474,0.73049294,0.73463936,0.84617552,0.92513831,0.83395337,0.84385735,0.861806,0.79219738,0.87589048,0.79738284,0.94930876,0.73626833,0.87841924,0.70222439,0.71624693,0.78874429,0.82000347,1,0.93599868,0.90061899,0.71673153,0.76194222,0.66514039,0.70592217,0.74441248,0.84950707,0.77321098,0.96429074,0.94192218,0.89298327,0.90988951,0.71913901,0.89501634,0.81578815,0.97392038,0.97493669,0.91293662,0.87933913,0.76364832,0.9270327,0.85523704,0.74105664,0.70257948,0.95949215,0.8766333,0.84345576,0.88811071,0.86176363,0.97396596,0.78244854,0.85153101,0.82319597,0.9035045,0.98715849,0.93851687
34,0,0.78806065,0.74541739,0.73158631,0.84054092,0.93568465,0.82984892,0.86365124,0.89704215,0.82918856,0.87889452,0.80730336,0.95878868,0.77119794,0.83409602,0.72906681,0.75239567,0.80187021,0.8324233,0.98808922,0.94126357,0.90746216,0.75944083,0.76523169,0.73064795,0.80299734,0.76949178,0.86613735,0.75306909,0.9407423,0.94746073,0.86291948,0.91894584,0.6965754,0.94240196,0.81728457,0.96057375,0.94734084,0.9277575,0.88935759,0.77105722,0.93698227,0.8453903,0.76056943,0.70101043,0.90755988,0.92202002,0.8586508,0.92439457,0.88804487,1,0.80325027,0.90390471,0.83475123,0.90717766,0.97388606,0.96686076
34,1,0.83480362,0.75910329,0.72592545,0.83286378,0.94450207,0.80709982,0.87747424,0.92660766,0.85289926,0.8678225,0.83977509,0.94983542,0.80223257,0.80256536,0.76258238,0.77534321,0.79138154,0.83383602,0.93764084,0.93509378,0.88123,0.79475835,0.74392162,0.82138229,0.85698171,0.80298001,0.89556016,0.73773134,0.90967243,0.9421068,0.83156143,0.93298316,0.67666168,0.94205182,0.81265237,0.94385211,0.92777923,0.93520518,0.90262765,0.78783473,0.95894662,0.83879933,0.7908204,0.69036392,0.84591798,0.96342129,0.86468094,0.94481478,0.88562831,0.98621274,0.81877934,0.94308045,0.8516711,0.89978448,0.94587607,0.98561397
34,2,0.84940806,0.76647263,0.72338125,0.82884913,0.94891079,0.78899659,0.88082774,0.95095879,0.85831478,0.8596687,0.86789839,0.93772219,0.81983835,0.78590421,0.78302876,0.78438949,0.78113419,0.82567169,0.8865333,0.92448174,0.85602764,0.82348849,0.71896453,0.8499568,0.88123439,0.82237958,0.91889261,0.7240438,0.88331225,0.93744519,0.80048997,0.94982793,0.66193327,0.90954715,0.80712905,0.93088901,0.91319535,0.93624786,0.90807628,0.79313222,0.96194747,0.83474946,0.81260355,0.67915879,0.79398571,0.98471338,0.86358662,0.94987765,0.86573044,0.96934453,0.82636331,0.96979801,0.86343524,0.88539168,0.91148841,0.99511903
35,0,0.88231179,0.77340847,0.71880168,0.82405973,0.95081259,0.76471051,0.8836087,0.97452777,0.85325554,0.84796155,0.90060271,0.92481896,0.8449835,0.77483481,0.80961654,0.78586235,0.77299836,0.80931704,0.8046754,0.91222442,0.83232015,0.83996782,0.68638444,0.87791577,0.89944404,0.85962971,0.94342089,0.7079889,0.86728525,0.93287589,0.7778959,0.97735917,0.65540981,0.84243697,0.80295082,0.91685204,0.90341455,0.93110896,0.92090693,0.79677346,0.9599393,0.83284364,0.84009327,0.66724719,0.71080096,0.99863512,0.85561863,0.94937136,0.83147,0.94223215,0.8312026,0.99138005,0.88214014,0.86518928,0.87003361,1
35,1,0.89139584,0.77836265,0.71689352,0.82011551,0.95072614,0.74447646,0.87297563,0.98874998,0.84311927,0.84296627,0.92955525,0.91428571,0.86137797,0.77014459,0.82796585,0.77994363,0.77613548,0.80045068,0.74890779,0.90210596,0.82202217,0.8415114,0.66920051,0.88785097,0.89726855,0.88124216,0.96116356,0.70108729,0.8587797,0.93035277,0.76835537,0.99275494,0.65914253,0.80112045,0.80325347,0.90074404,0.901144,0.92276756,0.9154583,0.80051584,0.95523836,0.8315731,0.85518807,0.66023166,0.66677266,1,0.84985067,0.94413974,0.81312238,0.93129477,0.8273745,1,0.89024877,0.84687969,0.83899853,0.99828738
35,2,0.90026126,0.77198415,0.72134588,0.80701507,0.95297372,0.71308183,0.84410273,1,0.81646923,0.83980774,0.97503185,0.89631336,0.88229397,0.76172272,0.85050929,0.75348668,0.78824442,0.79126365,0.65622749,0.88367884,0.81418242,0.81425963,0.6600901,0.89339093,0.87728628,0.90204322,0.98649832,0.68876465,0.84240124,0.91850644,0.77576962,1,0.6676468,0.69788749,0.8035393,0.86768428,0.90166798,0.89960527,0.88821513,0.81439806,0.93446065,0.82315572,0.86881021,0.64612667,0.62075701,0.99654231,0.85686114,0.9273479,0.78523618,0.9119618,0.79711087,0.99536838,0.89980061,0.82229198,0.78644316,0.9909231
36,0,0.90954208,0.75309636,0.72859687,0.79025215,0.95530775,0.69102262,0.81098479,0.98788961,0.77660105,0.8313707,0.98247477,0.87662936,0.88628295,0.74915838,0.86121929,0.72245659,0.79132121,0.78407003,0.5838277,0.86500494,0.81613128,0.76294106,0.64804062,0.8812527,0.85899605,0.91340267,0.98152036,0.6717921,0.81273724,0.89679841,0.7930942,0.97600072,0.6718021,0.6289099,0.79360235,0.83155634,0.90280325,0.87554927,0.84379998,0.83155486,0.91263321,0.80235051,0.86764435,0.62541691,0.58238414,0.99272066,0.87859928,0.90903721,0.76043225,0.89832858,0.7542073,0.96975512,0.89468287,0.79476199,0.74087736,0.97705086
36,1,0.91616655,0.73433243,0.72789721,0.77630652,0.95012102,0.67829884,0.76718469,0.96476385,0.73629643,0.81936314,0.96081346,0.85687953,0.87369993,0.73587511,0.85702516,0.69740886,0.78094458,0.77477032,0.53134054,0.8411484,0.8178919,0.66431506,0.63243707,0.85078834,0.84328418,0.91074722,0.94842666,0.63598859,0.78286236,0.86453638,0.80402145,0.94711103,0.66371159,0.57547269,0.77549391,0.78990565,0.89669025,0.85693007,0.80079972,0.83988672,0.88499806,0.76536965,0.8545131,0.59795449,0.55116572,0.98635123,0.89484303,0.87891317,0.73386832,0.88323192,0.70264355,0.93377434,0.87720281,0.75992316,0.70486081,0.9578695
36,2,0.91321505,0.69290315,0.70404529,0.74292154,0.91908714,0.66946118,0.71105022,0.90885271,0.6755322,0.79256716,0.88515058,0.83199473,0.84038887,0.7107008,0.83275914,0.66465133,0.73375851,0.7534148,0.45541504,0.79149391,0.81742683,0.56334109,0.60840961,0.79952484,0.81919265,0.89333923,0.86120111,0.585657,0.71088148,0.80032,0.79776278,0.89183119,0.6367726,0.53569678,0.73117276,0.72574979,0.86305999,0.83533179,0.7520696,0.84236478,0.823418,0.6975939,0.81984414,0.5512692,0.50884086,0.96014559,0.89458085,0.84053666,0.68570126,0.85573442,0.61043698,0.8554979,0.83331751,0.71850637,0.65521848,0.92053434
37,0,0.89870899,0.65964825,0.67987533,0.71665023,0.87560512,0.66528687,0.64757075,0.83420891,0.60788278,0.77551283,0.81594968,0.81336406,0.79663548,0.68302731,0.7932145,0.64582235,0.68755494,0.73300399,0.42005059,0.74205331,0.81458105,0.46301933,0.58959525,0.75111231,0.8098461,0.84908166,0.79365101,0.54176434,0.66168986,0.74176526,0.77705464,0.85316066,0.5970596,0.53533497,0.69574611,0.67431925,0.80859314,0.82348998,0.69456894,0.83366627,0.77492526,0.61604066,0.77271891,0.51941181,0.4832211,0.92929936,0.86549028,0.79978061,0.64452854,0.83501502,0.5234814,0.75677588,0.77880744,0.68605697,0.62778592,0.88808015
37,1,0.8742225,0.62366857,0.6447653,0.68695591,0.81807573,0.66243996,0.58492557,0.77236641,0.55769128,0.75442451,0.73136743,0.79848585,0.74413141,0.64140867,0.7463601,0.63285753,0.63714557,0.70966372,0.38919292,0.68224745,0.81057259,0.40880927,0.57357695,0.72669546,0.80532592,0.79862802,0.72582282,0.50479642,0.62038521,0.68822597,0.74641768,0.80479986,0.54647416,0.54873366,0.65924338,0.61285572,0.75599511,0.8170105,0.64915195,0.81902546,0.69835239,0.53613912,0.72099159,0.48926312,0.45920256,0.90101001,0.81954039,0.75436672,0.60437717,0.81853193,0.45716865,0.67866026,0.72053741,0.66057909,0.60468844,0.84654907
37,2,0.83278129,0.59051276,0.6076517,0.6522468,0.74629149,0.65407388,0.52957631,0.67510527,0.50081945,0.73738735,0.63836135,0.77557604,0.6831586,0.58949663,0.68162822,0.60139104,0.56713781,0.68135725,0.3858205,0.61747285,0.79774995,0.41117899,0.5614917,0.7200216,0.78755137,0.71108652,0.64071082,0.45944633,0.55132152,0.61764027,0.6937136,0.74702952,0.47904745,0.59027778,0.60649012,0.55380072,0.68617588,0.81067997,0.59184463,0.79587579,0.60801899,0.44367506,0.65736025,0.46520168,0.42749583,0.85834395,0.75170417,0.71253903,0.56527448,0.79211276,0.37969664,0.55971781,0.63979301,0.63767804,0.57509265,0.77364275
38,0,0.77615628,0.55906614,0.5596489,0.60373292,0.66662344,0.63302768,0.52432521,0.62026307,0.44351118,0.71816153,0.55365775,0.73311389,0.62174721,0.51616474,0.62631815,0.55424129,0.52538137,0.65280811,0.40695945,0.54297466,0.75741067,0.44098528,0.53940217,0.71854212,0.75983402,0.62765361,0.57018507,0.42702036,0.49240124,0.53356205,0.64758251,0.69923021,0.41900695,0.64542484,0.55239176,0.52774411,0.60259366,0.80367915,0.54433606,0.75628998,0.55443737,0.36926864,0.60551022,0.44940442,0.39232543,0.80167425,0.68007204,0.68014514,0.52125661,0.7414157,0.32909354,0.49993567,0.5548234,0.62456897,0.52513143,0.69932351
38,1,0.72604642,0.53867971,0.50284951,0.52969432,0.60971646,0.606244,0.5398086,0.57677517,0.40880021,0.68607845,0.4778634,0.65865701,0.58787227,0.4609433,0.6000749,0.49169925,0.53191416,0.60161206,0.42983061,0.49908687,0.71400414,0.4795965,0.4944222,0.70006479,0.7350979,0.57540754,0.50274622,0.41314004,0.44438352,0.48417668,0.61967274,0.65156675,0.37187252,0.66544118,0.50317781,0.53418731,0.52573574,0.79652938,0.52089815,0.71624902,0.5060131,0.34758199,0.56774253,0.43909472,0.36436626,0.718899,0.62185669,0.64653616,0.49176546,0.69609489,0.31098592,0.45383395,0.49177744,0.61330585,0.48035853,0.63872238
38,2,0.6635512,0.5288271,0.44615189,0.44838005,0.56619986,0.56820365,0.55330443,0.55580034,0.36893204,0.62004978,0.42002912,0.60803818,0.55906186,0.42414041,0.57237867,0.45268661,0.53539602,0.56107644,0.45093891,0.4653998,0.67266828,0.51310955,0.45814502,0.66766739,0.68350657,0.55212068,0.45620646,0.41091147,0.41076901,0.45691472,0.59760562,0.61643724,0.32852364,0.66322362,0.47717528,0.55185242,0.49074317,0.78565577,0.50979875,0.67960907,0.47226216,0.35615818,0.54823587,0.42693666,0.34470854,0.62425842,0.56243303,0.60520631,0.45810688,0.65452515,0.30819068,0.43433185,0.4563046,0.59776987,0.44404895,0.59359479
39,0,0.61493895,0.52737181,0.40660857,0.40944499,0.52768845,0.53602305,0.56023229,0.54666215,0.34067872,0.57664578,0.37188277,0.58435813,0.54316862,0.39704892,0.55947424,0.42638422,0.52630354,0.52077483,0.46136277,0.44468575,0.65420944,0.5368611,0.43508295,0.62909287,0.64085086,0.55104374,0.41415799,0.4129781,0.40590468,0.44259142,0.59622816,0.59661293,0.3154327,0.65102708,0.46675074,0.57331441,0.46643961,0.77865495,0.50589683,0.65658583,0.44901988,0.37936949,0.53991532,0.41291383,0.33858751,0.55924477,0.50990584,0.5886845,0.44187489,0.63502272,0.31207656,0.42891757,0.44736043,0.58669415,0.43334482,0.55604556
39,1,0.57945539,0.53283379,0.35345376,0.36819975,0.48311722,0.51350974,0.56976116,0.54790056,0.32012114,0.54946357,0.33134114,0.54806452,0.53029322,0.37132684,0.54913122,0.4058278,0.51200552,0.47933784,0.47112746,0.42671109,0.62616129,0.57078723,0.42421339,0.58763499,0.61621143,0.5661282,0.37875607,0.41602406,0.41128216,0.43254512,0.61221226,0.58179678,0.31046747,0.62237395,0.45998319,0.60524661,0.43669549,0.77612274,0.50747869,0.64449895,0.43228133,0.42524418,0.53164386,0.39502998,0.34939868,0.50136488,0.46542644,0.58213653,0.42838774,0.61695294,0.31878657,0.43505018,0.43007026,0.58177474,0.43595622,0.52461894
39,2,0.54568808,0.53043101,0.29087266,0.31844626,0.41573306,0.46502489,0.56821528,0.55860307,0.30906743,0.53497554,0.29453108,0.50782752,0.52448728,0.34792135,0.54295237,0.38715338,0.49329484,0.42899983,0.47705986,0.41048042,0.58604347,0.58414679,0.42806779,0.55104752,0.60021755,0.57861621,0.34282576,0.41733498,0.42721777,0.41562178,0.64875659,0.56668176,0.30967515,0.58759337,0.46680118,0.64190381,0.42442581,0.76874953,0.51012391,0.638013,0.41433331,0.47531168,0.52538504,0.36365727,0.37031695,0.43590537,0.42092424,0.59465868,0.41840233,0.5799199,0.32735283,0.44821597,0.41050133,0.57228261,0.44443678,0.50741565
40,0,0.52514785,0.51994055,0.26870627,0.28121566,0.35366528,0.4252467,0.55974971,0.56195331,0.30142514,0.53168827,0.27452824,0.46086241,0.52348482,0.32111516,0.5277861,0.36774252,0.4753512,0.39796325,0.4685215,0.41120434,0.5523702,0.58480988,0.44016018,0.5462635,0.58288615,0.58920853,0.31489078,0.41477483,0.4415788,0.38774443,0.67546455,0.53848035,0.30191038,0.5154937,0.46838167,0.65402316,0.42147411,0.75802488,0.50597592,0.6330063,0.40174802,0.51106964,0.52370989,0.33089625,0.37390554,0.3955596,0.40465768,0.6177369,0.41017691,0.5424093,0.32519321,0.44936315,0.3918439,0.56274363,0.44447988,0.50029971
40,1,0.50864133,0.49976468,0.24953568,0.24552754,0.30821231,0.38473496,0.5449452,0.5582511,0.28945399,0.52234143,0.26153348,0.42793943,0.52222129,0.29933013,0.49418065,0.34761342,0.45247781,0.37096551,0.44417874,0.41764561,0.50222016,0.5686023,0.43768593,0.54757019,0.56180807,0.58957734,0.29324082,0.40899136,0.4435892,0.36205172,0.67378201,0.48289259,0.285791,0.4425887,0.4487768,0.63995551,0.4148546,0.73632978,0.47818789,0.61792298,0.38856941,0.53131105,0.51750629,0.29466031,0.36567224,0.35030027,0.40847639,0.61223525,0.40487872,0.48750674,0.30450704,0.44219058,0.37489556,0.55192091,0.43675774,0.48905635
40,2,0.48822134,0.47930394,0.24070093,0.21834765,0.2579962,0.36210811,0.51707018,0.54979077,0.27344794,0.48713415,0.25703335,0.41457538,0.51424335,0.28529368,0.43937987,0.33909446,0.437068,0.35158606,0.41672415,0.41881375,0.44108561,0.52572994,0.42911184,0.54678186,0.5281605,0.57118832,0.2866777,0.40419494,0.43072543,0.35195926,0.65555145,0.43721246,0.25803328,0.38162348,0.4307356,0.61096111,0.4111344,0.70628584,0.43784164,0.59531696,0.38046827,0.54376241,0.51003866,0.27000739,0.35919916,0.30357598,0.40529604,0.59059995,0.39378078,0.41920974,0.28380643,0.43114761,0.35205089,0.5396458,0.42666552,0.47770166
41,0,0.4420796,0.44659401,0.24058008,0.20023947,0.22519018,0.33308881,0.47043187,0.52897238,0.24537276,0.4393271,0.25494003,0.40009875,0.48982916,0.27983887,0.34972289,0.34082189,0.4260967,0.32433697,0.38830382,0.41871504,0.40506483,0.46737831,0.40456236,0.57507559,0.47349932,0.52680534,0.28030925,0.39716996,0.41404471,0.34880537,0.61672368,0.37657127,0.22895501,0.36247666,0.41529214,0.57330674,0.40353681,0.6645416,0.35094472,0.54174779,0.37397595,0.57493846,0.48988771,0.25935267,0.34746812,0.28364877,0.38918907,0.56315923,0.38030275,0.3886852,0.25404117,0.40646711,0.32668059,0.52756747,0.42166681,0.44964035
41,1,0.40295587,0.41980431,0.24417377,0.19927455,0.21573306,0.32417256,0.44299853,0.51884345,0.24070544,0.42834091,0.26782355,0.39097433,0.4651748,0.28864874,0.30951168,0.34962269,0.43442213,0.30553822,0.36066529,0.4181721,0.39546446,0.47251995,0.39159039,0.61672786,0.44143905,0.51899388,0.28880515,0.39598242,0.39801771,0.35763627,0.58260146,0.34390509,0.22631394,0.37557773,0.42137032,0.55962261,0.38940704,0.64837268,0.29955181,0.50842036,0.37808357,0.61712856,0.48200896,0.25918837,0.34886494,0.29653321,0.37139503,0.54328749,0.36748131,0.37288762,0.23664139,0.39593876,0.30801367,0.52824213,0.42545031,0.42348861
41,2,0.35865062,0.36546941,0.25107493,0.21741795,0.23423237,0.33874771,0.41007689,0.52081188,0.27000089,0.44297485,0.33648848,0.37522054,0.42147362,0.31380023,0.30531007,0.38117102,0.45293459,0.28857688,0.37210087,0.42217835,0.36533457,0.51290302,0.38496854,0.67289417,0.40667956,0.54431659,0.34569017,0.39944479,0.37817377,0.38669826,0.57517796,0.31855642,0.24000352,0.41206232,0.4643884,0.54985043,0.34383023,0.6526551,0.25064593,0.47784914,0.40341389,0.66094656,0.49565564,0.26194857,0.37593831,0.36848044,0.33942047,0.53311113,0.3553985,0.34938766,0.22751174,0.40027018,0.28057349,0.55921102,0.43654227,0.40572016
42,0,0.30058265,0.32885806,0.25917186,0.23479363,0.26915629,0.38057812,0.4188778,0.5267693,0.34488287,0.46907562,0.41642902,0.35871626,0.38155257,0.35037488,0.33960455,0.40699154,0.45569249,0.28919223,0.42515521,0.4384337,0.35485943,0.53477401,0.38406751,0.69923326,0.33638708,0.58449509,0.42678365,0.40363202,0.36775622,0.41234481,0.57085144,0.31195436,0.24592834,0.43161765,0.49242539,0.53630436,0.31083748,0.65827065,0.21170577,0.49031532,0.42529837,0.68770746,0.53118979,0.25699499,0.41119956,0.43410373,0.35239268,0.5386634,0.36516506,0.34353385,0.24270856,0.40835406,0.27124003,0.59455585,0.44585021,0.40868299
42,1,0.29768581,0.27293163,0.2710533,0.25372588,0.30802213,0.44340232,0.44276951,0.53751092,0.39206377,0.48987211,0.50379225,0.35773535,0.36525208,0.38949435,0.38382265,0.43953087,0.45065931,0.31644132,0.48955315,0.45670451,0.35250086,0.55618845,0.37766018,0.67854212,0.29187817,0.63793612,0.51711,0.40857495,0.35230564,0.42952969,0.55837108,0.32153595,0.24617484,0.42946429,0.50217739,0.50730229,0.33731552,0.66428093,0.19087793,0.51819354,0.44932795,0.69872945,0.56752777,0.24097593,0.44604063,0.51121929,0.47007729,0.5397688,0.40250775,0.34149272,0.26720838,0.42280642,0.27391758,0.62584333,0.44343704,0.42155335
42,2,0.30753506,0.23611593,0.28399059,0.25543739,0.33079184,0.47553925,0.45238835,0.55427514,0.42640064,0.48349498,0.55430496,0.36643845,0.35601061,0.41537619,0.4230003,0.44118556,0.44764285,0.34102964,0.53564804,0.45886805,0.3725653,0.5975281,0.36760584,0.62342333,0.2536943,0.66610607,0.57172852,0.41080352,0.32335161,0.42522193,0.53392808,0.38610759,0.2384805,0.41350957,0.49271963,0.47915165,0.40421797,0.66727489,0.18091221,0.54283511,0.46478857,0.68822362,0.5880837,0.21520578,0.47276196,0.55791629,0.55196863,0.53157539,0.47489513,0.35749827,0.29709642,0.44342354,0.26887581,0.63706897,0.4339395,0.43330194
43,0,0.29982838,0.20289819,0.28809312,0.24423158,0.33380878,0.46004716,0.43431212,0.54335102,0.44549746,0.46743627,0.5964545,0.3717314,0.34312477,0.38880964,0.4477831,0.4194745,0.4425752,0.35261744,0.56977083,0.4417407,0.35937725,0.61454008,0.36024743,0.54985961,0.21704133,0.65176662,0.63153357,0.40148828,0.30301561,0.40112925,0.48531016,0.41779569,0.21087244,0.38684641,0.46905422,0.44788678,0.41741333,0.6536084,0.16751033,0.54413736,0.43036444,0.65490352,0.58118059,0.16794545,0.48721851,0.59362147,0.63986731,0.51268247,0.5027722,0.34200878,0.30871795,0.43397804,0.25692176,0.59404985,0.40506765,0.44040932
43,1,0.25576362,0.19750433,0.25809057,0.21422736,0.31046853,0.40275085,0.40508752,0.42605363,0.43359758,0.45608961,0.58321704,0.30882159,0.32440165,0.31097011,0.39943829,0.38215292,0.41684047,0.34551049,0.52467234,0.32003126,0.25734977,0.48908624,0.35042906,0.48266739,0.22127951,0.52447444,0.62994841,0.3769124,0.31761563,0.36622102,0.41308126,0.38909618,0.18728761,0.36787465,0.4251198,0.32458388,0.4030303,0.53635213,0.13745496,0.40081422,0.32418247,0.59843564,0.46579125,0.13561981,0.44875478,0.55203822,0.612612,0.48325036,0.47074594,0.2391743,0.27017696,0.32002101,0.23335549,0.47363193,0.35271051,0.36412057
43,2,0.23568251,0.21362398,0.23430225,0.17286237,0.29194329,0.37802812,0.39047931,0.34417489,0.37936225,0.44391039,0.53069191,0.22905859,0.29825404,0.26224195,0.28753745,0.34212201,0.38329742,0.31967412,0.41761324,0.24126357,0.24034149,0.41525534,0.31844966,0.42585313,0.25890742,0.34871284,0.58852566,0.35535935,0.33521721,0.34191295,0.37587131,0.31861982,0.19651378,0.34411181,0.37394704,0.22692337,0.36100777,0.24479035,0.10929783,0.28442107,0.26524954,0.54391329,0.34311223,0.13025548,0.38484164,0.43703367,0.45906573,0.416564,0.38970454,0.21880921,0.22446371,0.23948237,0.21015951,0.34198838,0.30993709,0.28688132
44,0,0.24701844,0.26396458,0.22605267,0.1508311,0.28666148,0.37115536,0.34492066,0.30604477,0.35212434,0.42752553,0.3570374,0.32969059,0.2862558,0.22895389,0.17653535,0.3236476,0.38832199,0.2966632,0.28475512,0.25818526,0.31413259,0.42406026,0.28292334,0.3924622,0.40795262,0.21993066,0.42498992,0.30332357,0.35598903,0.32458961,0.45205695,0.20654773,0.24104235,0.32939426,0.31862968,0.30835315,0.21815562,0.24597453,0.15749187,0.33504438,0.23642774,0.52600651,0.23482236,0.15586133,0.33427212,0.32619654,0.25406379,0.31682558,0.30273573,0.27835631,0.2029108,0.19870915,0.16936954,0.29999063,0.27344652,0.2574756
44,1,0.29046011,0.29300842,0.26087012,0.17050289,0.31328665,0.3925596,0.3734991,0.35680672,0.36760488,0.46398592,0.26138179,0.43597762,0.30565766,0.23794634,0.18257939,0.34965906,0.45736447,0.33393136,0.30968039,0.28426292,0.40746769,0.46055178,0.29989989,0.41614471,0.59178954,0.24238401,0.32143999,0.28935842,0.38625053,0.34025139,0.60868078,0.23368955,0.28572057,0.33911064,0.33825977,0.42641712,0.20393852,0.32719893,0.1912734,0.46338534,0.25864312,0.54672437,0.25353132,0.17493633,0.3405635,0.3666424,0.295853,0.30360307,0.27098304,0.35650466,0.20600217,0.24543271,0.1596373,0.39922226,0.27204171,0.3496746
44,2,0.31031166,0.31117785,0.2812492,0.20464854,0.355861,0.39035019,0.40852282,0.42143891,0.40130044,0.51090893,0.25761989,0.48766952,0.33691157,0.23772952,0.22093319,0.37837076,0.53346548,0.41762004,0.33646049,0.29755676,0.45457263,0.48658608,0.35019308,0.46100432,0.68462654,0.34192668,0.31760224,0.29919031,0.4152397,0.36706719,0.71821207,0.31807644,0.33048684,0.36779295,0.37791509,0.48393802,0.24282595,0.40026812,0.21646015,0.54597062,0.30114557,0.56631462,0.28921274,0.19116077,0.36234484,0.41575978,0.35887878,0.33727955,0.30062922,0.39520912,0.22409534,0.29936101,0.15875427,0.47401612,0.27604068,0.39199349
45,0,0.34764263,0.31376022,0.2692978,0.20399352,0.37098029,0.29462056,0.43805006,0.48618842,0.48976574,0.42901039,0.32970289,0.55892034,0.38462261,0.2073058,0.31498652,0.36175107,0.57653193,0.52189288,0.37648502,0.30614511,0.47341904,0.45673631,0.41127002,0.46606911,0.78913061,0.41883898,0.3828163,0.33910395,0.39481934,0.37251342,0.79612647,0.42222423,0.40451624,0.36893674,0.46865069,0.55898596,0.34115798,0.50519103,0.2237455,0.62117228,0.33162183,0.61428571,0.33696386,0.21368603,0.36197009,0.40763421,0.42362583,0.46124378,0.36387014,0.41252407,0.26109787,0.3685672,0.16100456,0.59186657,0.22389037,0.47130502
45,1,0.34135703,0.29448229,0.25097316,0.18854768,0.34448479,0.24247664,0.44216424,0.49910704,0.50813218,0.31555231,0.35811945,0.53844635,0.3714966,0.20013922,0.34891402,0.29829985,0.52303715,0.54427977,0.38296926,0.30638368,0.43807372,0.3704372,0.43207952,0.4300324,0.80597857,0.44186767,0.39773628,0.35149599,0.35158864,0.33091278,0.79620967,0.446785,0.41671802,0.29545985,0.47819252,0.53877426,0.39657672,0.53268787,0.19318042,0.59055048,0.31725657,0.57751132,0.35981469,0.20064898,0.31038986,0.34919927,0.45834758,0.5156105,0.36390662,0.38554263,0.26976526,0.37848443,0.16820167,0.62780172,0.20115487,0.45717589
45,2,0.31774506,0.24414169,0.21941229,0.17051697,0.29574689,0.23101912,0.43932603,0.46477037,0.46718625,0.24534375,0.36284206,0.43097433,0.30085418,0.20514898,0.32959856,0.22993909,0.44936654,0.51289652,0.36803863,0.28768509,0.34311087,0.31642281,0.40022883,0.39840173,0.78415116,0.43650513,0.38814189,0.35735657,0.2969141,0.28625056,0.73859665,0.3857725,0.41580245,0.23188609,0.46137873,0.46042801,0.41501179,0.53293364,0.17498023,0.53010342,0.27816572,0.50309696,0.35315089,0.19100468,0.23897021,0.26695177,0.48445159,0.54339718,0.35326464,0.30492182,0.26485374,0.34867913,0.17590201,0.57827024,0.18590882,0.39849289
46,0,0.27319931,0.18482165,0.19030658,0.16287505,0.2204962,0.22330801,0.33504826,0.3752265,0.34539058,0.23985066,0.36566349,0.27855168,0.20506662,0.19766287,0.21357849,0.13455769,0.39659571,0.36937077,0.35476355,0.22787924,0.23691991,0.32182534,0.28656322,0.39086393,0.74429941,0.35572029,0.38006313,0.35708667,0.24063686,0.25845013,0.59779976,0.29729216,0.42104058,0.16159547,0.41665406,0.38473575,0.39476028,0.49080956,0.146744,0.42889473,0.20198079,0.40204082,0.31973983,0.18941921,0.17310379,0.14747043,0.42974717,0.56591005,0.33232719,0.21473465,0.25501625,0.25694742,0.1818458,0.4167916,0.13569766,0.2590769
