,,pid1263b-09,pid5667203-05,pid5667249-18,pid58917-03,pid59340-11,pid6100022-03,pid6100022-06,pid610003b-13,pid9048b-13,pid9049b-09,pid9050b-09,pid9054b-09,pid9055b-09,pid9056-14,pid9058b-09,pid9059b-13,pid9060b-07,pid9061b-06,pid9062b-12,pid9063b-13,pid9065-25,pid9066b-09,pid9068-18,pid9069-09,pid9070b-21,pid9072b-13,pid9073b-13,pid9074g-09,pid9075b-09,pid9079-08,pid9089-04,pid9093b-15,pid9094b-09,pid9097-21,pid9099b-13,pid9101c-03,pid9104b-09,pid9111b-11,pid9116-14,pid9118b-13,pid9133-09,pid9137-19,pid9138b-09,pid9139b-09,pid9149-14,pid9153b-09,pid9157-12,pid9158-15,pid9166l-03,pid9174b-09,pid917506-07,pid9179-11,pid918807-14,pid918821-11,pid918824-07,pid9192b-09
5,0,0.79447742,0.78517463,0.84518509,0.94935906,0.74650761,0.65078159,0.8260265,0.79160746,0.72044179,0.73317312,0.71667375,0.54407505,0.89967002,0.77836104,0.86968244,0.6488408,0.81820219,0.84668053,0.68561355,0.7464791,0.62622773,0.75509272,0.58465389,0.87817495,0.87325759,0.94320277,0.72049724,0.8146206,0.63432448,0.94344528,0.74964408,0.87236914,0.89303636,0.54841853,0.69852879,0.67789369,0.59720548,0.98920086,0.73815801,0.93594963,0.83450857,0.59725244,0.91335829,0.7100304,0.53533507,0.70933576,0.79783645,0.80403341,0.77616268,0.76369098,0.74503431,0.6573677,0.90189897,0.89320652,0.70409377,0.84584689
5,1,0.78958012,0.77631905,0.8341178,0.96260037,0.6950899,0.63006724,0.81027319,0.75334698,0.68216799,0.74646811,0.69244382,0.55499671,0.88570862,0.76880941,0.85080887,0.6578689,0.80225804,0.83544808,0.67863877,0.73426292,0.62693641,0.76957193,0.61833524,0.86792657,0.83917493,0.94703843,0.69256226,0.80012338,0.65809082,0.93346051,0.74474438,0.85594095,0.8877542,0.5605859,0.68263136,0.67020787,0.62125579,0.99128621,0.7311363,0.9263661,0.81984665,0.619892,0.89022519,0.66695145,0.51523445,0.68621474,0.76599868,0.80421062,0.75851724,0.76004005,0.74568436,0.60814607,0.90579187,0.88726574,0.69037318,0.81699777
5,2,0.78508729,0.75854595,0.81293729,0.97929286,0.62781812,0.61309056,0.7961312,0.68585992,0.64029572,0.76698137,0.66428008,0.5857867,0.86647383,0.76572824,0.82751648,0.67638876,0.76752564,0.82194488,0.67730513,0.72256499,0.62176527,0.78426854,0.65733696,0.8561987,0.80394811,0.95205429,0.67377671,0.78601172,0.6896879,0.91647564,0.73349357,0.84280927,0.88176776,0.589169,0.65466162,0.66021324,0.64696533,0.99277575,0.71795413,0.91611247,0.80688483,0.66610816,0.87108057,0.61191161,0.49614454,0.66903549,0.73386453,0.81719686,0.74017873,0.74245552,0.74553991,0.52825071,0.90432966,0.87633996,0.67440317,0.78831135
6,0,0.78420184,0.74058707,0.77801806,0.99168897,0.58428423,0.6086892,0.79268771,0.64645227,0.61214038,0.76416617,0.65341909,0.61537196,0.84976609,0.77044129,0.80894248,0.69039913,0.7190468,0.81565263,0.67679926,0.71352419,0.60042742,0.76747397,0.67578661,0.84725702,0.78638305,0.96083204,0.66817303,0.7682372,0.70652327,0.89835228,0.71849866,0.83833545,0.87374769,0.58490896,0.63466162,0.65147657,0.67239542,0.9977657,0.7016258,0.91569525,0.8054928,0.7136028,0.85960606,0.56338618,0.48759326,0.66135578,0.73267902,0.83906843,0.72183111,0.70465224,0.74344529,0.48270649,0.89901253,0.86290292,0.65862277,0.78248844
6,1,0.78501077,0.72783007,0.7252258,1,0.55251556,0.60995546,0.79506789,0.62068022,0.59414804,0.7378165,0.64842344,0.63547729,0.83514682,0.78071186,0.78767226,0.7078098,0.66207015,0.81701335,0.6735648,0.7069513,0.57221318,0.74986412,0.68071367,0.83201944,0.7748449,0.96488899,0.66231906,0.74297502,0.70877267,0.87992123,0.70477951,0.83714907,0.86442469,0.57140523,0.61704077,0.64300069,0.69097895,1,0.69235434,0.91817331,0.81007964,0.7538712,0.85353132,0.52586873,0.49429347,0.6510919,0.74385017,0.86085562,0.70015502,0.66801972,0.73853377,0.45433785,0.8957368,0.84170727,0.64482461,0.78526289
6,2,0.77532548,0.71996532,0.6264661,0.99971827,0.50471127,0.61345734,0.8020939,0.57949968,0.57417832,0.69182044,0.65407641,0.65489138,0.81464851,0.80225724,0.75659077,0.73648514,0.59812118,0.82365228,0.65926267,0.70066634,0.524012,0.73491749,0.67880435,0.80195464,0.76402385,0.966438,0.66661568,0.70785009,0.69700548,0.8559824,0.68532865,0.830547,0.85191478,0.55946545,0.60155528,0.62551967,0.71650511,0.98957325,0.67787152,0.92090424,0.81917346,0.79135234,0.84794747,0.4823051,0.52149176,0.62828935,0.75960377,0.88676061,0.66651468,0.59800508,0.72921632,0.41581611,0.89168249,0.80402924,0.6187193,0.79028943
7,0,0.75560511,0.71823136,0.54124793,0.98499789,0.46423755,0.6172212,0.80352527,0.55793824,0.55798521,0.62914771,0.66790041,0.66227781,0.79510046,0.82470415,0.71293439,0.76744249,0.57211066,0.82823713,0.64391814,0.69587035,0.48711646,0.72694958,0.6687214,0.77970842,0.7565869,0.95802906,0.6788242,0.69723165,0.68329116,0.8437976,0.67557548,0.8135211,0.83806673,0.56697012,0.59233291,0.61383754,0.74319273,0.97080509,0.66508481,0.92253521,0.81516853,0.81783531,0.84389765,0.45021769,0.55720726,0.60712466,0.76162141,0.90034596,0.63368594,0.54716167,0.72278801,0.39439489,0.88493164,0.76253748,0.5955184,0.78837986
7,1,0.72349938,0.71507307,0.45178094,0.95189463,0.42694502,0.62243472,0.80053165,0.53405639,0.54921172,0.57422539,0.68128957,0.65957867,0.77140679,0.84474318,0.66788496,0.79333576,0.56804275,0.83075923,0.62598298,0.68515137,0.45477195,0.7220797,0.6521024,0.7562851,0.75073725,0.94851368,0.6915472,0.69572795,0.66338394,0.8353667,0.67182213,0.7917044,0.82257241,0.58508403,0.58665826,0.60885173,0.75858004,0.94592984,0.6429739,0.92419147,0.7918692,0.83657588,0.84027735,0.43299105,0.60507399,0.58580528,0.75246791,0.90473378,0.59968083,0.4990218,0.72387143,0.37329531,0.87511394,0.71593891,0.57410153,0.7829166
7,2,0.66607637,0.70473124,0.33526269,0.89597126,0.35115837,0.62804122,0.79020121,0.50550768,0.5458003,0.4972792,0.69631697,0.640237,0.73953678,0.86997455,0.59745357,0.82032003,0.60275791,0.83226729,0.6105005,0.66371339,0.41772138,0.71745983,0.63358124,0.70684665,0.75225203,0.9165007,0.7104857,0.70636181,0.62486996,0.82522808,0.6852362,0.76113929,0.79992077,0.6175887,0.57985708,0.60862929,0.76516461,0.90355254,0.62789349,0.92403975,0.73643915,0.86127214,0.83180954,0.42092335,0.67199655,0.54949955,0.70917402,0.89975529,0.56511034,0.4501579,0.72936078,0.33844026,0.86233384,0.65792729,0.53971387,0.76882172
8,0,0.62803485,0.69290315,0.27265615,0.83744189,0.30006916,0.63491398,0.77716342,0.47995724,0.54653068,0.43077847,0.71014097,0.609763,0.70145357,0.89009346,0.54320701,0.83159378,0.64035163,0.83057722,0.60841573,0.64686575,0.39767908,0.72881927,0.61880006,0.67933045,0.75813391,0.88227484,0.73071735,0.71908544,0.56501476,0.81544331,0.70793196,0.73645173,0.7727969,0.63970588,0.56817991,0.60366649,0.7561523,0.85186564,0.61707531,0.90339343,0.68047283,0.88263321,0.82088728,0.41375175,0.72108975,0.50428571,0.67177348,0.88583242,0.54057086,0.42053455,0.73282774,0.31373831,0.84853779,0.62197339,0.51011807,0.75646515
