,,pid1263-07,pid52932-05,pid54293-08,pid5667249-03,pid5667249-21,pid9048-07,pid9049-07,pid9050-07,pid9051-11,pid9054-07,pid9055-07,pid9058-07,pid9059-07,pid9060-07,pid9061-07,pid9062-07,pid9063-07,pid9064-06,pid9065-04,pid9066-07,pid9067-07,pid9068-05,pid9070-15,pid9072-07,pid9074f-07,pid9075-07,pid9093-08,pid9094-07,pid9097-13,pid9098-15,pid9099-07,pid9100b-03,pid9101-07,pid9102-02,pid9104-07,pid9105-07,pid9111-07,pid9116-19,pid9118-07,pid9127-02,pid9137-04,pid9138-07,pid9139-07,pid9152-12,pid9153-07,pid915406-11,pid9165-03,pid9166c-10,pid9170-08,pid9173-12,pid9174-07,pid917509-06,pid917518-06,pid9176-03,pid9186c-07,pid918719b-03,pid918904-02,pid9192-07
4,1,0.12271517,0.26222207,0.27837693,0.57419084,0.22151686,0.16040508,0.27920701,0.094943435,0.41988319,0.15970411,0.24162318,0.18871106,0.21365785,0.31282555,0.19498282,0.25253797,0.16826923,0.14110175,0.18269409,0.3002998,0.14254938,0.24110623,0.3945634,0.13434211,0.19479669,0.29603977,0.18484698,0.19553779,0.20972862,0.23304369,0.19734538,0.21989459,0.25597512,0.22714817,0.19950461,0.19935343,0.19564769,0.37114747,0.30399613,0.46085288,0.14438137,0.24681884,0.22019289,0.26632534,0.18716567,0.19920986,0.22777573,0.19134222,0.09634651,0.19832856,0.25374304,0.34832057,0.32297858,0.14713256,0.19547888,0.19829811,0.51073111,0.20046313
4,2,0.13277728,0.29022235,0.32207333,0.75463125,0.20196007,0.19309805,0.28269117,0.10018855,0.4843205,0.20483856,0.32623856,0.1981342,0.23824197,0.33341523,0.19957053,0.23845414,0.19237541,0.1589501,0.25507455,0.27668559,0.14860624,0.30312929,0.42276681,0.15100567,0.20992397,0.31221751,0.20281241,0.22486753,0.22208602,0.23841677,0.21391851,0.28521292,0.26833788,0.21581523,0.2162259,0.24306443,0.20758681,0.34866352,0.29391125,0.46884593,0.1702329,0.25270189,0.23564167,0.28856056,0.2216632,0.17472728,0.22591664,0.22089274,0.10384406,0.22422607,0.27597398,0.39527497,0.34795181,0.15676259,0.21488269,0.22763397,0.56821284,0.23586747
5,0,0.14763975,0.29210213,0.32618997,0.77029011,0.18667447,0.20407684,0.27123757,0.10015427,0.48956071,0.21939923,0.38019061,0.19531838,0.25202873,0.34730344,0.19778193,0.22493751,0.19746073,0.15516526,0.31390231,0.22821968,0.15319705,0.31074664,0.41916193,0.15833489,0.21996033,0.30993047,0.2022811,0.23813331,0.21750868,0.24630102,0.22750589,0.34949407,0.26880751,0.20439421,0.22864873,0.2539809,0.21537974,0.335341,0.26441298,0.48027078,0.17877001,0.26330578,0.25372317,0.30036571,0.2343612,0.15841146,0.21959425,0.2264192,0.10376239,0.24166233,0.26292232,0.38007309,0.36158635,0.1693443,0.20622688,0.22464973,0.60033306,0.2353331
5,1,0.15691216,0.27166304,0.30579974,0.74030059,0.17438017,0.19365438,0.2560166,0.091446692,0.48019908,0.21257307,0.39502307,0.18729887,0.25825302,0.34627764,0.18698969,0.19660642,0.19447454,0.14072586,0.28874036,0.18424443,0.1483791,0.26625034,0.44984945,0.15620524,0.22167934,0.29810952,0.16848257,0.25124105,0.19404804,0.2380979,0.23773712,0.33281474,0.25634321,0.18187512,0.2211112,0.22181039,0.20868083,0.30764511,0.23066014,0.46817984,0.18002183,0.27870836,0.2551047,0.28742686,0.21571021,0.15121175,0.1974917,0.21504484,0.098758576,0.24823751,0.22059262,0.33861817,0.35741633,0.18233708,0.17438587,0.21860999,0.61084484,0.22690417
5,2,0.15924579,0.24301747,0.26221055,0.730374,0.19311782,0.18064152,0.23231245,0.080785053,0.482231,0.20477561,0.38160502,0.20561452,0.25788472,0.34,0.17671281,0.17362046,0.19215195,0.12551523,0.25944473,0.1916757,0.13943836,0.20865358,0.50148043,0.1468211,0.21265455,0.28567471,0.14178946,0.25830622,0.15939914,0.23067602,0.24783365,0.30803092,0.24808656,0.17002349,0.21261337,0.17740771,0.19523545,0.26665491,0.22969367,0.44720533,0.17293304,0.29385334,0.24516465,0.27389555,0.19520904,0.15066336,0.18101807,0.19698274,0.098165088,0.24327523,0.18528651,0.31063348,0.3492838,0.19481097,0.16256141,0.22905881,0.6090658,0.21883149
6,0,0.15773736,0.22377779,0.24967839,0.74491437,0.22854531,0.15859701,0.21815188,0.075629071,0.48677196,0.20414606,0.3654716,0.2198391,0.25676754,0.33902334,0.16937146,0.16767929,0.19383803,0.12252106,0.23597943,0.21905977,0.13611398,0.1721658,0.52483272,0.13791021,0.20680992,0.28171447,0.12528337,0.25342568,0.14230142,0.23631218,0.25680772,0.28456167,0.24462778,0.17078685,0.2066687,0.12374258,0.18159188,0.25366387,0.26370914,0.41918621,0.16491994,0.30666786,0.23346077,0.26237566,0.19070371,0.14496727,0.18722243,0.18671782,0.10535228,0.23774714,0.16835463,0.28442395,0.3352075,0.19524227,0.15328181,0.24493786,0.60790414,0.220399
6,1,0.15337178,0.20890089,0.24354631,0.78427123,0.27393403,0.13178894,0.20583547,0.071720946,0.50776571,0.21795125,0.36314953,0.23098254,0.25491376,0.34011671,0.16467765,0.1699577,0.20897887,0.12490603,0.23733676,0.25245902,0.1391837,0.16327889,0.53028605,0.13731864,0.19638347,0.2781508,0.11737036,0.23844938,0.13669666,0.25853795,0.26352565,0.2764813,0.24540839,0.18333333,0.20397073,0.14353808,0.17176153,0.29125467,0.30585553,0.40926006,0.18210335,0.32898394,0.21674342,0.25289643,0.18656193,0.1419954,0.19596459,0.18349318,0.11907329,0.22792014,0.16462334,0.27530456,0.31552878,0.19685289,0.14856197,0.26769572,0.59869212,0.24104738
6,2,0.15528838,0.19311216,0.26157804,0.86270535,0.31042931,0.11828929,0.19602187,0.071346418,0.54322968,0.23807447,0.3740413,0.23289113,0.25132282,0.34694103,0.162404,0.17085176,0.2209507,0.12668179,0.27033419,0.29683613,0.1481795,0.17295498,0.57080964,0.14022044,0.18319339,0.2609409,0.12419949,0.22850237,0.13136116,0.28469388,0.27049613,0.29536766,0.2462715,0.19351145,0.20534258,0.18514397,0.1640241,0.33949503,0.33508068,0.38900956,0.21719796,0.35883058,0.20222435,0.24400965,0.18387432,0.13522024,0.22471413,0.18973508,0.13259283,0.21762487,0.16423924,0.2852071,0.2696988,0.20228452,0.15330941,0.26600174,0.57869212,0.2713787
7,0,0.15355812,0.16767202,0.27019726,0.90332052,0.31303298,0.11428199,0.18988342,0.069977717,0.5568279,0.23880295,0.37482036,0.20137795,0.24253883,0.35848894,0.16052445,0.16462219,0.21263543,0.12492547,0.2816144,0.32706513,0.16007296,0.1728246,0.58819839,0.13315275,0.17397686,0.23397979,0.12151459,0.20250999,0.12554382,0.31198182,0.27001908,0.30210934,0.24070572,0.1944999,0.20485481,0.21968273,0.15918028,0.3591438,0.33171905,0.37577469,0.23565502,0.37586269,0.18835694,0.23339672,0.17633082,0.10871514,0.22923644,0.19478459,0.13885985,0.21165453,0.16031982,0.27774974,0.24268407,0.19880046,0.15200662,0.24944985,0.55770918,0.28607766
7,1,0.13817214,0.13289612,0.26236063,0.94428521,0.27734952,0.13130216,0.19366397,0.065058279,0.58651695,0.21128699,0.3466228,0.15683841,0.21831072,0.36453931,0.15629547,0.1514901,0.18466956,0.11963707,0.2535527,0.35209543,0.16215844,0.1614123,0.60623954,0.11357494,0.1631405,0.18670687,0.12296685,0.17946453,0.11783462,0.33092315,0.25245819,0.25606329,0.22138097,0.18683695,0.1960064,0.23077964,0.15367052,0.36376331,0.30056097,0.34582247,0.24456332,0.38000839,0.1639934,0.22552662,0.14872111,0.086473259,0.21306529,0.18843901,0.14029729,0.19301509,0.14306655,0.24903411,0.19007363,0.18716895,0.1368976,0.23589013,0.51534525,0.28351265
