,measure_number,beat_number,pid1263b-15,pid9048b-28,pid9049b-15,pid9050b-17,pid9053-20,pid9054b-17,pid9055b-15,pid9058b-15,pid9059b-19,pid9060b-13,pid9061b-12,pid9062b-18,pid9063b-21,pid9064-01,pid9066b-15,pid9068-21,pid9069-15,pid9070b-27,pid9072b-19,pid9073b-21,pid9074g-15,pid9075b-15,pid9085-08,pid9094b-20,pid9099b-21,pid9103-21,pid9104b-15,pid9111b-17,pid9118b-21,pid9124-15,pid9127-03,pid9139b-17,pid9153b-17,pid9166e-15,pid9170b-17,pid9172-11,pid9174b-15,pid918810-15,pid918812-15,pid9192b-17
10,5,0,0.45550187,0.58236524,0.63571377,0.52557301,0.52309003,0.51224689,0.5631978,0.43106258,0.62807783,0.53620947,0.67992321,0.46293708,0.52258946,0.88451486,0.72411119,0.70393421,0.49124591,0.51924654,0.74903463,0.51914421,0.56145841,0.48620475,0.83216629,0.5167723,0.68572997,0.49896811,0.62300073,0.61670365,0.7553384,0.38309977,0.51088917,0.52944195,0.51474661,0.6268334,0.82278095,0.48994264,0.49665246,0.41655215,0.42789688,0.51005844
11,5,1,0.39958975,0.47364799999999996,0.44224132,0.41455961,0.50309362,0.49807294,0.46449626,0.42671505,0.50578287,0.36280695,0.6987452,0.3693701,0.39886643,0.9318850000000001,0.51998187,0.55706824,0.38541869,0.24114449,0.55323322,0.47399278,0.44215464,0.4030041,0.58724847,0.49505833,0.52387486,0.41222399,0.47061785,0.41845202,0.54293809,0.35860861,0.34962923,0.47455905,0.38131721,0.63067955,0.59464381,0.49361516,0.41761067,0.39399665,0.39973203,0.37482468
12,5,2,0.29836813,0.34631194,0.36205502,0.26122243,0.43788558,0.39627819,0.34485831,0.41932767,0.26640298,0.45060372,0.54829104,0.3530132,0.39300738,0.81746161,0.52687078,0.35428429,0.26560262,0.17135908,0.37598069,0.32339539,0.28688897,0.30906207,0.3620771,0.45194268,0.32262166,0.55740367,0.32132013,0.34699751,0.50182835,0.21805138,0.32584007,0.38538481,0.26043439,0.54351335,0.36762667,0.46566904,0.34008111,0.24978529,0.24172057,0.36911039
13,6,0,0.17543076,0.29756161,0.48348617,0.2120369,0.3963325,0.35491832,0.34603355,0.27405176,0.23463357,0.57313119,0.52743703,0.34036433,0.40962852,0.71858053,0.65075033,0.28840854,0.34399151,0.22145923,0.41262642,0.25668241,0.28673507,0.26843513,0.33741431,0.46147699,0.3251921,0.54382306,0.39097183,0.43106718,0.6170704,0.18519353,0.28499566,0.32710838,0.35509946,0.44167995,0.34515048,0.41601197,0.31573412,0.19983252,0.20524857,0.37153896
14,6,1,0.29925244,0.32763215,0.70113366,0.28096439,0.38046090000000005,0.44156121,0.41964743,0.25582637,0.39403528,0.68430335,0.60918625,0.43276462,0.42562824,0.73995426,0.83779837,0.40898533,0.5318419,0.33229375,0.52294667,0.31928313,0.38351044,0.42009578,0.44189578,0.59866814,0.56113246,0.55240294,0.57300479,0.61250084,0.77081383,0.38640307,0.34994990000000004,0.3769429,0.37839320000000004,0.43655839,0.45624381,0.38222347,0.29437723,0.37992227,0.41997782,0.48576623
15,6,2,0.35989607,0.46835322,0.80070763,0.33305463,0.47073171,0.55197308,0.51560989,0.36663015,0.56533915,0.62792701,0.62888847,0.55547598,0.45885004,0.77754819,0.99989928,0.53159035,0.64700681,0.49011922,0.61266473,0.36210058,0.44938805,0.5724095,0.57116533,0.66461835,0.73210757,0.62389955,0.68113177,0.67318943,0.8205349000000001,0.48319152,0.44593493,0.42892455,0.32753919,0.49719012,0.59971048,0.42116847,0.31495738,0.46783613,0.53029015,0.57492857
16,7,0,0.39388276,0.69961682,0.79493104,0.44259046,0.54811693,0.72146802,0.55435504,0.45860605,0.67733224,0.5546805,0.61891563,0.62763807,0.52951379,0.84629206,1.0,0.61735941,0.69085684,0.71064378,0.71909286,0.43879781,0.50066691,0.66830452,0.75455149,0.6674566,0.86668496,0.69466734,0.74968742,0.73243225,0.84971358,0.53014681,0.58661233,0.46840044,0.39545934,0.54776804,0.77081905,0.53179324,0.36224911,0.50622665,0.5941046,0.6302013000000001
17,7,1,0.31997447,0.76226596,0.54067442,0.55246504,0.5088594,0.77364243,0.50167757,0.45800356,0.61731224,0.4467847,0.52546119,0.601705,0.5521851999999999,0.73170533,0.84329741,0.53401311,0.6080909000000001,0.84613257,0.7309760999999999,0.49365565,0.45672407,0.56992163,0.86268151,0.54448425,0.75020124,0.63986145,0.75899976,0.6531975,0.70706503,0.43354188,0.64630236,0.42099585,0.56407535,0.59075329,0.86758095,0.58238558,0.37539181,0.42195216,0.47981889,0.51533117
18,7,2,0.33093263,0.40406688,0.45772979999999996,0.49445005,0.45502152,0.47403935,0.43603450000000005,0.48226071,0.42214039,0.39369828,0.49050473,0.50652081,0.47519803,0.52411794,0.72201632,0.39730496,0.54545053,0.81273247,0.555616,0.43155506,0.33442287,0.47817515,0.84948773,0.49448884,0.59292902,0.5585438,0.70651944,0.44490619,0.37888602,0.38561895,0.54669651,0.38603419,0.54612357,0.57488043,0.8456381,0.44372116,0.29385483,0.40464637,0.42105895,0.43649351
19,8,0,0.358483,0.30841244,0.56944906,0.50248667,0.48966105,0.36153359,0.488911,0.61250856,0.44387161,0.36511328,0.51862534,0.46728044,0.47762906,0.62076119,0.71583241,0.52234385,0.59190026,0.82983309,0.55020686,0.48257849,0.4060535,0.5309429,0.86909413,0.52022596,0.60415295,0.62225429,0.74251847,0.46731222,0.42863205,0.50488822,0.49906473,0.44726423,0.52178956,0.56314269,0.88121905,0.38966829,0.33014847,0.52942629,0.55425984,0.57676623
