,,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
19,0,0.55315062,0.72248085,0.80656975,0.54297123,0.42970062,0.65760165,0.86039799,0.50060512,0.54946133,0.43601721,0.51758248,0.86268153,0.42060213,0.51735029,0.53585199,0.44755356,0.38028626,0.58358231,0.60385245,0.53339436,0.66007362,0.55703347,0.55861349,0.58002533,0.62047295,0.41891056,0.75875375,0.55553237,0.47690969,0.77387283,0.47259124,0.4199271,0.51470313,0.55859953,0.62579884,0.66691607,0.49860047,0.48283851,0.44243618
19,1,0.55606855,0.76250188,0.81731028,0.56079374,0.41062535,0.63603418,0.79143248,0.45962137,0.50047134,0.55540873,0.54779275,0.84753115,0.47203325,0.49127153,0.53183301,0.35601244,0.3772023,0.52308194,0.57819543,0.45125308,0.62677875,0.55314967,0.55411852,0.63433616,0.60367936,0.47438522,0.70767472,0.54887862,0.52643589,0.74655106,0.52158528,0.40467311,0.4879696,0.5288132,0.63803952,0.6417554,0.5187896,0.45117709,0.5017869
19,2,0.53735687,0.76603094,0.7928725,0.53910032,0.40940123,0.58679287,0.72554307,0.41521438,0.44603694,0.65238168,0.57709689,0.76183828,0.53731786,0.44337982,0.54674477,0.30449896,0.37256898,0.49479333,0.52980582,0.39382615,0.55084885,0.55536786,0.53616101,0.63850843,0.54791182,0.52799148,0.63558668,0.53034051,0.54759234,0.72913295,0.54590031,0.42104376,0.44783503,0.49534589,0.62437322,0.57242206,0.53687943,0.48639976,0.51365705
20,0,0.49093595,0.74629824,0.71763283,0.48291093,0.42849049,0.52052151,0.66547926,0.27009855,0.37705848,0.77189613,0.59322723,0.64298698,0.60163768,0.4030927,0.60671808,0.26933656,0.36190055,0.48104423,0.46639632,0.34572944,0.44912917,0.55832018,0.53165114,0.60574776,0.47208818,0.58006594,0.51508504,0.5435586,0.55692323,0.72635067,0.53730664,0.43355877,0.4142421,0.48421127,0.6321404,0.48603357,0.55839243,0.57011546,0.47832408
20,1,0.46768856,0.72099414,0.65117373,0.43042132,0.42262171,0.47460224,0.6258089,0.24086272,0.32013274,0.84511371,0.57217704,0.46000187,0.58672043,0.39830189,0.67041376,0.25075328,0.33621071,0.47275562,0.42513452,0.35203586,0.35600242,0.54972371,0.53334327,0.53986224,0.40577154,0.54500618,0.44311848,0.55539081,0.56580932,0.71253179,0.51460924,0.41888418,0.36303657,0.54998237,0.60279225,0.4569976,0.564,0.62193732,0.42770255
20,2,0.45756815,0.68894729,0.59786309,0.3884769,0.38781477,0.4141647,0.56146894,0.30755533,0.28591766,0.83735403,0.54862337,0.40179893,0.51454617,0.41824446,0.64061249,0.24937802,0.32439132,0.45218274,0.36411916,0.35912506,0.28525356,0.53722766,0.51597466,0.49424432,0.36234068,0.46038604,0.51959411,0.51492437,0.57173661,0.68343738,0.50404914,0.41990603,0.2826366,0.62538608,0.52379314,0.52088249,0.52388652,0.64842555,0.3913263
21,0,0.41798035,0.57683586,0.51843473,0.36111971,0.35460968,0.3506261,0.48809054,0.33562414,0.30218353,0.6811386,0.55163801,0.45348075,0.48768028,0.37175554,0.46651342,0.24495508,0.29930648,0.39920232,0.30588006,0.28865602,0.25565628,0.50674929,0.42306373,0.48867073,0.31190381,0.35791317,0.67698299,0.41385143,0.52880487,0.61444316,0.59963603,0.46676358,0.25394679,0.61585925,0.4261872,0.53341966,0.40857683,0.6091393,0.39627636
21,1,0.36677994,0.46994293,0.42292357,0.33104066,0.33562535,0.26316293,0.44664287,0.3199343,0.31230281,0.54720344,0.54456901,0.49004966,0.4752245,0.29093519,0.29650007,0.21360746,0.25930353,0.32549674,0.22875302,0.24117164,0.21861436,0.42748658,0.34365263,0.45858602,0.31781162,0.31700783,0.67208804,0.31474555,0.4572133,0.60621195,0.73829744,0.4601479,0.22083982,0.55178055,0.31838561,0.47169305,0.34059574,0.51660669,0.39120422
21,2,0.33573909,0.40596936,0.36658902,0.29648765,0.33589815,0.19974956,0.40873462,0.31072787,0.29242978,0.39857867,0.57110246,0.4949124,0.44114737,0.25039377,0.3169435,0.18746372,0.24797108,0.29936186,0.18589254,0.22768765,0.21190594,0.40733344,0.34292956,0.42573826,0.34724649,0.30487704,0.58527941,0.30326354,0.37616515,0.59963776,0.81341624,0.4583465,0.18264283,0.53075947,0.27069118,0.40719424,0.3166052,0.48869396,0.36986681
22,0,0.33310926,0.41142814,0.34609354,0.28406813,0.3454113,0.18318356,0.39533647,0.34533195,0.29823009,0.34807929,0.57490125,0.49440645,0.43487618,0.25579984,0.39555094,0.17383552,0.2411539,0.28737491,0.17913125,0.23147529,0.22261964,0.4014288,0.38006709,0.41332436,0.38686974,0.30100975,0.5274975,0.30833768,0.3513247,0.61183044,0.80108179,0.48807492,0.18090462,0.53086524,0.27846328,0.39135731,0.31714421,0.48512521,0.35120422
22,1,0.32999926,0.41199129,0.34105367,0.28311466,0.35609261,0.18280053,0.37353031,0.39555671,0.30190458,0.35207437,0.54616055,0.50697086,0.41875912,0.25957342,0.48065401,0.17090532,0.22611775,0.266657,0.18058957,0.23551543,0.22299324,0.38759867,0.43409616,0.40140131,0.4117996,0.28244264,0.50133629,0.30278668,0.34478824,0.56900963,0.76792033,0.51557002,0.17290511,0.52825612,0.27915643,0.40129496,0.32018913,0.47894737,0.31923973
22,2,0.31978282,0.41093257,0.33842174,0.29180996,0.3686136,0.18053182,0.36991493,0.47117047,0.31611197,0.34429164,0.54996515,0.56317811,0.4150731,0.25612797,0.54286668,0.18588113,0.20832227,0.26701233,0.17714263,0.24399975,0.21600462,0.42619198,0.47276183,0.40603278,0.45557515,0.27347163,0.51547806,0.3121675,0.3918391,0.52924855,0.75947831,0.51570697,0.1750109,0.55288061,0.2830646,0.43172182,0.32246809,0.49072575,0.30085461
23,0,0.2890079,0.38357111,0.31901263,0.3115231,0.38156128,0.16864319,0.37195807,0.59771784,0.3180454,0.33392747,0.58898699,0.58507449,0.44373253,0.24821165,0.55208364,0.22205252,0.20422016,0.26961566,0.16847072,0.26749574,0.21378496,0.47976792,0.51105479,0.40596944,0.54088978,0.2704355,0.501322,0.31318829,0.4144943,0.5503738,0.77054898,0.5336578,0.18979503,0.6240251,0.27590699,0.43702638,0.33670922,0.47219223,0.28312431
23,1,0.27359829,0.35090104,0.28950139,0.33231196,0.40646335,0.15260018,0.38141425,0.69081086,0.26942093,0.33620928,0.58085502,0.53409538,0.4494842,0.24830189,0.53269316,0.25925363,0.2322414,0.265562,0.15175856,0.28039265,0.21277402,0.51559836,0.54090198,0.39796532,0.58448096,0.27086825,0.45260111,0.30395649,0.44507832,0.55277071,0.75573754,0.58650949,0.19418105,0.66000987,0.26680759,0.45460911,0.35635934,0.44982006,0.26705882
23,2,0.2586319,0.34690644,0.27881686,0.36488469,0.43163822,0.14018857,0.3941592,0.74993084,0.23149288,0.35833589,0.59967472,0.51472875,0.45654702,0.27105824,0.52393593,0.31243262,0.26941124,0.26880348,0.14001404,0.27409886,0.22298225,0.60510736,0.54978755,0.43011638,0.64476152,0.2858291,0.38482921,0.3073467,0.46936763,0.57765703,0.71003943,0.60752586,0.20355741,0.70294761,0.26366631,0.47813909,0.36314894,0.47091018,0.27129856
24,0,0.27172195,0.36851629,0.27527775,0.40358569,0.46201035,0.1422142,0.38721707,0.78531293,0.20573297,0.38755378,0.60670307,0.52329242,0.47754991,0.26425759,0.50430817,0.35416033,0.25040578,0.25407542,0.14250955,0.25480715,0.22437229,0.65978844,0.53054789,0.45834851,0.67853307,0.29146861,0.32296699,0.31107965,0.46333398,0.61218497,0.73571934,0.59319891,0.2050651,0.72103519,0.25744273,0.47990408,0.35838298,0.46923827,0.26194229
24,1,0.27984782,0.38698754,0.27010349,0.40889903,0.47713346,0.13975398,0.37308978,0.76672718,0.18688919,0.41519668,0.57072491,0.53893001,0.49625213,0.2616653,0.47194869,0.35562543,0.19647337,0.22775925,0.144311,0.24149359,0.23637163,0.72385538,0.5151025,0.4669464,0.65452505,0.2832738,0.33292125,0.30870278,0.42291626,0.63315607,0.75083409,0.57502686,0.21173136,0.72498413,0.25119457,0.46313669,0.36120095,0.44670115,0.2481909
24,2,0.36660264,0.37709115,0.30767852,0.46178796,0.58529659,0.19468179,0.35514963,0.7488935,0.21782416,0.46210817,0.54120586,0.58610513,0.55386785,0.2978671,0.31426665,0.34850726,0.18289804,0.26275562,0.2051704,0.28776592,0.33205868,0.75471266,0.54913902,0.51420315,0.57932665,0.26287265,0.3197942,0.28717681,0.33822278,0.60694412,0.70235568,0.57809241,0.27937823,0.69662224,0.22354242,0.45452278,0.38034988,0.43825161,0.28689789
25,0,0.45539632,0.40577414,0.35833483,0.48043354,0.6804141,0.26646288,0.34928604,0.67086791,0.25659869,0.54038875,0.5461257,0.60885412,0.57517997,0.35891715,0.25424885,0.36855563,0.27572672,0.32425671,0.23934337,0.34800833,0.38908302,0.67699716,0.573306,0.57485551,0.52101002,0.27935843,0.33991711,0.3166232,0.31637014,0.59115992,0.65812355,0.56442913,0.34250825,0.60994288,0.26108544,0.46298321,0.52605201,0.43462288,0.34349612
25,1,0.52926055,0.53812885,0.48473479,0.51365007,0.79868495,0.33846494,0.42605955,0.61493776,0.3411312,0.68483405,0.56147189,0.64907711,0.55436262,0.48993437,0.27452173,0.45682101,0.55956913,0.4566715,0.30986509,0.4309387,0.52088347,0.60082886,0.60720835,0.70547858,0.56816834,0.39416815,0.43403602,0.4339319,0.38502224,0.6966474,0.64750784,0.59713882,0.46246963,0.51853184,0.36928031,0.5075012,0.5627896,0.43582246,0.44740289
25,2,0.52939351,0.64576513,0.57170056,0.52593921,0.84499161,0.39655274,0.54281483,0.61166148,0.42217199,0.78818377,0.59764173,0.72590649,0.52415704,0.59626743,0.43718671,0.53686247,0.6644533,0.5271211,0.34695469,0.47575279,0.61820779,0.61154878,0.62583675,0.82440029,0.67678557,0.54638,0.51779334,0.55729826,0.46335332,0.80262042,0.67617026,0.67690622,0.53513177,0.53789578,0.48884082,0.57245084,0.59540426,0.46075124,0.54161487
26,0,0.50494201,0.72126445,0.6524281,0.53329802,0.8548545,0.46348704,0.69746316,0.61774723,0.52384571,0.87300246,0.64300651,0.79722665,0.54080598,0.70741591,0.55448613,0.58577747,0.68211598,0.66812908,0.40506902,0.52536456,0.69375309,0.65824913,0.63489378,0.91512944,0.8092986,0.7295645,0.59316135,0.75270099,0.56077161,0.85595376,0.713578,0.73541495,0.61115818,0.65094845,0.5851932,0.66597602,0.64120095,0.5142825,0.59800222
26,1,0.54141243,0.73722781,0.75155676,0.62043843,0.84240347,0.59882145,0.84778976,0.63700726,0.61063871,0.91180086,0.68848745,0.82418252,0.64092225,0.77397867,0.62700578,0.66897719,0.67611037,0.84735315,0.48452,0.55350672,0.73155321,0.69167193,0.6389713,0.91536695,0.89851703,0.81838165,0.64767043,0.84963863,0.658538,0.81911368,0.68259023,0.75662095,0.68163977,0.76821099,0.65824403,0.81255635,0.63529078,0.6234368,0.61082131
26,2,0.57263057,0.72329929,0.80992967,0.71276995,0.84443201,0.67472009,0.91098283,0.64242739,0.63333975,0.92194222,0.68087825,0.80736438,0.74274547,0.8064315,0.61316921,0.7438839,0.63286115,0.9031182,0.54117601,0.55577931,0.75078292,0.68058889,0.64132687,0.85416832,0.89851703,0.81364198,0.67618265,0.88450935,0.69078515,0.7563237,0.59614801,0.77078988,0.7178992,0.81305973,0.68700226,0.91369784,0.61128132,0.70726496,0.5881798
27,0,0.57358351,0.69918156,0.85406774,0.7635971,0.82918299,0.75522982,0.92784445,0.62940871,0.61263948,0.91034112,0.64794377,0.76688841,0.77850481,0.82731747,0.55814919,0.77871458,0.59560277,0.87005076,0.60429697,0.5390695,0.75358497,0.66469845,0.65325382,0.78571768,0.84913828,0.73821954,0.68112048,0.8871172,0.6863276,0.72016956,0.51167728,0.7680509,0.7046913,0.76341584,0.70219251,0.93396643,0.60465248,0.75663518,0.57574917
27,1,0.50746103,0.65662262,0.84467118,0.74491891,0.78350588,0.7578079,0.95336473,0.58303942,0.5310504,0.87031346,0.46515451,0.69261688,0.66984143,0.7521329,0.4703322,0.73724948,0.55443412,0.77839014,0.61087109,0.48997538,0.71512554,0.67582097,0.69807678,0.59166337,0.63654509,0.5233892,0.63587252,0.90425453,0.6052601,0.72198844,0.4395966,0.7555991,0.62388636,0.54005359,0.69609675,0.83398561,0.5927565,0.7371495,0.56126526
27,2,0.43299845,0.63406668,0.79337649,0.64527748,0.70691102,0.68192398,0.96407413,0.5304547,0.47049827,0.80938844,0.40469331,0.64482339,0.53411424,0.63335521,0.47836275,0.62757429,0.53002804,0.79347353,0.56737113,0.43927782,0.63122905,0.69473476,0.69095788,0.53977516,0.53728257,0.46404726,0.60825354,0.87586618,0.55915684,0.71317919,0.43903549,0.72370057,0.52312628,0.44382625,0.61188674,0.69348681,0.59146099,0.70059229,0.50982797
28,0,0.41818719,0.65422736,0.71744243,0.53312688,0.64658646,0.55529611,0.94857967,0.47720436,0.43078107,0.72887984,0.40173095,0.60994097,0.42436237,0.53113208,0.55693312,0.46133379,0.52625055,0.8271211,0.4829837,0.40972161,0.51983957,0.69886328,0.6564741,0.49764864,0.44936273,0.44757522,0.62041589,0.83518367,0.54100754,0.67004239,0.44200789,0.64044624,0.43574855,0.50163599,0.52236752,0.6075012,0.60102128,0.6394362,0.45929523
28,1,0.42739898,0.71220153,0.67875862,0.46565887,0.58393257,0.48674131,0.86822118,0.42929633,0.39389188,0.64041948,0.4093053,0.55799681,0.42772679,0.4602379,0.65110485,0.33510712,0.49189907,0.79311095,0.41896592,0.38748185,0.43321796,0.63399116,0.57504286,0.47175204,0.41922244,0.44251958,0.68808061,0.76126965,0.54092052,0.65057418,0.45947831,0.5307608,0.38051212,0.61746703,0.46064792,0.61285372,0.58753664,0.60626031,0.39735294
28,2,0.4374012,0.70873254,0.609466,0.41877598,0.53090375,0.40693872,0.73476379,0.38820021,0.35563678,0.54997695,0.41790195,0.53115338,0.42627959,0.42397047,0.64229571,0.28979267,0.40069352,0.70585207,0.35837947,0.36382173,0.37378715,0.55527313,0.50193067,0.49299343,0.39625651,0.38050556,0.73681578,0.66278966,0.51256043,0.62873988,0.51198059,0.45970545,0.3347455,0.65933996,0.40926163,0.63297842,0.47076123,0.611426,0.36122087
29,0,0.50384132,0.60006007,0.53863901,0.38344878,0.48554141,0.3530274,0.55743582,0.38088693,0.35626202,0.4315842,0.45898002,0.56784409,0.45053559,0.42329779,0.47555242,0.2775812,0.32121883,0.59973169,0.3123918,0.27480588,0.34573375,0.52673666,0.46815505,0.51159053,0.41747495,0.32926913,0.72366729,0.62866403,0.45578225,0.68242775,0.6734405,0.43212608,0.28519095,0.64182357,0.37938256,0.58134293,0.38243026,0.58224621,0.36895117
29,1,0.51901455,0.46630125,0.44032793,0.34828457,0.4511052,0.27544932,0.42056813,0.39141598,0.36256252,0.34119545,0.4699698,0.59779818,0.45929298,0.40364233,0.38131396,0.24926054,0.28019773,0.51108774,0.26118693,0.20977211,0.30743366,0.5045311,0.42380171,0.47210039,0.42786373,0.31054403,0.61779334,0.58140973,0.41257977,0.71105202,0.77196441,0.43532857,0.24934895,0.56426909,0.31395635,0.49236451,0.34708274,0.51545959,0.371404
29,2,0.50876117,0.3720829,0.36082116,0.33031538,0.4063934,0.20174573,0.37782166,0.43380014,0.36217776,0.30233559,0.50766148,0.6474562,0.44347278,0.37831829,0.34480202,0.25013822,0.27324775,0.43687455,0.20178585,0.21171012,0.26582056,0.47864698,0.39975401,0.41708495,0.48045691,0.29892842,0.47489638,0.526235,0.37051827,0.70578035,0.82822768,0.44138592,0.21708305,0.49740498,0.27430931,0.41213429,0.3312435,0.4831309,0.3522697
30,0,0.46336707,0.35154678,0.34052728,0.32382854,0.38855624,0.1844505,0.37357588,0.51249136,0.35180839,0.31148586,0.55311919,0.68796964,0.45784578,0.33483183,0.46051461,0.24886662,0.26284492,0.40316896,0.17704905,0.23942302,0.23935498,0.45146037,0.43282147,0.37105534,0.53571142,0.28552686,0.40823925,0.50696669,0.35341327,0.71608478,0.80350824,0.45955797,0.21878388,0.50433679,0.25047193,0.38179376,0.33439243,0.4957115,0.31828524
30,1,0.418985,0.33319568,0.32893558,0.31785511,0.37760912,0.17873453,0.36920857,0.5916926,0.31775683,0.31673325,0.55069122,0.64705331,0.47108082,0.29136998,0.53514756,0.2472633,0.25105504,0.3699855,0.16285581,0.2616249,0.21461458,0.42518945,0.49169586,0.37682685,0.55276152,0.27267482,0.41068315,0.49348037,0.35389673,0.6780578,0.74830654,0.46853338,0.20916454,0.51961075,0.23800511,0.39442686,0.35147045,0.509994,0.26825749
30,2,0.41807638,0.31657907,0.33251949,0.31369897,0.38268747,0.18064968,0.3472429,0.65661307,0.29554636,0.33480332,0.56442263,0.64937693,0.48267076,0.27,0.59998517,0.25426399,0.24795632,0.36696157,0.16554628,0.27732466,0.21098291,0.4729239,0.52442042,0.43288734,0.60294188,0.27687182,0.36376304,0.49950823,0.37046993,0.64165703,0.69886766,0.47198871,0.20107781,0.59619914,0.23693835,0.40430695,0.37686052,0.53804918,0.23631521
31,0,0.41735983,0.31892927,0.33004435,0.30193953,0.40059457,0.17427814,0.3259684,0.73367047,0.28970758,0.35583897,0.5817263,0.68550548,0.48800188,0.25455291,0.60223936,0.25082239,0.24630367,0.3460116,0.15955705,0.29332744,0.2160211,0.49670035,0.5350205,0.47425382,0.67904609,0.28535513,0.35882521,0.5025706,0.3680526,0.62805395,0.7261652,0.50764806,0.1950595,0.66386715,0.25210402,0.40717506,0.38807565,0.54648373,0.22206992
31,1,0.42883209,0.3312209,0.32000941,0.2982805,0.44619474,0.1682086,0.31719581,0.76819675,0.26771835,0.37380148,0.55339219,0.6793685,0.46923781,0.25290402,0.54409017,0.24919834,0.23956028,0.31319072,0.14852999,0.28953349,0.22429537,0.49595832,0.54439806,0.48092788,0.69039679,0.29101525,0.38511505,0.50560316,0.36170953,0.62917919,0.76574664,0.5321935,0.1989035,0.68910514,0.27553338,0.4113765,0.37897872,0.52182486,0.22251942
31,2,0.46301248,0.33532813,0.30956008,0.31197946,0.54425713,0.16384797,0.3230594,0.73374827,0.25161601,0.40235095,0.55932853,0.70099316,0.45440714,0.28736669,0.5418953,0.25402903,0.23811421,0.27633793,0.14519223,0.26542516,0.24494808,0.56741396,0.57376817,0.49829784,0.72590782,0.29802858,0.41807918,0.52476716,0.36966738,0.6870289,0.78849459,0.54926996,0.21106473,0.7340103,0.2980582,0.4192518,0.37098818,0.5020018,0.24291898
32,0,0.46531728,0.32462832,0.29539244,0.36124195,0.63450616,0.1614835,0.33093574,0.7402749,0.22609658,0.40999539,0.58567612,0.72385459,0.45837766,0.3259475,0.53044639,0.25098134,0.21617235,0.23147208,0.14669734,0.2427372,0.24210758,0.60214714,0.60224376,0.47854485,0.74146693,0.28890644,0.42296699,0.53633112,0.38121253,0.72759923,0.82327368,0.57486885,0.20867859,0.75135745,0.29957231,0.39518465,0.34174941,0.47746289,0.25979467
32,1,0.45852109,0.30623968,0.26841233,0.43333877,0.70271405,0.14940336,0.32893058,0.75757261,0.20810889,0.41071758,0.57691101,0.72050033,0.48572595,0.34623462,0.49974047,0.24246026,0.19532241,0.19606236,0.14256414,0.2538413,0.22906983,0.64865804,0.61499068,0.45826934,0.71850902,0.27573156,0.39094612,0.51533418,0.35498936,0.76337572,0.80962491,0.59107094,0.21216124,0.73873493,0.29317176,0.36615827,0.33037352,0.42522117,0.27152608
32,2,0.5067297,0.29638084,0.27122346,0.5353109,0.77112479,0.18027401,0.35277989,0.76917358,0.22393228,0.49561309,0.55855019,0.7477935,0.58136457,0.36858901,0.38700133,0.24620594,0.25176332,0.20453227,0.16989004,0.29924878,0.26121092,0.67105305,0.57629519,0.48767319,0.68283768,0.25899849,0.32465342,0.48247523,0.29739896,0.7695106,0.73071479,0.59769715,0.27185845,0.69974614,0.263509,0.38050839,0.37658629,0.36926826,0.31363485
33,0,0.54042993,0.33012464,0.32739002,0.59462961,0.79623671,0.24479965,0.38994379,0.591926,0.25414583,0.65772895,0.5619598,0.77057997,0.60803256,0.44462674,0.28327896,0.29738079,0.42520289,0.29350254,0.21842783,0.36344296,0.36150212,0.60607831,0.51615356,0.59481435,0.62865731,0.23729221,0.34748464,0.46999478,0.30965964,0.71056647,0.66398746,0.55585403,0.36608934,0.57138425,0.27836004,0.45655635,0.52089835,0.28230619,0.37895117
33,1,0.58553594,0.4761751,0.44975809,0.60413984,0.81155568,0.33954037,0.47389488,0.54725104,0.30059638,0.81576521,0.55926464,0.7677504,0.57029414,0.60099262,0.25628059,0.39944713,0.58975948,0.40662799,0.29024409,0.42052269,0.45034339,0.58060467,0.4996571,0.74313989,0.66124248,0.37442643,0.48107046,0.54220997,0.41959002,0.75191522,0.6305227,0.58398121,0.48727805,0.52178972,0.35918789,0.56476739,0.59252009,0.24210526,0.45147059
33,2,0.64458152,0.61362066,0.52267942,0.61469318,0.83533856,0.38336771,0.58777913,0.56214557,0.36614082,0.90803626,0.58538569,0.7470252,0.50566509,0.71041838,0.37194127,0.49752592,0.69926221,0.49474982,0.33147469,0.47911117,0.55799132,0.59821598,0.54814014,0.88456971,0.75308216,0.5230114,0.6027226,0.65846062,0.47265519,0.84123314,0.62632696,0.70109348,0.58416921,0.54695014,0.47425524,0.67961631,0.64919149,0.26978558,0.53516648
34,0,0.69409766,0.67970416,0.60368695,0.60854046,0.86296866,0.44371685,0.734741,0.57345263,0.47158523,0.89259373,0.63969563,0.76035791,0.4826955,0.83199344,0.50409313,0.57405667,0.71727903,0.64002901,0.38055057,0.53324916,0.6508983,0.63650931,0.59022736,0.96706516,0.87182365,0.70174475,0.70072888,0.81066985,0.52859215,0.92755299,0.62531594,0.78024988,0.65578469,0.62470912,0.56621768,0.79718945,0.72351773,0.39248763,0.57652608
34,1,0.7634631,0.76903439,0.75422229,0.67765463,0.84848909,0.61672805,0.84125779,0.59152835,0.62124856,0.82022127,0.67634758,0.80046847,0.58287361,0.92936833,0.60258787,0.67150657,0.74594954,0.8,0.53487483,0.55885992,0.67754519,0.66939533,0.57138278,0.96160241,0.94829659,0.83383707,0.74446191,0.9062663,0.59512667,0.91445087,0.56662623,0.80523776,0.70275995,0.73238841,0.64644578,0.86666667,0.77390071,0.52152497,0.62192009
34,2,0.80564379,0.85035291,0.85577009,0.79348056,0.8072188,0.75044196,0.87141121,0.51926867,0.6853309,0.69308543,0.66403346,0.81630282,0.7520471,0.94946678,0.64887291,0.72087077,0.75272244,0.86207397,0.66079701,0.54253519,0.65721664,0.65337859,0.49932165,0.88607395,0.9238477,0.84736914,0.67207375,0.92318009,0.60061884,0.84585742,0.42847033,0.75977077,0.72188649,0.75946689,0.65558942,0.82929496,0.77714421,0.58319838,0.63335183
35,0,0.77092413,0.89285178,0.88166383,0.85852824,0.77616116,0.79500589,0.85508127,0.40569675,0.68228165,0.56642594,0.63208643,0.80928511,0.80895777,0.88933552,0.63961886,0.73365584,0.7526044,0.78542422,0.7221789,0.50171706,0.60485688,0.58778813,0.37473723,0.78617687,0.82164329,0.74186015,0.5094612,0.92526637,0.52719977,0.76806936,0.32646345,0.72019257,0.72500156,0.67396516,0.64924786,0.71283453,0.72275177,0.53867146,0.61026637
35,1,0.55433996,0.75229013,0.71455291,0.76406976,0.6211108,0.60742487,0.84535926,0.25984613,0.55248172,0.44670406,0.43765102,0.74959243,0.69496326,0.59584085,0.53301943,0.65782999,0.73601889,0.54722263,0.58561179,0.43701155,0.4837921,0.51810073,0.29206858,0.49586731,0.46068938,0.53749141,0.44171073,0.93264287,0.42568169,0.67831985,0.32482054,0.69781725,0.6959691,0.40411113,0.58081801,0.50742446,0.53311584,0.27480132,0.50036626
35,2,0.49239861,0.68062021,0.6053221,0.6202184,0.52695859,0.48249116,0.86692997,0.27724758,0.48539823,0.45050707,0.35713871,0.68679846,0.58783366,0.48678425,0.51530476,0.5864962,0.68899218,0.60274112,0.48010606,0.425434,0.39392341,0.53631986,0.36007454,0.51114718,0.40487375,0.56917159,0.57914106,0.90172118,0.45035776,0.6312447,0.37141341,0.71958157,0.64874463,0.40799662,0.51902468,0.50721343,0.45258629,0.27161493,0.4291121
36,0,0.4621999,0.64752966,0.47917973,0.51188167,0.48031617,0.36382587,0.91014735,0.32346127,0.47546172,0.51047173,0.31692031,0.57773822,0.51280212,0.50112387,0.5690568,0.50512785,0.66392209,0.7284264,0.35663261,0.44622814,0.3351629,0.58239659,0.44155796,0.57739688,0.40953908,0.68168704,0.73281406,0.88234856,0.497544,0.5824817,0.42620059,0.68857847,0.61673416,0.53414428,0.49390424,0.54743405,0.42616548,0.34618384,0.40120977
36,1,0.49903967,0.6439105,0.47933653,0.50237144,0.46769026,0.3740277,0.88812092,0.32833679,0.5264621,0.56337585,0.32444819,0.56220369,0.52434258,0.52275636,0.66991695,0.50286109,0.6429246,0.76105874,0.34080168,0.48813838,0.31331795,0.56396432,0.44310846,0.58290713,0.43923848,0.75580437,0.74446191,0.85932494,0.49641269,0.57996917,0.42583662,0.61555317,0.60400598,0.56976941,0.49360928,0.58917986,0.44646809,0.35187434,0.39573252
36,2,0.55082367,0.60586424,0.5117597,0.4988917,0.46380806,0.40712286,0.7766216,0.31641598,0.54448826,0.58214505,0.36969679,0.58239483,0.51278975,0.49885152,0.70129023,0.53744299,0.59186956,0.73081943,0.39282539,0.50325106,0.28684138,0.50240764,0.38509877,0.54659172,0.46984369,0.70758346,0.68996713,0.82013263,0.46833301,0.59148362,0.40857851,0.52978109,0.58762694,0.54271913,0.48662373,0.637506,0.48323404,0.31088619,0.39366815
37,0,0.5984487,0.58131101,0.51602679,0.49107652,0.52621013,0.41977755,0.65114689,0.35121888,0.54578684,0.59291641,0.44180414,0.6213061,0.52404572,0.48586546,0.6986727,0.5907671,0.57261325,0.69505439,0.42335647,0.46295057,0.28972584,0.45392327,0.29772643,0.48544058,0.50711824,0.58414617,0.63396456,0.80940317,0.50183717,0.60591908,0.4170003,0.46691107,0.59174506,0.51835555,0.50103235,0.70094964,0.53752246,0.29500675,0.41148724
37,1,0.6676073,0.6243505,0.49969761,0.50875234,0.58920677,0.40523718,0.59011849,0.45235131,0.54063101,0.65763675,0.46235479,0.68247915,0.6476882,0.47258409,0.64380098,0.60243262,0.58207171,0.70868745,0.41533183,0.39170507,0.33376188,0.45595201,0.27006336,0.42015676,0.51380361,0.51427394,0.59809204,0.77579912,0.61752079,0.60685934,0.48565362,0.44784358,0.59092268,0.50923066,0.52526792,0.72518945,0.59481797,0.35610286,0.44933407
37,2,0.65278865,0.69675627,0.51425724,0.54624725,0.62514689,0.40338833,0.62080358,0.52308091,0.56226433,0.72114321,0.43711083,0.7079078,0.74769314,0.46413454,0.62440308,0.56481686,0.62005312,0.76548223,0.39890821,0.39026577,0.40583484,0.53985633,0.35058517,0.4490935,0.4939479,0.56547603,0.61311276,0.70423962,0.67301296,0.60906358,0.53275705,0.48980258,0.5713102,0.52951132,0.54026153,0.73135731,0.61555556,0.47045284,0.47936737
