,,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
5,0,0.46422398,0.44725935,0.37412642,0.79212778,0.49526441,0.24277401,0.52339359,0.68848548,0.39533474,0.53844499,0.63760455,0.74279959,0.86967815,0.44029532,0.31983538,0.43805114,0.6035709,0.40416969,0.27050612,0.55851272,0.39389045,0.83864856,0.56899739,0.71365688,0.42895391,0.32012639,0.27007289,0.40871023,0.38428737,0.59342582,0.70639976,0.83588269,0.39734596,0.72322121,0.34643103,0.47627818,0.65268085,0.43865647,0.34287458
5,1,0.44297112,0.57873555,0.50241914,0.81933013,0.70061556,0.34099882,0.53583473,0.68360131,0.42068103,0.68543331,0.69900093,0.68126113,0.73802043,0.59758819,0.33779475,0.56201106,0.7853475,0.48203771,0.37020198,0.54288239,0.43007527,0.83201768,0.60484532,0.8043702,0.44379158,0.40197142,0.43693011,0.51154161,0.50942758,0.76376108,0.68557274,0.83511367,0.48216311,0.6338058,0.39990168,0.51790887,0.64450118,0.4120108,0.44555494
5,2,0.4457413,0.69963959,0.57444449,0.82576807,0.80190263,0.39130082,0.66875285,0.65156466,0.4657272,0.7887984,0.79995353,0.72268341,0.64894986,0.66366694,0.47045084,0.63653075,0.8852147,0.56193619,0.4077439,0.5663342,0.47024889,0.88356489,0.70067835,0.9251049,0.54209218,0.52953702,0.56519223,0.64030996,0.61073293,0.89633911,0.68425842,0.91410151,0.53992275,0.65669558,0.46327303,0.5312518,0.65364539,0.44065827,0.54523862
6,0,0.50896063,0.72759423,0.64754502,0.77087442,0.83743705,0.47014585,0.83935895,0.60685512,0.58711043,0.85225876,0.87412872,0.79663637,0.67423249,0.70673503,0.55080083,0.65489288,0.89740298,0.69633067,0.44667395,0.62023862,0.5111862,0.96005684,0.7342527,0.99817908,0.6519519,0.64344003,0.75282264,0.78749721,0.74897505,0.93472062,0.68754423,0.9760445,0.60818018,0.76165292,0.53205191,0.56717506,0.66933333,0.51187584,0.61148724
6,1,0.63907808,0.72334435,0.73940507,0.80456361,0.82351707,0.60669564,0.9717454,0.58627248,0.70943632,0.88637062,0.9010223,0.8469034,0.80076936,0.73497129,0.59485392,0.70532135,0.87084256,0.83988397,0.51891133,0.66529891,0.54958519,1,0.77085352,1,0.766501,0.72008518,0.87580392,0.8907682,0.82363179,0.93649326,0.6660095,0.99950488,0.69758894,0.88343558,0.65947301,0.64973621,0.65950827,0.57159244,0.65349612
6,2,0.73273251,0.70048806,0.85401174,0.91361747,0.79224958,0.74263406,0.98040407,0.5649464,0.74278569,0.88913645,0.87296701,0.83300853,0.90844321,0.76317473,0.59197686,0.79053214,0.82905415,0.92654097,0.59713016,0.67685121,0.5612329,0.97371329,0.77659337,0.93484285,0.80841683,0.71239181,0.82192368,0.94285076,0.83096113,0.94705202,0.62764129,0.95060363,0.73328765,0.9143925,0.75371153,0.78727098,0.65034515,0.59923527,0.63390677
7,0,0.74802393,0.65641237,0.95286041,1,0.76070229,0.86152033,0.96050433,0.54206432,0.71429396,0.86977566,0.82469796,0.78773541,0.92333572,0.7962018,0.57439567,0.85556323,0.82234027,0.87976795,0.67672152,0.66252131,0.55387067,0.90811494,0.74503914,0.81458317,0.78902605,0.63887897,0.60715307,0.95633708,0.78966351,0.9355684,0.5804772,0.89559236,0.69952028,0.84895282,0.80233015,0.83210552,0.65454374,0.5831309,0.61259711
7,1,0.60762355,0.5790434,0.9647209,0.98997637,0.72761612,0.85282852,0.96771988,0.50600795,0.58358984,0.82383221,0.69760688,0.73151879,0.75175024,0.78454471,0.56050719,0.8032481,0.8170577,0.66200145,0.6706231,0.6091724,0.50145596,0.81622987,0.69748043,0.56454754,0.62323848,0.47163759,0.46702158,0.9527606,0.6873042,0.88678227,0.49398443,0.86719129,0.57103607,0.64309287,0.7781929,0.76238849,0.65507329,0.49604888,0.55960044
7,2,0.51699786,0.55099114,0.8866589,0.81452204,0.67489508,0.74403359,0.95982075,0.49079357,0.48424394,0.75999539,0.59984898,0.69569006,0.57905153,0.67483183,0.57827377,0.67400829,0.76468939,0.6235388,0.60045231,0.54948551,0.44718971,0.80281023,0.65754007,0.52875465,0.53961523,0.44982827,0.54298985,0.87892109,0.68704313,0.80847784,0.44621878,0.86355688,0.46537287,0.52354559,0.6900993,0.63234532,0.66313002,0.43323587,0.50670921
8,0,0.49446702,0.57148971,0.72746618,0.62652596,0.64276721,0.54678845,0.90224822,0.48288382,0.4539823,0.69031192,0.56098978,0.60936007,0.49516364,0.54645611,0.59765683,0.48621285,0.64440018,0.62797679,0.46604539,0.47001452,0.3956431,0.80257341,0.65650391,0.5424907,0.45807615,0.46033796,0.68640131,0.78973251,0.73636627,0.67295568,0.39853402,0.80473211,0.40966918,0.56269657,0.63327106,0.54172662,0.67406147,0.36631429,0.47392342
