,,pid1263-10,pid5667267b-07,pid9048-10,pid9049-10,pid9054-10,pid9055-10,pid9058-10,pid9059-10,pid9060-10,pid9061-10,pid9062-10,pid9063-10,pid9066-10,pid9067-10,pid9070-18,pid9072-10,pid9074f-10,pid9075-10,pid9077-08,pid9087-04,pid9088-05,pid9094-10,pid9099-10,pid9100b-14,pid9101-10,pid9103-05,pid9104-10,pid9105-10,pid9111-10,pid9114-29,pid9118-10,pid9137-06,pid9138-10,pid9139-10,pid9153-10,pid9166d-17,pid9167-10,pid9170-10,pid9173-15,pid9174-10,pid917803b-05,pid917807-05,pid9186c-10,pid918805-03,pid9192-10
5,0,0.87305963,0.94723762,0.68797785,0.65130097,0.88124335,0.8945144,0.70964328,0.88800917,0.74618812,0.8738906,0.82844552,0.96105362,0.84086222,0.94327589,0.43122709,0.81942432,0.94322917,0.63777661,0.86017382,1,0.86304638,0.81601312,0.66098078,0.62086304,0.89651831,0.95181149,0.73414849,0.62682192,0.93049026,0.7598908,0.68466519,0.80068795,0.90833923,0.51697015,0.72622724,0.93550505,0.74219906,0.86044306,0.65236052,0.7921623,0.67351037,0.69374576,0.71071021,0.85156561,0.94371437
5,1,0.83549187,0.97769706,0.70208278,0.70477742,0.88213753,0.94338294,0.75010895,0.91121546,0.7579703,0.90146713,0.89034822,1,0.87625574,0.98154431,0.6318403,0.83063551,0.97519531,0.71459431,0.92493183,0.9989778,0.90037185,0.79394662,0.65113877,0.66396316,0.90136296,0.92831871,0.75450649,0.6975022,0.86937542,0.78659016,0.64456192,0.84209502,0.93107763,0.57634328,0.72462996,0.99146632,0.6741846,0.7927013,0.67760167,0.85433847,0.7226971,0.72765889,0.72761065,0.92464625,0.93645365
5,2,0.83478207,0.99866182,0.75751384,0.74421391,0.88009368,0.96134543,0.80308784,0.92366496,0.81311881,0.93973012,0.92620755,0.96914393,0.92209434,0.96417424,0.78990868,0.86143478,0.99947917,0.77017914,0.97477846,0.92844626,0.94218761,0.76166692,0.6714315,0.67521539,0.88812092,0.92739881,0.78646162,0.79473994,0.8051041,0.82805053,0.66073273,0.91134476,0.97095142,0.69381343,0.74443616,1,0.65973436,0.76480107,0.75629966,0.92709626,0.77462241,0.7864831,0.75001239,0.98533841,0.93621362
6,0,0.88925122,0.98132926,0.85209597,0.7303177,0.84573132,0.94443955,0.84778684,0.92721415,0.86277228,0.97871762,0.91989977,0.89037316,0.90160335,0.90955354,0.94174498,0.90930277,0.98352865,0.8374078,0.97477846,0.81476343,0.9727075,0.73796034,0.7513166,0.64647207,0.89580776,0.94445231,0.81337451,0.92205407,0.78153123,0.86590162,0.71476109,0.98455348,1,0.86731343,0.8229688,0.95601871,0.70195864,0.85625802,0.89474355,1,0.82680498,0.87757428,0.77137335,1,0.94419442
6,1,0.9516207,0.96265851,0.8994859,0.68345393,0.79122844,0.94082944,0.87150595,0.93753413,0.8760396,1,0.91315994,0.85888993,0.82675803,0.88546614,1,0.9314732,0.96647135,0.88735511,0.92425017,0.76759638,0.99614116,0.72243179,0.803707,0.63571747,0.93269169,0.94961789,0.83940502,1,0.8080591,0.86872426,0.77225637,1,0.98482293,0.95925373,0.87067405,0.90071388,0.7601967,0.95681045,0.97480134,0.97577173,0.84224066,0.92441492,0.79912772,0.9926692,0.96873687
6,2,0.99011429,0.96660932,0.91016346,0.63127126,0.74281456,0.93642687,0.87866526,0.93436715,0.86217822,0.99501902,0.90901236,0.87569771,0.7628235,0.89598317,0.9290142,0.95471437,0.9718099,0.88519494,0.88079414,0.73218458,1,0.72134337,0.8115724,0.62654486,0.95652736,0.92371922,0.85598134,0.97502204,0.835863,0.83684235,0.77339562,0.94152388,0.94750585,0.93768657,0.8614631,0.81746943,0.82892569,1,1,0.90118952,0.83302905,0.92683236,0.80001982,0.96078877,0.97449745
7,0,1,0.96068311,0.85855523,0.59844746,0.72897594,0.89521881,0.8652182,0.90744785,0.79985149,0.93769245,0.89458222,0.9158984,0.71558779,0.90039354,0.65404252,0.99426844,0.96666667,0.85785037,0.83024029,0.69570678,0.98561706,0.74151633,0.79467889,0.61333928,0.96427879,0.85055194,0.85698979,0.88620335,0.83129617,0.76687798,0.70740923,0.84813084,0.91551977,0.82358209,0.83196678,0.74227455,0.86062542,0.96116288,0.94671313,0.82792089,0.79381743,0.87402871,0.77895624,0.89316361,0.959976
7,1,0.98510457,0.93665966,0.77610071,0.5721405,0.75822866,0.82713745,0.84834713,0.85781369,0.73841584,0.86379279,0.85598376,0.94518658,0.68857694,0.85818971,0.27720456,1,0.93834635,0.80179136,0.79885821,0.68169539,0.94064407,0.76092143,0.76362766,0.60579323,0.94987404,0.77151146,0.84369091,0.76564796,0.81141706,0.73633798,0.64124252,0.72566199,0.880705,0.69514179,0.79086359,0.74672192,0.87180565,0.89252832,0.82760379,0.75618478,0.74101245,0.81039266,0.76032116,0.82747059,0.92553255
7,2,0.95721678,0.92716498,0.69924862,0.57376971,0.83913136,0.73565202,0.81242607,0.80168177,0.66618812,0.76349393,0.79335522,0.95616181,0.66722108,0.78755598,0.18448977,0.97241292,0.92949219,0.71332982,0.78187628,0.70412529,0.8713955,0.76449978,0.74180973,0.58878491,0.92461727,0.76606284,0.82503467,0.67180429,0.80678308,0.70311415,0.62921072,0.61132529,0.84616222,0.57155224,0.74001704,0.79095758,0.8895427,0.79510072,0.65609994,0.70024082,0.68216598,0.72699122,0.74302424,0.77439336,0.89816982
8,0,0.94579832,0.92716498,0.6547324,0.58622838,0.89137747,0.65111385,0.76498786,0.78491864,0.67168317,0.7339703,0.74538149,0.9581687,0.68026079,0.76089022,0.19557422,0.93607105,0.93645833,0.62655427,0.80806919,0.7614632,0.80775977,0.76770538,0.73305519,0.58241236,0.93023706,0.85493915,0.79578974,0.66387011,0.81833445,0.71421961,0.68759118,0.63588396,0.84295273,0.50634328,0.73336173,0.78311315,0.91072629,0.77490095,0.50970977,0.67125447,0.63224896,0.64850522,0.72994003,0.76228903,0.8770477
8,1,0.92761107,0.90186707,0.67611389,0.61066654,0.91407281,0.65932024,0.7348565,0.81211095,0.70193069,0.75729035,0.74584809,0.95296331,0.71139645,0.79169494,0.24242485,0.9067834,0.92122396,0.65147524,0.87661895,0.83243283,0.80453238,0.76703444,0.75986595,0.61780303,0.95219947,0.92987546,0.7045254,0.68374229,0.82740094,0.7459627,0.73470207,0.74922118,0.87423163,0.53648507,0.79975508,0.71903668,0.90383322,0.79476592,0.49492202,0.68036196,0.6306888,0.60232074,0.71061109,0.80951299,0.85856586
8,2,0.90949584,0.8861913,0.66181123,0.62983372,0.92846498,0.71114731,0.72047563,0.84378071,0.72663366,0.79523637,0.76846107,0.95967388,0.7414011,0.86395712,0.30650537,0.87781067,0.91490885,0.69394099,0.94861963,0.89383762,0.82642251,0.76815268,0.78592436,0.66925134,0.97422647,0.96256722,0.6454683,0.67206876,0.82807253,0.75688307,0.70938448,0.83930426,0.89691563,0.55318657,0.86247471,0.6879954,0.85255548,0.80402879,0.54179238,0.73100781,0.65303734,0.5523144,0.70664618,0.85696426,0.83390339
9,0,0.87336824,0.89307334,0.62491432,0.63769227,0.92327017,0.75078806,0.69800162,0.85475592,0.7200495,0.81031516,0.77349866,0.95992474,0.76182556,0.89930791,0.41361728,0.84594067,0.9297526,0.71480506,0.98900818,0.92443049,0.85771417,0.77359475,0.77258737,0.72026144,0.99715781,0.95697707,0.61663935,0.62641787,0.82310275,0.74809125,0.66809278,0.88603323,0.90817603,0.54149254,0.86934299,0.77383277,0.79772192,0.79097149,0.56019207,0.77705612,0.67752697,0.51378512,0.72027556,0.89589135,0.81368137
9,1,0.81562786,0.91276365,0.55818613,0.63280464,0.9173515,0.79460245,0.68990849,0.8363547,0.70950495,0.78604419,0.79008036,0.93465036,0.77280287,0.86470349,0.57114577,0.82729735,0.95957031,0.7256059,1,0.90778329,0.87946397,0.78619353,0.73189248,0.74792038,1,0.927045,0.6151519,0.55978548,0.79758227,0.74068761,0.65177444,0.87370197,0.90240984,0.5590597,0.82051965,0.87831296,0.7264963,0.75698901,0.57332257,0.82230169,0.71756017,0.5099863,0.74000099,0.95300335,0.77923792
9,2,0.74738456,0.90855796,0.49079884,0.61967512,0.92105599,0.81238884,0.7207869,0.7877034,0.70836634,0.71608404,0.85680463,0.9158984,0.76581731,0.77880309,0.73478638,0.86855199,0.96666667,0.69973656,0.98304363,0.822941,0.86929068,0.79499031,0.73155051,0.76470588,0.9449002,0.89796207,0.65712845,0.53914193,0.75668234,0.7461478,0.67480534,0.79406802,0.88815754,0.62478358,0.75199659,0.93452039,0.72157868,0.71519446,0.56924319,0.84412173,0.7480083,0.56863783,0.78430887,0.96766494,0.7389739
10,0,0.72387898,0.8895686,0.46477063,0.5857492,0.90730253,0.76277186,0.74512856,0.726548,0.71881188,0.67786633,0.88594142,0.89150204,0.75337636,0.7640114,0.82883423,0.90508282,0.95058594,0.71722866,0.93617928,0.73817173,0.79765663,0.78917549,0.79522604,0.78349673,0.85143079,0.9127512,0.71971511,0.60544373,0.72142377,0.73652307,0.68891894,0.67406542,0.85883697,0.68617164,0.69342988,0.92032494,0.75694351,0.68589922,0.49891642,0.789973,0.73748548,0.67832023,0.83525797,0.93879639,0.67950795
10,1,0.76623016,0.91021475,0.52262062,0.56744453,0.88175431,0.72349212,0.76660649,0.73572131,0.74836634,0.65436515,0.91791238,0.88284729,0.82808862,0.85052246,0.78644271,0.94110978,0.96523438,0.75300316,0.89587594,0.73714953,0.76727706,0.81638587,0.86430477,0.840612,0.75292294,0.95662327,0.75992689,0.71412724,0.74365346,0.77969553,0.67465781,0.70599688,0.87276288,0.71241791,0.69385582,0.87043571,0.84330868,0.67853356,0.44163515,0.64123914,0.75045643,0.83446339,0.88546365,0.90367676,0.66918692
10,2,0.81022724,0.95660486,0.56074347,0.58507835,0.89329359,0.79067535,0.83340596,0.78044119,0.7550495,0.64254664,0.95973386,0.88899341,0.94730889,0.92936626,0.70425915,0.98664735,0.99785156,0.69172813,0.8976653,0.80673189,0.80712832,0.87803787,0.92155119,0.93590315,0.6969834,0.98146052,0.77543174,0.76689686,0.76689053,0.89658045,0.60595033,0.80977414,0.92030681,0.71761194,0.70354595,0.802396,0.9188803,0.66341164,0.45859007,0.61062541,0.78793361,0.97194626,0.94746494,0.85974882,0.69318932
11,0,0.7746037,0.97419232,0.57744529,0.60266424,0.88128593,0.86927005,0.87710888,0.80534018,0.73732673,0.62719616,0.97727469,0.88134211,1,0.91355679,0.64865027,0.9844429,0.99882813,0.6438883,0.91411043,0.83425818,0.83133375,0.90450276,0.92517612,1,0.68225567,0.98160204,0.77826799,0.75146929,0.77313633,0.948082,0.54927465,0.85390706,0.94494914,0.70896269,0.68602918,0.78313777,0.99571284,0.64734111,0.4813241,0.64464716,0.81273859,1,0.97333598,0.81968517,0.72463246
11,1,0.73327093,0.99165233,0.58287635,0.6177584,0.83751331,0.93431364,0.87243977,0.80850715,0.70841584,0.61447202,0.96604165,0.86735654,0.99421196,0.84421224,0.64153169,0.94992757,1,0.59641728,0.89971029,0.80446846,0.82635235,0.8686447,0.88687504,0.99487522,0.70066533,0.97898387,0.7712719,0.70045548,0.7842176,0.962334,0.56340464,0.81107217,0.96170375,0.70518657,0.65413694,0.78942316,1,0.63858044,0.50550291,0.6887178,0.83170124,0.90451139,1,0.80894471,0.76513651
11,2,0.73382642,1,0.56380833,0.6321817,0.81281669,0.98415074,0.86297703,0.79605766,0.68836634,0.63430538,0.93839108,0.85036061,0.94118821,0.73341023,0.67173232,0.92145871,0.9969401,0.59462592,0.84759714,0.70305199,0.80614607,0.81280751,0.83441625,0.93961676,0.71371358,0.96341636,0.77209126,0.64966941,0.78139691,0.93915136,0.59661503,0.7452622,0.94086928,0.73637313,0.63576829,0.82103881,0.98159045,0.63015457,0.50779756,0.71684303,0.84863071,0.75388228,0.9978193,0.82326533,0.78859886
12,0,0.77723714,0.9690945,0.53667282,0.62446691,0.79927613,1,0.83508685,0.76384187,0.69381188,0.66382902,0.92067744,0.82452179,0.87771938,0.69310626,0.65698194,0.89809158,0.96575521,0.63113804,0.81009714,0.5807243,0.7665053,0.75823766,0.80288626,0.83823529,0.71668497,0.96093971,0.78450775,0.63373494,0.76762928,0.83281662,0.61998197,0.6588785,0.89414133,0.75246269,0.65397721,0.81764175,0.94636853,0.62133809,0.49190498,0.69670145,0.84879668,0.54345048,0.98746097,0.82690231,0.79123912
12,1,0.85728981,0.88555407,0.54406802,0.59585989,0.77738982,0.95245223,0.78129864,0.73047941,0.70282178,0.68162471,0.8868055,0.80219505,0.8342093,0.74596282,0.56492701,0.82597468,0.88567708,0.70437302,0.75724267,0.42938084,0.7145864,0.72743402,0.78989125,0.75713012,0.68781086,0.97749788,0.77562082,0.66286365,0.76051041,0.6991347,0.57751824,0.65784008,0.8607953,0.73052985,0.69806197,0.7364897,0.90812038,0.62451872,0.48646581,0.64596804,0.81329461,0.42272848,0.92927591,0.84520089,0.77605761
12,2,0.92968903,0.82724782,0.59213024,0.59121185,0.82375985,0.89918112,0.7821702,0.73981653,0.71262376,0.7122351,0.83491748,0.82245218,0.84432174,0.87108156,0.48984203,0.71965737,0.82578125,0.76022129,0.74223756,0.40440275,0.67870624,0.72627851,0.80548526,0.72271985,0.66339384,0.97565808,0.75652338,0.7274978,0.76111484,0.64161769,0.54043111,0.7305296,0.86503835,0.71247015,0.72787776,0.65205547,0.89265299,0.65202835,0.53346365,0.63692622,0.79471369,0.44146934,0.84655796,0.8880491,0.75613561
13,0,0.94271224,0.81431211,0.61979304,0.59605156,0.86425378,0.87264242,0.78640354,0.75122857,0.71079208,0.73781924,0.81015294,0.84383819,0.85137383,0.90487176,0.52527495,0.63973043,0.81464844,0.77054795,0.7422546,0.41159463,0.6210903,0.71914418,0.81047808,0.71628788,0.65409211,0.93482876,0.73742594,0.74456362,0.78529214,0.6373606,0.54230801,0.75155763,0.87390524,0.6890597,0.71227771,0.63593994,0.82885003,0.70397857,0.60145328,0.65103992,0.78524481,0.49774948,0.81449175,0.91902029,0.72343234
13,1,0.91141949,0.81507679,0.63252043,0.59815995,0.85803704,0.86498195,0.77849717,0.76367806,0.70777228,0.73867959,0.83312019,0.86058325,0.83633823,0.87929163,0.63985869,0.58705675,0.81660156,0.76728135,0.73253238,0.43885076,0.58810777,0.68501566,0.80958895,0.69977718,0.67469802,0.88756015,0.72898021,0.71625037,0.80409671,0.6477257,0.57832965,0.72741433,0.88190176,0.66735075,0.68336705,0.65220317,0.74150975,0.74906534,0.63451324,0.67244399,0.77219917,0.52959053,0.76958914,0.94527476,0.68490849
13,2,0.87903632,0.82712037,0.63161086,0.59394317,0.86808601,0.84509113,0.78104962,0.77923993,0.72485149,0.74515486,0.8836084,0.87745375,0.80533564,0.81890351,0.77624475,0.56535869,0.82779948,0.74135933,0.73902522,0.47159755,0.58051638,0.62113464,0.80952055,0.658571,0.70880434,0.84956128,0.72765662,0.70665589,0.80127602,0.66989033,0.61901483,0.67815421,0.89653484,0.64841791,0.64609733,0.71476163,0.6887273,0.77651917,0.62915905,0.69252718,0.74122822,0.58065593,0.74788125,0.97175655,0.63810381
14,0,0.85422432,0.84897725,0.60265621,0.58943888,0.87443049,0.80388307,0.80153147,0.79376433,0.73975248,0.75004528,0.88870647,0.88322358,0.77573016,0.79854797,0.82410185,0.60531587,0.84772135,0.71296101,0.76929107,0.48867553,0.6046727,0.58844491,0.83612612,0.62247475,0.72056069,0.84757996,0.72954746,0.70753747,0.78415044,0.71870807,0.62107204,0.58201584,0.90779525,0.61664179,0.60137366,0.72922787,0.68112811,0.76134144,0.58233119,0.69648252,0.69393361,0.66768352,0.76721019,0.93447747,0.60006001
14,1,0.81731491,0.86019244,0.56408516,0.5870909,0.85969768,0.76023598,0.81192803,0.81915475,0.74509901,0.7154501,0.85130908,0.88441518,0.76714789,0.83267743,0.71579018,0.70605278,0.86028646,0.77054795,0.81782549,0.54754673,0.69108258,0.64209781,0.87497435,0.65059418,0.69788773,0.87857345,0.75167024,0.7246841,0.75231699,0.80190644,0.53021064,0.47280633,0.89729642,0.5663209,0.55952508,0.69697218,0.77014122,0.70994922,0.48965283,0.67534117,0.62905394,0.80681256,0.85126629,0.83616526,0.59822982
14,2,0.82715948,0.87185369,0.56826391,0.58771383,0.84781776,0.78353438,0.8472888,0.84443595,0.72544554,0.70168448,0.81392897,0.90636563,0.79395915,0.85350794,0.60371259,0.80134786,0.87324219,0.8532666,0.84486196,0.6015406,0.77787133,0.72073207,0.90212708,0.70069073,0.66849687,0.88791395,0.77366696,0.76344402,0.72001343,0.85433344,0.44726662,0.49999351,0.90676168,0.56088806,0.56490257,0.68797899,0.84650303,0.67674795,0.4734628,0.66705831,0.62590871,0.87428196,0.91321802,0.78030346,0.62070207
15,0,0.83681888,0.87994647,0.60426443,0.59538071,0.82789014,0.83318658,0.87293781,0.86354701,0.6809901,0.70295236,0.77444051,0.94048291,0.8784512,0.84448365,0.55880824,0.8577817,0.88404948,0.88466807,0.84921609,0.66204001,0.83526275,0.77575667,0.90205868,0.73911913,0.65189587,0.87029437,0.80864742,0.79260946,0.66408999,0.83415853,0.40973691,0.62432503,0.91677093,0.58801493,0.62655734,0.68465578,0.95082381,0.66229563,0.49623932,0.67364811,0.68017427,0.84895647,0.93051494,0.72228221,0.65250525
