,measure_number,beat_number,pid1263b-11,pid51495-01,pid52932-23,pid5667249-23,pid5667271-02,pid5667291-11,pid58917-05,pid610003b-15,pid9048b-15,pid9049b-11,pid9050b-11,pid9054b-11,pid9055b-11,pid9056-05,pid9058b-11,pid9059b-15,pid9060b-09,pid9061b-08,pid9062b-14,pid9063b-15,pid9064-20,pid9065-26,pid9066b-11,pid9068-19,pid9069-11,pid9070b-23,pid9072b-15,pid9073b-15,pid9074g-11,pid9075b-11,pid9088-21,pid9089-06,pid9090-20,pid9093b-17,pid9094b-11,pid9097-23,pid9099b-15,pid9101c-05,pid9103-19,pid9104b-11,pid9111b-13,pid9112-10,pid9113-11,pid9114-33,pid9116-18,pid9118b-15,pid9119-13,pid9127-07,pid9130-10,pid9138b-11,pid9139b-11,pid9153b-11,pid9158-13,pid9166l-09,pid9170b-11,pid9174b-11,pid9176-04,pid9185-04,pid9190-10,pid9192b-11
10,4,1,0.42113022,0.54930866,0.81190343,0.26116107,0.59445549,0.66424729,0.26227145,0.54016569,0.71815128,0.44545564,0.42896104,0.63907142,0.68960531,0.61976853,0.40908202,0.56027064,0.61593098,0.7540653,0.66805671,0.64651819,0.43153119,0.54748118,0.55802048,0.7513717,0.80642987,0.23623288,0.73134533,0.44067797,0.69961487,0.4014256,0.16661358,0.47416971,0.26127653,0.33476345,0.38616268,0.24790722,0.76870671,0.40320859,0.5046916,0.35113666,0.66355165,0.46262295,0.70877972,0.70732829,0.68825052,0.61100224,0.96362059,0.47310809,0.679408,0.73357637,0.70918404,0.61767224,0.89889426,0.80488613,0.57769419,0.56774948,0.59499529,0.27778319,0.81779413,0.30158475
11,4,2,0.23249174,0.38105677,0.67739771,0.21774638,0.40524279,0.49257773,0.15804188,0.35340062,0.53734068,0.26044344,0.27238563,0.3732994,0.49027327,0.39724106,0.27494002,0.34384303,0.39486522,0.49843756,0.45996664,0.59942618,0.23973616,0.41922409,0.45695867,0.62591168,0.66878406,0.17076889999999997,0.66148243,0.29795772,0.46468813,0.27138764,0.13875174,0.34485798,0.1923346,0.27516763,0.26511524,0.16871016,0.57246504,0.24132958,0.33289862,0.26776731,0.46016152,0.26122147,0.54823019,0.42465988,0.37678571,0.25896998,0.86978927,0.35508859,0.45721467,0.47543821,0.43702987,0.50846458,0.67421101,0.58510979,0.34229356,0.40183569,0.53904777,0.17664622,0.60946443,0.22956319
12,5,0,0.13161061,0.37541213,0.63170521,0.27105891,0.3985695,0.47836236,0.17054093,0.35282631,0.42773545,0.31023507,0.29053684,0.38040259,0.45166473,0.26060907,0.23181374,0.24594497,0.39303583,0.3439383,0.42578961,0.53119043,0.17501906,0.39073275,0.48397801,0.5016728,0.55088028,0.23977705,0.44935733,0.29855663,0.41635223,0.30309478,0.21021302,0.30690945,0.18002799,0.34888873,0.17999283,0.19820619,0.59515699,0.18285385,0.43838583,0.28108739,0.42335818,0.15879139,0.52491407,0.41556359,0.20245859,0.18302294,0.77958059,0.31161242,0.40921797,0.40223892,0.32298159,0.40945804,0.42358903,0.40513121,0.34232855,0.35896698,0.63017756,0.22678739,0.5256188,0.24755048
13,5,1,0.26501737,0.48260862,0.56517408,0.45787606,0.51022292,0.67411325,0.23160231,0.43310026,0.48754140000000007,0.46331806,0.39363729,0.43894802,0.5887342,0.27680033,0.36152137,0.39041046,0.54148708,0.53525229,0.53365123,0.48365104,0.2705048,0.44858399,0.50556188,0.52453998,0.52488889,0.38340837,0.51734362,0.40671977,0.53611856,0.47238341,0.27792156,0.45520435,0.31758532,0.42372345,0.24083939,0.25368947,0.66670097,0.24567020000000003,0.58839403,0.47349814,0.47018104,0.26518804,0.72664871,0.5225764,0.22060041,0.31204974,0.86167662,0.40856338,0.5288847,0.61553984,0.48490818,0.43068411,0.4813983,0.48116092,0.38519069,0.45560155,0.80923947,0.45032941,0.5226261,0.31049795
14,5,2,0.24880115,0.49700506,0.42298348,0.43814767,0.52397771,0.60633719,0.24558076,0.43301411,0.38515736,0.43390468,0.38540335,0.29148542,0.42527918,0.27238719,0.31361415,0.43820478,0.49125494,0.50975791,0.50986329,0.38770667,0.24113924,0.43152866,0.45900223,0.39550017,0.54857247,0.58700199,0.44207369,0.41468527,0.45053215,0.45900136,0.20086602,0.48973377,0.33629013,0.39448821,0.2532598,0.22919377,0.59351041,0.27885212,0.55500328,0.38315325,0.46619631,0.27114754,0.63607767,0.34698653,0.24042443,0.33870945,0.80391857,0.32974866,0.42455958,0.59858595,0.47461614,0.37498587,0.41256623,0.50514997,0.38157803,0.42489877,0.80876807,0.43786713,0.4507887,0.26768562
15,6,0,0.26078116,0.46591635,0.26802541,0.45095736,0.48660017,0.47697638,0.22016539,0.45126276,0.25967019,0.43219829,0.38753034,0.30288447,0.2889098,0.27136427,0.30091531,0.42621561,0.41545284,0.44896997,0.40782174,0.36599883,0.15967668,0.40103701,0.46697636,0.26413516,0.41742737,0.59335882,0.34833762,0.39228604,0.33535871,0.47125152,0.13319729,0.49304603,0.33901889,0.36878136,0.26029056,0.2428609,0.51657387,0.36494340000000003,0.4378937,0.35436079,0.59681399,0.31530055,0.49681413,0.25057509,0.30733264,0.43209598,0.74059901,0.29915534,0.26465362,0.60247459,0.33353631,0.30978919,0.31696614,0.43363545,0.34029041,0.35291999999999996,0.70560968,0.46233733,0.29554212,0.26649505
16,6,1,0.42350249999999995,0.58911464,0.34601271,0.75659142,0.62306546,0.59149266,0.24816023,0.65804247,0.32526948,0.72101596,0.58947726,0.49963751,0.53880938,0.35978782,0.46902159,0.56933694,0.53362206,0.63075599,0.56162744,0.66798288,0.42064206,0.57609096,0.59742763,0.46272165,0.29190325,0.71065619,0.58308483,0.52946637,0.46575503,0.7330038000000001,0.33651204,0.73079868,0.4239602,0.49386927,0.31230383,0.39349497,0.61061428,0.56128055,0.69459482,0.54020226,0.84301562,0.45747348,0.63992684,0.56034834,0.51232747,0.70123077,0.83611409,0.44894932,0.37032222,0.79746649,0.49190486,0.40921573,0.61427091,0.47389687,0.44543387,0.52925403,0.66004871,0.62752734,0.48348401,0.51171265
17,6,2,0.48337711,0.61635394,0.47044473,0.75897718,0.66097544,0.62391721,0.38024429,0.81092334,0.40923189,0.9371151,0.7530600000000001,0.68725127,0.68632289,0.47176759,0.52716609,0.73169147,0.58000139,0.69880783,0.82666715,0.70677884,0.53102028,0.7405643,0.70198669,0.62215624,0.38638623,0.74785959,0.60352185,0.68828233,0.48813396,0.92112616,0.48735815,0.90063218,0.52559279,0.65833216,0.35082055,0.5160983,0.75995925,0.69870214,0.86893045,0.71102083,0.96521122,0.55269688,0.69059918,0.68629642,0.63362664,0.90227122,0.91111791,0.547363,0.43512319,0.86927383,0.67704229,0.39320733,0.85699148,0.57025049,0.56906053,0.69829929,0.84325896,0.63869146,0.63182243,0.69210844
18,7,0,0.44298907,0.48623362,0.56501144,0.5110846,0.52703038,0.53915383,0.51638722,0.86509498,0.46014302,0.90171842,0.80496907,0.73179084,0.66716783,0.52473989,0.40289701,0.77527289,0.52929111,0.70397274,0.96016608,0.56506516,0.53151594,0.80211349,0.59386719,0.67405487,0.50249632,0.60702033,0.50753213,0.75988201,0.47815452,0.88193997,0.56220386,0.88651946,0.5313224,0.69715619,0.37613667,0.52276759,0.80598121,0.68614897,0.82882218,0.79785634,0.90521832,0.49970428,0.59693272,0.60100559,0.63843168,0.95681719,0.84264503,0.55180607,0.43426726,0.78936515,0.69381761,0.21587917,0.85351302,0.57076935,0.62387159,0.73434716,0.85543683,0.47132704,0.6004115,0.72373904
19,7,1,0.40234686,0.38418118,0.63983736,0.27944577,0.41777297,0.44204431,0.54087323,0.8094445,0.47047739,0.70144715,0.74399092,0.66918093,0.64986055,0.51443769,0.25625167,0.64188543,0.45529069,0.71292289,0.99388984,0.44231667,0.48651822,0.76217297,0.47736274,0.61661927,0.57952222,0.48170738,0.45672665,0.72279451,0.51131958,0.75263271,0.4726956,0.74983528,0.45005831,0.63656398,0.37018205,0.45533872,0.73971658,0.63580647,0.65555282,0.81611202,0.84391196,0.34847959,0.48486463,0.47307920000000003,0.56420807,0.86516474,0.73661922,0.54627798,0.39153611,0.66920018,0.59779831,0.19790808,0.70985948,0.57993222,0.57011896,0.66099163,0.74169547,0.32908188,0.51053058,0.64243424
20,7,2,0.38035245,0.32668174,0.64015248,0.19250015,0.35088031,0.37976657,0.4058683,0.70154633,0.40172981,0.48308376,0.63183443,0.60728058,0.68096315,0.49625906,0.21402293,0.49651782,0.35711316,0.67794771,0.90586358,0.45127407,0.47223578,0.67623835,0.53742679,0.53839913,0.58185287,0.3952772,0.43697515,0.60771396,0.52820786,0.70015044,0.28288871,0.56238091,0.40082407,0.55735687,0.33779033,0.37071424,0.59507466,0.54973682,0.51033465,0.72454836,0.80404686,0.30197364,0.40939881,0.40473217,0.39440131,0.71339753,0.60987806,0.51475759,0.37132982,0.60367506,0.47536834,0.25374364,0.55044921,0.58539682,0.47836774,0.59303518,0.50791955,0.22613832,0.43385498,0.57581047
21,8,0,0.32873846,0.26811206,0.68600762,0.19191289,0.28235482,0.3408863,0.37561642,0.60071214,0.29989584,0.38402555,0.50392776,0.50219034,0.7163695999999999,0.44638473,0.18508842,0.40605323,0.3293119,0.5894249,0.70718352,0.49330869,0.48985054,0.62101911,0.54494796,0.48248578,0.53140102,0.33930209,0.37848329,0.47932263,0.50739025,0.66204599,0.21935099,0.45019143,0.41107051,0.45689736,0.29718411,0.34925422,0.5603111999999999,0.47408609,0.42112861,0.58750972,0.72085552,0.30225008,0.36433439,0.28155767,0.28738785,0.5916876999999999,0.45656411,0.49864716,0.33205487,0.50988364,0.39944361,0.24358291,0.48137526,0.58973538,0.39615115,0.56020876,0.39081552,0.20533541,0.38437558,0.43757542
22,8,1,0.20506651,0.22511263,0.64223634,0.16889949,0.23633395,0.28438041,0.23552841,0.50030869,0.24937093,0.29282112,0.40003132,0.31705229,0.58707004,0.32379588,0.13470186,0.31055479999999996,0.41516179999999997,0.48488851,0.50667223,0.44223886,0.40247064,0.49072222,0.3789976,0.35904985,0.38640908,0.2653486,0.27793488,0.40815715,0.41744516,0.4491081,0.17913597,0.36754519,0.37851201,0.25339945,0.23858847,0.29344898,0.47621204,0.35239743,0.34855643,0.39448526,0.4835197,0.20664095,0.29256698,0.19973053,0.21542443,0.2643414,0.31554671,0.41165362,0.29353832,0.38135955,0.31662965,0.18058315,0.41199032,0.54707837,0.34720959,0.43524701,0.31462916,0.21892275,0.32432197,0.24772746
23,8,2,0.1365585,0.23457216,0.48761372,0.12295834,0.26434048,0.22075317,0.22934527,0.31601315,0.19382512,0.30503932,0.23150299,0.21304951,0.62412918,0.19203004,0.10968631,0.24457375,0.41296514,0.38263977,0.42506437,0.33025676,0.40953942,0.36083329,0.33844225,0.19813483,0.19666625,0.19264174,0.13544987,0.24749955,0.30810065,0.32799627,0.12254629,0.22920488,0.26090337,0.170746,0.19699579,0.23246599999999998,0.38732749,0.26594563,0.24083005,0.23540496,0.19293575,0.10937319,0.24058813,0.21705554,0.15368357,0.16320086,0.22294505,0.29304354,0.22216083,0.49924878,0.22440719,0.13044988,0.30090993,0.43148273,0.21638383,0.31337173,0.23945632,0.18100585,0.23873059,0.19840721
24,9,0,0.16763535,0.30619185,0.5920000000000001,0.43309476,0.33206729999999995,0.59874168,0.27697064,0.39434881,0.16561918,0.38810558,0.30563457,0.2037714,0.85202741,0.19113865,0.35204834,0.25745602,0.37766614,0.60096931,0.49198608,0.56865396,0.47752021,0.36468916,0.43332069,0.28628304,0.34558832,0.73595986,0.51851757,0.24995508,0.46511749,0.61808152,0.12200876,0.34177722,0.23091814,0.23146715,0.16705228,0.16466916,0.654825,0.26890187,0.4656414000000001,0.32039934,0.44992013,0.27901639,0.40502703,0.64073612,0.31133540000000004,0.39522917,0.28678504,0.31766241,0.27392793,0.70830756,0.26630370000000003,0.23548986,0.49262843,0.55671594,0.43775367,0.34009718,0.18767285,0.33570246,0.35739136,0.3961226
25,9,1,0.26364484,0.32640555,0.65824651,0.40949409999999997,0.35159023,0.69927054,0.29216296,0.49750894,0.23178025,0.39001979999999997,0.39077955,0.20660188,0.9036622999999999,0.32082944,0.52526437,0.22269734,0.32552838,0.69778192,0.45338507,0.62431434,0.41822479999999995,0.32789388,0.26595879,0.46536467,0.35150636,0.73889616,0.77880034,0.29285201,0.61411955,0.6978795,0.16124826,0.44949693,0.29179818,0.33915928,0.22691238,0.16029305,0.62547468,0.27983993,0.73464567,0.23895756,0.5965655,0.28971392,0.54667243,0.78540914,0.40665114,0.47495453,0.62222562,0.31445543,0.41140653,0.659346,0.33037228,0.30145384,0.65790141,0.72325933,0.59395556,0.30822459999999996,0.22474859,0.39097134,0.51215163,0.47248009
26,9,2,0.21646192,0.27789957,0.53507497,0.18036949,0.29630484,0.3396918,0.32357181,0.36478629,0.25560900000000003,0.36971812,0.27187671,0.16995218,0.50130264,0.32229074,0.40168844,0.23319802,0.35007276,0.53114866,0.32153606,0.41790508,0.27989172,0.29857346,0.29743395,0.38235196,0.23645877,0.37655701,0.43132819,0.20496197,0.50368212,0.50578838,0.16259208,0.52747752,0.28495685,0.21482159,0.25499058,0.14778895,0.53561248,0.30222078,0.6488107,0.22066729999999998,0.51792687,0.26885889,0.40496673,0.40622412,0.30827295,0.3839224,0.55783458,0.2430298,0.33477432,0.56844896,0.25580868,0.23473064,0.50884589,0.59418434,0.4821641,0.28427067,0.22049811,0.35803070000000004,0.49271152,0.3117207
