,measure_number,beat_number,pid1263-12,pid9048-12,pid9054-12,pid9055-12,pid9058-12,pid9059-12,pid9060-12,pid9062-12,pid9063-12,pid9066-12,pid9067-12,pid9068-07,pid9072-12,pid9075-12,pid9087-06,pid9088-07,pid9090-05,pid9093-12,pid9097-14,pid9100b-16,pid9101-12,pid9104-12,pid9105-12,pid9111-12,pid9118-12,pid9137-08,pid9138-12,pid9139-12,pid9166d-19,pid9170-12,pid9173-17,pid9174-12,pid917803b-07,pid917807-07,pid9186c-12,pid9192-12
206,70,1,0.56311786,0.43135316,0.67968427,0.68347237,0.63462475,0.7759033000000001,0.57647103,0.36216534,0.7410422,0.59692917,0.52747343,0.67497356,0.53501829,0.65589523,0.51592026,0.68862947,0.57391582,0.66536084,0.44366506,0.65900647,0.74528447,0.61137611,0.95112581,0.7608176,0.61319436,0.61773487,0.54842582,0.52357282,0.54406927,0.64563994,0.62220287,0.68656786,0.60663617,0.41893786,0.39719143,0.7130494
207,70,2,0.59419174,0.46283143,0.6910451,0.64961077,0.65461789,0.78871683,0.58070923,0.38072695,0.75364439,0.57996137,0.50457377,0.67084099,0.54590409,0.66592381,0.49507201,0.68762682,0.54761584,0.65643771,0.47021774,0.591005,0.74594322,0.6017336,0.91601523,0.74804253,0.57521291,0.60822459,0.55320298,0.49694403,0.51267205,0.59275648,0.59860311,0.68853636,0.61044873,0.41862638,0.35445512,0.69577513
208,71,0,0.60149056,0.48579442,0.69114417,0.57603311,0.64960609,0.78815614,0.57698974,0.39276258,0.77144111,0.57964353,0.47926902,0.65564646,0.54760392,0.68300517,0.45414124,0.67423429,0.52124229,0.63508749,0.48914219,0.52229256,0.73863112,0.58501308,0.86086056,0.73457513,0.52004576,0.58821688,0.55313096,0.46341711,0.47319525,0.52255784,0.5796429,0.68337193,0.60982485,0.4223122,0.31372259,0.67410562
209,71,1,0.59357581,0.48470479,0.68115392,0.52366452,0.61475779,0.77530962,0.56512278,0.39974324,0.79093885,0.59558446,0.4602956,0.64121723,0.53458904,0.69696652,0.41896599,0.64561102,0.49737,0.6107774,0.49637586,0.48059722,0.72347994,0.55916295,0.80376829,0.71301409,0.44921825,0.55874705,0.55125851,0.44241840000000004,0.45306208,0.45876822,0.56490352,0.6725799,0.60762974,0.43474537,0.26313542,0.65144804
210,71,2,0.569308,0.46367892,0.65658284,0.47614248,0.55739242,0.74862712,0.54670243,0.39736286,0.80440071,0.64392069,0.44874299,0.61919074,0.51520407,0.71084922,0.39646271,0.60741483,0.4666683,0.58934012,0.49590823,0.46335031,0.70459586,0.52163581,0.7544264,0.68490893,0.38830558,0.53500746,0.55069437,0.42517309,0.44253494,0.40642586,0.54927643,0.65539602,0.60074403,0.45327831,0.25687772,0.6229983
211,72,0,0.53127406,0.43688204,0.61421093,0.43788467,0.50136112,0.70662445,0.51232873,0.38971355,0.80741865,0.69020317,0.44263778,0.58053654,0.4871654,0.72023544,0.38663143,0.57504357,0.43834525,0.5603073000000001,0.48389595,0.46321270000000003,0.67758723,0.47126908,0.70825817,0.63176461,0.34559553,0.50315404,0.55109047,0.40901829,0.44398242,0.37171132,0.52884229,0.63128763,0.57874671,0.47404350000000006,0.26344748,0.58189097
212,72,1,0.4877891,0.41127568,0.57434898,0.42726941,0.44825037,0.65367173,0.49118834,0.37743721,0.80149251,0.72257402,0.44232943,0.54214671,0.45129719999999995,0.72207074,0.38801472,0.53539115,0.41279319,0.52361365,0.46504457,0.47107931,0.65363079,0.42421911,0.66716777,0.59546691,0.32795221,0.48249627,0.55140254,0.39877254,0.45429902,0.35302535,0.5082909000000001,0.59874942,0.55423079,0.49859835,0.27142974,0.54884157
213,72,2,0.4241939,0.39170265,0.52669298,0.43882825,0.40525338,0.58960405,0.45428438,0.36296772,0.78435425,0.75360016,0.4435217000000001,0.49774587,0.41496540000000004,0.71673527,0.40009387,0.49146554,0.39535796,0.49129451,0.44109309,0.48867024,0.62671,0.38233232,0.63633327,0.55394379,0.32253718,0.46169403,0.55190667,0.38857752,0.46808959,0.33747775,0.48986668,0.53679944,0.51728361,0.51840316,0.28064384,0.50896082
214,73,0,0.39318161,0.37640744,0.48075431,0.45493341,0.36557356,0.52525602,0.41841782,0.34277461,0.7617837,0.79029853,0.43932822,0.44804364,0.37992136,0.70548753,0.41842255,0.45873618,0.3895217,0.46086881,0.41483268,0.50892161,0.60659625,0.34890838,0.60539854,0.51383829,0.32248634,0.43918236,0.55332301,0.37891507,0.47832724,0.32433505,0.46966702,0.48235294,0.48137622,0.53039506,0.28195779,0.47349233
215,73,1,0.36432509,0.36532951,0.43374229999999997,0.47717184,0.32975175,0.45269546,0.37571955,0.3133007,0.7237759,0.8235251,0.42130039,0.40407414,0.34956474,0.68735744,0.44512511,0.4187973,0.39579936,0.43444764,0.38735935,0.53417274,0.58448431,0.31798054,0.58699138,0.46280392,0.3212152,0.41375740000000005,0.5578001,0.36808602,0.48295918,0.31288779,0.44472732,0.42827698,0.43735847,0.54410009,0.27599573,0.44141397
216,73,2,0.34030366,0.35245571,0.40509255,0.49379168,0.29212713,0.38702815,0.33725947,0.28543154,0.6784336,0.8506638000000001,0.38834872,0.36201091,0.32171494,0.66723473,0.46550404,0.38394328,0.41233953,0.41705841,0.36630133,0.55144259,0.56970642,0.29902036,0.5714238,0.41137394,0.31712216,0.38590071,0.56048876,0.35796708,0.47772193,0.30248665,0.42754254,0.39427976,0.39352558,0.55518351,0.26214995,0.42051107
217,74,0,0.3070894,0.32882683,0.37938209,0.51324226,0.24808452,0.30467191,0.3041256,0.25884084,0.62475079,0.89190973,0.33325796,0.32014248,0.29426006,0.63793555,0.50038288,0.33999379,0.43769541,0.40160616,0.34408885,0.57467547,0.55563119,0.28751432,0.54509922,0.34675678,0.31025804,0.35250638,0.56548198,0.34627577,0.46098376,0.29344428,0.40479699999999996,0.32579898,0.34192892,0.56541037,0.24106102,0.40596252
218,74,1,0.27100182,0.30211066,0.37168712,0.52958332,0.20789991,0.22764228,0.26777829999999997,0.22799486,0.5714338000000001,0.91366959,0.29913458,0.28616352,0.25736165,0.60631604,0.53587926,0.29785863,0.46713422,0.39542526,0.32627503,0.60254117,0.54853868,0.28624917,0.47487807,0.28251875,0.30446168,0.31901575,0.57111135,0.33407725,0.43453431,0.29375691,0.38019228,0.28640574,0.30814733,0.57285989,0.21095508,0.40833049
219,74,2,0.23583813,0.27462771,0.37730147,0.54896957,0.16507779,0.20607199999999998,0.26145263,0.22446709,0.53841933,0.92134667,0.26636792,0.26672511,0.24244089,0.58341417,0.57616777,0.26672874,0.5121078,0.39890746,0.30838813,0.6402688,0.55009771,0.3023884,0.45366473,0.25021017,0.30331766,0.28786055,0.5766207,0.32963912,0.40047899,0.31384974,0.35729599,0.26250579,0.29322057,0.57976432,0.18224522,0.42952299999999993
