,measure_number,beat_number,pid1263-17,pid52932-10,pid5667229-07,pid9048-17,pid9050-17,pid9054-17,pid9055-17,pid9056-13,pid9058-17,pid9059-17,pid9060-17,pid9062-17,pid9063-17,pid9064-10,pid9065-12,pid9066-17,pid9067-17,pid9068-11,pid9072-17,pid9075-17,pid9078-09,pid9081-05,pid9088-12,pid9093-17,pid9094-17,pid9097-18,pid9099-17,pid9100b-13,pid9101-17,pid9103-09,pid9104-17,pid9105-17,pid9111-17,pid9116-07,pid9118-17,pid9126-05,pid9128-13,pid9130-02,pid9137-10,pid9138-17,pid9139-17,pid9153-17,pid9162-06,pid9166e-10,pid9170-17,pid9173-22,pid9174-17,pid917509-07,pid9186c-17,pid918722-06,pid918904-04,pid918919-19,pid9192-17,pid9193-02
439,148,0,0.40558937,0.42911539,0.28575198,0.26265234,0.20349776,0.42738215,0.46688627,0.35482803,0.30205272,0.5351374,0.29125485,0.30591771,0.46698986,0.57632883,0.57715375,0.70820301,0.47628848,0.34483563,0.30531271,0.36595598,0.46043926,0.58140832,0.29414494,0.37825656,0.24488654,0.32300872,0.45980059999999995,0.57555512,0.50636635,0.39263658,0.41084011,0.32230493,0.41590705,0.2780048,0.34667445,0.29407693,0.56704151,0.45857409,0.54904316,0.47883858,0.42624722,0.34627201,0.45429201,0.31396588,0.31363041,0.40497822,0.43309897,0.30069895,0.23693202,0.28971349,0.48011016,0.42600569,0.44096543,0.46343362
440,148,1,0.35396845,0.50031387,0.28912248,0.2923445,0.22961883,0.45410259999999997,0.47510402,0.37693967,0.31863296,0.54753801,0.34959897,0.3535185,0.53870428,0.6008502,0.62882649,0.7098628,0.46927706,0.37529162,0.34471582,0.37379017,0.49318151,0.59492885,0.34001519,0.41233284,0.25520013,0.2954323,0.49750407,0.63408665,0.55508099,0.40528504,0.46302507,0.36026186,0.45949236,0.26790572,0.35565862,0.33449048,0.58272008,0.49584851,0.57419332,0.53604898,0.45973021,0.37318644,0.47005469,0.34281845,0.35117786,0.44998995,0.42427020000000004,0.31399605,0.28398605,0.32476428,0.48143062,0.43998189,0.44959774,0.43738391
441,148,2,0.35165818,0.53967952,0.30583879,0.32622551,0.25046338,0.48941896,0.48544556,0.39743338,0.34606021,0.56710838,0.40435964,0.41064359,0.57830762,0.63282158,0.66330387,0.72246954,0.47126537,0.41117002,0.38292057,0.38252470000000005,0.52717269,0.60604179,0.37657133,0.44969457,0.29374409,0.30770267,0.52853364,0.66405803,0.59127246,0.42122922,0.50895156,0.41442908,0.49332596,0.30597575,0.37516217,0.38628081,0.60199444,0.5216962,0.59405643,0.58148148,0.4924999,0.41157576,0.493543,0.37703349,0.39877634,0.48210385,0.43236917,0.35492023,0.33628123,0.35503984,0.48909681,0.46070366,0.46445604,0.42785162
442,149,0,0.37487269,0.5789791,0.3270406,0.36082874,0.28615845,0.53950088,0.50434293,0.42365112,0.40430712,0.59415539,0.46459897,0.45819256,0.61522257,0.68585235,0.69425377,0.74059292,0.47898317,0.45950513,0.43116868,0.39104039,0.5592961,0.62156443,0.40905256,0.49386660000000004,0.32674125,0.34338606,0.5581389,0.69594395,0.62494157,0.44269596,0.54539295,0.46448225,0.53765129,0.35589882,0.41051505,0.43148515,0.62718735,0.55331391,0.61160777,0.61908226,0.52651785,0.46527271,0.51865694,0.40430622,0.44905771,0.5241943,0.45818797,0.39555359,0.39478209999999997,0.39529777,0.50843583,0.48192343,0.48107559999999994,0.43974195
443,149,1,0.43580922,0.61586685,0.36020938,0.39518823,0.33618087,0.5895576,0.54463419,0.46950457,0.47685105,0.61854512,0.5239585999999999,0.51923515,0.66436316,0.74022876,0.73498873,0.77119831,0.49904945,0.50692117,0.48406186,0.40082531,0.59680904,0.64044502,0.43351049999999997,0.53784877,0.35504255,0.39986524,0.59458763,0.73425442,0.67538883,0.47043498,0.59873814,0.50603483,0.58507504,0.40942212,0.45449533,0.47405076,0.65320662,0.58290847,0.62877497,0.66527247,0.5750535,0.52039724,0.55113947,0.4360928,0.5136435,0.57130988,0.49530972,0.45889030000000003,0.46546775,0.42894337,0.54516713,0.50901565,0.51006016,0.46720427
444,149,2,0.50361446,0.64050549,0.39418674,0.44517469,0.39033632,0.65868414,0.57959431,0.5198686,0.54969029,0.64015902,0.5892044,0.58036066,0.71051565,0.78591963,0.77425897,0.8004893,0.52684224,0.54559915,0.53335426,0.41625609999999996,0.62661461,0.6749623,0.46171433,0.58879808,0.38119288,0.45245762,0.63483451,0.77295964,0.71777742,0.49495249,0.64490176,0.53012761,0.64201535,0.45935134,0.50420559,0.5202284,0.68592614,0.61212268,0.65245146,0.71697884,0.62509965,0.5601831,0.56706928,0.47232103,0.57815077,0.60136683,0.53315237,0.51768434,0.53141197,0.47379403,0.58614653,0.52472513,0.53853012,0.50159613
445,150,0,0.59101975,0.66820021,0.4346072,0.49774307,0.45994768,0.70796572,0.62364771,0.58847106,0.62512244,0.66609708,0.64568564,0.64875117,0.78805641,0.85937978,0.8241463,0.83988295,0.55788785,0.58902793,0.59444191,0.44153433,0.65855799,0.71779211,0.49147051,0.63699851,0.41998109,0.50627704,0.67610553,0.80858581,0.76200338,0.54254751,0.68597561,0.53868802,0.71125251,0.52428457,0.57654385,0.56027425,0.72676412,0.64189528,0.68070261,0.7615324,0.67456888,0.59828536,0.58925099,0.5055701,0.64444444,0.64462312,0.58530616,0.58106116,0.60435793,0.52290285,0.62442466,0.54434743,0.5651301,0.52707858
446,150,1,0.66578065,0.69234327,0.48886714,0.57110228,0.53007474,0.76525082,0.6681172,0.65701223,0.69425958,0.69625471,0.69883571,0.71010467,0.8460996,0.9110649,0.8608771000000001,0.88317183,0.59179384,0.62589608,0.64448756,0.50415156,0.68987128,0.75571803,0.52800135,0.69142315,0.46530098,0.55974183,0.71791915,0.84667917,0.79784834,0.60063094,0.73775407,0.54402499,0.77322083,0.61997661,0.62906504,0.59935762,0.77168924,0.6691349,0.71197095,0.80972298,0.72077582,0.64675305,0.61836068,0.58953688,0.70017013,0.68703518,0.63188857,0.65506764,0.65891923,0.56030172,0.65466687,0.57213168,0.58985287,0.56696513
447,150,2,0.73146193,0.71275295,0.5375266,0.63186783,0.59325859,0.8094908000000001,0.70387483,0.7071679,0.74603861,0.72848375,0.74391979,0.76693958,0.88356104,0.93852835,0.89339574,0.91609901,0.62800209,0.65652881,0.69122346,0.55468301,0.71603132,0.78824588,0.55240867,0.73609047,0.49992121,0.59777289,0.75488334,0.87443008,0.82931743,0.65122476,0.77645664,0.55118968,0.82121862,0.68010339,0.66408277,0.63969547,0.80153882,0.69148661,0.74018718,0.84560829,0.75696513,0.68374583,0.65626709,0.64211429,0.73753435,0.71912898,0.6747063,0.71372128,0.71342243,0.58012045,0.6842828000000001,0.60796145,0.61377111,0.60301429
448,151,0,0.79956527,0.73474849,0.5824751,0.69313894,0.67390135,0.84352155,0.75036408,0.75858603,0.79919332,0.76049658,0.78589909,0.80960721,0.91247245,0.96085387,0.92685041,0.93539288,0.66373071,0.6893602,0.73396485,0.60630862,0.74984248,0.81707363,0.58710031,0.77090144,0.53478569,0.63145613,0.79544221,0.9099476999999999,0.85720042,0.70134353,0.80503049,0.56562542,0.85496922,0.73487599,0.69097042,0.68297483,0.82706675,0.71607995,0.79117195,0.87991756,0.79876642,0.73281092,0.70204345,0.70572357,0.7711687,0.75865997,0.71962442,0.75742321,0.75107496,0.5987043000000001,0.70655701,0.6451494000000001,0.65006886,0.63428063
449,151,1,0.85431623,0.76041959,0.62862371,0.75241491,0.76412556,0.87301487,0.79324723,0.80154683,0.83981562,0.79432278,0.81895213,0.85567416,0.9319523999999999,0.97596183,0.96099844,0.9463878000000001,0.70320049,0.71834571,0.78560831,0.65743404,0.78758045,0.84306296,0.62363958,0.79683011,0.5719272,0.66400454,0.83186381,0.9321424999999999,0.88919333,0.7425772,0.84900068,0.5855975,0.89162459,0.77820174,0.72471242,0.72788718,0.85769802,0.74677511,0.82616287,0.91865188,0.84595938,0.7784156999999999,0.74083865,0.75158436,0.79688522,0.80335008,0.77039872,0.78826927,0.79918652,0.61220269,0.74235267,0.6900789,0.69130246,0.67192036
450,151,2,0.90132903,0.79348311,0.6810451999999999,0.82246998,0.84237668,0.89387446,0.83848821,0.83700635,0.88187842,0.82877668,0.84954722,0.90675718,0.94473336,0.98372989,0.98734616,0.94302024,0.75116421,0.74436197,0.82812143,0.73696386,0.82147036,0.8729678,0.67199865,0.84340433,0.61017176,0.69865239,0.87601736,0.95733741,0.92755258,0.78555523,0.88702575,0.60887944,0.91963483,0.81303465,0.75244335,0.79301171,0.8857497,0.77955815,0.86890627,0.95368855,0.89113834,0.82357049,0.7803859000000001,0.79927778,0.81566549,0.84469012,0.81307405,0.81347961,0.83102847,0.63434515,0.77454161,0.72248092,0.74639414,0.7078138
451,152,0,0.94351012,0.82605104,0.72504894,0.87175228,0.91793722,0.91983867,0.87213939,0.86478072,0.91897148,0.85583763,0.87270375,0.95168411,0.94869987,0.98758334,1.0,0.92679651,0.7889073,0.76486391,0.87565624,0.77716644,0.85310995,0.89537109,0.7184003999999999,0.87039789,0.65370312,0.72806582,0.92613945,0.97703543,0.95229269,0.81962589,0.91260163,0.62982188,0.93706342,0.84522124,0.77296316,0.85134478,0.90658745,0.80933884,0.90836709,0.97611687,0.92332061,0.86833734,0.81236706,0.83722127,0.82162021,0.89273032,0.85382698,0.83461859,0.85415456,0.67564937,0.79657436,0.75126116,0.79125897,0.74272844
452,152,1,0.97763011,0.85908978,0.77286578,0.90972285,0.97884903,0.93307285,0.89537101,0.87530949,0.95073466,0.87362254,0.88971539,0.98767748,0.94094315,0.98348523,0.99176634,0.90094982,0.8164471999999999,0.77723577,0.90487332,0.81543079,0.87394797,0.91665927,0.76222053,0.88979693,0.70936811,0.75487623,0.97117472,0.98421001,0.95535498,0.84493765,0.92623645,0.65265187,0.94259631,0.86177611,0.7895909000000001,0.90803404,0.92104881,0.8362062,0.93784048,0.97678366,0.95084547,0.90736287,0.84609541,0.88807439,0.81618898,0.91966499,0.89035244,0.8518266,0.86740267,0.71859602,0.81249528,0.78094684,0.82641154,0.77763194
453,152,2,0.99268414,0.87313125,0.80394076,0.92398664,0.9980568000000001,0.9395639000000001,0.90100555,0.86959773,0.96773264,0.88206165,0.89915912,0.99920199,0.92860291,0.97057924,0.97980586,0.86906841,0.83245836,0.78168964,0.91816937,0.82724772,0.87658085,0.92566874,0.78290728,0.89813439,0.73672392,0.76835237,0.98880901,0.98002566,0.94592634,0.847981,0.92640583,0.67061013,0.93872329,0.86196074,0.7967804,0.95441716,0.92248936,0.85700413,0.95362481,0.96538765,0.96110435,0.92714718,0.87085992,0.92281304,0.80532653,0.92850921,0.90592738,0.85986903,0.86955259,0.74761239,0.8136270999999999,0.80138404,0.84148728,0.80414882
454,153,0,1.0,0.87734369,0.8223253,0.92705606,1.0,0.9417696,0.89493759,0.84501017,0.97277442,0.88638583,0.90252264,1.0,0.90841781,0.94678574,0.9509447,0.84524609,0.83996686,0.78310357,0.91891121,0.82999875,0.86980737,0.92740474,0.80226103,0.89912498,0.75360857,0.77012554,0.9960662,0.96063357,0.92698848,0.83907363,0.91768293,0.68529842,0.92330037,0.8511293,0.80285634,0.98263202,0.91875956,0.87335114,0.95984076,0.94556586,0.96451349,0.94297463,0.89121847,0.93879209,0.78857479,0.92596315,0.91375934,0.8593175,0.86223126,0.76872073,0.80585528,0.81891088,0.85148945,0.81676214
455,153,1,0.99560303,0.86594532,0.83196868,0.91369504,0.96464873,0.93887068,0.86702497,0.78701003,0.96009795,0.88778072,0.89773609,0.98731475,0.87108859,0.91926112,0.90370948,0.81975439,0.83857155,0.78091198,0.8971696,0.81768163,0.84401863,0.91738155,0.81365055,0.89648341,0.76003782,0.76303284,0.99009767,0.92565874,0.89652671,0.81227732,0.89574864,0.6971288,0.88477765,0.81691181,0.80366719,1.0,0.90911121,0.88532815,0.95390418,0.91204461,0.95893299,0.95445729,0.90367669,0.9340074,0.75801597,0.90144054,0.91295835,0.83798799,0.84363742,0.77985279,0.78035162,0.82835338,0.84801044,0.81741839
456,153,2,0.97656192,0.84380937,0.82532982,0.87305227,0.90029895,0.92002773,0.82647365,0.70949673,0.92365313,0.88143395,0.87690815,0.94481293,0.81019833,0.86763716,0.81654533,0.78810323,0.8288044,0.77030753,0.85100434,0.77747905,0.80314146,0.89155695,0.80852949,0.8878983,0.75141822,0.73962692,0.95971243,0.83641567,0.86098799,0.77137767,0.86653117,0.69998671,0.79715056,0.75487722,0.79672634,0.99261374,0.88194173,0.88079631,0.91479257,0.86349033,0.92788361,0.95104353,0.8941811,0.90484788,0.70992017,0.84187605,0.90156639,0.81378045,0.80081348,0.77766287,0.73037048,0.81755271,0.83141263,0.7964963
457,154,0,0.93941125,0.79433386,0.79159929,0.81252144,0.78699552,0.8708722,0.75903259,0.60854804,0.83895131,0.86099874,0.83790427,0.8681625,0.72157779,0.78952841,0.72256024,0.74125492,0.8036278,0.73566631,0.77054325,0.7141428000000001,0.73916468,0.84213794,0.77022695,0.8596665000000001,0.70106366,0.70382297,0.88883614,0.74855423,0.79792892,0.70647268,0.80843496,0.68842217,0.686645,0.65628654,0.77107118,0.94617656,0.83070721,0.8390386000000001,0.82762956,0.7909923000000001,0.86641422,0.91938863,0.8400941999999999,0.84881286,0.64620469,0.74177554,0.86594874,0.74435676,0.7292853,0.75442545,0.65788878,0.76645971,0.79125897,0.75503031
458,154,1,0.87608993,0.70856529,0.67460209,0.70923535,0.58345291,0.78642551,0.65579057,0.46749442,0.70924806,0.81147998,0.76558862,0.76573738,0.61413839,0.68365038,0.61785405,0.6434135999999999,0.72930147,0.65923648,0.6379821999999999,0.6058772,0.63721365,0.7101385,0.66243989,0.78829454,0.59496533,0.64049933,0.74789745,0.63885325,0.69033766,0.55952346,0.69221714,0.64242988,0.52063075,0.50974214,0.70134925,0.79955445,0.69264872,0.72431011,0.72070122,0.67084925,0.71925481,0.84963923,0.73089486,0.72765189,0.52578197,0.60517923,0.7750178000000001,0.63280553,0.58965718,0.68331407,0.53493549,0.68354676,0.70007973,0.66217674
