,measure_number,beat_number,pid1263-03,pid52932-03,pid9048-03,pid9049-03,pid9050-03,pid9054-03,pid9055-03,pid9058-03,pid9059-03,pid9060-03,pid9061-03,pid9062-03,pid9063-03,pid9066-03,pid9067-03,pid9072-03,pid9074f-03,pid9075-03,pid9088-03,pid9091-20,pid9093-03,pid9094-03,pid9097-06,pid9099-03,pid9101-03,pid9104-03,pid9105-03,pid9111-03,pid9112-05,pid9114-27,pid9118-03,pid9137-03,pid9138-03,pid9139-03,pid9150-17,pid9153-03,pid9166c-05,pid9170-03,pid9173-08,pid9174-03,pid9186c-03,pid9192-03
95,32,2,0.25047358,0.5751135,0.38430805,0.49561564,0.38071924,0.267433,0.44689409,0.41612259999999995,0.32780337,0.35347587,0.43714918,0.35554793,0.31159464,0.39328633,0.28819244,0.26527251,0.30021004,0.4184224,0.3329134,0.35726396,0.86214292,0.5562220999999999,0.20297398,0.43650715,0.35718882,0.38302141,0.40268291,0.27763092,0.22201957,0.33605415,0.5887607,0.53576795,0.46206644,0.32091244,0.54623459,0.41456904,0.51059463,0.45261813,0.2903171,0.31566735,0.22647079,0.20585498
96,33,0,0.59148388,0.88278993,0.60136798,0.6911997,0.70492201,0.57080925,0.66998402,0.62181037,0.5438569999999999,0.59998857,0.69323436,0.60827423,0.57479479,0.65806254,0.47387109,0.61095972,0.60024977,0.65789165,0.65599398,0.72175125,0.98395963,0.62321429,0.57347727,0.70311482,0.64332595,0.60624901,0.58493836,0.53725574,0.48057162,0.46614834,0.81236509,0.71055927,0.55276014,0.5862765,0.59220917,0.58763937,0.66075309,0.70300149,0.51909418,0.58377576,0.46932024,0.53931796
97,33,1,0.76139914,1.0,0.64088738,0.85753996,0.86642981,0.70349448,0.77763368,0.73610765,0.65025782,0.7269609,0.83160774,0.70621521,0.8205577,0.80245248,0.63414938,0.75740521,0.73807902,0.77640935,0.88511211,0.91470213,0.77533568,0.55681501,0.87196168,0.86443438,0.76664045,0.69951626,0.71481755,0.70168408,0.62422153,0.61424507,0.8034518,0.82116027,0.57992184,0.75587097,0.65304314,0.63673885,0.82040447,0.89551263,0.65018673,0.68570633,0.56298662,0.80275038
98,33,2,0.71696577,0.99126427,0.56538796,0.87200708,0.7752513000000001,0.8191890000000001,0.73989287,0.84263643,0.68239257,0.7549737,0.86468711,0.64465797,0.73478996,0.83770693,0.52580074,0.6825237,0.73075613,0.80397332,0.89834403,0.9307861999999999,0.64072272,0.53950893,0.98284244,0.85650573,0.6630943,0.629659,0.76612721,0.74255667,0.76423488,0.71191013,0.76447711,0.83896772,0.56619443,0.68534562,0.69540639,0.65941252,0.83715666,0.76600297,0.58005025,0.58783182,0.7746924,0.77378803
99,34,0,0.59511466,0.89001238,0.52683845,0.82222503,0.72848354,0.79497285,0.71154027,0.89228757,0.70979718,0.71964327,0.83890083,0.56159536,0.64962578,0.84218271,0.42585324,0.5834064,0.6253406,0.78828532,0.86292687,0.89780513,0.60536181,0.62474191,0.98577352,0.78953702,0.45697433,0.56798573,0.72456054,0.73225325,0.7622331,0.68875699,0.73553219,0.82888147,0.53507572,0.62265438,0.72409476,0.63716767,0.78471174,0.55265973,0.39759625,0.60021348,0.83076716,0.63937352
100,34,1,0.58905783,0.75938919,0.66556167,0.80908459,0.84132582,0.72902435,0.84490179,0.86219786,0.80838776,0.74994283,0.76779319,0.56736063,0.66230082,0.8492335999999999,0.42733001,0.65373223,0.60660763,0.86108057,0.90951589,0.88886308,0.71383257,0.71393694,0.95260223,0.65972675,0.56553228,0.58217288,0.66935368,0.73339018,0.6316725999999999,0.54444226,0.73623,0.91847524,0.54855887,0.65897696,0.81940485,0.6223734999999999,0.72690915,0.47548291,0.50043458,0.67607203,0.86653668,0.61884289
101,34,2,0.58990528,0.68922823,0.67359583,0.8044728,0.87521664,0.68672272,0.7669486,0.80426115,0.84510141,0.78818889,0.73536498,0.49823839,0.69893771,0.83770693,0.40844054,0.5535545000000001,0.56076862,0.8909904000000001,0.88764757,0.87394031,0.72822384,0.69956752,0.90263083,0.61209118,0.65641667,0.52946075,0.71546366,0.76920344,0.57945952,0.45723536,0.69692966,0.94789928,0.56497313,0.67423041,0.8892527,0.60881218,0.70417296,0.5205052,0.59861479,0.67435493,0.86472131,0.64141547
102,35,0,0.49204055,0.58489476,0.49772003,0.68203929,0.70041594,0.60334559,0.51896438,0.65057314,0.69219663,0.68882918,0.62431464,0.37247769,0.70219701,0.69957082,0.30965477,0.41283175,0.33272025,0.7532439000000001,0.70820854,0.72877715,0.60829053,0.61090262,0.73305691,0.57707773,0.66503182,0.47358446,0.76310176,0.72258936,0.47589524,0.32767095,0.58334574,0.81510851,0.5457743,0.57706912,0.79446263,0.49379288,0.60697253,0.52210996,0.63613771,0.5619083,0.71619714,0.66730796
103,35,1,0.39222333,0.46096437,0.42358135,0.55763472,0.59220104,0.48690664,0.44188516,0.48859332,0.54840839,0.55501372,0.49997395,0.34359796,0.70551666,0.64138565,0.27012996,0.38095379,0.27836626,0.66841141,0.56587434,0.5939496,0.51832027,0.49416155,0.52633686,0.50993912,0.66074212,0.48491673,0.73504195,0.64876004,0.36345641,0.24958795,0.49321734,0.72878408,0.53512457,0.46228571,0.67198575,0.39369104,0.51137187,0.48336999,0.66145855,0.4688695,0.49939488,0.67299625
104,35,2,0.30042373,0.43803137,0.40886653,0.49498389,0.55615251,0.44245927,0.39497228,0.41417892,0.47051220000000005,0.42742397,0.46147685,0.36581255,0.70551666,0.68810546,0.26994618,0.3939218,0.23308356,0.59404003,0.43165359,0.5177041,0.43569433,0.46680385,0.37532170000000004,0.4475577,0.63885036,0.51344171,0.68854224,0.63681518,0.31184386,0.24614441,0.48532749999999997,0.64929744,0.54225696,0.39152995,0.57329545,0.36580189,0.44769846,0.47408024,0.70102533,0.42418786,0.44305789,0.63979719
