,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
294,99,2,0.33853339,0.34642993,0.58638474,0.42112352,0.26098771,0.38000523,0.38581344,0.32028506,0.28758579999999995,0.44122156,0.43824104,0.47832820000000004,0.3545351,0.48331444,0.31329864,0.39449334,0.40007009,0.32463953,0.34572301,0.25000692,0.27844287,0.51098783,0.48804164,0.41341940000000005,0.40552086,0.50213056,0.37294227,0.57757906,0.49146036,0.3472108,0.34458501,0.43694823,0.34897025,0.42070045,0.50821017
295,100,0,0.36073366,0.36735529,0.58876396,0.44988492,0.270694,0.43051971,0.38743753,0.32618767,0.29834866,0.45498628,0.43913441,0.46936739,0.36833971,0.49049693,0.33107112,0.39811931,0.45346573,0.33430424,0.37403259,0.24957809,0.29320264,0.50620758,0.51997749,0.41489924,0.44274595,0.52664777,0.39215512,0.58594846,0.50515231,0.36521851,0.33932337,0.44992565,0.38062548,0.45008882,0.53696711
296,100,1,0.36669843,0.39213633,0.59356594,0.47866337,0.28364657,0.474782,0.38656996,0.33460689,0.31120321,0.46954978,0.43071899999999996,0.46705563,0.39153990000000005,0.49040148,0.35440879,0.39083728,0.48505452,0.34580462,0.39446707,0.25220639,0.30429054,0.48819078,0.53749766,0.42352645,0.45995113,0.53616709,0.40965967,0.58080618,0.51419708,0.39064909999999997,0.33407131,0.46712489999999995,0.40354344,0.46937653,0.54189663
297,100,2,0.36311015,0.42298172,0.59732337,0.5077828,0.30828248,0.48135682,0.3947668,0.34105858,0.32631783,0.49033403,0.43024474,0.47198738,0.42623444,0.49265048,0.39392165,0.38335966,0.5046028,0.35944757,0.41805159999999997,0.26775488,0.3286116,0.46543413,0.53943913,0.4368262,0.46613268,0.53884341,0.41323157,0.56200142,0.52057953,0.41734576,0.30134177,0.49981802,0.42473476,0.48190508,0.50490389
298,101,0,0.35213355,0.45703542,0.59160017,0.52690308,0.3389472,0.4517963,0.41120211,0.34443313,0.34564823,0.5090689,0.43825207,0.48298107,0.45401448,0.4932172,0.43714947,0.37555104,0.51746106,0.38525103,0.42651052,0.28652649,0.34961433,0.44515512,0.52875633,0.44248741,0.46751742,0.56942695,0.41190043,0.54485546,0.51602743,0.43492931,0.23711903,0.527759,0.43781291,0.48777599,0.45825716
299,101,1,0.33807457,0.47168698,0.5820325,0.52559032,0.36225694,0.3957098,0.43069822,0.34654938,0.35663127,0.51999355,0.45573362,0.49498752,0.46764826,0.49387341,0.46999855,0.37027007,0.523419,0.41803809999999997,0.42534963,0.29916309,0.35687771,0.43082786,0.51867379,0.44003778,0.46113675,0.6377204000000001,0.41125704,0.52871986,0.50031496,0.43874679,0.19472877,0.54623727,0.43914430000000004,0.48865578,0.39354977
300,101,2,0.33003918,0.47669459,0.57849267,0.51443185,0.38236108,0.32213987,0.45393531,0.3492719,0.36080819,0.52178473,0.47807912,0.49431968,0.47248027,0.49529321,0.50555796,0.36987888,0.52817757,0.45120737,0.41543109,0.3124706,0.35957737,0.4164198,0.51106734,0.43154912,0.45324464,0.67630143,0.41224431,0.50695942,0.48952304,0.43276992,0.16393521,0.55814365,0.43845779999999995,0.48113527,0.35585647
301,102,0,0.33156861,0.48849962,0.5677644000000001,0.50040917,0.3999105,0.28978898,0.47683232,0.35305826,0.36354747,0.50551073,0.51120033,0.48805959,0.46441877,0.49294279,0.55281873,0.37734146,0.54520249,0.49024263,0.39716225,0.32169041,0.35883818,0.40659,0.50214781,0.42685768,0.45399584,0.77945004,0.41216666,0.49756458,0.47585486,0.41446658,0.13730113,0.58177961,0.43797240000000004,0.4543778,0.31359248
302,102,1,0.33643925,0.52492384,0.56344843,0.50329895,0.42469286,0.2983345,0.49152554,0.35329848,0.36780857,0.48805874,0.54266712,0.48910906,0.44521272,0.49327686,0.58793727,0.38938539,0.56720405,0.50884823,0.38545146,0.32495504,0.35764101,0.41761823,0.5074939,0.43797229,0.44053761,0.80945634,0.41020322,0.49991706,0.48179754,0.39962725,0.08993387,0.61571017,0.43999723,0.42773877,0.28803076
303,102,2,0.34476876,0.58617669,0.55779777,0.51415907,0.46468147,0.33671957,0.51926707,0.34853979,0.37583215,0.47518961,0.57675891,0.49782768,0.4210445,0.50173,0.62503614,0.40413752,0.59651869,0.51827552,0.3811609,0.31936644,0.35831592,0.45783959999999996,0.52888764,0.47099496,0.42415603,0.84535055,0.40598793,0.50603954,0.49648787,0.38623393,0.061611079000000006,0.65468404,0.45185493,0.40493190000000007,0.27351559
