,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
335,113,1,0.39466347,0.22897944,0.24595967,0.41316171,0.36442112,0.47309034,0.46975986,0.34450177,0.28258645,0.10540584,0.48893203,0.21687216,0.54221101,0.44583308,0.26087742,0.42342586,0.36901090000000003,0.34251549,0.33327902,0.41218011,0.39389362,0.42898309,0.36254924,0.31566751,0.55066522,0.49422754,0.49799219,0.61478142,0.36691349,0.32230077,0.67607821,0.34700053,0.39833576,0.25645884,0.57960701
336,113,2,0.28534453,0.21421363,0.21962135,0.36142699,0.21523066,0.3876962,0.33850639,0.14311534,0.21066572,0.09949975800000001,0.39063827,0.15844709,0.43099325,0.32941598,0.16357329,0.33677123,0.17759346,0.2996236,0.25061779,0.20877023,0.22311586,0.36078046,0.20830051,0.23571159,0.4031134,0.43034215,0.32678484,0.32444619,0.29305775,0.18602185,0.46337934,0.27432487,0.35768671,0.24520768,0.41961555
337,114,0,0.2160496,0.28571973,0.24672857,0.37522803,0.13297535,0.36401291,0.27323709,0.22169094,0.26625437,0.15083105,0.30886651,0.16805372,0.33270154,0.25012826,0.14844608,0.31843828,0.13463396,0.28406972,0.23490835,0.080910223,0.19803953,0.42534741,0.18670981,0.27503149,0.34984161,0.40878463,0.22139149,0.29419571,0.30888907,0.17774422,0.45827104,0.26773217,0.40448651,0.26994332,0.37437847
338,114,1,0.19574348,0.34678218,0.26908458,0.38526127,0.13449679,0.37213115,0.23959606,0.32488361,0.3294651,0.22404389,0.34728181,0.16880963,0.29632311,0.25247867,0.15802255,0.32119913,0.14773364,0.25267242,0.25494229,0.083503942,0.20183995,0.45876872,0.25866629,0.30773929,0.35888316,0.41720193,0.16736922,0.38054378,0.33957712,0.20803985,0.63769408,0.29837678,0.42511615,0.28611793,0.37106365
339,114,2,0.19280227,0.34718203,0.24865081,0.38458784,0.14221788,0.36710848,0.22524292,0.35046157,0.3321461,0.25927868,0.36009794,0.20121092,0.29515985,0.25121398,0.16642816,0.33535695,0.16076324,0.22342348,0.26642906,0.10355513,0.20602603,0.43995745,0.30255112,0.31028967,0.3695357,0.43175903,0.16796823,0.42273762,0.34278617,0.21981362,0.67696952,0.31636632,0.40110949,0.26073936,0.36858607
340,115,0,0.19283756,0.28529132,0.25221239,0.36353252,0.16243593,0.34606732,0.24368406,0.34681248,0.31017355,0.25627723,0.33966052,0.24686629,0.27297649,0.25340333,0.16601619,0.35558565,0.18361371,0.21215473,0.27692464,0.12371006,0.2027318,0.41461543,0.31270869,0.28945844,0.39151959,0.45385181,0.1792164,0.44365358,0.33086514,0.22085476,0.66988691,0.33501097,0.32809791,0.22309449,0.36214438
341,115,1,0.1910846,0.22985529,0.30749311,0.34151394,0.19797413,0.32704046,0.27256385,0.32057104,0.26751069,0.22086493,0.28990702,0.2891164,0.24871065,0.27365627,0.16390575,0.37066877,0.22591121,0.23955064,0.28505771,0.16615714,0.20656436,0.38500485,0.30703433,0.26069899,0.42659064,0.47289043,0.19969384,0.45417942,0.31863508,0.23460154,0.6207303000000001,0.37700043,0.2735802,0.22302682,0.36846647
342,115,2,0.20869657,0.24767708,0.40152328,0.30462876,0.24902774,0.31973317,0.34780677,0.26839703,0.26240124,0.16437792,0.26129683,0.31985175,0.25443748,0.33431963,0.18472825,0.38442789,0.29926791,0.29845967,0.29495587,0.23124222,0.24237506,0.34007056,0.31742637,0.27588791,0.47929224,0.51206969,0.24876869,0.47280322,0.30822349,0.27943445,0.55572168,0.42265018,0.26627141,0.25855681,0.41454934
343,116,0,0.25315592,0.33248286,0.46637894,0.29656466,0.29469531,0.3379578,0.43480705,0.26580034,0.33253465,0.22767468,0.28557248,0.3320637,0.30722362,0.38896975,0.2387612,0.41085534,0.35195483,0.35563727,0.2922539,0.27184949999999997,0.29777439,0.33428041,0.35192272,0.35403023,0.51487917,0.54784845,0.30157075,0.49525734,0.35076126,0.33342545,0.47004025,0.4429482,0.35587685,0.3177227,0.47831696
344,116,1,0.32253321,0.40586443,0.54060641,0.31641804,0.33352859999999995,0.3788978,0.50090228,0.30742745,0.39140008,0.2963208,0.31936647,0.33956407,0.38376312,0.41589811,0.28485111,0.44597156,0.395,0.40327755,0.27905635,0.28871905,0.34904387,0.36430841,0.38404615,0.41211587,0.54011223,0.6138644,0.33306341,0.51083498,0.41542959999999995,0.3848072,0.47277171,0.43312155,0.42644061,0.36356484,0.54737292
345,116,2,0.35626301,0.43531036,0.54846946,0.32992925,0.33929705,0.39207359999999997,0.53237785,0.31679612,0.40740189,0.30448604,0.33971566,0.30979011,0.40689823,0.42592615,0.3136817,0.39675017,0.40978193,0.40016793,0.26741344,0.28391894,0.36184316,0.36122482,0.39077096,0.4420403,0.53310707,0.61548069,0.34801659,0.50573794,0.44768651,0.38147815,0.47317424,0.40877848,0.44849872,0.31922003,0.56798804
346,117,0,0.36072189,0.38968012,0.44391412,0.24144574,0.27517696,0.34788106,0.50340089,0.28971963,0.38855718,0.24755527,0.30966063,0.20686188,0.388587,0.42209032,0.28790836,0.30343038,0.34844237,0.32392727,0.26174474,0.25464795,0.32049655,0.28064742,0.36376852,0.36745592,0.45691918,0.57413938,0.30850379,0.48845626,0.43659745,0.30773136,0.39677976,0.32597461,0.43127384,0.24513155,0.51193507
347,117,1,0.32143908,0.25921554,0.30357609,0.1925667,0.17995281,0.27158179,0.44918101,0.23650465,0.33264474,0.18873649,0.24293293,0.19623514,0.34378915,0.4024041,0.23809627,0.21104341,0.25798287,0.25536511,0.26356415,0.21213861,0.30049012,0.24554293,0.30726881,0.27261335,0.38209793,0.49334593,0.251553,0.46464494,0.39318017,0.23923522,0.29721104,0.30432477,0.34785382,0.19373995,0.40928663
348,117,2,0.21576724,0.14439261,0.23837226,0.16118829999999998,0.16448621,0.18635333,0.39560661,0.18695021,0.26063334,0.17959497,0.18153242,0.14528108,0.28368177,0.38181113,0.18364412,0.12116904,0.19866822,0.17640279999999997,0.27432451,0.15765666,0.22996947,0.22533125,0.24190583,0.22228589,0.29114852,0.41945844,0.19921684,0.46591166,0.29734837,0.16086118,0.18864289999999997,0.27655017,0.26387907,0.17673632,0.31522426
349,118,0,0.17636678,0.1956112,0.29097635,0.24330407,0.21557237,0.1563481,0.38325236,0.20548165,0.19040927,0.25037115,0.22826387,0.23970351,0.26110795,0.39656983,0.25720584,0.13375461,0.23462617,0.18600382,0.31830278,0.21129478,0.21668809,0.22879188,0.2483399,0.25133501,0.31566658,0.38373216,0.24158051,0.53324386,0.25217205,0.17660668,0.1839563,0.26650514,0.22056029,0.19346079,0.31633490000000003
350,118,1,0.19395522,0.24549695,0.35182794,0.30369107,0.24614759,0.17864493,0.42138395,0.23032750000000002,0.1917692,0.25809263,0.27331885,0.36796565,0.31238103,0.44380481,0.34363978,0.18632363,0.27323988,0.22342927,0.24002716,0.23194079,0.23576249,0.25776958,0.28645657,0.26547859,0.40818174,0.39991604,0.28450992,0.58439522,0.27290015,0.20821979,0.19321449,0.2902035,0.2335899,0.21439811,0.35055959
351,118,2,0.22006141,0.26922125,0.40207457,0.3255136,0.26682125,0.20242414,0.38658384,0.24312792,0.20768035,0.22155882,0.30540329,0.42411566,0.32323273,0.48304599,0.39341573,0.22362898,0.29916667,0.24874631,0.28545146,0.2288145,0.22131609,0.28903641,0.30625586,0.27425693,0.43458232,0.41984677,0.29443804,0.58973354,0.28446462,0.2308419,0.18589228,0.30174592,0.255121,0.2201252,0.37616403
352,119,0,0.21672020000000003,0.24528751,0.36940374,0.31686983,0.25444634,0.20224974,0.31077873,0.22977842,0.19950136,0.14624818,0.28581513,0.39227947,0.30323761,0.50187317,0.38342006,0.23556007,0.28922897,0.23543923,0.24992532,0.18313736,0.18728909,0.28160347,0.27484524,0.26323048,0.38957372,0.38226279999999996,0.25291742,0.5007917000000001,0.28406052,0.21194087,0.16533448,0.26694188,0.24878996,0.19020387,0.36052114
353,119,1,0.14202520000000002,0.14031797,0.176215,0.17954139,0.17304532,0.15272933,0.17676291,0.13542822,0.15586712,0.09138292699999999,0.15767589,0.24749743,0.21010331,0.41750879999999996,0.22735617,0.20323479,0.21761682,0.16954659,0.23119484,0.078337253,0.12232042,0.19607077,0.15051585,0.17701511,0.21441759,0.23633501,0.13858322,0.23915371,0.21973686,0.15296272,0.12345218,0.16682438,0.18427987,0.14280518,0.23265271
354,119,2,0.069453758,0.060502666,0.10899463,0.11008439,0.056430722,0.083296128,0.13167685,0.059731865999999995,0.090260329,0.031349847,0.024875644,0.08915309,0.14099894,0.15522878,0.09390719900000001,0.13476266,0.10039719999999999,0.13499913,0.19856755,0.043004565,0.04718062,0.06724254,0.10361095,0.089464736,0.081432709,0.12832704,0.033938634,0.092992324,-0.011720765,0.089505141,0.045089132000000004,0.10541038,0.11350114,0.11498181,0.15137975
355,120,0,0.11315427,0.11977342,0.18254751,0.13525701,0.071195997,0.09911928800000001,0.17207107,0.11071849,0.073054009,0.095401,0.11473855,0.15128431,0.21904336,0.10888862,0.13008818,0.1204619,0.1344081,0.12759859,0.11659878,0.14260617,0.10324602,0.098324895,0.15037516,0.12645466,0.11965789,0.19895046,0.17721968,0.23357411,0.11008712,0.08781491,0.10139927,0.1498539,0.11393801,0.11888165,0.19636053
356,120,1,0.16087248,0.18409177,0.27842739,0.18445998,0.11213083,0.15410708,0.24142837,0.15656779,0.10797824,0.13084557,0.1725104,0.21493468,0.41401611,0.16916423,0.17331599,0.14005868,0.20549844,0.18823904,0.14210455,0.19900401,0.14934115,0.15049014,0.21656350000000002,0.15594458,0.20981084,0.29588581,0.29357279,0.29398459,0.20648466,0.1002635,0.1684493,0.21977393,0.12755703,0.15940276,0.23300299
357,120,2,0.194967,0.23270183,0.33761062,0.20464581,0.11108128,0.18217649,0.28570933,0.19957904,0.13843414,0.15641439,0.19691839,0.2527154,0.48053364,0.204671,0.21141949,0.17156398,0.22824766,0.22230587,0.17099117,0.22460921,0.1778483,0.2074491,0.25211968,0.16966625,0.23433795,0.37396096,0.32708435,0.31577519,0.24940276,0.12695373,0.18862373,0.25784313,0.14529506,0.18561035,0.26747544
358,121,0,0.17777856,0.23816641,0.30613666,0.20842213,0.07217883,0.17956052,0.26447113,0.157563,0.13081855,0.12081652,0.18278977,0.12358726,0.47191084,0.18246137,0.21899393,0.13168585,0.15576324,0.21715791,0.17011541,0.21341818,0.15171139,0.20559087,0.20007503,0.14054786,0.20835370000000003,0.38365869,0.23901806,0.30913999,0.24947407,0.13031491,0.14199732,0.211975,0.14368629,0.18731072,0.28464759
359,121,1,0.09323992,0.17483816,0.15800812,0.14726792,0.038174274,0.13662365,0.188902,0.10462485,0.10347753,0.10558335,0.14024948,0.080463819,0.33172537,0.1167989,0.20308615,0.08931016300000001,0.11135514,0.14296717,0.12854718,0.070127265,0.09468102199999999,0.12975601,0.059707372,0.099433249,0.089551091,0.32450672,0.12175534,0.24636195,0.18377171,0.10904884,0.13531723,0.1440307,0.12237015,0.15365874,0.22625374
