,measure_number,beat_number,pid1263-13,pid50534-05,pid52932-06,pid54293-09,pid5667267b-10,pid7992-03,pid9048-13,pid9050-13,pid9052b-09,pid9054-13,pid9055-13,pid9056-15,pid9058-13,pid9059-13,pid9062-13,pid9063-13,pid9064-04,pid9065-08,pid9066-13,pid9067-13,pid9068-08,pid9070-21,pid9072-13,pid9074f-13,pid9085-15,pid9087-07,pid9088-08,pid9089-15,pid9090-06,pid9093-13,pid9094-13,pid9098-20,pid9099-13,pid9100b-17,pid9101-13,pid9103-07,pid9104-13,pid9105-13,pid9111-13,pid9118-13,pid9130-01,pid9138-13,pid9139-13,pid9152-13,pid9153-13,pid915406-13,pid9156-10,pid9159-04,pid9160-02,pid9161-12,pid9165-04,pid9166d-20,pid9167-13,pid9170-13,pid9173-18,pid9174-13,pid9176-06,pid917803b-08,pid917807-08,pid917811-09,pid917812-05,pid917813-02,pid9181-07,pid9186c-13,pid918818-11,pid9192-13,pid9193-03
221,75,0,0.88714965,0.37148458,0.91164028,0.62975694,0.65952797,0.44564617,0.81746969,0.78447993,0.59298825,0.80659681,0.87127629,0.6841512,0.71631305,0.78059223,0.8162822,0.58586475,0.91220394,0.79217781,0.87810401,0.84195211,0.79414422,0.98049155,0.75211457,0.80606782,0.6699406,0.76029421,0.71054411,0.57907531,0.85716183,0.62599962,0.86132644,0.64597581,0.54430162,0.75240418,0.88805413,0.83703644,0.91152995,0.81938338,0.578832,0.89142713,0.74903995,0.64330646,0.7932,0.64841942,0.80153825,0.57312664,0.54967923,0.83333843,0.90213876,0.80571235,0.69019402,0.7166126,0.94575014,0.82781891,0.78639299,0.44759765,0.81528255,0.45952537,0.89454093,0.76209636,0.63912479,0.51172572,0.86306932,0.50591461,0.68847129,0.8189464,0.81453398
222,75,1,0.89439434,0.2744728,0.94773603,0.64260578,0.68373033,0.39296409,0.87532212,0.8382573,0.63370885,0.82128099,0.8583528,0.68395581,0.70735588,0.72517918,0.84399341,0.57109952,0.92491201,0.8089478,0.88429315,0.78272364,0.7591715,0.97857143,0.7532103,0.83900952,0.69717109,0.74835476,0.70250618,0.53826501,0.87712958,0.59328487,0.87605512,0.64599321,0.58165113,0.74515679,0.89320579,0.84471197,0.84459052,0.82394675,0.5856,0.86065919,0.73024634,0.62400717,0.8036,0.65733807,0.79522044,0.58671122,0.50489399,0.86484228,0.83896848,0.79217341,0.68433528,0.74005725,0.96053422,0.78909782,0.73845941,0.44119954,0.80657022,0.44873977,0.89360332,0.71458199,0.63303932,0.46216942,0.8082995,0.53055882,0.63705052,0.83003288,0.87280894
223,75,2,0.88759577,0.23775673,0.95993549,0.62093188,0.69596809,0.32946649,0.87939797,0.86551095,0.6562591,0.82799587,0.83338201,0.68512813,0.65710568,0.67280272,0.86024566,0.53646028,0.91427756,0.81623165,0.88067024,0.73840206,0.73169962,0.94408602,0.73153595,0.85707912,0.71328589,0.74808989,0.68804617,0.48598665,0.85578638,0.56380333,0.88742463,0.64648047,0.60658097,0.72439024,0.88905273,0.84842854,0.75511436,0.81582728,0.589592,0.80571525,0.69680805,0.60676819,0.8132,0.66390635,0.77729707,0.5823291,0.46116576,0.89455231,0.75646746,0.76272912,0.67750167,0.7535687,0.96288108,0.72423508,0.67416052,0.41785422,0.78853009,0.42538462,0.89179809,0.63388431,0.62054017,0.40105256,0.74234265,0.53783131,0.58522661,0.83148559,0.87755735
224,76,0,0.84121812,0.22099265,0.91850968,0.56937283,0.70225087,0.26889083,0.85562046,0.86467153,0.65333592,0.82895514,0.77424065,0.70263019,0.59102282,0.60115994,0.84054823,0.48959543,0.8823742,0.80887439,0.86263114,0.6736281999999999,0.653418,0.91490015,0.66379277,0.86183819,0.71652061,0.75574051,0.64746084,0.42810296,0.76980649,0.51900389,0.89267873,0.65631254,0.61868381,0.68787456,0.87104993,0.84818615,0.56985043,0.79713585,0.574248,0.74978505,0.630944,0.53858863,0.81853333,0.67314385,0.74502129,0.56666301,0.44028228,0.91400907,0.60050143,0.73144215,0.6516869000000001,0.75250954,0.94350532,0.61550154,0.58832103,0.38649289,0.75059548,0.39813421,0.89217593,0.54116805,0.60666667,0.34038711,0.66407026,0.51572007,0.47843813,0.82712746,0.85317363
225,76,1,0.77312579,0.21826277,0.85034975,0.47966282,0.69777098,0.21996656,0.72940259,0.83846715,0.62146256,0.82142857,0.69042786,0.72061321,0.49055244,0.5469917,0.76423008,0.43450143,0.82359935,0.77669657,0.81726923,0.61257898,0.55069894,0.84700461,0.59195502,0.8307555,0.7115215,0.76967666,0.58401484,0.36083889,0.64252514,0.49626299,0.8881136999999999,0.67181763,0.62254911,0.61264808,0.8245636999999999,0.83808677,0.45579851,0.76654988,0.54028,0.70821883,0.53735877,0.46680601,0.81853333,0.67825453,0.69083917,0.54361854,0.44604387,0.91723997,0.41330332,0.70452914,0.58940075,0.72895038,0.91456073,0.49057852,0.52603321,0.35551561,0.70836064,0.36323241,0.89510069,0.45612543,0.59921368,0.29536697,0.58044969,0.46241024,0.37641589,0.80923618,0.73195016
226,76,2,0.71051304,0.20631722,0.71350632,0.33903484,0.68149038,0.17594854,0.62354342,0.78645985,0.57639118,0.80703955,0.60267961,0.72952581,0.40519416,0.52178423,0.6143574,0.391761,0.74843527,0.73329527,0.74352781,0.57457599,0.44770713,0.75431644,0.51886774,0.80681142,0.69287773,0.77285508,0.53699093,0.305653,0.49059951,0.48373828,0.87691645,0.67957887,0.60556712,0.49214634,0.74787681,0.81732245,0.33251056,0.71258649,0.502688,0.67866476,0.42781997,0.3907236,0.8162,0.67797212,0.60657877,0.51764351,0.45806195,0.90919839,0.30794106,0.67399864,0.47791264,0.69012405,0.89006043,0.40237175,0.48916052,0.33619055,0.6573815,0.33837971,0.89829133,0.4053757,0.59684103,0.27277432,0.51411258,0.38896723,0.31831719,0.77819405,0.62635153
227,77,0,0.565241,0.17201224,0.5455306999999999,0.26091879,0.64592439,0.16234191,0.53823804,0.75135036,0.51097407,0.7849026,0.48828125,0.73273465,0.32523018,0.51665409,0.44109497,0.33830101,0.66226577,0.70947798,0.66904672,0.55473894,0.34656495,0.67754224,0.42232795,0.77230815,0.65659001,0.76179173,0.43556472,0.26361296,0.39314172,0.48760921,0.85867356,0.67780388,0.57378474,0.36652265,0.67268315,0.77497778,0.26876383,0.64995183,0.453096,0.64939729,0.33992715,0.32418632,0.8132,0.66645714,0.54857162,0.47828659,0.44801735,0.88819243,0.29829104,0.60444186,0.37379337,0.62514313,0.82618505,0.3369259,0.47678967,0.31887563,0.61665734,0.33099018,0.88552876,0.41510256,0.59649915,0.29799837,0.43265091,0.27566915,0.28160479,0.73239544,0.54117962
228,77,1,0.48327029,0.16203624,0.46210312,0.24288676,0.59500656,0.16148423,0.48785972,0.70439781,0.46049335,0.76047816,0.43480578,0.72249192,0.27810248,0.52393436,0.36293439,0.30901664,0.60658233,0.6741925,0.6353989000000001,0.54501995,0.310612,0.62205837,0.3329777,0.72813058,0.60577545,0.74819176,0.41204452,0.26959009,0.33487004,0.49823353,0.8429888000000001,0.67666406,0.53452521,0.31529617,0.64149323,0.72238022,0.28271514,0.6032145000000001,0.4392,0.65180814,0.34155708,0.29732258,0.81046667,0.6519632,0.47989287,0.4487018,0.42109122,0.87075371,0.31691568,0.55888857,0.35965784,0.56374046,0.79574391,0.32463474,0.48130996,0.31250204,0.60147071,0.33057283,0.87275221,0.44586971,0.59971282,0.32589787,0.36490316,0.22068155,0.27637038,0.69112317,0.48706486
229,77,2,0.44763844,0.16940327,0.37099983,0.24805631,0.54378824,0.16624509,0.4593185,0.65869526,0.43008643,0.73080726,0.40689252,0.70427594,0.26675340000000003,0.53935307,0.3235695,0.30379959,0.56547132,0.63942088,0.62276398,0.53885101,0.29954824,0.57309524,0.28193003,0.67926829,0.55198494,0.73502985,0.41836768,0.29979981,0.30458167,0.51362796,0.82034453,0.68231097,0.48939984,0.29156098,0.63134858,0.67506666,0.31179154,0.57590435,0.44611999999999996,0.67079997,0.35756004,0.29585946,0.809,0.63423522,0.45627661,0.43367659999999997,0.39147675,0.85695357,0.33988948,0.5191446,0.37745389,0.5332729,0.76884006,0.35515954,0.49476015,0.30989541,0.60234194,0.33482815,0.85819841,0.47716573,0.6104546999999999,0.35198071,0.33933982,0.19648779,0.2879511,0.64537044,0.46141918
230,78,0,0.44704684,0.19810923,0.34647525,0.26179175,0.49477709999999997,0.17977904,0.45027361,0.61456204,0.41252792,0.70299587,0.3952906,0.68980987,0.27572058,0.56891739,0.30744458,0.31466679999999997,0.53157044,0.60743883,0.6255491,0.53427835,0.31412376,0.53080645,0.2599481,0.63825104,0.50165853,0.72509729,0.43758450000000004,0.34441373,0.28653007,0.54198074,0.78800172,0.69594536,0.43218068,0.28783275,0.63574428,0.6477337,0.34110269,0.56386967,0.46356800000000004,0.7053865,0.39677718,0.30513586,0.8086,0.61934955,0.43135558,0.42933282,0.37644651,0.82842583,0.37986083,0.48789642,0.41377234,0.51792939,0.74284321,0.41678569,0.51660517,0.29585717,0.61354808,0.34056465,0.84353266,0.5035361,0.62796581,0.38589171,0.34619678,0.19076903,0.33608167,0.61734078,0.45218972
