,measure_number,beat_number,pid52932-12,pid5667271-08,pid5667291-10,pid610003b-02,pid9048b-02,pid9049-27,pid9050-27,pid9054-27,pid9058-27,pid9059b-02,pid9060-27,pid9061-27,pid9062b-01,pid9063b-02,pid9064-08,pid9066-27,pid9067-25,pid9070b-10,pid9072b-02,pid9073b-02,pid9074f-27,pid9075-27,pid9090-14,pid9099b-02,pid9100b-22,pid9101b-09,pid9103-14,pid9104-27,pid9111-27,pid9113-10,pid9114-28,pid9116-13,pid9118b-02,pid9119-07,pid9121-06,pid9130-08,pid9138-27,pid9152-14,pid9174-27,pid917520g-10,pid918904-10,pid9192-27
10,4,1,0.61062543,0.34108558,0.43891984,0.64792753,0.30094452,0.44296477,0.46550565,0.53280509,0.27329876,0.43530756,0.53389516,0.36008305,0.34008302,0.40336303,0.42999723,0.37241771,0.64939294,0.59587216,0.49437007,0.39290811,0.40172365,0.48350766,0.60902479,0.43923178,0.46093007,0.51457111,0.70824706,0.43948048,0.5719715,0.50791059,0.31204527,0.48204687,0.38669568,0.36811493,0.66842021,0.49413268,0.34856131,0.55527212,0.51718704,0.40463982,0.54533855,0.35703585
11,4,2,0.48602435,0.32230586,0.32205134,0.51720006,0.22198991,0.34102223,0.35029607,0.34189705,0.20260216,0.32921862,0.65085305,0.2701896,0.25053189,0.36207127,0.29549487,0.26795599,0.48474287,0.5081767,0.31953187,0.2966663,0.32102856,0.36826401,0.47397837,0.37185896,0.30808857,0.41317288,0.58540095,0.38457678,0.37772499,0.38196771,0.14031712,0.37923265,0.35061021,0.30939471,0.5525471,0.41514148,0.29214033,0.44183636,0.39452388,0.41571237,0.37982175,0.2217051
12,5,0,0.38678061,0.37916006,0.28228990000000004,0.36687579,0.25315909999999997,0.28591476,0.24120187,0.41327935,0.21006885,0.26923663,0.74277655,0.29365403,0.29466026,0.39653304,0.18533407,0.23787654,0.4798531,0.51257832,0.31805125,0.22389334,0.27861264,0.35577718,0.33517083,0.36056297,0.33857473,0.4511477,0.39048079,0.34246919,0.34843846,0.34616219,0.19471261,0.22474889,0.53913314,0.38477137,0.48779859,0.36038611,0.27956872,0.38354953,0.30265538,0.50276518,0.40939343,0.18405992
13,5,1,0.41038342,0.48619255,0.47259627,0.44892852,0.42048602,0.37570722,0.31978383,0.62417582,0.36982026,0.3197908,0.76389653,0.42942651,0.44292027,0.53360802,0.48590934,0.31852790000000003,0.65502138,0.62655715,0.55108609,0.31258462,0.37350500000000003,0.49510257,0.39487032,0.46812784,0.46987174,0.63878421,0.44598175,0.50752712,0.53711621,0.59277624,0.45206828,0.29115012,0.65190361,0.59499825,0.58771807,0.44004921,0.40789186,0.46722226,0.48775411,0.63459375,0.54957681,0.36301969
14,5,2,0.49808667,0.56408479,0.5717365,0.56367193,0.58251261,0.44919861,0.41772037,0.7119144000000001,0.49493875,0.40999584,0.75343974,0.4882482,0.55715412,0.60790646,0.58204186,0.48041561,0.72147026,0.74738061,0.72288323,0.39304229,0.61668777,0.61953296,0.52138004,0.55504325,0.53344911,0.76059912,0.50288647,0.56944137,0.67543767,0.72093023,0.59546704,0.39819926,0.66594586,0.74548879,0.68193677,0.51004069,0.44804635,0.54919197,0.46044159,0.73500468,0.61479225,0.44421815
15,6,0,0.58946533,0.50672544,0.57102809,0.66118004,0.63451628,0.43802349,0.49974142,0.64239445,0.44328892,0.45543779,0.69413869,0.50705108,0.57529049,0.62965108,0.39833657,0.48586397,0.71659089,0.86825673,0.8066052,0.43274661,0.54627832,0.58319955,0.66845631,0.51195572,0.53246342,0.67216607,0.66126513,0.71120213,0.83072051,0.7236414000000001,0.70110607,0.51211655,0.62768445,0.7715925,0.68130334,0.5327813,0.35834567,0.56983839,0.37137438,0.71838992,0.61436907,0.48313415
16,6,1,0.64017999,0.36595681,0.38761807,0.56333709,0.52585053,0.37168181,0.43126988,0.56408907,0.31179469,0.39154891,0.74415245,0.47619085,0.50649428,0.51312546,0.29004713,0.48922553,0.69657404,0.82666245,0.67383633,0.37298886,0.53254538,0.44087408,0.66147957,0.43492890000000006,0.45755055,0.56437626,0.69984208,0.62464025,0.91818422,0.5000723,0.67150438,0.53917293,0.69832818,0.69052207,0.56964947,0.45073342,0.36065014,0.53186463,0.37861103,0.52125102,0.55410362,0.4099394
17,6,2,0.55639416,0.2723752,0.31370792,0.43974693,0.39094911,0.34721914,0.3326481,0.45603817,0.22250738,0.26853699,0.77621079,0.38737073,0.34206179999999997,0.41570156,0.27883283,0.4140138,0.61378083,0.71398936,0.48385495,0.30959613,0.49511749,0.37967242,0.54839698,0.36733617,0.34015888,0.41905058,0.60905422,0.44328832,0.80036949,0.39835522,0.45154402,0.46730613,0.67105459,0.50766468,0.41970047,0.34059809,0.31237206,0.44239438,0.31535843,0.4276731,0.44335086,0.31134489
18,7,0,0.28672011,0.18734152,0.23332526,0.20629494,0.29018799,0.30603442,0.15430662,0.2892192,0.10917464,0.2080701,0.67770363,0.26995456,0.17948909,0.30786934,0.29925839,0.29789575,0.45327147,0.5657873999999999,0.25113929,0.16735585,0.35111862,0.32471418,0.34763135,0.23473098,0.1100142,0.30280288,0.55310581,0.23256586,0.52799331,0.29654175,0.19441852,0.28021898,0.6206835999999999,0.33305448,0.22473563,0.21969339,0.1946186,0.36552649,0.20096294,0.3696458,0.17642344,0.22489479999999998
19,7,1,0.36126446,0.18816363,0.20187697,0.17294692,0.25521320000000003,0.28016840000000004,0.12320353,0.36579526,0.10892426,0.24586451,0.49955283,0.26161078,0.2081145,0.33315516,0.32037011,0.40417358,0.40271955,0.45825304,0.25051866,0.13175004,0.34249332,0.29670802,0.28263949,0.27820701,0.22072543,0.33661299,0.64031409,0.29254668,0.48152547,0.25442222,0.21942331,0.24591439999999998,0.56052763,0.34952259999999996,0.3039562,0.31897416,0.19784358,0.36213494,0.27494407,0.33902159,0.20060272,0.27255513
