,,pid1263b-19,pid5667285b-10,pid9048b-22,pid9049b-19,pid9050b-21,pid9054b-21,pid9055b-19,pid9058b-19,pid9059b-23,pid9060b-17,pid9061b-16,pid9062b-22,pid9063b-25,pid9064-02,pid9066b-19,pid9067-27,pid9069-19,pid9070b-31,pid9072b-23,pid9074g-19,pid9075b-19,pid9088-25,pid9090-26,pid9094b-27,pid9097-15,pid9098-07,pid9099b-25,pid9100b-08,pid9104b-19,pid9111b-21,pid9112-11,pid9114-34,pid9118b-25,pid9137-22,pid9139b-21,pid9153b-21,pid9166b-09,pid9170b-21,pid9172-12,pid9174b-19,pid9190-11,pid9192b-21
16,0,0.30921783,0.49907472,0.5150192,0.4069932,0.24434385,0.20205646,0.2745272,0.2187122,0.53475443,0.1936086,0.21206938,0.41192088,0.17674653,0.36737154,0.4816521,0.27578208,0.3366226,0.69669583,0.39127327,0.32310904,0.65391602,0.19896475,0.40472667,0.31379256,0.13049282,0.68699097,0.39136856,0.37880984,0.34864065,0.40730035,0.3924005,0.14939066,0.4242829,0.32309099,0.31602623,0.29019715,0.30387748,0.30101367,0.34068535,0.30493397,0.16432541,0.27918127
16,1,0.21263868,0.39621405,0.39671745,0.40102567,0.14379868,0.16429718,0.14771603,0.1552293,0.40353342,0.16757544,0.21740785,0.33289769,0.15046855,0.3539261,0.4104458,0.18989267,0.28004406,0.63665669,0.30017694,0.28177836,0.59231756,0.18356434,0.32883414,0.25463307,0.10743761,0.58724655,0.39205136,0.379029,0.21002404,0.35491803,0.192699,0.11568892,0.30252938,0.22478015,0.27723871,0.21546185,0.25812154,0.21621876,0.34803105,0.2818507,0.11254594,0.14965837
16,2,0.19914016,0.37344437,0.2037099,0.36994844,0.10907321,0.13139673,0.042890602,0.060013197,0.37340382,0.14393411,0.1822067,0.33917509,0.10411312,0.23792581,0.31575175,0.19301592,0.22061687,0.44430693,0.12473636,0.17070984,0.4013463,0.086918207,0.32652108,0.15915159,0.053649101,0.53037996,0.23282618,0.28902562,0.15806054,0.14161634,0.12776741,0.074958792,0.24484261,0.32019155,0.16854452,0.1417549,0.11902085,0.17270627,0.22302789,0.13511555,0.065661139,0.073798348
17,0,0.50494638,0.59646079,0.32767249,0.65593462,0.46735787,0.39539376,0.56966832,0.40570769,0.60008186,0.31070028,0.48272705,0.60929878,0.27436171,0.41439809,0.65007867,0.53029147,0.54278102,0.50096132,0.4428622,0.56445342,0.5712683,0.48359856,0.58128726,0.57788135,0.31097518,0.68349804,0.54909455,0.69871038,0.37493989,0.43892244,0.528551,0.40730132,0.65701282,0.57259904,0.37911376,0.5040404,0.44167481,0.47798208,0.55408305,0.48081438,0.43141641,0.34973561
17,1,0.86828772,0.89505744,0.48252199,0.90291795,0.82765771,0.6791679,0.95628455,0.88287694,0.88833561,0.55436464,0.78419658,0.90138309,0.45845912,0.85905023,0.97473776,0.83173101,0.80556409,0.67735436,0.78250407,0.9429119,0.84421413,0.95148871,0.95230228,1,0.43904224,0.98032033,0.98100045,1,0.64009617,0.71992139,0.83476368,0.59518469,0.97230213,0.82208968,0.68213235,0.85292686,0.80832519,0.76963696,0.87473179,0.87308327,0.75347378,0.64238607
17,2,0.89338018,0.91271494,0.49200421,0.83446687,0.89141355,0.73592868,0.78964213,0.96640273,0.92905866,0.57094558,0.74516984,0.8991294,0.54166994,0.94738741,0.9354021,0.69515235,0.64181781,0.70878425,0.82610234,0.80676295,0.76455818,1,0.98261619,0.91444822,0.40349226,0.9510138,0.99502746,0.87440998,0.66974909,0.70228166,0.77674129,0.51571324,1,0.9228559,0.81860758,0.85012778,0.95136852,0.52555398,0.85062476,0.87921864,0.70829225,0.70530569
18,0,0.8867696,0.84856196,0.52170816,0.71731022,0.88571846,0.63295691,0.65733198,1,0.89740791,0.54206381,0.64529029,0.81863461,0.59390607,0.96860566,0.74884615,0.48973498,0.42539195,0.70486991,0.84613207,0.71914573,0.633401,0.91478439,0.97837799,0.79895726,0.35915935,0.85926052,0.9289001,0.87365138,0.77387337,0.6420765,0.63849502,0.44610479,0.90266705,0.87609926,0.8305642,0.79670196,1,0.44236209,0.88697463,0.93442773,0.54697445,0.85502941
18,1,0.9785503,0.81833603,0.56633841,0.69345108,0.88805491,0.55197623,0.55448065,0.97866491,0.87748977,0.4882207,0.59869911,0.71707453,0.64766287,0.95431582,0.58261364,0.41159265,0.35104519,0.76957172,0.85285583,0.76760901,0.60476547,0.72207392,0.90266504,0.75830634,0.37574934,0.79464134,0.79924299,0.90247808,0.79668331,0.65612118,0.56862562,0.3468533,0.85549026,0.84626905,0.72453544,0.79140806,0.98126426,0.38490335,0.94945097,0.97798973,0.44452264,0.94599251
18,2,0.97716346,0.81879867,0.5656819,0.74166301,0.78623442,0.50249629,0.47596741,0.81579237,0.83335607,0.53465453,0.62500602,0.70415955,0.6250491,0.91924076,0.56016608,0.42087593,0.44016805,0.73215519,0.77868214,0.8316791,0.67330911,0.58062971,0.76948495,0.80590884,0.44228356,0.78500596,0.69490129,0.75086817,0.72646569,0.65429968,0.6369403,0.26965979,0.78611202,0.8196256,0.60137055,0.75794085,0.83121538,0.28722301,0.85655686,0.91993764,0.40132676,0.83643277
19,0,0.89992604,0.85434498,0.55109625,0.85388328,0.77912773,0.52947994,0.7143439,0.79368745,0.7813779,0.59195051,0.67805348,0.80149011,0.53821334,0.8988164,0.83929196,0.61737627,0.68700687,0.63613861,0.76162503,0.93243891,0.76124586,0.66504962,0.76208606,0.83813887,0.53387704,0.85491566,0.80325071,0.8787087,0.65476851,0.66604352,0.85018657,0.39643851,0.84264815,0.8532869,0.64090642,0.77126689,0.73537797,0.52743989,0.81320207,0.92562362,0.42200807,0.73144792
19,1,0.82584135,0.92027142,0.54128577,1,0.82485397,0.55789004,0.85583358,0.90195755,0.81180082,0.54670359,0.74430258,0.89454998,0.45514281,0.93511836,1,0.89653594,0.8405062,0.60994704,0.74662043,0.92360873,0.84335933,0.83413758,0.87321313,0.83458409,0.55625261,0.95672176,0.95309485,0.99283547,0.63047901,0.65118397,1,0.50952522,0.90934495,0.9202438,0.76848566,0.81605209,0.75231346,0.8106082,0.88918339,0.98165811,0.51429852,0.65367477
19,2,0.79560836,0.98172565,0.53971262,0.97575691,0.81022196,0.5566419,0.71476578,0.95677994,0.89290587,0.47304248,0.68224524,0.82148517,0.44292127,0.9635537,0.90603147,0.80477135,0.68905626,0.6745913,0.73869347,0.83811349,0.80521423,0.94575633,0.84440773,0.7770598,0.47103722,0.92068495,0.95762209,0.8757586,0.67159855,0.63157895,0.8840796,0.46969492,0.8807019,0.88802786,0.77819726,0.82304977,0.82624633,0.69207921,0.94673735,0.97514674,0.51783953,0.69568059
20,0,0.81240754,1,0.55861514,0.89732339,0.85822625,0.57426449,0.6133183,0.88854064,0.93451569,0.52746107,0.60582992,0.7285385,0.50461815,1,0.7526049,0.59784323,0.54231991,0.78868294,0.71109066,0.84057773,0.74927877,0.91264545,0.86725092,0.75517023,0.39509271,0.79817686,0.92971649,0.78425489,0.78601812,0.60569456,0.76430348,0.35944551,0.86431536,0.85049195,0.72032288,0.82055495,0.98346367,0.44149458,0.9310236,0.9670763,0.52043926,0.83542273
20,1,0.85870932,0.86136171,0.54632107,0.67913559,0.9066102,0.54760773,0.50752109,0.73397119,0.83437926,0.56522677,0.55687786,0.75144586,0.50126256,0.88358834,0.63350524,0.59051834,0.57111384,0.77883951,0.57091089,0.92148675,0.59792713,0.70207906,0.83255513,0.69575006,0.37933919,0.8994718,0.89780318,0.72417397,0.80001233,0.55728118,0.58234453,0.23793336,0.86182913,0.64492817,0.61931388,0.80090057,0.95609319,0.32750118,0.92256721,0.85535583,0.44629762,0.86316915
20,2,0.63130547,0.49147968,0.31655518,0.50334028,0.55061332,0.25758395,0.28111725,0.53936545,0.48666439,0.37585872,0.41172729,0.5831601,0.31714831,0.6269414,0.42482517,0.45091307,0.49416436,0.67821782,0.266636,0.61785201,0.3438081,0.43000513,0.51354069,0.31812149,0.18493657,0.64591072,0.51107318,0.36769218,0.59229394,0.28307928,0.55524254,0.17078661,0.55907372,0.31797127,0.34851593,0.41615553,0.46716357,0.20862329,0.65038496,0.44383712,0.35457194,0.40439071
21,0,0.35934726,0.26998227,0.16080144,0.25194713,0.2482574,0.20124814,0.34774513,0.4926262,0.26815825,0.17659245,0.18658155,0.33265071,0.12902755,0.61083285,0.35757867,0.32504705,0.31600574,0.37670965,0.18759289,0.33613526,0.27510952,0.28375257,0.24696502,0.49542618,0.13330197,0.34892656,0.48648508,0.4038267,0.33060847,0.2910603,0.69589552,0.23155889,0.32901496,0.23930344,0.20449004,0.2664111,0.26243076,0.20134371,0.53410955,0.34072817,0.20421336,0.14946824
21,1,0.43100962,0.23840697,0.18705562,0.25020294,0.24675818,0.24273403,0.42083212,0.49140548,0.24813779,0.18585764,0.20944351,0.37127215,0.12774255,0.7948903,0.3795542,0.27395595,0.2648837,0.37227723,0.3508387,0.44291875,0.30723902,0.43287988,0.30927376,0.81918003,0.13694061,0.4889419,0.64727624,0.59640931,0.27531595,0.41271211,0.92145522,0.30526657,0.41981384,0.34942098,0.30904734,0.36265669,0.33972792,0.33979255,0.53271488,0.51703962,0.28787987,0.18304914
21,2,0.43795303,0.28703061,0.23982411,0.27628894,0.3328271,0.2711263,0.38145912,0.54980754,0.30930423,0.21818509,0.23913756,0.40933789,0.18120756,0.95395497,0.33272727,0.31120606,0.25945794,0.4373417,0.45921863,0.38221644,0.3656427,0.43341034,0.41032972,0.85820365,0.14020633,0.58519339,0.62929345,0.55778827,0.3014549,0.42233726,0.79732587,0.22972681,0.55368004,0.44197649,0.4486841,0.43064379,0.44463995,0.39190476,0.48632462,0.601073,0.31664276,0.26433961
22,0,0.44013499,0.35348138,0.27561006,0.2995667,0.40733061,0.27500446,0.36628601,0.6026064,0.38970668,0.24426141,0.24612864,0.40208286,0.24503675,0.97603926,0.35482517,0.29662241,0.24960549,0.45687889,0.47384811,0.34270655,0.39125441,0.36039528,0.47251634,0.79161071,0.14448627,0.63227126,0.55487606,0.595735,0.3895999,0.39901735,0.69154229,0.18081714,0.65572861,0.4585111,0.49694778,0.45049288,0.55347019,0.39068364,0.48832513,0.60519993,0.30575975,0.35407284
22,1,0.51149223,0.35029686,0.28229902,0.36333918,0.42196262,0.27721842,0.35648094,0.6399978,0.38651432,0.24959537,0.23138521,0.37730257,0.27066382,0.97004908,0.35752622,0.28416501,0.25155241,0.43794036,0.4100361,0.40277911,0.40365424,0.24822895,0.45841534,0.73684335,0.14359403,0.63616459,0.47124833,0.63641268,0.42134887,0.40762151,0.70516169,0.16061015,0.65889291,0.42735742,0.4720676,0.43965559,0.57201857,0.37027817,0.53810425,0.57569699,0.25636486,0.36305627
22,2,0.50516827,0.28487933,0.25235352,0.5025724,0.34185164,0.24719168,0.21575502,0.52559111,0.30930423,0.2155271,0.23324018,0.34249902,0.22615454,0.90422921,0.29823427,0.2722875,0.2488216,0.38359429,0.31251327,0.40673557,0.48657976,0.21532341,0.36439193,0.69631093,0.12990381,0.54700119,0.40058631,0.48026804,0.40113433,0.40077653,0.70833333,0.15558138,0.58170667,0.32891598,0.33463382,0.3966837,0.43408276,0.24547383,0.43453868,0.5145818,0.21883909,0.29725507
23,0,0.44157729,0.3328784,0.24490896,0.65774462,0.32700545,0.26269837,0.37176317,0.43188717,0.3438472,0.23860015,0.27793785,0.38566901,0.17600584,0.86273095,0.3904458,0.35791241,0.31753766,0.31372899,0.34606129,0.46180437,0.59226413,0.20822211,0.33618275,0.57649893,0.15574376,0.42314704,0.44139825,0.50198078,0.40319339,0.42416355,0.8016791,0.24675872,0.5543581,0.34979539,0.26806525,0.34876476,0.31209677,0.42867515,0.37306576,0.55629127,0.2360242,0.31725982
23,1,0.40971709,0.45130696,0.28223709,0.73985301,0.37680101,0.26764933,0.5007201,0.46779941,0.46592087,0.3283027,0.33629005,0.43192624,0.16545648,0.85818418,0.52768357,0.46082202,0.3740291,0.29213102,0.40375823,0.51371757,0.6471311,0.33097194,0.38745061,0.60878426,0.18082741,0.48256091,0.5423037,0.61360418,0.42291474,0.44582494,0.87189055,0.31975032,0.60134996,0.42033957,0.3592113,0.34076914,0.32355816,0.59391796,0.38522656,0.68236427,0.30195876,0.29901967
23,2,0.4055196,0.4933688,0.35250217,0.68483984,0.3508859,0.20872808,0.44835612,0.46344441,0.51998636,0.31056361,0.34280896,0.36847305,0.19922002,0.82065531,0.49619755,0.42014853,0.32804591,0.3143737,0.43688867,0.4637073,0.64371194,0.34357461,0.42046548,0.6279011,0.16507737,0.53379622,0.49107169,0.45095246,0.41496209,0.42858786,0.81461443,0.22227687,0.60501767,0.44831519,0.42989994,0.36123889,0.39565819,0.54804338,0.36516471,0.62101981,0.32783505,0.27377458
24,0,0.43179549,0.45740612,0.42157191,0.59669811,0.36344431,0.18404755,0.50826302,0.3334983,0.49664393,0.25834262,0.33560106,0.3906086,0.25991807,0.74170035,0.38871503,0.37708937,0.25650169,0.3606781,0.48425932,0.35404887,0.67897211,0.23056126,0.4733568,0.58292124,0.12616409,0.37117056,0.37823215,0.36832434,0.40179397,0.39711437,0.66504975,0.16034534,0.67422125,0.41919896,0.39728412,0.39775465,0.53670577,0.38549269,0.37381043,0.46724138,0.27034065,0.29776009
24,1,0.48898854,0.35598735,0.49454354,0.49391729,0.41454439,0.15794948,0.65298953,0.2043385,0.3878854,0.4778621,0.3737509,0.65885937,0.24686045,0.58226039,0.20568182,0.56360954,0.35490829,0.35812802,0.73416378,0.37436512,0.65680094,0.15809377,0.47209252,0.52242673,0.17067127,0.37552394,0.36323289,0.4754383,0.27751063,0.41496501,0.5392102,0.14655876,0.80374168,0.3475838,0.32137392,0.51520019,0.59118605,0.20876945,0.36768901,0.44850514,0.1507844,0.3238845
24,2,0.21089127,0.18612075,0.11989967,0.19885915,0.17742407,0.039509658,0.32239598,0.075937534,0.19098909,0.33275186,0.12428812,0.22488526,0.10290107,0.19528724,0.1355507,0.21304746,0.16850087,0.26361386,0.21729776,0.22581286,0.29239769,0.11470739,0.25642554,0.13214314,0.041506343,0.26835918,0.13557221,0.22667734,0.11404969,0.11344071,0.2616791,0.08879131,0.21295307,0.12375272,0.11167073,0.10696118,0.26555067,0.10133899,0.14991165,0.21632428,0.067274765,0.20878736
25,0,0.1668824,0.14105945,0.088703084,0.13691312,0.087902064,0.13550669,0.24062409,0.21443968,0.14236016,0.32864079,0.14879788,0.26856978,0.22247349,0.40635826,0.1776486,0.1517422,0.1519213,0.32744647,0.21364569,0.23720994,0.17778075,0.10813655,0.22121974,0.16546331,0.079401924,0.26552224,0.20417842,0.283412,0.18942729,0.26503212,0.2126306,0.11073581,0.22030903,0.17748367,0.16930968,0.22856882,0.27754154,0.22213579,0.26440111,0.29919296,0.18786643,0.16586656
25,1,0.31580067,0.27258848,0.21364425,0.311776,0.24685553,0.29473105,0.19375909,0.35028593,0.27546385,0.39488544,0.17402072,0.3041863,0.35537287,0.68367494,0.29870629,0.17579734,0.20900707,0.62813723,0.31548588,0.32461496,0.21529544,0.28907426,0.30285899,0.32756142,0.1474418,0.43701653,0.29894612,0.44881153,0.28350903,0.48763302,0.22039801,0.12307131,0.33045328,0.25481933,0.37432944,0.40613971,0.41285435,0.39455446,0.56219866,0.43369406,0.44320932,0.34561226
25,2,0.33590976,0.29831907,0.22907841,0.32450088,0.29025506,0.29583655,0.2489453,0.219559,0.31027967,0.30421178,0.1634305,0.28737111,0.30700297,0.63166137,0.31395979,0.17415433,0.26985859,0.44823279,0.35595584,0.34194675,0.22592692,0.33140828,0.35875296,0.40683308,0.14949463,0.47393934,0.33597299,0.47712407,0.34441157,0.52123478,0.2711194,0.14482125,0.32404249,0.26226382,0.44284873,0.39599002,0.45422776,0.35296087,0.5559952,0.40934519,0.48816674,0.32462718
26,0,0.34975962,0.26895674,0.18324043,0.23910158,0.33727609,0.26723031,0.3672316,0.25237545,0.28339018,0.23649966,0.14540111,0.31087534,0.27811571,0.43570294,0.28683566,0.20290961,0.33030024,0.33122841,0.39820228,0.3720104,0.22197884,0.26118241,0.40370663,0.41615451,0.13903527,0.41811211,0.35115779,0.48162508,0.42412922,0.51553063,0.29843905,0.17503716,0.32784376,0.32960383,0.42987472,0.30186199,0.46592538,0.34601603,0.539013,0.54165444,0.3405558,0.34560632
26,1,0.34816938,0.25052047,0.17011644,0.21016345,0.340956,0.24191976,0.36442392,0.39329704,0.25199181,0.18372837,0.13911828,0.30372322,0.25765109,0.32847864,0.26188811,0.24284552,0.31046214,0.36089109,0.40264704,0.38801424,0.21162517,0.22480322,0.40788736,0.31846117,0.14318974,0.43632646,0.2910049,0.47809339,0.36495284,0.43348193,0.33366915,0.15297376,0.35333279,0.32899434,0.36342386,0.27309237,0.45569404,0.38165017,0.56546763,0.61592993,0.28748991,0.38758244
26,2,0.25622226,0.22730357,0.10064412,0.17737495,0.22337422,0.17442496,0.23223014,0.36312548,0.22291951,0.1689386,0.13270055,0.26722168,0.19850177,0.27295756,0.23592657,0.2288621,0.26490931,0.2751842,0.32606695,0.33775755,0.18700716,0.18110883,0.29512248,0.19326961,0.11471839,0.41800988,0.22085498,0.45428186,0.28140065,0.32494008,0.26792289,0.11440268,0.30136846,0.19883326,0.31521904,0.15430814,0.31682144,0.33286657,0.4446548,0.55764857,0.25735096,0.24636088
27,0,0.25124815,0.28706916,0.10983525,0.23466981,0.15026285,0.16464785,0.20290951,0.2730287,0.28315825,0.23916844,0.17761503,0.24260605,0.1578082,0.37358545,0.35306818,0.22454855,0.3384978,0.2223463,0.34977705,0.31104798,0.17891335,0.26048939,0.21793693,0.2688364,0.1111843,0.43462259,0.2555737,0.43196224,0.27117317,0.31767328,0.22868781,0.17471289,0.30546766,0.1987549,0.29982343,0.17236218,0.25631313,0.31730316,0.37457402,0.5252201,0.25092335,0.22509061
27,1,0.37253143,0.37667515,0.18506751,0.436595,0.34084891,0.22148886,0.34204248,0.31253162,0.37909277,0.29701471,0.27470007,0.29795007,0.21879244,0.52165127,0.48087413,0.26976957,0.47428015,0.3013067,0.44231722,0.34795674,0.25450369,0.42541923,0.31828173,0.47503752,0.14390074,0.55122678,0.34219979,0.42452798,0.31059737,0.39541751,0.25531095,0.20649877,0.43214227,0.29125816,0.33469268,0.28038213,0.32356631,0.36565299,0.33483529,0.56787417,0.30229045,0.40069515
27,2,0.3759338,0.43290925,0.21916264,0.45998793,0.44028427,0.28399406,0.43386674,0.37316067,0.43252387,0.23561126,0.31404481,0.32957375,0.25391953,0.62982823,0.35166958,0.32823134,0.49458449,0.29967764,0.45235332,0.35356972,0.36326531,0.57382786,0.38894476,0.53969508,0.15074934,0.64133583,0.41383405,0.43094235,0.34617471,0.47208321,0.32422264,0.16307455,0.49779116,0.35333914,0.38568065,0.33797006,0.39667644,0.42702499,0.39325382,0.66426999,0.34042134,0.51912542
28,0,0.3440551,0.38686098,0.21201536,0.33651272,0.37995522,0.28443982,0.42574193,0.35940284,0.3870191,0.23347121,0.28885088,0.34512318,0.2580551,0.6326429,0.27832168,0.3259474,0.43866687,0.29944163,0.39037441,0.31885824,0.38865798,0.57842231,0.39330508,0.49776444,0.1609717,0.68271426,0.41764138,0.46606541,0.36889218,0.48653053,0.35217662,0.15670008,0.45595669,0.31567262,0.42276129,0.33238408,0.39841968,0.41228666,0.47267449,0.66473771,0.36647692,0.53770424
28,1,0.31415496,0.29581309,0.16500062,0.23237714,0.2206581,0.20411293,0.3133183,0.30224348,0.2914734,0.25624933,0.24494339,0.33535719,0.21673868,0.56129475,0.32405594,0.33718399,0.3637719,0.25417914,0.3423243,0.24233007,0.25708943,0.42013176,0.35991667,0.388601,0.17842256,0.70159312,0.38100045,0.43846932,0.31959189,0.47821877,0.30475124,0.19287702,0.44534396,0.25797997,0.393122,0.3055373,0.36412512,0.29343706,0.52519879,0.58190572,0.30747199,0.3722417
28,2,0.24559911,0.19871231,0.080571039,0.19008885,0.14846184,0.12854383,0.22158859,0.20298581,0.19757844,0.21367478,0.18807516,0.27787268,0.15412154,0.49779157,0.29002622,0.29509131,0.26305974,0.19626986,0.28302782,0.19334657,0.18247676,0.28292266,0.30465484,0.29135793,0.15541266,0.60958426,0.28292267,0.3200944,0.28151779,0.39381172,0.24338308,0.20084849,0.28590655,0.21127558,0.29172623,0.23316904,0.23509286,0.24639321,0.45923892,0.47120323,0.18672344,0.21064108
29,0,0.15671228,0.25816948,0.10426731,0.18327666,0.17334502,0.13633878,0.18591795,0.16936105,0.25193042,0.16129914,0.23144303,0.27036038,0.17748723,0.47992206,0.22571678,0.29502518,0.22536121,0.27142528,0.33969141,0.21286878,0.17861417,0.24732204,0.30275842,0.28866419,0.10257563,0.49953144,0.28826629,0.29937626,0.3312003,0.33397086,0.30849502,0.21359202,0.2419557,0.2354027,0.28091314,0.17240477,0.258594,0.2754314,0.37699104,0.49632245,0.19601972,0.24097202
29,1,0.23046413,0.46894903,0.19576366,0.41932317,0.29857866,0.22329569,0.21544225,0.20616958,0.46466576,0.17915333,0.30310287,0.39276967,0.2787049,0.53957852,0.32867133,0.37751157,0.28095092,0.3836461,0.44854554,0.28141557,0.25792286,0.4421629,0.41267869,0.40756774,0.14238812,0.58884819,0.50377765,0.42891099,0.42166328,0.33954079,0.45495025,0.23364228,0.38189365,0.30385721,0.41226772,0.28170257,0.33736559,0.37916077,0.33376877,0.65207263,0.27231286,0.38599014
29,2,0.24373151,0.56305806,0.25449647,0.46877468,0.43807438,0.24566122,0.26672243,0.2725998,0.55812415,0.23646009,0.30989641,0.38395044,0.31599798,0.58899394,0.39463287,0.42409583,0.3510042,0.37669238,0.44863048,0.30088986,0.29764932,0.57055955,0.45143309,0.49823841,0.1774885,0.80471971,0.5773935,0.52396325,0.4369521,0.39653437,0.43246891,0.25775124,0.43214227,0.22194166,0.46856134,0.37609225,0.33985826,0.45816596,0.3921242,0.65032098,0.31502913,0.46656764
30,0,0.27534209,0.59565117,0.2829865,0.47345327,0.44292251,0.25761961,0.30961594,0.28128231,0.5965075,0.28718124,0.29159721,0.41902155,0.28071376,0.59911952,0.44604021,0.39199349,0.39517881,0.38375547,0.4391889,0.29079335,0.27561705,0.61190965,0.40936714,0.53479738,0.18859612,0.80189129,0.50630845,0.52321308,0.41922816,0.40859937,0.39749378,0.29167455,0.46343593,0.25293862,0.46349113,0.39030668,0.30775497,0.49104196,0.47234002,0.51955246,0.30974003,0.47315073
30,1,0.31241679,0.67399183,0.31898922,0.52866937,0.41273364,0.29033878,0.34016584,0.32493127,0.67504775,0.26372694,0.28616237,0.49165415,0.27901352,0.59228493,0.53769231,0.3888092,0.40631212,0.46985954,0.51276099,0.3050243,0.2842184,0.58569473,0.40637167,0.53335967,0.18538617,0.66275345,0.43792489,0.53690998,0.41068368,0.40182629,0.40496891,0.29213392,0.51817416,0.3062081,0.48089633,0.37939637,0.31967253,0.51225837,0.48532753,0.45638298,0.29651277,0.47609174
30,2,0.30840422,0.7169404,0.35911681,0.51474879,0.42282905,0.2868737,0.38378673,0.43249203,0.71548431,0.2297378,0.29067213,0.46976558,0.30805791,0.52906322,0.54755245,0.40166845,0.34889333,0.52884527,0.50748107,0.35526046,0.30646437,0.47191992,0.41387113,0.52646339,0.17397532,0.63776623,0.38456286,0.5256996,0.40355095,0.38470425,0.38833333,0.25389251,0.53527986,0.27381802,0.50203481,0.37603748,0.31137178,0.49636964,0.43032311,0.42234043,0.31720753,0.46878379
31,0,0.32050666,0.75768371,0.37172674,0.46617486,0.39518107,0.256737,0.41648967,0.45012097,0.74802183,0.2803978,0.2859841,0.44167164,0.31041468,0.41431149,0.49426573,0.38859555,0.40841275,0.54262606,0.48736641,0.38453693,0.35043274,0.32162902,0.40283744,0.49330121,0.16255402,0.79815982,0.36526644,0.49975556,0.40988225,0.40633209,0.36097637,0.22066366,0.47029876,0.25233783,0.48888422,0.37913472,0.31884979,0.47161716,0.43547267,0.44103081,0.35376961,0.44449528
31,1,0.33276627,0.78417765,0.37221603,0.43098947,0.30130452,0.2597266,0.41696247,0.35771473,0.7659618,0.26753947,0.26350277,0.4568506,0.26443522,0.31898095,0.5141958,0.35321736,0.46452505,0.56491481,0.57642438,0.40112944,0.39263276,0.23105749,0.40357733,0.40734655,0.15387564,0.83002215,0.39861956,0.48084963,0.47310277,0.41044483,0.35982587,0.19575756,0.42239254,0.28468437,0.47522913,0.36258975,0.30665526,0.418529,0.45928941,0.44743213,0.32571941,0.39609649
31,2,0.29137389,0.76977408,0.39332342,0.32327227,0.27842679,0.2531471,0.35621909,0.27849995,0.75245566,0.17245981,0.20452903,0.36739251,0.20976937,0.27903435,0.50409965,0.30084948,0.46089763,0.58507944,0.58805294,0.38883565,0.38977455,0.1882358,0.37130953,0.31414804,0.13711488,0.72849719,0.4443224,0.42742751,0.50356328,0.37919183,0.3598694,0.14887454,0.4015164,0.26932521,0.40646599,0.32664598,0.28599707,0.40282885,0.42505364,0.35765774,0.22993277,0.32687897
32,0,0.24785503,0.6779397,0.38624427,0.21132624,0.28044198,0.15424963,0.27910969,0.18591224,0.66463847,0.21908787,0.16191761,0.33145697,0.18120756,0.17785075,0.43030594,0.24021568,0.41556,0.6031545,0.3677755,0.31881032,0.30303451,0.15683607,0.30555276,0.24545383,0.11253311,0.6481513,0.43917174,0.2908884,0.39297207,0.40039785,0.3053296,0.1189883,0.2721809,0.21536787,0.34481628,0.261318,0.29708374,0.2766148,0.35472043,0.28075935,0.14239355,0.25954489
32,1,0.21648484,0.62488241,0.26477765,0.24208534,0.18651674,0.13321842,0.14788333,0.11012317,0.61504093,0.23157573,0.17790412,0.26475189,0.13375793,0.28005918,0.37180944,0.19726843,0.33499334,0.61858163,0.29620638,0.24176877,0.20349931,0.18643053,0.31115581,0.2623035,0.087689948,0.57129835,0.44421107,0.2867414,0.21523334,0.3729652,0.17653607,0.10982517,0.25595874,0.16093165,0.32684773,0.18016308,0.24455849,0.20740688,0.39331693,0.28253852,0.099802779,0.14093637
32,2,0.10877404,0.36058293,0.10565465,0.17051887,0.073048092,0.064641902,0.061299825,0.054071264,0.24937926,0.13223033,0.11259937,0.12308848,0.083048089,0.15706553,0.25613636,0.078172847,0.22155959,0.40719549,0.14739189,0.1510781,0.10036863,0.090400411,0.14587314,0.11109882,0.052791719,0.27483387,0.10938845,0.16113452,0.13046051,0.15045058,0.092481343,0.060412895,0.18016972,0.11784937,0.14458925,0.11221857,0.094134897,0.16826968,0.16842736,0.11384813,0.048592559,0.0834888
33,0,0.049452663,0.34550852,0.038766258,0.22426503,0.065375779,0.050817236,0.1999709,0.16919059,0.33343793,0.15070676,0.14355577,0.24818367,0.056326805,0.080773672,0.14866259,0.097675365,0.16239369,0.20896845,0.13465921,0.12217126,0.13281868,0.086216632,0.15833633,0.14207283,0.045392444,0.2327739,0.14738756,0.15477073,0.11158991,0.15038347,0.23192164,0.15066339,0.082033369,0.063277318,0.13732448,0.042200316,0.13829423,0.10258369,0.23819891,0.20229274,0.057046168,0.072645713
33,1,0.088154586,0.41674763,0.048810851,0.30591268,0.10637656,0.11172363,0.30933227,0.25673595,0.41072988,0.17856706,0.17780294,0.29884537,0.089680714,0.12575779,0.16222902,0.17471896,0.15869966,0.19547548,0.21860004,0.14773085,0.23264772,0.13521561,0.21991955,0.24133028,0.070378503,0.25975464,0.20284251,0.21286244,0.1572961,0.24325568,0.2946393,0.2056719,0.067083094,0.12538093,0.26150677,0.079937934,0.18182633,0.28016973,0.29708444,0.3070066,0.08497983,0.15161904
