,,pid1263b-19,pid5667285b-10,pid9048b-22,pid9049b-19,pid9050b-21,pid9054b-21,pid9055b-19,pid9058b-19,pid9059b-23,pid9060b-17,pid9061b-16,pid9062b-22,pid9063b-25,pid9064-02,pid9066b-19,pid9067-27,pid9069-19,pid9070b-31,pid9072b-23,pid9074g-19,pid9075b-19,pid9088-25,pid9090-26,pid9094b-27,pid9097-15,pid9098-07,pid9099b-25,pid9100b-08,pid9104b-19,pid9111b-21,pid9112-11,pid9114-34,pid9118b-25,pid9137-22,pid9139b-21,pid9153b-21,pid9166b-09,pid9170b-21,pid9172-12,pid9174b-19,pid9190-11,pid9192b-21
4,2,0.47389978,0.47719176,0.34274743,0.35083918,0.40206386,0.36594354,0.3371254,0.45639503,0.50382674,0.41607021,0.453086,0.57316772,0.39489928,0.64002598,0.38433566,0.55241874,0.33562353,0.56588188,0.46047845,0.77630228,0.28086868,0.55112081,0.70299547,0.50539537,0.38794786,0.68751917,0.4732893,0.47385367,0.33337032,0.51476369,0.62350746,0.29529548,0.45828881,0.41967784,0.46712352,0.51999513,0.41923265,0.2626827,0.69373975,0.61088591,0.37811295,0.5381439
5,0,0.3112426,0.49972241,0.27271151,0.41839074,0.4126947,0.43789004,0.27826593,0.37732871,0.51433151,0.37057152,0.51664659,0.60829028,0.40848998,0.67138424,0.29109266,0.5003459,0.27471052,0.57078057,0.54458914,0.74043398,0.47351213,0.3720397,0.76129588,0.51294731,0.41813049,0.62819901,0.53192816,0.44903911,0.47090192,0.42262007,0.56389303,0.26753857,0.45425125,0.50033087,0.46228874,0.50281733,0.36717172,0.35284771,0.50589423,0.6209923,0.36826087,0.49398134
5,1,0.40374445,0.68093145,0.44260498,0.59823387,0.57336449,0.60736999,0.37550916,0.41119543,0.69502046,0.4263209,0.70368586,0.79017021,0.54294372,0.78161085,0.38954545,0.62144565,0.37400348,0.66975593,0.65495789,0.72297899,0.7648253,0.60441478,0.9224912,0.54810807,0.52376969,0.77924689,0.70215229,0.63870533,0.6876888,0.44766082,0.68277363,0.31226525,0.65720802,0.7067044,0.66746826,0.68851162,0.5134653,0.53154173,0.49024359,0.72059795,0.43510085,0.56512388
5,2,0.44793824,0.7980569,0.581562,0.64414217,0.68832749,0.64478455,0.39252982,0.53834268,0.81766712,0.50516131,0.71659841,0.80223105,0.60928119,0.83638857,0.47550699,0.61915662,0.51501178,0.67769975,0.58466983,0.67324252,0.92520568,0.75227584,1,0.54853464,0.5709954,0.9690748,0.7635446,0.8020735,0.75895444,0.52540504,0.68955224,0.35231172,0.78496137,0.66717458,0.73549987,0.85414385,0.5588058,0.61862329,0.60960495,0.77732942,0.46647243,0.63870239
6,0,0.52725592,0.81933842,0.56750279,0.62889425,0.62012266,0.5746211,0.38446319,0.51937754,0.8372442,0.52472755,0.66147916,0.76520468,0.51773189,0.8085306,0.51646853,0.55821761,0.59324726,0.62871287,0.52589709,0.60570881,0.80809916,0.79155544,0.97255944,0.55920689,0.54436777,0.88302948,0.74082678,0.83905091,0.65137784,0.55200844,0.67425373,0.38103602,0.82984713,0.50902917,0.67726394,0.7920774,0.51765233,0.65120226,0.67474441,0.74480924,0.44447333,0.62634425
6,1,0.59112426,0.85156913,0.53392171,0.62264151,0.59152064,0.55982169,0.4007201,0.51225118,0.86814461,0.46984138,0.65921465,0.78524091,0.4542506,0.81148961,0.55796329,0.5686454,0.55102982,0.60528437,0.61344752,0.60731741,0.71759803,0.74616701,0.96681273,0.63407852,0.53969748,0.71970523,0.73651477,0.8661497,0.54404167,0.5497076,0.66884328,0.38379226,0.80191296,0.58728777,0.64614479,0.72392601,0.51362007,0.68217822,0.65549666,0.70870323,0.44500224,0.63834591
6,2,0.51966531,0.81987817,0.55672612,0.68752742,0.64393497,0.53251114,0.46944283,0.54821841,0.84542974,0.40981189,0.66167189,0.8156194,0.44478985,0.81856236,0.64157343,0.56147312,0.45953991,0.62019341,0.65066176,0.61809159,0.680468,0.61818104,0.88765175,0.63838376,0.52631396,0.67311297,0.70997477,0.87921443,0.52795142,0.53019845,0.69154229,0.37109196,0.77312608,0.61456683,0.6042462,0.72167458,0.48467742,0.71098538,0.61804241,0.64591893,0.46476916,0.63816767
7,0,0.53628883,0.83321767,0.5897374,0.77605309,0.65698014,0.52736999,0.51191446,0.5425932,0.86466576,0.45077869,0.66094917,0.84144936,0.49053925,0.78529157,0.64107517,0.5134544,0.43347167,0.60718397,0.66741454,0.64531453,0.65963244,0.47959446,0.84419223,0.59642152,0.50034853,0.79490544,0.68829598,0.88924477,0.57970532,0.50982648,0.70472637,0.38800767,0.77880743,0.62661733,0.57917262,0.73536571,0.44880254,0.71499293,0.62529345,0.6652146,0.48776333,0.65070406
7,1,0.64172522,0.88665279,0.59759693,0.81016893,0.565956,0.57096582,0.56038697,0.46089299,0.92039563,0.48070352,0.64273669,0.79834112,0.51723248,0.67751155,0.66315559,0.50025942,0.4650579,0.60119733,0.75242409,0.69279211,0.6802543,0.37920945,0.85805617,0.57667272,0.49522515,0.88490373,0.69784771,0.89118341,0.60773072,0.50742978,0.65895522,0.39989732,0.80113216,0.64059208,0.55712604,0.72800292,0.40598729,0.63682225,0.62750221,0.6940022,0.48229494,0.67037015
7,2,0.63201738,0.95751407,0.60184566,0.70156867,0.5533197,0.56416048,0.57109398,0.39895524,0.99038199,0.44916016,0.61194893,0.69566962,0.47810448,0.52600318,0.66327797,0.50497482,0.43747823,0.61363113,0.82136032,0.74844274,0.71930762,0.31363792,0.81560233,0.58552018,0.48752265,0.84254558,0.76369304,0.84878624,0.60155971,0.49415205,0.55017413,0.36244494,0.81274143,0.66362212,0.53894728,0.68047949,0.34247312,0.49853843,0.62725609,0.70803375,0.43853429,0.66181451
8,0,0.5395895,0.89721644,0.58651059,0.5755814,0.57124221,0.42270431,0.5172025,0.33790278,0.93076398,0.45437543,0.52507829,0.65762447,0.46286404,0.39238597,0.45479021,0.50479679,0.32575571,0.65651623,0.65806497,0.84858649,0.71572818,0.21904517,0.82479707,0.53592701,0.48776662,0.79165105,0.77074365,0.73811531,0.55127304,0.47761001,0.47138682,0.31523766,0.78993384,0.61090118,0.52389641,0.6462821,0.35812968,0.31942951,0.61583365,0.75173331,0.37692963,0.610243
8,1,0.50948595,0.69388542,0.47867583,0.39837648,0.48698403,0.27388113,0.36574775,0.22192896,0.72673943,0.48962342,0.45061913,0.62225492,0.47688682,0.32325346,0.26541958,0.45764281,0.22306589,0.66244531,0.38501663,0.86658909,0.51340421,0.23430869,0.86272538,0.36057351,0.40669873,0.6767422,0.61575627,0.67414026,0.43544788,0.44464097,0.35857587,0.26814927,0.5841518,0.45645625,0.48457076,0.52723622,0.32713425,0.22825554,0.44466742,0.70201761,0.27058718,0.41181748
8,2,0.2464682,0.37775465,0.25623684,0.23865182,0.30391355,0.11734027,0.21213995,0.16568239,0.39109823,0.36366579,0.24129126,0.42119291,0.17123057,0.28770208,0.16350524,0.27830002,0.11400246,0.51829381,0.15364145,0.51262236,0.26896036,0.18675565,0.46304145,0.20281223,0.13061829,0.45486454,0.2129954,0.37424983,0.24912767,0.1606797,0.2431592,0.15802686,0.32965193,0.24222899,0.31242748,0.31011318,0.1768247,0.1139934,0.31214187,0.40153155,0.18867324,0.17299626
9,0,0.25450259,0.21069473,0.10365416,0.1905057,0.20625,0.16955423,0.086543497,0.23036402,0.21793315,0.14634752,0.16682245,0.26571923,0.12997587,0.5065026,0.24064685,0.24026146,0.19291936,0.38481464,0.23232359,0.21942638,0.23211347,0.12692505,0.35654766,0.19498381,0.13786421,0.39414721,0.18633665,0.27393796,0.25188336,0.24478478,0.51684701,0.23658497,0.30913537,0.20821942,0.25508282,0.18111233,0.23126426,0.20660537,0.30894232,0.34384629,0.27568803,0.15983602
9,1,0.42231879,0.23311743,0.1628329,0.26045415,0.25967679,0.23079941,0.16320919,0.30691191,0.25027967,0.15427832,0.20820525,0.36377014,0.17970372,0.68908054,0.38911713,0.35767842,0.3359668,0.43555146,0.32174959,0.26864262,0.32706486,0.30302875,0.55376769,0.31068805,0.16521679,0.57066792,0.24686062,0.38056305,0.35348622,0.30789474,0.82910448,0.26684951,0.48182584,0.28415324,0.37918944,0.23035779,0.36182796,0.33033003,0.3423009,0.50839142,0.39623039,0.35239142
9,2,0.40295858,0.28487933,0.20121392,0.24395568,0.32696651,0.24936404,0.2213922,0.25535027,0.31414734,0.12347948,0.22094435,0.42727479,0.18200438,0.65778002,0.37625,0.36397579,0.39635721,0.48986875,0.33305966,0.27456363,0.36881611,0.33092916,0.61887795,0.38319772,0.16225777,0.56423582,0.32190886,0.46266015,0.40795882,0.27759084,0.87002488,0.20479639,0.49799663,0.35406182,0.4563777,0.28093586,0.38878299,0.32466761,0.34307081,0.5105099,0.37763783,0.36627057
10,0,0.35305104,0.31259156,0.19025146,0.21695371,0.42294587,0.28980386,0.24861798,0.30624656,0.35336971,0.1534187,0.22121417,0.46505238,0.18200999,0.48298932,0.28304196,0.32539804,0.38863101,0.56928391,0.32863614,0.30603053,0.32752431,0.31238022,0.61321026,0.45615767,0.15662554,0.46337536,0.36693632,0.54406608,0.42649035,0.26125012,0.84129353,0.23907369,0.47295964,0.40180235,0.43180863,0.26865644,0.40944933,0.30777935,0.38508141,0.53082355,0.30747199,0.29698176
10,1,0.36687315,0.30888272,0.14537966,0.22580079,0.38895055,0.33185736,0.22278877,0.4626196,0.33040246,0.18187965,0.24015418,0.45018215,0.17697099,0.39618216,0.24653846,0.35739865,0.32527411,0.62128713,0.3343478,0.36248888,0.24473769,0.25877823,0.51443143,0.42515997,0.16045588,0.472687,0.33883034,0.55224208,0.338407,0.2505081,0.78569652,0.20076472,0.41661872,0.37442751,0.34909611,0.22068882,0.45249267,0.29667138,0.44907232,0.57462399,0.2586329,0.2670489
10,2,0.26843565,0.24545455,0.088994178,0.19518978,0.24844237,0.25907578,0.15111289,0.42682283,0.25095498,0.17453872,0.18561792,0.30712948,0.14591213,0.41572604,0.21204545,0.32346508,0.23359975,0.51254317,0.27015358,0.3012595,0.19401111,0.2539271,0.35382516,0.25385891,0.11403527,0.43842222,0.29380288,0.44505226,0.23896184,0.22900489,0.59602612,0.13011052,0.27207816,0.29216369,0.30015976,0.16825484,0.29206582,0.26075436,0.38941058,0.50688738,0.23190946,0.16729844
11,0,0.23921967,0.27292004,0.11097485,0.23029289,0.19623248,0.19229123,0.12652749,0.37993511,0.2745839,0.20207172,0.19210311,0.29804269,0.12283822,0.47540416,0.34471154,0.31307798,0.31716877,0.44020262,0.27218487,0.24297351,0.27130035,0.37494867,0.28492206,0.24251521,0.11658999,0.48630942,0.29532433,0.44895482,0.24433142,0.30359505,0.50357587,0.22371443,0.3508671,0.25265128,0.30456571,0.22455884,0.23231509,0.30185761,0.33244352,0.47153338,0.25909458,0.16276514
11,1,0.32936391,0.37470121,0.20068748,0.44055507,0.359706,0.2227786,0.20417515,0.41761795,0.3835266,0.24450239,0.26203325,0.43788462,0.16486168,0.55415704,0.53531469,0.36911338,0.48963521,0.50884181,0.361349,0.32731878,0.52094241,0.56924196,0.4102076,0.44939569,0.13951276,0.68721247,0.33679679,0.53608395,0.29869305,0.44843256,0.51250622,0.32742454,0.62122956,0.33360906,0.35778189,0.31227334,0.32416096,0.40776049,0.30222769,0.47479824,0.31727925,0.31791337
11,2,0.35812685,0.44227003,0.27940047,0.48462045,0.42004478,0.31034175,0.2940355,0.52675135,0.45686221,0.21388699,0.29667068,0.49414452,0.196246,0.69753897,0.44416958,0.37183478,0.51211702,0.60718397,0.45841885,0.40854268,0.62666952,0.67275838,0.51949573,0.53548464,0.14446884,0.72929801,0.37464747,0.57355024,0.33136058,0.49487106,0.55151119,0.25542465,0.69088518,0.36703526,0.39964685,0.36661799,0.41400293,0.46909948,0.34293828,0.57096478,0.36735096,0.4330937
12,0,0.35479845,0.42107333,0.30656509,0.40885257,0.36642329,0.35809807,0.28080448,0.53884856,0.43840382,0.25251951,0.30810407,0.44131146,0.20678974,0.73744226,0.31785839,0.38000407,0.42589917,0.66244531,0.41368108,0.36906701,0.5409766,0.5846167,0.55483801,0.49235327,0.14953994,0.7164338,0.3716491,0.54758935,0.35755502,0.42351644,0.59266169,0.2108493,0.53621476,0.33508925,0.44029261,0.36438481,0.41844249,0.44950967,0.43109302,0.60587858,0.38800538,0.42856634
12,1,0.37856879,0.3096615,0.26505017,0.29929245,0.24231893,0.28284695,0.20853942,0.48804025,0.3158663,0.29026364,0.27892556,0.39835759,0.1834465,0.69365618,0.33640734,0.41405972,0.40252587,0.6101773,0.3020879,0.28982134,0.30119137,0.33873203,0.49472021,0.3606762,0.16238673,0.7319816,0.34840433,0.50107889,0.31664509,0.38004985,0.58067786,0.23199124,0.47065834,0.29076186,0.40821492,0.33052209,0.35685891,0.32080622,0.49387858,0.54397469,0.33630659,0.25760799
