,,pid1263-16,pid52932-09,pid9048-16,pid9054-16,pid9055-16,pid9058-16,pid9059-16,pid9061-16,pid9062-16,pid9063-16,pid9065-11,pid9066-16,pid9067-16,pid9072-16,pid9074f-16,pid9075-16,pid9078-08,pid9081-04,pid9088-11,pid9093-16,pid9094-16,pid9097-07,pid9099-16,pid9100b-12,pid9101-16,pid9104-16,pid9105-16,pid9118-16,pid9126-04,pid9128-12,pid9138-16,pid9139-16,pid9153-16,pid9166e-09,pid9170-16,pid9173-21,pid9174-16,pid9186c-16,pid9192-16
20,0,0.34572852,0.34514461,0.23164102,0.41219638,0.28187158,0.36706578,0.29235412,0.39678354,0.36294465,0.44569493,0.3448303,0.31764435,0.35891265,0.28038309,0.38965852,0.26527566,0.35224138,0.37379774,0.26172948,0.33534499,0.31929225,0.4907274,0.34905314,0.40896757,0.30245215,0.42449904,0.53375404,0.38069488,0.47699484,0.46619435,0.33912612,0.33636022,0.21384387,0.26963105,0.32913841,0.36087546,0.30821815,0.45976485,0.37640919
20,1,0.39801348,0.4595001,0.3516834,0.48331324,0.39828796,0.45077748,0.34279276,0.42230949,0.4464999,0.6156107,0.45161036,0.41315959,0.32464294,0.37762721,0.44578744,0.38058483,0.50677957,0.46804227,0.34436903,0.46257755,0.45105782,0.55496655,0.39236641,0.51769916,0.38996924,0.45481696,0.60984342,0.53409162,0.50901204,0.50828506,0.39838275,0.43004487,0.32594685,0.38842889,0.50709772,0.50694467,0.40972261,0.53089109,0.51777513
20,2,0.41548807,0.5319479,0.48354059,0.52325007,0.507373,0.50810138,0.35502616,0.47367929,0.48449686,0.7224146,0.50422868,0.57577125,0.34261027,0.4577106,0.50518344,0.43004569,0.5743562,0.54261458,0.41965714,0.57665915,0.523469,0.54364385,0.42022167,0.73649302,0.4576555,0.40231214,0.70898808,0.62009758,0.53022247,0.5665936,0.46827919,0.49187087,0.41900176,0.47365841,0.63628237,0.59127731,0.50685472,0.57740099,0.63491649
21,0,0.39698012,0.61024708,0.55867811,0.56261843,0.62083186,0.54847613,0.31219316,0.47447405,0.50920994,0.79514557,0.51417434,0.67850631,0.37413399,0.55173627,0.55629055,0.43970149,0.59840693,0.54113981,0.47027642,0.64582628,0.5539111,0.54839595,0.44252789,0.81546091,0.51746411,0.37473988,0.81663045,0.62309653,0.49137186,0.58101091,0.52733012,0.50796466,0.47494212,0.51439089,0.69249383,0.64092649,0.5390409,0.58594059,0.69158217
21,1,0.35990252,0.6636085,0.6465401,0.58937697,0.68464791,0.5757736,0.3209336,0.46561945,0.53132331,0.80504254,0.51474919,0.82270927,0.41870118,0.67398528,0.6113343,0.4561194,0.62169721,0.56472338,0.56101587,0.6998684,0.5597576,0.59843026,0.49199207,0.81492031,0.55409262,0.36967245,0.88309373,0.56903785,0.41190472,0.58159804,0.59229678,0.52972065,0.52307621,0.51603854,0.71135943,0.6679158,0.60393042,0.57325495,0.73806293
21,2,0.35018585,0.7315361,0.70696261,0.60786678,0.74309041,0.61596952,0.40878068,0.49194951,0.53118065,0.78475696,0.53653044,0.80546091,0.48379231,0.80572024,0.695216,0.50236369,0.66076354,0.66572623,0.65452364,0.76307577,0.57925383,0.73111168,0.61313858,0.76502999,0.59468558,0.44740848,0.89434972,0.52121014,0.39338158,0.61445123,0.65566747,0.58333529,0.58650801,0.50983377,0.71670006,0.6794929,0.68391161,0.5732797,0.79324486
22,0,0.47255425,0.79250144,0.7602791,0.65254091,0.81267573,0.70452496,0.57210463,0.59399719,0.55693995,0.78173229,0.62640365,0.76900267,0.55686104,0.93628249,0.76002632,0.57621687,0.73161395,0.75073739,0.76261125,0.81581124,0.6614487,0.87613656,0.75535819,0.70762337,0.67036056,0.70868979,0.84088376,0.59616819,0.59416089,0.65748134,0.7332955,0.65943425,0.655607,0.54352723,0.7323058,0.72667039,0.7712929,0.59986386,0.87041455
22,1,0.70655644,0.79377514,0.81539351,0.74510479,0.84975944,0.78417042,0.71740845,0.74211314,0.67931647,0.8324783,0.81124498,0.68934524,0.68891344,0.98319109,0.75981852,0.7684435,0.82067641,0.89756085,0.87666612,0.87026697,0.79789858,1,0.86736641,0.81384953,0.77654648,0.87371869,0.68405216,0.73357573,0.79509377,0.81825061,0.79380054,0.82507107,0.7364756,0.63623376,0.78783909,0.8509807,0.87954866,0.65194307,0.95138682
22,2,0.80495705,0.78508906,0.88326448,0.82463394,0.87847041,0.82242264,0.80276861,0.79785881,0.74318369,0.90657732,0.87794315,0.65932406,0.78330309,0.95081113,0.60947565,0.89253731,0.8679272,0.96856806,0.93478038,0.88114307,0.87564632,0.94510208,0.90171756,0.86288738,0.80428059,0.91945087,0.63678536,0.84825036,0.90951494,0.8724362,0.79848205,0.90938139,0.81133438,0.7316829,0.85057028,0.92042736,0.96041373,0.71217822,0.9372204
23,0,0.85198266,0.77614442,0.90588814,0.85288544,0.91319018,0.85632095,0.82100604,0.82752688,0.81350263,0.93818135,0.87030475,0.63277466,0.81567111,0.87660434,0.55278105,0.92988121,0.88634547,1,0.96019768,0.86994736,0.89757364,0.8408818,0.88901938,0.84470481,0.8099026,0.92606936,0.62594729,0.90501274,0.98564217,0.90301915,0.77528727,0.92871743,0.88094268,0.81025924,0.86937423,0.92999522,0.98702398,0.75241337,0.91418133
23,1,0.64019001,0.70150354,0.79374371,0.76049383,0.86704642,0.71711242,0.54750101,0.73801777,0.77017944,0.68638579,0.64434995,0.48699696,0.78906336,0.58184898,0.70562905,0.64203472,0.69878586,0.81858986,0.73008859,0.49946418,0.64100375,0.58077715,0.76181738,0.63769999,0.58954204,0.74268786,0.47456258,0.73410405,0.83208246,0.74423308,0.57020854,0.71609144,0.75552366,0.73179761,0.76694667,0.71847393,0.64464504,0.71861386,0.69525052
23,2,0.37728458,0.22929515,0.5457075,0.46604651,0.37032679,0.201174,0.41777867,0.42179523,0.41374992,0.39005387,0.56719427,0.40989041,0.59001815,0.30443026,0.48623906,0.17413341,0.41782023,0.67602401,0.58667924,0.32059598,0.51584365,0.20747984,0.66857017,0.51405017,0.31525974,0.46710019,0.3487546,0.31810554,0.34773595,0.58853922,0.4299546,0.52740643,0.13470692,0.29674432,0.2813733,0.60638654,0.22023507,0.38804455,0.52762452
24,0,0.44675108,0.26729554,0.59836048,0.33881137,0.44202612,0.27748406,0.50581087,0.41558672,0.43963604,0.50571801,0.7298055,0.41469749,0.46294484,0.3674311,0.39216365,0.27342065,0.49716444,0.80190567,0.58960136,0.61226734,0.63431526,0.34630297,0.60204052,0.5294986,0.34424983,0.67390173,0.33956035,0.4713935,0.54433077,0.77069307,0.52140729,0.68231798,0.24387443,0.27314535,0.37498459,0.6209217,0.32990127,0.5162005,0.65507009
24,1,0.52503971,0.35310285,0.64132831,0.33561298,0.46571762,0.31079148,0.58162575,0.40032726,0.45063725,0.58680689,0.83108906,0.4256193,0.39972382,0.43123331,0.40151463,0.33544319,0.57431753,0.8872246,0.58942706,0.72572852,0.68421802,0.41977183,0.57039783,0.52580803,0.38573992,0.67076108,0.47365708,0.59584188,0.55661554,0.82630082,0.50744077,0.72920142,0.31580702,0.38248483,0.4071902,0.65098868,0.43633286,0.5844802,0.65348941
24,2,0.56032821,0.40602375,0.56686501,0.35138099,0.45721992,0.3135049,0.52890946,0.36448808,0.41725319,0.58852764,0.7642649,0.437241,0.36547779,0.45609486,0.42774353,0.34706671,0.57222953,0.86687271,0.57411926,0.69749013,0.65371662,0.44035855,0.54012038,0.50794773,0.36340567,0.59766859,0.51606208,0.64668407,0.49822447,0.7086269,0.4993687,0.69642647,0.34276322,0.45439756,0.42283446,0.6521129,0.46501175,0.59023515,0.56421115
25,0,0.55108966,0.41834898,0.45431391,0.35220212,0.41664757,0.30038097,0.39587928,0.30835905,0.34704521,0.53694797,0.61046539,0.4119348,0.33788369,0.39571308,0.43082589,0.32154127,0.52214317,0.7748724,0.51464135,0.62206242,0.50128077,0.43124893,0.49978714,0.42185859,0.35595523,0.44974952,0.54495431,0.64990055,0.39153886,0.57692709,0.47134345,0.58553203,0.33428095,0.50019814,0.4153283,0.5575586,0.49236483,0.48434406,0.44176111
25,1,0.46812777,0.38365256,0.28516085,0.35866207,0.29085873,0.2428627,0.27282093,0.22099112,0.31762412,0.34332649,0.38042366,0.27713417,0.31163103,0.22489413,0.3695597,0.28650624,0.36127652,0.61023622,0.30508961,0.34723632,0.25416252,0.33241551,0.44514827,0.24499174,0.2984877,0.23268786,0.39898863,0.54212505,0.28702229,0.3626246,0.42427295,0.40885276,0.30220391,0.49807079,0.34025894,0.30107638,0.48457922,0.35742574,0.31200418
25,2,0.37230285,0.38064547,0.18617966,0.35815102,0.33000437,0.22728192,0.27938028,0.29595138,0.3423689,0.24661194,0.26350894,0.52111612,0.31264105,0.20447586,0.47576828,0.4152117,0.30002836,0.50855369,0.28388631,0.20333709,0.21041459,0.23677303,0.36492954,0.2427566,0.29156699,0.22798651,0.35909116,0.26845982,0.31869397,0.53708053,0.46350546,0.32672744,0.26401519,0.45244749,0.31064273,0.21164089,0.41084156,0.34455446,0.29241724
26,0,0.42335395,0.44840069,0.25942296,0.32895205,0.42937329,0.30404292,0.34642254,0.36171108,0.40953332,0.33569535,0.30417356,0.58998066,0.34730529,0.28608378,0.59412159,0.56716418,0.44232207,0.57915053,0.40215519,0.39310961,0.36899341,0.29202265,0.37791398,0.34491792,0.31653281,0.35910405,0.54119302,0.26023992,0.44065877,0.66793226,0.53802667,0.36071236,0.24468932,0.48326277,0.47536221,0.29323872,0.47278796,0.58607673,0.41577692
26,1,0.52297299,0.49339207,0.37421074,0.31964973,0.57253244,0.40122842,0.43731187,0.36622721,0.4801693,0.42858364,0.36293409,0.63344691,0.37911308,0.34951463,0.60633557,0.71111788,0.61303586,0.66941958,0.55273141,0.5321113,0.49110574,0.35068622,0.44077363,0.53942677,0.39931647,0.4483815,0.7303856,0.3356175,0.55845826,0.79847085,0.6182721,0.41990696,0.24692101,0.53345361,0.66665382,0.45254345,0.56492713,0.69615099,0.55146883
26,2,0.57033792,0.5086765,0.49094626,0.31521677,0.6301106,0.4596408,0.51014889,0.39890603,0.52899309,0.52677312,0.43269549,0.64448844,0.40461611,0.38851391,0.56282469,0.74797441,0.67263424,0.74083716,0.61353197,0.60611017,0.51635359,0.33793961,0.48700088,0.65617365,0.46304682,0.49069364,0.84769587,0.38624215,0.60320172,0.87164031,0.65305717,0.47578883,0.27092323,0.58109996,0.75692047,0.53254664,0.61124589,0.68675743,0.6086266
27,0,0.59702022,0.50406052,0.57706385,0.33673844,0.69560327,0.49536619,0.56863581,0.46506779,0.58591719,0.64462828,0.47965194,0.76031863,0.41242011,0.39544596,0.56459098,0.74541578,0.67238935,0.78256688,0.61310134,0.64184057,0.46777904,0.30949563,0.49376101,0.69531453,0.51673787,0.49984586,0.87910955,0.43769035,0.62281897,0.8966651,0.6859129,0.55348542,0.3140013,0.60064238,0.79053637,0.59787115,0.61886225,0.65263614,0.62147331
27,1,0.62015516,0.50128328,0.55613108,0.38516796,0.72261679,0.51740787,0.57939638,0.52995792,0.61608332,0.74398273,0.51196157,0.93461645,0.40817486,0.3958955,0.61961165,0.73542492,0.62819323,0.77869399,0.49869786,0.64123895,0.39962525,0.33892606,0.45636377,0.6529509,0.54647984,0.50582852,0.83220495,0.49392442,0.64999904,0.89943114,0.71903816,0.62031577,0.36650616,0.57971302,0.7775894,0.6475283,0.5683968,0.66232673,0.54697286
27,2,0.64308959,0.52703505,0.44448963,0.43517657,0.73908108,0.53860208,0.55224145,0.59514727,0.64098662,0.83224317,0.54140484,0.97504374,0.40580762,0.40655417,0.70761469,0.72458118,0.60901451,0.75221216,0.33434155,0.61450461,0.37376073,0.44512781,0.39087639,0.55426183,0.5711039,0.52360308,0.73198763,0.57122879,0.68781312,0.86633005,0.75074479,0.68802716,0.43112325,0.49890504,0.7475262,0.68749003,0.54949694,0.73238861,0.38382792
28,0,0.67493869,0.54870714,0.44895229,0.47109963,0.80209527,0.58874981,0.5343501,0.62211314,0.6581225,0.87312428,0.57847862,0.91763514,0.41085773,0.42355202,0.81280737,0.73737435,0.65002707,0.70026161,0.40375467,0.61999436,0.44774916,0.53275004,0.39083235,0.60060713,0.61800239,0.54998073,0.64857071,0.64070172,0.71731578,0.71265853,0.77855015,0.74248761,0.50496342,0.39036853,0.78275277,0.75478393,0.63133992,0.8367203,0.35790337
28,1,0.71416012,0.54123731,0.54229362,0.49900086,0.84943661,0.63758358,0.55001207,0.6028518,0.66476444,0.87598863,0.60527601,0.8176904,0.43735501,0.4403023,0.88319365,0.79512641,0.73496507,0.64330965,0.59515851,0.64903177,0.55681656,0.57015783,0.48945978,0.72344606,0.66075701,0.57238921,0.66950853,0.7129716,0.74144385,0.56320129,0.80380196,0.77405258,0.56174646,0.38518573,0.86806412,0.81653644,0.70202163,0.90147277,0.5021697
28,2,0.73536715,0.52991764,0.65613964,0.50976744,0.87155562,0.67152076,0.58668008,0.57053763,0.65509479,0.85723141,0.61444208,0.67176536,0.48053342,0.45159294,0.91199695,0.85872677,0.77824608,0.58908923,0.72888898,0.6892461,0.62163797,0.5595042,0.58552554,0.82051335,0.70140977,0.57141618,0.77040845,0.78287961,0.74779738,0.50197015,0.80777415,0.79565585,0.59973146,0.43880743,0.9392725,0.84986446,0.7309826,0.89508663,0.60288548
29,0,0.72797939,0.50519058,0.70605295,0.51384439,0.88115719,0.68334629,0.61307847,0.53451145,0.61462494,0.83105682,0.58996771,0.56846855,0.52590547,0.45180142,0.91091178,0.8986293,0.75833269,0.55096309,0.83374687,0.72310585,0.64677909,0.50261623,0.62568996,0.8685428,0.72227444,0.54866089,0.79156915,0.86114737,0.72923585,0.5286389,0.79053766,0.80916524,0.63172516,0.49111519,0.9532984,0.84197098,0.72187118,0.82610149,0.62171936
29,1,0.69100976,0.46613676,0.67040517,0.52281367,0.87283652,0.6681698,0.60461972,0.50951847,0.56006277,0.80887948,0.52400976,0.54532646,0.54007733,0.4536517,0.89219829,0.89070972,0.67853736,0.53966503,0.84528155,0.74150216,0.62939377,0.44921084,0.62308426,0.87182793,0.70508373,0.52942197,0.72918756,0.93010753,0.68518341,0.59738531,0.77081856,0.81776426,0.6619687,0.52863579,0.91060419,0.78214001,0.68509638,0.68725248,0.55739636
29,2,0.63491525,0.43255124,0.57412085,0.55231697,0.84372982,0.64919919,0.56554527,0.4858345,0.50064993,0.79809542,0.44275927,0.68434478,0.54214472,0.46627793,0.86194038,0.86360037,0.59912871,0.55348945,0.7456117,0.72340666,0.58552725,0.42124721,0.60866853,0.80742481,0.67800752,0.53077071,0.61877299,0.97607061,0.6417836,0.679714,0.74379345,0.8290534,0.69138809,0.54183786,0.8300709,0.68135066,0.65018336,0.57423267,0.44139576
30,0,0.61356941,0.42330971,0.51910276,0.60493827,0.8115198,0.63214119,0.51698189,0.46982702,0.50665779,0.81294087,0.41386723,0.80169445,0.54834688,0.48988208,0.82768812,0.83405422,0.55830949,0.58495986,0.6213858,0.66688287,0.54199279,0.4623263,0.63175279,0.73484006,0.70777512,0.57333333,0.59195642,0.99454596,0.61940227,0.73070299,0.73513974,0.83403426,0.7178072,0.54069076,0.75329069,0.59973688,0.65498825,0.55397277,0.43765285
30,1,0.64184031,0.44332503,0.54180133,0.67424634,0.81062421,0.63523558,0.50123139,0.4686863,0.56946294,0.8420867,0.47049374,0.94704853,0.55791841,0.52473777,0.76994297,0.80755407,0.56064238,0.61898228,0.61427019,0.61955255,0.50573977,0.53854006,0.71942895,0.71323721,0.80113636,0.62938343,0.71918533,0.99288334,0.6185193,0.77523355,0.74599234,0.80787304,0.75281971,0.54692682,0.71406443,0.55542178,0.68081805,0.57977723,0.54771846
30,2,0.68892762,0.4732331,0.60119646,0.74757393,0.82563056,0.66908723,0.52436217,0.46972417,0.63388498,0.85430294,0.55746122,1,0.55872327,0.55638152,0.69351897,0.77508376,0.58292733,0.64723384,0.69485912,0.58260011,0.47005597,0.62157317,0.8107017,0.70072044,0.86662679,0.67430636,0.8756826,0.97033688,0.61604315,0.79753144,0.77124415,0.75215563,0.79072136,0.55834567,0.68218249,0.53194865,0.70332863,0.60866337,0.62304653
31,0,0.72332156,0.52172955,0.62328503,0.8208441,0.83825214,0.70811693,0.53995171,0.46939691,0.68266121,0.84037664,0.64260965,0.95017957,0.54066125,0.55877256,0.56918566,0.72391106,0.60398783,0.65767268,0.7515277,0.54507426,0.44178407,0.71421342,0.88490898,0.65241031,0.93668831,0.69953757,0.97921542,0.92056685,0.61435399,0.79844476,0.80444035,0.66622419,0.84097602,0.55610361,0.60956381,0.49213044,0.70789845,0.62482673,0.6210334
31,1,0.72207227,0.56453744,0.58123756,0.89290841,0.83613813,0.72832374,0.52288129,0.46189808,0.68205884,0.78335685,0.71812741,0.54289529,0.49312712,0.5292006,0.51926762,0.64843131,0.58323667,0.62965195,0.76975762,0.51098891,0.42050899,0.77328015,0.89217557,0.55404352,0.92677717,0.70615607,1,0.88375598,0.59448721,0.77982621,0.82366293,0.59160538,0.89719418,0.52707156,0.51574445,0.44370116,0.69859897,0.61695545,0.54427378
31,2,0.69648503,0.60294005,0.52906616,0.95584266,0.80973903,0.73471466,0.47925151,0.43517532,0.64655063,0.69320465,0.77540751,0.37992449,0.42417738,0.48440941,0.55169587,0.53890953,0.53424587,0.5529893,0.7557212,0.47049257,0.39982686,0.80596157,0.8752202,0.44391887,0.82144566,0.69434489,0.98567926,0.84355771,0.5598403,0.74673817,0.83189105,0.52051077,0.94786554,0.47270945,0.41055025,0.36709456,0.71035261,0.58804455,0.42664778
32,0,0.66056418,0.62048458,0.51043428,0.99672696,0.75050507,0.75019437,0.43756137,0.38908836,0.59539661,0.59254628,0.80116545,0.39769776,0.38653831,0.46823246,0.62564937,0.42492842,0.51484804,0.46102747,0.71601116,0.40179545,0.36356198,0.78796535,0.84123605,0.4202784,0.65777512,0.66020231,0.94828931,0.84195724,0.53147014,0.69620583,0.82302454,0.45601814,0.9918511,0.40565625,0.35783755,0.34424334,0.76793606,0.54871287,0.36722338
32,1,0.61157981,0.59575752,0.49228398,1,0.72242934,0.7644923,0.39802817,0.36448808,0.59764758,0.51425762,0.80155918,0.45557602,0.38294011,0.45290898,0.696128,0.36159001,0.53410409,0.43540486,0.69891933,0.34845836,0.33244391,0.73558929,0.8102613,0.44448025,0.60849282,0.62417148,0.91846372,0.88375598,0.55538707,0.6434946,0.81117889,0.42477034,1,0.37594636,0.33051788,0.3682427,0.84137283,0.4822896,0.32767671
32,2,0.55861622,0.56591649,0.50523319,0.96313523,0.68627247,0.74551392,0.41847082,0.4113137,0.64192188,0.49258262,0.79069218,0.60919053,0.39455535,0.42133038,0.7584101,0.31641791,0.5499188,0.45128113,0.68153016,0.30383531,0.30940183,0.67825528,0.82743688,0.5057022,0.58101504,0.60598266,0.90332107,0.93220523,0.59888285,0.59002662,0.80848347,0.38484129,0.98842485,0.35881286,0.31436498,0.426487,0.9119417,0.4382302,0.25342976
33,0,0.48717553,0.51458533,0.50147685,0.88532874,0.64872014,0.65728503,0.43902616,0.48961197,0.68397692,0.47950066,0.75406725,0.63869601,0.4293064,0.37513845,0.78444275,0.30236978,0.50728224,0.43871348,0.61467006,0.30880805,0.30876144,0.56222337,0.78618614,0.50597249,0.53526999,0.60071291,0.80763123,0.97193735,0.58870952,0.5989249,0.80025536,0.33698283,0.94869895,0.35518385,0.29112978,0.45369957,0.94188999,0.52085396,0.22221145
33,1,0.45301294,0.43212986,0.49755998,0.77151881,0.65409368,0.61519204,0.42229376,0.57802712,0.69198212,0.48564619,0.67355697,0.58046781,0.40860096,0.34485634,0.77027776,0.3716357,0.38104813,0.38633974,0.45641431,0.32758037,0.31603102,0.36961743,0.68116559,0.4697321,0.43031442,0.56078998,0.66730748,0.94521101,0.51590303,0.69137832,0.78762945,0.33651293,0.86232059,0.33702839,0.37307337,0.38185297,0.74789845,0.68008663,0.20712049
33,2,0.42221263,0.28818234,0.49009011,0.63135228,0.65494762,0.62115534,0.38321932,0.64697522,0.67700209,0.48502629,0.58921962,0.55250944,0.34843368,0.33111603,0.70572141,0.42643314,0.2983528,0.37391315,0.40235,0.33437676,0.3115246,0.29759822,0.60087346,0.45688266,0.31743848,0.48628131,0.31559958,0.79754801,0.41940995,0.75387506,0.73407576,0.32423701,0.74205945,0.30799633,0.50238132,0.35331686,0.58455101,0.70358911,0.18671339
34,0,0.38894458,0.20181,0.41455662,0.50309503,0.62771541,0.61167781,0.342334,0.66779804,0.65014901,0.41210295,0.51562328,0.50826964,0.26363923,0.31868526,0.63212579,0.44405726,0.27307762,0.38943035,0.36389083,0.31678887,0.2741924,0.24810431,0.5266882,0.41163934,0.25300752,0.29484586,0.21284687,0.68635403,0.36313031,0.76657012,0.62791176,0.29079247,0.67311788,0.2737189,0.56613748,0.3562191,0.41092619,0.67180693,0.14941098
34,1,0.35046347,0.18199579,0.35999872,0.40749354,0.58246725,0.55985072,0.31826157,0.70660122,0.57350517,0.3560985,0.46932829,0.49940142,0.2370157,0.29830608,0.58184988,0.42473348,0.26178692,0.40953859,0.34004224,0.30750141,0.23584033,0.24937382,0.45496917,0.35814161,0.20546822,0.24710983,0.19658977,0.62329853,0.34372421,0.6856114,0.50932756,0.28746799,0.6033892,0.24251778,0.58518804,0.35336469,0.33431124,0.62372525,0.13003281
34,2,0.2953252,0.20807317,0.32636288,0.31221361,0.46764418,0.42673768,0.30597988,0.59487611,0.53197324,0.26465307,0.4280337,0.44573165,0.23090823,0.25843377,0.52290411,0.34215047,0.24218287,0.40526815,0.32678506,0.27067118,0.19040842,0.25659633,0.39530241,0.28578557,0.18520164,0.22247592,0.18109885,0.57335757,0.32460602,0.5778665,0.32471982,0.27744755,0.51385313,0.20022108,0.54785758,0.3023521,0.32535966,0.5337005,0.12515658
35,0,0.24742045,0.24470408,0.27053145,0.23220212,0.35749693,0.25318768,0.28334004,0.40673212,0.44537442,0.21883417,0.39999213,0.40100378,0.22806755,0.21686103,0.42977535,0.2673774,0.21784858,0.33814666,0.28597794,0.19444444,0.13556046,0.23760508,0.3359219,0.2323918,0.16950615,0.21793834,0.17343698,0.5175275,0.29827053,0.45008089,0.23569301,0.25242582,0.44767108,0.15418066,0.46532059,0.22822516,0.31187588,0.34967822,0.11455413
35,1,0.23005383,0.28060716,0.23662807,0.19425782,0.3199446,0.20552014,0.24969014,0.34147733,0.33878638,0.20560258,0.3898181,0.38092826,0.22920382,0.1170174,0.34835261,0.24325312,0.19906942,0.30591962,0.25701308,0.15203046,0.1113728,0.20862927,0.30596741,0.23022944,0.074764183,0.18924855,0.16528753,0.45638324,0.27043784,0.39185063,0.23039438,0.21612668,0.36304287,0.14212568,0.41014951,0.19511242,0.29266573,0.29768564,0.10325828
35,2,0.23812021,0.3263551,0.18589071,0.1556302,0.27200966,0.18151143,0.18366197,0.31614773,0.26756388,0.17119832,0.37178518,0.34205728,0.20303006,0.10480162,0.28485835,0.20799878,0.17937515,0.26952474,0.23558422,0.12693175,0.10001542,0.14562532,0.3152158,0.22486511,0.096308954,0.16175337,0.15167725,0.40625583,0.21928326,0.3082694,0.23426018,0.14736978,0.26295953,0.14429474,0.36909679,0.17097752,0.2615985,0.28871287,0.092365046
36,0,0.22695375,0.32137522,0.18561247,0.17410853,0.27508175,0.20705956,0.1195171,0.18908836,0.22882189,0.17513146,0.27317112,0.32381435,0.16090113,0.090846309,0.31690564,0.17683217,0.19484185,0.2453256,0.18077144,0.18073886,0.098498648,0.10446903,0.30507193,0.18291732,0.080422932,0.14676301,0.12876686,0.31319535,0.19580782,0.25006524,0.17618811,0.14948429,0.19314751,0.1430225,0.30350647,0.18093605,0.21244006,0.31664604,0.069560841
36,1,0.20432778,0.25707719,0.19242953,0.14910135,0.20620457,0.17840149,0.10201207,0.16602151,0.2141906,0.17480014,0.22449799,0.30977991,0.11167837,0.076558733,0.30494563,0.14074322,0.19484185,0.17144579,0.1215601,0.19139876,0.09789028,0.090581575,0.22751028,0.14004429,0.061650718,0.13356455,0.11068762,0.28457331,0.18975181,0.21948228,0.1241098,0.16173672,0.13910547,0.12631656,0.25526356,0.16850582,0.16150447,0.30778465,0.06066433
36,2,0.16239184,0.17392262,0.1612016,0.12244617,0.14092017,0.12670658,0.073862374,0.15245442,0.19153827,0.15153264,0.16572171,0.20368358,0.10380336,0.048711317,0.21775069,0.098154127,0.16291599,0.11772936,0.10018353,0.15166385,0.09499075,0.077123863,0.13972402,0.11867015,0.045991969,0.12879576,0.095067146,0.24159364,0.16929766,0.19303533,0.092623067,0.15078824,0.11664969,0.081551505,0.16828761,0.13239515,0.099717913,0.23356436,0.050312407
37,0,0.11711369,0.10516185,0.10928704,0.07778352,0.068205486,0.072329342,0.064626157,0.1199252,0.13967884,0.12006755,0.10336247,0.17971268,0.069739604,0.054092775,0.14693727,0.069247639,0.098287062,0.089859961,0.090548743,0.065333709,0.085012571,0.092966203,0.085709043,0.093853895,0.029072967,0.084049133,0.086793714,0.17145255,0.1403267,0.1518188,0.088452263,0.12196039,0.093490138,0.049235614,0.095954069,0.084165205,0.086172073,0.15069307,0.042206979
37,1,0.096275275,0.062828002,0.063454335,0.04209532,0.086352654,0.045793811,0.089762575,0.11179991,0.093805085,0.09191035,0.072388377,0.22306842,0.039653594,0.082559124,0.15641523,0.12613463,0.041861934,0.067084306,0.07166776,0.05677665,0.071388928,0.12686567,0.11950969,0.063485149,0.079959843,0.061472062,0.079002285,0.12107651,0.1128971,0.10123819,0.091473968,0.081917393,0.070543569,0.069084614,0.10417694,0.046349067,0.078658204,0.14925743,0.03745601
37,2,0.10463316,0.17007278,0.17921277,0.19885156,0.14845979,0.066212098,0.14020121,0.19271622,0.16222814,0.19153734,0.22320655,0.29941984,0.24664247,0.1411232,0.22300339,0.24002437,0.13400614,0.099535766,0.10956404,0.20467193,0.13008159,0.14649168,0.1980916,0.20354295,0.22411996,0.11580925,0.31228407,0.16733483,0.15283989,0.24320234,0.13847354,0.13240373,0.12308547,0.12166559,0.15905518,0.062439802,0.15642689,0.22660891,0.1373397
38,0,0.21458427,0.35813063,0.36133644,0.36997416,0.26654239,0.15422174,0.27003622,0.31165965,0.31573775,0.30844128,0.41948972,0.39530343,0.46084589,0.34180728,0.34068712,0.39823332,0.32897688,0.24962169,0.22706394,0.43397255,0.27930364,0.24337794,0.35386083,0.34846295,0.35849282,0.27044316,0.51062911,0.38431537,0.32472119,0.37546318,0.28696269,0.33357611,0.18723956,0.27766075,0.29071363,0.18803221,0.30424071,0.39168317,0.25123024
38,1,0.37531039,0.43463896,0.42723829,0.35728395,0.31794514,0.21507542,0.31674044,0.34198223,0.40154397,0.39973708,0.47236003,0.30641864,0.45593782,0.42228158,0.41776916,0.40668291,0.46886036,0.30252122,0.30056802,0.46492762,0.31975476,0.28632699,0.38341163,0.35255897,0.4020164,0.29691715,0.59270868,0.48133818,0.34846536,0.40029226,0.35539793,0.40684397,0.27239559,0.36321355,0.45906289,0.36636103,0.34824636,0.50642327,0.43408888
38,2,0.46410229,0.44357403,0.49516277,0.37293712,0.35942349,0.30654642,0.32716298,0.36287985,0.44217234,0.44199692,0.49267659,0.31152961,0.45950446,0.45253762,0.45566946,0.45601584,0.51100714,0.29339044,0.33495673,0.45590337,0.35242636,0.35916109,0.38187023,0.38083604,0.43772215,0.36231214,0.63476541,0.49378457,0.3993896,0.41108241,0.39798553,0.44159246,0.30913974,0.43718064,0.60987207,0.48096795,0.36190879,0.56449257,0.49390098
