,,pid1263-16,pid52932-09,pid9048-16,pid9054-16,pid9055-16,pid9058-16,pid9059-16,pid9061-16,pid9062-16,pid9063-16,pid9065-11,pid9066-16,pid9067-16,pid9072-16,pid9074f-16,pid9075-16,pid9078-08,pid9081-04,pid9088-11,pid9093-16,pid9094-16,pid9097-07,pid9099-16,pid9100b-12,pid9101-16,pid9104-16,pid9105-16,pid9118-16,pid9126-04,pid9128-12,pid9138-16,pid9139-16,pid9153-16,pid9166e-09,pid9170-16,pid9173-21,pid9174-16,pid9186c-16,pid9192-16
5,2,0.46276046,0.89507757,0.65235119,0.58064887,0.9014017,0.76691805,0.7334004,0.58343151,0.64959419,0.7492946,0.62934089,0.73631089,0.84123728,0.81907616,0.96316178,0.67401767,0.76159359,0.58807612,0.67112332,0.55684339,0.52368246,0.68413107,0.67453024,0.85163893,0.63856801,0.50115607,0.80636354,0.44093791,0.41211586,0.92762643,0.97290396,0.80485398,0.74038337,0.63280289,0.63702219,0.81717429,0.58910202,0.49511139,0.85043245
6,0,0.57419375,0.99779736,0.67603433,0.53150732,0.91605399,0.77426528,0.81826962,0.65931744,0.68454759,0.76787012,0.69529097,0.70783682,0.86009627,0.91354486,1,0.73298812,0.8242982,0.64295058,0.78718779,0.52758037,0.57062046,0.83766512,0.71147974,0.78702789,0.71714798,0.75909441,0.85322635,0.44191684,0.53383112,0.96285424,1,0.82158213,0.71450134,0.66880097,0.67470715,0.7920826,0.6858204,0.55339109,0.89703251
6,1,0.84254361,0.95223137,0.80079622,0.58426644,0.95055506,0.83548437,0.95983903,0.74786349,0.77350834,0.87705742,0.84510591,0.68239249,0.890318,0.9524399,0.97385191,0.87736826,0.9308767,0.75473852,0.92419924,0.62807859,0.68360135,0.93317893,0.78398415,0.87879323,0.81478982,0.93438343,0.92650173,0.49035055,0.71478204,0.95770054,0.98290538,0.88896459,0.71573294,0.76566834,0.8107275,0.88861426,0.86156088,0.6430198,0.96368923
6,2,0.9618582,0.87119326,0.94293787,0.63341947,0.95881324,0.93764578,1,0.77823282,0.8203665,0.98320935,0.94086149,0.68989778,0.94894658,0.95693531,0.81689409,0.95126409,0.98800041,0.83215779,0.97763811,0.7357962,0.70880176,0.90178418,0.83250147,0.95579628,0.81646446,0.97032755,0.95487852,0.5208683,0.85317773,0.95533897,0.95268832,0.96049386,0.76029262,0.86849021,0.8752312,0.96260565,0.96944053,0.70803218,0.94214137
7,0,1,0.8246313,1,0.65426357,0.96305167,1,0.95943662,0.7941655,0.83670978,0.98412851,0.9665328,0.69511926,0.97254005,0.94800964,0.71671169,0.96545842,1,0.88401857,0.99517082,0.78279752,0.73516437,0.82748327,0.8719906,0.95835369,0.78009228,0.96209056,0.89962944,0.51331655,0.91632916,0.94751057,0.91821535,1,0.80483378,0.93930799,0.91892725,1,1,0.73710396,0.92074262
7,1,0.75299597,0.6820724,0.93004217,0.58593167,0.82711974,0.92777173,0.63546076,0.71554932,0.62445311,0.66802403,0.81447358,0.59298278,0.88763513,0.77138576,0.6622567,0.5923972,0.78331142,0.75417425,0.75936103,0.75763301,0.66429486,0.62693429,0.80057252,0.767078,0.4747864,0.73828516,0.61035885,0.41699298,0.78173407,0.79613538,0.66835012,0.83916782,0.71171405,0.86698855,0.88108816,0.86708659,0.85506347,0.66469059,0.67325529
7,2,0.38422506,0.29768244,0.56188866,0.22376113,0.39460146,0.42758513,0.32913481,0.49899018,0.41514489,0.32129879,0.3826758,0.39447463,0.58533102,0.36414099,0.58370853,0.28161438,0.40366819,0.56401806,0.35573965,0.578417,0.26464589,0.25968434,0.53369055,0.49218742,0.33261278,0.4200578,0.39882146,0.21244328,0.49914582,0.64843954,0.40545467,0.3980335,0.29929623,0.5862202,0.43571208,0.54773561,0.24788905,0.3982302,0.40938712
8,0,0.3122754,0.42937177,0.30153464,0.41014643,0.30456335,0.33270875,0.38096579,0.35759701,0.32271257,0.43890813,0.44416096,0.50839856,0.37868697,0.30861945,0.45164046,0.28482486,0.41338644,0.48983047,0.27775499,0.49688851,0.28657322,0.4698233,0.41056958,0.43036251,0.34847915,0.39365125,0.47537056,0.37704332,0.45549648,0.59902928,0.3413321,0.31187886,0.2749236,0.35798903,0.3502312,0.39269654,0.2887165,0.42746287,0.44626454
8,1,0.36411308,0.54240567,0.42237966,0.47633649,0.39059213,0.39477531,0.45686922,0.40817204,0.41501807,0.60212261,0.53863296,0.64700249,0.36993608,0.38157535,0.46744476,0.42529394,0.61539453,0.57527764,0.38304351,0.53835307,0.40350315,0.52834963,0.44731356,0.53965548,0.45435748,0.41166667,0.6284966,0.54503077,0.51091234,0.65587652,0.40075897,0.4203886,0.43071581,0.47542078,0.55510173,0.53013076,0.39426422,0.51867574,0.61197435
8,2,0.39276956,0.58506033,0.54527942,0.51518806,0.49016933,0.46230757,0.47381891,0.43610098,0.50825883,0.66736138,0.56904481,0.73084999,0.41291723,0.44285621,0.49494355,0.49865976,0.70222721,0.67862731,0.45863922,0.60668359,0.48658745,0.52106708,0.46179536,0.76170328,0.54056733,0.39055877,0.79098406,0.65886631,0.50225541,0.75181358,0.44968081,0.47994737,0.51759422,0.56669865,0.69982275,0.62324191,0.47763047,0.58184406,0.72716224
9,0,0.39275414,0.60121624,0.60404315,0.56496124,0.59110033,0.51551858,0.40478068,0.44199158,0.58826327,0.6357039,0.57113159,0.75103601,0.50036298,0.5354225,0.55104939,0.48883338,0.71524502,0.68743748,0.51591273,0.60655198,0.52492766,0.50602162,0.46919407,0.85000676,0.60520335,0.37182081,0.90465842,0.7070514,0.43991017,0.77796044,0.50922826,0.52497474,0.5775257,0.6001314,0.76107429,0.682738,0.52178655,0.59018564,0.76819266
9,1,0.38232799,0.63029113,0.66125511,0.61561872,0.65208381,0.58781682,0.33916298,0.46630201,0.63814913,0.55616476,0.57400583,0.61724837,0.62132881,0.640387,0.61883817,0.4759732,0.70038409,0.70215958,0.61135832,0.56834931,0.51674494,0.51714702,0.51541398,0.83924691,0.65979152,0.39410405,0.92942717,0.65992293,0.36121082,0.77091488,0.55868208,0.57705049,0.61754792,0.60200847,0.77612515,0.7141365,0.56504937,0.5667698,0.7795258
9,2,0.40427534,0.71156867,0.71291282,0.69290841,0.70636078,0.68687607,0.40816901,0.52720898,0.69840213,0.48636228,0.66525711,0.5967124,0.751156,0.78786892,0.70961188,0.52461773,0.70182765,0.78873528,0.72973998,0.59764993,0.50913145,0.62056099,0.63046095,0.82282126,0.75954375,0.49455684,0.9217235,0.56860277,0.33335893,0.81381452,0.6296496,0.63364894,0.66817298,0.60797339,0.75929408,0.71857758,0.63824165,0.55049505,0.78899493
10,0,0.55471413,0.83302049,0.75128957,0.75233994,0.76593839,0.78984606,0.53604829,0.6114072,0.77216093,0.61346244,0.77361997,0.59168432,0.83689734,0.94937781,0.78862183,0.63539446,0.73954064,0.83565878,0.85102325,0.64872156,0.56313742,0.78592383,0.79697592,0.83754197,0.89268626,0.77427746,0.90868439,0.60469886,0.56769104,0.88169981,0.71733579,0.68195381,0.71443652,0.66338874,0.74661683,0.75318928,0.7132205,0.5459901,0.81792425
10,1,0.80157935,0.9526336,0.83133923,0.78386448,0.83511757,0.85803141,0.72973843,0.73659654,0.89471181,0.80492497,0.93479802,0.60920895,0.91706778,1,0.74563044,0.85293938,0.80506792,0.89589371,0.97263462,0.77899041,0.65892273,0.91593755,0.96234586,0.90818268,1,0.94289017,0.8380419,0.7343682,0.79117799,0.9554303,0.78188396,0.77728309,0.75206038,0.77472,0.80016954,0.86892043,0.84398684,0.56931931,0.87130928
10,2,0.92977775,1,0.89765844,0.81648005,0.87415908,0.88874203,0.84772636,0.84889201,0.97049965,0.97900902,1,0.62229487,0.97853705,0.98358199,0.65683083,0.97301249,0.84965071,0.94630537,1,0.90541455,0.73848489,0.90547264,1,0.98998867,0.99777854,0.9672447,0.80204502,0.86223507,0.91592606,0.98893586,0.7939424,0.85388718,0.81270488,0.88013849,0.89164612,0.95287833,0.92810531,0.64306931,0.86415151
11,0,0.9995373,0.99674392,0.90230303,0.83600345,0.90985775,0.91097807,0.90317907,0.89220196,1,1,0.98220332,0.62290266,1,0.94162486,0.6516243,1,0.86969299,0.97196645,0.98697863,0.96014288,0.78257673,0.84224567,0.98377863,0.99648616,0.96223513,0.95973025,0.77774992,0.94072037,1,1,0.78436658,0.89449757,0.87147884,1,0.94574599,0.97966831,0.95317348,0.69309406,0.86012526
11,1,0.76204945,0.82011109,0.85604974,0.70083262,0.84033491,0.79878712,0.68779074,0.8113698,0.77956376,0.70501475,0.6692023,0.50045124,0.88976564,0.65919604,0.77229803,0.64946695,0.67409069,0.72601247,0.68924045,0.8965501,0.62855178,0.61720707,0.83903406,0.7554241,0.5925581,0.71073218,0.57399978,0.79318168,0.81595869,0.76004645,0.58453681,0.72140122,0.76723771,0.86446493,0.87114673,0.78345559,0.62371415,0.66910891,0.63428273
11,2,0.42707096,0.20497031,0.76954688,0.40598335,0.33532585,0.2413155,0.55088129,0.51370734,0.42890432,0.41911419,0.4800063,0.39178562,0.63068729,0.36880579,0.55646372,0.23613159,0.35056582,0.60797917,0.58441332,0.63870088,0.63867938,0.22356322,0.75910159,0.5791914,0.37714457,0.42979769,0.45161875,0.30977687,0.40706759,0.60723605,0.432572,0.50334798,0.33493842,0.31817423,0.40473952,0.59306331,0.27251528,0.51742574,0.54679392
12,0,0.51930225,0.37394177,0.74637743,0.31171404,0.41096161,0.29475198,0.57550905,0.50034596,0.51049394,0.53250182,0.61670998,0.41799429,0.53939083,0.41355789,0.50419062,0.35795918,0.47904261,0.72407602,0.54446746,0.67212822,0.70028699,0.35488077,0.66263946,0.5450406,0.40789474,0.70356455,0.57418088,0.44942197,0.58101234,0.7453682,0.58450135,0.68583042,0.25375498,0.30379377,0.43864057,0.60638654,0.443874,0.59153465,0.70107367
12,1,0.60650554,0.48340356,0.71822093,0.34867069,0.44179701,0.30776707,0.63494567,0.49525947,0.57444043,0.62578556,0.70071659,0.4374436,0.49906889,0.47338589,0.51849415,0.41214133,0.55071791,0.78596527,0.50095353,0.67748637,0.73672976,0.42662549,0.60336905,0.53913568,0.45487867,0.72290944,0.71904603,0.55983902,0.63412481,0.8036376,0.5949851,0.75745366,0.32715066,0.37571694,0.43533446,0.6386302,0.56405266,0.64233911,0.74731584
12,2,0.64700711,0.53896763,0.68003681,0.36185472,0.42685314,0.29867828,0.62476459,0.45493221,0.5582081,0.64671241,0.64582251,0.46253799,0.4311923,0.4953352,0.55131491,0.40652452,0.55067925,0.75995794,0.45529672,0.61238955,0.71290499,0.43010808,0.5626835,0.52681644,0.44159262,0.66147399,0.76404213,0.59020138,0.57941916,0.71577684,0.5615832,0.71634988,0.33381795,0.40764803,0.42214088,0.63926806,0.59197931,0.63160891,0.7004921
13,0,0.62871509,0.5232331,0.56489587,0.37742751,0.37556495,0.26795988,0.50994769,0.38491819,0.49854163,0.62318841,0.53170328,0.45146883,0.37935769,0.43766369,0.54847498,0.35761803,0.49740933,0.69835082,0.38727802,0.49471705,0.5414117,0.41074798,0.52620376,0.50924723,0.41890807,0.51702312,0.68849604,0.54467338,0.46067912,0.59621105,0.50585189,0.60220144,0.28865636,0.44389639,0.40114057,0.5116967,0.57996239,0.55919554,0.59090367
13,1,0.50444962,0.43031986,0.3974016,0.39033018,0.2769979,0.26082258,0.34816097,0.27487611,0.37302644,0.53556924,0.424372,0.24903766,0.3208238,0.30061242,0.4509478,0.26984465,0.34538448,0.55201467,0.28076939,0.24827975,0.30861914,0.32346028,0.49193335,0.59036708,0.34847061,0.29203276,0.50748078,0.42937721,0.32591128,0.44174365,0.41447014,0.3974109,0.29154551,0.44540847,0.31339396,0.30843566,0.50471086,0.3989604,0.37306144
13,2,0.41328254,0.47912277,0.33214186,0.40935401,0.48640993,0.36584513,0.32091751,0.31323048,0.37635534,0.41074559,0.4616899,0.47533843,0.49210921,0.35307838,0.4752026,0.38848614,0.34285825,0.54843674,0.25237871,0.23115247,0.30647265,0.25926402,0.44839988,0.72339408,0.39083219,0.2733526,0.59488187,0.42226055,0.32982705,0.46491571,0.45804369,0.26530085,0.42301139,0.40131812,0.31705456,0.26508531,0.396126,0.27794554,0.25295258
