,measure_number,beat_number,pid1263b-08,pid5667203-04,pid5667207-03,pid58917-02,pid6100022-02,pid6100022-05,pid610003b-12,pid9048b-12,pid9049b-08,pid9050b-08,pid9054b-08,pid9055b-08,pid9058b-08,pid9059b-12,pid9060b-06,pid9061b-05,pid9062b-11,pid9063b-12,pid9064-19,pid9065-24,pid9066b-08,pid9068-17,pid9069-08,pid9070b-20,pid9072b-12,pid9073b-12,pid9074g-08,pid9075b-08,pid9079-07,pid9089-03,pid9090-19,pid9093b-14,pid9094b-08,pid9099b-12,pid9101c-02,pid9103-18,pid9104b-08,pid9111b-10,pid9118b-12,pid9119-12,pid9129-22,pid9133-08,pid9138b-08,pid9139b-08,pid9149-13,pid9153b-08,pid9157-11,pid9166l-02,pid9170b-08,pid9174b-08,pid917506-06,pid9179-10,pid918807-13,pid918821-10,pid918824-06,pid9192b-08
92,31,2,0.91746977,0.66054585,0.89678748,0.89921843,0.93347045,0.73711004,0.97664799,0.84777249,0.90695528,0.80894543,0.84622604,0.80657051,0.96867244,0.78234407,0.86948394,0.88134058,0.8362408000000001,0.88655404,0.72571599,0.70973077,0.77769534,0.78103208,0.71508603,0.87078476,0.60661197,0.85746456,0.75192604,0.86462774,0.95179604,0.9014457,0.94882403,0.77014978,0.85436442,0.83338452,0.84089636,0.93937083,0.84188968,0.74874682,0.8978959000000001,0.93930159,0.71537766,0.64568675,0.79555332,0.87440974,0.78887575,0.86159487,0.84305814,0.79312651,0.7182897,0.9632794,0.55727089,0.89780768,0.86274457,0.7296272,0.80338687,0.77789328
93,32,0,0.90318907,0.70588984,0.90873147,0.88779153,0.89877493,0.73647369,0.9728600000000001,0.87026016,0.92323181,0.82209835,0.87618984,0.82861991,0.99456631,0.85605459,0.86267441,0.9116093000000001,0.83070924,0.8771459999999999,0.78029322,0.73158904,0.84165064,0.83713002,0.84879148,0.89397049,0.63959597,0.87567713,0.74716347,0.87550201,0.94787142,0.89315938,0.89780127,0.79264317,0.88718309,0.84973894,0.84419546,0.97375278,0.85610533,0.79633317,0.94146672,0.93477249,0.78446786,0.66945172,0.84172073,0.8654366,0.81570598,0.89247691,0.86342283,0.80981095,0.80020138,0.99900018,0.60909445,0.88514065,0.87301203,0.73597432,0.81458467,0.83063063
94,32,1,0.88759418,0.73951778,0.92240527,0.89432713,0.88089064,0.75748099,0.96596615,0.88080258,0.93137008,0.80137553,0.91044376,0.85477941,1.0,0.90334867,0.8389078000000001,0.91810085,0.82066628,0.88559264,0.81446471,0.77671167,0.87640377,0.86812335,0.93564113,0.88690253,0.69325703,0.84813516,0.77006584,0.87655236,0.94562449,0.8864598,0.84838734,0.82573568,0.90885165,0.85810811,0.86579521,1.0,0.87402117,0.83609146,0.95797957,0.93638095,0.81210166,0.75133795,0.88574668,0.83673378,0.8210267,0.92328844,0.88292371,0.8356761999999999,0.87521577,1.0,0.65800343,0.8819973,0.86926943,0.75027358,0.85392382,0.87013167
95,32,2,0.86977396,0.77388107,0.9369028,0.91834653,0.8755790000000001,0.79916188,0.95628574,0.88377827,0.94638812,0.7767329000000001,0.92318005,0.89156297,0.98336352,0.94048564,0.83390079,0.89334239,0.82501899,0.90104381,0.83504091,0.83087002,0.89324906,0.87277235,0.94893486,0.85727575,0.75013789,0.82034412,0.82273428,0.86666667,0.93648701,0.87565233,0.8067111,0.88493392,0.92473024,0.87476966,0.90133831,0.98919606,0.91033474,0.88944586,0.95057217,0.94954497,0.80814253,0.85287238,0.91503433,0.79664629,0.81321312,0.95670874,0.90548936,0.86541929,0.91808113,0.9730958000000001,0.70337438,0.88970185,0.8541734000000001,0.78135259,0.90390087,0.8993763000000001
96,33,0,0.90310145,0.79714346,0.95041186,0.93790132,0.87897702,0.86279683,0.95119155,0.90443802,0.95477809,0.78759328,0.91191849,0.91330128,0.96961159,0.95238851,0.87963148,0.86148853,0.86099681,0.9289245999999999,0.83719741,0.89278581,0.90366401,0.87796374,0.93872388,0.83834697,0.81225869,0.82615554,0.88198627,0.87191844,0.93088469,0.87954866,0.78924385,0.93753304,0.92078252,0.8914312,0.93762838,0.96580871,0.94165734,0.93504086,0.94213117,0.97701587,0.79708901,0.91671969,0.92731624,0.79937188,0.80836536,0.98039907,0.94121336,0.88562288,0.93598964,0.95173605,0.76345075,0.9058065000000001,0.84730749,0.83621507,0.94116567,0.92668053
97,33,1,0.96539338,0.81298169,0.97018122,0.94964044,0.88643477,0.94086606,0.94422513,0.9495834000000001,0.96442655,0.84312685,0.90159539,0.93701923,0.98081438,0.96167275,0.9472594999999999,0.85960145,0.9086271999999999,0.9745914000000001,0.82540914,0.94679236,0.91098287,0.90856966,0.92566571,0.84525314,0.86589906,0.87279218,0.93087267,0.90373803,0.93761047,0.89827221,0.80303379,0.97832599,0.89621897,0.91216216,0.97068161,0.93809978,0.98235952,0.97363181,0.95623231,1.0,0.80234115,0.97389596,0.92807205,0.83317817,0.807114,0.99936544,0.97531624,0.91192438,0.94123993,0.94219233,0.82754052,0.92311499,0.87007719,0.9058875,0.98090867,0.95994456
98,33,2,0.97538111,0.83744609,0.99069193,0.95215894,0.89399982,0.98610896,0.94470407,0.98894746,0.96560114,0.90676976,0.91098002,0.96898567,0.99443215,0.98389145,0.99479271,0.85831824,0.96423754,1.0,0.80832765,0.97715107,0.91248511,0.94754378,0.925,0.85421196,0.89120243,0.92496005,0.96694215,0.93333333,0.9453249,0.91599083,0.82356546,1.0,0.85446969,0.92275799,0.99103641,0.91344137,1.0,1.0,0.98336409,0.99602116,0.83129084,1.0,0.91610506,0.86401211,0.82246527,1.0,1.0,0.9290063000000001,0.94224684,0.95255408,0.85738778,0.94244325,0.89273021,0.94944189,1.0,0.98724879
99,34,0,0.95523042,0.85526409,1.0,0.94167907,0.88369847,0.9891355,0.95033526,1.0,0.94160584,0.94479907,0.91399651,0.99057315,0.98463809,1.0,1.0,0.84171196,1.0,0.98145859,0.77030344,1.0,0.91309884,0.9590888000000001,0.9332753,0.84621374,0.86555433,0.95239825,0.97380586,0.94167439,0.92778394,0.9110543,0.83329503,0.99436123,0.8243881,0.91561732,1.0,0.87079759,0.98993202,0.99739065,1.0,0.98560847,0.8671174999999999,0.98746257,0.86955974,0.88355112,0.84675337,0.96693224,0.99440296,0.93498788,0.92620829,0.96691511,0.84858167,0.95932371,0.89001077,0.94455388,0.98063332,1.0
100,34,1,0.92097424,0.85533479,0.99390445,0.88765624,0.8545292,0.93822753,0.93245479,0.96420677,0.88723886,0.93041446,0.90179649,0.97360483,0.92533709,0.98682749,0.97209427,0.80102657,0.99088652,0.89012498,0.68524548,0.98865543,0.91856737,0.92491864,0.93569234,0.83517195,0.78012962,0.94263299,0.91840594,0.91739265,0.89448456,0.84478138,0.80556194,0.96555066,0.77282218,0.87714988,0.95922814,0.80788052,0.94905774,0.92316144,0.9245478000000001,0.97079365,0.88670717,0.92115457,0.80134786,0.88546913,0.83543206,0.91151378,0.9221858,0.92698982,0.84335443,0.95982549,0.79044576,0.93275906,0.84598815,0.90647115,0.92372648,0.94261954
101,34,2,0.87620466,0.81778972,0.97001647,0.74356066,0.80946079,0.83540276,0.84170271,0.81953749,0.81475795,0.86668165,0.8358359000000001,0.92999623,0.75669149,0.94588161,0.92496161,0.73618659,0.88573015,0.77139129,0.54656495,0.93153311,0.93633782,0.86680614,0.93797624,0.83790206,0.59386376,0.88166497,0.81937246,0.87272166,0.84091794,0.70772214,0.7131464,0.89057269,0.73973156,0.79199939,0.7968254,0.7337781999999999,0.89630841,0.72423264,0.79981543,0.94929101,0.8465780999999999,0.82039671,0.71745292,0.8539621999999999,0.7412553000000001,0.81506028,0.65310204,0.89721764,0.6406214,0.9230139999999999,0.71715243,0.79775551,0.79285586,0.85051434,0.83185865,0.78281358
