,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
5,0,0.21539597,0.51064557,0.25561794,0.41092204,0.44733232,0.60912686,0.41198068,0.5120183,0.47886215,0.3694112,0.34762657,0.36613199,0.33815935,0.46534074,0.61680779,0.16363422,0.50271249,0.35843271,0.42955248,0.15909847,0.31782667,0.45513638,0.29129748,0.26161692,0.1458184,0.19134122,0.8097697,0.355228,0.32521665,0.37038815,0.48496287,0.1755681,0.38310827,0.24940143,0.099963424,0.71222694,0.35674536,0.26131864,0.32795889,0.2940291,0.14409825,0.585146,0.26000768,0.22095125,0.20621346,0.35338374,0.50586154,0.28908834
5,1,0.28435802,0.38609542,0.22178295,0.21034824,0.42940791,0.5583815,0.38397014,0.38775295,0.38982472,0.28945297,0.48098622,0.29909351,0.35744869,0.30528717,0.20079147,0.19112245,0.33469694,0.2389302,0.38615948,0.18206612,0.41695555,0.34331909,0.26155688,0.22269877,0.10227997,0.07869428,0.37731747,0.24876304,0.22234073,0.26025556,0.40161643,0.2165196,0.32584498,0.088255295,0.19207023,0.66846381,0.3331731,0.24534283,0.2194806,0.26597563,0.15734248,0.41133145,0.2348391,0.21194519,0.13756472,0.22047462,0.3116266,0.19362544
5,2,0.17058797,0.19559098,0.24066506,0.1223981,0.17548727,0.54431396,0.22647343,0.19948971,0.22125668,0.24675878,0.24165131,0.25941046,0.22775693,0.16372384,0.18150681,0.22799843,0.15881781,0.12332778,0.30327095,0.15633892,0.22460709,0.19950049,0.11888096,0.2595268,0.058479689,0.12769231,0.21500904,0.14059995,0.1343015,0.22315676,0.31855832,0.25240612,0.42116931,0.099560813,0.24637162,0.67788045,0.20627115,0.10689554,0.17602481,0.26201869,0.12443152,0.3799369,0.17037991,0.25426472,0.13603641,0.13588112,0.21376538,0.2860424
6,0,0.34487733,0.36389956,0.36636389,0.28138108,0.28794734,0.60682081,0.14766798,0.3413602,0.20715983,0.29299542,0.30252698,0.28578546,0.21049069,0.18363258,0.21000191,0.2455102,0.15177593,0.18132667,0.38959317,0.20935027,0.17678491,0.19581334,0.33693265,0.23993813,0.12603544,0.1075641,0.32922521,0.15328851,0.26867917,0.31043254,0.25548274,0.29669566,0.57666068,0.072706666,0.24217996,0.61594512,0.23710921,0.17623135,0.1806897,0.31273857,0.063267662,0.44884598,0.16018859,0.37404429,0.1468014,0.11081,0.24173032,0.32281272
6,1,0.37965469,0.58121394,0.51840309,0.52263554,0.30771436,0.71743231,0.23647782,0.58425128,0.22803773,0.38824805,0.50701062,0.35502588,0.3547267,0.46611447,0.34387963,0.33850078,0.34787065,0.52281275,0.59701383,0.28726203,0.25043556,0.26838646,0.42447615,0.32708804,0.24630625,0.2338856,0.46968533,0.14051375,0.43579659,0.44453776,0.41183049,0.48922772,0.63481383,0.17616349,0.3065545,0.65976701,0.47155614,0.32681166,0.39902688,0.3745121,0.18830932,0.55043053,0.31000493,0.47260451,0.29932353,0.21066028,0.44764815,0.36493993
6,2,0.39690918,0.50338768,0.55881105,0.55167194,0.30193064,0.74767265,0.236917,0.5096164,0.214847,0.49574263,0.63541283,0.4450802,0.49286397,0.48144033,0.54873896,0.34957614,0.46564764,0.72433432,0.62190399,0.2900538,0.35600359,0.34170227,0.44080263,0.3814982,0.34114894,0.30502959,0.55789387,0.10309456,0.49238168,0.54255204,0.41436435,0.48820631,0.66540473,0.24838138,0.34445501,0.67022668,0.52023517,0.39416756,0.50227466,0.28447006,0.19021003,0.49748559,0.38736363,0.53568662,0.27438617,0.23394221,0.53300635,0.45787279
7,0,0.44468052,0.49691389,0.45809433,0.55585675,0.34494513,0.7182233,0.37262187,0.50429351,0.27140523,0.53511125,0.61388085,0.51353306,0.54845141,0.56270211,0.6250339,0.39097331,0.56389822,0.8025281,0.66978031,0.2820221,0.35813202,0.4144397,0.55410075,0.42598445,0.38629032,0.375286,0.63120207,0.1877252,0.5233692,0.61490191,0.35181302,0.46809384,0.63383811,0.30456188,0.35839064,0.70107682,0.57978517,0.38436555,0.46078944,0.34217912,0.2604409,0.49650117,0.38543391,0.62925231,0.26710372,0.28103758,0.5632146,0.52421201
7,1,0.43990562,0.55977201,0.3787458,0.51056589,0.41021415,0.69272893,0.46736056,0.56215907,0.36475787,0.50471524,0.54626656,0.53977949,0.56771868,0.62147604,0.64232983,0.44226845,0.64923131,0.73042484,0.75313263,0.30350796,0.34870229,0.52103845,0.62455266,0.47667419,0.41333134,0.44813609,0.65876945,0.23166968,0.52375012,0.59133721,0.34926169,0.53601289,0.58435719,0.32368775,0.36976591,0.71347564,0.67583058,0.3394031,0.47198638,0.47548951,0.28423885,0.54388358,0.40149663,0.72209314,0.31909136,0.31307831,0.58560746,0.533053
7,2,0.33001588,0.43029615,0.37630823,0.30452117,0.35078003,0.70027381,0.40884497,0.42898997,0.27362597,0.37878544,0.4921997,0.49013147,0.47598764,0.34880468,0.45376202,0.5044113,0.48170171,0.51905159,0.64631408,0.21917514,0.3633498,0.42201775,0.48758546,0.44375052,0.44403624,0.48285996,0.52802231,0.28722524,0.3816208,0.41546583,0.27494102,0.46428195,0.42552494,0.27796982,0.31198244,0.78372582,0.52315628,0.24058324,0.45173945,0.46073698,0.19405485,0.44492018,0.40883723,0.59443948,0.33551027,0.26255427,0.54009005,0.43528622
8,0,0.30342406,0.31114417,0.46670467,0.23825683,0.38322005,0.57547916,0.368722,0.31350519,0.34091652,0.53523175,0.47688865,0.37653091,0.44260281,0.33985716,0.39642029,0.50633438,0.42317547,0.35205368,0.55880391,0.2290537,0.39010328,0.3930069,0.43106597,0.45232004,0.46127041,0.4760355,0.39534911,0.39431946,0.46223217,0.45933169,0.32825688,0.44876061,0.34539849,0.30739534,0.33063643,0.91513273,0.40666309,0.29712279,0.48547014,0.46236062,0.22614997,0.37283251,0.38075763,0.5799722,0.47373476,0.24894445,0.51903192,0.46477739
