,,pid1263-18,pid50848-02,pid9048-18,pid9049-18,pid9050-18,pid9054-18,pid9055-18,pid9058-18,pid9059-18,pid9060-18,pid9061-18,pid9062-18,pid9063-18,pid9065-13,pid9066-18,pid9067-18,pid9068-12,pid9070b-01,pid9072-18,pid9073-20,pid9074f-18,pid9075-18,pid9081-09,pid9085-13,pid9088-13,pid9092-08,pid9093-18,pid9094-18,pid9099-18,pid9100b-18,pid9101-18,pid9104-18,pid9105b-01,pid9111-18,pid9118-18,pid9122-02,pid9123-01,pid9138-18,pid9139-18,pid9153-18,pid9166f-15,pid9170-18,pid9174-18,pid9186c-18,pid9192-18
5,0,0.60886792,0.64537001,0.63372793,0.48770012,0.46379443,0.45866297,0.63470133,0.64507536,0.39167138,0.47658178,0.66565322,0.63830975,0.66380486,0.70193548,0.88850649,0.51174143,0.69972584,0.34737612,0.62678866,0.46614739,0.66926339,0.75074331,0.46683043,0.27653501,0.74685373,0.6775494,0.4542801,0.78731718,0.52517955,0.59309924,0.70104897,0.66677492,0.75051883,0.53564556,0.59680214,0.63390047,0.6054022,0.50111899,0.48519267,0.39106983,0.61694076,0.45368477,0.38987848,0.41469564,0.81900307
5,1,0.51646117,0.55640256,0.56666667,0.3985162,0.4030132,0.40506495,0.54611773,0.55203295,0.34792593,0.49573379,0.57267004,0.54132128,0.56447083,0.51514231,0.70456401,0.57049339,0.6318026,0.35010057,0.43405602,0.39382864,0.55301005,0.62960498,0.3954156,0.24753596,0.59239303,0.56394598,0.38265507,0.59989836,0.44352345,0.46186695,0.53012097,0.51149772,0.66728432,0.45251106,0.54148319,0.55668465,0.44972058,0.47625398,0.42137946,0.27692461,0.49196656,0.31196216,0.3437537,0.34867931,0.66917245
5,2,0.34191799,0.33179969,0.30150932,0.26581023,0.13258329,0.33633776,0.21758977,0.35337364,0.27676882,0.57631268,0.46817994,0.40341623,0.34203643,0.46350095,0.42922078,0.61419721,0.38893458,0.24344487,0.25410632,0.12937887,0.47945054,0.22978904,0.30920284,0.12371322,0.17004754,0.4481978,0.15649733,0.33227173,0.37185467,0.28682507,0.1878987,0.20558262,0.40625556,0.15235713,0.37731899,0.48136152,0.44778154,0.44602173,0.25214799,0.16570974,0.46430537,0.20212847,0.12328097,0.10935286,0.30681562
6,0,0.51631781,0.53512205,0.51383052,0.53636861,0.46479424,0.51434097,0.46475089,0.55204171,0.52756529,0.61975584,0.68905642,0.46713556,0.43840969,0.53041746,0.49430427,0.64987684,0.5717234,0.43541781,0.42940768,0.45846814,0.74380013,0.4369319,0.37056987,0.16426225,0.30330941,0.54992553,0.35267097,0.41635327,0.52631179,0.50022747,0.36905186,0.46863063,0.47775719,0.36651915,0.59753603,0.64242265,0.51474174,0.51931559,0.5255219,0.35222013,0.55071217,0.44332469,0.50993628,0.37584944,0.53106146
6,1,0.82343664,0.8110616,0.96776167,0.85177665,0.8379627,0.84542403,0.81527693,0.81888363,0.85331932,0.76844316,1,0.76224567,0.69546658,0.90320683,0.64266234,0.77368067,0.81973955,0.75747852,0.73102073,0.81589774,0.97022218,0.84737364,0.61196857,0.4360955,0.76350331,0.84711548,0.72389372,0.69385058,0.7991635,0.8400335,0.73486829,0.85223846,0.71244441,0.73491437,0.90008181,0.91162033,0.86570703,0.86968968,0.85616059,0.68586471,0.74647354,0.72196369,0.95005928,0.61682075,0.86626875
6,2,0.94279644,0.89444014,1,0.95572042,0.94163209,0.95358342,0.9328754,0.8915177,1,0.88356524,0.98939607,0.96546094,0.80975688,1,0.81793135,0.92796895,0.90168304,0.90156336,0.82259995,0.93187537,0.97510832,0.94973807,0.80576232,0.76513105,0.98228769,1,0.94470951,0.81017562,0.91854668,0.95988171,0.88922238,1,0.93025497,0.91609582,1,0.97342132,0.95808637,1,0.97722731,0.90577133,0.94493566,0.81454074,1,0.71563213,0.9645104
7,0,0.9022235,0.8133088,0.89465325,0.83857868,0.89576749,0.90614509,0.88905313,0.81428321,0.91153877,0.91054082,0.88244553,1,0.79265024,0.86959203,0.74655844,1,0.79232351,0.88072774,0.76602203,0.89703415,0.83046004,0.88142432,0.83225062,0.91669709,1,0.98372555,0.9624848,0.76576882,0.92724968,0.92376492,0.86993193,0.91254929,1,0.89589186,0.94368248,0.91377618,0.84473328,0.97339145,0.91385442,1,1,0.75026701,0.90441612,0.68957858,0.88070657
7,1,0.78767302,0.6883766,0.75082372,0.57609528,0.79385637,0.76419501,0.69707851,0.6839292,0.71162772,0.82259123,0.72957501,0.90063915,0.66846666,0.72942125,0.72105751,0.91020378,0.60315284,0.77303895,0.64569422,0.76990214,0.74945146,0.70476426,0.76565991,0.74841206,0.84332992,0.83065237,0.85630087,0.6017844,0.81429658,0.80337904,0.76266444,0.672806,0.88734065,0.70787955,0.79934551,0.76512383,0.72011854,0.84522803,0.75418591,0.89092083,0.87843184,0.49037229,0.81461174,0.62294393,0.71309889
7,2,0.64352371,0.63250678,0.62994969,0.46837173,0.69665698,0.67536856,0.59193114,0.63196635,0.48250991,0.70720662,0.65032723,0.79635212,0.49247372,0.70164137,0.76857143,0.71500336,0.5756378,0.61133662,0.47354956,0.66358099,0.78158016,0.46023644,0.66456043,0.41395196,0.71513937,0.71536094,0.70706334,0.51534248,0.68754542,0.65577889,0.60971441,0.5486894,0.73205603,0.37108909,0.63932,0.56423518,0.69723963,0.74582005,0.53083967,0.69901659,0.78942751,0.37627403,0.79764375,0.56279866,0.58690111
8,0,0.78786852,0.70867881,0.62052876,0.52928544,0.75186458,0.73916217,0.67704547,0.71111987,0.4766637,0.8354555,0.77975313,0.72784616,0.52075744,0.71365275,0.82567718,0.61799657,0.68851573,0.61142805,0.52479403,0.7176453,0.92790633,0.38347728,0.65946994,0.38688764,0.6816258,0.7018171,0.68520909,0.57086227,0.72311787,0.6696652,0.63082605,0.66261502,0.69725763,0.51200693,0.56217666,0.5480815,0.70190517,0.75349684,0.6684242,0.7121784,0.8780706,0.47445072,0.8507706,0.53927842,0.66538958
