piano+Maestoso,forte,piano,piano,forte+rit.,pp+a tempo,piano,forte,ff,meno forte,piano,pp
1,49,97,122,188,193,217,265,355,367,379,391
p,f,p,p,f,pp,p,f,ff,f,p,pp
