mf+Moderato,forte,piano,forte,piano,forte,forte,piano,forte,forte+Diminuendo,piano,piano,forte,forte,piano,piano
1,41,44,113,116,146,200,218,242,264,317,362,386,449,452,567
mf,f,p,f,p,f,f,p,f,f,p,p,f,f,p,p
