,,pid1263-20,pid50848-04,pid5667249-17,pid5667269b-37,pid5667291-16,pid9048-20,pid9049-20,pid9050-20,pid9054-20,pid9055-20,pid9058-20,pid9059-20,pid9060-20,pid9062-20,pid9063-20,pid9065-15,pid9066-20,pid9067-20,pid9068-13,pid9072-20,pid9075-20,pid9081-11,pid9088-15,pid9090-09,pid9093-20,pid9094-20,pid9099-20,pid9100b-20,pid9101b-02,pid9104-20,pid9105b-03,pid9111-20,pid9112-07,pid9113-16,pid9114b-13,pid9116-08,pid9118-20,pid9122-04,pid9123-03,pid9130-04,pid9138-20,pid9139-20,pid9153-20,pid9161-10,pid9162-07,pid9166f-17,pid9170-20,pid9174-20,pid9176-08,pid9186c-20,pid918726-09,pid918904-05,pid918919-20,pid9192-20
4,1,6.222358,4.182358,6.282358,7.022358,5.302358,6.182358,5.822358,4.662358,5.282358,5.522358,4.282358,4.302358,5.102358,5.582358,8.082358,4.386179,5.722358,4.542358,3.382358,4.582358,5.362358,4.302358,5.842358,5.462358,3.842358,4.662358,4.742358,5.322358,4.742358,6.102358,5.922358,5.042358,4.722358,4.962358,4.122358,4.602358,7.202358,5.022358,4.542358,7.642358,4.902358,4.802358,5.122358,6.362358,4.662358,3.322358,4.522358,4.822358,5.562358,5.262358,5.462358,5.062358,5.042358,4.742358
4,2,6.650522,4.610522,6.770522,7.430522,5.710522,6.590522,6.14436,5.070522,6.150522,5.930522,4.710522,4.730522,5.470522,6.090522,8.490522,4.740261,6.130522,4.950522,3.770522,5.050522,5.950522,4.502972,6.250522,5.790052,4.250522,5.051866,5.250522,5.730522,5.150522,6.890522,6.490522,5.451043,5.130522,5.370522,4.530522,4.875043,7.630522,5.32513,4.920261,8.130522,5.310522,5.210522,5.530522,6.810522,5.070522,3.730522,4.816194,5.210522,5.990522,5.670522,5.870522,5.470522,5.490522,5.110522
5,0,7.343696,5.106848,7.306848,7.906848,6.146848,7.026848,6.566848,5.346848,6.626848,6.446848,5.226848,5.206848,5.946848,6.686848,8.986848,5.106848,6.766848,5.206848,4.006848,5.526848,6.466848,4.866848,6.803696,6.086848,4.763696,5.266848,5.846848,6.286848,5.646848,7.366848,7.746848,6.046848,5.606848,5.806848,4.846848,5.186848,8.506848,5.706848,5.246848,8.986848,5.686848,5.686848,6.166848,7.443696,5.366848,4.206848,5.126848,5.546848,6.466848,6.146848,6.286848,5.906848,5.726848,5.306848
5,1,7.85542,5.57542,7.75542,8.31542,6.53542,7.43542,7.01542,5.69542,7.03542,7.11542,5.69542,5.73542,6.47542,7.17542,9.49542,5.51542,7.47542,5.63542,4.29271,6.01542,6.97542,5.37542,7.37542,6.35542,5.29542,5.61542,6.27542,6.77542,6.29542,8.17542,8.27542,6.85542,6.05542,6.21542,5.25542,5.487917,8.93542,6.23542,5.63542,9.45542,6.07542,6.09542,6.71542,7.95542,5.71271,4.43542,5.59542,5.99542,6.91542,6.49542,6.587917,6.51542,6.09542,5.71542
5,2,8.261247,5.961247,8.332494,8.781247,6.981247,7.872494,7.541247,6.041247,7.441247,7.541247,6.061247,6.241247,6.881247,7.681247,9.921247,5.833749,8.221247,5.961247,4.561247,6.401247,7.401247,5.761247,7.821247,6.695624,5.701247,5.861247,6.681247,7.241247,6.721247,8.681247,8.901247,7.581247,6.413749,6.641247,5.661247,5.781247,9.361247,6.621247,5.937812,10.021247,6.441247,6.501247,7.121247,8.361247,6.061247,4.721247,6.001247,6.381247,7.401247,6.801247,6.981247,6.881247,6.441247,6.041247
6,0,8.558231,6.378231,8.758231,9.218231,7.418231,8.238231,7.938231,6.318231,7.818231,7.998231,6.498231,6.644116,7.278231,8.258231,10.338231,6.178231,8.718231,6.358231,4.784116,6.858231,7.818231,6.178231,8.178231,6.966077,6.138231,6.218231,7.118231,7.678231,7.138231,9.078231,9.298231,8.318231,6.758231,7.078231,6.058231,6.174705,9.818231,6.998231,6.298231,10.394116,6.838231,6.918231,7.538231,8.722058,6.478231,5.038231,6.343646,6.778231,7.838231,7.118231,7.398231,7.218231,6.858231,6.458231
6,1,8.910522,6.730522,9.230522,9.650522,7.810522,8.590522,8.390522,6.650522,8.290522,8.530522,6.850522,7.270522,7.810522,8.830522,10.851043,6.510522,9.430522,6.730522,5.110522,7.250522,8.370522,6.410522,8.670522,7.310522,6.510522,6.550522,7.690522,8.110522,7.510522,9.810522,10.330522,9.050522,7.350522,7.490522,6.410522,6.32513,10.290522,7.510522,6.630522,10.870522,7.170522,7.270522,8.091043,9.130522,6.830522,5.290522,6.650522,7.370522,8.250522,7.470522,7.750522,7.570522,7.210522,6.810522
6,2,9.29822,7.06644,9.80644,10.12644,8.28644,8.98644,8.82644,6.95548,8.66822,8.99548,7.18644,7.68644,8.21822,9.34644,11.30288,6.84644,9.84644,7.08644,5.36644,7.66644,8.80644,6.84644,9.12644,7.58644,6.92644,6.82644,8.12644,8.44911,7.86644,10.58644,10.82644,9.60644,7.80644,7.94644,6.82644,6.71548,10.66644,7.88644,6.97822,11.28644,7.54644,7.68644,8.50822,9.54644,7.24644,5.64644,7.04644,7.82644,8.78644,7.80644,8.16644,7.94822,7.60644,7.14644
7,0,9.596848,7.324475,10.176848,10.476848,8.584475,9.356848,9.156848,7.105168,9.036848,9.283424,7.442407,7.956848,8.55537,9.776848,11.676848,7.084685,10.291712,7.456848,5.612283,7.99937,9.176848,7.16337,9.496848,7.841141,7.121141,7.042407,8.483424,8.816848,8.136848,10.963424,11.196848,10.096848,8.098949,8.242407,7.216848,6.922407,11.036848,8.238949,7.204094,11.61937,7.812283,8.056848,8.956848,9.866712,7.504475,5.785168,7.342407,8.13955,9.103424,8.056848,8.516848,8.23937,7.911712,7.513424
7,1,9.994195,7.732098,10.774195,10.954195,9.054195,9.774195,9.734195,7.464732,9.454195,9.814195,7.852098,8.434195,8.994195,10.254195,12.234195,7.494195,10.734195,8.094195,5.994195,8.414195,9.674195,7.714195,9.994195,8.214195,7.494195,7.412098,9.074195,9.334195,8.532098,11.594195,11.574195,10.934195,8.542098,8.714195,7.754195,7.392098,11.574195,8.594195,7.614195,12.114195,8.214195,8.594195,9.634195,10.334195,7.914195,6.114195,7.714195,8.474195,9.634195,8.494195,8.934195,8.614195,8.294195,7.974195
7,2,10.340556,8.092222,11.232222,11.352222,9.492222,10.051111,10.072222,7.752222,9.852222,10.212222,8.212222,8.792222,9.352222,10.711111,12.652222,7.792222,10.961111,8.412222,6.272222,8.771111,10.012222,8.052222,10.312222,8.492222,7.812222,7.672222,9.472222,9.672222,8.852222,11.912222,11.912222,11.392222,8.832222,9.152222,8.172222,7.672222,11.972222,8.932222,7.892222,12.532222,8.552222,8.992222,10.172222,10.692222,8.312222,6.431111,8.052222,8.791111,10.092222,8.792222,9.332222,8.981111,8.692222,8.312222
8,0,10.641542,8.401542,11.721542,11.741542,9.833847,10.341542,10.481542,8.021542,10.261542,10.561542,8.541542,9.201542,9.741542,11.101542,13.061542,8.101542,11.301542,8.661542,6.541542,9.161542,10.421542,8.441542,10.641542,8.721542,7.928221,7.981542,9.861542,10.001542,9.241542,12.261542,12.381542,11.821542,9.061542,9.493847,8.521542,7.941542,12.321542,9.281542,8.221542,12.961542,8.785771,9.401542,10.581542,11.113084,8.661542,6.701542,8.401542,9.181542,10.521542,9.161542,9.741542,9.301542,9.041542,8.621542
8,1,11.018294,8.863175,12.249524,12.203175,10.163175,10.623175,10.963175,8.343175,10.763175,11.103175,8.983175,9.763175,10.163175,11.403175,13.463175,8.463175,11.743175,8.963175,6.956587,9.603175,10.976349,8.903175,11.026587,8.983175,8.243175,8.476349,10.283175,10.383175,9.646587,12.666587,12.943175,12.303175,9.323175,9.823175,8.863175,8.303175,12.766587,9.683175,8.583175,13.416349,9.183175,9.823175,10.963175,11.603175,9.023175,7.103175,8.763294,9.603175,11.063175,9.603175,10.216349,9.743175,9.403175,9.023175
