,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
5,0,4.822948,5.762948,5.862948,6.222948,5.702948,5.282948,5.056474,5.422948,4.562948,5.202948,5.562948,5.402948,6.222948,5.262948,4.682948,4.962948,6.662948,7.762948,4.642948,6.202948,4.602948,5.802948,5.582948,5.602948,5.582948,6.062948,4.866474,7.502948,4.496474,5.722948,4.702948,4.662948,6.402948,5.382948,5.802948,4.122948,5.322948,5.262948
5,1,5.068027,6.088027,6.268027,6.488027,6.048027,5.628027,5.348027,5.928027,4.908027,5.588027,5.888027,5.768027,6.548027,5.568027,5.028027,5.308027,6.988027,8.148027,4.968027,6.548027,5.088027,6.119014,5.908027,5.988027,5.868027,6.548027,5.102676,7.966054,4.808027,6.002676,4.988027,4.988027,6.808027,5.708027,6.168027,4.348027,5.568027,5.608027
5,2,5.404717,6.464717,6.763583,6.884717,6.55415,6.024717,5.684717,6.308866,5.344717,6.103583,6.224717,6.27415,6.884717,5.944717,5.364717,5.604717,7.424717,8.484717,5.413016,6.924717,5.484717,6.387358,6.264717,6.35415,6.224717,6.959433,5.424717,8.517166,5.124717,6.324717,5.444717,5.324717,7.244717,6.044717,6.544717,4.684717,5.904717,6.004717
6,0,5.709796,6.769898,7.149796,7.169796,6.829796,6.369796,6.009796,6.649796,5.629932,6.489796,6.509898,6.629796,7.209796,6.269796,5.749796,5.889898,7.729898,8.829796,5.769796,7.229796,5.749898,6.669898,6.589796,6.729796,6.549796,7.349796,5.649796,8.949796,5.409796,6.609898,5.729796,5.649796,7.649796,6.349796,6.889796,4.989898,6.189898,6.349796
6,1,6.003265,7.061088,7.423265,7.403265,7.103265,6.703265,6.323265,6.943265,5.901088,6.783265,6.823265,6.943265,7.523265,6.583265,6.023265,6.161088,8.083265,9.163265,6.003265,7.523265,6.043265,6.983265,6.896633,7.023265,6.727755,7.663265,5.844653,9.134422,5.663265,6.901088,5.981088,5.963265,8.023265,6.663265,7.203265,5.201088,6.483265,6.643265
6,2,6.20771,7.38771,7.76542,7.678855,7.34771,7.02771,6.598855,7.28771,6.158855,7.08771,7.08771,7.20771,7.80771,6.94771,6.32771,6.44771,8.38771,9.46771,6.28771,7.798855,6.22771,7.26771,7.26771,7.34771,7.018855,8.00542,6.08771,9.38771,5.94771,7.18771,6.24771,6.24771,8.30771,6.96771,7.478855,5.46771,6.80771,6.92771
7,0,6.521179,7.701179,8.101179,7.981179,7.661179,7.361179,6.881179,7.621179,6.421179,7.441179,7.361179,7.501179,8.121179,7.541179,6.621179,6.721179,8.741179,9.761179,6.561179,8.101179,6.461179,7.581179,7.521179,7.681179,7.441179,8.341179,6.281179,9.761179,6.221179,7.481179,6.501179,6.581179,8.621179,7.341179,7.781179,5.661179,7.141179,7.23559
7,1,6.846259,7.966259,8.426259,8.186259,8.006259,7.762517,7.166259,8.006259,6.726259,7.766259,7.666259,7.766259,8.446259,7.946259,6.946259,7.026259,9.142517,10.046259,6.886259,8.446259,6.708753,7.926259,7.788129,8.026259,7.766259,8.686259,6.538129,10.106259,6.468753,7.708129,6.688129,6.906259,9.071293,7.528129,8.088129,5.958129,7.348129,7.486259
7,2,7.271973,8.351973,8.971973,8.531973,8.451973,8.133946,7.531973,8.411973,7.051973,8.293946,7.971973,8.291973,8.811973,8.431973,7.411973,7.351973,9.513946,10.391973,7.391973,8.871973,7.111973,8.231973,8.211973,8.511973,8.151973,9.111973,6.811973,10.671973,6.791973,8.091973,7.051973,7.371973,9.451973,7.891973,8.473946,6.291973,7.731973,7.953946
8,0,7.533832,8.633832,9.273832,8.773832,8.753832,8.473832,7.813832,8.733832,7.313832,8.613832,8.233832,8.633832,9.113832,8.893832,7.693832,7.653832,9.873832,10.713832,7.673832,9.173832,7.413832,8.531916,8.493832,8.793832,8.533832,9.433832,7.093832,11.133832,7.073832,8.353832,7.273832,7.693832,9.753832,8.193832,8.753832,6.513832,7.993832,8.273832
8,1,7.773107,8.953107,9.613107,9.073107,9.093107,8.793107,8.113107,9.033107,7.513107,8.933107,8.533107,8.973107,9.433107,9.453107,8.173107,8.053107,10.173107,11.033107,7.973107,9.613107,7.833107,8.773107,8.813107,9.153107,8.833107,9.813107,7.293301,11.293107,7.391036,8.633107,7.513107,7.953107,10.093107,8.473107,9.093107,6.733107,8.313107,8.693107
8,2,8.233016,9.313016,10.073016,9.373016,9.553016,9.213016,8.473016,9.433016,7.873016,9.413016,8.893016,9.493016,9.793016,10.033016,8.653016,8.413016,10.573016,11.593016,8.353016,10.113016,8.353016,9.053016,9.193016,9.593016,9.273016,10.213016,7.553016,11.833016,7.633016,8.993016,7.813016,8.353016,10.553016,8.853016,9.493016,7.053016,8.641508,9.233016
