,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
5,0,5.117596,5.297596,6.037596,6.097596,6.617596,5.537596,4.937596,4.917596,5.437596,4.417596,3.857596,4.577596,3.497596,4.857596,4.037596,6.105193,4.657596,4.817596,3.997596,4.117596,5.117596,6.377596,3.777596,3.797596,3.777596,5.437596,4.817596,5.177596,4.737596,5.057596,5.577596,4.785193,4.157596,4.557596,6.880385,4.397596,4.417596,4.677596,4.765193,4.697596,5.057596,4.597596,4.297596,4.577596,4.797596,5.157596,4.357596,4.917596
5,1,5.454286,5.634286,6.374286,6.534286,6.994286,5.854286,5.292143,5.214286,5.754286,4.754286,4.194286,4.914286,3.752143,5.154286,4.338095,6.454286,4.992143,5.132143,4.292143,4.454286,5.474286,6.714286,4.134286,4.076071,4.078095,5.774286,5.142143,5.614286,5.134286,5.434286,5.934286,5.214286,4.434286,4.854286,7.414286,4.694286,4.754286,5.014286,5.154286,5.014286,5.394286,4.954286,4.558095,4.894286,5.134286,5.574286,4.672143,5.254286
5,2,5.78339,6.01678,6.73678,6.91678,7.33678,6.15339,5.63678,5.55678,6.09678,5.09678,4.49678,5.25678,4.01678,5.47678,4.61678,6.85678,5.31678,5.39678,4.55678,4.77678,5.83678,7.13678,4.43678,4.31678,4.31678,6.11678,5.45678,5.95678,5.47678,5.79678,6.32356,5.51678,4.81678,5.19339,7.75678,5.03678,5.03678,5.33678,5.49678,5.35678,5.65678,5.29678,4.87678,5.21678,5.49678,5.91678,4.99678,5.65678
6,0,6.061859,6.341859,7.081859,7.301859,7.661859,6.441859,5.981859,5.881859,6.401859,5.421859,4.781859,5.621859,4.341859,5.761859,4.881859,7.201859,5.641859,5.701859,4.821859,5.101859,6.161859,7.481859,4.721859,4.561859,4.561859,6.441859,5.781859,6.241859,5.801859,6.161859,6.729297,5.841859,5.161859,5.481859,8.07593,5.361859,5.301859,5.601859,5.821859,5.681859,5.981859,5.621859,5.221859,5.501859,5.841859,6.373719,5.321859,6.001859
6,1,6.352744,6.692744,7.432744,7.712744,7.972744,6.772744,6.292744,6.212744,6.732744,5.752744,5.112744,5.972744,4.532744,6.052744,5.152744,7.552744,5.972744,5.972744,5.092744,5.392744,6.472744,7.832744,5.032744,4.792744,4.772744,6.775488,6.092744,6.551372,6.132744,6.492744,7.212744,6.212744,5.412744,5.772744,8.372744,5.632744,5.592744,5.852744,6.152744,5.952744,6.212744,5.952744,5.492744,5.792744,6.152744,6.792744,5.572744,6.332744
6,2,6.695238,7.035238,7.775238,8.075238,8.315238,7.075238,6.635238,6.535238,7.035238,6.095238,5.455238,6.335238,4.755238,6.355238,5.435238,7.915238,6.375238,6.275238,5.375238,5.735238,6.815238,8.195238,5.315238,5.075238,5.055238,7.075238,6.375238,6.875238,6.535238,6.855238,7.675238,6.595238,5.755238,6.055238,8.715238,5.915238,5.895238,6.155238,6.515238,6.295238,6.495238,6.295238,5.815238,6.095238,6.455238,7.295238,5.895238,6.675238
7,0,7.057732,7.377732,8.137732,8.497732,8.617732,7.377732,6.937732,6.877732,7.377732,6.437732,5.657732,6.677732,4.977732,6.677732,5.717732,8.277732,6.817732,6.577732,5.677732,6.057732,7.117732,8.577732,5.637732,5.337732,5.317732,7.397732,6.657732,7.217732,6.997732,7.237732,8.085465,6.917732,6.093866,6.357732,9.137732,6.157732,6.197732,6.457732,6.857732,6.637732,6.757732,6.577732,6.137732,6.377732,6.757732,7.597732,6.177732,7.017732
7,1,7.388617,7.748617,8.508617,8.868617,8.948617,7.708617,7.248617,7.188617,7.708617,6.768617,5.988617,7.028617,5.268617,6.988617,6.048617,8.608617,7.328617,6.848617,5.968617,6.388617,7.448617,8.908617,5.968617,5.588617,5.579308,7.728617,6.988617,7.548617,7.328617,7.588617,8.528617,7.288617,6.388617,6.648617,9.528617,6.548617,6.468617,6.768617,7.208617,6.948617,7.028617,6.908617,6.448617,6.668617,7.108617,8.048617,6.508617,7.428617
7,2,7.711111,8.171111,8.891111,9.211111,9.291111,8.031111,7.591111,7.511111,8.031111,7.111111,6.271111,7.371111,5.491111,7.271111,6.231111,8.971111,7.671111,7.131111,6.271111,6.731111,7.811111,9.253333,6.271111,5.811111,5.811111,8.051111,7.371111,7.871111,7.692222,7.931111,8.873333,7.651111,6.731111,6.911111,9.851111,6.871111,6.771111,7.091111,7.531111,7.251111,7.371111,7.251111,6.791111,6.911111,7.371111,8.391111,6.751111,7.751111
8,0,7.995556,8.495556,9.195556,9.661111,9.615556,8.315556,7.915556,7.795556,8.315556,7.395556,6.555556,7.695556,5.755556,7.551852,6.532778,9.315556,7.955556,7.415556,6.502778,7.035556,8.101111,9.635556,6.532778,6.092778,6.092778,8.315556,7.655556,8.155556,8.075556,8.255556,9.295556,7.935556,7.015556,7.215556,10.135556,7.155556,7.055556,7.315556,7.875556,7.535556,7.655556,7.595556,7.075556,7.235556,7.735556,8.855556,7.095556,8.035556
