,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
5,0,8.211463,6.011463,8.892925,10.252925,7.032925,8.332925,8.772925,6.131463,6.612925,8.192925,9.952925,8.932925,11.172925,7.592925,8.412925,6.291463,8.072925,7.832925,9.152925,10.732925,8.172925,6.852925,7.692925,9.392925,9.752925,9.772925,8.532925,5.712925,7.072925,7.412925,7.392925,9.272925,9.792925,5.981463,9.392925,8.752925,9.392925,8.552925,7.572925,9.592925,11.372925,8.172925,8.272925,7.012925,6.932925,9.072925,7.312925,9.552925
5,1,8.943673,6.823673,9.879388,11.143673,7.843673,8.883673,9.803673,6.943673,7.363673,9.197347,10.623673,10.183673,12.038367,8.463673,9.76551,6.886837,8.943673,8.826735,10.283673,11.758367,8.926837,7.506837,8.543673,10.143673,10.679388,11.327551,9.526735,6.263673,7.806837,8.183673,8.363673,9.983673,11.204694,6.683673,10.534082,9.563673,10.103673,9.613061,8.583673,10.798367,12.358367,8.823673,9.303673,8.114082,7.823673,10.286735,8.443673,11.27102
5,2,10.036372,7.556372,10.616372,12.156372,8.876372,9.516372,10.876372,7.687274,8.156372,10.216372,11.716372,11.056372,12.827274,9.276372,11.256372,7.428761,9.896372,9.796372,11.236372,12.596372,9.731274,8.156372,9.456372,10.788637,11.756372,12.636372,10.441859,7.476372,8.636372,9.136372,9.176372,10.823186,11.888637,7.456372,11.268486,10.256372,10.976372,10.976372,9.383186,11.776372,13.716372,9.396372,10.316372,8.976372,8.610579,11.152124,9.233767,11.956372
6,0,10.872971,8.033828,11.312971,12.852971,9.572971,10.192971,12.028617,8.088936,9.212971,10.872971,12.201149,11.792971,13.352971,9.972971,11.792971,7.672971,10.592971,10.392971,11.812971,13.295941,10.352971,8.832971,10.492971,11.472971,12.452971,13.332971,11.192971,8.172971,9.312971,9.832971,9.712971,11.824853,12.572971,8.312971,11.890743,11.452971,11.672971,11.472971,9.932971,12.652971,14.412971,10.092971,11.232971,9.519054,8.747408,11.512971,9.594594,12.412971
6,1,11.407619,8.607619,11.907619,13.627619,9.94881,10.84881,13.147619,8.707619,9.707619,11.487619,12.647619,12.527619,14.127619,10.727619,12.46881,8.307619,12.247619,11.007619,12.547619,13.947619,10.99881,9.347619,11.027619,12.207619,13.14881,14.187619,11.947619,8.727619,10.067619,10.427619,10.407619,12.767619,13.047619,9.087619,12.427619,12.067619,12.487619,12.187619,10.627619,13.507619,15.687619,10.727619,12.227619,9.967619,9.407619,12.247619,10.347619,12.965238
6,2,11.908707,9.168707,12.608707,14.208707,10.449354,11.359354,13.948707,9.268707,10.328707,12.148707,13.188707,13.128707,14.768707,11.528707,13.148707,8.768707,13.028707,11.428707,13.308707,14.548707,11.608707,9.908707,11.568707,12.688707,13.628707,14.628707,12.648707,9.448707,10.619354,10.928707,11.148707,13.568707,13.588707,9.618745,12.959354,12.408707,13.048707,12.728707,11.208707,14.288707,16.708707,11.288707,13.048707,10.748707,9.988707,12.848707,10.848707,13.608707
7,0,12.489206,9.629206,13.169735,14.769735,10.819603,11.823069,14.529206,9.749206,10.901841,12.661841,13.589868,13.664802,15.369206,12.109206,13.569735,9.301023,13.629603,11.849206,13.779603,15.109206,12.109206,10.349206,12.009206,13.201841,14.009206,14.986534,13.143069,9.921841,11.064172,11.422401,11.624172,14.429603,14.069206,10.023201,13.359802,12.829868,13.514802,13.243069,11.729735,14.941841,17.549206,11.883069,13.564802,11.169206,10.437841,13.353841,11.309603,14.229206
7,1,12.949705,10.049705,13.789705,15.369705,11.309705,12.329705,14.989705,10.149705,11.489705,13.289705,14.069705,14.109705,15.889705,12.689705,14.089926,9.709705,14.249705,12.369705,14.309705,15.709705,12.549963,10.909705,12.469705,13.729705,14.409705,15.449705,13.649705,10.429705,11.599853,11.939853,12.189705,15.089705,14.609705,10.409963,13.829705,13.289705,14.009705,13.769705,12.209705,15.599853,18.209853,12.50941,14.229705,11.629705,10.869853,13.729853,11.809705,14.789705
7,2,13.619184,10.592296,14.532296,15.959184,11.833061,12.999184,15.538197,10.702132,12.102296,14.119184,14.599184,14.799184,16.473061,13.479184,14.819184,10.139184,14.939184,12.886066,14.926395,16.399184,13.074592,11.392296,12.994592,14.299184,14.792296,15.819184,14.326395,10.719184,12.205765,12.586395,12.82538,15.879184,15.359184,10.792296,14.252296,13.764592,14.639184,14.433061,12.759184,16.339728,19.099184,13.099184,14.824942,12.139184,11.333061,14.159184,12.274592,15.439184
8,0,14.386712,11.206712,15.206712,16.766712,12.406712,13.706712,16.326712,11.306712,12.946712,14.806712,15.146712,15.526712,17.246712,14.326712,15.866712,10.586712,15.666712,13.466712,15.646712,17.246712,13.586712,12.126712,13.495571,14.886712,15.206712,16.366712,15.146712,11.206712,13.026712,13.326712,13.686712,16.766712,16.286712,11.242237,14.718356,14.286712,15.346712,15.086712,13.326712,17.186712,20.106712,13.986712,15.466712,12.798356,11.806712,14.646712,12.906712,16.186712
8,1,15.0878,11.6878,15.9278,17.4078,13.1278,14.2878,16.9678,11.8078,13.7278,15.4078,15.785601,16.2278,17.8478,15.1278,16.5278,11.2078,16.2878,14.1478,16.4278,18.0678,14.0478,12.7878,14.0278,15.6278,15.6878,16.7678,15.9278,11.5989,13.6478,13.989267,14.843401,17.4278,16.9878,11.4789,15.1278,14.9878,16.1678,15.6078,13.9278,18.1478,20.9678,14.5878,16.2878,13.2478,12.2478,15.0678,13.6278,16.9278
8,2,15.719229,12.359229,16.739229,18.099229,13.659229,14.959229,17.659229,12.459229,14.379229,16.379229,16.399229,17.039229,18.539229,15.859229,17.319229,11.659229,16.899229,14.999229,17.079229,18.799229,14.659229,13.334615,14.559229,16.259229,16.319229,17.259229,16.499229,12.099229,14.219229,14.499229,15.539229,18.139229,17.539229,11.884615,15.679229,15.684615,16.899229,16.339229,14.444615,18.879229,21.699229,15.359229,17.159229,13.759229,12.734615,15.519229,14.139229,17.579229
