,measure_number,beat_number,pid1263b-18,pid51495-02,pid5667269b-34,pid5667271-03,pid5667285b-09,pid610003b-22,pid9048b-18,pid9049b-18,pid9050b-20,pid9053-21,pid9054b-20,pid9055b-18,pid9057f-03,pid9058b-18,pid9059b-22,pid9061b-15,pid9062b-21,pid9063b-24,pid9066b-18,pid9067-26,pid9068-23,pid9069-18,pid9072b-22,pid9073b-24,pid9074g-18,pid9075b-18,pid9085-19,pid9088-24,pid9098-04,pid9099b-24,pid9101c-14,pid9104b-18,pid9116-15,pid9118b-24,pid9121-08,pid9130-13,pid9139b-20,pid9153b-20,pid9166-11,pid9170b-20,pid9173-01,pid9174b-18,pid918712-15,pid918726-07,pid918904-14,pid9190-12,pid9192b-20
211,72,0,148.46948,150.30948,143.00948,151.00948,135.26896000000002,166.50948,137.24948,131.84948,166.34948,118.44948000000001,139.20948,143.34843999999998,140.90948,151.70948,133.82948000000002,135.10948,146.34948,160.54948000000002,162.84948,110.62987,129.20948,174.70948,158.52948,164.04948000000002,124.42948,119.14948000000001,147.80896,158.92948,129.42948,119.86948000000001,147.16948,141.90948,160.26948000000002,149.14948,139.02948,212.00947999999997,155.74948,127.64948000000001,124.70948,136.94948,123.50948000000001,126.46948,111.88948,140.46948,133.18948,139.18948,134.98948000000001
212,72,1,149.17515,151.11515,143.73515,151.81515,135.85515,167.37515,137.88257,132.49515,167.21515,119.11515,139.91515,143.97515,141.59515,152.31515,134.43515,135.73515,146.85515,161.28257,163.57515,111.01515,129.77515,175.43515,159.29515,164.89515,124.95515,119.83256999999999,148.49515,159.77515,130.01515,120.41515,147.89515,142.61515,160.87515,149.75515,139.57515,213.07515,156.41515,128.29515,125.27515,137.55838,124.03515,127.11515,112.37515,141.09515,133.79515,139.89515,135.53515
213,72,2,149.8776,151.61151999999998,144.4576,152.31253,136.5976,168.3576,138.4576,133.0576,168.1976,119.6776,140.4776,144.7576,142.4376,152.9776,135.1376,136.2776,147.5576,162.0376,164.1776,111.3976,130.3576,176.2176,159.8376,165.8776,125.5176,120.3176,148.9776,160.4976,130.5976,120.9576,148.5176,143.3376,161.7176,150.3576,140.0976,213.6776,157.1376,128.9176,125.7976,138.1976,124.4776,127.5976,112.8576,141.7376,134.5376,140.4976,135.8176
214,73,0,151.41723000000002,153.89723,145.77723,154.61723,137.97429,170.67723,139.89723,134.51723,170.43723,121.07723,141.95723,146.59723,144.31723,154.73723,136.58575,137.42681000000002,149.25723,163.59723,166.13723000000002,112.09723000000001,131.73723,177.91723000000002,161.63723000000002,168.07723000000001,126.79723,121.73723000000001,150.64748,162.33723,132.11723,122.51723,149.87723,144.54572,163.31723,151.49723,141.53723,215.97723,158.66574,130.51723,127.08558000000001,139.37723,126.55723,128.50512,114.15723,143.21723,136.21723,141.90575,137.85723000000002
215,73,1,151.999,154.559,146.439,155.279,138.47899999999998,171.33900000000003,140.399,134.839,171.09900000000002,121.679,142.14556000000002,147.259,144.97899999999998,155.219,137.059,137.839,149.879,164.25900000000001,167.239,112.759,132.239,178.799,162.299,168.739,127.259,122.039,151.279,162.999,132.639,123.039,150.539,145.139,163.979,152.079,142.19899999999998,216.61900000000003,159.019,131.139,127.639,140.039,127.219,129.168,114.319,143.879,136.839,142.499,138.159
216,73,2,152.56237,155.33473999999998,146.95474,156.03474,139.07474,171.93473999999998,140.99473999999998,135.35474,171.77473999999998,122.17473999999999,142.65474,147.85474,145.59474,155.72618,137.65474,138.21473999999998,150.47474,164.91474,167.95474,112.92618999999999,132.79474,179.44422,163.53474,169.39473999999998,127.71473999999999,122.54236999999999,151.89473999999998,163.59474,133.23474,123.63474,151.19474,146.07474,164.51474,152.71473999999998,142.79474,219.13474,159.50236999999998,131.67473999999999,128.22236999999998,140.61473999999998,128.19474,129.66236999999998,114.74847,144.75474,137.55473999999998,142.99473999999998,138.73474
217,74,0,153.20703,156.06703000000002,147.62703,156.76703,139.72703,172.66703,141.68703,135.96703,172.50703000000001,122.76703,143.26703,148.68703,146.24703,156.46703,138.30703,138.74703,151.06703000000002,165.82703,168.62703,113.34703,133.34703000000002,180.20703,164.18703,170.12703,128.24703,123.20703,152.46703,164.12703,133.78703000000002,124.14703,151.82703,146.62703,165.16703,153.40703,143.62703,220.58702999999997,160.14703,132.26703,128.84703000000002,141.18703,129.02703,130.24703,115.23926000000002,145.32703,138.08703,143.78703000000002,139.12703
218,74,1,153.81329,156.71329,148.21329,157.41329,140.2711,173.41329,142.27329,136.54164,173.25329,123.42164,143.95328999999998,149.11328999999998,146.69329,157.09329,138.8511,139.33328999999998,151.69329,166.63329,169.45328999999998,113.6911,133.87329,180.91329,164.79328999999998,170.85329,128.83328999999998,123.7511,153.05329,164.73328999999998,134.27329,124.77328999999999,152.51328999999998,147.29328999999998,165.83328999999998,154.03329,144.39328999999998,221.75329,160.85329,132.81329,129.32164,141.79328999999998,129.70164,130.89328999999998,115.62082,145.83328999999998,138.73328999999998,144.39328999999998,139.67328999999998
219,74,2,154.40218000000002,157.32218,148.84218,158.04218,140.82218,174.24218,143.02218,137.10218,174.10218,123.94218000000001,144.52218,149.74218,147.24218,157.74218,139.40218000000002,139.92218,152.32218,167.38218,170.06218,114.14218000000001,134.52218,181.76218,165.42218,171.62218000000001,129.38218,124.20218,153.62218000000001,165.40218000000002,134.84218,125.34218,153.14218,147.84218,166.56218,154.62218000000001,144.96218000000002,222.74218,161.54218,133.42218,129.88218,142.37435,130.22218,131.40218000000002,116.16218,146.40218000000002,139.24218,145.00218,140.38218
220,75,0,154.89106999999998,157.97107,149.41107,158.67107,141.35021,175.07107,143.65107,137.71107,174.91107,124.42053,145.09107,150.29107,147.81107,158.65107,139.93027,140.43107,152.91107,167.95053000000001,170.89106999999998,114.59421,135.09107,182.63107,166.33106999999998,172.49107,129.91053,124.69027,154.41053,166.17107,135.39106999999998,125.83107,153.77107,148.39106999999998,167.25053,155.25107,145.53107,223.63107000000002,162.21107,134.03107,130.45036000000002,143.01027,130.65107,131.95107,116.67107,146.95107,139.67107,145.57107,141.13107
221,75,1,155.41351,158.61352,150.01352,159.31351999999998,141.85351,175.77352,144.23352,138.25351,175.59351999999998,124.93176000000001,145.75351,150.93352,148.37703,159.25351,140.41351,140.95352,153.53351,168.59351999999998,171.59351999999998,114.99351999999999,135.55352,183.37351999999998,166.89352,173.17352,130.41351,125.15352,155.05352,166.89352,135.87351999999998,126.33352,154.33352,148.87351999999998,167.91351,155.81351999999998,146.05352,224.47351,162.81351999999998,134.51352,130.93352,143.57351,131.06725,132.45352,117.17351000000001,147.47351,140.17352,146.17352,141.73352
