,measure_number,beat_number,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
10,4,1,3.078881,4.096644,6.316644,4.636644,4.872215,4.136644,4.196644,3.6166440000000004,3.036644,3.4966440000000003,3.156644,4.556644,3.5566440000000004,5.636644,4.156644,3.5966440000000004,2.7566439999999997,3.836644,4.596644,5.096644,3.4366440000000003,2.996644,3.308092,3.6031519999999997,3.776644,4.356644,7.056644,3.816644,4.416644,3.056644,3.5766440000000004,3.5432879999999995,3.016644,2.636644,3.4766440000000003,2.7933220000000003,4.943288,3.736644,4.316644
11,4,2,3.393333,4.433333,6.796667,4.973333,5.173333,4.633333,4.533333,3.953333,3.298667,3.833333,3.4733330000000002,4.873333000000001,3.893333,5.973333,4.596667,3.933333,3.0933330000000003,4.173333,5.053333,5.433333,3.7504760000000004,3.333333,3.630123,4.033333,4.133333,4.693333,7.393333,4.156667,4.893333,3.393333,3.913333,3.913333,3.353333,2.9704759999999997,3.813333,3.1133330000000004,5.2933330000000005,4.073333,4.653333
12,5,0,3.724218,4.784218,7.1442179999999995,5.304218,5.424218,4.964218,4.804218,4.264218,3.5480730000000005,4.124218,3.744218,5.104218,4.124218,6.304218,5.084218,4.264218,3.4442180000000002,4.524218,5.384218,5.744218,3.9642180000000002,3.584218,3.642378,4.364218,4.484218,5.164218,7.738435000000001,4.558435,5.284218,3.724218,4.104218,4.244218,3.664218,3.184218,4.184218,3.364218,5.644218,4.3174220000000005,5.064218
13,5,1,4.031882,5.111882,7.531882,5.591882,5.731882,5.351882,5.111882,4.571882,3.8118819999999998,4.431882,4.051882,5.411882,4.411882,6.6118820000000005,5.391882,4.571882,3.7918819999999998,4.891882,5.773764,6.011882,4.251882,3.871882,3.7209410000000003,4.671882,4.971882,5.651882,8.311882,4.931882,5.831882,4.031882,4.391882,4.671882,3.971882,3.491882,4.491882,3.671882,6.253764,4.511882,5.371882
14,5,2,4.252472,5.412472,7.832472,5.8124720000000005,5.952472,5.652472,5.392472,4.8124720000000005,4.032472,4.692472,4.352472,5.712472,4.652472,6.832472,5.7724720000000005,4.852472,4.012472,5.141236,6.052472,6.2724720000000005,4.472472,4.092472,3.9924720000000002,4.952472,5.2724720000000005,5.992472,8.652472,5.234943,6.052472,4.292472,4.694943,4.932472,4.212472,3.752472,4.832472,3.912472,6.492472,4.752472,5.692472
15,6,0,4.470476000000001,5.710476,8.110476,6.050476000000001,6.170476,5.9304760000000005,5.630476,5.070476,4.290476,4.9304760000000005,4.590476,5.990476,4.8904760000000005,7.070475999999999,6.010476000000001,5.090476,4.310476,5.370476,6.310476,6.490476,4.690476,4.320238,4.1702379999999994,5.210476,5.510476000000001,6.250476,8.990476,5.510476000000001,6.2902379999999996,4.550476000000001,4.950476,5.210476,4.470476000000001,3.990476,5.090476,4.130476,6.750475999999999,4.990476,5.9304760000000005
16,6,1,4.696871,5.956871,8.363741000000001,6.3368709999999995,6.356871,6.203741,5.896871,5.296871,4.536871,5.156871,4.8368709999999995,6.256871,5.116871,7.296871,6.276871,5.3437410000000005,4.516871,5.556871,6.576871000000001,6.716871,4.9168709999999995,4.516871,4.356871,5.476871,5.756871,6.476871,9.263741,5.756871,6.496871,4.810612,5.176871,5.456871,4.696871,4.236871,5.396871,4.316871,7.016871000000001,5.236871,6.236871
17,6,2,4.92585,6.18585,8.62585,6.56585,6.56585,6.44585,6.14585,5.56585,4.74585,5.40585,5.06585,6.56585,5.34585,7.50585,6.56585,5.58585,4.78585,5.78585,6.80585,6.96585,5.12585,4.72585,4.56585,5.74585,5.96585,6.74585,9.56585,6.04585,6.66585,5.08585,5.38585,5.78585,4.94585,4.44585,5.66585,4.58585,7.32585,5.46585,6.50585
18,7,0,5.140635,6.420635,8.900635000000001,6.780635,6.740635,6.740635,6.360635,5.780635,4.9806349999999995,5.620635,5.300635,6.800635000000001,5.5606349999999996,7.720635000000001,6.800635000000001,5.800635,5.000635,6.0606349999999996,7.1006350000000005,7.1806350000000005,5.280635,4.920635,4.780635,6.000635,6.180635,6.980635,9.920635,6.280635,6.880635000000001,5.320635,5.600635,6.000635,5.160635,4.660635,5.880635,4.780635,7.560635,5.680635,6.840635000000001
19,7,1,5.535374,6.732686999999999,9.175374,7.175374000000001,6.902686999999999,6.995374000000001,6.6353740000000005,6.195374,5.335374,5.875374,5.635374,7.115374,5.912687,8.115374000000001,7.136344,6.151791,5.375374,6.535374,7.375374000000001,7.495374000000001,5.572687,5.235374,5.095374,6.5153739999999996,6.615374,7.5553740000000005,10.455374,6.6353740000000005,7.315374,5.615374,5.9753739999999995,6.355373999999999,5.4753739999999995,4.9753739999999995,6.315373999999999,5.095374,7.975374,5.955374,7.275374
20,7,2,5.796599,6.976599,9.436599000000001,7.416599000000001,7.136599,7.2565990000000005,6.856599,6.436599,5.616599,6.096598999999999,5.896599,7.376599000000001,6.156599,8.376599,7.396599,6.376599,5.596598999999999,6.736599000000001,7.616599000000001,7.7565990000000005,5.756599,5.456599,5.356599,6.776599000000001,6.816599000000001,7.816599000000001,10.716599,6.916599000000001,7.536599000000001,5.836599,6.196599,6.596599,5.696599,5.236599,6.596599,5.336599,8.276599000000001,6.1765989999999995,7.556599
21,8,0,6.046213,7.246213000000001,9.786213,7.666213000000001,7.3462130000000005,7.626213000000001,7.198639,6.706213000000001,5.866213,6.386213,6.166213,7.702425999999999,6.426213,8.626213,7.686213,6.666213000000001,5.846213,6.986213,7.986213,8.046213,6.006213,5.7262129999999996,5.6462129999999995,7.086213000000001,7.126213000000001,8.126213,11.026213,7.206213000000001,7.786213,6.166213,6.502426,6.906213,5.946212999999999,5.582426,6.922426,5.586213,8.546213,6.426213,7.858639
22,8,1,6.298413,7.518413000000001,10.058413,7.878413,7.558413000000001,7.886825,7.438413000000001,6.978413000000001,6.098413,6.638413000000001,6.418413,7.978413000000001,6.658413,8.858413,8.018413,6.958413,6.118412999999999,7.218413000000001,8.238413000000001,8.438413,6.258413,5.958413,5.878413,7.3584130000000005,7.3584130000000005,8.378413,11.318413,7.478413000000001,7.998413,6.438413,6.738413,7.158413,6.1584129999999995,5.8352379999999995,7.198413,5.826825,8.818413,6.698413,8.118413
23,8,2,6.588005,7.739002,10.319002000000001,8.099002,7.759002000000001,8.139002,7.659002,7.199002,6.359001999999999,6.919002000000001,6.6790020000000005,8.219002,6.879002000000001,9.079002000000001,8.359002,7.199002,6.399001999999999,7.439002,8.459002,8.859002,6.4945010000000005,6.179002,6.099002,7.6390020000000005,7.6390020000000005,8.739002000000001,11.599002,7.799002000000001,8.219002,6.699002,6.959002000000001,7.439002,6.379002,6.079002,7.499002000000001,6.0590019999999996,9.139002,6.919002000000001,8.439002
24,9,0,6.912472,8.112472,10.637414999999999,8.412472,7.992472,8.457415,7.992472,7.512472,6.632472,7.2324720000000005,6.912472,8.572472,7.152472,9.392472,8.992472,7.514943,6.692472,7.632472,8.772472,9.332472000000001,6.712472,6.432472,6.432472,7.952472,7.952472,9.114942999999998,11.914943,8.272472,8.501236,7.012472,7.332472,7.792472,6.692472,6.332472,7.859887,6.412472,9.552472,7.132472,8.752472000000001
25,9,1,7.193696000000001,8.453696,11.013696000000001,8.673696000000001,8.253696000000001,8.821848,8.373696,7.813696,6.933696,7.393696,7.1736960000000005,8.853696000000001,7.451232000000001,9.653696,9.293696,7.793696000000001,6.953696000000001,7.913696000000001,9.153696,9.673696000000001,6.936242,6.637962,6.6736960000000005,8.233696,8.313696,9.453696,12.253696000000001,8.533696,8.753696000000001,7.253696000000001,7.5936960000000004,8.113696000000001,6.953696000000001,6.6336960000000005,8.173696000000001,6.693696000000001,9.773696000000001,7.433696,9.013696000000001
26,9,2,7.541995,8.841994999999999,11.361995,8.904399,8.601995,9.161995,8.721995,8.161995,7.281994999999999,7.741994999999999,7.5219949999999995,9.201995,7.761995,10.001994999999999,9.921994999999999,8.121995,7.295998,8.261994999999999,9.501994999999999,10.041995,7.201995,6.901994999999999,7.0219949999999995,8.581995,8.661995,9.821995,12.601995,9.021995,9.101995,7.601995,7.9419949999999995,8.501994999999999,7.281994999999999,6.952666000000001,8.581995,7.031714,10.381995,7.781994999999999,9.381995
27,10,0,7.809660000000001,9.14966,11.64966,9.18966,8.809660000000001,9.469660000000001,8.94966,8.369660000000001,7.489660000000001,8.049660000000001,7.769660000000001,9.549660000000001,8.02966,10.309660000000001,10.22966,8.42966,7.54966,8.40966,9.76966,10.36932,7.50966,7.19983,7.3296600000000005,8.84966,8.809660000000001,10.129660000000001,13.309660000000001,9.32966,9.256553,7.909660000000001,8.18966,8.809660000000001,7.58966,7.069660000000001,8.889660000000001,7.16966,10.84966,7.96966,9.68966
28,10,1,8.065078999999999,9.445079,11.965079,9.445079,9.065078999999999,9.845079,9.345079,8.625079,7.745079,8.365079,8.025079,9.845079,8.325078999999999,10.565078999999999,10.485078999999999,8.685079,7.6650789999999995,8.645078999999999,10.165078999999999,10.685079,7.765078999999999,7.425078999999999,7.565078999999999,9.105079,9.065078999999999,10.445079,13.585079,9.665078999999999,9.445079,8.165078999999999,8.445079,9.185079,7.845078999999999,7.325079,9.165078999999999,7.425078999999999,11.385079,8.205079,10.005078999999999
29,10,2,8.384354,9.764353999999999,12.324354,9.708588,9.384354,10.164354,9.664354,8.884871,7.949192999999999,8.644354,8.344354,10.164354,8.644354,10.884354,10.844354,9.004354,7.984354,8.964354,10.504354,11.004354,8.064354,7.724353999999999,7.884353999999999,9.424354,9.384354,10.764353999999999,13.904354000000001,10.004354,9.764353999999999,8.484354,8.764353999999999,9.504354,8.164354,7.644353999999999,9.524353999999999,7.703588000000001,11.724354,8.524353999999999,10.324354
30,11,0,8.672653,10.112653,12.672653,10.052653,9.612653,10.572653,9.921327,9.212653,8.290663,8.932653,8.572653,10.515305999999999,8.841327,11.232652999999999,11.192653,9.352653,8.332653,9.212653,10.852653,11.412653,8.292653,7.932653,8.152652999999999,9.772653,9.652652999999999,11.215306,14.552653,10.352653,9.892653,8.832653,9.012653,9.832653,8.510442,7.832653,9.872653,7.832653,12.072653,8.681327,10.672653
31,11,1,8.939683,10.42873,13.058413,10.319683,9.879683,10.889365,10.399683,9.549365,8.499683000000001,9.219683,8.839683,10.799683,9.169364999999999,11.499683000000001,11.459683,9.619683,8.599683,9.479683,11.168095,11.769364999999999,8.569365,8.199683,8.399683,10.10873,9.939683,11.519683,14.848729999999998,10.729365,10.159683,9.119683,9.339683,10.179683,8.679683,8.059683,10.259683,8.099683,12.649365,8.914841000000001,10.959048
32,11,2,9.276372,10.816372,13.436372,10.587274,10.216372,11.256372,10.736372,9.896372,8.836372,9.596372,9.176372,11.156372,9.513186,11.836372,11.856372,9.956372,8.936372,9.816372,11.556372,12.116372,8.916372,8.536372,8.696372,10.476372,10.276372,11.976372,15.236372,11.076372000000001,10.473296000000001,9.456372,9.676372,10.516372,9.016372,8.396372,10.616372,8.320796000000001,13.056372,9.236372,11.316372
