,,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
4,1,3.949388,3.959694,4.709388,5.349388,4.849388,4.449388,3.989388,4.649388,3.249388,3.809388,4.189388,5.249388,3.869388,5.409388,4.729388,4.209388,4.429388,4.149388,3.579694,4.169388,5.769388,3.789388,4.649388,4.049388,3.129388,6.729388,4.409388,3.969388,4.109388,3.449388,3.789388,4.309388,4.129388,4.009388,3.649388,4.589388,3.889388,4.689388,4.129388,3.789388,3.549388,4.469388,3.429388,3.856463,5.149388,3.989388,3.589388,4.309388,3.489388,3.389388,5.729388,4.329388,3.709388,5.088776,4.369388,5.009388
4,2,4.238367,4.238367,5.158367,5.678367,5.198367,4.958367,4.198367,4.998367,3.678367,4.198367,4.598367,5.698367,4.318367,5.758367,5.118367,4.658367,4.878367,4.665306,3.858367,4.598367,6.118367,4.064184,5.158367,4.578367,3.558367,7.098367,4.978367,4.398367,4.558367,3.878367,4.118367,4.766735,4.798367,4.358367,3.938367,5.326735,4.238367,5.038367,4.438367,4.118367,3.818367,5.026735,3.798367,4.118367,5.686735,4.378367,3.878367,4.758367,4.158367,3.838367,6.606735,4.795102,4.058367,5.566735,4.818367,5.618367
5,0,4.518776,4.646259,5.958776,6.178776,5.489298,5.678776,4.618776,5.636327,4.338776,4.598776,5.204388,6.338776,4.938776,6.184388,5.718776,5.298776,5.638776,6.638776,4.326259,5.118776,6.478776,4.359065,5.858776,5.498776,4.178776,7.644388,5.858776,4.887194,5.178776,4.838776,4.498776,5.958776,5.698776,4.996327,4.339592,6.338776,4.798776,5.564388,4.938776,4.738776,4.278776,6.298776,4.358776,4.638776,6.538776,5.298776,4.287194,5.358776,5.138776,4.638776,7.618776,5.638776,4.558776,6.686259,5.798776,6.418776
5,1,4.875918,4.835918,6.315918,6.555918,5.843184,6.175918,4.955918,6.215918,4.675918,4.932959,5.601837,6.735918,5.395918,6.515918,6.175918,5.775918,6.115918,7.131973,4.695918,5.415918,6.855918,4.695918,6.215918,6.035918,4.635918,8.055918,6.695918,5.315918,5.515918,5.215918,4.815918,6.435918,6.301837,5.535918,4.635918,6.895918,5.095918,5.955918,5.275918,5.213673,4.515918,7.155918,4.655918,5.015918,7.075918,5.715918,4.615918,5.795918,5.715918,5.08648,8.335918,6.115918,4.925306,7.101837,6.535918,6.795918
5,2,5.137143,5.077143,6.557143,6.857143,6.057143,6.437143,5.173571,6.537143,4.957143,5.177143,5.857143,6.957143,5.657143,6.777143,6.437143,5.977143,6.377143,7.337143,4.877143,5.621786,7.117143,4.897143,6.457143,6.297143,4.877143,8.377143,7.037143,5.597143,5.717143,5.457143,5.057143,6.677143,6.597143,5.797143,4.823571,7.117143,5.357143,6.237143,5.537143,5.557143,4.699429,7.457143,4.897143,5.217143,7.357143,5.957143,4.857143,6.071429,5.952381,5.337143,8.737143,6.337143,5.137143,7.417143,6.964286,7.057143
6,0,5.357007,5.35102,6.79051,7.157007,6.320255,6.75051,5.35102,6.85051,5.235255,5.45102,6.134204,7.21051,5.95102,7.070255,6.700255,6.27102,6.67102,7.617007,5.157007,5.89051,7.41102,5.11102,6.702204,6.523503,5.137007,8.79102,7.29102,5.87051,5.99102,5.702204,5.27051,6.95051,6.823673,6.042204,5.03051,7.324431,5.65102,6.51051,5.743503,5.85102,4.95102,7.75051,5.17051,5.480255,7.65102,6.220255,5.13051,6.39051,6.11102,5.580255,9.07102,6.593503,5.43034,7.75034,7.19102,7.312336
6,1,5.6475,5.586667,7.1025,7.54,6.58,7.135,5.608,7.146667,5.528333,5.86,6.52,7.62,6.4,7.386667,6.928,6.706667,6.961667,7.92,5.42,6.235,7.728333,5.455,7.0125,6.828333,5.425,9.225,7.74,6.24,6.328,6.06,5.64,7.34,7.2,6.38,5.395,7.6,5.988,6.835,6.008,6.22,5.208571,8.028,5.428333,5.832,8.12,6.6,5.408,6.775,6.46,5.84,9.56,6.933333,5.648333,8.1075,7.56,7.635
6,2,5.887347,5.927347,7.367347,7.774337,6.887347,7.447347,5.827347,7.407347,5.807347,6.147347,6.887347,7.867347,6.767347,7.627347,7.267347,7.107347,7.287347,8.247347,5.675782,6.385261,8.144694,5.647347,7.307347,7.167347,5.727347,9.587347,8.087347,6.467347,6.687347,6.367347,5.887347,7.707347,7.567347,6.607347,5.587347,7.947347,6.289337,7.127347,6.367347,6.529337,5.447347,8.387347,5.693469,6.087347,8.407347,6.947347,5.647347,7.127347,6.787347,6.247347,9.927347,7.247347,5.934337,8.447347,8.002041,7.987347
7,0,6.250204,6.270102,7.710204,8.110204,7.310051,8.010204,6.290051,8.110204,6.210204,6.490204,7.350204,8.170204,7.110204,7.970204,7.710204,7.650204,7.640102,8.710204,5.990068,6.730204,8.610204,6.130204,7.650204,7.670204,6.150204,10.050204,8.730204,6.890204,7.030102,6.710204,6.330204,8.150204,8.090204,6.950102,5.816735,8.430204,6.600102,7.470204,6.710204,6.850204,5.738041,8.870204,6.050068,6.430204,8.750102,7.310204,6.130102,7.470204,7.150204,6.590204,10.270204,7.590204,6.250204,9.070068,8.550204,8.310204
7,1,6.546531,6.586531,8.046531,8.506531,7.566531,8.486531,6.53551,8.546531,6.486531,6.806531,7.766531,8.566531,7.526531,8.346531,8.086531,8.106531,8.026531,9.026531,6.306531,7.006531,9.086531,6.346531,8.046531,8.066531,6.566531,10.486531,9.146531,7.306531,7.366531,7.026531,6.646531,8.566531,8.486531,7.346531,6.166531,8.766531,6.926531,7.846531,7.146531,7.266531,6.106531,9.326531,6.366531,6.806531,9.186531,7.706531,6.506531,7.886531,7.466531,6.866531,10.626531,8.006531,6.586531,9.446531,8.966531,8.686531
